'tamo'	t a m o
repatriadas	r e p a t ɾ j a d a s
repatriado	r e p a t ɾ j a d o
repatriados	r e p a t ɾ j a d o s
repatriar	r e p a t ɾ j a ɾ
repautar	r e p a u t a ɾ
repavimentada	r e p a b i m e n t a d a
repavimentadas	r e p a b i m e n t a d a s
repavimentado	r e p a b i m e n t a d o
repavimentados	r e p a b i m e n t a d o s
repavimentar	r e p a b i m e n t a ɾ
repe	r e p e
repechaje	r e p e t͡ʃ a x e
repelús	r e p e l u s
repentinitis	r e p e n t i n i t i s
repentitis	r e p e n t i t i s
repentización	r e p e n t i θ a θ j o n
repercursión	r e p e ɾ k u ɾ s j o n
repercusión	r e p e ɾ k u s j o n
reperfilar	r e p e ɾ f i l a ɾ
reperfusión	r e p e ɾ f u s j o n
repertorio	r e p e ɾ t o ɾ j o
repesca	r e p e s k a
repescada	r e p e s k a d a
repescadas	r e p e s k a d a s
repescados	r e p e s k a d o s
repescar	r e p e s k a ɾ
repetibilidad	r e p e t i b i l i d a d
repetible	r e p e t i b l e
repetición	r e p e t i θ j o n
repetidísimo	r e p e t i d i s i m o
repetitividad	r e p e t i t i b i d a d
repipi	r e p i p i
repitesela	r e p i t e s e l a
replantareis	r e p l a n t a ɾ e i s
replanteamiento	r e p l a n t e a m j e n t o
replegada	r e p l e ɡ a d a
replegadas	r e p l e ɡ a d a s
replegado	r e p l e ɡ a d o
replegados	r e p l e ɡ a d o s
replegar	r e p l e ɡ a ɾ
replicable	r e p l i k a b l e
replicación	r e p l i k a θ j o n
replicante	r e p l i k a n t e
replicativo	r e p l i k a t i b o
repliegue	r e p l j e ɡ e
repo	r e p o
repoblación	r e p o b l a θ j o n
repocheta	r e p o t͡ʃ e t a
repolarizar	r e p o l a ɾ i θ a ɾ
repolicromadas	r e p o l i k ɾ o m a d a s
repolicromado	r e p o l i k ɾ o m a d o
repolicromados	r e p o l i k ɾ o m a d o s
repolicromar	r e p o l i k ɾ o m a ɾ
repolitizar	r e p o l i t i θ a ɾ
reponedla	r e p o n e d l a
reponedlas	r e p o n e d l a s
reponedle	r e p o n e d l e
reponedles	r e p o n e d l e s
reponedlo	r e p o n e d l o
reponedlos	r e p o n e d l o s
reponedor	r e p o n e d o ɾ
reponla	r e p o n l a
reponlas	r e p o n l a s
reponlo	r e p o n l o
reponlos	r e p o n l o s
reponso	r e p o n s o
reporteada	r e p o ɾ t e a d a
reporteadas	r e p o ɾ t e a d a s
reporteado	r e p o ɾ t e a d o
reporteados	r e p o ɾ t e a d o s
reportear	r e p o ɾ t e a ɾ
reposabrazos	r e p o s a b ɾ a θ o s
reposacabezas	r e p o s a k a b e θ a s
reposadamente	r e p o s a d a m e n t e
reposamuñecas	r e p o s a m u ɲ e k a s
reposapinceles	r e p o s a p i n θ e l e s
reposapiés	r e p o s a p j e s
reposera	r e p o s e ɾ a
reposero	r e p o s e ɾ o
reposicionada	r e p o s i θ j o n a d a
reposicionadas	r e p o s i θ j o n a d a s
reposicionado	r e p o s i θ j o n a d o
reposicionados	r e p o s i θ j o n a d o s
reposicionamiento	r e p o s i θ j o n a m j e n t o
reposicionar	r e p o s i θ j o n a ɾ
repositora	r e p o s i t o ɾ a
repostear	r e p o s t e a ɾ
repostular	r e p o s t u l a ɾ
repotenciada	r e p o t e n θ j a d a
repotenciadas	r e p o t e n θ j a d a s
repotenciado	r e p o t e n θ j a d o
repotenciados	r e p o t e n θ j a d o s
repotenciar	r e p o t e n θ j a ɾ
repregunta	r e p ɾ e ɡ u n t a
repreguntada	r e p ɾ e ɡ u n t a d a
repreguntadas	r e p ɾ e ɡ u n t a d a s
repreguntado	r e p ɾ e ɡ u n t a d o
repreguntados	r e p ɾ e ɡ u n t a d o s
reprensión	r e p ɾ e n s j o n
represa	r e p ɾ e s a
represada	r e p ɾ e s a d a
represadas	r e p ɾ e s a d a s
represado	r e p ɾ e s a d o
represados	r e p ɾ e s a d o s
represalia	r e p ɾ e s a l j a
represaliada	r e p ɾ e s a l j a d a
represaliadas	r e p ɾ e s a l j a d a s
represaliado	r e p ɾ e s a l j a d o
represaliados	r e p ɾ e s a l j a d o s
represaliar	r e p ɾ e s a l j a ɾ
represamiento	r e p ɾ e s a m j e n t o
represar	r e p ɾ e s a ɾ
representación	r e p ɾ e s e n t a θ j o n
representativamente	r e p ɾ e s e n t a t i b a m e n t e
representatividad	r e p ɾ e s e n t a t i b i d a d
represes	r e p ɾ e s e s
represión	r e p ɾ e s j o n
reprivatización	r e p ɾ i b a t i θ a θ j o n
reprobación	r e p ɾ o b a θ j o n
reprocesamiento	r e p ɾ o θ e s a m j e n t o
reprocesar	r e p ɾ o θ e s a ɾ
reproducciones	r e p ɾ o d u ɡ θ j o n e s
reproducción	r e p ɾ o d u ɡ θ j o n
reproducibilidad	r e p ɾ o d u θ i b i l i d a d
reproducite	r e p ɾ o d u θ i t e
reproductiva	r e p ɾ o d u ɡ t i b a
reproductivas	r e p ɾ o d u ɡ t i b a s
reproductividad	r e p ɾ o d u ɡ t i b i d a d
reproductivo	r e p ɾ o d u ɡ t i b o
reproductivos	r e p ɾ o d u ɡ t i b o s
reproductor	r e p ɾ o d u ɡ t o ɾ
reproductora	r e p ɾ o d u ɡ t o ɾ a
reproductoras	r e p ɾ o d u ɡ t o ɾ a s
reproductores	r e p ɾ o d u ɡ t o ɾ e s
reprogramada	r e p ɾ o ɡ ɾ a m a d a
reprogramadas	r e p ɾ o ɡ ɾ a m a d a s
reprogramado	r e p ɾ o ɡ ɾ a m a d o
reprogramados	r e p ɾ o ɡ ɾ a m a d o s
reprogramar	r e p ɾ o ɡ ɾ a m a ɾ
reprís	r e p ɾ i s
reptada	r e b t a d a
reptadas	r e b t a d a s
reptado	r e b t a d o
reptados	r e b t a d o s
reptante	r e b t a n t e
reptar	r e b t a ɾ
reptil	r e b t i l
reptiles	r e b t i l e s
reptiliano	r e b t i l j a n o
republicanidad	r e p u b l i k a n i d a d
republicar	r e p u b l i k a ɾ
republiqueta	r e p u b l i k e t a
repudiable	r e p u d j a b l e
repudiación	r e p u d j a θ j o n
repudiada	r e p u d j a d a
repudiadas	r e p u d j a d a s
repudiado	r e p u d j a d o
repudiados	r e p u d j a d o s
repudiar	r e p u d j a ɾ
repudiare	r e p u d j a ɾ e
repudias	r e p u d j a s
repudio	r e p u d j o
repudios	r e p u d j o s
repuesta	r e p w e s t a
repuestas	r e p w e s t a s
repuesto	r e p w e s t o
repuestos	r e p w e s t o s
repugnada	r e p u ɡ n a d a
repugnadas	r e p u ɡ n a d a s
repugnado	r e p u ɡ n a d o
repugnados	r e p u ɡ n a d o s
repugnamos	r e p u ɡ n a m o s
repugnancia	r e p u ɡ n a n θ j a
repugnando	r e p u ɡ n a n d o
repugnante	r e p u ɡ n a n t e
repugnantemente	r e p u ɡ n a n t e m e n t e
repugnantes	r e p u ɡ n a n t e s
repugnar	r e p u ɡ n a ɾ
repulgo	r e p u l ɡ o
repulsión	r e p u l s j o n
repulsor	r e p u l s o ɾ
reputación	r e p u t a θ j o n
reputadísimo	r e p u t a d i s i m o
reputareis	r e p u t a ɾ e i s
repámpanos	r e p a m p a n o s
repárala	r e p a ɾ a l a
repáralas	r e p a ɾ a l a s
repárale	r e p a ɾ a l e
repárales	r e p a ɾ a l e s
repáralo	r e p a ɾ a l o
repáralos	r e p a ɾ a l o s
repárame	r e p a ɾ a m e
repáranos	r e p a ɾ a n o s
repárela	r e p a ɾ e l a
repárelas	r e p a ɾ e l a s
repárele	r e p a ɾ e l e
repáreles	r e p a ɾ e l e s
repárelo	r e p a ɾ e l o
repárelos	r e p a ɾ e l o s
repáreme	r e p a ɾ e m e
repárenla	r e p a ɾ e n l a
repárenlas	r e p a ɾ e n l a s
repárenle	r e p a ɾ e n l e
repárenles	r e p a ɾ e n l e s
repárenlo	r e p a ɾ e n l o
repárenlos	r e p a ɾ e n l o s
repárenme	r e p a ɾ e m m e
repárennos	r e p a ɾ e n n o s
repárenos	r e p a ɾ e n o s
repárense	r e p a ɾ e n s e
repártela	r e p a ɾ t e l a
repártelas	r e p a ɾ t e l a s
repártele	r e p a ɾ t e l e
repárteles	r e p a ɾ t e l e s
repártelo	r e p a ɾ t e l o
repártelos	r e p a ɾ t e l o s
repárteme	r e p a ɾ t e m e
repártenos	r e p a ɾ t e n o s
repártete	r e p a ɾ t e t e
repítala	r e p i t a l a
repítalas	r e p i t a l a s
repítale	r e p i t a l e
repítales	r e p i t a l e s
repítalo	r e p i t a l o
repítalos	r e p i t a l o s
repítanla	r e p i t a n l a
repítanlas	r e p i t a n l a s
repítanle	r e p i t a n l e
repítanles	r e p i t a n l e s
repítanlo	r e p i t a n l o
repítanlos	r e p i t a n l o s
repítanos	r e p i t a n o s
repítanse	r e p i t a n s e
repítase	r e p i t a s e
repítela	r e p i t e l a
repítelas	r e p i t e l a s
repítele	r e p i t e l e
repíteles	r e p i t e l e s
repítelos	r e p i t e l o s
repíteme	r e p i t e m e
repítenos	r e p i t e n o s
repítete	r e p i t e t e
repóngala	r e p o n ɡ a l a
repóngalas	r e p o n ɡ a l a s
repóngale	r e p o n ɡ a l e
repóngales	r e p o n ɡ a l e s
repóngalo	r e p o n ɡ a l o
repóngalos	r e p o n ɡ a l o s
repóngame	r e p o n ɡ a m e
repónganla	r e p o n ɡ a n l a
repónganlas	r e p o n ɡ a n l a s
repónganle	r e p o n ɡ a n l e
repónganles	r e p o n ɡ a n l e s
repónganlo	r e p o n ɡ a n l o
repónganlos	r e p o n ɡ a n l o s
repónganme	r e p o n ɡ a m m e
repóngannos	r e p o n ɡ a n n o s
repónganse	r e p o n ɡ a n s e
repóngase	r e p o n ɡ a s e
requejo	r e k e x o
requenense	r e k e n e n s e
requenenses	r e k e n e n s e s
requerimiento	r e k e ɾ i m j e n t o
requetebién	r e k e t e b j e n
requia	r e k j a
requiebro	r e k j e b ɾ o
requinoa	r e k i n o a
requintista	r e k i n t i s t a
requirieren	r e k i ɾ j e ɾ e n
requisición	r e k i s i θ j o n
requisitar	r e k i s i t a ɾ
requisitoria	r e k i s i t o ɾ j a
requínoa	r e k i n o a
resabiadamente	r e s a b j a d a m e n t e
resabiado	r e s a b j a d o
resabio	r e s a b j o
resacoso	r e s a k o s o
resacón	r e s a k o n
resaltable	r e s a l t a b l e
resaltador	r e s a l t a d o ɾ
resaltante	r e s a l t a n t e
resaltantes	r e s a l t a n t e s
resarcimiento	r e s a ɾ θ i m j e n t o
resbalamiento	r e s b a l a m j e n t o
rescatable	r e s k a t a b l e
rescatista	r e s k a t i s t a
rescisión	r e s θ i s j o n
rescribir	r e s k ɾ i b i ɾ
resecabilidad	r e s e k a b i l i d a d
resecable	r e s e k a b l e
reseguida	r e s e ɡ i d a
reseguidas	r e s e ɡ i d a s
reseguido	r e s e ɡ i d o
reseguidos	r e s e ɡ i d o s
reseguir	r e s e ɡ i ɾ
resemantización	r e s e m a n t i θ a θ j o n
resemblada	r e s e m b l a d a
resembladas	r e s e m b l a d a s
resemblado	r e s e m b l a d o
resemblados	r e s e m b l a d o s
resemblanza	r e s e m b l a n θ a
resemblar	r e s e m b l a ɾ
resentimiento	r e s e n t i m j e n t o
resera	r e s e ɾ a
resero	r e s e ɾ o
reserpina	r e s e ɾ p i n a
reservación	r e s e ɾ b a θ j o n
reservante	r e s e ɾ b a n t e
reset	r i s e t
reseteada	r e s e t e a d a
reseteadas	r e s e t e a d a s
reseteado	r e s e t e a d o
reseteados	r e s e t e a d o s
resetear	r e s e t e a ɾ
reseñable	r e s e ɲ a b l e
reseñador	r e s e ɲ a d o ɾ
reseñadora	r e s e ɲ a d o ɾ a
resfriada	r e s f ɾ j a d a
resfriadas	r e s f ɾ j a d a s
resfriado	r e s f ɾ j a d o
resfriados	r e s f ɾ j a d o s
resfriamos	r e s f ɾ j a m o s
resfriando	r e s f ɾ j a n d o
resfriar	r e s f ɾ j a ɾ
resguardada	r e s ɡ w a ɾ d a d a
resguardadas	r e s ɡ w a ɾ d a d a s
resguardado	r e s ɡ w a ɾ d a d o
resguardados	r e s ɡ w a ɾ d a d o s
resguardamos	r e s ɡ w a ɾ d a m o s
resguardando	r e s ɡ w a ɾ d a n d o
resguardar	r e s ɡ w a ɾ d a ɾ
resguardo	r e s ɡ w a ɾ d o
residencia	r e s i d e n θ j a
residenciada	r e s i d e n θ j a d a
residenciadas	r e s i d e n θ j a d a s
residenciado	r e s i d e n θ j a d o
residenciados	r e s i d e n θ j a d o s
residencialidad	r e s i d e n θ j a l i d a d
residenciar	r e s i d e n θ j a ɾ
resideño	r e s i d e ɲ o
residual	r e s i d w a l
residuo	r e s i d w o
resiembra	r e s j e m b ɾ a
resignación	r e s i ɡ n a θ j o n
resignada	r e s i ɡ n a d a
resignadas	r e s i ɡ n a d a s
resignado	r e s i ɡ n a d o
resignados	r e s i ɡ n a d o s
resignamos	r e s i ɡ n a m o s
resignar	r e s i ɡ n a ɾ
resignificar	r e s i ɡ n i f i k a ɾ
resiliencia	r e s i l j e n θ j a
resiliente	r e s i l j e n t e
resilientes	r e s i l j e n t e s
resilvestración	r e s i l b e s t ɾ a θ j o n
resilvestrada	r e s i l b e s t ɾ a d a
resilvestradas	r e s i l b e s t ɾ a d a s
resilvestrado	r e s i l b e s t ɾ a d o
resilvestrados	r e s i l b e s t ɾ a d o s
resilvestrar	r e s i l b e s t ɾ a ɾ
resintonizada	r e s i n t o n i θ a d a
resintonizadas	r e s i n t o n i θ a d a s
resintonizado	r e s i n t o n i θ a d o
resintonizados	r e s i n t o n i θ a d o s
resintonizar	r e s i n t o n i θ a ɾ
resistencia	r e s i s t e n θ j a
resistol	r e s i s t o l
resistor	r e s i s t o ɾ
resituada	r e s i t w a d a
resituadas	r e s i t w a d a s
resituado	r e s i t w a d o
resituados	r e s i t w a d o s
resituar	r e s i t w a ɾ
resma	r e s m a
resobar	r e s o b a ɾ
resocializadora	r e s o θ j a l i θ a d o ɾ a
resocializadoras	r e s o θ j a l i θ a d o ɾ a s
resocializadores	r e s o θ j a l i θ a d o ɾ e s
resocializar	r e s o θ j a l i θ a ɾ
resolubilidad	r e s o l u b i l i d a d
resolución	r e s o l u θ j o n
resolvedor	r e s o l b e d o ɾ
resonancia	r e s o n a n θ j a
resonante	r e s o n a n t e
resonantes	r e s o n a n t e s
resondrada	r e s o n d ɾ a d a
resondradas	r e s o n d ɾ a d a s
resondrado	r e s o n d ɾ a d o
resondrados	r e s o n d ɾ a d o s
resondrar	r e s o n d ɾ a ɾ
resopón	r e s o p o n
resorcino	r e s o ɾ θ i n o
resort	r e s o ɾ t
respectabilidad	r e s p e ɡ t a b i l i d a d
respectada	r e s p e ɡ t a d a
respectadas	r e s p e ɡ t a d a s
respectado	r e s p e ɡ t a d o
respectados	r e s p e ɡ t a d o s
respectar	r e s p e ɡ t a ɾ
respectivamente	r e s p e ɡ t i b a m e n t e
respectivas	r e s p e ɡ t i b a s
respectivo	r e s p e ɡ t i b o
respecto	r e s p e ɡ t o
respetadla	r e s p e t a d l a
respetadlas	r e s p e t a d l a s
respetadle	r e s p e t a d l e
respetadles	r e s p e t a d l e s
respetadlo	r e s p e t a d l o
respetadlos	r e s p e t a d l o s
respetadme	r e s p e t a d m e
respetadnos	r e s p e t a d n o s
respetaos	r e s p e t a o s
respetillo	r e s p e t i ʎ o
respetiva	r e s p e t i b a
respetivas	r e s p e t i b a s
respetivo	r e s p e t i b o
respetivos	r e s p e t i b o s
respetuosamente	r e s p e t w o s a m e n t e
respetuosidad	r e s p e t w o s i d a d
respetuoso	r e s p e t w o s o
respetémosla	r e s p e t e m o s l a
respetémoslas	r e s p e t e m o s l a s
respetémosle	r e s p e t e m o s l e
respetémosles	r e s p e t e m o s l e s
respetémoslo	r e s p e t e m o s l o
respetémoslos	r e s p e t e m o s l o s
respetémoste	r e s p e t e m o s t e
respingada	r e s p i n ɡ a d a
respingadas	r e s p i n ɡ a d a s
respingado	r e s p i n ɡ a d o
respingados	r e s p i n ɡ a d o s
respingar	r e s p i n ɡ a ɾ
respingo	r e s p i n ɡ o
respingón	r e s p i n ɡ o n
respiraciones	r e s p i ɾ a θ j o n e s
respiración	r e s p i ɾ a θ j o n
respiratoria	r e s p i ɾ a t o ɾ j a
respiratorias	r e s p i ɾ a t o ɾ j a s
respiratorio	r e s p i ɾ a t o ɾ j o
respiratorios	r e s p i ɾ a t o ɾ j o s
respirés	r e s p i ɾ e s
resplandeciente	r e s p l a n d e θ j e n t e
respondedor	r e s p o n d e d o ɾ
respondiente	r e s p o n d j e n t e
respondé	r e s p o n d e
responsabilización	r e s p o n s a b i l i θ a θ j o n
responsablemente	r e s p o n s a b l e m e n t e
responsorial	r e s p o n s o ɾ j a l
responsorio	r e s p o n s o ɾ j o
responsorios	r e s p o n s o ɾ j o s
respuesta	r e s p w e s t a
respuso	r e s p u s o
respétala	r e s p e t a l a
respétalas	r e s p e t a l a s
respétale	r e s p e t a l e
respétales	r e s p e t a l e s
respétalo	r e s p e t a l o
respétalos	r e s p e t a l o s
respétame	r e s p e t a m e
respétanos	r e s p e t a n o s
respétate	r e s p e t a t e
respétela	r e s p e t e l a
respételas	r e s p e t e l a s
respétele	r e s p e t e l e
respételes	r e s p e t e l e s
respételo	r e s p e t e l o
respételos	r e s p e t e l o s
respéteme	r e s p e t e m e
respétenla	r e s p e t e n l a
respétenlas	r e s p e t e n l a s
respétenle	r e s p e t e n l e
respétenles	r e s p e t e n l e s
respétenlo	r e s p e t e n l o
respétenlos	r e s p e t e n l o s
respétenme	r e s p e t e m m e
respétennos	r e s p e t e n n o s
respétenos	r e s p e t e n o s
respétense	r e s p e t e n s e
respétese	r e s p e t e s e
resquebrajamiento	r e s k e b ɾ a x a m j e n t o
resquebrajándola	r e s k e b ɾ a x a n d o l a
resquicio	r e s k i θ j o
restablecimiento	r e s t a b l e θ i m j e n t o
restaura	r e s t a u ɾ a
restauración	r e s t a u ɾ a θ j o n
restaurada	r e s t a u ɾ a d a
restauradas	r e s t a u ɾ a d a s
restaurado	r e s t a u ɾ a d o
restaurador	r e s t a u ɾ a d o ɾ
restauradora	r e s t a u ɾ a d o ɾ a
restaurados	r e s t a u ɾ a d o s
restauramos	r e s t a u ɾ a m o s
restaurando	r e s t a u ɾ a n d o
restaurante	r e s t a u ɾ a n t e
restaurantera	r e s t a u ɾ a n t e ɾ a
restaurantero	r e s t a u ɾ a n t e ɾ o
restaurar	r e s t a u ɾ a ɾ
restaurara	r e s t a u ɾ a ɾ a
restauraras	r e s t a u ɾ a ɾ a s
restaurare	r e s t a u ɾ a ɾ e
restaurareis	r e s t a u ɾ a ɾ e i s
restauraremos	r e s t a u ɾ a ɾ e m o s
restaurares	r e s t a u ɾ a ɾ e s
restaurará	r e s t a u ɾ a ɾ a
restaurarás	r e s t a u ɾ a ɾ a s
restauraríamos	r e s t a u ɾ a ɾ i a m o s
restauras	r e s t a u ɾ a s
restauraste	r e s t a u ɾ a s t e
restaure	r e s t a u ɾ e
restauremos	r e s t a u ɾ e m o s
restaures	r e s t a u ɾ e s
restauro	r e s t a u ɾ o
restauráramos	r e s t a u ɾ a ɾ a m o s
restear	r e s t e a ɾ
restinga	r e s t i n ɡ a
restituida	r e s t i t w i d a
restituidas	r e s t i t w i d a s
restituido	r e s t i t w i d o
restituidos	r e s t i t w i d o s
restituir	r e s t i t w i ɾ
restojo	r e s t o x o
restorán	r e s t o ɾ a n
restregada	r e s t ɾ e ɡ a d a
restregadas	r e s t ɾ e ɡ a d a s
restregado	r e s t ɾ e ɡ a d o
restregados	r e s t ɾ e ɡ a d o s
restregar	r e s t ɾ e ɡ a ɾ
restricción	r e s t ɾ i ɡ θ j o n
restrictiva	r e s t ɾ i ɡ t i b a
restrictivo	r e s t ɾ i ɡ t i b o
restrictor	r e s t ɾ i ɡ t o ɾ
restructuración	r e s t ɾ u ɡ t u ɾ a θ j o n
restructurada	r e s t ɾ u ɡ t u ɾ a d a
restructuradas	r e s t ɾ u ɡ t u ɾ a d a s
restructurado	r e s t ɾ u ɡ t u ɾ a d o
restructurados	r e s t ɾ u ɡ t u ɾ a d o s
restructurar	r e s t ɾ u ɡ t u ɾ a ɾ
resubida	r e s u b i d a
resubidas	r e s u b i d a s
resubido	r e s u b i d o
resubidos	r e s u b i d o s
resubir	r e s u b i ɾ
resubo	r e s u b o
resucitación	r e s u θ i t a θ j o n
resuello	r e s w e ʎ o
resuelta	r e s w e l t a
resueltamente	r e s w e l t a m e n t e
resueltas	r e s w e l t a s
resuelto	r e s w e l t o
resueltos	r e s w e l t o s
resultaos	r e s u l t a o s
resultón	r e s u l t o n
resumible	r e s u m i b l e
resumidamente	r e s u m i d a m e n t e
resumé	r e s u m e
resurgente	r e s u ɾ x e n t e
resurgimiento	r e s u ɾ x i m j e n t o
resurrección	r e s u r e ɡ θ j o n
resuspensión	r e s u s p e n s j o n
resuélvelo	r e s w e l b e l o
reséndiz	r e s e n d i θ
retablillo	r e t a b l i ʎ o
retablito	r e t a b l i t o
retacito	r e t a θ i t o
retagil	r e t a x i l
retagiles	r e t a x i l e s
retahíla	r e t a i l a
retail	r i t e i l
retajil	r e t a x i l
retajiles	r e t a x i l e s
retalear	r e t a l e a ɾ
retalhuleu	r e t a l u l e u
retamo	r e t a m o
retante	r e t a n t e
retapizar	r e t a p i θ a ɾ
retardación	r e t a ɾ d a θ j o n
retardatario	r e t a ɾ d a t a ɾ j o
retemplar	r e t e m p l a ɾ
retencionista	r e t e n θ j o n i s t a
retención	r e t e n θ j o n
retenedla	r e t e n e d l a
retenedlas	r e t e n e d l a s
retenedle	r e t e n e d l e
retenedles	r e t e n e d l e s
retenedlo	r e t e n e d l o
retenedlos	r e t e n e d l o s
retenedme	r e t e n e d m e
retenednos	r e t e n e d n o s
retengámosla	r e t e n ɡ a m o s l a
retengámoslas	r e t e n ɡ a m o s l a s
retengámosle	r e t e n ɡ a m o s l e
retengámosles	r e t e n ɡ a m o s l e s
retengámoslo	r e t e n ɡ a m o s l o
retengámoslos	r e t e n ɡ a m o s l o s
retenla	r e t e n l a
retenlas	r e t e n l a s
retenle	r e t e n l e
retenles	r e t e n l e s
retenlo	r e t e n l o
retenlos	r e t e n l o s
retenme	r e t e m m e
retennos	r e t e n n o s
reteñida	r e t e ɲ i d a
reteñidas	r e t e ɲ i d a s
reteñido	r e t e ɲ i d o
reteñidos	r e t e ɲ i d o s
reticencia	r e t i θ e n θ j a
reticentemente	r e t i θ e n t e m e n t e
reticulado	r e t i k u l a d o
reticulina	r e t i k u l i n a
reticulocito	r e t i k u l o θ i t o
reticulocitosis	r e t i k u l o θ i t o s i s
retimbrada	r e t i m b ɾ a d a
retimbradas	r e t i m b ɾ a d a s
retimbrado	r e t i m b ɾ a d o
retimbrados	r e t i m b ɾ a d o s
retimbrar	r e t i m b ɾ a ɾ
retinal	r e t i n a l
retinitis	r e t i n i t i s
retinocoroidopatía	r e t i n o k o ɾ o i d o p a t i a
retinocoroidopatías	r e t i n o k o ɾ o i d o p a t i a s
retinol	r e t i n o l
retinopatía	r e t i n o p a t i a
retinosis	r e t i n o s i s
retináculo	r e t i n a k u l o
retináculos	r e t i n a k u l o s
retipificar	r e t i p i f i k a ɾ
retirareis	r e t i ɾ a ɾ e i s
retitulada	r e t i t u l a d a
retituladas	r e t i t u l a d a s
retitulado	r e t i t u l a d o
retitulados	r e t i t u l a d o s
retorcimiento	r e t o ɾ θ i m j e n t o
retornable	r e t o ɾ n a b l e
retorromance	r e t o r o m a n θ e
retorsión	r e t o ɾ s j o n
retoñito	r e t o ɲ i t o
retrabajo	r e t ɾ a b a x o
retracción	r e t ɾ a ɡ θ j o n
retractada	r e t ɾ a ɡ t a d a
retractadas	r e t ɾ a ɡ t a d a s
retractado	r e t ɾ a ɡ t a d o
retractados	r e t ɾ a ɡ t a d o s
retractar	r e t ɾ a ɡ t a ɾ
