'day	d a j
sapyaw	s a p j a w
saquing	s a k i ŋ
sara	s a ɾ a
sarabia	s a ɾ a b j a
sarado	s a ɾ a d o
saragate	s a ɾ a ɡ a t e
sarah	s a ɾ a
sarahan	s a ɾ a h a n
sarang	s a ɾ a ŋ
sarangani	s a ɾ a ŋ ɡ a n i
saranggola	s a ɾ a ŋ ɡ o l a
sarap	s a ɾ a p
sarat	s a ɾ a t
saray	s a ɾ a j
sarbey	s a ɾ b e j
sarcia	s a ɾ s i a
sarciado	s a ɾ s i a d o
sardinas	s a ɾ d i n a s
sarenas	s a ɾ e n a s
sarhan	s a ɾ h a n
sarhento	s a ɾ h e n t o
sari	s a ɾ i
sariaya	s a ɾ j a j a
saribuhay	s a ɾ i b u h a j
sarili	s a ɾ i l i
sarilinin	s a ɾ i l i n i n
sarimanok	s a ɾ i m a n o k
sariwa	s a ɾ i w a ʔ
sariwain	s a ɾ i w a ʔ i n
sarkasmo	s a ɾ k a s m o
sarkastiko	s a ɾ k a s t i k o
sarmiento	s a ɾ m i e n t o
saro	s a ɾ o
sarol	s a ɾ o l
sarona	s a ɾ o n a
sarong	s a ɾ o ŋ
sarraga	s a ɾ a ɡ a
sarreal	s a ɾ e a l
sarsa	s a ɾ s a
sarsahan	s a ɾ s a h a n
sarsaparilya	s a ɾ s a p a ɾ i l j a
sarsiado	s a ɾ s i a d o
sarsiyado	s a ɾ s i a d o
sarsuwela	s a ɾ s u e l a
sarswela	s a ɾ s w e l a
sarsyado	s a ɾ s j a d o
sarutso	s a ɾ u t s o
sasa	s a s a
sasabungin	s a s a b u ŋ i n
sasabunutan	s a s a b u n u t a n
sasag	s a s a ɡ
sasak	s a s a k
sasakyan	s a s a k j a n
sasal	s a s a l
sasama	s a s a m a
sasang	s a s a ŋ
sasangan	s a s a ŋ a n
sasapinan	s a s a p i n a n
sasapnan	s a s a p n a n
saserdote	s a s e ɾ d o t e
sashimi	s a s j i m i
saspek	s a s p e k
sasti	s a s t i
sastre	s a s t ɾ e
satambal	s a t a m b a l
satanas	s a t a n a s
satay	s a t a j
sate	s a t e
satelait	s a t e l a j t
satelayt	s a t e l a j t
satelite	s a t e l i t e
satin	s a t i n
satira	s a t i ɾ a
satirikal	s a t i ɾ i k a l
satiriko	s a t i ɾ i k o
satiyan	s a t i a n
satol	s a t o l
satomi	s a t o m i
satsaron	s a t s a ɾ o n
satsat	s a t s a t
saturno	s a t u ɾ n o
saud	s a ʔ u d
saudi	s a w d i
saugnay	s a ʔ u ɡ n a j
saulado	s a ʔ u l a d o
sauli	s a ʔ u l i ʔ
saulo	s a ʔ u l o
saulog	s a w l o ɡ
sauluhin	s a ʔ u l u h i n
saulupong	s a ʔ u l u p o ŋ
sauna	s a ʔ u n a
sawa	s a w a
sawali	s a w a l i ʔ
sawata	s a w a t a ʔ
sawatain	s a w a t a ʔ i n
saway	s a w a j
sawayin	s a w a j i n
sawi	s a w i ʔ
sawil	s a w i l
sawing	s a w i ŋ
sawo	s a w o
sawong	s a w o ŋ
sawsaw	s a w s a w
sawsawan	s a w s a w a n
saya	s a j a
sayad	s a j a d
sayang	s a j a ŋ
sayans	s a j a n s
sayantifik	s a j a n t i f i k
sayantipik	s a j a n t i p i k
sayantipiko	s a j a n t i p i k o
sayantis	s a j a n t i s
sayantist	s a j a n t i s t
sayantista	s a j a n t i s t a
sayaong	s a j a ʔ o ŋ
sayap	s a j a p
sayari	s a j a ɾ i ʔ
sayaw	s a j a w
sayawan	s a j a w a n
sayawin	s a j a w i n
saydlayn	s a j d l a j n
sayentipiko	s a j e n t i p i k o
sayentista	s a j e n t i s t a
sayi	s a j e ʔ
sayimsim	s a j i m s i m
saykoanalisis	s a j k o ʔ a n a l i s i s
saykoanalitikal	s a j k o ʔ a n a l i t i k a l
saykoanalitiko	s a j k o ʔ a n a l i t i k o
saykolodyi	s a j k o l o d j i
saykolohiya	s a j k o l o h i a
saykoloji	s a j k o l o d j i
saykomotor	s a j k o m o t o ɾ
saynat	s a j n a t
saynete	s a j n e t e
sayo	s a j o
sayod	s a j o d
sayote	s a j o t e
saysay	s a j s a j
sayson	s a j s o n
sayusay	s a j u s a j
sb	ʔ e s b i
schnittka	s n i t k a
scoobs	s k u b s
se	s e
sean	s j a n
sebada	s e b a d a
sebaste	s e b a s t e
sebastipol	s e b a s t i p o l
sebekoy	s e b e k o j
seben	s e b e n
sebo	s e b o
sebra	s e b ɾ a
sebu	s e b u
sebwana	s e b w a n a
sebwano	s e b w a n o
sebyong	s e b j o ŋ
seco	s e k o
seda	s e d a
sedisyon	s e d i s j o n
sedula	s e d u l a
see	s i
segawa	s e ɡ a w a
segidilya	s e ɡ i d i l j a
segidilyas	s e ɡ i d i l j a s
segismundo	s e h i s m u n d o
segovia	s e ɡ o b j a
segui	s e ɡ i
segunda	s e ɡ u n d a
segundahan	s e ɡ u n d a h a n
segundaryo	s e ɡ u n d a ɾ j o
segundo	s e ɡ u n d o
segurado	s e ɡ u ɾ a d o
seguridad	s e ɡ u ɾ i d a d
segurista	s e ɡ u ɾ i s t a
seguro	s e ɡ u ɾ o
seis	s a ʔ i s
seismiko	s i s m i k o
seissiyentos	s a ʔ i s s i e n t o s
seisyentos	s a ʔ i s j e n t o s
seko	s e k o
sekreta	s e k ɾ e t a
sekretaryat	s e k ɾ e t a ɾ j a t
sekreto	s e k ɾ e t o
seks	s e k s
seksi	s e k s i
seksismo	s e k s i s m o
seksiyon	s e k s i o n
seksuwal	s e k s u a l
seksuwalidad	s e k s u a l i d a d
sekswal	s e k s w a l
sekswalidad	s e k s w a l i d a d
sekta	s e k t a
sekular	s e k u l a ɾ
sekularismo	s e k u l a ɾ i s m o
sekundarya	s e k u n d a ɾ j a
sekyu	s e k j u ʔ
selan	s e l a n
selang	s e l a ŋ
selda	s e l d a
selebrasyon	s e l e b ɾ a s j o n
seleksiyon	s e l e k s i o n
seleksyon	s e l e k s j o n
selena	s e l i n a
selepono	s e l e p o n o
selestiyal	s e l e s t i a l
selestyal	s e l e s t j a l
selfi	s e l f i
selma	s e l m a
selopen	s e l o p e n
selopeyn	s e l o p e j n
selopin	s e l o p i n
selos	s e l o s
selosiya	s e l o s i a
selpon	s e l p o n
selula	s e l u l a
selyo	s e l j o
semana	s e m a n a
semantika	s e m a n t i k a
semaña	s e m a n j a
sementado	s e m e n t a d o
sementeryo	s e m e n t e ɾ j o
semento	s e m e n t o
semestre	s e m e s t ɾ e
semikolon	s e m i k o l o n
semilla	s e m i l j a
semilya	s e m i l j a
seminar	s e m i n a ɾ
seminarista	s e m i n a ɾ i s t a
seminaryo	s e m i n a ɾ j o
semitiko	s e m i t i k o
semplang	s e m p l a ŋ
sena	s e n a
senado	s e n a d o
senador	s e n a d o ɾ
senadora	s e n a d o ɾ a
senakulo	s e n a k u l o
senegal	s e n e ɡ a l
senglot	s e ŋ l o t
seniang	s e n j a ŋ
senisa	s e n i s a
senisera	s e n i s e ɾ a
senisero	s e n i s e ɾ o
sensasyon	s e n s a s j o n
sensasyonal	s e n s a s j o n a l
sensibilidad	s e n s i b i l i d a d
sensitibo	s e n s i t i b o
sensura	s e n s u ɾ a
sentenaryo	s e n t e n a ɾ j o
sentensiya	s e n t e n s i a
sentensiyador	s e n t e n s i a d o ɾ
sentensiyahan	s e n t e n s i a h a n
sentensya	s e n t e n s j a
sentensyahan	s e n t e n s j a h a n
sentido	s e n t i d o
sentigrado	s e n t i ɡ ɾ a d o
sentigramo	s e n t i ɡ ɾ a m o
sentilitro	s e n t i l i t ɾ o
sentimetro	s e n t i m e t ɾ o
sentimo	s e n t i m o
sentimos	s e n t i m o s
sentimyento	s e n t i m j e n t o
sentinela	s e n t i n e l a
sentral	s e n t ɾ a l
sentro	s e n t ɾ o
senyal	s e n j a l
senyales	s e n j a l e s
senyas	s e n j a s
senyasan	s e n j a s a n
senyo	s e n j o
senyor	s e n j o ɾ
senyora	s e n j o ɾ a
senyorita	s e n j o ɾ i t a
senyorito	s e n j o ɾ i t o
separatismo	s e p a ɾ a t i s m o
separatista	s e p a ɾ a t i s t a
sepelin	s e p e l i n
sepilyo	s e p i l j o
septiyembre	s e p t i e m b ɾ e
septyembre	s e p t j e m b ɾ e
sepulturero	s e p u l t u ɾ e ɾ o
sepya	s e p j a
ser	s e ɾ
seradura	s e ɾ a d u ɾ a
serafico	s e ɾ a f i k o
serafina	s e ɾ a f i n a
serapin	s e ɾ a p i n
serapina	s e ɾ a p i n a
serapines	s e ɾ a p i n e s
serbesa	s e ɾ b e s a
serbi	s e ɾ b i
serbidor	s e ɾ b i d o ɾ
serbidora	s e ɾ b i d o ɾ a
serbisyo	s e ɾ b i s j o
serbiya	s e ɾ b i a
serbya	s e ɾ b j a
seremonya	s e ɾ e m o n j a
seremonyal	s e ɾ e m o n j a l
serena	s e ɾ i n a
serenata	s e ɾ e n a t a
sereno	s e ɾ e n o
seresa	s e ɾ e s a
sereso	s e ɾ e s o
sergio	s e ɾ h i o
serip	s e ɾ i p
sermon	s e ɾ m o n
serna	s e ɾ n a
sero	s e ɾ o
serpentina	s e ɾ p e n t i n a
serrano	s e ɾ a n o
sertamen	s e ɾ t a m e n
sertipikado	s e ɾ t i p i k a d o
sertipikasyon	s e ɾ t i p i k a s j o n
seruleo	s e ɾ u l e o
serulyo	s e ɾ u l j o
serutso	s e ɾ u t s o
serye	s e ɾ j e
seryo	s e ɾ j o
seryoso	s e ɾ j o s o
sesante	s e s a n t e
sesantehin	s e s a n t e h i n
sesaryan	s e s a ɾ j a n
sesenta	s e s e n t a
sesus	s e s u s
sesyon	s e s j o n
setelment	s e t e l m e n t
setenta	s e t e n t a
setro	s e t ɾ o
setsuko	s e t͡s u k o
setyembre	s e t j e m b ɾ e
seudonimo	s e u d o n i m o
sevilla	s e b i l j a
seyo	s e o
señeres	s e n j e ɾ e s
señor	s e n j o ɾ
sha	s j a
shabu	s j a b u
shahada	s j a h a d a
shakoy	s j a k o j
shao	s j a w
sharia	s j a ɾ i a
sharks	s j a ɾ k s
sharon	s j a ɾ o n
shau	s j a w
shaun	s j o n
shaw	s j a w
shawarma	s j a w a ɾ m a
shawn	s j o n
shet	s j e t
shi	s j i
shiboli	s j i b o l i
shibuli	s j i b u l i
shibuya	s j i b u j a
shimabukuro	s j i m a b u k u ɾ o
shirley	s j e ɾ l i
shiro	s j i ɾ o
shizuko	s j i s u k o
shohei	s j o h e j
shokoy	s j o k o j
shorpet	s j o ɾ p e t
shota	s j o t a ʔ
shpluk	s p l u k
shunga	s j u ŋ a
shupatid	s j u p a t i d
si	s i
sia	s j a
siam	s i a m
siao	s j a w
siargao	s j a ɾ ɡ a w
siasat	s i a s a t
siason	s i a s o n
siba	s i b a ʔ
sibagat	s i b a ɡ a t
sibak	s i b a k
sibalom	s i b a l o m
siban	s i b a n
sibasib	s i b a s i b
sibastopol	s i b a s t o p o l
sibastupol	s i b a s t u p o l
sibat	s i b a t
sibayan	s i b a j a n
sibi	s i b i
sibig	s i b i ɡ
sibika	s i b i k a
sibil	s i b i l
sibilisa	s i b i l i s a
sibilisado	s i b i l i s a d o
sibilisasyon	s i b i l i s a s j o n
sibilyan	s i b i l j a n
sibo	s i b o
sibog	s i b o ɡ
sibol	s i b o l
sibonga	s i b o ŋ a
sibsib	s i b s i b
sibucao	s i b u k a w
sibug	s i b u ɡ
sibukaw	s i b u k a w
sibunag	s i b u n a ɡ
sibuyas	s i b u j a s
sicat	s i k a t
sideral	s i d e ɾ a l
sidha	s i d h a
sidhi	s i d h i ʔ
sidlan	s i d l a n
sidra	s i d ɾ a
sidras	s i d ɾ a s
siga	s i ɡ a
sigadilyas	s i ɡ a d i l j a s
sigalot	s i ɡ a l o t
sigam	s i ɡ a m
sigang	s i ɡ a ŋ
sigaras	s i ɡ a ɾ a s
sigaret	s i ɡ a ɾ e t
sigarilya	s i ɡ a ɾ i l j a
sigarilyas	s i ɡ a ɾ i l j a s
sigarilyo	s i ɡ a ɾ i l j o
sigaro	s i ɡ a ɾ o
sigasig	s i ɡ a s i ɡ
sigaw	s i ɡ a w
sigay	s i ɡ a j
sige	s i ɡ e
sigi	s i ɡ i
sigid	s i ɡ i d
sigik	s i ɡ i k
siging	s i ɡ i ŋ
sigit	s i ɡ i t
sigla	s i ɡ l a
siglap	s i ɡ l a p
siglaw	s i ɡ l a w
siglo	s i ɡ l o
sigma	s i ɡ m a
sigmo	s i ɡ m o ʔ
sigmuan	s i ɡ m u ʔ a n
signipikante	s i ɡ n i p i k a n t e
signo	s i ɡ n o
signos	s i ɡ n o s
sigok	s i ɡ o k
sigras	s i ɡ ɾ a s
sigsa	s i ɡ s a
sigsig	s i ɡ s i ɡ
sigurado	s i ɡ u ɾ a d o
siguraduhin	s i ɡ u ɾ a d u h i n
sigurista	s i ɡ u ɾ i s t a
siguro	s i ɡ u ɾ o
sigwa	s i ɡ w a
sigwada	s i ɡ w a d a
sigwasan	s i ɡ w a s a n
sigya	s i ɡ j a
siha	s i h a ʔ
sihang	s i h a ŋ
sihay	s i h a j
sihayan	s i h a j a n
siid	s i ʔ i d
siil	s i ʔ i l
siim	s i ʔ i m
siit	s i ʔ i t
sikad	s i k a d
sikada	s i k a d a
sikal	s i k a l
sikang	s i k a ŋ
sikap	s i k a p
sikat	s i k a t
sikatsikat	s i k a t s i k a t
sikatuna	s i k a t u n a
sikdo	s i k d o
sikhay	s i k h a j
siki	s i k i ʔ
sikil	s i k i l
sikip	s i k i p
siklab	s i k l a b
siklan	s i k l a n
siklang	s i k l a ŋ
siklista	s i k l i s t a
siklo	s i k l o
sikmat	s i k m a t
sikmura	s i k m u ɾ a
sikno	s i k n o ʔ
siko	s i k o
sikoanalisis	s i k o ʔ a n a l i s i s
sikoanalista	s i k o ʔ a n a l i s t a
sikoanalitikal	s i k o ʔ a n a l i t i k a l
sikoanalitiko	s i k o ʔ a n a l i t i k o
sikolo	s i k o l o
sikologo	s i k o l o ɡ o
sikolohia	s i k o l o h i a
sikolohista	s i k o l o h i s t a
sikolohiya	s i k o l o h i a
sikolohya	s i k o l o h j a
sikot	s i k o t
sikote	s i k o t e
sikoy	s i k o j
sikreto	s i k ɾ e t o
siksik	s i k s i k
siksikan	s i k s i k a n
siksin	s i k s i n
sikulate	s i k u l a t e
sikulo	s i k u l o
sikwan	s i k w a n
sikwat	s i k w a t
sikyu	s i k j u ʔ
sila	s i l a
silab	s i l a b
silaba	s i l a b a
silabasyon	s i l a b a s j o n
silabikasyon	s i l a b i k a s j o n
silag	s i l a ɡ
silahis	s i l a h i s
silakbo	s i l a k b o
silam	s i l a m
silambang	s i l a m b a ŋ
silang	s i l a ŋ
silangan	s i l a ŋ a n
silanganan	s i l a ŋ a n a n
silat	s i l a t
silaw	s i l a w
silay	s i l a j
silayan	s i l a j a n
silbato	s i l b a t o
silbi	s i l b e
silbiro	s i l b i ɾ o
sile	s i l e
sili	s i l e
silid	s i l i d
silidkaphay	s i l i d k a p h a j
silidkapnayan	s i l i d k a p n a j a n
silidkatwan	s i l i d k a t w a n
silidkilos	s i l i d k i l o s
silidkulay	s i l i d k u l a j
silidlawas	s i l i d l a w a s
silidmanahan	s i l i d m a n a h a n
silig	s i l i ɡ
silim	s i l i m
silindro	s i l i n d ɾ o
silinyador	s i l i n j a d o ɾ
silip	s i l i p
siliw	s i l i w
silo	s i l o ʔ
silog	s i l o ɡ
silohiya	s i l o h i a
silopono	s i l o p o n o
silsil	s i l s i l
silverio	s i l b e ɾ j o
silweta	s i l w e t a
silya	s i l j a
silyeriya	s i l j e ɾ i a
silyerya	s i l j e ɾ j a
sim	s i m
sima	s i m a ʔ
simana	s i m a n a
simangot	s i m a ŋ o t
simba	s i m b a
simbahan	s i m b a h a n
simbanali	s i m b a n a l i
simberguwensa	s i m b e ɾ ɡ u e n s a
simbergwensa	s i m b e ɾ ɡ w e n s a
simbolismo	s i m b o l i s m o
simbolo	s i m b o l o
simbulan	s i m b u l a n
simenteryo	s i m e n t e ɾ j o
simento	s i m e n t o
simeona	s i m e o n a
simetriya	s i m e t ɾ i a
simi	s i m i ʔ
simot	s i m o t
simoy	s i m o j
simpan	s i m p a n
simpangol	s i m p a ŋ o l
simpatiko	s i m p a t i k o
simpatiya	s i m p a t i a
simpatya	s i m p a t j a
simpian	s i m p i ʔ a n
simpit	s i m p i t
simple	s i m p l e
simplehan	s i m p l e h a n
simplipikasyon	s i m p l i p i k a s j o n
simpok	s i m p o k
simposyum	s i m p o s j u m
simula	s i m u l a ʔ
simulain	s i m u l a ʔ i n
simulan	s i m u l a n
simulasyon	s i m u l a s j o n
simuno	s i m u n o ʔ
simutsang	s i m u t s a ŋ
sin	s i n
sina	s i n a
sinabunutan	s i n a b u n u t a n
sinadobo	s i n a d o b o
sinag	s i n a ɡ
sinagoga	s i n a ɡ o ɡ a
sinaing	s i n a ʔ i ŋ
sinakyan	s i n a k j a n
sinama	s i n a m a
sinamay	s i n a m a j
sinamomo	s i n a m o m o
sinamong	s i n a m o ŋ
sinandomeng	s i n a n d o m e ŋ
sinangag	s i n a ŋ a ɡ
sinaniban	s i n a n i b a n
sinap	s i n a p
sinapismo	s i n a p i s m o
sinapupo	s i n a p u p o
sinapupunan	s i n a p u p u n a n
sinasabunutan	s i n a s a b u n u t a n
sinat	s i n a t
sinauna	s i n a ʔ u n a
sinaya	s i n a j a
sinco	s i ŋ k o
sindac	s i n d a k
sindak	s i n d a k
sindakin	s i n d a k i n
sindal	s i n d a l
sindi	s i n d i
sindikato	s i n d i k a t o
sine	s i n e
sinehan	s i n e h a n
sinelas	s i n e l a s
sinepete	s i n e p e t e
singa	s i ŋ a
singap	s i ŋ a p
singapura	s i ŋ a p u ɾ a
singasing	s i ŋ a s i ŋ
singaw	s i ŋ a w
singga	s i ŋ ɡ a
singgalong	s i ŋ ɡ a l o ŋ
singgapur	s i ŋ ɡ a p u ɾ
singgi	s i ŋ ɡ i ʔ
singguwatse	s i ŋ ɡ u a t s e
singguwatsi	s i ŋ ɡ u a t s i
singh	s i ŋ
singhal	s i ŋ h a l
singhap	s i ŋ h a p
singhot	s i ŋ h o t
singhutin	s i ŋ h u t i n
singil	s i ŋ i l
singit	s i ŋ i t
singkad	s i ŋ k a d
singkahulugan	s i ŋ k a h u l u ɡ a n
singkak	s i ŋ k a k
singkal	s i ŋ k a l
singkamas	s i ŋ k a m a s
singkamasan	s i ŋ k a m a s a n
singki	s i ŋ k i ʔ
singkit	s i ŋ k i t
singko	s i ŋ k o
singkol	s i ŋ k o l
singkona	s i ŋ k o n a
singkopa	s i ŋ k o p a
singkuhin	s i ŋ k u h i n
singkuwenta	s i ŋ k u e n t a
singli	s i ŋ l i
singsing	s i ŋ s i ŋ
singson	s i ŋ s o n
sinigang	s i n i ɡ a ŋ
sinigurado	s i n i ɡ u ɾ a d o
sinigwelas	s i n i ɡ w e l a s
sinili	s i n i l i
siniloan	s i n i l o ʔ a n
sining	s i n i ŋ
sinipete	s i n i p e t e
sinipit	s i n i p i t
sinipite	s i n i p i t e
sinisa	s i n i s a
sinisera	s i n i s e ɾ a
sinisero	s i n i s e ɾ o
sinisigurado	s i n i s i ɡ u ɾ a d o
sinkuwenta	s i ŋ k u e n t a
sino	s i n o
sinok	s i n o k
sinop	s i n o p
sinsay	s i n s a j
sinsin	s i n s i n
sinsing	s i n s i ŋ
sinsoro	s i n s o ɾ o
sinta	s i n t a
sintabi	s i n t a b i ʔ
sintang	s i n t a ŋ
sintas	s i n t a s
sinto	s i n t o ʔ
sintog	s i n t o ɡ
sintomas	s i n t o m a s
sintones	s i n t o n e s
sintonis	s i n t o n i s
sintores	s i n t o ɾ e s
sintunado	s i n t u n a d o
sintunis	s i n t u n i s
sinturis	s i n t u ɾ i s
sinturon	s i n t u ɾ o n
sinukin	s i n u k i n
sinukmani	s i n u k m a n i ʔ
sinulaman	s i n u l a m a n
sinulid	s i n u l i d
sinuliran	s i n u l i ɾ a n
sinuman	s i n u m a n
sinumbilang	s i n u m b i l a ŋ
sinumpaan	s i n u m p a ʔ a n
sinungaling	s i n u ŋ a l i ŋ
sinupin	s i n u p i n
sinway	s i n w a j
sinyor	s i n j o ɾ
sinyora	s i n j o ɾ a
sinyuldiya	s i n j u l d i a
sioco	s j o k o
siocson	s i o k s o n
siomai	s i o m a j
siongco	s i o ŋ k o
siopao	s i o p a w
sioson	s i o s o n
sipa	s i p a ʔ
sipag	s i p a ɡ
sipagin	s i p a ɡ i n
sipain	s i p a ʔ i n
sipak	s i p a k
sipat	s i p a t
sipatin	s i p a t i n
sipay	s i p a j
sipero	s i p e ɾ o
siphaw	s i p h a w
siphayo	s i p h a j o ʔ
sipi	s i p i ʔ
sipilis	s i p i l i s
sipilyo	s i p i l j o
siping	s i p i ŋ
sipit	s i p i t
sipitin	s i p i t i n
sipnayan	s i p n a j a n
sipocot	s i p o k o t
sipol	s i p o l
sipon	s i p o n
sipot	s i p o t
sipra	s i p ɾ a
sipres	s i p ɾ e s
sipsip	s i p s i p
sipunin	s i p u n i n
siquijor	s i k i h o ɾ
sira	s i ɾ a ʔ
siraan	s i ɾ a ʔ a n
sirain	s i ɾ a ʔ i n
siraulo	s i ɾ a ʔ u l o
sirena	s i ɾ e n a
sirimiyas	s i ɾ i m i a s
sirit	s i ɾ i t
sirkito	s i ɾ k i t o
sirkon	s i ɾ k o n
sirkulasyon	s i ɾ k u l a s j o n
sirkumperensiya	s i ɾ k u m p e ɾ e n s i a
sirkunstansiya	s i ɾ k u n s t a n s i a
sirkuwito	s i ɾ k u i t o
siruhano	s i ɾ u h a n o
siruhiya	s i ɾ u h i a
siruma	s i ɾ u m a
sirup	s i ɾ u p
sirwelas	s i ɾ w e l a s
sirya	s i ɾ j a
siryales	s i ɾ j a l e s
sisante	s i s a n t e
sisantehin	s i s a n t e h i n
sisay	s i s a j
sisenta	s i s e n t a
sisi	s i s e
sisid	s i s i d
sisidlan	s i s i d l a n
sisig	s i s i ɡ
sisiguraduhin	s i s i ɡ u ɾ a d u h i n
sisihan	s i s i h a n
sisihin	s i s i h i n
sisikat	s i s i k a t
sisil	s i s i l
sisiliran	s i s i l i ɾ a n
sisilog	s i s i l o ɡ
sisip	s i s i p
sisiw	s i s i w
sisiwa	s i s i w a
sisiyo	s i s i o
sismatiko	s i s m a t i k o
sismiko	s i s m i k o
sismolohiya	s i s m o l o h i a
sismometro	s i s m o m e t ɾ o
sisne	s i s n e
siso	s i s o
sison	s i s o n
sisos	s i s o s
sistema	s i s t e m a
sistematiko	s i s t e m a t i k o
sistemiko	s i s t e m i k o
sisukiristo	s i s u k i ɾ i s t o
sisus	s i s u s
sita	s i t a
sitasyon	s i t a s j o n
sitaw	s i t a w
sitchon	s i t s o n
sitenta	s i t e n t a
sitha	s i t h a ʔ
sitolohiya	s i t o l o h i a
sitsaron	s i t s a ɾ o n
sitse	s i t s e
sitsirika	s i t s i ɾ i k a
sitsirya	s i t s i ɾ j a
sitwasyon	s i t w a s j o n
sityo	s i t j o
siwalat	s i w a l a t
siwang	s i w a ŋ
siy	s i
siya	s i a
siyaho	s i a h o
siyak	s i a k
siyakoy	s i a k o j
siyam	s i a m
siyamnapu	s i a m n a p u ʔ
siyamnaraan	s i a m n a ɾ a ʔ a n
siyampu	s i a m p u
siyanga	s i a ŋ a ʔ
siyano	s i a n o ʔ
siyansi	s i a n s i
siyantung	s i a n t u ŋ
siyap	s i a p
siyasat	s i a s a t
siyasatan	s i a s a t a n
siyasig	s i a s i ɡ
siyasik	s i a s i k
siyasip	s i a s i p
siyemay	s i e m a j
siyempre	s i e m p ɾ e
siyena	s i e n a
siyensiya	s i e n s i a
siyentipiko	s i e n t i p i k o
siyentista	s i e n t i s t a
siyento	s i e n t o
siyesta	s i e s t a
siyete	s i e t e
siyetemesino	s i e t e m e s i n o
siyobe	s i o b e
siyok	s i o k
siyoki	s i o k i ʔ
siyokla	s i o k l a ʔ
siyokot	s i o k o t
siyokoy	s i o k o j
siyoktong	s i o k t o ŋ
siyomay	s i o m a j
siyopaw	s i o p a w
siyota	s i o t a ʔ
siyoti	s i o t i
siyudad	s i u d a d
siyurbol	s i u ɾ b o l
siyurpit	s i u ɾ p i t
siyuting	s i u t i ŋ
sk	ʔ e s k e j
slang	s l a ŋ
smith	s m i t
so	s o
soberania	s o b e ɾ a n i a
soberanidad	s o b e ɾ a n i d a d
soberaniya	s o b e ɾ a n i a
soberano	s o b e ɾ a n o
soberanya	s o b e ɾ a n j a
soberenidad	s o b e ɾ e n i d a d
soberenya	s o b e ɾ e n j a
sobla	s o b l a
sobra	s o b ɾ a
sobre	s o b ɾ e
sobrekarga	s o b ɾ e k a ɾ ɡ a
sobrepelis	s o b ɾ e p e l i s
sobrepelyis	s o b ɾ e p e l j i s
sobrepeña	s o b ɾ e p e n j a
sobyet	s o b j e t
soccsksargen	s o k s a ɾ d j e n
sodiyako	s o d i a k o
sodyak	s o d j a k
sodyako	s o d j a k o
sogod	s o ɡ o d
soho	s o h o
solana	s o l a n a
solano	s o l a n o
solapa	s o l a p a
solb	s o l b
soledad	s o l e d a d
solenoyde	s o l e n o j d e
soli	s o l e ʔ
solideo	s o l i d e o
solido	s o l i d o
solidum	s o l i d u m
solihiya	s o l i h i a
soliman	s o l i m a n
solipsismo	s o l i p s i s m o
solis	s o l i s
solisitor	s o l i s i t o ɾ
solista	s o l i s t a
soliven	s o l i b e n
solo	s o l o
soloista	s o l o i s t a
solowista	s o l o w i s t a
solsona	s o l s o n a
solstisyo	s o l s t i s j o
soltada	s o l t a d a
soltador	s o l t a d o ɾ
soluhin	s o l u h i n
solusyon	s o l u s j o n
sombi	s o m b i
sombrero	s o m b ɾ e ɾ o
son	s o n
songco	s o ŋ k o
soologo	s o ʔ o l o ɡ o
soolohiko	s o ʔ o l o h i k o
soolohiya	s o ʔ o l o h i a
soon	s u n
sopa	s o p a
sopas	s o p a s
sopbol	s o p b o l
sophia	s o f i a
sophie	s o w f i
sopistikado	s o p i s t i k a d o
soplete	s o p l e t e
sorbetes	s o ɾ b e t e s
sori	s o ɾ i
soriano	s o ɾ j a n o
soro	s o ɾ o
sorpresa	s o ɾ p ɾ e s a
sorsogon	s o ɾ s o ɡ o n
sosa	s o s a
sosi	s o s i
sospetsa	s o s p e t s a
sosyal	s o s j a l
sosyalismo	s o s j a l i s m o
sosyalista	s o s j a l i s t a
sosyedad	s o s j e d a d
sosyo	s o s j o
sosyolek	s o s j o l e k
sosyologo	s o s j o l o ɡ o
sosyolohiya	s o s j o l o h i a
sota	s o t a
sotana	s o t a n a
sotanghon	s o t a ŋ h o n
sotsoa	s o t s o a
sotsowa	s o t s o a
sotsua	s o t s u a
sotsuwa	s o t s u a
sotswa	s o t s w a
sotto	s o t o
spakol	s p a k o l
spamsilog	s p a m s i l o ɡ
spencer	s p e n s e ɾ
starbs	s t a ɾ b s
stariray	s t a ɾ i ɾ a j
stella	s t e l a
stephanie	s t e f a n i
stirera	s t i ɾ e ɾ a
stirero	s t i ɾ e ɾ o
strikto	s t ɾ i k t o
suam	s u a m
suan	s u a n
suang	s u ʔ a ŋ
suansing	s u a n s i ŋ
suazo	s u a s o
subali	s u b a l i ʔ
subalit	s u b a l i t
subasko	s u b a s k o
subasob	s u b a s o b
subasta	s u b a s t a
subaybay	s u b a j b a j
subec	s u b e k
subersibo	s u b e ɾ s i b o
subhetibismo	s u b h e t i b i s m o
subic	s u b i k
subida	s u b i d a
subido	s u b i d o
subla	s u b l a
submarino	s u b m a ɾ i n o
subo	s u b o
subok	s u b o k
subsidiya	s u b s i d i a
subsidya	s u b s i d j a
subsidyo	s u b s i d j o
subsob	s u b s o b
subtitulo	s u b t i t u l o
subtraksiyon	s u b t ɾ a k s i o n
subtraksyon	s u b t ɾ a k s j o n
subukan	s u b u k a n
