aachen	aː χ ə n
württembergisches	v ʏ ʁ t t ɛ m b ɛ ʁ g ɪ ʃ ə s
würzburg	v ʏ ɐ t s b ʊ ɐ k
würze	v ʏ ʁ t s ə
würzen	v ʏ ʁ t s ə n
würzend	v ʏ ʁ t s ɛ n t
würzende	v ʏ ʁ t s ɛ n d ə
würzendem	v ʏ ʁ t s ɛ n d ə m
würzenden	v ʏ ʁ t s ɛ n d ə n
würzender	v ʏ ʁ t s ɛ n d ɐ
würzendes	v ʏ ʁ t s ɛ n d ə s
würzest	v ʏ ʁ t s ɛ s t
würzig	v ʏ ʁ t s ɪ ç
würzige	v ʏ ʁ t s ɪ g ə
würzigem	v ʏ ʁ t s ɪ g ə m
würzigen	v ʏ ʁ t s ɪ g ə n
würziger	v ʏ ʁ t s ɪ g ɐ
würzigere	v ʏ ʁ t s ɪ g ɐ ə
würzigerem	v ʏ ʁ t s ɪ g ɐ ə m
würzigeren	v ʏ ʁ t s ɪ g ɐ ə n
würzigerer	v ʏ ʁ t s ɪ g ɐ ɐ
würzigeres	v ʏ ʁ t s ɪ g ɐ ə s
würziges	v ʏ ʁ t s ɪ g ə s
würzigste	v ʏ ʁ t s ɪ g s t ə
würzigstem	v ʏ ʁ t s ɪ g s t ə m
würzigsten	v ʏ ʁ t s ɪ g s t ə n
würzigster	v ʏ ʁ t s ɪ g s t ɐ
würzigstes	v ʏ ʁ t s ɪ g s t ə s
würzt	v ʏ ʁ t s t
würzte	v ʏ ʁ t s t ə
würzten	v ʏ ʁ t s t ə n
würztest	v ʏ ʁ t s t ɛ s t
würztet	v ʏ ʁ t s t ə t
wüsste	v ʏ z s t ə
wüssten	v ʏ z s t ə n
wüsstest	v ʏ z s t ɛ s t
wüsstet	v ʏ z s t ə t
wüst	v yː s t
wüste	v ʏ s t ə
wüstem	v ʏ s t ə m
wüsten	v ʏ s t ə n
wüstend	v ʏ s t ɛ n t
wüstende	v ʏ s t ɛ n d ə
wüstendem	v ʏ s t ɛ n d ə m
wüstenden	v ʏ s t ɛ n d ə n
wüstender	v ʏ s t ɛ n d ɐ
wüstendes	v ʏ s t ɛ n d ə s
wüstenei	v ʏ s t ə n a eː
wüsteneien	v ʏ s t ə n ə iː ə n
wüstengegend	v ʏ s t ɛ ŋ eː g ɛ n t
wüstengegenden	v ʏ s t ɛ ŋ eː g ɛ n d ə n
wüstenrot	v ʏ s t ɛ n ʁ oː t
wüstensand	v ʏ s t ɛ n z a n t
wüstensands	v ʏ s t ɛ n z a n t s
wüster	v yː s t ɐ
wüstere	v ʏ s t ɐ ə
wüsterem	v ʏ s t ɐ ə m
wüsteren	v ʏ s t ɐ ə n
wüsterer	v ʏ s t ɐ ɐ
wüsteres	v ʏ s t ɐ ə s
wüstes	v ʏ s t ə s
wüstest	v ʏ s t ɛ s t
wüsteste	v ʏ s t ɛ s t ə
wüstestem	v ʏ s t ɛ s t ə m
wüstesten	v yː s t ə s t n
wüstester	v ʏ s t ɛ s t ɐ
wüstestes	v ʏ s t ɛ s t ə s
wüstet	v ʏ s t ə t
wüstete	v ʏ s t ə t ə
wüsteten	v ʏ s t ə t ə n
wüstetest	v ʏ s t ə t ɛ s t
wüstetet	v ʏ s t ə t ə t
wüstling	v ʏ s t l ɪ ŋ
wüstlinge	v ʏ s t l ɪ ŋ ə
wüstlingen	v ʏ s t l ɪ ŋ ə n
wüstlings	v ʏ s t l ɪ ŋ s
wüte	v yː t eː
wüten	v yː t n
wütend	v yː t n t
wütende	v yː t ɛ n d ə
wütendem	v yː t ɛ n d ə m
wütenden	v yː t ɛ n d ə n
wütender	v yː t ɛ n d ɐ
wütendere	v yː t ɛ n d ɐ ə
wütenderem	v yː t ɛ n d ɐ ə m
wütenderen	v yː t ɛ n d ɐ ə n
wütenderer	v yː t ɛ n d ɐ ɐ
wütenderes	v yː t ɛ n d ɐ ə s
wütendes	v yː t ɛ n d ə s
wütendste	v yː t ɛ n d s t ə
wütendstem	v yː t ɛ n d s t ə m
wütendsten	v yː t ɛ n d s t ə n
wütendster	v yː t ɛ n d s t ɐ
wütendstes	v yː t ɛ n d s t ə s
wütest	v yː t ɛ s t
wütet	v yː t ə t
wütete	v yː t ə t ə
wüteten	v yː t ə t ə n
wütetest	v yː t eː t ɛ s t
wütetet	v yː t ə t ə t
xanten	k s a n t ə n
xenix	k s eː n iː k s
xerographiere	k s eː ʁ ɔ g ʁ a f iː ʁ eː
xerographieren	k s eː ʁ ɔ g ʁ a f iː ʁ eː n
xerographierst	k s eː ʁ ɔ g ʁ a f iː ʁ s t
xerographiert	k s eː ʁ ɔ g ʁ a f iː ʁ t
xerographierte	k s eː ʁ ɔ g ʁ a f iː ʁ t ə
xerographiertem	k s eː ʁ ɔ g ʁ a f iː ʁ t ə m
xerographierten	k s eː ʁ ɔ g ʁ a f iː ʁ t ə n
xerographierter	k s eː ʁ ɔ g ʁ a f iː ʁ t ɐ
xerographiertes	k s eː ʁ ɔ g ʁ a f iː ʁ t ə s
xerographiertest	k s eː ʁ ɔ g ʁ a f iː ʁ t ɛ s t
xerographiertet	k s eː ʁ ɔ g ʁ a f iː ʁ t ə t
xerox	k s eː ʁ oː k s
xerxes	k s ɛ ʁ k s ə s
xi	k s iː
xoff	k s ɔ f f
xon	k s oː n
xylograph	k s yː l ɔ g ʁ a f
xylographen	k s yː l ɔ g ʁ a f ə n
yacht	j a x t
yoga	j oː g a
zackig	t s a k ɪ ç
zackige	t s a k ɪ g ə
zackigem	t s a k ɪ g ə m
zackigen	t s a k ɪ g ə n
zackiger	t s a k ɪ g ɐ
zackiges	t s a k ɪ g ə s
zaghaft	t͡s aː k h a f t
zaghafte	t s aː k h a f t ə
zaghaftem	t s aː k h a f t ə m
zaghaften	t s aː k h a f t ə n
zaghafter	t s aː k h a f t ɐ
zaghaftes	t s aː k h a f t ə s
zahl	t s aː l
zahlbar	t s a l b aː ʁ
zahlbare	t s a l b a ʁ ə
zahlbarem	t s a l b a ʁ ə m
zahlbaren	t s a l b a ʁ ə n
zahlbarer	t s a l b a ʁ ɐ
zahlbares	t s a l b a ʁ ə s
zahle	t s aː l ə
zahlen	t s aː l n
zahlenangabe	t s a l eː n a ŋ a b ə
zahlenangaben	t s a l eː n a ŋ a b ə n
zahlenaspekt	t s a l eː n a s p ɛ k t
zahlenbeispiel	t s a l ɛ n b a eː s p iː l
zahlenbeispiele	t s a l ɛ n b a eː s p iː l ə
zahlenbeispielen	t s a l ɛ n b a eː s p iː l ə n
zahlenbeispiels	t s a l ɛ n b a eː s p iː l s
zahlenblock	t s a l ɛ n b l ɔ k
zahlend	t s aː l ə n t
zahlendarstellung	t s a l ɛ n d a ʁ s t ɛ l l ʊ ŋ
zahlendarstellungen	t s a l ɛ n d a ʁ s t ɛ l l ʊ ŋ ə n
zahlende	t s a l ʔ ɛ n d eː
zahlendem	t s a l ɛ n d ə m
zahlenden	t s a l ʔ ɛ n d ə n
zahlender	t s a l ɛ n d ɐ
zahlendes	t s a l ʔ ɛ n d ə s
zahleneingabe	t s a l eː n a eː ŋ a b ə
zahleneingaben	t s a l eː n a eː ŋ a b ə n
zahlenfeld	t s a l ɛ n f ɛ l t
zahlenfolge	t s a l ɛ n f ɔ l g ə
zahlenfolgen	t s a l ɛ n f ɔ l g ə n
zahlenform	t s a l ɛ n f ɔ ʁ m
zahlenlotto	t s a l ɛ n l ɔ t oː
zahlenlottos	t s a l ɛ n l ɔ t oː s
zahlenmaterial	t s a l ɛ n m a t eː ʁ iː a l
zahlenparameter	t s a l ɛ n p a ʁ a m ə t ɐ
zahlenparametern	t s a l ɛ n p a ʁ a m eː t ɛ ʁ n
zahlenreihe	t s a l ɛ n ʁ a eː ə
zahlenreihen	t s a l ɛ n ʁ a eː ə n
zahlenschloss	t s a l ɛ n s t s l ɔ s s
zahlenschlosses	t s a l ɛ n s t s l ɔ s z ə s
zahlenspielerei	t s a l ɛ n s p iː l ɐ a eː
zahlenspielereien	t s a l ɛ n s p iː l ɐ ə iː ə n
zahlensystem	t s a l ɛ n z ʏ s t ə m
zahlensysteme	t s a l ɛ n z ʏ s t ə m ə
zahlensystemen	t s a l ɛ n z ʏ s t ə m ə n
zahlensystems	t s a l ɛ n z ʏ s t ɛ m s
zahlenverhältnis	t s a l ɛ n v ɛ ʁ ɛ l t n ɪ s
zahlenverhältnisse	t s a l ɛ n v ɛ ʁ ɛ l t n ɪ s z ə
zahlenverhältnissen	t s a l ɛ n v ɛ ʁ ɛ l t n ɪ s z ə n
zahlenverhältnisses	t s a l ɛ n v ɛ ʁ ɛ l t n ɪ s z ə s
zahlenwerk	t s a l ɛ n v ɛ ʁ k
zahlenwert	t s a l ɛ n v ɛ ʁ t
zahlenwerte	t s a l ɛ n v ɛ ʁ t ə
zahlenwerten	t s a l ɛ n v ɛ ʁ t ə n
zahlenwerts	t s a l ɛ n v ɛ ʁ t s
zahlkarte	t s a l k a ʁ t ə
zahlkarten	t s a l k a ʁ t ə n
zahllos	t s aː l oː s
zahllose	t s a l l oː z eː
zahllosem	t s a l l oː s ə m
zahlloser	t s a l l oː s ɐ
zahlreich	t s a l ʁ a eː ç
zahlreiche	t s a l ʁ a eː ç ə
zahlreichem	t s a l ʁ a eː ç ə m
zahlreichen	t s a l ʁ a eː ç ə n
zahlreicher	t s a l ʁ a eː ç ɐ
zahlreichere	t s a l ʁ a eː ç ɐ ə
zahlreicherem	t s a l ʁ a eː ç ɐ ə m
zahlreicheren	t s a l ʁ a eː ç ɐ ə n
zahlreicherer	t s a l ʁ a eː ç ɐ ɐ
zahlreicheres	t s a l ʁ a eː ç ɐ ə s
zahlreiches	t s a l ʁ a eː ç ə s
zahlreichste	t s a l ʁ a eː ç s t ə
zahlreichstem	t s a l ʁ a eː ç s t ə m
zahlreichsten	t s a l ʁ a eː ç s t ə n
zahlreichster	t s a l ʁ a eː ç s t ɐ
zahlreichstes	t s a l ʁ a eː ç s t ə s
zahlst	t s aː l s t
zahlt	t s aː l t
zahltag	t s aː l t aː k
zahltage	t s a l t a g ə
zahltagen	t s a l t a g ə n
zahltags	t s a l t a k s
zahlte	t s aː l t ə
zahlten	t s aː l t n
zahltest	t s aː l t ə s t
zahltet	t s aː l t ə t
zahlung	t s a l ʊ ŋ
zahlungen	t s a l ʊ ŋ ə n
zahlungsabkommen	t s a l ʊ ŋ z a p k ɔ m m ə n
zahlungsabkommens	t s a l ʊ ŋ z a p k ɔ m m ɛ n s
zahlungsanweisung	t s a l ʊ ŋ z a n v a eː z ʊ ŋ
zahlungsanweisungen	t s a l ʊ ŋ z a n v a eː z ʊ ŋ ə n
zahlungsaufforderung	t s a l ʊ ŋ z a oː f f ɔ ʁ d ɐ ʊ ŋ
zahlungsaufforderungen	t s a l ʊ ŋ z a oː f f ɔ ʁ d ɐ ʊ ŋ ə n
zahlungsaufschub	t s a l ʊ ŋ z a oː f ʃ uː p
zahlungsaufschubes	t s a l ʊ ŋ z a oː f ʃ uː b ə s
zahlungsaufschüben	t s a l ʊ ŋ z a oː f ʃ yː b ə n
zahlungsaufstellung	t s a l ʊ ŋ z a oː f s t ɛ l l ʊ ŋ
zahlungsauftrag	t s a l ʊ ŋ z a oː f t ʁ a k
zahlungsauftrages	t s a l ʊ ŋ z a oː f t ʁ a g ə s
zahlungsaufträge	t s a l ʊ ŋ z a oː f t ʁ ɛ g ə
zahlungsaufträgen	t s a l ʊ ŋ z a oː f t ʁ ɛ g ə n
zahlungsbedingung	t s a l ʊ ŋ s b eː d ɪ ŋ ʊ ŋ
zahlungsbedingungen	t s a l ʊ ŋ s b eː d ɪ ŋ ʊ ŋ ə n
zahlungsbefehl	t s a l ʊ ŋ s b eː f eː l
zahlungsbefehle	t s a l ʊ ŋ s b eː f eː l ə
zahlungsbefehlen	t s a l ʊ ŋ s b eː f eː l ə n
zahlungsbefehls	t s a l ʊ ŋ s b eː f eː l s
zahlungsbeleg	t s a l ʊ ŋ s b eː l eː k
zahlungsbelege	t s a l ʊ ŋ s b eː l eː g ə
zahlungsbelegen	t s a l ʊ ŋ s b eː l eː g ə n
zahlungsbelegs	t s a l ʊ ŋ s b eː l ɛ k s
zahlungsbilanz	t s a l ʊ ŋ s b iː l a n t s
zahlungsbilanzen	t s a l ʊ ŋ s b iː l a n t s ə n
zahlungsbilanzüberschuss	t s a l ʊ ŋ s b iː l a n t s yː b ɛ ʁ ʃ ʊ s s
zahlungsbilanzüberschusses	t s a l ʊ ŋ s b iː l a n t s yː b ɛ ʁ ʃ ʊ s z ə s
zahlungsbilanzüberschüsse	t s a l ʊ ŋ s b iː l a n t s yː b ɛ ʁ ʃ ʏ s z ə
zahlungsbilanzüberschüssen	t s a l ʊ ŋ s b iː l a n t s yː b ɛ ʁ ʃ ʏ s z ə n
zahlungsdefizit	t s a l ʊ ŋ s d eː f iː t s iː t
zahlungseingang	t s a l ʊ ŋ z a eː ŋ a ŋ
zahlungseingangs	t s a l ʊ ŋ z a eː ŋ a ŋ s
zahlungseingänge	t s a l ʊ ŋ z a eː ŋ ɛ ŋ ə
zahlungseingängen	t s a l ʊ ŋ z a eː ŋ ɛ ŋ ə n
zahlungseinstellung	t s a l ʊ ŋ z a eː n s t ɛ l l ʊ ŋ
zahlungsempfänger	t s a l ʊ ŋ z ɛ m p͡f ɛ ŋ ɐ
zahlungsempfängern	t s a l ʊ ŋ z ɛ m p͡f ɛ ŋ ɛ ʁ n
zahlungsempfängers	t s a l ʊ ŋ z ɛ m p͡f ɛ ŋ ɛ ʁ s
zahlungserleichterung	t s a l ʊ ŋ z ɛ ʁ l a eː ç t ɐ ʊ ŋ
zahlungserleichterungen	t s a l ʊ ŋ z ɛ ʁ l a eː ç t ɐ ʊ ŋ ə n
zahlungsfrist	t s a l ʊ ŋ s f ʁ ɪ s t
zahlungsfähig	t s a l ʊ ŋ s f ɛ ɪ ç
zahlungsfähige	t s a l ʊ ŋ s f ɛ ɪ g ə
zahlungsfähigem	t s a l ʊ ŋ s f ɛ ɪ g ə m
zahlungsfähigen	t s a l ʊ ŋ s f ɛ ɪ g ə n
zahlungsfähiger	t s a l ʊ ŋ s f ɛ ɪ g ɐ
zahlungsfähigere	t s a l ʊ ŋ s f ɛ ɪ g ɐ ə
zahlungsfähigerem	t s a l ʊ ŋ s f ɛ ɪ g ɐ ə m
zahlungsfähigeren	t s a l ʊ ŋ s f ɛ ɪ g ɐ ə n
zahlungsfähigerer	t s a l ʊ ŋ s f ɛ ɪ g ɐ ɐ
zahlungsfähigeres	t s a l ʊ ŋ s f ɛ ɪ g ɐ ə s
zahlungsfähiges	t s a l ʊ ŋ s f ɛ ɪ g ə s
zahlungsfähigkeit	t s a l ʊ ŋ s f ɛ ɪ k k ə iː t
zahlungsfähigste	t s a l ʊ ŋ s f ɛ ɪ g s t ə
zahlungsfähigstem	t s a l ʊ ŋ s f ɛ ɪ g s t ə m
zahlungsfähigsten	t s a l ʊ ŋ s f ɛ ɪ g s t ə n
zahlungsfähigster	t s a l ʊ ŋ s f ɛ ɪ g s t ɐ
zahlungsfähigstes	t s a l ʊ ŋ s f ɛ ɪ g s t ə s
zahlungskondition	t s a l ʊ ŋ s k ɔ n d iː t ɪ oː n
zahlungskonditionen	t s a l ʊ ŋ s k ɔ n d iː t ɪ oː n ə n
zahlungskräftig	t s a l ʊ ŋ s k ʁ ɛ f t ɪ ç
zahlungskräftige	t s a l ʊ ŋ s k ʁ ɛ f t ɪ g ə
zahlungskräftigem	t s a l ʊ ŋ s k ʁ ɛ f t ɪ g ə m
zahlungskräftigen	t s a l ʊ ŋ s k ʁ ɛ f t ɪ g ə n
zahlungskräftiger	t s a l ʊ ŋ s k ʁ ɛ f t ɪ g ɐ
zahlungskräftiges	t s a l ʊ ŋ s k ʁ ɛ f t ɪ g ə s
zahlungsmittel	t s a l ʊ ŋ s m ɪ t eː l
zahlungsmitteln	t s a l ʊ ŋ s m ɪ t ɛ l n
zahlungsmittels	t s a l ʊ ŋ s m ɪ t ɛ l s
zahlungsmodalitäten	t s a l ʊ ŋ s m oː d a l iː t ɛː t ə n
zahlungsort	t s a l ʊ ŋ z ɔ ʁ t
zahlungsorte	t s a l ʊ ŋ z ɔ ʁ t ə
zahlungsorten	t s a l ʊ ŋ z ɔ ʁ t ə n
zahlungsortes	t s a l ʊ ŋ z ɔ ʁ t ə s
zahlungsorts	t s a l ʊ ŋ z ɔ ʁ t s
zahlungsplan	t s a l ʊ ŋ s p l a n
zahlungsplans	t s a l ʊ ŋ s p l a n s
zahlungspläne	t s a l ʊ ŋ s p l ɛ n ə
zahlungsplänen	t s a l ʊ ŋ s p l ɛ n ə n
zahlungssystem	t s a l ʊ ŋ s z ʏ s t ə m
zahlungssystems	t s a l ʊ ŋ s z ʏ s t ɛ m s
zahlungstermin	t s a l ʊ ŋ s t ɛ ʁ m ɪ n
zahlungstermine	t s a l ʊ ŋ s t ɛ ʁ m ɪ n ə
zahlungsterminen	t s a l ʊ ŋ s t ɛ ʁ m ɪ n ə n
zahlungstermins	t s a l ʊ ŋ s t ɛ ʁ m ɪ n s
zahlungsunfähig	t s a l ʊ ŋ z ʊ n f ɛ ɪ ç
zahlungsunfähige	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ə
zahlungsunfähigem	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ə m
zahlungsunfähigen	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ə n
zahlungsunfähiger	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ɐ
zahlungsunfähigere	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ɐ ə
zahlungsunfähigerem	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ɐ ə m
zahlungsunfähigeren	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ɐ ə n
zahlungsunfähigerer	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ɐ ɐ
zahlungsunfähigeres	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ɐ ə s
zahlungsunfähiges	t s a l ʊ ŋ z ʊ n f ɛ ɪ g ə s
zahlungsunfähigkeit	t s a l ʊ ŋ z ʊ n f ɛ ɪ k k ə iː t
zahlungsunfähigkeiten	t s a l ʊ ŋ z ʊ n f ɛ ɪ k k ə iː t ə n
zahlungsunfähigste	t s a l ʊ ŋ z ʊ n f ɛ ɪ g s t ə
zahlungsunfähigstem	t s a l ʊ ŋ z ʊ n f ɛ ɪ g s t ə m
zahlungsunfähigsten	t s a l ʊ ŋ z ʊ n f ɛ ɪ g s t ə n
zahlungsunfähigster	t s a l ʊ ŋ z ʊ n f ɛ ɪ g s t ɐ
zahlungsunfähigstes	t s a l ʊ ŋ z ʊ n f ɛ ɪ g s t ə s
zahlungsunwillig	t s a l ʊ ŋ z ʊ n v ɪ l l ɪ ç
zahlungsunwillige	t s a l ʊ ŋ z ʊ n v ɪ l l ɪ g ə
zahlungsunwilligem	t s a l ʊ ŋ z ʊ n v ɪ l l ɪ g ə m
zahlungsunwilligen	t s a l ʊ ŋ z ʊ n v ɪ l l ɪ g ə n
zahlungsunwilliger	t s a l ʊ ŋ z ʊ n v ɪ l l ɪ g ɐ
zahlungsunwilliges	t s a l ʊ ŋ z ʊ n v ɪ l l ɪ g ə s
zahlungsverkehr	t s a l ʊ ŋ s v ɛ ʁ k eː ʁ
zahlungsverkehrs	t s a l ʊ ŋ s v ɛ ʁ k eː ʁ s
zahlungsverpflichtung	t s a l ʊ ŋ s v ɛ ʁ p͡f l ɪ ç t ʊ ŋ
zahlungsverpflichtungen	t s a l ʊ ŋ s v ɛ ʁ p͡f l ɪ ç t ʊ ŋ ə n
zahlungsversprechen	t s a l ʊ ŋ s v ɛ ʁ s p ʁ ɛ ç ə n
zahlungsversprechens	t s a l ʊ ŋ s v ɛ ʁ s p ʁ ɛ ç ɛ n s
zahlungsverzug	t s a l ʊ ŋ s v ɛ ʁ t s uː k
zahlungsverzuges	t s a l ʊ ŋ s v ɛ ʁ t s uː g ə s
zahlungsweise	t s a l ʊ ŋ s v a eː z ə
zahlungsweisen	t s a l ʊ ŋ s v a eː z ə n
zahlungsziel	t s a l ʊ ŋ s t s iː l
zahm	t s a m
zahme	t s a m ə
zahmem	t s a m ə m
zahmen	t s a m ə n
zahmer	t s a m ɐ
zahmere	t s a m ɐ ə
zahmerem	t s a m ɐ ə m
zahmeren	t s a m ɐ ə n
zahmerer	t s a m ɐ ɐ
zahmeres	t s a m ɐ ə s
zahmes	t s a m ə s
zahmste	t s a m s t ə
zahmstem	t s a m s t ə m
zahmsten	t s a m s t ə n
zahmster	t s a m s t ɐ
zahmstes	t s a m s t ə s
zahn	t s a n
zahnarzt	t͡s aː n ʔ a ɐ t͡s t
zahnarztbehandlung	t s a n a ʁ t s t b eː a n d l ʊ ŋ
zahnarztbehandlungen	t s a n a ʁ t s t b eː a n d l ʊ ŋ ə n
zahnarztes	t s a n a ʁ t s t ə s
zahnarztpraxis	t s a n a ʁ t s t p ʁ a k s iː s
zahnarztstuhl	t s a n a ʁ t s t s t uː l
zahnbürsten	t s a n b ʏ ʁ s t ə n
zahnersatz	t s a n ɛ ʁ z a t s
zahnfleisch	t s a n f l a eː ʃ
zahngold	t s a ŋ ɔ l t
zahnlos	t͡s aː n l oː s
zahnlose	t s a n l oː z eː
zahnlosem	t s a n l oː s ə m
zahnloser	t s a n l oː s ɐ
zahnlücke	t s a n l ʏ k ə
zahnlücken	t s a n l ʏ k ə n
zahnpaste	t s a n p a s t ə
zahnpflege	t s a n p͡f l eː g ə
zahnpflegen	t s a n p͡f l eː g ə n
zahnprothesen	t s a n p ʁ ɔ t ə s ə n
zahnprothesenträger	t s a n p ʁ ɔ t eː z ɛ n t ʁ ɛ g ɐ
zahnrad	t s a n ʁ a t
zahnradachse	t s a n ʁ a d a k s ə
zahnradachsen	t s a n ʁ a d a k s ə n
zahnradbahn	t s a n ʁ a t b a n
zahnradbahnen	t s a n ʁ a t b a n ə n
zahnräder	t s a n ʁ ɛ d ɐ
zahns	t s a n s
zahnschmelz	t s a n s t s m ɛ l t s
zahnschmelzes	t s a n s t s m ɛ l t s ə s
zahnschmerzen	t s a n s t s m ɛ ʁ t s ə n
zahnstange	t s a n s t a ŋ ə
zahnstocher	t s aː n ʃ t ɔ χ ə ʁ
zahnstocherbeinen	t s a n s t ɔ x ɛ ʁ b ə ɪ n ə n
zahnstochern	t s a n s t ɔ x ɛ ʁ n
zahnstummeln	t s a n s t ʊ m m ɛ l n
zahntechniker	t s a n t ɛ ç n iː k ɐ
zahntechnikern	t s a n t ɛ ç n iː k ɛ ʁ n
zahntechnikers	t s a n t ɛ ç n iː k ɛ ʁ s
zahnweh	t s aː n v eː
zahnärzte	t s aː n ʔ ɛ ɐ t s t ə
zahnärztin	t s aː n ɛ ʁ t s t ɪ n
zahnärztlich	t s a n ɛ ʁ t s t l ɪ ç
zahnärztliche	t s a n ɛ ʁ t s t l ɪ ç ə
zahnärztlichem	t s a n ɛ ʁ t s t l ɪ ç ə m
zahnärztlichen	t s a n ɛ ʁ t s t l ɪ ç ə n
zahnärztlicher	t s a n ɛ ʁ t s t l ɪ ç ɐ
zahnärztliches	t s a n ɛ ʁ t s t l ɪ ç ə s
zander	t s a n d ɐ
zange	t s a ŋ ə
zangen	t s a ŋ ə n
zank	t s a ŋ k
zanke	t s a ŋ k ə
zanken	t s a ŋ k ə n
zankend	t s a ŋ k ɛ n t
zankende	t s a ŋ k ɛ n d ə
zankendem	t s a ŋ k ɛ n d ə m
zankenden	t s a ŋ k ɛ n d ə n
zankender	t s a ŋ k ɛ n d ɐ
zankendes	t s a ŋ k ɛ n d ə s
zankst	t s a ŋ k s t
zankt	t s a ŋ k t
zankte	t s a ŋ k t ə
zankten	t s a ŋ k t ə n
zanktest	t s a ŋ k t ɛ s t
zanktet	t s a ŋ k t ə t
zapfe	t s a p͡f ə
zapfend	t s a p͡f ɛ n t
zapfende	t s a p͡f ɛ n d ə
zapfendem	t s a p͡f ɛ n d ə m
zapfenden	t s a p͡f ɛ n d ə n
zapfender	t s a p͡f ɛ n d ɐ
zapfendes	t s a p͡f ɛ n d ə s
zapfenstreich	t s a p͡f ɛ n s t ʁ a eː ç
zapfhahn	t s a p͡f a n
zapfhahns	t s a p͡f a n s
zapfhähne	t s a p͡f ɛ n ə
zapfhähnen	t s a p͡f ɛ n ə n
zapfst	t s a p͡f s t
zapft	t s a p͡f t
zapfte	t s a p͡f t ə
zapften	t s a p͡f t ə n
zapftest	t s a p͡f t ɛ s t
zapftet	t s a p͡f t ə t
zappele	t s a p p eː l ə
zappelig	t s a p p eː l ɪ ç
zappelige	t s a p p eː l ɪ g ə
zappeligem	t s a p p eː l ɪ g ə m
zappeligen	t s a p p eː l ɪ g ə n
zappeliger	t s a p p eː l ɪ g ɐ
zappeligere	t s a p p eː l ɪ g ɐ ə
zappeligerem	t s a p p eː l ɪ g ɐ ə m
zappeligeren	t s a p p eː l ɪ g ɐ ə n
zappeligerer	t s a p p eː l ɪ g ɐ ɐ
zappeligeres	t s a p p eː l ɪ g ɐ ə s
zappeliges	t s a p p eː l ɪ g ə s
zappeligste	t s a p p eː l ɪ g s t ə
zappeligstem	t s a p p eː l ɪ g s t ə m
zappeligsten	t s a p p eː l ɪ g s t ə n
zappeligster	t s a p p eː l ɪ g s t ɐ
zappeligstes	t s a p p eː l ɪ g s t ə s
zappeln	t s a p p ɛ l n
zappelnd	t s a p p ɛ l n t
zappelnde	t s a p p ɛ l n d ə
zappelndem	t s a p p ɛ l n d ə m
zappelnden	t s a p p ɛ l n d ə n
zappelnder	t s a p p ɛ l n d ɐ
zappelndes	t s a p p ɛ l n d ə s
zappelst	t s a p p ɛ l s t
zappelt	t s a p p ɛ l t
zappelte	t s a p p ɛ l t ə
zappelten	t s a p p ɛ l t ə n
zappeltest	t s a p p ɛ l t ɛ s t
zappeltet	t s a p p ɛ l t ə t
zappenduster	t s a p ə n d uː s t ɐ
zapple	t s a p p l ə
zapplig	t s a p p l ɪ ç
zapplige	t s a p p l ɪ g ə
zappligem	t s a p p l ɪ g ə m
zappligen	t s a p p l ɪ g ə n
zappliger	t s a p p l ɪ g ɐ
zappligere	t s a p p l ɪ g ɐ ə
zappligerem	t s a p p l ɪ g ɐ ə m
zappligeren	t s a p p l ɪ g ɐ ə n
zappligerer	t s a p p l ɪ g ɐ ɐ
zappligeres	t s a p p l ɪ g ɐ ə s
zappliges	t s a p p l ɪ g ə s
zappligste	t s a p p l ɪ g s t ə
zappligstem	t s a p p l ɪ g s t ə m
zappligsten	t s a p p l ɪ g s t ə n
zappligster	t s a p p l ɪ g s t ɐ
zappligstes	t s a p p l ɪ g s t ə s
zar	t s aː ʁ
zarathustra	t s aː ʁ a t ʊ s t ʁ a
zarathustras	t s aː ʁ a t ʊ s t ʁ a s
zaren	t s a ʁ ə n
zarenzeit	t s a ʁ eː n t s ə iː t
zarewitsch	t s aː ʁ eː v ɪ t͡ʃ
zarin	t s a ʁ ɪ n
zart	t s aː ɐ t
zarte	t s a ʁ t ə
zartem	t s a ʁ t ə m
zarten	t s a ʁ t ə n
zarter	t s a ʁ t ɐ
zartere	t s a ʁ t ɐ ə
zarterem	t s a ʁ t ɐ ə m
zarteren	t s a ʁ t ɐ ə n
zarterer	t s a ʁ t ɐ ɐ
zarteres	t s a ʁ t ɐ ə s
zartes	t s a ʁ t ə s
zarteste	t s a ʁ t ɛ s t ə
zartestem	t s a ʁ t ɛ s t ə m
zartesten	t s aː ʁ t ɛ s t ə n
zartester	t s aː ʁ t ɛ s t ɐ
zartestes	t s aː ʁ t ɛ s t ə s
zartheit	t s a ʁ t ə iː t
zauber	t s a oː b ɐ
zauberbann	t s a oː b ɛ ʁ b a n n
zaubere	t s a oː b ɐ ə
zauberei	t s a oː b ɐ a eː
