'n	m
ereignisgesteuert	ɛ ɐ̯ ʔ a ɪ̯ ɡ n ɪ s ɡ ə ʃ t ɔ ɪ̯ ɐ t
ereignisreich	ɛ ɐ̯ ʔ a ɪ̯ ɡ n ɪ s ʁ a ɪ̯ ç
ereilen	ɛ ɐ̯ ʔ a ɪ̯ l ə n
ererben	ɛ ɐ̯ ʔ ɛ ʁ b n̩
erfahren	ʔ ɛ ɐ̯ f aː ɐ̯ n
erfahrungsgemäß	ɛ ɐ̯ f aː ʁ ʊ ŋ s ɡ ə m ɛː s
erfangen	ɛ ɐ̯ f a ŋ ə n
erfinderisch	ɛ ɐ̯ f ɪ n d ə ʁ ɪ ʃ
erfolgswirksam	ɛ ʁ f ɔ l k s v ɪ ʁ k z aː m
erfolgversprechend	ɛ ɐ̯ f ɔ l k f ɛ ɐ̯ ʃ p ʁ ɛ ç n̩ t
erfolgversprechendsten	ɛ ɐ̯ f ɔ l k f ɛ ɐ̯ ʃ p ʁ ɛ ç n̩ t s t n̩
erforderlich	ɛ ɐ̯ f ɔ ʁ d ɐ l ɪ ç
erfreuen	ɛ ʁ f ʁ ɔ ʏ̯ ə n
erfreuend	ɛ ɐ̯ f ʁ ɔ ɪ̯ ə n t
erfreulich	ɛ ɐ̯ f ʁ ɔ ɪ̯ l ɪ ç
erfreulicherweise	ɛ ɐ̯ f ʁ ɔ ɪ̯ l ɪ ç ɐ v a ɪ̯ z ə
erfrischend	ɛ ɐ̯ f ʁ ɪ ʃ n̩ t
erfroren	ɛ ɐ̯ f ʁ oː ʁ ə n
erfühlen	ɛ ɐ̯ f yː l ə n
erfüllbar	ɛ ɐ̯ f ʏ l b aː ɐ̯
erfüllen	ɛ r f ʏ l ə n
ergab	ɛ ʁ ɡ aː p
ergaunern	ɛ ɐ̯ ɡ a ʊ̯ n ɐ n
ergeben	ɛ ʁ ɡ eː b ə n
ergehen	ɛ ʁ ɡ eː ə n
ergiebig	ɛ ɐ̯ ɡ iː b ɪ k
ergo	ɛ ʁ ɡ o
ergotherapeutisch	ɛ ʁ ɡ o t ɛ ʁ a p ɔ ɪ̯ t ɪ ʃ
ergreifen	ɛ ɐ̯ ɡ ʁ a ɪ̯ f n̩
ergreifend	ɛ ʁ ɡ ʁ a ɪ f ə n t
ergrünen	ɛ ɐ̯ ɡ ʁ yː n ə n
ergötzen	ɛ ʁ ɡ œ t s ə n
erhaben	ɛ r h aː b ə n
erharren	ɛ ɐ̯ h a ʁ ə n
erhaschen	ɛ ɐ̯ h a ʃ n̩
erheiternd	ɛ ɐ̯ h a ɪ̯ t ɐ n t
erhellen	ʔ ɛ ɐ̯ h ɛ l ə n
erhenken	ɛ ɐ̯ h ɛ ŋ k n̩
erholsam	ɛ ɐ̯ h oː l z a m
eristisch	e ʁ ɪ s t ɪ ʃ
eritreisch	e ʁ i t ʁ eː ɪ ʃ
erkalten	ɛ r k a l t ə n
erkennen	ɛ ɐ̯ k ɛ n ə n
erklimmen	ɛ ʁ k l ɪ m ə n
erklärender	ɛ ɐ̯ k l ɛː ʁ ə n d ɐ
erklärendsten	ɛ ɐ̯ k l ɛː ʁ ə n t͡s t ə n
erkundigen	ɛ ɐ̯ k ʊ n d ɪ ɡ n̩
erkälten	ɛ ɐ̯ k ɛ l t ə n
erlahmen	ɛ ɐ̯ l aː m ɛ n
erlangen	ɛ ɐ̯ l a ŋ ə n
erlassen	ʔ ɛ ɐ̯ l a s n̩
erlaucht	ɛ ʁ l a ʊ̯ χ t
erleben	ʔ ɛ ɐ̯ l eː b m̩
erlebt	ɛ ʁ l eː p t
erlegen	ɛ ɐ̯ l eː ɡ ŋ̩
erlen	ɛ ʁ l ə n
erlesen	ɛ ʁ l eː z ə n
erleuchten	ɛ ɐ̯ l ɔ ɪ̯ ç t n̩
erlitten	ɛ ɐ̯ l ɪ t n̩
erlittenen	ʔ ɛ ʁ l ɪ t n̩ ə n
erloschen	ɛ ɐ̯ l ɔ ʃ n̩
erlosen	ɛ ɐ̯ l oː z n̩
erläutern	ɛ ʁ l ɔ ʏ̯ t ə ʁ n
erlösen	ɛ ɐ̯ l øː z ə n
ermorden	ɛ ɐ̯ m ɔ ʁ d n̩
ermuntern	ɛ ʁ m ʊ n t ɐ n
ermutigen	ɛ ʁ m uː t i ɡ ə n
ermutigend	ɛ ɐ̯ m uː t ɪ ɡ n̩ t
ermächtigen	ɛ ɐ̯ m ɛ ç t ɪ ɡ n̩
ermäßigt	ɛ ɐ̯ m eː s ɪ ç t
ermüdend	ɛ ɐ̯ m yː d n̩ t
ernennbar	ɛ ɐ̯ n ɛ n b aː ɐ̯
ernennen	ʔ ɛ ɐ̯ n ɛ n ə n
erneuerbar	ɛ ɐ̯ n ɔ ɪ̯ ɐ b aː ɐ̯
erneuern	ʔ ɛ ɐ̯ n ɔ ɪ̯ ɐ n
erneuernd	ɛ ɐ̯ n ɔ ɪ̯ ɐ n t
erneut	ɛ ʁ n ɔ ɪ̯ t
ernsthaft	ɛ ʁ n s t h a f t
ernsthaftig	ɛ ʁ n s t h a f t ɪ k
ernstlich	ɛ ʁ n s t l ɪ ç
ernähren	ʔ ɛ ɐ̯ n eː ɐ̯ n
ernüchternd	ɛ ɐ̯ n ʏ ç t ɐ n t
erotisch	e ʁ oː t ɪ ʃ
erotoman	e r oː t o m aː n
erpicht	ɛ ɐ̯ p ɪ ç t
erpresst	ɛ ɐ p ʁ ɛ s t
erquicken	ɛ ɐ̯ k v ɪ k n̩
erquickend	ɛ ɐ̯ k v ɪ k n̩ t
erratisch	ɛ ʁ aː t ɪ ʃ
errechenbar	ɛ ɐ̯ ʁ ɛ ç n̩ b aː ɐ̯
erregen	ɛ ʁ eː ɡ ə n
erreichen	ɛ ɐ̯ ʁ a ɪ̯ ç ə n
erretten	ɛ ɐ̯ ʁ ɛ t n̩
errichten	ɛ ʁ ɪ ç t ə n
erröten	ɛ ʁ ʁ øː t n̩
ers	eː r s
ersatzlos	ɛ ɐ̯ z a t͡s l oː s
erschaudern	ɛ ɐ̯ ʃ a ʊ̯ d ɐ n
erschauen	ɛ ɐ̯ ʃ a ʊ̯ ə n
erschauern	ɛ ʁ ʃ a ʊ̯ ɐ n
erschießen	ʔ ɛ ɐ̯ ʃ iː s n̩
erschlagen	ɛ ɐ̯ ʃ l aː ɡ n̩
erschnüffeln	ɛ ɐ̯ ʃ n ʏ f l̩ n
erschrecken	ɛ ʁ ʃ ʁ ɛ k ə n
erschröcklich	ɛ ɐ̯ ʃ ʁ œ k l ɪ ç
erschwindelnd	ɛ ɐ̯ ʃ v ɪ n d ə l n t
erschwingen	ʔ ɛ ɐ̯ ʃ v ɪ ŋ ə n
erschwinglich	ɛ ʁ ʃ v ɪ ŋ l ɪ ç
erschöpfend	ɛ ɐ̯ ʃ œ p͡f n̩ t
erschütterungsfrei	ɛ ɐ̯ ʃ ʏ t ə ʁ ʊ ŋ s f ʁ a ɪ̯
ersetzbar	ɛ ɐ̯ z ɛ t͡s b aː ɐ̯
ersetzbare	ɛ ɐ̯ z ɛ t͡s b aː ʁ ə
ersetzbarem	ɛ ɐ̯ z ɛ t͡s b aː ʁ ə m
ersetzbaren	ɛ ɐ̯ z ɛ t͡s b aː ʁ ə n
ersetzbarer	ɛ ɐ̯ z ɛ t͡s b aː ʁ ɐ
ersetzbares	ɛ ɐ̯ z ɛ t͡s b aː ʁ ə s
ersetzen	ʔ ɛ ɐ̯ z ɛ t s n̩
ersparen	ɛ r ʃ p aː r ə n
ersprießlich	ɛ ɐ̯ ʃ p ʁ iː s l ɪ ç
erst	eː r s t
erstarken	ʔ ɛ ɐ̯ ʃ t a ʁ k n̩
erstatten	ɛ ɐ̯ ʃ t a t n̩
erstaunlich	ɛ ɐ̯ ʃ t a ʊ̯ n l ɪ ç
erstaunlicherweise	ɛ ɐ̯ ʃ t a ʊ̯ n l ɪ ç ɐ v a ɪ̯ z ə
erstbester	e ʁ s t b ɛ s t ɐ
erste	eː r s t ə
erstechen	ɛ ɐ̯ ʃ t ɛ ç n̩
erstehen	ʔ ɛ ɐ̯ ʃ t eː ə n
ersteigen	ɛ ɐ̯ ʃ t a ɪ̯ ɡ n̩
ersteigern	ʔ ɛ ɐ̯ ʃ t a ɪ̯ ɡ ɐ n
erstellen	ɛ ʁ ʃ t ɛ l ə n
ersten	ʔ e ɐ̯ s t n̩
erstens	eː ɐ̯ s t n s
ersticken	ɛ ʁ ʃ t ɪ k ə n
erstklassig	eː ɐ̯ s t k l a s ɪ ç
erstmal	eː ɐ̯ s t m aː l
erstmalig	eː ɐ̯ s t m aː l ɪ k
erstrangig	eː ɐ̯ s t ʁ a ŋ ɪ ç
erstrecken	ɛ ɐ̯ ʃ t ʁ ɛ k ə n
erstversorgen	eː ɐ̯ s t f ɛ ɐ̯ z ɔ ʁ ɡ n̩
ersuchen	ɛ ɐ̯ z uː x n̩
ersättigen	ɛ ɐ̯ z ɛ t ɪ ɡ n̩
ertappen	ɛ ɐ̯ t a p n̩
ertasten	ɛ ɐ̯ t a s t ə n
ertauben	ɛ ɐ̯ t a ʊ̯ b n̩
ertragreich	ɛ ɐ̯ t r aː k r a ɪ̯ ç
ertrink	ɛ ɐ̯ t ʁ ɪ ŋ k
erträglich	ɛ ɐ̯ t ʁ eː k l ɪ ç
ertränken	ɛ r t r ɛ ŋ k ə n
ertönen	ɛ ɐ̯ t øː n ə n
erwachen	ɛ ɐ̯ v a x n̩
erwarten	ɛ ɐ̯ v a ʁ t ə n
erwartungsgemäß	ɛ ɐ̯ v a ʁ t ʊ ŋ s ɡ ə m ɛː s
erwartungsvoll	ɛ ɐ v a ʁ t ʊ ŋ s f ɔ l
erwecken	ɛ ʁ v ɛ k ə n
erweitern	ʔ ɛ ɐ̯ v a ɪ̯ t ɐ n
erwerbsfähig	ɛ ɐ̯ v ɛ ʁ p f ɛː ɪ ç
erwerbslos	ɛ ɐ̯ v ɛ ʁ p s l oː s
erwerbsmäßig	ɛ ɐ̯ v ɛ ʁ p s m ɛː s ɪ ç
erwidern	ɛ r v iː d ə r n
erwirken	ɛ ɐ̯ v ɪ ʁ k n̩
erwägen	ɛ ɐ̯ v eː ɡ n̩
erwählen	ɛ ɐ̯ v eː l ə n
erwählt	ɛ ɐ̯ v eː l t
erwähnen	ɛ r v ɛː n ə n
erwärmen	ɛ ʁ v ɛ ʁ m ə n
erwürgen	ɛ ʁ v ʏ ʁ ɡ ə n
erythematös	e ʁ y t eː m a t øː s
erythräisch	e ʁ y t ʁ ɛː ɪ ʃ
erzeigen	ɛ ɐ̯ t͡s a ɪ̯ ɡ n̩
erzen	eː ɐ̯ t͡s ə n
erziehbar	ɛ ʁ t͡s iː b aː ɐ̯
erzielen	ɛ ɐ̯ t s iː l ə n
erzittern	ɛ ɐ t͡s ɪ t ɐ n
erzkonservativ	ɛ ʁ t͡s k ɔ n z ɛ ʁ v a t iː f
erzählt	ɛ ɐ̯ t͡s ɛː l t
eröffnen	ʔ ɛ ɐ̯ ʔ œ f n ə n
erörtern	ɛ ɐ̯ ʔ œ ʁ t ɐ n
eschen	ɛ ʃ n̩
esier	ɛ s iː ɐ
eskamotieren	ɛ s k a m o t iː ʁ ə n
eskortieren	ɛ s k ɔ ʁ t iː ʁ ə n
espen	ɛ s p ə n
essbar	ɛ s b aː ɐ̯
essensmäßig	ɛ s n̩ s m ɛː s ɪ ç
essgestört	ɛ s ɡ ə ʃ t øː ɐ̯ t
essigsauer	ɛ s ɪ k z a ʊ̯ ɐ
esslingisch	ɛ s l ɪ ŋ ɪ ʃ
esslöffelweise	ɛ s l œ f l̩ v a ɪ̯ z ə
etablieren	e t a b l iː r ə n
etatmäßig	e t aː m ɛː s ɪ ç
etepetete	eː t ə p ə t eː t ə
ethnisch	eː t n ɪ ʃ
etikettieren	ʔ e t i k ɛ t iː ʁ ə n
etiolieren	e t i o l iː ʁ ə n
etlich	ɛ t l ɪ ç
etwa	ɛ t v a
etwelche	ɛ t v ɛ l ç ə
euch	ɔ ɪ̯ ç
euer	ɔ ʏ̯ ɐ
eulenartig	ɔ ɪ̯ l ə n ʔ aː ɐ̯ t ɪ k
eulersch	ɔ ɪ̯ l ɐ ʃ
eurasisch	ɔ ʏ̯ r aː z ɪ ʃ
euretwegen	ɔ ʏ̯ ʁ ə t v eː ɡ ə n
europid	ɔ ɪ̯ ʁ o p iː t
europäid	ɔ ɪ̯ ʁ o p e iː t
europäisch	ɔ ʏ̯ ʁ o p ɛː ɪ̯ ʃ
europäisieren	ɔ ɪ̯ ʁ o p e ʔ i z iː ʁ ə n
euthyreot	ɔ ɪ̯ t y ʁ e oː t
eutroph	ɔ ɪ̯ t ʁ oː f
evangelikal	ɛ v a ŋ ɡ eː l i k aː l
evangelisch	e v a ŋ ɡ eː l ɪ ʃ
evangelisieren	e v a ŋ ɡ e l i z iː ʁ ə n
eventuell	e v ɛ n t u̯ ɛ l
ever	ɛ v ɐ
evidenzbasiert	e v i d ɛ n t͡s b a z iː ɐ̯ t
evolutionistisch	e v o l u t s ɪ̯ o n ɪ s t ɪ ʃ
evolutionär	e v o l u t s ɪ̯ o n eː ʁ
evozieren	e v o t͡s iː ʁ ə n
ewig	eː v ɪ k
ewigerweise	eː v ɪ ɡ ɐ v a ɪ̯ z ə
ewiggestrig	eː v ɪ k ɡ ɛ s t ʁ ɪ k
ewiglich	eː v ɪ k l ɪ ç
exakt	ɛ k s a k t
exakter	ɛ k s a k t ɐ
exaktesten	ɛ k s a k t ə s t ə n
exen	ɛ k s ə n
exerzieren	ɛ k s ɛ ʁ t͡s iː ʁ ə n
existent	ɛ k s ɪ s t ɛ n t
existieren	ɛ k s ɪ s t iː ʁ ə n
exkludieren	ɛ k s k l u d iː ʁ ə n
exorzieren	ɛ k s ɔ ʁ t͡s iː ʁ ə n
explizieren	ɛ k s p l i t͡s iː ʁ ə n
explizit	ɛ k s p l i t s ɪ t
explodieren	ɛ k s p l o d iː ʁ ə n
exploitieren	e k s p l o ɪ̯ t iː ʁ ə n
explosionsartig	ɛ k s p l o z i̯ oː n s ʔ aː ɐ̯ t ɪ ç
explosionsfähig	ɛ k s p l o z i̯ oː n s f ɛː ɪ ç
exponentiell	ɛ k s p o n ɛ n t s j ɛ l
exportieren	ɛ k s p ɔ ʁ t iː ʁ ə n
exportorientiert	ɛ k s p ɔ ʁ t ʔ o ʁ i̯ ɛ n t iː ɐ̯ t
expressiv	ɛ k s p ʁ ɛ s iː f
exquisit	ɛ k s k v i z iː t
extemporieren	ɛ k s t ɛ m p o ʁ iː ʁ ə n
extern	ɛ k s t ɛ ʁ n
extinkt	ɛ k s t ɪ ŋ k t
extra	ɛ k s t ʁ a
extralegal	ɛ k s t ʁ a l e ɡ aː l
extraordinär	ɛ k s t ʁ a ʔ ɔ ʁ d i n ɛː ʁ
extrem	ɛ k s t ʁ eː m
extrinsisch	ɛ k s t ʁ ɪ n z ɪ ʃ
extrudieren	ɛ k s t ʁ u d iː ʁ ə n
exzellent	ɛ k s t s ɛ l ɛ n t
ey	ɛ ɪ̯
eßlingisch	ɛ s l ɪ ŋ ɪ ʃ
fabelhaft	f aː b ə l h a f t
facebooken	f ɛ ɪ̯ s b ʊ k n̩
facettenreich	f a s ɛ t n̩ ʁ a ɪ̯ ç
facettenreicher	f a s ɛ t n̩ ʁ a ɪ̯ ç ɐ
fache	f a x ə
fachen	f a x ə n
fachkundig	f a x k ʊ n d ɪ k
fachsimpeln	f a x z ɪ m p ə l n
fachsprachlich	f a x ʃ p ʁ aː x l ɪ ç
fachunkundig	f a x ʔ ʊ n k ʊ n d ɪ ç
fad	f aː t
fade	f aː d ə
fadenscheinig	f aː d n̩ ʃ a ɪ̯ n ɪ ç
fadisieren	f a d i z iː ɐ̯ n
fadisiert	f a d i z iː ɐ̯ t
fahen	f aː n
fahl	f aː l
fahnden	f aː n d ə n
fahrend	f aː r ə n t
fahrerlos	f aː ʁ ɐ l oː s
fahrig	f aː ʁ ɪ k
fahrradfreundlich	f aː ɐ̯ ʁ aː t f ʁ ɔ ɪ̯ n t l ɪ ç
fair	f ɛː r
fairerweise	f ɛː ʁ ɐ v a ɪ̯ z ə
faken	f eː k ə n
falb	f a l p
fallend	f a l n̩ t
fallest	f a l ə s t
fallet	f a l ə t
fallieren	f a l iː ʁ ə n
falls	f a l s
fallsüchtig	f a l z ʏ ç t ɪ k
fallt	f a l t
falsch	f a l ʃ
falschliegen	f a l ʃ l iː ɡ n̩
faltig	f a l t ɪ k
fame	f ɛ ɪ̯ m
familiär	f a m i l i̯ eː ɐ̯
famos	f a m oː s
famulieren	f a m u l iː ɐ̯ n
fanatisieren	f a n a t i z iː ʁ ə n
fancy	f ɛ n s i
fand	f a n t
fanden	f a n d n̩
fandest	f a n d ə s t
fandet	f a n d ə t
fange	f a ŋ ə
fantasielos	f a n t a z iː l oː s
farbenblind	f a ʁ b n̩ b l ɪ n t
farbenfroh	f a ʁ b n̩ f ʁ oː
farbig	f a ʁ b ɪ k
farme	f a ʁ m ə
farmen	f a ʁ m ə n
farmend	f a ʁ m ə n t
farmest	f a ʁ m ə s t
farmet	f a ʁ m ə t
farmst	f a ʁ m s t
farmte	f a ʁ m t ə
farmten	f a ʁ m t n̩
farmtest	f a ʁ m t ə s t
farmtet	f a ʁ m t ə t
fas	f aː s
faschistoid	f a ʃ ɪ s t o iː t
faseln	f aː z l̩ n
fasen	f aː z n̩
faserig	f aː z ə ʁ ɪ k
fashionable	f ɛ ʃ n ə b l
fassbar	f a s b aː ɐ̯
fassettenreich	f a s ɛ t n̩ ʁ a ɪ̯ ç
fasst	f a s t
fast	f a s t
faste	f a s t ə
fasten	f a s t n̩
fastest	f a s t ə s t
fastet	f a s t ə t
faszinieren	f a s t s i n iː r ə n
fatal	f a t aː l
fauchen	f a ʊ̯ x ə n
faul	f a ʊ̯ l
faulen	f a ʊ̯ l ə n
faulenzen	f a ʊ̯ l ɛ n s ə n
faulig	f a ʊ̯ l ɪ k
fault	f a ʊ̯ l t
faustdicker	f a ʊ̯ s t d ɪ k ɐ
faxen	f a k s n̩
febril	f e b ʁ iː l
feengleich	f eː ə n ɡ l a ɪ̯ ç
fegen	f eː ɡ n̩
fegt	f eː k t
fehlbar	f eː l b aː ɐ̯
fehlen	f eː l ə n
fehlinterpretieren	f eː l ʔ ɪ n t ɐ p ʁ e t iː ʁ ə n
fehlsichtig	f eː l z ɪ ç t ɪ ç
feien	f a ɪ̯ ə n
feierlich	f a ɪ̯ ɐ l ɪ ç
feiern	f a ɪ̯ ɐ n
feig	f a ɪ̯ k
feilhaben	f a ɪ̯ l h aː b n̩
feilschen	f a ɪ̯ l ʃ ə n
fein	f a ɪ̯ n
feindlich	f a ɪ̯ n t l ɪ ç
feindselig	f a ɪ̯ n t z eː l ɪ ç
feinfühlig	f a ɪ̯ n f yː l ɪ ç
feingliedrig	f a ɪ̯ n ɡ l iː d ʁ ɪ k
feinkörnig	f a ɪ̯ n k œ ʁ n ɪ ç
feinmaschig	f a ɪ̯ n m a ʃ ɪ ç
feinporig	f a ɪ̯ n p oː ʁ ɪ ç
feinpulvrig	f a ɪ̯ n p ʊ l f ʁ ɪ ç
feist	f a ɪ̯ s t
fellieren	f ɛ l iː ʁ ə n
feminin	f e m i n iː n
fensterln	f ɛ n s t ɐ l n
fensterlos	f ɛ n s t ɐ l oː s
fern	f ɛ ʁ n
fernmündlich	f ɛ ʁ n m ʏ n t l ɪ ç
fernschauen	f ɛ ɐ̯ n ʃ a ʊ̯ n
fertig	f ɛ d ɪ ç
fertil	f ɛ ʁ t iː l
festklopfen	f ɛ s t k l ɔ p͡f n̩
festlegen	f ɛ s t l eː ɡ n̩
festnageln	f ɛ s t n aː ɡ ə l n
festsaugen	f ɛ s t z a ʊ̯ ɡ n̩
feststecken	f ɛ s t ʃ t ɛ k n̩
feststellen	f ɛ s t ʃ t ɛ l ə n
fetischisieren	f e t ɪ ʃ ɪ z iː ʁ ə n
fetten	f ɛ t ə n
fetthaltig	f ɛ t h a l t ɪ k
fetthältig	f ɛ t h ɛ l t ɪ k
fettig	f ɛ t ɪ k
fettsüchtig	f ɛ t z ʏ ç t ɪ k
fetzendeppert	f ɛ t͡s n̩ d̥ ɛ p ɐ t
fetzig	f ɛ t͡s ɪ k
feucht	f ɔ ʏ̯ ç t
feuchter	f ɔ ʏ̯ ç t ɐ
feuchtfröhlich	f ɔ ɪ̯ ç t f ʁ øː l ɪ ç
feudal	f ɔ ɪ̯ d aː l
feudeln	f ɔ ʏ̯ d ə l n
feuerfarben	f ɔ ɪ̯ ɐ f a ʁ b n̩
feuergefährlich	f ɔ ɪ̯ ɐ ɡ ə f ɛː ɐ̯ l ɪ ç
feuern	f ɔ ʏ̯ ɐ n
feuerrot	f ɔ ɪ̯ ɐ ʁ oː t
feurig	f ɔ ɪ̯ ʁ ɪ k
fibrös	f i b ʁ øː s
fichten	f ɪ ç t n̩
ficke	f ɪ k ə
ficken	f ɪ k ə n
fickend	f ɪ k ŋ̩ t
fickerig	f ɪ k ə ʁ ɪ k
fickest	f ɪ k ə s t
ficket	f ɪ k ə t
fickrig	f ɪ k ʁ ɪ k
fickst	f ɪ k s t
fickt	f ɪ k t
fickte	f ɪ k t ə
fickten	f ɪ k t n̩
ficktest	f ɪ k t ə s t
ficktet	f ɪ k t ə t
fideler	f i d eː l ɐ
fidelsten	f i d eː l s t n̩
fieberfrei	f iː b ɐ f ʁ a ɪ̯
fieberhaft	f iː b ɐ h a f t
fieberig	f iː b ə ʁ ɪ k
fiebern	f iː b ɐ n
fiebrig	f iː b ʁ ɪ k
fiel	f iː l
fiele	f iː l ə
fielen	f iː l ə n
fielest	f iː l ə s t
fielet	f iː l ə t
fielst	f iː l s t
fielt	f iː l t
fies	f iː s
fighten	f a ɪ̯ t n̩
figürlich	f i ɡ yː ɐ̯ l ɪ ç
fiktiv	f ɪ k t i v
filamentartig	f i l a m ɛ n t ʔ aː ɐ̯ t ɪ ç
filigran	f i l i ɡ ʁ aː n
filmen	f ɪ l m ə n
filtern	f ɪ l t ɐ n
filzen	f ɪ l t s n̩
filzig	f ɪ l t͡s ɪ k
fimschig	f ɪ m ʃ ɪ ç
finanziell	f i n a n t͡s i̯ ɛ l
finanzieren	f i n a n t s iː ɐ̯ n
finanzkräftig	f i n a n t͡s k ʁ ɛ f t ɪ ç
finassieren	f i n a s iː ʁ ə n
finde	f ɪ n d ə
findend	f ɪ n d n̩ t
findest	f ɪ n d ə s t
findet	f ɪ n d ə t
findig	f ɪ n d ɪ k
fing	f iː ŋ
fingerfertig	f ɪ ŋ ɐ f ɛ ʁ t ɪ k
fingieren	f ɪ ŋ ɡ iː ʁ ə n
fini	f i n iː
finster	f ɪ n s t ɐ
firm	f ɪ ʁ m
firmen	f ɪ ʁ m ə n
firmeneigen	f ɪ ʁ m ə n a ɪ̯ ɡ ə n
fischartig	f ɪ ʃ aː ɐ̯ t ɪ k
fischeln	f ɪ ʃ l n̩
fischen	f ɪ ʃ ə n
fischig	f ɪ ʃ ɪ k
fischkundlich	f ɪ ʃ k ʊ n t l ɪ ç
fischähnlich	f ɪ ʃ ʔ eː n l ɪ ç
fisselig	f ɪ s ə l ɪ k
fisseln	f ɪ z ə l n
fistelig	f ɪ s t ə l ɪ k
fisten	f ɪ s t ə n
fit	f ɪ t
fixieren	f ɪ k s iː ɐ̯ n
flach	f l a χ
flachbrüstig	f l a χ b ʁ ʏ s t ɪ k
flache	f l a χ ə
flachen	f l a χ n̩
flachsen	f l a k s n̩
flachsig	f l a k s ɪ k
flambieren	f l a m b iː ʁ ə n
flammen	f l a m ə n
flanieren	f l a n iː ʁ ə n
flankerln	f l a ŋ k ɐ l n
flankieren	f l a ŋ k iː ʁ ə n
flanschen	f l a n ʃ ə n
flapsig	f l a p s ɪ k
flaschengrün	f l a ʃ n̩ ɡ ʁ yː n
flashen	f l ɛ ʃ n̩
flatulent	f l a t u l ɛ n t
flau	f l a ʊ̯
flauchen	f l a ʊ̯ x n̩
flauschig	f l a ʊ̯ ʃ ɪ k
flechtenbewohnend	f l ɛ ç t ə n b ə v oː n ə n t
fleckig	f l ɛ k ɪ k
fleddern	f l ɛ d ɐ n
flehen	f l eː ə n
flehmen	f l eː m ə n
fleischig	f l a ɪ̯ ʃ ɪ k
fleissen	f l a ɪ̯ s ə n
fleißen	f l a ɪ̯ s n̩
fleißig	f l a ɪ̯ s ɪ k
flektieren	f l ɛ k t iː ʁ ə n
flensburgisch	f l ɛ n s b ʊ ʁ ɡ ɪ ʃ
flensburgischer	f l ɛ n s b ʊ ʁ ɡ ɪ ʃ ɐ
flensen	f l ɛ n z n̩
fletschen	f l ɛ t͡ʃ n̩
flexen	f l ɛ k s n̩
flexibel	f l ɛ k s iː b l̩
flick	f l ɪ k
fliegt	f l iː k t
fliehen	f l iː ə n
fließen	f l iː s n̩
flimmern	f l ɪ m ɐ n
flink	f l ɪ ŋ k
flippen	f l ɪ p ə n
flippig	f l ɪ p ɪ k
flirren	f l ɪ ʁ ə n
flittern	f l ɪ t ɐ n
flockig	f l ɔ k ɪ k
flockigsten	f l ɔ k ɪ k s t n̩
flog	f l oː k
floss	f l ɔ s
flott	f l ɔ t
fluchen	f l uː x n̩
fluchtartig	f l ʊ x t ʔ aː ɐ̯ t ɪ ç
fluchtunfähig	f l ʊ x t ʔ ʊ n f ɛː ɪ ç
fluffig	f l ʊ f ɪ k
flugfähig	f l uː k f ɛː ɪ ç
flugs	f l uː k s
flugunfähig	f l uː k ʊ n f ɛː ɪ ç
fluorhaltig	f l uː oː ɐ̯ h a l t ɪ ç
fluoridhaltig	f l uː oː ʁ iː t h a l t ɪ ç
fluppen	f l ʊ p ə n
flutschen	f l ʊ t ʃ ə n
flämmen	f l ɛ m ə n
fläzen	f l ɛː t s ə n
flöge	f l øː ɡ ə
flöten	f l øː t ə n
flößbar	f l øː s b aː ɐ̯
flüchten	f l ʏ ç t ə n
flüchtig	f l ʏ ç t ɪ k
flück	f l ʏ k
flügellos	f l yː ɡ l̩ l oː s
flügge	f l ʏ ɡ ə
flüstern	f l ʏ s t ɐ n
fokal	f o k aː l
fokussieren	f o k ʊ s iː ʁ ə n
folg	f ɔ l k
folgenschwerer	f ɔ l ɡ ə n ʃ v eː ʁ ɐ
folgerichtig	f ɔ l ɡ ə ʁ ɪ ç t ɪ ç
folgern	f ɔ l ɡ ɐ n
folgsam	f ɔ l k z a m
followen	f ɔ l o ʊ̯ ə n
foltern	f ɔ l t ə r n
foppen	f ɔ p ə n
forcieren	f ɔ ʁ s iː ʁ ə n
forensisch	f o ʁ ɛ n z ɪ ʃ
formal	f ɔ ʁ m aː l
formalisieren	f ɔ ʁ m a l i z iː ʁ ə n
formatieren	f ɔ ʁ m a t iː ʁ ə n
formelhaft	f ɔ r m l̩ h a f t
formell	f o ʁ m ɛ l
formen	f ɔ ʁ m ə n
formulieren	f ɔ ʁ m u l iː ʁ ə n
forsch	f ɔ ʁ ʃ
forschen	f ɔ ʁ ʃ ə n
fortbleiben	f ɔ ʁ t b l a ɪ̯ b n̩
fortdauern	f ɔ ʁ t d a ʊ̯ ɐ n
forteilen	f ɔ ʁ t ʔ a ɪ̯ l ə n
fortfahren	f ɔ ʁ t f aː ʁ ə n
fortführen	f ɔ ʁ t f yː ʁ ə n
forthin	f ɔ ʁ t h ɪ n
fortjagen	f ɔ ʁ t j aː ɡ n̩
fortkönnen	f ɔ ʁ t k œ n ə n
fortlegen	f ɔ ʁ t l eː ɡ n̩
fortlocken	f ɔ ʁ t l ɔ k ə n
fortmüssen	f ɔ ɐ̯ t m ʏ s ə n
fortnehmen	f ɔ ʁ t n eː m ə n
fortpflanzen	f ɔ ʁ t p͡f l a n t͡s n̩
fortreisen	f ɔ ɐ̯ t ʁ a ɪ̯ s n̩
