'n	m
umverteiler	ʊ m f ɛ ɐ̯ t a ɪ̯ l ɐ
umvolkung	ʊ m f ɔ l k ʊ ŋ
umweg	ʊ m v eː k
umweltauto	ʊ m v ɛ l t ʔ a ʊ̯ t o
umweltbewusst	ʊ m v ɛ l t b ə v ʊ s t
umweltforschung	ʊ m v ɛ l t f ɔ ʁ ʃ ʊ ŋ
umweltforschungen	ʊ m v ɛ l t f ɔ ʁ ʃ ʊ ŋ ə n
umweltfreundlich	ʊ m v ɛ l t f ʁ ɔ ɪ̯ n t l ɪ ç
umweltpolitisch	ʊ m v ɛ l t p o l iː t ɪ ʃ
umweltschaden	ʊ m v ɛ l t ʃ aː d n̩
umweltschonend	ʊ m v ɛ l t ʃ oː n ə n t
umweltschützer	ʊ m v ɛ l t ʃ ʏ t͡s ɐ
umweltverträglich	ʊ m v ɛ l t f ɛ ɐ̯ t ʁ ɛː k l ɪ ç
umweltverträglichkeit	ʊ m v ɛ l t f ɛ ɐ̯ t ʁ ɛː k l ɪ ç k a ɪ̯ t
umweltverträglichkeiten	ʊ m v ɛ l t f ɛ ɐ̯ t ʁ ɛː k l ɪ ç k a ɪ̯ t n̩
umweltzerstörung	ʊ m v ɛ l t t͡s ɛ ɐ̯ ʃ t øː ʁ ʊ ŋ
umwenden	ʊ m v ɛ n d ə n
umwerben	ʊ m v ɛ ʁ b ə n
umwerfen	ʊ m v ɛ ʁ f ə n
umwälzen	ʊ m v ɛ l t͡s ə n
umwölkt	ʊ m v œ l k t
umwölkung	ʊ m v œ l k ʊ ŋ
umziehen	ʊ m t͡s iː ə n
umzingeln	ʊ m t͡s ɪ ŋ l̩ n
umzu	ʊ m t s uː
umzugskarton	ʊ m t͡s uː k s k a ʁ t ɔ̃ː
umzäunen	ʊ m t͡s ɔ ɪ̯ n ə n
umänderer	ʊ m ɛ n d ɐ ʁ ɐ
umändern	ʊ m ɛ n d ɐ n
unabdinglich	ʊ n ʔ a p d ɪ ŋ l ɪ ç
unabhängig	ʊ n a p h ɛ ŋ ɪ ç
unabhängigkeit	ʊ n ʔ a p h ɛ ŋ ɪ ç k a ɪ̯ t
unabhängigkeitsbewegung	ʔ ʊ n ʔ a p h ɛ ŋ ɪ ç k a ɪ̯ t s b ə v eː ɡ ʊ ŋ
unabhängigkeitskrieg	ʊ n ʔ a p h ɛ ŋ ɪ ç k a ɪ̯ t͡s k ʁ iː k
unablässig	ʊ n a p l ɛ s ɪ k
unabsehbar	ʊ n ʔ a p z eː b aː ɐ̯
unabstreitbar	ʊ n a p ʃ t ʁ a ɪ̯ t b aː ɐ̯
unabwendbarkeit	ʊ n ʔ a p v ɛ n t b aː ɐ̯ k a ɪ̯ t
unachtsam	ʊ n ʔ a x t z aː m
unachtsamkeit	ʊ n ʔ a x t z aː m k a ɪ̯ t
unamerikanisch	ʊ n a m e ʁ i k aː n ɪ ʃ
unanfechtbar	ʊ n ʔ a n f ɛ ç t b aː ɐ̯
unangemessen	ʊ n ʔ a n ɡ ə m ɛ s n̩
unangenehm	ʊ n a n ɡ ə n eː m
unangenehme	ʊ n ʔ a n ɡ ə n eː m ə
unangenehmem	ʊ n ʔ a n ɡ ə n eː m ə m
unangenehmen	ʊ n ʔ a n ɡ ə n eː m ə n
unangenehmer	ʊ n ʔ a n ɡ ə n eː m ɐ
unangenehmere	ʊ n ʔ a n ɡ ə n eː m ə ʁ ə
unangenehmerem	ʊ n ʔ a n ɡ ə n eː m ə ʁ ə m
unangenehmeren	ʊ n ʔ a n ɡ ə n eː m ə ʁ ə n
unangenehmerer	ʊ n ʔ a n ɡ ə n eː m ə ʁ ɐ
unangenehmeres	ʊ n ʔ a n ɡ ə n eː m ə ʁ ə s
unangenehmes	ʊ n ʔ a n ɡ ə n eː m ə s
unangenehmste	ʊ n ʔ a n ɡ ə n eː m s t ə
unangenehmstem	ʊ n ʔ a n ɡ ə n eː m s t ə m
unangenehmsten	ʊ n ʔ a n ɡ ə n eː m s t n̩
unangenehmster	ʊ n ʔ a n ɡ ə n eː m s t ɐ
unangenehmstes	ʊ n ʔ a n ɡ ə n eː m s t ə s
unangepasst	ʊ n ʔ a n ɡ ə p a s t
unangreifbar	ʊ n ʔ a n ɡ ʁ a ɪ̯ f b aː ɐ̯
unannehmbar	ʊ n ʔ a n n eː m b aː ɐ̯
unannehmlichkeit	ʊ n ʔ a n n eː m l ɪ ç k a ɪ̯ t
unanständig	ʊ n ʔ a n ʃ t ɛ n d ɪ ç
unanstößig	ʊ n ʔ a n ʃ t øː s ɪ ç
unantastbar	ʊ n ʔ a n t a s t b aː ɐ̯
unappetitlich	ʊ n ʔ a p e t iː t l ɪ ç
unartig	ʊ n aː ɐ̯ t ɪ ç
unattraktiv	ʊ n ʔ a t ʁ a k t iː f
unauffindbar	ʊ n ʔ a ʊ̯ f f ɪ n t b aː ɐ̯
unauffälligkeit	ʊ n ʔ a ʊ̯ f ɛ l ɪ ç k a ɪ̯ t
unaufgefordert	ʊ n ʔ a ʊ̯ f ɡ ə f ɔ ʁ d ɐ t
unauflöslich	ʊ n ʔ a ʊ̯ f l øː s l ɪ ç
unaufmerksam	ʊ n ʔ a ʊ̯ f m ɛ ʁ k z aː m
unaufmerksamkeit	ʊ n ʔ a ʊ̯ f m ɛ ʁ k z aː m k a ɪ̯ t
unaufrichtig	ʊ n ʔ a ʊ̯ f ʁ ɪ ç t ɪ ç
unausführbar	ʊ n ʔ a ʊ̯ s f yː ɐ̯ b aː ɐ̯
unausgegoren	ʊ n a ʊ̯ s ɡ ə ɡ oː r ə n
unauslöschlich	ʊ n a u s l œ ʃ l ɪ ç
unaussprechbar	ʊ n a ʊ̯ s ʃ p r ɛ ç b aː r
unausstehlich	ʊ n ʔ a ʊ̯ s ʃ t eː l ɪ ç
unbarmherzig	ʊ n b a ʁ m h ɛ ʁ t͡s ɪ ç
unbeaufsichtigt	ʊ n b ə ʔ a ʊ̯ f z ɪ ç t ɪ ç t
unbedankt	ʊ n b ə d a ŋ k t
unbedarfter	ʊ n z ɛː k l ɪ ç ɐ
unbedeutsamkeit	ʊ n b ə d ɔ ɪ̯ t z aː m k a ɪ̯ t
unbedingt	ʊ n b ə d ɪ ŋ t
unbeeinflussbar	ʊ n b ə ʔ a ɪ̯ n f l ʊ s b aː ɐ̯
unbeeinflusst	ʊ n b ə ʔ a ɪ̯ n f l ʊ s t
unbefangen	ʊ n b ə f a ŋ ə n
unbefristet	ʊ n b ə f ʁ ɪ s t ə t
unbefugt	ʊ n b e f uː k t
unbeglichen	ʊ n b ə ɡ l ɪ ç n̩
unbegreiflich	ʊ n b ə ɡ ʁ a ɪ̯ f l ɪ ç
unbegrenzt	ʊ n b ə ɡ ʁ ɛ n t͡s t
unbegründet	ʊ n b ə ɡ ʁ ʏ n d ə t
unbehaart	ʊ n b ə h aː ɐ̯ t
unbehagen	ʊ n b ə h aː ɡ n̩
unbehauen	ʊ n b ə h a ʊ̯ ə n
unbeholfenheit	ʊ n b ə h ɔ l f ə n h a ɪ̯ t
unbeirrbar	ʊ n b ə ʔ ɪ ʁ b aː ɐ̯
unbeirrt	ʊ n b ə ʔ ɪ ʁ t
unbekannt	ʊ n b ə k a n t
unbekleidet	ʊ n b ə k l a ɪ̯ d ə t
unbekümmert	ʊ n b ə k ʏ m ɐ t
unbekümmertheit	ʊ n b ə k ʏ m ɐ t h a ɪ̯ t
unbeleckt	ʊ n b e l ɛ k t
unbelegt	ʊ n b ə l eː k t
unbenommen	ʊ n b ə n ɔ m ə n
unbequem	ʊ n b ə k v eː m
unberufen	ʊ n b ə ʁ uː f n̩
unbeschadet	ʊ n b ə ʃ aː d ə t
unbeschreiblich	ʊ n b ə ʃ ʁ a ɪ̯ p l ɪ ç
unbeschulbar	ʊ n b ə ʃ uː l b aː ɐ̯
unbesehen	ʊ n b ə z eː ə n
unbesiegbar	ʊ n b ə z iː ɡ b aː ɐ̯
unbesorgt	ʊ n b ə z ɔ ʁ k t
unbesorgtheit	ʊ n b ə z ɔ ʁ k t h a ɪ̯ t
unbespielbar	ʊ n b ə ʃ p iː l b aː ɐ̯
unbestechlich	ʊ n b ə ʃ t ɛ ç l ɪ ç
unbestreitbar	ʊ n b ə ʃ t ʁ a ɪ̯ t b aː ɐ̯
unbeständig	ʊ n b ə ʃ t ɛ n d ɪ k
unbeständigen	ʊ n b ə ʃ t ɛ n d ɪ ɡ n̩
unbeständigste	ʊ n b ə ʃ t ɛ n d ɪ ç s t ə
unbeständigstem	ʊ n b ə ʃ t ɛ n d ɪ ç s t ə m
unbeständigsten	ʊ n b ə ʃ t ɛ n d ɪ ç s t n̩
unbeständigster	ʊ n b ə ʃ t ɛ n d ɪ ç s t ɐ
unbeständigstes	ʊ n b ə ʃ t ɛ n d ɪ ç s t ə s
unbeteiligt	ʊ n b ə t a ɪ̯ l ɪ ç t
unbetont	ʊ n b ə t oː n t
unbeugbar	ʊ n b ɔ ɪ̯ k b aː ɐ̯
unbeugsam	ʊ n b ɔ ɪ̯ k z aː m
unbewacht	ʊ n b ə v a χ t
unbewaffnet	ʊ n b ə v a f n ə t
unbewehrt	ʊ n b ə v eː ɐ̯ t
unbeweibt	ʊ n b ə v a ɪ̯ p t
unbeweisbar	ʊ n b ə v a ɪ̯ s b aː ɐ̯
unbewohnt	ʊ n b ə v oː n t
unbewusst	ʊ n b ə v ʊ s t
unbezwingbar	ʊ n b ə t͡s v ɪ ŋ b aː ɐ̯
unbildung	ʊ n b ɪ l d ʊ ŋ
unbill	ʊ n b ɪ l
unbillig	ʊ n b ɪ l ɪ ç
unbotmäßig	ʊ n b oː t m ɛː s ɪ ç
unbunt	ʊ n b ʊ n t
unbändig	ʊ n b ɛ n d ɪ k
unchillig	ʊ n t͡ʃ ɪ l ɪ ç
unchristlich	ʊ n k ʁ ɪ s t l ɪ ç
und	ə n
undankbarkeit	ʊ n d a ŋ k b aː ɐ̯ k a ɪ̯ t
undatiert	ʊ n d a t iː ɐ̯ t
undecan	uː n d e k aː n
undefinierbar	ʊ n d e f i n iː ɐ̯ b aː ɐ̯
undeklinierbar	ʊ n d e k l i n iː ɐ̯ b aː ɐ̯
undemokratisch	ʊ n d e m o k ʁ aː t ɪ ʃ
undercut	a n d ɐ k a t
underdog	a n d ɐ d ɔ k
undeutsch	ʊ n d ɔ ɪ̯ t͡ʃ
undine	ʊ n d iː n ə
unding	ʊ n d ɪ ŋ
undorn	ʌ n d ɔ ʀ n
undulös	ʊ n d u l øː s
undurchdringbar	ʊ n d ʊ ʁ ç d r ɪ ŋ b aː ɐ̯
undurchlässig	u n d ʊ ʁ ç l ɛ s ɪ ç
undurchschaubar	ʊ n d ʊ ʁ ç ʃ a ʊ̯ b aː ɐ̯
undurchsichtig	ʊ n d ʊ ʁ ç z ɪ ç t ɪ ç
uneben	ʊ n ʔ eː b n̩
unehelich	ʊ n eː l ɪ ç
unehrlich	ʊ n ʔ eː ɐ̯ l ɪ ç
uneigennützig	ʊ n ʔ a ɪ̯ ɡ n̩ n ʏ t͡s ɪ ç
uneigennützigen	ʊ n ʔ a ɪ̯ ɡ n̩ n ʏ t͡s ɪ ɡ n̩
uneigennützigste	ʊ n ʔ a ɪ̯ ɡ n̩ n ʏ t͡s ɪ ç s t ə
uneigennützigstem	ʊ n ʔ a ɪ̯ ɡ n̩ n ʏ t͡s ɪ ç s t ə
uneigennützigsten	ʊ n ʔ a ɪ̯ ɡ n̩ n ʏ t͡s ɪ ç s t n̩
uneigennützigster	ʊ n ʔ a ɪ̯ ɡ n̩ n ʏ t͡s ɪ ç s t ɐ
uneigennützigstes	ʊ n ʔ a ɪ̯ ɡ n̩ n ʏ t͡s ɪ ç s t ə s
uneigentlich	ʊ n a ɪ̯ ɡ ə n t l ɪ ç
uneingeschränkt	ʊ n ʔ a ɪ̯ n ɡ ə ʃ ʁ ɛ ŋ k t
uneinholbar	ʊ n ʔ a ɪ̯ n h oː l b aː ɐ̯
uneinigkeit	ʊ n ʔ a ɪ̯ n ɪ ç k a ɪ̯ t
uneinnehmbar	ʊ n ʔ a ɪ̯ n n eː m b aː ɐ̯
uneinsichtig	u n ʔ a ɪ̯ n z ɪ ç t ɪ k
unendlich	ʊ n ʔ ɛ n t l ɪ ç
unentbehrlich	ʔ ʊ n ʔ ɛ n t b eː ɐ̯ l ɪ ç
unentgeltlich	ʊ n ɛ n t ɡ ɛ l t l ɪ ç
unentschlossene	ʊ n ɛ n t ʃ l ɔ s ə n ə
unentschlossenen	ʊ n ɛ n t ʃ l ɔ s ə n ə n
unentschlossenheit	ʊ n ɛ n t ʃ l ɔ s n̩ h a ɪ̯ t
unentschuldbar	ʊ n ʔ ɛ n t ʃ ʊ l t b aː ɐ̯
unerbittlich	ʊ n ɛ ɐ b ɪ t l ɪ ç
unerbittlichkeit	ʊ n ʔ ɛ ɐ̯ b ɪ t l ɪ ç k a ɪ̯ t
unerfahren	ʊ n ɛ r f aː r ə n
unerfindlich	ʊ n ʔ ɛ ɐ̯ f ɪ n t l ɪ ç
unerforscht	ʊ n ʔ ɛ ɐ̯ f ɔ ʁ ʃ t
unerfreulich	ʊ n ʔ ɛ ɐ̯ f ʁ ɔ ɪ̯ l ɪ ç
unerfüllbar	ʊ n ʔ ɛ ɐ̯ f ʏ l b aː ɐ̯
unergründlich	ʊ n ʔ ɛ ɐ̯ ɡ ʁ ʏ n t l ɪ ç
unerheblichkeit	ʊ n m aː s ɡ eː p l ɪ ç k a ɪ̯ t
unerhört	ʊ n ɐ h øː r t
unerklärlich	ʊ n ʔ ɛ ɐ̯ k l eː ɐ̯ l ɪ ç
unerlaubt	ʊ n ʔ ɛ ɐ̯ l a ʊ̯ p t
unerquicklich	ʊ n ʔ ɛ ɐ̯ k v ɪ k l ɪ ç
unerrechenbar	ʊ n ʔ ɛ ɐ̯ ʁ ɛ ç n̩ b aː ɐ̯
unerreichbar	ʊ n ʔ ɛ ɐ̯ ʁ a ɪ̯ ç b aː ɐ̯
unerschrocken	ʊ n ʔ ɛ ɐ̯ ʃ ʁ ɔ k n̩
unerschrockenheit	ʊ n ɛ ɐ̯ ʃ ʁ ɔ k ə n h a ɪ̯ t
unerschwinglich	ʊ n ʔ ɛ ɐ̯ ʃ v ɪ ŋ l ɪ ç
unerschütterlich	ʊ n ʔ ɛ ɐ̯ ʃ ʏ t ɐ l ɪ ç
unersetzlich	ʊ n ɐ z ɛ t s l ɪ ç
unersprießlich	ʊ n ʔ ɛ ɐ̯ ʃ p ʁ iː s l ɪ ç
unerträglich	ʊ n ɛ ɐ̯ t ʁ ɛː k l ɪ ç
unerwünscht	ʊ n ʔ ɛ ʁ v ʏ n ʃ t
unethisch	ʊ n ʔ eː t ɪ ʃ
unfachmännisch	ʊ n f a χ m ɛ n ɪ ʃ
unfair	ʊ n f ɛː r
unfall	ʊ n f a l
unfalles	ʔ ʊ n f a l ə s
unfallflucht	ʊ n f a l f l ʊ x t
unfallflüchtig	ʊ n f a l f l ʏ ç t ɪ k
unfallfrei	ʊ n f a l f ʁ a ɪ̯
unfallort	ʊ n f a l ʔ ɔ ʁ t
unfallträchtig	ʊ n f a l t r ɛ ç t ɪ k
unfallursache	ʊ n f a l ʔ uː ɐ̯ z a x ə
unfallversicherung	ʊ n f a l f ɛ ɐ̯ z ɪ ç ə ʁ ʊ ŋ
unflat	ʊ n f l aː t
unflätig	ʊ n f l eː t ɪ ç
unfreiheit	ʊ n f ʁ a ɪ̯ h a ɪ̯ t
unfreiwillig	ʊ n f ʁ a ɪ̯ v ɪ l ɪ ç
unfreundlich	ʔ ʊ n f ʁ ɔ ɪ̯ n t l ɪ ç
unfreundlicher	ʔ ʊ n f ʁ ɔ ɪ̯ n t l ɪ ç ɐ
unfreundlichsten	ʔ ʊ n f ʁ ɔ ɪ̯ n t l ɪ ç s t n̩
unfriede	ʊ n f ʁ iː d ə
unfähigkeit	ʊ n f ɛː ɪ ç k a ɪ̯ t
ungalant	ʊ n ɡ a l a n t
ungar	ʊ ŋ ɡ a r
ungarn	ʊ ŋ ɡ a ʁ n
ungebacken	ʊ n ɡ ə b a k n̩
ungebremst	ʊ n ɡ ə b ʁ ɛ m s t
ungebrochen	ʊ n ɡ ə b ʁ ɔ χ n̩
ungebräuchlich	ʊ n ɡ ə b ʁ ɔ ɪ̯ ç l ɪ ç
ungebunden	ʔ ʊ n ɡ ə b ʊ n d n̩
ungebändigt	ʊ n ɡ ə b ɛ n d ɪ ç t
ungebühr	ʊ n ɡ e b yː ɐ̯
ungeduld	ʊ n ɡ ə d ʊ l t
ungeduldig	ʔ ʊ n ɡ ə d ʊ l d ɪ ç
ungeduldiger	ʔ ʊ n ɡ ə d ʊ l d ɪ ɡ ɐ
ungeduldigsten	ʔ ʊ n ɡ ə d ʊ l d ɪ ç s t n̩
ungefragt	ʊ n ɡ ə f ʁ aː k t
ungefrühstückt	ʊ n ɡ ə f ʁ yː ʃ t ʏ k t
ungefähr	ʊ n ɡ ə f eː ɐ̯
ungefährlich	ʊ n ɡ ə f ɛː ɐ̯ l ɪ ç
ungehalten	ʊ ŋ ɡ ə h a l t n̩
ungehemmt	ʊ n ɡ ə h ɛ m t
ungeheuer	ʊ n ɡ ə h ɔ ɪ̯ ɐ
ungehobelt	ʊ n ɡ ə h oː b l̩ t
ungehörig	ʊ n ɡ ə h øː ʁ ɪ k
ungekämmt	ʊ n ɡ ə k ɛ m t
ungelegen	ʊ n ɡ ə l eː ɡ n̩
ungelenk	ʊ n ɡ ə l ɛ ŋ k
ungemacht	ʊ n ɡ ə m a x t
ungemein	ʊ n ɡ ə m a ɪ̯ n
ungemäht	u n ɡ ə m eː t
ungenau	ʊ n ɡ ə n a ʊ̯
ungeniert	ʊ n ʒ ə n iː ɐ̯ t
ungenießbar	ʊ n ɡ ə n iː s b aː ɐ̯
ungenutzt	ʊ n ɡ ə n ʊ t͡s t
ungenügend	ʊ n ɡ ə n yː ɡ n̩ t
ungenügsam	ʊ n ɡ ə n yː k z aː m
ungeordnet	ʊ n ɡ ə ʔ ɔ ʁ d n ə t
ungepflastert	ʊ n ɡ ə p f l a s t ɐ t
ungerechnet	ʊ n ɡ ə ʁ ɛ ç n ə t
ungerechterweise	ʊ n ɡ ə ʁ ɛ ç t ɐ v a ɪ̯ z ə
ungerechtfertigteste	ʊ n ɡ ə ʁ ɛ ç t f ɛ ʁ t ɪ k t ə s t ə
ungerechtfertigtestem	ʊ n ɡ ə ʁ ɛ ç t f ɛ ʁ t ɪ k t ə s t ə m
ungerechtfertigtesten	ʊ n ɡ ə ʁ ɛ ç t f ɛ ʁ t ɪ k t ə s t n̩
ungerechtfertigtester	ʊ n ɡ ə ʁ ɛ ç t f ɛ ʁ t ɪ k t ə s t ɐ
ungerechtfertigtestes	ʊ n ɡ ə ʁ ɛ ç t f ɛ ʁ t ɪ k t ə s t ə s
ungern	ʊ n ɡ ɛ ʁ n
ungerundet	ʊ n ɡ ə ʁ ʊ n d ə t
ungesalzen	ʊ n ɡ ə z a l t͡s n̩
ungeschaut	ʊ n ɡ e ʃ a ʊ̯ t
ungeschehen	ʊ n ɡ ə ʃ eː n
ungeschicklichkeit	ʊ n ɡ ə ʃ ɪ k l ɪ ç k a ɪ̯ t
ungeschlacht	ʊ n ɡ ə ʃ l a χ t
ungeschlechtlich	ʔ ʊ n ɡ ə ʃ l ɛ ç t l ɪ ç
ungeschoren	ʊ n ɡ ə ʃ oː ʁ ə n
ungesichert	ʊ n ɡ ə z ɪ ç ɐ t
ungespannt	ʊ n ɡ ə ʃ p a n t
ungestalt	ʊ n ɡ ə ʃ t a l t
ungestraft	ʊ n ɡ ə ʃ t ʁ aː f t
ungeständig	ʊ n ɡ ə ʃ t ɛ n d ɪ ç
ungestüm	ʊ n ɡ ə ʃ t yː m
ungesund	ʊ n ɡ ə z ʊ n t
ungesäuert	ʊ n ɡ ə z ɔ ɪ̯ ɐ t
ungesühnt	ʊ n ɡ ə z yː n t
ungesüßt	ʊ n ɡ ə z yː s t
ungetan	ʊ n ɡ ə t aː n
ungeteilt	ʊ n ɡ ə t a ɪ̯ l t
ungewollt	ʊ n ɡ ə v ɔ l t
ungewöhnlicherweise	ʊ n ɡ ə v øː n l ɪ ç ɐ v a ɪ̯ z ə
ungeziefer	ʊ n ɡ ə t͡s iː f ɐ
ungeziemend	ʊ n ɡ ə t͡s iː m ə n t
ungezuckert	ʊ n ɡ ə t͡s ʊ k ɐ t
ungeöffnet	ʊ n ɡ ə ʔ œ f n ə t
ungeübt	ʊ n ɡ ə ʔ yː p t
ungiftig	ʊ n ɡ ɪ f t ɪ k
unglaube	ʊ n ɡ l a ʊ̯ b ə
unglaublich	ʊ n ɡ l a u̯ p l ɪ ç
unglaubwürdig	ʊ n ɡ l a ʊ̯ p v ʏ ʁ d ɪ ç
ungleich	ʊ n ɡ l a ɪ̯ ç
ungleichbehandlung	ʊ ŋ ɡ l a ɪ ç b ə h a n d l ʊ ŋ
ungleichheit	u n ɡ l a ɪ̯ ç h a ɪ̯ t
ungleichmäßig	ʊ n ɡ l a ɪ̯ ç m ɛː s ɪ ç
unglimpf	ʊ n ɡ l ɪ m p f
ungläubig	ʊ n ɡ l ɔ ɪ̯ b ɪ k
ungläubigkeit	ʊ ŋ ɡ l ɔ ʏ b ɪ ç k a ɪ t
unglück	ʊ n ɡ l ʏ k
unglücklich	ʊ n ɡ l ʏ k l ɪ ç
unglücklicherweise	ʊ n ɡ l ʏ k l ɪ ç ɐ v a ɪ̯ z ə
unglücksort	ʊ n ɡ l ʏ k s ʔ ɔ ʁ t
unglücksrabe	ʊ n ɡ l ʏ k s ʁ aː b ə
ungnade	ʊ n ɡ n aː d ə
ungnädig	ʊ n ɡ n eː d ɪ k
ungnädigen	ʊ n ɡ n ɛː d ɪ ɡ n̩
ungnädigste	ʊ n ɡ n ɛː d ɪ k s t ə
ungnädigstem	ʊ n ɡ n ɛː d ɪ k s t ə m
ungnädigsten	ʊ n ɡ n ɛː d ɪ k s t n̩
ungnädigster	ʊ n ɡ n ɛː d ɪ k s t ɐ
ungnädigstes	ʊ n ɡ n ɛː d ɪ k s t ə s
ungrammatisch	ʊ n ɡ ʁ a m a t ɪ ʃ
ungreifbar	ʊ n ɡ ʁ a ɪ̯ f b aː ɐ̯
ungunst	ʊ n ɡ ʊ n s t
ungustiös	ʊ n ɡ ʊ s t j øː s
ungut	ʊ n ɡ uː t
ungültig	ʊ n ɡ ʏ l t ɪ k
unhaltbar	ʊ n h a l t b aː r
unhandlichkeit	ʊ n h a n t l ɪ ç k a ɪ̯ t
unhandlichkeiten	ʊ n h a n t l ɪ ç k a ɪ̯ t n̩
unheil	ʊ n h a ɪ̯ l
unheilig	ʊ n h a ɪ̯ l ɪ ç
unheilvoll	ʊ n h a ɪ̯ l f ɔ l
unheimlich	ʊ n h a ɪ̯ m l ɪ ç
unheimliche	ʊ n h a ɪ̯ m l ɪ ç ə
unheimlichem	ʊ n h a ɪ̯ m l ɪ ç m̩
unheimlichen	ʊ n h a ɪ̯ m l ɪ ç n̩
unheimlicher	ʊ n h a ɪ̯ m l ɪ ç ɐ
unheimlichere	ʊ n h a ɪ̯ m l ɪ ç ə ʁ ə
unheimlicherem	ʊ n h a ɪ̯ m l ɪ ç ə ʁ ə m
unheimlicheren	ʊ n h a ɪ̯ m l ɪ ç ə ʁ ə n
unheimlicherer	ʊ n h a ɪ̯ m l ɪ ç ə ʁ ɐ
unheimlicheres	ʊ n h a ɪ̯ m l ɪ ç ə ʁ ə s
unheimliches	ʊ n h a ɪ̯ m l ɪ ç ə s
unheimlichste	ʊ n h a ɪ̯ m l ɪ ç s t ə
unheimlichstem	ʊ n h a ɪ̯ m l ɪ ç s t ə m
unheimlichsten	ʊ n h a ɪ̯ m l ɪ ç s t n̩
unheimlichster	ʊ n h a ɪ̯ m l ɪ ç s t ɐ
unheimlichstes	ʊ n h a ɪ̯ m l ɪ ç s t ə s
unhistorisch	ʊ n h ɪ s t oː ʁ ɪ ʃ
unhold	ʊ n h ɔ l t
unhygienisch	ʊ n h y ɡ i̯ eː n ɪ ʃ
unhöflich	ʔ ʊ n h øː f l ɪ ç
uni	ʊ n i
unieren	u n iː ʁ ə n
uniert	u n iː ɐ̯ t
uniform	uː n i f ɔ ʁ m
uniformierte	u n i f ɔ ʁ m iː ɐ̯ t ə
uniformierter	u n i f ɔ ʁ m iː ɐ̯ t ɐ
uniformität	u n i f ɔ ʁ m i t ɛː t
unikal	u n ɪ k aː l
unikat	u n i k aː t
unilateral	u n i l a t ə ʁ aː l
unional	u n i oː n aː l
unionsrecht	u n i̯ oː n s ʁ ɛ ç t
unislamisch	ʊ n ʔ ɪ s l aː m ɪ ʃ
unisoni	u n i z oː n i
unisonos	u n i z oː n o s
unitaristisch	u n i t a ʁ ɪ s t ɪ ʃ
unitär	u n i t eː ɐ̯
universal	u n i v ɛ ʁ z aː l
universalgenie	u n i v ɛ ʁ z aː l ʒ e n iː
universalität	u n i v ɛ ʁ z a l i t ɛː t
universell	u n i v ɛ ʁ z ɛ l
universen	u n i v ɛ ʁ z n
universitär	u n i v ɛ ʁ z i t ɛː ɐ̯
universität	u n i v ɛ ʁ s i t eː t
universitäten	ʔ u n i v ɛ ʁ z i t ɛː t n̩
universitätsabschluss	u n i v ɛ ʁ z i t ɛː t͡s ʔ a p ʃ l ʊ s
universitätsdozent	u n i v ɛ ʁ z i t ɛː t͡s d o t͡s ɛ n t
universitätsstadt	u n i v ɛ ʁ z i t ɛː t͡s ʃ t a t
universitätsstädte	u n i v ɛ ʁ z i t ɛː t͡s ʃ t ɛ t ə
universitätsverlag	u n i v ɛ ʁ z i t ɛː t͡s f ɛ ɐ̯ l aː k
universitätsverlage	u n i v ɛ ʁ z i t ɛː t͡s f ɛ ɐ̯ l aː ɡ ə
universitätsverlages	u n i v ɛ ʁ z i t ɛː t͡s f ɛ ɐ̯ l aː ɡ ə s
universitätsverlags	u n i v ɛ ʁ z i t ɛː t͡s f ɛ ɐ̯ l aː k s
universitätsübergreifend	u n i v ɛ ʁ z i t ɛː t͡s yː b ɐ ɡ ʁ a ɪ̯ f n̩ t
universum	u n i v ɛ ʁ z ʊ m
unkalkulierbar	ʊ n k a l k u l iː ɐ̯ b aː ɐ̯
unkameradschaftlichkeit	ʊ n k a m ə ʁ aː t ʃ a f t l ɪ ç k a ɪ̯ t
unkaputtbar	ʊ n k a p ʊ t b aː ɐ̯
unkel	ʊ ŋ k ə l
unkeusch	ʊ n k ɔ ɪ̯ ʃ
unkeuschheit	ʊ n k ɔ ɪ̯ ʃ h a ɪ̯ t
unklarheit	ʊ n k l aː ɐ̯ h a ɪ̯ t
unklugheit	ʊ n k l uː k h a ɪ̯ t
unkompliziert	ʊ n k ɔ m p l i t͡s iː ɐ̯ t
unkonzentriert	ʊ n k ɔ n t͡s ɛ n t ʁ iː ɐ̯ t
unkosten	ʊ n k ɔ s t ə n
unkraut	ʊ n k ʁ a ʊ̯ t
unkrautsäer	ʊ n k ʁ a ʊ̯ t z eː ɐ
unkrautsäern	ʊ n k ʁ a ʊ̯ t z ɛː ɐ n
unkrautsäers	ʊ n k ʁ a ʊ̯ t z ɛː ɐ s
unkreativ	ʊ n k ʁ e a t iː f
unkundig	ʊ n k ʊ n d ɪ k
unkündbar	ʊ n k ʏ n t b aː r
unlauter	ʊ n l a ʊ̯ t ɐ
unleidig	ʊ n l a ɪ̯ d ɪ ç
unleistbar	ʊ n l a ɪ̯ s t b aː ɐ̯
unlesbar	ʊ n l eː s b aː r
unleserlich	ʊ n l eː z ɐ l ɪ ç
unleugbar	ʊ n l ɔ ʏ̯ k b aː r
unlieb	ʊ n l iː p
unlimitiert	ʊ n l i m i t iː ɐ̯ t
unliniert	ʊ n l i n iː ɐ̯ t
