'ch	χ
phigau	f iː ɡ a i̯
phigddu	f ɪ ɡ ð i
phigfelyn	f ɪ ɡ v eː l ɪ n
phigwrn	f iː ɡ ʊ r n
phigyn	f iː ɡ ɪ n
phigynnau	f ɪ ɡ ə n a i̯
phila	f iː l a
philaon	f ɪ l aː ɔ n
philipinau	f ɪ l ɪ p iː n a i̯
phinc	f ɪ ŋ k
phincod	f ɪ ŋ k ɔ d
phiwi	f ɪ u̯ i
phiws	f ɪ u̯ s
phiwïaid	f ɪ u̯ iː a i̯ d
phla	f l aː
phladur	f l a d ɨ ɪ r
phlot	f l ɔ t
phlu	f l iː
phlwm	f l ʊ m
phlymio	f l ə m j ɔ
phob	f oː b
phobl	f oː b ɔ l
phobloedd	f ɔ b l ɔ i̯ ð
phobos	f oː b ɔ s
phoeni	f ɔ i̯ n i
phoeth	f oː θ
phoethach	f ɔ i̯ θ a χ
phont	f ɔ n t
phoptai	f ɔ p t a i̯
phopty	f ɔ p t i
phortiwgal	f ɔ r t j ʊ ɡ a l
phortiwgaleg	f ɔ r t ɪ u̯ ɡ a l ɛ ɡ
photel	f ɔ t ɛ l
phrag	f r aː ɡ
phrif	f r iː v
phrifddinas	f r iː v ð iː n a s
phriodas	f r j oː d a s
phriodfab	f r ɪ ɔ d v a b
phriodferch	f r ɪ ɔ d v ɛ r χ
phriodi	f r i ɔ d i
phris	f r iː s
phroblem	f r ɔ b l ɛ m
phroblemau	f r ɔ b l eː m a i̯
phrydain	f r ə d a i̯ n
phrydferth	f r ə d v ɛ θ
phryf	f r iː v
phryfed	f r ə v ɛ d
phrynais	f r ə n a i̯ s
phrynaist	f r ə n a i̯ s d
phrynoch	f r ə n ɔ χ
phrynodd	f r ə n ɔ ð
phrynon	f r ə n ɔ ð
phrynu	f r ə n i
phrysur	f r ə s ɪ r
phum	f ɪ m
phumdegau	f ɪ m d eː ɡ ɛ
phunnau	f ɪ n a i̯
phunt	f ɪ n t
phur	f iː r
phwl	f ʊ l
phwllheli	f ʊ ɬ h eː l i
phwmpen	f ʊ m p ɛ n
phwysig	f ʊ i̯ s ɪ ɡ
phyliau	f ə l j a i̯
physgod	f ə s ɡ ɔ d
physgodyn	f ə s ɡ oː d ɪ n
physgota	f ə s ɡ ɔ t a
phêl	f eː l
pi	p iː
piano	p j a n o
piau	p iː a i̯
pib	p iː b
pibau	p iː b a i̯
pibell	p iː b ɛ ɬ
pibellaidd	p ɪ b ɛ ɬ a i̯ ð
piben	p iː b ɛ n
pibgorn	p ɪ b ɡ ɔ r n
pibo	p iː b ɔ
pibonwy	p ɪ b oː n u i̯
pibonwyen	p ɪ b ɔ n u i̯ ɛ n
pibydd	p iː b ɪ ð
pic	p ɪ k
picau	p ɪ k a i̯
picell	p ɪ k ɛ ɬ
picen	p ɪ k ɛ n
picil	p ɪ k ɪ l
picl	p ɪ k l
piclau	p ɪ k l a i̯
piclo	p ɪ k l ɔ
picls	p ɪ k l z
picoch	p ɪ k ɔ χ
pics	p ɪ k s
picwns	p ɪ k ʊ n z
pidyn	p iː d ɪ n
pig	p iː ɡ
pigan	p iː ɡ a n
pigau	p iː ɡ a i̯
pigddu	p ɪ ɡ ð i
pigdwll	p ɪ ɡ d ʊ ɬ
pigfain	p ɪ ɡ v a i̯ n
pigfelyn	p ɪ ɡ v eː l ɪ n
piglas	p ɪ ɡ l a s
pigwrn	p iː ɡ ʊ r n
pigwyn	p ɪ ɡ w ɪ n
pigyn	p iː ɡ ɪ n
pigynnau	p ɪ ɡ ə n a i̯
pil	p iː l
pila	p iː l a
pilaon	p ɪ l aː ɔ n
pilen	p iː l ɛ n
pilipala	p ɪ l i p a l a
pillffon	p ɪ ɬ f ɔ n
pin	p iː n
pinafal	p iː n a v a l
pinaffor	p ɪ n a f ɔ r
pinc	p ɪ ŋ k
pincod	p ɪ ŋ k ɔ d
piner	p ɪ n ɛ r
pinwydd	p i n ʊ i̯ ð
piod	p iː ɔ d
pioden	p i oː d ɛ n
pip	p ɪ p
pipa	p ɪ p a
pipaf	p ɪ p a v
pipai	p ɪ p a i̯
pipan	p ɪ p a n
pipant	p ɪ p a n t
piped	p ɪ p ɛ d
pipem	p ɪ p ɛ m
pipen	p ɪ p ɛ n
pipent	p ɪ p ɛ n t
piper	p ɪ p ɪ d
pipes	p ɪ p ɛ s
pipet	p ɪ p ɛ t
pipi	p ɪ p i
pipid	p ɪ p ɪ d
pipit	p ɪ p ɪ t
pipo	p ɪ p ɔ
pipon	p ɪ p ɔ n
piso	p ɪ s ɔ
pistol	p ɪ s d ɔ l
piston	p ɪ s d ɔ n
pitwidol	p ɪ t ʊ i̯ d ɔ l
piw	p iː u̯
piwi	p ɪ u̯ i
piwo	p ɪ u̯ ɔ
piws	p ɪ u̯ s
piwïaid	p ɪ u̯ iː a i̯ d
pla	p l aː
pladur	p l a d ɪ r
pladuriau	p l a d ɨ̞ r j a i̯
plaen	p l a i̯ n
plaid	p l a i̯ d
planc	p l a ŋ k
planed	p l a n ɛ d
planhigion	p l a n h ɪ ɡ j ɔ n
planhigyn	p l a n h iː ɡ ɪ n
plannu	p l a n i
plant	p l a n t
planta	p l a n t a
plas	p l aː s
plasma	p l a s m a
plastig	p l a s d ɪ ɡ
platfform	p l a t f ɔ r m
platinwm	p l a t ɪ n ʊ m
ple	p l eː
pledren	p l ɛ d r ɛ n
pleidiol	p l e i̯ d j ɔ l
pleidlais	p l e i̯ d l a i̯ s
pleidleisiau	p l e i̯ d l e i̯ s j a i̯
pleidleisio	p l e i̯ d l e i̯ s j ɔ
plentyn	p l ɛ n t ɪ n
plentynnaidd	p l ɛ n t ə n a i̯ ð
pleth	p l eː θ
plethau	p l ɛ θ a i̯
plethdorch	p l ɛ θ d ɔ r χ
plethedig	p l ɛ θ eː d ɪ ɡ
plethi	p l ɛ θ i
plethu	p l ɛ θ i
plethwaith	p l ɛ θ w a i̯ θ
plis	p l iː z
plisg	p l ɪ s ɡ
plisgyn	p l ɪ s ɡ ɪ n
plismon	p l ɪ s m ɔ n
plismones	p l i s m oː n ɛ s
plismyn	p l ɪ s m ɪ n
plith	p l iː θ
plocyn	p l ɔ k ɪ n
plorod	p l oː r ɔ d
ploryn	p l oː r ɪ n
plot	p l ɔ t
plotyn	p l ɔ t ɪ n
plu	p l iː
pluen	p l iː ɛ n
pluf	p l iː v
plufyn	p l iː v ɪ n
plwg	p l uː ɡ
plwm	p l ʊ m
plwmws	p l ʊ m ʊ s
plwtoniwm	p l ʊ t ɔ n j ʊ m
plwyf	p l ʊ i̯
plyg	p l iː ɡ
plygain	p l ə ɡ a i̯ n
plygiau	p l ə ɡ j a i̯
plygio	p l ə ɡ j ɔ
plygu	p l ə ɡ i
plymer	p l ə m ɛ r
plymio	p l ə m j ɔ
plymiwr	p l ə m j ʊ r
plymwr	p l ə m ʊ r
plymwyr	p l ə m w ɪ r
plôr	p l oː r
pob	p oː b
pobi	p ɔ b i
pobl	p oː b ɔ l
pobloedd	p ɔ b l ɔ i̯ ð
poblog	p ɔ b l ɔ ɡ
poblogaidd	p ɔ b l ɔ ɡ a i̯ ð
pobman	p ɔ b m a n
pobol	p oː b ɔ l
poced	p ɔ k ɛ d
pocedu	p ɔ k eː d i
poed	p ɔ i̯ d
poen	p oː n
poena	p ɔ i̯ n a
poendod	p ɔ i̯ n d ɔ d
poenedig	p ɔ i̯ n eː d ɪ ɡ
poenedigaeth	p ɔ i̯ n ɛ d iː ɡ a i̯ θ
poenen	p ɔ i̯ n ɛ n
poeni	p ɔ i̯ n i
poenit	p ɔ i̯ n ɪ t
poenus	p ɔ i̯ n ɪ s
poenydio	p ɔ i̯ n ə d j ɔ
poer	p oː ɨ̯ r
poeth	p oː θ
poethach	p ɔ i̯ θ a χ
poethi	p ɔ i̯ θ i
poethrawn	p o i̯ θ r a u̯ n
poethwg	p ɔ i̯ θ ʊ ɡ
polisi	p ɔ l ɪ s i
polisïau	p ɔ l ɪ s i a i̯
politegol	p ɔ l ɪ t eː ɡ ɔ l
politicaidd	p ɔ l ɪ t ɪ k a i̯ ð
poloniwm	p ɔ l ɔ n j ʊ m
polysacarid	p ɔ l ɪ s a k a r ɪ d
pomcin	p ɔ m k ɪ n
poncin	p ɔ ŋ k ɪ n
pont	p ɔ n t
pontydd	p ɔ n t ɪ ð
pontypridd	p ɔ n t ə p r iː ð
pop	p ɔ p
popeth	p ɔ p ɛ θ
poptai	p ɔ p t a i̯
popty	p ɔ p t i
porchell	p ɔ r χ ɛ ɬ
porfa	p ɔ r v a
porffor	p ɔ r f ɔ r
pori	p oː r i
porpin	p ɔ r p ɪ n
porth	p ɔ r θ
porthi	p ɔ r θ i
porthiant	p ɔ r θ j a n t
porthmadog	p ɔ r θ m a d ɔ ɡ
portiwgal	p ɔ r t ɪ u̯ ɡ a l
portiwgaleg	p ɔ r t ɪ u̯ ɡ a l ɛ ɡ
posib	p ɔ s ɪ b
posibil	p ɔ s ɪ b ɪ l
posibl	p ɔ s ɪ b l
post	p ɔ s d
poster	p ɔ s d ɛ r
posteri	p ɔ s d eː r i
postio	p ɔ s d j ɔ
postmon	p ɔ s d m o n
postmyn	p ɔ s d m ɪ n
pot	p ɔ t
potasiwm	p ɔ t a s j ʊ m
potel	p ɔ t ɛ l
potes	p ɔ t ɛ s
pothell	p ɔ θ ɛ ɬ
pothelli	p ɔ θ ɛ ɬ i
pothellog	p ɔ θ ɛ ɬ ɔ ɡ
pothellu	p ɔ θ ɛ ɬ i
poti	p ɔ t i
potsio	p ɔ t ʃ ɔ
powdr	p o u̯ d r
powlen	p o u̯ l ɛ n
powys	p o u̯ ɪ s
praff	p r aː f
prag	p r aː ɡ
pragmateg	p r a ɡ m a t ɛ ɡ
praidd	p r a i̯ ð
pranc	p r a n k
prancio	p r a ŋ k j ɔ
praseodymiwm	p r a s ɛ ɔ d ɪ m j ʊ m
prawf	p r a u̯ v
pregeth	p r eː ɡ ɛ θ
pregethu	p r ɛ ɡ eː θ i
pregethwr	p r ɛ ɡ eː θ ʊ r
pregethydd	p r ɛ ɡ eː θ ɪ ð
preifat	p r e i̯ v a t
preifatrwydd	p r e i̯ v a t r ʊ i̯ ð
pren	p r ɛ n
pres	p r eː s
presgripsiwn	p r ɛ s ɡ r ɪ p ʃ ʊ n
prestatyn	p r ɛ s t a t ɪ n
preswyl	p r ɛ s ʊ i̯ l
preswylio	p r ɛ s ʊ i̯ l j o
preswylwr	p r ɛ s ʊ i̯ l ʊ r
priapaeth	p r i a p a i̯ θ
prid	p r iː d
pridd	p r iː ð
priddell	p r iː ð ɛ ɬ
priddlech	p r ɪ ð l ɛ χ
prif	p r iː v
prifair	p r iː v a i̯ r
prifardd	p r iː v a r ð
prifathrawes	p r ɪ v a θ r a u̯ ɛ s
prifathro	p r ɪ v a θ r ɔ
prifbwnc	p r ɪ v b ʊ ŋ k
prifddinas	p r iː v ð iː n a s
prifeirdd	p r iː v e i̯ r ð
priffordd	p r ɪ f ɔ r ð
prifgost	p r ɪ v ɡ ɔ s d
prifiau	p r ɪ v j a i̯
prifion	p r ɪ v j ɔ n
priflamp	p r ɪ v l a m p
priflythyren	p r ɪ v l ə θ ə r ɛ n
prifodl	p r iː v ɔ d l
prifwynt	p r ɪ v w ɪ n t
prin	p r iː n
prinder	p r ɪ n d e r
prinned	p r ɪ n ɛ d
printio	p r ɪ n t j ɔ
priod	p r i ɔ d
priodas	p r j oː d a s
priodfab	p r ɪ ɔ d v a b
priodferch	p r ɪ ɔ d v ɛ r χ
priodi	p r j oː d i
pris	p r iː s
problem	p r ɔ b l ɛ m
problemau	p r ɔ b l eː m a i̯
procaryot	p r ɔ k a r j ɔ t
procaryotig	p r ɔ k a r iː ɔ t ɪ ɡ
proffid	p r oː f ɪ d
proffidiol	p r ɔ f ɪ d j ɔ l
profi	p r oː v i
profiad	p r ɔ v j a d
profion	p r ɔ v j ɔ n
prol	p r oː l
prolog	p r oː l ɔ ɡ
promethiwm	p r ɔ m ɛ θ j ʊ m
prop	p r ɔ p
prosiect	p r ɔ ʃ ɛ k t
protactiniwm	p r ɔ t a k t ɪ n j ʊ m
protest	p r ɔ t ɛ s d
protestaneiddio	p r ɔ t ɛ s d a n e i̯ ð j ɔ
protestaniaeth	p r ɔ t ɛ s d a n j a i̯ θ
protestaniaid	p r ɔ t ɛ s d a n j a i̯ d
protestannaidd	p r ɔ t ɛ s d a n a i̯ ð
protestant	p r ɔ t ɛ s d a n t
protestiadau	p r ɔ t ɛ s d j a d a i̯
protestio	p r ɔ t ɛ s d j ɔ
protocol	p r ɔ t ɔ k ɔ l
prowlan	p r o u̯ l a n
prudd	p r iː ð
pryd	p r iː d
prydael	p r ə d a i̯ l
prydain	p r ə d a i̯ n
prydeinaidd	p r ə d e i̯ n a i̯ ð
prydeinig	p r ə d e i̯ n ɪ ɡ
prydeiniwr	p r ə d e i̯ n j ʊ r
pryder	p r ə d ɛ r
prydferth	p r ə d v ɛ r θ
prydferthwch	p r ə d v ɛ r θ ʊ χ
prydlon	p r ə d l ɔ n
prydweddol	p r ə d w eː ð ɔ l
prydwen	p r ə d w ɛ n
prydydd	p r ə d ɪ ð
prydyn	p r ə d ɪ n
pryf	p r iː v
pryfed	p r ə v ɛ d
pryfedyn	p r ə v eː d ɪ n
pryfyn	p r ə v ɪ n
pryfysol	p r ə v ə s ɔ l
pryna	p r ə n a
prynadwy	p r ə n a d ʊ i̯
prynais	p r ə n a i̯ s
prynaist	p r ə n a i̯ s d
prynhawn	p n a u̯ n
prynhawniau	p n a u̯ n j ɛ
prynoch	p r ə n ɔ χ
prynodd	p r ə n ɔ ð
prynon	p r ə n ɔ n
prynu	p r ə n i
prynwch	p r ə n ʊ χ
prys	p r iː s
prysg	p r ɪ s ɡ
prysglwyn	p r ə s ɡ l ʊ i̯ n
prysglwyni	p r ə s ɡ l ʊ i̯ n i
prysgwydd	p r ɪ s ɡ w ɨ̞ ð
prysur	p r ə s ɪ r
pryswydd	p r ɪ s w ɨ̞ ð
près	p r ɛ s
prŷn	p r iː n
pulpud	p ɪ l p ɪ d
pum	p ɪ m
pumawd	p ɪ m a u̯ d
pumdegau	p ɪ m d eː ɡ ɛ
pumed	p ɪ m ɛ d
pumongl	p ɪ m ɔ ŋ l
pump	p ɪ m p
punnau	p ɪ n a i̯
punnoedd	p ɪ n ɔ i̯ ð
punt	p ɪ n t
pupur	p ɪ p ɪ r
pupurlys	p ɪ p ɪ r l ɪ s
pur	p iː r
puramid	p ɪ r a m ɪ d
purdeb	p ɪ r d ɛ b
pured	p iː r ɛ d
purlan	p i r l a n
putain	p ɪ t a i̯ n
puteinaidd	p ɪ t e i̯ n a i̯ ð
puteindy	p ɪ t e i̯ n d i
puteinllyd	p ɪ t e i̯ n ɬ ɪ d
pwca	p ʊ k a
pwd	p uː d
pwdu	p uː d i
pwerdy	p uː ɛ r d i
pweru	p u eː r i
pwl	p ʊ l
pwll	p uː ɬ
pwllheli	p ʊ ɬ h eː l i
pwmp	p ʊ m p
pwmpen	p ʊ m p ɛ n
pwn	p ʊ n
pwnc	p ʊ ŋ k
pwpa	p ʊ p a
pwrpas	p ʊ r p a s
pwrs	p ʊ r s
pwt	p ʊ t
pwy	p ʊ i̯
pwyll	p ʊ i̯ ɬ
pwyllgor	p ʊ i̯ ɬ ɡ ɔ r
pwyllgora	p ʊ i̯ ɬ ɡ oː r a
pwyllgorau	p ʊ i̯ ɬ ɡ oː r a i̯
pwynt	p ʊ i̯ n t
pwys	p ʊ i̯ s
pwysau	p ʊ i̯ s a i̯
pwysi	p ʊ i̯ s i
pwysig	p ʊ i̯ s ɪ ɡ
pwysigrwydd	p ʊ i̯ s ɪ ɡ r ʊ i̯ ð
pwyslais	p ʊ i̯ s l a i̯ s
pwysleisio	p ʊ i̯ s l e i̯ s j ɔ
pwyso	p ʊ i̯ s ɔ
pwyth	p ʊ ɪ̯ θ
pwytho	p ʊ i̯ θ ɔ
pydew	p ə d ɛ u̯
pydredd	p ə d r ɛ ð
pydru	p ə d r i
pyg	p iː ɡ
pyglyd	p ə ɡ l ɪ d
pyglys	p ə ɡ l ɪ s
pyjamas	p ə d͡ʒ a m a z
pyliau	p ə l j a i̯
pylor	p ə l ɔ r
pylu	p ə l i
pymtheg	p ə m θ ɛ ɡ
pymthegfed	p ə m θ ɛ ɡ v ɛ d
pymthegnos	p ə m θ ɛ ɡ n ɔ s
pyramid	p ɪ r a m ɪ d
pyreneau	p ɪ r ɛ n eː a i̯
pyrit	p iː r ɪ t
pyrsio	p ə r s j ɔ
pyrsu	p ə r s i
pyrwydd	p ɪ r w ɪ ð
pys	p iː s
pysen	p ə s ɛ n
pysgadain	p ə s ɡ a d a i̯ n
pysgod	p ə s ɡ ɔ d
pysgodfa	p ə s ɡ ɔ d v a
pysgodle	p ə s ɡ ɔ d l ɛ
pysgodyn	p ə s ɡ oː d ɪ n
pysgota	p ə s ɡ ɔ t a
pysgotwr	p ə s ɡ ɔ t ʊ r
pythefnos	p ə θ ɛ v n ɔ s
pàs	p a s
pâl	p aː l
pâr	p aː r
pâst	p aː s d
pêl	p eː l
pêr	p eː r
pìn	p ɪ n
pŵer	p u ɛ r
pŵl	p uː l
pỳg	p ə ɡ
r	ɛ r
rabi	r a b i
raced	r a k ɛ d
rad	r aː d
radio	r a d j ɔ
radiwm	r a d j ʊ m
radon	r a d ɔ n
radwla	r a d ʊ l a
raff	r aː f
rafft	r a f d
ragfyr	r a ɡ v ɪ r
rai	r a i̯
randibŵ	r a n d ɪ b uː
ras	r aː s
rasel	r a s ɛ l
raser	r a s ɛ r
rasio	r a s j ɔ
rasys	r a s ɪ z
rech	r eː χ
record	r ɛ k ɔ r d
recordiad	r ɛ k ɔ r d j a d
recordio	r ɛ k ɔ r d j ɔ
recriwtiaid	r ɛ k r ɪ u̯ t j a i̯ d
recríwt	r ɛ k r ɪ u̯ t
rectol	r ɛ k t ɔ l
redais	r eː d a i̯ s
redaist	r eː d a i̯ s d
redeg	r eː d ɛ ɡ
rediad	r ɛ d j a d
rediadau	r ɛ d j a d a i̯
redoch	r eː d ɔ χ
redodd	r eː d ɔ ð
redon	r eː d ɔ n
refferenda	r ɛ f ɛ r ɛ n d a
refferendwm	r ɛ f ɛ r ɛ n d u m
regen	r eː ɡ ɛ n
regennod	r ɛ ɡ ɛ n ɔ d
regi	r eː ɡ i
reiat	r e i̯ a t
reidio	r e i̯ d j ɔ
reis	r e i̯ s
reit	r e i̯ t
reolaeth	r ɛ ɔ l a i̯ θ
restr	r ɛ s d r
rew	r ɛ u̯
rewgell	r ɛ u̯ ɡ ɛ ɬ
rewi	r ɛ u̯ i
rh	r̥ iː
rhaca	r̥ a k a
rhacs	r̥ a k s
rhad	r̥ aː d
rhadlon	r̥ a d l ɔ n
rhaeadr	r̥ e i̯ a d r
rhaff	r̥ aː f
rhafn	r̥ a v n
rhafnwydd	r̥ a v n w ɪ ð
rhag	r̥ a ɡ
rhagddodi	r̥ a ɡ ð oː d i
rhagddodiad	r̥ a ɡ ð ɔ d j a d
rhagdybiaeth	r̥ a ɡ d ə b j a i̯ θ
rhagenw	r̥ a ɡ eː n u
rhagfyr	r̥ a ɡ v ɪ r
rhaglenni	r̥ a ɡ l ɛ n i
rhaglennu	r̥ a ɡ l ɛ n i
rhaglun	r̥ a ɡ l ɪ n
rhagluniau	r̥ a ɡ l ɨ̞ n j a i̯
rhagor	r̥ a ɡ ɔ r
rhagori	r̥ a ɡ oː r i
rhagoriaeth	r̥ a ɡ ɔ r j a i̯ θ
rhagoriaethau	r̥ a ɡ ɔ r j e i̯ θ a i̯
rhagorol	r̥ a ɡ oː r ɔ l
rhagorsaf	r̩ a ɡ ɔ r s a v
rhagrith	r̥ a ɡ r ɪ θ
rhai	r̥ a i̯
rhaid	r a i̯ d
rhaidd	r̥ a i̯ ð
rhain	r e i̯ n
rhaith	r̥ a i̯ θ
rhampio	r̥ a m p j ɔ
rhan	r̥ a n
rhanbarth	r̥ a n b a r θ
rhanbarthau	r̥ a m b a r θ ɛ
rhanddeiliad	r̥ a n ð e i̯ l j a d
rhanddeiliaid	r̥ a n ð e i̯ l j a i̯ d
rhandy	r̥ a n d i
rhanfyddin	r̥ a n v ə ð ɪ n
rhaniad	r̥ a n j a d
rhannu	r̥ a n i
rhatach	r̊ a t a χ
rhataf	r̊ a t a v
rhated	r̊ a t ɛ d
rhathu	r̥ a θ i
rhaw	r̥ a u̯
rhawch	r̥ a u̯ χ
rhawd	r̥ a u̯ d
rhawiau	r̥ a u̯ j a i̯
rhawn	r̥ a u̯ n
rhawngoch	r̥ a u̯ n ɡ ɔ χ
rhea	r̥ e a
rhech	r̥ eː χ
rheda	r̥ eː d a
rhedais	r̥ eː d a i̯ s
rhedaist	r̥ eː d a i̯ s d
rhedeg	r̥ eː d ɛ ɡ
rhediad	r̥ ɛ d j a d
rhediadau	r̥ ɛ d j a d a i̯
rhedoch	r̥ eː d ɔ χ
rhedodd	r̥ eː d ɔ ð
rhedon	r̥ eː d ɔ n
rhedwch	r̥ eː d ʊ χ
rhedyn	r̥ eː d ɪ n
rhedyna	r̥ ɛ d ə n a
rhedynach	r̥ ɛ d ə n a χ
rhedynaidd	r̥ ɛ d ə n a i̯ ð
rhedynos	r̥ ɛ d ə n ɔ s
rheffyn	r̊ ɛ f ɪ n
rhefrol	r̥ ɛ v r ɔ l
rheg	r̥ eː ɡ
rhegen	r̥ eː ɡ ɛ n
rhegennod	r̥ ɛ ɡ ɛ n ɔ d
rhegfa	r̥ ɛ ɡ v a
rhegfeydd	r̥ ɛ ɡ v e i̯ ð
rhegi	r̥ eː ɡ i
rhegion	r̥ ɛ ɡ j ɔ n
rheibies	r̥ e i̯ b j ɛ s
rheiddiadur	r̥ e i̯ ð j a d ɪ r
rheiddiau	r̥ e i̯ ð j a i̯
rheiddio	r̥ e i̯ ð j ɔ
rheiddyn	r̥ e i̯ ð i n
rheilffordd	r̥ e i̯ l f ɔ r ð
rheina	r e i̯ n a
rheini	r̥ e i̯ n i
rheniwm	r̥ ɛ n j ʊ m
rhent	r̥ ɛ n t
rhenti	r̥ ɛ n t i
rhentu	r̥ ɛ n t i
rhentwr	r̥ ɛ n t ʊ r
rhentwyr	r̥ ɛ n t w ɪ r
rheol	r̥ eː ɔ l
rheolaeth	r̥ ɛ oː l a i̯ θ
rheolaidd	r̥ ɛ oː l a i̯ ð
rheolau	r̥ ɛ oː l a i̯
rheoli	r̥ ɛ oː l i
rheoliad	r̥ ɛ ɔ l j a d
rheoliadau	r̥ ɛ ɔ l j a d a i̯
rheoliadur	r̥ ɛ ɔ l j a d ɪ r
rheoliaduron	r̥ ɛ ɔ l j a d iː r ɔ n
rheolwr	r̥ ɛ oː l ʊ r
rheolydd	r̥ ɛ oː l ɪ ð
rhes	r̥ eː s
rhesi	r̥ ɛ s i
rhestr	r̥ ɛ s d r
rhestrau	r̥ ɛ s d r a i̯
rhestri	r̥ ɛ s d r i
rheswm	r̥ ɛ s ʊ m
rhesymeg	r̥ ɛ s ə m ɛ ɡ
rhesymol	r̥ ɛ s ə m ɔ l
rhesymoldeb	r̥ ɛ s ə m ɔ l d ɛ b
rhesymu	r̥ ɛ s ə m i
rhew	r̥ ɛ u̯
rhewbwynt	r̥ ɛ u̯ b ʊ i̯ n t
rheweiddio	r̥ ɛ u̯ e i̞ ð j ɔ
rhewgell	r̥ ɛ u̯ ɡ ɛ ɬ
rhewi	r̥ ɛ u̯ i
rhewiad	r̥ ɛ u̯ j a d
rhewlif	r̥ ɛ u̯ l ɪ v
rhewlifeg	r̥ ɛ u̯ l iː v ɛ ɡ
rhewlifo	r̥ ɛ u̯ l iː v ɔ
rhewlifoedd	r̥ ɛ u̯ l iː v ɔ i̯ ð
rhewydd	r̥ ɛ u̯ ɪ ð
rhewynt	r̥ eː w ɪ n t
rhi	r̥ iː
rhiain	r̥ i a i̯ n
rhian	r̥ i a n
rhiannon	r̥ i a n ɔ n
rhiant	r̥ iː a n t
rhianwen	r̥ i a n w ɛ n
rhic	r̥ ɪ k
rhieni	r̥ j eː n i
rhif	r̥ iː v
rhifau	r̥ iː v a i̯
rhifed	r̥ iː v ɛ d
rhiffio	r̥ ɪ f j ɔ
rhifo	r̥ iː v ɔ
rhigol	r̥ iː ɡ ɔ l
rhin	r̥ iː n
rhinart	r̥ iː n a r t
rhingyll	r̥ ɨ n ɡ ɨ ɬ
rhiniart	r̥ ɪ n j a r t
rhiniog	r̥ ɪ n j ɔ ɡ
rhinoseros	r̥ ɪ n ɔ s ɛ r ɔ s
rhisgl	r̥ ɪ s ɡ l
rhith	r̥ iː θ
rhithweledigaeth	r̥ ɪ θ w ɛ l ɛ d iː ɡ a i̯ θ
rhiw	r̥ ɪ u̯
rho	r̥ oː
rhoces	r̥ ɔ k ɛ s
rhoch	r̥ oː χ
rhod	r̥ oː d
rhodd	r̥ oː ð
rhoddion	r̥ ɔ ð j ɔ n
rhoddwr	r̥ oː ð ʊ r
rhodia	r̥ ɔ d j a
rhodio	r̥ ɔ d j ɔ
rhodiwch	r̥ ɔ d j ʊ χ
rhodiwm	r̥ ɔ d j ʊ m
rhodri	r̥ ɔ d r i
rhofio	r̥ ɔ v j ɔ
rhoi	r̥ ɔ i̯
rholian	r̥ ɔ l j a n
rhondda	r̥ ɔ n ð a
rhonell	r̥ oː n ɛ ɬ
rhonwellt	r̥ ɔ n w ɛ ɬ t
rhos	r̥ oː s
rhosb	r̥ ɔ s b
rhosmari	r̥ ɔ s m a r i
rhosod	r̥ ɔ s ɔ d
rhostio	r̥ ɔ s d j ɔ
rhostog	r̥ ɔ s d ɔ ɡ
rhostogion	r̥ ɔ s d ɔ ɡ j ɔ n
rhosyn	r̥ ɔ s ɪ n
rhosynnau	r̥ ɔ s ə n a i̯
rhosys	r̥ ɔ s ɪ s
rhudd	r̥ iː ð
rhuddgoch	r̥ ɪ ð ɡ ɔ χ
rhuddlas	r̥ ɪ ð l a s
rhuddlasu	r̥ ɨ̞ ð l a s i
rhuddlaswyn	r̥ ɪ ð l a s w ɪ n
rhuddog	r̥ iː ð ɔ ɡ
rhuddwyn	r̥ ɪ ð w ɪ n
rhuddygl	r̥ ɪ ð ɪ ɡ l
rhued	r̥ iː ɛ d
rhufain	r̥ iː v a i̯ n
rhufeiniad	r̥ ɪ v e i̯ n j a d
rhufeiniaidd	r̥ ɪ v e i̯ n j a i̯ ð
rhufeinig	r̥ ɪ v e i̯ n ɪ ɡ
rhufeiniwr	r̥ ɪ v e i̯ n j ʊ r
rhufeinwyr	r̥ ɪ v e i̯ n w ɪ r
rhun	r̥ iː n
rhuo	r̥ iː ɔ
rhuthr	r̥ iː θ ɪ r
rhuthraf	r̥ ɪ θ r a
rhuthro	r̥ ɪ θ r ɔ
rhwbiad	r̥ ʊ b j a d
rhwbio	r̥ ʊ b j ɔ
rhwd	r̥ uː d
rhwng	r̥ ʊ ŋ
rhwth	r̥ uː θ
rhwyd	r̥ ʊ i̯ d
rhwydd	r̥ ʊ i̯ ð
rhwyddlwyn	r̥ ʊ i̯ ð l ʊ i̯ n
rhwydo	r̥ ʊ i̯ d ɔ
rhwydwaith	r̥ ʊ i̯ d w a i̯ θ
rhwydweithio	r̥ ʊ i̯ d w e i̯ θ j ɔ
rhwyf	r̥ ʊ i̯ v
rhwyfau	r̥ ʊ i̯ v a i̯
rhwyfo	r̥ ʊ i̯ v ɔ
rhwyg	r̥ ʊ i̯ ɡ
rhwygo	r̥ ʊ i̯ ɡ ɔ
rhwyll	r̥ ʊ i̯ ɬ
rhwyllau	r̥ ʊ i̯ ɬ a i̯
rhwym	r̥ ʊ i̯ m
rhwymiad	r̥ ʊ i̯ m j a d
rhwymo	r̥ ʊ i̯ m ɔ
rhwysg	r̥ ʊ i̯ s ɡ
