aba	a b a
zručnosť	z r u t͡ʃ n ɔ s c
zručný	z r u t͡ʃ n iː
zröntgenovať	z r ø n d ɡ e n ɔ v a c
zub	z u p
zuba	z u b a
zubaj	z u b a j
zubami	z u b a m i
zube	z u b e
zuberec	z u b e r e t͡s
zubmi	z u b m i
zubo	z u b ɔ
zuboch	z u b ɔ x
zubom	z u b ɔ m
zubor	z u b ɔ r
zubov	z u b ɔ v
zubrica	z u b r i t͡s a
zubríča	z u b r iː t͡ʃ a
zubu	z u b u
zuby	z u b i
zubán	z u b aː n
zubár	z u b aː r
zubárka	z u b aː r k a
zubáč	z u b aː t͡ʃ
zubáča	z u b aː t͡ʃ a
zubáče	z u b aː t͡ʃ e
zuluština	z u l u ʃ c i n a
zumrík	z u m r iː k
zunovanejší	z u n ɔ v a ɲ e j ʃ iː
zunovaný	z u n ɔ v a n iː
zunovať	z u n ɔ v a c
zupko	z u p k ɔ
zurvalec	z u r v a ʎ e t͡s
zuzana	z u z a n a
zuzanka	z u z a n k a
zuzka	z u s k a
zuzík	z u z iː k
zuščák	z u ʃ t͡ʃ aː k
zužo	z u ʒ ɔ
zvalená	z v a ʎ e n aː
zvalený	z v a ʎ e n iː
zverolekár	z v e r ɔ ʎ e k aː r
zverolekárka	z v e r ɔ ʎ e k aː r k a
zverolekárstvo	z v e r ɔ ʎ e k aː r s t v ɔ
zviera	z v i̯ ɛ r a
zvládnuť	z v l aː d n u c
zvolen	z v ɔ ʎ e n
zvolena	z v ɔ ʎ e n a
zvolený	z v ɔ ʎ e n iː
zvoliť	z v ɔ ʎ i c
zvonár	z v ɔ n aː r
zvonček	z v ɔ n t͡ʃ e k
zvončeková	z v ɔ n t͡ʃ e k ɔ v aː
zvuk	z v u k
zvyčajný	z v i t͡ʃ a j n iː
zvyškový	z v i ʃ k ɔ v iː
zvyšný	z v i ʃ n iː
zvyšok	z v i ʃ ɔ k
zväz	z v æ s
zväzok	z v æ z ɔ k
zväčšovák	z v æ t͡ʃː ɔ v aː k
zvýši	z v iː ʃ i
zvýšiť	z v iː ʃ i c
zábel	z aː b e l
zábojník	z aː b ɔ j ɲ iː k
zábor	z aː b ɔ r
záborská	z aː b ɔ r s k aː
záborský	z aː b ɔ r s k iː
zábradlie	z aː b r a d ʎ ɪ̯ e
záclona	z aː t͡s l ɔ n a
záder	z aː ɟ e r
zádere	z aː ɟ e r e
záderom	z aː ɟ e r ɔ m
záderu	z aː ɟ e r u
záhada	z aː ɦ a d a
záhrada	z aː ɦ r a d a
záhradník	z aː ɦ r a d ɲ iː k
záhreb	z aː ɦ r ɛ p
záhumienok	z aː ɦ u m ɪ̯ e n ɔ k
zájsť	z aː j s c
základný	z aː k l a d n iː
zákrut	z aː k r u t
zákruta	z aː k r u t a
zákrute	z aː k r u c e
zákrutou	z aː k r u t ɔ v
zákrutu	z aː k r u t u
zákruty	z aː k r u t i
zálešák	z aː ʎ e ʃ aː k
záležitosť	z aː ɫ e ʒ i t ɔ s c
záliv	z aː ʎ i v
záloh	z aː l ɔ x
zálohu	z aː l ɔ ɦ u
zámen	z aː m e n
zámena	z aː m e n a
zámene	z aː m e ɲ e
zámenný	z aː m e nː iː
zámeno	z aː m ɛ n ɔ
zámenou	z aː m e n ɔ v
zámenu	z aː m e n u
zámeny	z aː m e n i
zámok	z aː m ɔ k
zámočnícky	z aː m ɔ t͡ʃ ɲ iː t͡s k i
zámočník	z aː m ɔ t͡ʃ ɲ iː k
zámočníčka	z aː m ɔ t͡ʃ ɲ iː t͡ʃ k a
zámočníčok	z aː m ɔ t͡ʃ ɲ iː t͡ʃ ɔ k
zámožnosť	z aː m ɔ ʒ n ɔ s c
zámysel	z aː m i s e l
západ	z aː p a t
západný	z aː p a d n iː
zápal	z aː p a l
zápalka	z aː p a l k a
zápasníčka	z aː p a s ɲ iː t͡ʃ k a
zápcha	z aː p x a
záplata	z aː p l a t a
záporiek	z aː p ɔ r ɪ̯ e k
záporka	z aː p ɔ r k a
zápražka	z aː p r a ʃ k a
záprdok	z aː p r̩ d ɔ k
zápästie	z aː p æ s c ɪ̯ e
zárez	z aː r e s
zárezík	z aː r e z iː k
zárezíka	z aː r e z iː k a
zármutok	z aː r m u t ɔ k
zásaditý	z aː s a ɟ i t iː
zástava	z aː s t a v a
zástavba	z aː s t a v b a
zástavbou	z aː s t a v b ɔ v
záster	z aː s c e r
zástera	z aː s c e r a
zástoj	z aː s t ɔ j
zástrčka	z aː s t r̩ t͡ʃ k a
zástrčkový	z aː s t r̩ t͡ʃ k ɔ v iː
zátopek	z aː t ɔ p e k
zátvorka	z aː t v ɔ r k a
záujem	z aː u j e m
záujmový	z aː u j m ɔ v iː
závet	z aː v e t
závideniahodný	z aː v i ɟ e ɲ ɪ̯ a ɦ ɔ d n iː
závislejší	z aː v i s ʎ e j ʃ iː
závislosť	z aː v i s l ɔ s c
závislý	z aː v i s l iː
závisť	z aː v i s c
závitovka	z aː v i t ɔ v k a
závitovkový	z aː v i t ɔ v k ɔ v iː
závoda	z aː v ɔ d a
závodská	z aː v ɔ t͡s k aː
závodský	z aː v ɔ t͡s k iː
závora	z aː v ɔ r a
závoz	z aː v ɔ s
závrat	z aː v r a t
zázrak	z aː z r a k
zázračný	z aː z r a t͡ʃ n iː
zázvor	z aː z v ɔ r
zíma	z iː m a
získať	z iː s k a c
zísť	z iː s c
zít	z iː t
zúbrik	z uː b r i k
zúzik	z uː z i k
zúčtovateľný	z uː t͡ʃ t ɔ v a c e ʎ n iː
zľava	z ʎ a v a
zľavový	z ʎ a v ɔ v iː
zŕn	z r̩ː n
à	aː
á	aː
ábel	aː b e l
álp	aː l p
áno	aː n ɔ
árešt	aː r e ʃ t
ásamčina	aː s a m t͡ʃ i n a
átrium	aː t r i u m
áut	aː u̯ t
ázia	aː z i a
ázie	aː z i e
ázijka	aː z i j k a
ázijok	aː z i j ɔ k
ázijský	aː z i j s k iː
ázijčan	aː z i j t͡ʃ a n
ázijčanka	aː z i j t͡ʃ a n k a
ä	ɛ
ålandy	ɔ ɫ a n d i
é	eː
étos	eː t ɔ s
í	iː
íl	iː l
ílovec	iː l ɔ v e t͡s
ír	iː r
íri	iː r i
íris	iː r i s
írska	iː r s k a
írsko	iː r s k ɔ
írskom	iː r s k ɔ m
írsku	iː r s k u
írčina	iː r t͡ʃ i n a
ískať	iː s k a c
ísť	iː s c
íver	iː v e r
ívera	iː v e r a
íverka	iː v e r k a
íverky	iː v e r k i
íverok	iː v e r ɔ k
ívery	iː v e r i
íverček	iː v e r t͡ʃ e k
ó	ɔː
óda	ɔː d a
ódor	ɔː d ɔ r
ópium	ɔː p i u m
ô	u̯ ɔ
ôk	u̯ ɔ k
ôs	u̯ ɔ s
ôsmi	u̯ ɔ s m i
ôsmich	u̯ ɔ s m i x
ôsmim	u̯ ɔ s m i m
ôsmimi	u̯ ɔ s m i m i
ôsmy	u̯ ɔ s m i
ôstie	u̯ ɔ s c ɪ̯ e
ú	uː
úbohejší	uː b ɔ ɦ e j ʃ iː
úbohý	uː b ɔ ɦ iː
úbor	uː b ɔ r
úch	uː x
úcta	uː t͡s t a
úder	uː ɟ e r
údolie	uː d ɔ ʎ i̯ ɛ
údolí	uː d ɔ ʎ iː
úhor	uː ɦ ɔ r
úhora	uː ɦ ɔ r a
úhore	uː ɦ ɔ r e
úhorový	uː ɦ ɔ r ɔ v iː
úhory	uː ɦ ɔ r i
úhorí	uː ɦ ɔ r iː
úhrada	uː ɦ r a d a
úlisný	uː ʎ i s n iː
úloha	uː l ɔ ɦ a
úmysel	uː m i s e l
úpal	uː p a l
úpalový	uː p a l ɔ v iː
úplatkárstvo	uː p l a t k aː r s t v ɔ
úrad	uː r a t
úroveň	uː r ɔ v e ɲ
úspech	uː s p e x
ústa	uː s t a
ústav	uː s t a v
ústava	uː s t a v a
ústrk	uː s t r̩ k
útloň	uː t l ɔ ɲ
útočište	uː t ɔ t͡ʃ i ʃ c e
útroba	uː t r ɔ b a
úvoz	uː v ɔ s
úvozový	uː v ɔ z ɔ v iː
územie	uː z ɛ m i̯ ɛ
území	uː z ɛ m iː
úzka	uː s k a
úzke	uː s k e
úzki	uː s k i
úzky	uː s k i
účastník	uː t͡ʃ a s t ɲ iː k
účel	uː t͡ʃ e l
účinkami	uː t͡ʃ i n k a m i
účinkoch	uː t͡ʃ i n k ɔ x
účinkom	uː t͡ʃ i n k ɔ m
účinkov	uː t͡ʃ i n k ɔ v
účinku	uː t͡ʃ i n k u
účinky	uː t͡ʃ i n k i
účinok	uː t͡ʃ i n ɔ k
úľ	uː ʎ
úľa	uː ʎ a
úškrt	uː ʃ k r̩ t
úžas	uː ʒ a s
úžera	uː ʒ e r a
úžerník	uː ʒ e r ɲ iː k
úžitok	uː ʒ i t ɔ k
ý	iː
č	t͡ʃ
čacho	t͡ʃ a x ɔ
čad	t͡ʃ a t
čada	t͡ʃ a d a
čadca	t͡ʃ a t͡sː a
čadič	t͡ʃ a ɟ i t͡ʃ
čaj	t͡ʃ a j
čajka	t͡ʃ a j k a
čajkovič	t͡ʃ a j k ɔ v i t͡ʃ
čajkovský	t͡ʃ a j k ɔ v s k iː
čajok	t͡ʃ a j ɔ k
čajový	t͡ʃ a j ɔ v iː
čajovňa	t͡ʃ a j ɔ v ɲ a
čajsi	t͡ʃ a j s i
čajčí	t͡ʃ a j t͡ʃ iː
čakaj	t͡ʃ a k a j
čakajme	t͡ʃ a k a j m e
čakajte	t͡ʃ a k a j c e
čakajú	t͡ʃ a k a j uː
čakajúc	t͡ʃ a k a j uː t͡s
čakajúci	t͡ʃ a k a j uː t͡s i
čakal	t͡ʃ a k a l
čakala	t͡ʃ a k a l a
čakali	t͡ʃ a k a ʎ i
čakalo	t͡ʃ a k a l ɔ
čakanie	t͡ʃ a k a ɲ ɪ̯ e
čakaný	t͡ʃ a k a n iː
čakať	t͡ʃ a k a c
čakloš	t͡ʃ a k l ɔ ʃ
čaká	t͡ʃ a k aː
čakám	t͡ʃ a k aː m
čakáme	t͡ʃ a k aː m e
čakáreň	t͡ʃ a k aː r e ɲ
čakárne	t͡ʃ a k aː r ɲ e
čakárni	t͡ʃ a k aː r ɲ i
čakárňou	t͡ʃ a k aː r ɲ ɔ v
čakáte	t͡ʃ a k aː c e
čakáš	t͡ʃ a k aː ʃ
čalík	t͡ʃ a ʎ iː k
čamorčina	t͡ʃ a m ɔ r t͡ʃ i n a
čampa	t͡ʃ a m p a
čanda	t͡ʃ a n d a
čandígarh	t͡ʃ a n ɟ iː ɡ a r x
čaniga	t͡ʃ a ɲ i ɡ a
čap	t͡ʃ a p
čapek	t͡ʃ a p e k
čapko	t͡ʃ a p k ɔ
čaplovič	t͡ʃ a p l ɔ v i t͡ʃ
čaputa	t͡ʃ a p u t a
čaputová	t͡ʃ a p u t ɔ v aː
čapík	t͡ʃ a p iː k
čapíkový	t͡ʃ a p iː k ɔ v iː
čapľa	t͡ʃ a p ʎ a
čarbanica	t͡ʃ a r b a ɲ i t͡s a
čardáš	t͡ʃ a r d aː ʃ
čarnogurská	t͡ʃ a r n ɔ ɡ u r s k aː
čarnogurský	t͡ʃ a r n ɔ ɡ u r s k iː
čaro	t͡ʃ a r ɔ
čarňanská	t͡ʃ a r ɲ a n s k aː
čarňanský	t͡ʃ a r ɲ a n s k iː
čas	t͡ʃ a s
časmi	t͡ʃ a s m i
časoch	t͡ʃ a s ɔ x
časom	t͡ʃ a s ɔ m
časopis	t͡ʃ a s ɔ p i s
časov	t͡ʃ a s ɔ v
časti	t͡ʃ a s c i
častica	t͡ʃ a s c i t͡s a
častuška	t͡ʃ a s t u ʃ k a
častí	t͡ʃ a s c iː
času	t͡ʃ a s u
časy	t͡ʃ a s i
časť	t͡ʃ a s c
čatloš	t͡ʃ a t l ɔ ʃ
čau	t͡ʃ a u̯
čauko	t͡ʃ a u k ɔ
čačanejší	t͡ʃ a t͡ʃ a ɲ e j ʃ iː
čačaný	t͡ʃ a t͡ʃ a n iː
čaša	t͡ʃ a ʃ a
čašami	t͡ʃ a ʃ a m i
čaše	t͡ʃ a ʃ e
čaši	t͡ʃ a ʃ i
čašník	t͡ʃ a ʃ ɲ iː k
čašníčka	t͡ʃ a ʃ ɲ iː t͡ʃ k a
čašou	t͡ʃ a ʃ ɔ v
čašu	t͡ʃ a ʃ u
čaší	t͡ʃ a ʃ iː
čech	t͡ʃ e x
čecha	t͡ʃ e x a
čechami	t͡ʃ e x a m i
čechizmus	t͡ʃ ɛ x i z m u s
čechmi	t͡ʃ e x m i
čechoch	t͡ʃ e x ɔ x
čechom	t͡ʃ e x ɔ m
čechov	t͡ʃ e x ɔ v
čechovi	t͡ʃ e x ɔ v i
čechračka	t͡ʃ e x r a t͡ʃ k a
čechy	t͡ʃ e x i
čechách	t͡ʃ e x aː x
čederle	t͡ʃ e ɟ e r ʎ e
čej	t͡ʃ ɛ j
čekovská	t͡ʃ e k ɔ v s k aː
čekovský	t͡ʃ e k ɔ v s k iː
čelo	t͡ʃ e l ɔ
čelovská	t͡ʃ e l ɔ v s k aː
čelovský	t͡ʃ e l ɔ v s k iː
čemer	t͡ʃ e m e r
čepca	t͡ʃ e p t͡s a
čepiec	t͡ʃ e p ɪ̯ e t͡s
čepák	t͡ʃ e p aː k
čepček	t͡ʃ e p t͡ʃ e k
čepčeka	t͡ʃ e p t͡ʃ e k a
čerebľa	t͡ʃ e r e b ʎ a
čereň	t͡ʃ e r e ɲ
čereňa	t͡ʃ e r e ɲ a
čereňmi	t͡ʃ e r e ɲ m i
čereňový	t͡ʃ e r e ɲ ɔ v iː
čerešnička	t͡ʃ e r e ʃ ɲ i t͡ʃ k a
čerešňa	t͡ʃ e r e ʃ ɲ a
čerešňovica	t͡ʃ e r e ʃ ɲ ɔ v i t͡s a
čerešňák	t͡ʃ e r e ʃ ɲ aː k
čerkáč	t͡ʃ e r k aː t͡ʃ
čerman	t͡ʃ e r m a n
čermák	t͡ʃ e r m aː k
černica	t͡ʃ e r ɲ i t͡s a
černice	t͡ʃ e r ɲ i t͡s e
černo	t͡ʃ e r n ɔ
černobyľ	t͡ʃ e r n ɔ b i ʎ
černoch	t͡ʃ e r n ɔ x
černok	t͡ʃ e r n ɔ k
černák	t͡ʃ e r n aː k
černíc	t͡ʃ e r ɲ iː t͡s
čerpadiel	t͡ʃ e r p a ɟ ɪ̯ e l
čerpadla	t͡ʃ e r p a d l a
čerpadlami	t͡ʃ e r p a d l a m i
čerpadle	t͡ʃ e r p a d ʎ e
čerpadlo	t͡ʃ e r p a d l ɔ
čerpadlom	t͡ʃ e r p a d l ɔ m
čerpadlu	t͡ʃ e r p a d l u
čerpadlá	t͡ʃ e r p a d l aː
čerpadlách	t͡ʃ e r p a d l aː x
čerpadlám	t͡ʃ e r p a d l aː m
čerstvý	t͡ʃ e r s t v iː
červ	t͡ʃ e r v
červenka	t͡ʃ e r v e n k a
červená	t͡ʃ e r v e n aː
červenák	t͡ʃ e r v e n aː k
červený	t͡ʃ e r v e n iː
červeňák	t͡ʃ e r v e ɲ aː k
červia	t͡ʃ e r v ɪ̯ a
červie	t͡ʃ e r v ɪ̯ e
červivý	t͡ʃ e r v i v iː
červičí	t͡ʃ e r v i t͡ʃ iː
červí	t͡ʃ e r v iː
česadiel	t͡ʃ e s a ɟ ɪ̯ e l
česadielko	t͡ʃ e s a ɟ ɪ̯ e l k ɔ
česadla	t͡ʃ e s a d l a
česadle	t͡ʃ e s a d ʎ e
česadlo	t͡ʃ e s a d l ɔ
česadlom	t͡ʃ e s a d l ɔ m
česadlu	t͡ʃ e s a d l u
česadlá	t͡ʃ e s a d l aː
česal	t͡ʃ e s a l
česala	t͡ʃ e s a l a
česať	t͡ʃ e s a c
česi	t͡ʃ e s i
česko	t͡ʃ e s k ɔ
československo	t͡ʃ e s l ɔ s l ɔ v e n s k ɔ
československý	t͡ʃ e s k ɔ s l ɔ v e n s k iː
český	t͡ʃ e s k iː
česák	t͡ʃ e s aː k
česť	t͡ʃ e s c
čevela	t͡ʃ e v e l a
čečensko	t͡ʃ e t͡ʃ e n s k ɔ
čečenský	t͡ʃ ɛ t͡ʃ ɛ n s k iː
čečenčina	t͡ʃ e t͡ʃ e n t͡ʃ i n a
čečotka	t͡ʃ e t͡ʃ ɔ t k a
čeľabinsk	t͡ʃ e ʎ a b i n s k
češe	t͡ʃ e ʃ e
češem	t͡ʃ e ʃ e m
češeme	t͡ʃ e ʃ e m e
češete	t͡ʃ e ʃ e c e
češeš	t͡ʃ e ʃ e ʃ
češka	t͡ʃ e ʃ k a
čeština	t͡ʃ e ʃ c i n a
češtine	t͡ʃ e ʃ c i ɲ e
češtinou	t͡ʃ e ʃ c i n ɔ v
češtinu	t͡ʃ e ʃ c i n u
češtiny	t͡ʃ e ʃ c i n i
češú	t͡ʃ e ʃ uː
čhattísgarh	d͡ʒ ɦ a t c iː z ɡ a r x
či	t͡ʃ i
čiampor	t͡ʃ ɪ̯ a m p ɔ r
čiapka	t͡ʃ ɪ̯ a p k a
čiapočka	t͡ʃ ɪ̯ a p ɔ t͡ʃ k a
čiaročka	t͡ʃ ɪ̯ a r ɔ t͡ʃ k a
čias	t͡ʃ ɪ̯ a s
čiaš	t͡ʃ ɪ̯ a ʃ
čiaška	t͡ʃ ɪ̯ a ʃ k a
čiech	t͡ʃ ɪ̯ e x
čierna	t͡ʃ ɪ̯ e r n a
čiernik	t͡ʃ ɪ̯ e r ɲ i k
čiernohorský	t͡ʃ ɪ̯ e r n ɔ ɦ ɔ r s k iː
čierny	t͡ʃ i̯ e r n i
čierťaž	t͡ʃ ɪ̯ e r c a ʃ
čierťažný	t͡ʃ ɪ̯ e r c a ʒ n iː
čigáš	t͡ʃ i ɡ aː ʃ
čihi	t͡ʃ i ɦ i
čile	t͡ʃ i ʎ e
čilota	t͡ʃ i l ɔ t a
čin	t͡ʃ i n
činiť	t͡ʃ i ɲ i c
činka	t͡ʃ i n k a
činnosť	t͡ʃ i nː ɔ s c
činný	t͡ʃ i nː iː
činčár	t͡ʃ i n t͡ʃ aː r
činža	t͡ʃ i n ʒ a
činžiak	t͡ʃ i n ʒ ɪ̯ a k
čipka	t͡ʃ i p k a
čipke	t͡ʃ i p k e
čipky	t͡ʃ i p k i
čipkár	t͡ʃ i p k aː r
čirip	t͡ʃ i r i p
čistej	t͡ʃ i s c ɛ j
čistý	t͡ʃ i s t iː
čivava	t͡ʃ i v a v a
čičilla	t͡ʃ i t͡ʃ i lː a
čička	t͡ʃ i t͡ʃ k a
čišovská	t͡ʃ i ʃ ɔ v s k aː
čišovský	t͡ʃ i ʃ ɔ v s k iː
čiže	t͡ʃ i ʒ e
čižiem	t͡ʃ i ʒ ɪ̯ e m
čižma	t͡ʃ i ʒ m a
čižmar	t͡ʃ i ʒ m a r
čižmička	t͡ʃ i ʒ m i t͡ʃ k a
čižmy	t͡ʃ i ʒ m i
čkavka	t͡ʃ k a v k a
členka	t͡ʃ ʎ e n k a
členkový	t͡ʃ ʎ e n k ɔ v iː
členok	t͡ʃ ʎ e n ɔ k
členstvo	t͡ʃ ʎ e n s t v ɔ
čln	t͡ʃ l̩ n
člnok	t͡ʃ l̩ n ɔ k
člnový	t͡ʃ l̩ n ɔ v iː
človek	t͡ʃ l ɔ v e k
človeka	t͡ʃ l ɔ v e k a
človekom	t͡ʃ l ɔ v e k ɔ m
človekovi	t͡ʃ l ɔ v e k ɔ v i
človeku	t͡ʃ l ɔ v e k u
človeče	t͡ʃ l ɔ v e t͡ʃ e
človiečik	t͡ʃ l ɔ v ɪ̯ e t͡ʃ i k
čmel	t͡ʃ m e l
čmelí	t͡ʃ m e ʎ iː
čmeľ	t͡ʃ m e ʎ
čo	t͡ʃ ɔ
čobej	t͡ʃ ɔ b e j
čobrda	t͡ʃ ɔ b r̩ d a
čochráč	t͡ʃ ɔ x r aː t͡ʃ
čoka	t͡ʃ ɔ k a
čokoláda	t͡ʃ ɔ k ɔ l aː d a
čokoľvek	t͡ʃ ɔ k ɔ ʎ v e k
čomaj	t͡ʃ ɔ m a j
čomu	t͡ʃ ɔ m u
čonka	t͡ʃ ɔ n k a
čop	t͡ʃ ɔ p
čopák	t͡ʃ ɔ p aː k
čopík	t͡ʃ ɔ p iː k
čoskoro	t͡ʃ ɔ s k ɔ r ɔ
čpavkový	t͡ʃ p a v k ɔ v iː
čpavok	t͡ʃ p a v ɔ k
čremcha	t͡ʃ r e m x a
črep	t͡ʃ r ɛ p
črevný	t͡ʃ r e v n iː
črevo	t͡ʃ r e v ɔ
črieda	t͡ʃ r ɪ̯ e d a
čriedou	t͡ʃ r ɪ̯ e d ɔ v
čriedu	t͡ʃ r ɪ̯ e d u
čriev	t͡ʃ r ɪ̯ e v
črta	t͡ʃ r̩ t a
črtami	t͡ʃ r̩ t a m i
črte	t͡ʃ r̩ c e
črtou	t͡ʃ r̩ t ɔ v
črtu	t͡ʃ r̩ t u
črty	t͡ʃ r̩ t i
črtách	t͡ʃ r̩ t aː x
črtám	t͡ʃ r̩ t aː m
čuboň	t͡ʃ u b ɔ ɲ
čuch	t͡ʃ u x
čuchať	t͡ʃ u x a c
čuchový	t͡ʃ u x ɔ v iː
čuchran	t͡ʃ u x r a n
čudný	t͡ʃ u d n iː
čuganí	t͡ʃ u ɡ a ɲ iː
čugaňa	t͡ʃ u ɡ a ɲ a
čujný	t͡ʃ u j n iː
čukan	t͡ʃ u k a n
čulen	t͡ʃ u ʎ e n
čulý	t͡ʃ u l iː
čumieť	t͡ʃ u m ɪ̯ e c
čuntala	t͡ʃ u n t a l a
čupeľa	t͡ʃ u p e ʎ a
čurilla	t͡ʃ u r i lː a
čus	t͡ʃ u s
čuvan	t͡ʃ u v a n
čučko	t͡ʃ u t͡ʃ k ɔ
čučo	t͡ʃ u t͡ʃ ɔ
čučoriedka	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k a
čučoriedke	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k e
čučoriedkou	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k ɔ v
čučoriedkový	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k ɔ v iː
čučoriedku	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k u
čučoriedky	t͡ʃ u t͡ʃ ɔ r ɪ̯ e t k i
čučoriedok	t͡ʃ u t͡ʃ ɔ r ɪ̯ e d ɔ k
čvarga	t͡ʃ v a r ɡ a
čvíkota	t͡ʃ v iː k ɔ t a
čákov	t͡ʃ aː k ɔ v
čí	t͡ʃ iː
čím	t͡ʃ iː m
čína	t͡ʃ iː n a
čínsky	t͡ʃ iː n s k i
číselný	t͡ʃ iː s e l n iː
číslo	t͡ʃ iː s l ɔ
číslovka	t͡ʃ iː s l ɔ v k a
číslovky	t͡ʃ iː s l ɔ v k i
číta	t͡ʃ iː t a
čítaj	t͡ʃ iː t a j
čítajme	t͡ʃ iː t a j m e
čítajte	t͡ʃ iː t a j c e
čítajú	t͡ʃ iː t a j uː
čítajúc	t͡ʃ iː t a j uː t͡s
čítajúci	t͡ʃ iː t a j uː t͡s i
čítal	t͡ʃ iː t a l
čítala	t͡ʃ iː t a l a
čítali	t͡ʃ iː t a ʎ i
čítalo	t͡ʃ iː t a l ɔ
čítam	t͡ʃ iː t a m
čítame	t͡ʃ iː t a m e
čítanie	t͡ʃ iː t a ɲ ɪ̯ e
čítaný	t͡ʃ iː t a n iː
čítate	t͡ʃ iː t a c e
čítaš	t͡ʃ iː t a ʃ
čítať	t͡ʃ iː t a c
číňan	t͡ʃ iː ɲ a n
číňanka	t͡ʃ iː ɲ a n k a
číž	t͡ʃ iː ʃ
čížik	t͡ʃ iː ʒ i k
čľapkanica	t͡ʃ ʎ a p k a ɲ i t͡s a
čŕt	t͡ʃ r̩ː t
ď	ɟ
ďakoval	ɟ a k ɔ v a l
ďakovala	ɟ a k ɔ v a l a
ďakovali	ɟ a k ɔ v a ʎ i
ďakovalo	ɟ a k ɔ v a l ɔ
ďakovať	ɟ a k ɔ v a c
ďakuje	ɟ a k u j e
ďakujem	ɟ a k u j e m
ďakujeme	ɟ a k u j e m e
ďakujete	ɟ a k u j e c e
ďakuješ	ɟ a k u j e ʃ
ďakujú	ɟ a k u j uː
ďakujúci	ɟ a k u j uː t͡s i
ďalekohľad	ɟ a ʎ e k ɔ ɦ ʎ a t
ďalekopis	ɟ a ʎ e k ɔ p i s
ďalekopisný	ɟ a ʎ e k ɔ p i s n iː
ďalekozrakosť	ɟ a ʎ e k ɔ z r a k ɔ s c
ďaleký	ɟ a ʎ e k iː
ďalší	ɟ a l ʃ iː
ďasien	ɟ a s ɪ̯ e n
ďasna	ɟ a s n a
ďasnami	ɟ a s n a m i
ďasne	ɟ a s ɲ e
ďasno	ɟ a s n ɔ
ďasnom	ɟ a s n ɔ m
ďasnu	ɟ a s n u
ďasná	ɟ a s n aː
ďasnách	ɟ a s n aː x
ďasnám	ɟ a s n aː m
ďatelina	ɟ a c e ʎ i n a
ďatelinka	ɟ a c e ʎ i n k a
ďatelinový	ɟ a c e ʎ i n ɔ v iː
ďateľ	ɟ a c e ʎ
ďateľov	ɟ a c e ʎ ɔ v
ďatko	ɟ a t k ɔ
ďatlí	ɟ a t ʎ iː
ďatlík	ɟ a t ʎ iː k
ďatlíka	ɟ a t ʎ iː k a
ďatlíky	ɟ a t ʎ iː k i
ďatľa	ɟ a t ʎ a
ďatľov	ɟ a t ʎ ɔ v
ďačovská	ɟ a t͡ʃ ɔ v s k aː
ďačovský	ɟ a t͡ʃ ɔ v s k iː
ďaďo	ɟ a ɟ ɔ
ďorko	ɟ ɔ r k ɔ
ďumbier	ɟ u m b ɪ̯ e r
ďumbierový	ɟ u m b ɪ̯ e r ɔ v iː
ďuraj	ɟ u r a j
ďurana	ɟ u r a n a
ďuriak	ɟ u r ɪ̯ a k
ďurikovič	ɟ u r i k ɔ v i t͡ʃ
ďuriš	ɟ u r i ʃ
ďurko	ɟ u r k ɔ
ďurkovič	ɟ u r k ɔ v i t͡ʃ
ďuro	ɟ u r ɔ
ďuráš	ɟ u r aː ʃ
ďurík	ɟ u r iː k
ďurča	ɟ u r t͡ʃ a
ďurček	ɟ u r t͡ʃ e k
ďurčo	ɟ u r t͡ʃ ɔ
ďurčová	ɟ u r t͡ʃ ɔ v aː
ĺ	ɫ̩ː
ľ	ʎ
ľach	ʎ a x
ľad	ʎ a t
ľade	ʎ a ɟ e
ľadnička	ʎ a d ɲ i t͡ʃ k a
ľadoborca	ʎ a d ɔ b ɔ r t͡s a
ľadoborce	ʎ a d ɔ b ɔ r t͡s e
ľadoborec	ʎ a d ɔ b ɔ r e t͡s
ľadom	ʎ a d ɔ m
ľadovca	ʎ a d ɔ v t͡s a
ľadovec	ʎ a d ɔ v e t͡s
ľadu	ʎ a d u
ľadvina	ʎ a d v i n a
ľahkomyseľnosť	ʎ a x k ɔ m i s e ʎ n ɔ s c
ľahkosť	ʎ a x k ɔ s c
ľahký	ʎ a x k iː
ľahostajný	ʎ a ɦ ɔ s t a j n iː
ľahší	ʎ a x ʃ iː
ľan	ʎ a n
ľane	ʎ a ɲ e
ľanom	ʎ a n ɔ m
ľanu	ʎ a n u
ľavačiek	ʎ a v a t͡ʃ ɪ̯ e k
ľavačka	ʎ a v a t͡ʃ k a
ľavica	ʎ a v i t͡s a
ľavom	ʎ a v ɔ m
ľavou	ʎ a v ɔ v
ľavá	ʎ a v aː
ľavé	ʎ a v eː
ľaví	ʎ a v iː
ľavú	ʎ a v uː
ľavý	ʎ a v iː
ľaľo	ʎ a ʎ ɔ
ľoľo	ʎ ɔ ʎ ɔ
ľstivý	ʎ s c i v iː
ľuba	ʎ u b a
ľubica	ʎ u b i t͡s a
ľubo	ʎ u b ɔ
ľubomír	ʎ u b ɔ m iː r
