muy	m u ʝ
cristhian	k ɾ i s t ʝ a n
critic	k ɾ i t i k
crl	k ɾ l
crom	k ɾ o m
crossfire	k ɾ o s f i ɾ e
cuendo	k we n d o
culturista	k u l t u ɾ i s t a
cuomo	k wo m o
cybertron	θ i b e ɾ t ɾ o n
demostras	d e m o s t ɾ a s
desalojarlos	d e s a l o x a ɾ l o s
deste	d e s t e
destroy	d e s t ɾ o ʝ
dioniso	d ʝ o n i s o
dirigia	d i ɾ i x ʝ a
discours	d i s k ou ɾ s
disminuído	d i s m i n wi d o
distraccion	d i s t ɾ a k θ ʝ o n
doki	d o k i
dooley	d o o l e ʝ
droits	d ɾ oi t s
duitama	d wi t a m a
dvi	d b i
dénia	d e n ʝ a
eafit	e a f i t
earthquake	e a ɾ t k wa k e
echave	e t͡ʃ a b e
ecologico	e k o l o x i k o
egido	e x i d o
eleni	e l e n i
elgin	e l x i n
eliane	e l ʝ a n e
elmore	e l m o ɾ e
emc	e m k
entrenos	e n t ɾ e n o s
entrás	e n t ɾ a s
equus	e k u s
espaillat	e s p ai ʎ a t
espinita	e s p i n i t a
espontaneo	e s p o n t a n e o
espray	e s p ɾ a ʝ
esr	e s r
etan	e t a n
eulalio	eu l a l ʝ o
euskaltel	eu s k a l t e l
exgerente	e k s x e ɾ e n t e
exjuez	e k s x we θ
experencia	e k s p e ɾ e n θ ʝ a
extenuantes	e k s t e n wa n t e s
extractivismo	e k s t ɾ a k t i b i s m o
extraescolar	e k s t ɾ a e s k o l a ɾ
extraido	e k s t ɾ ai d o
extremoduro	e k s t ɾ e m o d u ɾ o
ezio	e θ ʝ o
fairmont	f ai ɾ m o n t
fale	f a l e
fare	f a ɾ e
fedecámaras	f e d e k a m a ɾ a s
felipecalderon	f e l i p e k a l d e ɾ o n
fida	f i d a
figuerola	f i g e ɾ o l a
financiadores	f i n a n θ ʝ a d o ɾ e s
florin	f l o ɾ i n
fluorita	f l wo ɾ i t a
fondue	f o n d we
fotografos	f o t o g ɾ a f o s
freedman	f ɾ e e d m a n
galbraith	g a l b ɾ ai t
ganja	g a n x a
garces	g a ɾ θ e s
generali	x e n e ɾ a l i
genomas	x e n o m a s
gentlemen	x e n t l e m e n
germoplasma	x e ɾ m o p l a s m a
getúlio	x e t u l ʝ o
gigoló	x i g o l o
giusti	x ʝ u s t i
glamoroso	g l a m o ɾ o s o
glomerular	g l o m e ɾ u l a ɾ
golazos	g o l a θ o s
goode	g o o d e
gouda	g ou d a
goulart	g ou l a ɾ t
gower	g o we ɾ
grafiteros	g ɾ a f i t e ɾ o s
greyjoy	g ɾ ei x o ʝ
griswold	g ɾ i s wo l d
gritándome	g ɾ i t a n d o m e
groupe	g ɾ ou p e
grub	g ɾ u b
guadalete	g wa d a l e t e
guardamar	g wa ɾ d a m a ɾ
guarimba	g wa ɾ i m b a
guiomar	g ʝ o m a ɾ
guipuzcoa	g i p u θ k o a
gumi	g u m i
gurabo	g u ɾ a b o
guterres	g u t e r e s
guts	g u t s
gánsteres	g a n s t e ɾ e s
gómara	g o m a ɾ a
haki	a k i
hakuna	a k u n a
hasán	a s a n
hdi	d i
heel	e e l
helle	e ʎ e
herculano	e ɾ k u l a n o
herranz	e r a n θ
hershel	e ɾ s e l
hoboken	o b o k e n
hofmann	o f m a n
hogarth	o g a ɾ t
holotipo	o l o t i p o
homofobico	o m o f o b i k o
hotelito	o t e l i t o
hsiao	s ʝ a o
hubs	u b s
huequito	we k i t o
hás	a s
idv	i d b
igbo	i g b o
inazuma	i n a θ u m a
inco	i n k o
infantino	i m f a n t i n o
infligidas	i m f l i x i d a s
informaticos	i m f o ɾ m a t i k o s
inmunoglobulina	i m m u n o g l o b u l i n a
instinct	i n s t i n k t
inteligibilidad	i n t e l i x i b i l i d a d
interdepartamental	i n t e ɾ d e p a ɾ t a m e n t a l
intermodal	i n t e ɾ m o d a l
intestinas	i n t e s t i n a s
inu	i n u
investigativos	i m b e s t i g a t i b o s
irani	i ɾ a n i
iranies	i ɾ a n ʝ e s
ironicamente	i ɾ o n i k a m e n t e
isfahán	i s f a a n
islamización	i s l a m i θ a θ ʝ o n
izamal	i θ a m a l
jari	x a ɾ i
jeronimo	x e ɾ o n i m o
juguetitos	x u g e t i t o s
jutiapa	x u t ʝ a p a
katharina	k a t a ɾ i n a
keeler	k e e l e ɾ
kimberley	k i m b e ɾ l e ʝ
krahe	k ɾ a e
kriptonita	k ɾ i p t o n i t a
krista	k ɾ i s t a
kuban	k u b a n
lajos	l a x o s
lanzamisiles	l a n θ a m i s i l e s
latakia	l a t a k ʝ a
lausanne	l au s a n n e
lebu	l e b u
legitimos	l e x i t i m o s
lepage	l e p a x e
limardo	l i m a ɾ d o
lipoproteínas	l i p o p ɾ o t ei n a s
lizarraga	l i θ a r a g a
llamémosle	ʎ a m e m o s l e
lliure	ʎ ʝ u ɾ e
localía	l o k a l i a
loce	l o θ e
lomax	l o m a k s
lorelei	l o ɾ e l ei
lucrezia	l u k ɾ e θ ʝ a
lusaka	l u s a k a
lz	l θ
lí	l i
malandra	m a l a n d ɾ a
mandi	m a n d i
manzoni	m a n θ o n i
maoísmo	m a oi s m o
mapeado	m a p e a d o
maquinilla	m a k i n i ʎ a
marg	m a ɾ g
margarida	m a ɾ g a ɾ i d a
married	m a r ʝ e d
martinoli	m a ɾ t i n o l i
massacre	m a s a k ɾ e
mayu	m a ʝ u
mcavoy	m k a b o ʝ
melendez	m e l e n d e θ
melton	m e l t o n
mentalista	m e n t a l i s t a
meow	m e o w
micronutrientes	m i k ɾ o n u t ɾ ʝ e n t e s
miradita	m i ɾ a d i t a
mischa	m i s t͡ʃ a
modisto	m o d i s t o
molinas	m o l i n a s
monfort	m o m f o ɾ t
monotributo	m o n o t ɾ i b u t o
morgenstern	m o ɾ x e n s t e ɾ n
multiétnica	m u l t ʝ e t n i k a
mundus	m u n d u s
másters	m a s t e ɾ s
mísmo	m i s m o
namur	n a m u ɾ
naturale	n a t u ɾ a l e
naturelle	n a t u ɾ e ʎ e
nein	n ei n
nerio	n e ɾ ʝ o
nesecito	n e s e θ i t o
neumonia	n eu m o n ʝ a
nicholls	n i t͡ʃ o ʎ s
nishi	n i s i
normar	n o ɾ m a ɾ
norodom	n o ɾ o d o m
norway	n o ɾ wa ʝ
noso	n o s o
nosotro	n o s o t ɾ o
novembre	n o b e m b ɾ e
nuna	n u n a
nuovo	n wo b o
nuts	n u t s
objective	o b x e k t i b e
okno	o k n o
olazábal	o l a θ a b a l
older	o l d e ɾ
oles	o l e s
osamu	o s a m u
outlets	ou t l e t s
ozores	o θ o ɾ e s
palida	p a l i d a
panay	p a n a ʝ
parapolítica	p a ɾ a p o l i t i k a
parisien	p a ɾ i s ʝ e n
parteaguas	p a ɾ t e a g wa s
pasás	p a s a s
patrizia	p a t ɾ i θ ʝ a
patys	p a t i s
pedreira	p e d ɾ ei ɾ a
pelotitas	p e l o t i t a s
peni	p e n i
penrose	p e n r o s e
pepperoni	p e p p e ɾ o n i
perron	p e r o n
personalistas	p e ɾ s o n a l i s t a s
però	p e ɾ o
petorca	p e t o ɾ k a
pijamada	p i x a m a d a
pizarnik	p i θ a ɾ n i k
pizzero	p i θ θ e ɾ o
polisacáridos	p o l i s a k a ɾ i d o s
pomerania	p o m e ɾ a n ʝ a
primi	p ɾ i m i
prospectivo	p ɾ o s p e k t i b o
prostaglandinas	p ɾ o s t a g l a n d i n a s
protest	p ɾ o t e s t
proxies	p ɾ o k s ʝ e s
pubg	p u b g
publicitando	p u b l i θ i t a n d o
punky	p u n k i
purge	p u ɾ x e
pyotr	p ʝ o t ɾ
párraga	p a r a g a
qje	k x e
quartz	k wa ɾ t θ
quequén	k e k e n
quilo	k i l o
quisqueya	k i s k e ʝ a
quí	k i
rajput	r a x p u t
reasignado	r e a s i g n a d o
reconócelo	r e k o n o θ e l o
reelaboración	r e e l a b o ɾ a θ ʝ o n
reinhard	r ei n a ɾ d
reintroducir	r ei n t ɾ o d u θ i ɾ
reinventando	r ei m b e n t a n d o
relocalización	r e l o k a l i θ a θ ʝ o n
resa	r e s a
reseteo	r e s e t e o
riko	r i k o
riofrío	r ʝ o f ɾ i o
rogerio	r o x e ɾ ʝ o
rollin	r o ʎ i n
rossetti	r o s e t i
rovere	r o b e ɾ e
ruffalo	r u f f a l o
rémi	r e m i
rítmicamente	r i t m i k a m e n t e
salvataje	s a l b a t a x e
sangha	s a n g a
sanhueza	s a n we θ a
sanja	s a n x a
santé	s a n t e
sareb	s a ɾ e b
satur	s a t u ɾ
schelotto	s t͡ʃ e l o t t o
scooters	s k o o t e ɾ s
secularismo	s e k u l a ɾ i s m o
seeger	s e e x e ɾ
seido	s ei d o
semar	s e m a ɾ
semidesnudo	s e m i d e s n u d o
senilidad	s e n i l i d a d
senso	s e n s o
sentas	s e n t a s
seong	s e o n g
sermon	s e ɾ m o n
servini	s e ɾ b i n i
shona	s o n a
sij	s i x
simce	s i m θ e
sintoma	s i n t o m a
slang	s l a n g
socialism	s o θ ʝ a l i s m
sorte	s o ɾ t e
spagna	s p a g n a
sso	s o
stanislas	s t a n i s l a s
stp	e s t e p e
stunt	s t u n t
subcategoría	s u b k a t e g o ɾ i a
subespacio	s u b e s p a θ ʝ o
subnacionales	s u b n a θ ʝ o n a l e s
suga	s u g a
suplementación	s u p l e m e n t a θ ʝ o n
supremacistas	s u p ɾ e m a θ i s t a s
sylar	s i l a ɾ
syrah	s i ɾ a
síganla	s i g a n l a
tabares	t a b a ɾ e s
tach	t a t͡ʃ
tahrir	t a ɾ i ɾ
takagi	t a k a x i
tanqueta	t a n k e t a
taquería	t a k e ɾ i a
taxes	t a k s e s
tcs	t k s
technicolor	t e t͡ʃ n i k o l o ɾ
technique	t e t͡ʃ n i k e
teenage	t e e n a x e
temia	t e m ʝ a
tenma	t e m m a
tequeños	t e k e ɲ o s
testiculos	t e s t i k u l o s
thanh	t a n
tinnitus	t i n n i t u s
tizayuca	t i θ a ʝ u k a
tlaxiaco	t l a k s ʝ a k o
tobey	t o b e ʝ
tombo	t o m b o
tombstone	t o m b s t o n e
torturarme	t o ɾ t u ɾ a ɾ m e
toru	t o ɾ u
transgénica	t ɾ a n s x e n i k a
transtornos	t ɾ a n s t o ɾ n o s
trilogia	t ɾ i l o x ʝ a
tráilers	t ɾ ai l e ɾ s
tríadas	t ɾ i a d a s
tunis	t u n i s
uagadugú	wa g a d u g u
ulm	u l m
ulán	u l a n
universalis	u n i b e ɾ s a l i s
ural	u ɾ a l
urkullu	u ɾ k u ʎ u
vallenatos	b a ʎ e n a t o s
vanina	b a n i n a
vehicle	b ei k l e
veil	b ei l
vicious	b i θ ʝ ou s
videoconferencias	b i d e o k o m f e ɾ e n θ ʝ a s
viladecans	b i l a d e k a n s
vilela	b i l e l a
vilna	b i l n a
viver	b i b e ɾ
viviani	b i b ʝ a n i
voila	b oi l a
vta	b t a
wednesday	we d n e s d a ʝ
welter	we l t e ɾ
westin	we s t i n
westmoreland	we s t m o ɾ e l a n d
woodbury	wo d b u ɾ i
xanadu	k s a n a d u
xcaret	k s k a ɾ e t
yacyretá	ʝ a θ i ɾ e t a
yanguas	ʝ a n g wa s
yield	ʝ ʝ e l d
yle	i l e
yulin	ʝ u l i n
yumbo	ʝ u m b o
yuyo	ʝ u ʝ o
zambrana	θ a m b ɾ a n a
zanu	θ a n u
zello	θ e ʎ o
zenaida	θ e n ai d a
zin	θ i n
zohar	θ o a ɾ
zoido	θ oi d o
zoraida	θ o ɾ ai d a
ás	a s
élla	e ʎ a
époque	e p o k e
étienne	e t ʝ e n n e
éufrates	eu f ɾ a t e s
ños	ɲ o s
по	p o
abducido	a b d u θ i d o
abrego	a b ɾ e g o
acaloradamente	a k a l o ɾ a d a m e n t e
acojona	a k o x o n a
acr	a k ɾ
activ	a k t i b
admitámoslo	a d m i t a m o s l o
aedo	a e d o
afternoon	a f t e ɾ n o o n
agregadores	a g ɾ e g a d o ɾ e s
akane	a k a n e
alacant	a l a k a n t
alajuelense	a l a x we l e n s e
albaicín	a l b ai θ i n
alcoholica	a l k o o l i k a
align	a l i g n
alim	a l i m
alvarito	a l b a ɾ i t o
amicus	a m i k u s
anestesiólogo	a n e s t e s ʝ o l o g o
anika	a n i k a
anotate	a n o t a t e
antiglobalización	a n t i g l o b a l i θ a θ ʝ o n
apia	a p ʝ a
apizaco	a p i θ a k o
apá	a p a
aravaca	a ɾ a b a k a
arcangel	a ɾ k a n x e l
arga	a ɾ g a
aritz	a ɾ i t θ
astrologia	a s t ɾ o l o x ʝ a
austerlitz	au s t e ɾ l i t θ
autocine	au t o θ i n e
autopromoción	au t o p ɾ o m o θ ʝ o n
babette	b a b e t t e
bages	b a x e s
bailly	b ai ʎ i
balenciaga	b a l e n θ ʝ a g a
bancate	b a n k a t e
bangor	b a n g o ɾ
banqué	b a n k e
barletta	b a ɾ l e t t a
basse	b a s e
baudrillard	b au d ɾ i ʎ a ɾ d
bci	b θ i
bde	b d e
begum	b e g u m
benja	b e n x a
berkley	b e ɾ k l e ʝ
berruguete	b e r u g e t e
biendo	b ʝ e n d o
biopic	b ʝ o p i k
bites	b i t e s
bldo	b l d o
bles	b l e s
bluefields	b l we f ʝ e l d s
boateng	b o a t e n g
bofill	b o f i ʎ
boloña	b o l o ɲ a
bored	b o ɾ e d
braithwaite	b ɾ ai t wa i t e
brandenburgo	b ɾ a n d e m b u ɾ g o
briviesca	b ɾ i b ʝ e s k a
bublé	b u b l e
cadi	k a d i
cagaos	k a g a o s
calanda	k a l a n d a
caldito	k a l d i t o
cancino	k a n θ i n o
cantillana	k a n t i ʎ a n a
cappuccino	k a p p u k θ i n o
caprio	k a p ɾ ʝ o
cardi	k a ɾ d i
carísimas	k a ɾ i s i m a s
casma	k a s m a
cassius	k a s ʝ u s
castán	k a s t a n
catriel	k a t ɾ ʝ e l
celebration	θ e l e b ɾ a t ʝ o n
certified	θ e ɾ t i f ʝ e d
cfo	k f o
chalbaud	t͡ʃ a l b au d
chamuyando	t͡ʃ a m u ʝ a n d o
chap	t͡ʃ a p
chechena	t͡ʃ e t͡ʃ e n a
cheetah	t͡ʃ e e t a
chejov	t͡ʃ e x o b
chele	t͡ʃ e l e
chicó	t͡ʃ i k o
chimi	t͡ʃ i m i
chocolat	t͡ʃ o k o l a t
choele	t͡ʃ o e l e
chollos	t͡ʃ o ʎ o s
christos	t͡ʃ ɾ i s t o s
chronic	t͡ʃ ɾ o n i k
chubby	t͡ʃ u b b i
cibernautas	θ i b e ɾ n au t a s
cintra	θ i n t ɾ a
citadinos	θ i t a d i n o s
clasificatorios	k l a s i f i k a t o ɾ ʝ o s
clavadista	k l a b a d i s t a
cno	k n o
commune	k o m m u n e
conadep	k o n a d e p
conductismo	k o n d u k t i s m o
conpes	k o m p e s
conquest	k o n k e s t
constructos	k o n s t ɾ u k t o s
contínuas	k o n t i n wa s
cordeiro	k o ɾ d ei ɾ o
corrie	k o r ʝ e
corticosteroides	k o ɾ t i k o s t e ɾ oi d e s
cpus	k p u s
creais	k ɾ e ai s
creedence	k ɾ e e d e n θ e
crines	k ɾ i n e s
cruises	k ɾ wi s e s
crypto	k ɾ i p t o
curzon	k u ɾ θ o n
cutzamala	k u t θ a m a l a
câmara	k a m a ɾ a
darmstadt	d a ɾ m s t a d t
deca	d e k a
decil	d e θ i l
dejadnos	d e x a d n o s
delilah	d e l i l a
departament	d e p a ɾ t a m e n t
derramarse	d e r a m a ɾ s e
desiree	d e s i ɾ e e
despersonalización	d e s p e ɾ s o n a l i θ a θ ʝ o n
dgac	d g a k
dieguito	d ʝ e g i t o
diogenes	d ʝ o x e n e s
directions	d i ɾ e k t ʝ o n s
diri	d i ɾ i
discourse	d i s k ou ɾ s e
drina	d ɾ i n a
dryden	d ɾ i d e n
duk	d u k
désiré	d e s i ɾ e
ecole	e k o l e
eguía	e g i a
eivissa	ei b i s a
eloise	e l oi s e
emba	e m b a
enforcement	e m f o ɾ θ e m e n t
enviame	e m b ʝ a m e
epinefrina	e p i n e f ɾ i n a
erskine	e ɾ s k i n e
espai	e s p ai
etcetera	e t θ e t e ɾ a
ethiopia	e t ʝ o p ʝ a
ethnic	e t n i k
explícaselo	e k s p l i k a s e l o
farmacocinética	f a ɾ m a k o θ i n e t i k a
fats	f a t s
fdez	f d e θ
feira	f ei ɾ a
feral	f e ɾ a l
feyenoord	f e ʝ e n o o ɾ d
flagstaff	f l a g s t a f
float	f l o a t
fom	f o m
foronda	f o ɾ o n d a
fortunata	f o ɾ t u n a t a
fortún	f o ɾ t u n
fosforo	f o s f o ɾ o
frankl	f ɾ a n k l
frontend	f ɾ o n t e n d
gabaldón	g a b a l d o n
galarreta	g a l a r e t a
gatitas	g a t i t a s
gatt	g a t
gela	x e l a
gelves	x e l b e s
gianluigi	x ʝ a n l wi x i
glucocorticoides	g l u k o k o ɾ t i k oi d e s
gobbi	g o b b i
gomis	g o m i s
greenville	g ɾ e e m b i ʎ e
grosas	g ɾ o s a s
guacara	g wa k a ɾ a
guaranda	g wa ɾ a n d a
guaraná	g wa ɾ a n a
guardavidas	g wa ɾ d a b i d a s
guatón	g wa t o n
guilt	g i l t
gábor	g a b o ɾ
hacien	a θ ʝ e n
harman	a ɾ m a n
hatcher	a t͡ʃ e ɾ
hellman	e ʎ m a n
hembrismo	e m b ɾ i s m o
hemolítica	e m o l i t i k a
hiatus	ʝ a t u s
hildebrandt	i l d e b ɾ a n d t
hiphop	i f o p
hiroyuki	i ɾ o ʝ u k i
holan	o l a n
hotspot	o t s p o t
huejutla	we x u t l a
hyeon	ʝ e o n
háganos	a g a n o s
iborra	i b o r a
ibu	i b u
implementacion	i m p l e m e n t a θ ʝ o n
increase	i n k ɾ e a s e
infolibre	i m f o l i b ɾ e
insoslayable	i n s o s l a ʝ a b l e
intent	i n t e n t
intersectorial	i n t e ɾ s e k t o ɾ ʝ a l
interviniente	i n t e ɾ b i n ʝ e n t e
inverter	i m b e ɾ t e ɾ
isma	i s m a
izz	i θ θ
jabba	x a b b a
jackpot	x a k p o t
jahan	x a a n
jajajajjaja	x a x a x a x x a x a
janie	x a n ʝ e
janusz	x a n u s θ
jebus	x e b u s
jere	x e ɾ e
jipi	x i p i
jonatán	x o n a t a n
joël	x o e l
kamala	k a m a l a
kamil	k a m i l
kandy	k a n d i
karsten	k a ɾ s t e n
kashmir	k a s m i ɾ
kayaks	k a ʝ a k s
kenyon	k e ɲ ʝ o n
kiril	k i ɾ i l
kitano	k i t a n o
klimt	k l i m t
kogan	k o g a n
krishnamurti	k ɾ i s n a m u ɾ t i
lade	l a d e
laertes	l a e ɾ t e s
laical	l ai k a l
landi	l a n d i
lauer	l a we ɾ
legolas	l e g o l a s
leguina	l e g i n a
lenox	l e n o k s
levitt	l e b i t
limay	l i m a ʝ
llamativamente	ʎ a m a t i b a m e n t e
lobotomía	l o b o t o m i a
lonchera	l o ɲ t͡ʃ e ɾ a
lucentum	l u θ e n t u m
luk	l u k
lukács	l u k a k s
luquitas	l u k i t a s
luzon	l u θ o n
lémures	l e m u ɾ e s
líbido	l i b i d o
magicamente	m a x i k a m e n t e
malvín	m a l b i n
manfredi	m a m f ɾ e d i
marika	m a ɾ i k a
marilú	m a ɾ i l u
marseille	m a ɾ s ei ʎ e
masividad	m a s i b i d a d
mci	m θ i
mcintosh	m θ i n t o s
mentol	m e n t o l
merchán	m e ɾ t͡ʃ a n
metabolito	m e t a b o l i t o
michelsen	m i t͡ʃ e l s e n
mielina	m ʝ e l i n a
mierdita	m ʝ e ɾ d i t a
mikado	m i k a d o
milford	m i l f o ɾ d
minimas	m i n i m a s
mirale	m i ɾ a l e
moldova	m o l d o b a
moli	m o l i
monedita	m o n e d i t a
montañistas	m o n t a ɲ i s t a s
montpensier	m o n t p e n s ʝ e ɾ
mordecai	m o ɾ d e k ai
mots	m o t s
mpla	m p l a
muevete	m we b e t e
naaah	n a a a
nagore	n a g o ɾ e
nahh	n a
nasional	n a s ʝ o n a l
natale	n a t a l e
neff	n e f
niue	n ʝ we
objecion	o b x e θ ʝ o n
obélix	o b e l i k s
occidentalización	o k θ i d e n t a l i θ a θ ʝ o n
odría	o d ɾ i a
often	o f t e n
olvidadizo	o l b i d a d i θ o
onassis	o n a s i s
onésimo	o n e s i m o
openings	o p e n i n g s
orihime	o ɾ i i m e
padrecito	p a d ɾ e θ i t o
pagola	p a g o l a
panty	p a n t i
pasadlo	p a s a d l o
pastún	p a s t u n
patetica	p a t e t i k a
patinetas	p a t i n e t a s
pedagoga	p e d a g o g a
permitira	p e ɾ m i t i ɾ a
personality	p e ɾ s o n a l i t i
persuadirlo	p e ɾ s wa d i ɾ l o
pettinato	p e t t i n a t o
pha	f a
piran	p i ɾ a n
pixie	p i k s ʝ e
plath	p l a t
poch	p o t͡ʃ
polic	p o l i k
polimerización	p o l i m e ɾ i θ a θ ʝ o n
prato	p ɾ a t o
predictiva	p ɾ e d i k t i b a
prejudicial	p ɾ e x u d i θ ʝ a l
prez	p ɾ e θ
proactividad	p ɾ o a k t i b i d a d
procesion	p ɾ o θ e s ʝ o n
procter	p ɾ o k t e ɾ
prohíbo	p ɾ oi b o
príamo	p ɾ i a m o
quaker	k wa k e ɾ
quarks	k wa ɾ k s
queralt	k e ɾ a l t
quiñonez	k i ɲ o n e θ
radha	r a d a
radiant	r a d ʝ a n t
radius	r a d ʝ u s
radón	r a d o n
rated	r a t e d
rational	r a t ʝ o n a l
recalificación	r e k a l i f i k a θ ʝ o n
reconocio	r e k o n o θ ʝ o
reding	r e d i n g
refiriendose	r e f i ɾ ʝ e n d o s e
regaños	r e g a ɲ o s
rehabilitarse	r e a b i l i t a ɾ s e
rehidratación	r ei d ɾ a t a θ ʝ o n
resaltantes	r e s a l t a n t e s
retrospectivamente	r e t ɾ o s p e k t i b a m e n t e
ricart	r i k a ɾ t
rinaldo	r i n a l d o
rojinegros	r o x i n e g ɾ o s
rosneft	r o s n e f t
royalties	r o ʝ a l t ʝ e s
rudyard	r u d ʝ a ɾ d
ruki	r u k i
saborizantes	s a b o ɾ i θ a n t e s
saffron	s a f f ɾ o n
saliamos	s a l ʝ a m o s
saluditos	s a l u d i t o s
sanchís	s a ɲ t͡ʃ i s
sanjana	s a n x a n a
santis	s a n t i s
savings	s a b i n g s
scud	s k u d
sdi	s d i
semiáridas	s e m ʝ a ɾ i d a s
semprún	s e m p ɾ u n
seng	s e n g
sentadilla	s e n t a d i ʎ a
seus	s eu s
sheets	s e e t s
shere	s e ɾ e
shetland	s e t l a n d
shojo	s o x o
shoulder	s ou l d e ɾ
sibley	s i b l e ʝ
sicariato	s i k a ɾ ʝ a t o
silenciamiento	s i l e n θ ʝ a m ʝ e n t o
sink	s i n k
sipo	s i p o
soberón	s o b e ɾ o n
sociópatas	s o θ ʝ o p a t a s
soldiers	s o l d ʝ e ɾ s
solon	s o l o n
somme	s o m m e
spoilear	s p oi l e a ɾ
spoken	s p o k e n
sprays	s p ɾ a ʝ s
streamers	s t ɾ e a m e ɾ s
stéphanie	s t e f a n ʝ e
subregiones	s u b ɾ e x ʝ o n e s
subsidiando	s u b s i d ʝ a n d o
suenos	s we n o s
suertudos	s we ɾ t u d o s
sugiyama	s u x i ʝ a m a
suroccidental	s u ɾ o k θ i d e n t a l
swaps	s wa p s
systema	s i s t e m a
sésiles	s e s i l e s
sétima	s e t i m a
tacticas	t a k t i k a s
tacuara	t a k wa ɾ a
teg	t e g
terrell	t e r e ʎ
tesco	t e s k o
thurston	t u ɾ s t o n
tizi	t i θ i
tomoe	t o m o e
traccion	t ɾ a k θ ʝ o n
traguito	t ɾ a g i t o
trask	t ɾ a s k
tray	t ɾ a ʝ
treaty	t ɾ e a t i
tubman	t u b m a n
tuneles	t u n e l e s
tutú	t u t u
tywin	t i wi n
uigures	wi g u ɾ e s
unicameral	u n i k a m e ɾ a l
unx	u n k s
urresti	u r e s t i
vacilantes	b a θ i l a n t e s
vallarino	b a ʎ a ɾ i n o
vampirismo	b a m p i ɾ i s m o
vault	b au l t
vayais	b a ʝ ai s
veg	b e g
velocímetro	b e l o θ i m e t ɾ o
veámoslo	b e a m o s l o
vicentico	b i θ e n t i k o
vilcabamba	b i l k a b a m b a
viviamos	b i b ʝ a m o s
voc	b o k
vívidas	b i b i d a s
webmasters	we b m a s t e ɾ s
whispers	wi s p e ɾ s
winds	wi n d s
xipolitakis	k s i p o l i t a k i s
yandex	ʝ a n d e k s
yautepec	ʝ au t e p e k
àlex	a l e k s
échele	e t͡ʃ e l e
abortistas	a b o ɾ t i s t a s
acercandose	a θ e ɾ k a n d o s e
acti	a k t i
adas	a d a s
admins	a d m i n s
adonai	a d o n ai
aede	a e d e
aeronautica	a e ɾ o n au t i k a
ainu	ai n u
airplane	ai ɾ p l a n e
ajaj	a x a x
albúm	a l b u m
alcibíades	a l θ i b i a d e s
ald	a l d
allyson	a ʎ i s o n
alperovich	a l p e ɾ o b i t͡ʃ
alstom	a l s t o m
amerika	a m e ɾ i k a
aminta	a m i n t a
amorín	a m o ɾ i n
amunátegui	a m u n a t e g i
anger	a n x e ɾ
anniversary	a n n i b e ɾ s a ɾ i
apus	a p u s
araos	a ɾ a o s
ardenas	a ɾ d e n a s
argandoña	a ɾ g a n d o ɲ a
argh	a ɾ g
ariosto	a ɾ ʝ o s t o
arjen	a ɾ x e n
armilla	a ɾ m i ʎ a
arnao	a ɾ n a o
artico	a ɾ t i k o
atendio	a t e n d ʝ o
atlantida	a t l a n t i d a
auster	au s t e ɾ
autoaprendizaje	au t o a p ɾ e n d i θ a x e
aviacion	a b ʝ a θ ʝ o n
avioncito	a b ʝ o n θ i t o
ayan	a ʝ a n
baekje	b a e k x e
bail	b ai l
baneo	b a n e o
barbier	b a ɾ b ʝ e ɾ
bast	b a s t
baute	b au t e
bejuco	b e x u k o
belem	b e l e m
bellucci	b e ʎ u k θ i
bembibre	b e m b i b ɾ e
binary	b i n a ɾ i
birkenau	b i ɾ k e n au
boada	b o a d a
bocadito	b o k a d i t o
bodies	b o d ʝ e s
boff	b o f
boggs	b o g s
borgo	b o ɾ g o
boswell	b o s we ʎ
botnet	b o t n e t
boulton	b ou l t o n
bourgeois	b ou ɾ x e oi s
braque	b ɾ a k e
brasier	b ɾ a s ʝ e ɾ
brezhnev	b ɾ e θ n e b
briana	b ɾ ʝ a n a
britanica	b ɾ i t a n i k a
britten	b ɾ i t t e n
broly	b ɾ o l i
bubu	b u b u
buenito	b we n i t o
bufet	b u f e t
bul	b u l
butts	b u t t s
buxton	b u k s t o n
cagaria	k a g a ɾ ʝ a
calibán	k a l i b a n
calmense	k a l m e n s e
calzon	k a l θ o n
capetillo	k a p e t i ʎ o
caracciolo	k a ɾ a k θ ʝ o l o
carcelén	k a ɾ θ e l e n
careaga	k a ɾ e a g a
carrion	k a r ʝ o n
carrizales	k a r i θ a l e s
casale	k a s a l e
catalinas	k a t a l i n a s
catastrofe	k a t a s t ɾ o f e
celebrities	θ e l e b ɾ i t ʝ e s
celíaco	θ e l i a k o
cerdán	θ e ɾ d a n
cerebrovasculares	θ e ɾ e b ɾ o b a s k u l a ɾ e s
chagall	t͡ʃ a g a ʎ
chiches	t͡ʃ i t͡ʃ e s
chorus	t͡ʃ o ɾ u s
chumel	t͡ʃ u m e l
chuo	t͡ʃ wo
chúpame	t͡ʃ u p a m e
cilicia	θ i l i θ ʝ a
ciruja	θ i ɾ u x a
citerior	θ i t e ɾ ʝ o ɾ
claremont	k l a ɾ e m o n t
claudette	k l au d e t t e
cleve	k l e b e
clientelista	k l ʝ e n t e l i s t a
clin	k l i n
cline	k l i n e
codes	k o d e s
coescrito	k o e s k ɾ i t o
cogia	k o x ʝ a
cogobierno	k o g o b ʝ e ɾ n o
colab	k o l a b
