حتى	ħ a t aː
بصد	b a sˤ a d a
بعبده	b a ʕ b a d a h
بعدو	b a ʕ d uː
بعهده	b a ʕ h a d a h
بفنون	b a f n uː n
بقصور	b a q sˤ uː r
بقيق	b a q iː q
بلانكو	b a l aː n k uː
بلايا	b a l aː j aː
بلقبه	b a l q a b a h
بنجوم	b a n d͡ʒ uː m
بوقاحة	b uː q aː ħ a
بيكيني	b iː k iː n i j j
تأبه	t a ʔ a b b a h a
تاخير	t aː x iː r
تايلاندي	t aː j l aː n d i j j
تبقت	t a b a q q a t a
تتاكد	t a t aː k a d a
تتذكره	t a t a ð k a r a h a
تتهمه	t a t a h m a h a
تجارتها	t a d͡ʒ aː r t a h aː
تجاويف	t a d͡ʒ aː w iː f
تجتهد	t a d͡ʒ t a h a d a
تحده	t a ħ a d d a h a
تحضيري	t a ħ dˤ iː r i j j
تحلو	t a ħ a l l uː
تحملون	t a ħ a m l uː n
تذكرتين	t a ð k a r t iː n
تذكريني	t a ð k a r iː n i j j
ترج	t a r a d͡ʒ d͡ʒ a
تزينها	t a z iː n h aː
تسليه	t a s l iː h
تشتهيه	t a ʃ t a h iː h
تعرفينه	t a ʕ r a f iː n a h
تعزى	t a ʕ a z z aː
تعسفية	t a ʕ s a f i j j a
تعهدات	t a ʕ h a d aː t
تغذى	t a ɣ a ð ð aː
تغلى	t a ɣ a l l aː
تفسح	t a f a s s a ħ a
تفويضا	t a f w iː dˤ aː
تقسيمات	t a q s iː m aː t
تكاليفه	t a k aː l iː f a h
تكيس	t a k iː s
تنك	t a n a k k a
توف	t a w a f f a
تونسيين	t uː n s i j iː n
تيليجرام	t iː l iː d͡ʒ r aː m
ثلاثى	θ a l aː θ aː
جاذبا	d͡ʒ aː ð i b aː
جازي	d͡ʒ aː z i j j
جبيرة	d͡ʒ a b iː r a
جرادي	d͡ʒ a r aː d i j j
جلول	d͡ʒ a l uː l
حاقدة	ħ aː q i d a
حشري	ħ a ʃ a r i j j
حطيت	ħ a tˤ iː t
حقى	ħ a q aː
حلزون	ħ a l z uː n
حواسي	ħ a w aː s i j j
حولة	ħ a w l a
ختمه	x a t a m a h a
خسره	x a s r a h
دائر	d aː ʔ i r
داكس	d aː k i s
دراجو	d a r aː d͡ʒ uː
دربها	d a r b a h aː
دعتك	d a ʕ t a k a
دفنهم	d a f a n h a m
دمائه	d a m aː ʔ i h
دهاليز	d a h aː l iː z
رؤوساء	r u ʔ uː s aː ʔ
رائق	r aː ʔ i q
رادو	r aː d uː
رغدة	r a ɣ d a
رماني	r a m aː n i j j
رهاني	r a h aː n i j j
روكسي	r uː k s i j j
رونقا	r uː n a q aː
زواحف	z a w aː ħ i f
زيكو	z a j k uː
سأترك	s a ʔ t a r a k
سحيق	s a ħ iː q
سرار	s a r aː r
سيجال	s iː d͡ʒ aː l
سيدعم	s a j d a ʕ a m
سيستطيع	s iː s t a tˤ iː ʕ
شراعية	ʃ a r aː ʕ i j j a
شريكين	ʃ a r iː k iː n
شطارة	ʃ a tˤ tˤ aː r a
شفيعا	ʃ a f iː ʕ a n
شكرى	ʃ a k r aː
شمة	ʃ a m m a
ضجت	dˤ a d͡ʒ a t a
ضجه	dˤ a d͡ʒ a h a
ضلوعه	dˤ a l uː ʕ a h
ضمادة	dˤ a m aː d a
طبعتها	tˤ a b a ʕ t a h aː
طفيلية	tˤ a f iː l i j j a
ظهران	ðˤ a h r aː n
عبيدك	ʕ a b iː d a k
عدته	ʕ a d t a h a
عربسات	ʕ a r b a s aː t
عنيزه	ʕ a n iː z a h
غاستون	ɣ aː s t uː n
غالو	ɣ aː l uː
غبائك	ɣ a b aː ʔ i k
فأتيت	f a ʔ t iː t
فاشي	f aː ʃ i j j
فانني	f aː n a n i j j
فحقق	f a ħ q a q a
فدائية	f a d aː ʔ i j j a
فرحون	f a r ħ uː n
فرم	f a r a m
فطيره	f a tˤ iː r a h
فلاحا	f a l aː ħ aː
فيلسوفا	f iː l s uː f aː
قديسا	q a d iː s aː
قرائه	q a r aː ʔ i h
قرط	q a r a tˤ a
قناتنا	q a n aː t n aː
كارمايكل	k aː r m aː j k i l
كاميرتك	k aː m iː r t a k
كبيرات	k a b iː r aː t
كلميني	k a l a m iː n i j j
كيبورد	k iː b uː r d
لأولمبياد	l a ʔ uː l a m b i j aː d
لإخضاع	l i ʔ i x dˤ aː ʕ
لبحيرة	l a b ħ iː r a
لتصور	l a t sˤ uː r
لتضخيم	l a t a dˤ x iː m
لتعاطي	l i t ʕ aː tˤ i j j
لخيانة	l a x j aː n a
لراديو	l a r aː d i j uː
لرخصة	l a r x a sˤ a
لشي	l a ʃ i j j
لصفقة	l a sˤ f a q a
لصواريخ	l a sˤ w aː r iː x
لطالبان	l a tˤ aː l a b aː n
لطلبه	l a tˤ l a b a h
لطيفين	l a tˤ iː f iː n
لعنف	l a ʕ n a f
لقاضي	l a q aː dˤ i j j
للأورام	l a l ʔ uː r aː m
للتبريد	l a l t a b r iː d
للخلية	l a l x a l i j j a
للدوران	l a l d uː r aː n
للرحم	l a l r a ħ a m
للصلح	l a l sˤ a l a ħ
للقبر	l a l q a b a r
للكأس	l a l k a ʔ a s
للمبيت	l a l a m b iː t
للمرحوم	l a l m a r ħ uː m
للندن	l a l a n d a n
لماء	l a m aː ʔ
لني	l a n i j j
ليليث	l a j l iː θ
ماكون	m aː k uː n
متسببة	m u t a s a b b a
متعطش	m u t a ʕ a tˤ tˤ i ʃ
متناقضين	m u t a n aː q a dˤ iː n
مثليات	m a θ a l i j j aː t
محاولتنا	m u ħ aː w a l t a n aː
محياه	m a ħ j aː h
مرلين	m a r l iː n
مريام	m a r j aː m
مستهلكين	m u s t a h l a k iː n
مسرعين	m a s r a ʕ iː n
مصادمات	m u sˤ aː d a m aː t
معاجم	m a ʕ aː d͡ʒ i m
مفهومها	m a f h uː m h aː
مقبلين	m a q b a l iː n
مقترنة	m u q t a r n a
مقلع	m a q l a ʕ
مقهورة	m a q h uː r a
منحوتات	m a n ħ uː t aː t
منشطة	m a n ʃ a tˤ a
منصبة	m a n sˤ a b a
منفردين	m a n f a r d iː n
مهمش	m a h m a ʃ
مهندسو	m a h a n d a s uː
مواليا	m a w aː l i j aː
موهان	m a w h aː n
ميركاتو	m iː r k aː t uː
ميغابايت	m iː ɣ aː b aː j i t
مينهو	m iː n h uː
نافي	n aː f i j j
نجاحاته	n a d͡ʒ aː ħ aː t i h
نخبه	n a x b a h a
نرسلها	n a r s a l h aː
نفائس	n a f aː ʔ i s
نلتفت	n a l t a f t
نوي	n a w i j j
هزازي	h a z aː z i j j
هستيري	h a s t iː r i j j
همنغواي	h a m a n ɣ a w aː j
وأبراج	w a ʔ b a r aː d͡ʒ
وأحاط	w a ʔ ħ aː tˤ
وأزياء	w a ʔ z i j aː ʔ
وأساسي	w a ʔ s aː s i j j
وأسقطت	w a ʔ s a q a tˤ a t
وأمة	w a ʔ m a
وأنسى	w a ʔ a n s aː
وأيده	w a ʔ iː d a h
وإطفاء	w i ʔ i tˤ f aː ʔ
واتفاق	w aː t i f aː q
واختير	w aː x t iː r
وارويك	w aː r w iː k
والأرامل	w a l ʔ a r aː m i l
والأكاديمي	w a l ʔ a k aː d iː m i j j
والأكسجين	w aː l ʔ a k s a d͡ʒ iː n
والانتهاء	w aː l aː n t a h aː ʔ
والباقى	w aː l b aː q aː
والجواهر	w aː l d͡ʒ a w aː h i r
والحادي	w aː l ħ aː d i j j
والحضارية	w a l ħ a dˤ aː r i j j a
والشاشة	w aː l ʃ aː ʃ a
والعزف	w aː l ʕ a z a f
والواضح	w aː l a w aː dˤ i ħ
واوا	w aː w aː
وبحرية	w a b ħ a r i j j a
وبذور	w a b ð uː r
وبشرى	w a b ʃ a r aː
وبنتها	w a b a n t a h aː
وتترجم	w a t t a r d͡ʒ a m
وتخلي	w a t x a l i j j
وتضعه	w a t dˤ a ʕ a h a
وتعاليم	w a t ʕ aː l iː m
وتغيرات	w a t ɣ iː r aː t
وتقرب	w a t q a r a b
وتمديد	w a t a m d iː d
وتنضم	w a t a n dˤ a m a
وتوم	w a t uː m
وثمود	w a θ m uː d
وجيم	w a d͡ʒ iː m
وحرام	w a ħ r aː m
وخلقت	w a x l a q t
وخواطر	w a x w aː tˤ i r
ورسمها	w a r s a m h aː
ورضوان	w a r dˤ a w aː n
وركبت	w a r k a b t
وسائلها	w a s aː ʔ i l h aː
وشاء	w a ʃ aː ʔ
وشرحها	w a ʃ r a ħ h aː
وشقيق	w a ʃ q iː q
وصداع	w a sˤ d aː ʕ
وطأت	w a tˤ ʔ a t
وطلبا	w a tˤ l a b a n
وعبارة	w a ʕ b aː r a
وعديم	w a ʕ d iː m
وغبار	w a ɣ b aː r
وغيري	w a ɣ iː r i j j
وفخور	w a f x uː r
وقاضي	w a q aː dˤ i j j
وقبيح	w a q b iː ħ
ولافتات	w a l aː f t aː t
ولتكون	w a l t a k uː n
وليعلم	w a l iː ʕ a l a m
ومثلك	w a m θ a l a k
ومحبته	w a m ħ a b t a h
ومشارك	w a m ʃ aː r i k
ومليشيات	w a m l iː ʃ i j j aː t
ومنسق	w a m a n s a q
ومهنية	w a m h a n i j j a
ونرقص	w a n r a q a sˤ a
ونصت	w a n sˤ a t
ونصره	w a n sˤ a r a h
وننصح	w a n a n sˤ a ħ
ونهار	w a n h aː r
ونوبات	w a n uː b aː t
وهدية	w a h d i j j a
وهناء	w a h n aː ʔ
وويندوز	w a w iː n d uː z
ويشاركون	w iː ʃ aː r k uː n
يانكيز	j aː n k iː z
يبصرون	j a b sˤ a r uː n
يبعده	j a b ʕ a d a h
يبغون	j a b ɣ uː n
يتفهمون	j a t f a h m uː n
يتقاعد	j a t q aː ʕ i d
يتقنون	j a t a q n uː n
يتهيأ	j a t h iː ʔ
يجلد	j a d͡ʒ l a d
يحصي	j a ħ sˤ i j j
يخدعون	j a x d a ʕ uː n
يخدمه	j a x d a m a h
يدنو	j a d n uː
يرغبوا	j a r ɣ a b u w aː
يرفضها	j a r f a dˤ h aː
يزج	j a z a d͡ʒ a
يستولون	j a s t uː l uː n
يعبثون	j a ʕ b a θ uː n
يعصي	j a ʕ sˤ i j j
يفرحون	j a f r a ħ uː n
يقبلني	j a q b a l a n i j j
يقللون	j a q l a l uː n
يكثف	j a k θ a f
يمضى	j a m dˤ aː
يناضلون	j a n aː dˤ a l uː n
ينتظرن	j a n t a ðˤ r a n
ينفون	j a n f uː n
ينقى	j a n q aː
يوبي	j uː b i j j
يونية	j uː n i j j a
admin	a d m i n
don	d o n
drama	d r a m a
edited	e d i t e d
everyone	e v e r j o n e
hassan	h a s s a n
near	n e a r
nokia	n o k i a
opera	o p e r a
pre	p r e
remember	r e m e m b e r
rise	r i s e
send	s e n d
ultimate	u l t i m a t e
winter	w i n t e r
أبرر	ʔ a b r a r a
أبوتريكة	ʔ a b uː t r iː k a
أثارته	ʔ a θ aː r t a h
أثروا	ʔ a θ r a w aː
أجبرها	ʔ a d͡ʒ b a r h aː
أخفاه	ʔ a x f aː h
أرفعه	ʔ a r f a ʕ a h a
أسطولا	ʔ a s tˤ uː l aː
أصوم	ʔ a sˤ uː m
أطروحته	ʔ a tˤ r uː ħ t a h
أطلقا	ʔ a tˤ l a q aː
أظهرها	ʔ a ðˤ h a r h aː
أعان	ʔ a ʕ aː n a
أعراضا	ʔ a ʕ r aː dˤ aː
أعطال	ʔ a ʕ tˤ aː l
أفتش	ʔ a f t a ʃ a
أقاصي	ʔ a q aː sˤ i j j
أقروا	ʔ a q r a w aː
أملى	ʔ a m l aː
أنثي	ʔ a n θ i j j
أنريكي	ʔ a n r iː k i j j
أنطوانيت	ʔ a n tˤ a w aː n iː t
أوستين	ʔ uː s t iː n
أوصافه	ʔ a w sˤ aː f a h
أوصال	ʔ a w sˤ aː l
أوفا	ʔ a w f aː
أوليه	ʔ a w l iː h
أيدا	ʔ a j d aː
إتجه	ʔ i t d͡ʒ a h a
إجرائي	ʔ i d͡ʒ r aː ʔ i j j
إشعاعية	ʔ i ʃ ʕ aː ʕ i j j a
إعلامهم	ʔ i ʕ l aː m a h a m
إلتفت	ʔ i l t a f t
إنتباهي	ʔ i n t i b aː h i j j
إنتظاري	ʔ i n t i ðˤ aː r i j j
إنتو	ʔ i n t uː
إيراداتها	ʔ iː r aː d aː t e h aː
ابتعاده	i b t i ʕ aː d a h
اتحدت	i t t a ħ d a t a
اتصالاتنا	i t t i sˤ aː l aː t n aː
اثرية	i θ r i j j a
احرقت	i ħ r a q t a
استاذا	i s t aː ð aː
استيطانية	i s t iː tˤ aː n i j j a
اسناني	i s n aː n i j j
اضاع	i dˤ dˤ aː ʕ a
اظل	i ðˤ a l l a
اظنه	i ðˤ n a h a
اعزاز	i ʕ z aː z a
اعلاني	i ʕ l aː n i j j
اعلمه	i ʕ l a m a h a
اكان	i k aː n a
الأحباش	a l ʔ a ħ b aː ʃ
الأحراش	a l ʔ a ħ r aː ʃ
الأخاديد	a l ʔ a x aː d iː d
الأزلية	a l ʔ a z a l i j j a
الأشهاد	a l ʔ a ʃ h aː d
الأغر	a l ʔ a ɣ a r a
الأغراب	a l ʔ a ɣ r aː b
الأفواج	a l ʔ a f w aː d͡ʒ
الأوتاد	a l ʔ uː t aː d
الإربعاء	a l ʔ i r b i ʕ aː ʔ
الإغتصاب	a l ʔ i ɣ t i sˤ aː b
الإمامين	a l ʔ i m aː m iː n
الاباحيه	a l aː b aː ħ iː h
الابقار	a l aː b i q aː r
الاستذكار	a l i s t i ð k aː r
الاسوأ	a l aː s uː ʔ
الاكياس	a l aː k i j aː s
الالية	a l aː l i j j a
الانيق	a l aː n iː q
الايوبي	a l aː j uː b i j j
البارئ	a l b aː r i ʔ
البامبو	a l b aː m b uː
البدور	a l b a d uː r
البطانيات	a l b i tˤ aː n i j j aː t
البعثية	a l b a ʕ θ i j j a
البعيدين	a l b a ʕ iː d iː n
البلوري	a l b a l uː r i j j
البوليفارية	a l b uː l iː f aː r i j j a
البوليمر	a l b uː l iː m a r
التثليث	a t t a θ l iː θ
التهريج	a t t a h r iː d͡ʒ
الجريحة	a l d͡ʒ a r iː ħ a
الجفر	a l d͡ʒ a f a r a
الجهازين	a l d͡ʒ a h aː z iː n
الجيداي	a l d͡ʒ iː d aː j
الحاسد	a l ħ aː s i d
الخامة	a l x aː m a
الخرشوف	a l x a r ʃ uː f
الداعشية	a d d aː ʕ i ʃ i j j a
الدبة	a d d a b a
الدرويش	a d d a r w iː ʃ
الذب	a ð ð a b a
الربوع	a r r a b uː ʕ
الروقي	a r r uː q i j j
الزائرة	a z z aː ʔ i r a
الزمام	a z z a m aː m
الزنكي	a z z a n k i j j
السحيقة	a s s a ħ iː q a
الشابان	a ʃ ʃ aː b aː n
الشنط	a ʃ ʃ a n tˤ
الشيوعى	a ʃ ʃ i j uː ʕ aː
الضعاف	a dˤ dˤ i ʕ aː f
الطلبية	a tˤ tˤ a l a b i j j a
الطيرة	a tˤ tˤ iː r a
العقيلة	a l ʕ a q iː l a
الغل	a l ɣ a l l a
الفاجرة	a l f aː d͡ʒ i r a
الفضالة	a l f i dˤ aː l a
الفكاهية	a l f i k aː h i j j a
القصيده	a l q a sˤ iː d a h
القمص	a l q a m a sˤ a
القناديل	a l q a n aː d iː l
الكساء	a l k i s aː ʔ
الكسلان	a l k i s l aː n
الكونفيدرالية	a l k uː n f iː d r aː l i j j a
الماكرو	a l m aː k r uː
المتماثلة	a l m u t a m aː θ i l a
المحمي	a l m a ħ m i j j
المحويت	a l m a ħ w iː t
المخفوق	a l m a x f uː q
المرطب	a l m a r tˤ a b a
المرقط	a l m a r q a tˤ a
المرموق	a l m a r m uː q
المريع	a l m a r iː ʕ
المستخلص	a l m u s t a x l a sˤ
المسلوبة	a l m a s l uː b a
المسموم	a l m a s m uː m
المشتكى	a l m u ʃ t a k aː
المطرود	a l m a tˤ r uː d
المناصير	a l m a n aː sˤ iː r
المنحط	a l m a n ħ a tˤ a
النعل	a n n a ʕ a l a
الهامور	a l h aː m uː r
الوزان	a l w a z aː n
الوصافة	a l w a sˤ aː f a
الوطيس	a l w a tˤ iː s
الوغى	a l w a ɣ aː
الينبوع	a l j a n b uː ʕ
انتحارا	i n t i ħ aː r aː
انخراط	i n x i r aː tˤ
انطوت	i n tˤ a w t a
انعدمت	i n ʕ a d a m a t a
اهتماماتها	i h t i m aː m aː t e h aː
اهدى	i h d aː
اوصلك	i w sˤ a l a k a
بأبيه	b a ʔ b iː h
بابنته	b aː b i n t a h
باحكام	b aː ħ k aː m
بالإحراج	b i l ʔ i ħ r aː d͡ʒ
بالتوحيد	b i t t uː ħ iː d
بالسائل	b i s s aː ʔ i l
بالعوامل	b i l ʕ a w aː m i l
بالمحاكم	b i l m i ħ aː k i m
بالمغامرة	b i l m i ɣ aː m i r a
بالناحية	b i n n aː ħ i j j a
بايدو	b aː j d uː
ببطاقات	b i b tˤ aː q aː t
بتدليك	b i t a d l iː k
بتغذية	b i t ɣ a ð i j j a
بحاجتك	b a ħ aː d͡ʒ t i k
بحمده	b a ħ m a d a h
بخاتم	b a x aː t i m
بدال	b a d aː l
بذيء	b a ð iː ʔ
بزة	b a z z a
بزيارتنا	b a z j aː r t a n aː
بصب	b a sˤ a b a
بطبق	b a tˤ b a q
بطوليا	b a tˤ uː l i j j aː
بعزيمة	b a ʕ z iː m a
بغرف	b a ɣ r a f
بغى	b a ɣ aː
بقعه	b a q ʕ a h a
بمحنة	b a m a ħ n a
بنغلاديشي	b a n ɣ a l aː d iː ʃ i j j
بهاتين	b a h aː t iː n
بهموم	b a h m uː m
بورصات	b uː r sˤ aː t
بوسيدون	b uː s iː d uː n
بويا	b uː j aː
بويع	b a w iː ʕ
بياع	b i j aː ʕ
بية	b i j j a
تأليفها	t a ʔ l iː f h aː
تأمله	t a ʔ a m l a h a
تأمينا	t a ʔ m iː n aː
تاكوما	t aː k uː m aː
تجمل	t a d͡ʒ a m m a l a
تجيبين	t a d͡ʒ iː b iː n
تحاك	t a ħ aː k a
تحامل	t a ħ aː m a l a
تحذيره	t a ħ ð iː r a h
تحوى	t a ħ a w w aː
ترجعي	t a r d͡ʒ a ʕ i j j
ترميمات	t a r m iː m aː t
تسألوني	t a s ʔ a l uː n i j j
تسارعت	t a s aː r a ʕ a t a
تستحم	t a s t a ħ a m a
تستطيعي	t a s t a tˤ iː ʕ i j j
تسلكه	t a s a l k a h a
تسن	t a s a n n a
تسونادي	t a s uː n aː d i j j
تشاؤون	t a ʃ aː ʔ uː n
تشريعا	t a ʃ r iː ʕ a n
تصويرك	t a sˤ w iː r k
تضاء	t a dˤ aː ʔ a
تطارده	t a tˤ aː r d a h a
تعاونها	t a ʕ aː w a n h aː
تعر	t a ʕ a r r a
تعلقي	t a ʕ l a q i j j
تعنيني	t a ʕ n iː n i j j
تفاديها	t a f aː d iː h aː
تفارقه	t a f aː r a q a h a
تقطيعها	t a q tˤ iː ʕ a h aː
تقييمي	t a q j iː m i j j
تكفينا	t a k f iː n aː
تلقائى	t a l q aː ʔ aː
تهنئه	t a h a n ʔ i h
توافقا	t a w aː f a q aː
توالى	t a w aː l aː
توزيعة	t a w z iː ʕ a
تيبازة	t iː b aː z a
تيتش	t a j t a ʃ a
ثا	θ aː
جارديان	d͡ʒ aː r d i j aː n
جالينوس	d͡ʒ aː l iː n uː s
جذبا	d͡ʒ a ð b aː
جروحي	d͡ʒ a r uː ħ i j j
جزئيات	d͡ʒ a z ʔ i j j aː t
جزائية	d͡ʒ a z aː ʔ i j j a
جسدنا	d͡ʒ a s d a n aː
جلدا	d͡ʒ a l d aː
جنوة	d͡ʒ a n w a
جنيد	d͡ʒ a n iː d
جوة	d͡ʒ a w w a
حاجاتك	ħ aː d͡ʒ aː t i k
حاسي	ħ aː s i j j
حددي	ħ a d d i j j
حذائي	ħ a ð aː ʔ i j j
حركاتي	ħ a r a k aː t i j j
حسينة	ħ a s iː n a
حشره	ħ a ʃ r a h
حصرها	ħ a sˤ r a h aː
حماقي	ħ a m aː q i j j
حنونا	ħ a n uː n aː
خانني	x aː n a n i j j
خاوي	x aː w i j j
خرقها	x a r q a h aː
خزائنه	x a z aː ʔ i n h
خلاقة	x a l aː q a
دادا	d aː d aː
دافينشي	d aː f iː n ʃ i j j
دايف	d aː j a f a
درجاتي	d a r d͡ʒ aː t i j j
ديناميت	d iː n aː m iː t
راجعوا	r aː d͡ʒ i ʕ w aː
رتيبة	r a t iː b a
رخو	r a x w
رس	r a s s
رشي	r a ʃ i j j
رقاقات	r a q aː q aː t
رودا	r a w d aː
روغ	r a w ɣ
زبده	z a b d a h a
زميلاتي	z a m iː l aː t i j j
زيغ	z a j ɣ
سالومي	s aː l uː m i j j
سايق	s aː j a q a
سبارتا	s a b aː r t aː
سببين	s a b b iː n
سكنى	s a k n aː
سلايد	s a l aː j i d
سليت	s a l iː t
سنعرف	s a n ʕ a r a f
سنعيش	s a n ʕ iː ʃ
سنفور	s a n f uː r
سومطرة	s uː m a tˤ r a
سيدور	s a j d uː r
سيرت	s a j r a t
سيغفريد	s iː ɣ f a r iː d
شاحنه	ʃ aː ħ i n h
شاركي	ʃ aː r i k i j j
شاطئي	ʃ aː tˤ i ʔ i j j
شافع	ʃ aː f i ʕ
شبكتي	ʃ a b a k t i j j
شنغن	ʃ a n ɣ a n a
شواطىء	ʃ a w aː tˤ aː ʔ
شوش	ʃ a w ʃ
صفوي	sˤ a f a w i j j
ضدهما	dˤ a d h a m aː
ضلعا	dˤ a l ʕ a n
طانطان	tˤ aː n tˤ aː n
طبقنا	tˤ a b a q n aː
طلبيات	tˤ a l a b i j j aː t
طهرت	tˤ a h r a t
ظهرة	ðˤ a h r a
عائلى	ʕ aː ʔ i l aː
عباب	ʕ a b b aː b
عددية	ʕ a d d i j j a
عطلته	ʕ a tˤ a l t a h
عكفت	ʕ a k a f t
غاريسون	ɣ aː r iː s uː n
غامبول	ɣ aː m b uː l
غجرية	ɣ a d͡ʒ a r i j j a
غزاوي	ɣ a z aː w i j j
غنائيا	ɣ a n aː ʔ i j aː
فأجبته	f a ʔ d͡ʒ a b t a h
فأكثروا	f a ʔ k a θ r u w aː
فابريغاس	f aː b r iː ɣ aː s
فالأرض	f aː l ʔ a r a dˤ
فاينال	f aː j n aː l
فذة	f a ð ð a
فردان	f a r d aː n
فرست	f a r a s t
فسيحة	f a s iː ħ a
فضت	f a dˤ a t a
فطرت	f a tˤ r a t
فظن	f a ðˤ a n a
فكرها	f a k r a h aː
فهاد	f a h aː d
فوضي	f a w dˤ i j j
فوقية	f a w q i j j a
قاموسي	q aː m uː s i j j
قناعتي	q a n aː ʕ i t i j j
كابوتو	k aː b uː t uː
كارتير	k aː r t iː r
كايدو	k aː j d uː
كايس	k aː j i s
كراسوس	k a r aː s uː s
كريسي	k a r iː s i j j
كلعبة	k a l ʕ a b a
كلفنا	k a l a f n aː
كماشة	k a m aː ʃ a
كمترجم	k u m t a r d͡ʒ u m
كوستر	k uː s t a r
كوفاتش	k uː f aː t i ʃ
كيريل	k iː r iː l
لآلية	l a ʔ aː l i j j a
لأسواق	l a ʔ s a w aː q
لأفعال	l a ʔ a f ʕ aː l
لأنثى	l a ʔ a n θ aː
لاستيراد	l aː s t iː r aː d
لتل	l a t a l a
لجرح	l a d͡ʒ r a ħ
لجمهوره	l a d͡ʒ m a h uː r a h
لحامل	l a ħ aː m i l
لرسوم	l a r s uː m
لرياض	l a r j aː dˤ
لسماحة	l i s m aː ħ a
لغيري	l a ɣ iː r i j j
لفلم	l a f l a m
لكتلة	l a k t a l a
للأخت	l a l ʔ a x t
للأعوام	l a l ʔ a ʕ w aː m
للائحة	l a l aː ʔ i ħ a
للاعمال	l a l aː ʕ a m aː l
للترخيص	l a l t a r x iː sˤ
للدجاج	l a l d a d͡ʒ aː d͡ʒ
للدرس	l a l d a r a s
للسجون	l a l s a d͡ʒ uː n
للنفوذ	l a l a n f uː ð
للواتس	l a l a w aː t i s
لنتقدم	l a n t a q d a m
لورقة	l a w r a q a
