km	k a ɛ m
famicom	f a m i k ɔ m
fanfaronne	f ɑ̃ f a ʁ ɔ n
farhadi	f a ʁ a d i
feq	f ɛ k
fermin	f ɛ ʁ m ɛ̃
ferrette	f ɛ ʁ ɛ t
ferrique	f ɛ ʁ i k
fidéle	f i d e l
fissiles	f i s i l
flagstaff	f l a ɡ s t a f
flibustier	f l i b y s t j e
flicaille	f l i k a j
floret	f l ɔ ʁ ɛ
foccart	f ɔ k a ʁ
formage	f ɔ ʁ m a ʒ
fourché	f u ʁ ʃ e
foxes	f ɔ k s
frater	f ʁ a t e
fraunhofer	f ʁ o n ɔ f e
frégé	f ʁ e ʒ e
fsf	ɛ f ɛ s ɛ f
fujita	f y ʒ i t a
fulda	f y l d a
fustigeait	f y s t i ʒ ɛ
gah	ɡ a
gallopin	ɡ a l ɔ p ɛ̃
gamboa	ɡ ɑ̃ b o a
gaon	ɡ a ɔ̃
garmisch	ɡ a ʁ m i ʃ
gasp	ɡ a s p
gass	ɡ a s
gawker	ɡ a w k e
gendarmeries	ʒ ɑ̃ d a ʁ m ʁ i
gergovie	ʒ ɛ ʁ ɡ ɔ v i
germées	ʒ ɛ ʁ m e
giflée	ʒ i f l e
gili	ʒ i l i
gimli	ʒ i m l i
girardon	ʒ i ʁ a ʁ d ɔ̃
globulaires	ɡ l ɔ b y l ɛ ʁ
gnon	ɲ ɔ̃
gnôle	ɲ o l
goltz	ɡ ɔ l t s
googler	ɡ u ɡ l e
gouvernes	ɡ u v ɛ ʁ n
goyon	ɡ w a j ɔ̃
graaf	ɡ ʁ a a f
gramm	ɡ ʁ a m
granollers	ɡ ʁ a n ɔ l e
granularité	ɡ ʁ a n y l a ʁ i t e
gratifiés	ɡ ʁ a t i f j e
grexit	ɡ ʁ ɛ k s i
griggs	ɡ ʁ i ɡ
grizzli	ɡ ʁ i z l i
grund	ɡ ʁ œ̃
guirado	ɡ i ʁ a d o
guénon	ɡ e n ɔ̃
gélose	ʒ e l o z
géologiquement	ʒ e ɔ l ɔ ʒ i k m ɑ̃
gênerai	ʒ ɛ n ə ʁ e
hage	a ʒ
haifa	ɛ f a
hammersmith	a m ɛ ʁ s m i t
hampes	ɑ̃ p
hanyu	a n j y
haussmanniens	o s m a n j ɛ̃
hautefeuille	o t f œ j
heille	ɛ j
helvète	ɛ l v ɛ t
hersent	ɛ ʁ s
hillard	i l a ʁ
hiromi	i ʁ ɔ m i
hirscher	i ʁ ʃ e
histologiques	i s t ɔ l ɔ ʒ i k
homeless	ɔ m l ɛ s
honegger	ɔ n ɛ ɡ e
horcruxe	ɔ ʁ k ʁ y k s
hornu	ɔ ʁ n y
huitards	ɥ i t a ʁ
humani	y m a n i
humanis	y m a n i
hutchins	y t ʃ ɛ̃
huynh	ɥ i n
hyaluronique	j a l y ʁ ɔ n i k
idoines	i d w a n
idé	i d e
ifr	i f ʁ
imerys	i m ʁ i
importons	ɛ̃ p ɔ ʁ t ɔ̃
impressionante	ɛ̃ p ʁ e s j ɔ n ɑ̃ t
impressionnera	ɛ̃ p ʁ e s j ɔ n ə ʁ a
imprim	ɛ̃ p ʁ ɛ̃
inao	i n a o
incongrues	ɛ̃ k ɔ̃ ɡ ʁ y
inconsidérées	ɛ̃ k ɔ̃ s i d e ʁ e
incontestés	ɛ̃ k ɔ̃ t ɛ s t e
individuals	ɛ̃ d i v i d ɥ a l
indonesie	ɛ̃ d ɔ n z i
informationnel	ɛ̃ f ɔ ʁ m a s j ɔ n ɛ l
inputs	ɛ̃ p y
inr	ɛ̃ ʁ
inscriront	ɛ̃ s k ʁ i ʁ ɔ̃
interconnectées	ɛ̃ t ɛ ʁ k ɔ n ɛ k t e
intergalactiques	ɛ̃ t ɛ ʁ ɡ a l a k t i k
internationaliser	ɛ̃ t ɛ ʁ n a s j ɔ n a l i z e
interprovincial	ɛ̃ t ɛ ʁ p ʁ ɔ v ɛ̃ s j a l
interromps	ɛ̃ t e ʁ ɔ̃
intitulant	ɛ̃ t i t y l ɑ̃
introvertis	ɛ̃ t ʁ ɔ v ɛ ʁ t i
intégrateurs	ɛ̃ t e ɡ ʁ a t œ ʁ
intégrative	ɛ̃ t e ɡ ʁ a t i v
invader	ɛ̃ v a d e
invalidés	ɛ̃ v a l i d e
invoquons	ɛ̃ v ɔ k ɔ̃
invulnérabilité	ɛ̃ v y l n e ʁ a b i l i t e
iquique	i k i k
itil	i t i l
jankovic	ʒ ɑ̃ k ɔ v i k
jano	ʒ a n o
jemima	ʒ ə m i m a
jest	ʒ ɛ s t
jesé	ʒ ə z e
jimbo	ʒ ɛ̃ b o
johannis	ʒ ɔ a n i
jonchées	ʒ ɔ̃ ʃ e
josip	ʒ o z i p
kaci	k a s i
kadri	k a d ʁ i
kalach	k a l a ʃ
kalla	k a l a
kansai	k ɑ̃ s e
kemi	k e m i
kerdrel	k ɛ ʁ d ʁ ɛ l
khéops	k e ɔ p
kitts	k i t
knorr	k n ɔ ʁ
kolbe	k ɔ l b
komarov	k ɔ m a ʁ ɔ v
korsakov	k ɔ ʁ s a k ɔ v
kosovare	k o z ɔ v a ʁ
labeyrie	l a b ɛ ʁ i
laborit	l a b ɔ ʁ i
lach	l a ʃ
lachent	l a ʃ
landre	l ɑ̃ d ʁ
latest	l a t ɛ s t
lavandières	l a v ɑ̃ d j ɛ ʁ
lebègue	l ə b ɛ ɡ
lek	l ɛ k
lemnos	l ɛ m n o
levon	l ə v ɔ̃
lexy	l ɛ k s i
livestream	l i v ɛ s t ʁ i m
logisticien	l ɔ ʒ i s t i s j ɛ̃
lpa	ɛ l p a
lucidement	l y s i d m ɑ̃
luxor	l y k s ɔ ʁ
lytton	l i t ɔ̃
légier	l e ʒ j e
léodagan	l e ɔ d a ɡ ɑ̃
létang	l e t ɑ̃
maboule	m a b u l
magnétoscopes	m a ɲ e t ɔ s k ɔ p
magots	m a ɡ o
magus	m a ɡ y
mair	m ɛ ʁ
malley	m a l ɛ
maltée	m a l t e
manila	m a n i l a
maranello	m a ʁ a n ɛ l o
marga	m a ʁ ɡ a
marionnaud	m a ʁ j ɔ n o
maz	m a z
maîtrisaient	m ɛ t ʁ i z ɛ
mechanics	m ɛ ʃ a n i k
melba	m ɛ l b a
mercière	m ɛ ʁ s j ɛ ʁ
merino	m e ʁ i n o
meyrin	m ɛ ʁ ɛ̃
mfp	ɛ m ɛ f p e
microsillon	m i k ʁ o z i j ɔ̃
modillons	m ɔ d i j ɔ̃
mommsen	m ɔ m s ɛ n
monna	m ɔ n a
monsta	m ɔ̃ s t a
mordecai	m ɔ ʁ d ə k e
morini	m ɔ ʁ i n i
mormont	m ɔ ʁ m ɔ̃
morra	m ɔ ʁ a
motarde	m ɔ t a ʁ d
mouchet	m u ʃ ɛ
moudenc	m u d ɑ̃
moustérien	m u s t e ʁ j ɛ̃
mpp	ɛ m p e p e
muselée	m y z ə l e
mécaniste	m e k a n i s t
médiéviste	m e d j e v i s t
métalleux	m e t a l ø
naceri	n a s ʁ i
napperons	n a p ə ʁ ɔ̃
natan	n a t ɑ̃
naturalia	n a t y ʁ a l j a
nels	n ɛ l
nicklaus	n i k l o
nizan	n i z ɑ̃
nobile	n ɔ b i l
noster	n ɔ s t e
néhémie	n e e m i
octroyait	ɔ k t ʁ w a j ɛ
odr	ɔ d ʁ
oléagineuses	ɔ l e a ʒ i n ø z
ongulés	ɔ̃ ɡ y l e
operators	ɔ p ə ʁ a t ɔ ʁ
oranie	ɔ ʁ a n i
orientables	ɔ ʁ j ɑ̃ t a b l
orpheus	ɔ ʁ f ø
ouidah	w i d a
outlet	u t l ɛ
ova	ɔ v a
oxydase	ɔ k s i d a z
ozzie	ɔ z i
paas	p a a
pache	p a ʃ
pacquiao	p a k j a o
pactisé	p a k t i z e
padova	p a d ɔ v a
paga	p a ɡ a
pals	p a l
panaméricaine	p a n a m e ʁ i k ɛ n
pandit	p ɑ̃ d i
pant	p ɑ̃
papillote	p a p i j ɔ t
parentis	p a ʁ ɑ̃ t i
passed	p a s ɛ d
pelet	p ə l ɛ
pelissier	p ə l i s j e
perceuses	p ɛ ʁ s ø z
perelman	p ɛ ʁ ɛ l m ɑ̃
performatif	p ɛ ʁ f ɔ ʁ m a t i f
periodes	p ɛ ʁ j ɔ d
perlman	p ɛ ʁ l m ɑ̃
perrineau	p ɛ ʁ i n o
petes	p ɛ t
photocopieur	f ɔ t ɔ k ɔ p j œ ʁ
pid	p i d
pili	p i l i
pinheiro	p i n ɛ ʁ o
pitcairn	p i t k ɛ ʁ n
piégeant	p j e ʒ ɑ̃
plantera	p l ɑ̃ t ə ʁ a
plongerait	p l ɔ̃ ʒ ə ʁ ɛ
pms	p e ɛ m ɛ s
pneumocoque	p n ø m ɔ k ɔ k
poinsot	p w ɛ̃ s o
poké	p ɔ k e
polisse	p ɔ l i s
pomerleau	p ɔ m ɛ ʁ l o
popularise	p ɔ p y l a ʁ i z
poquelin	p ɔ k l ɛ̃
portobello	p ɔ ʁ t ɔ b ɛ l o
posi	p o z i
potaches	p ɔ t a ʃ
potocki	p ɔ t ɔ k i
printer	p ʁ ɛ̃ t e
prolégomènes	p ʁ ɔ l e ɡ ɔ m ɛ n
pronostiques	p ʁ ɔ n ɔ s t i k
prostrée	p ʁ ɔ s t ʁ e
proéminents	p ʁ ɔ e m i n ɑ̃
prète	p ʁ ɛ t
prébende	p ʁ e b ɑ̃ d
précontrainte	p ʁ e k ɔ̃ t ʁ ɛ̃ t
prépondérants	p ʁ e p ɔ̃ d e ʁ ɑ̃
préquelle	p ʁ e k ɛ l
prétexté	p ʁ e t ɛ k s t e
prônaient	p ʁ o n ɛ
pta	p t a
puisera	p ɥ i z ə ʁ a
purifient	p y ʁ i f i
purvis	p y ʁ v i
puto	p y t o
péronnas	p e ʁ ɔ n a
quantifiés	k ɑ̃ t i f j e
querrey	k ɛ ʁ ɛ
quinqua	k ɛ̃ k a
quinquennats	k ɛ̃ k ɛ n a
québécor	k e b e k ɔ ʁ
raad	ʁ a a d
raif	ʁ ɛ f
rappliquer	ʁ a p l i k e
rasheed	ʁ a ʃ i d
rational	ʁ a s j ɔ n a l
rauch	ʁ o ʃ
rawlins	ʁ a w l ɛ̃
rebutent	ʁ ə b y t
redhead	ʁ ə d ɛ d
redistributif	ʁ ə d i s t ʁ i b y t i f
remémoré	ʁ ə m e m ɔ ʁ e
repetita	ʁ ə p ə t i t a
repositionné	ʁ ə p ɔ z i s j ɔ n e
responsa	ʁ ɛ s p ɔ̃ s a
ressemblants	ʁ ə s ɑ̃ b l ɑ̃
ressuscitant	ʁ ə s y s i t ɑ̃
revault	ʁ ə v o
revisitent	ʁ ə v i z i t
revivifier	ʁ ə v i v i f j e
reynié	ʁ ɛ n j e
ribs	ʁ i b
rivero	ʁ i v ə ʁ o
rixensart	ʁ i k s ɑ̃ s a ʁ
romanoff	ʁ ɔ m a n ɔ f
romi	ʁ ɔ m i
rompez	ʁ ɔ̃ p e
rorqual	ʁ ɔ ʁ k a l
royans	ʁ w a j ɑ̃
ruanda	ʁ ɥ ɑ̃ d a
rufo	ʁ y f o
réactionnel	ʁ e a k s j ɔ n ɛ l
réessayez	ʁ e e s ɛ j e
répondiez	ʁ e p ɔ̃ d j e
sackville	s a k v i l
saglio	s a ɡ l j o
sahraouie	s a ʁ a w i
saillans	s a j ɑ̃
sails	s a j
sakata	s a k a t a
sakhaline	s a k a l i n
sakurai	s a k y ʁ e
salignac	s a l i ɲ a k
saliou	s a l j u
salières	s a l j ɛ ʁ
salmonelle	s a l m ɔ n ɛ l
samo	s a m o
sampling	s ɑ̃ p l i ŋ
sanctifie	s ɑ̃ k t i f i
sants	s ɑ̃
sapienza	s a p j ɛ̃ z a
satisferont	s a t i s f ə ʁ ɔ̃
saturnisme	s a t y ʁ n i s m
satya	s a t j a
saver	s a v e
sawa	s a w a
schloss	ʃ l ɔ s
schäfer	ʃ ɛ f e
senscritique	s ɑ̃ s k ʁ i t i k
sensibilisant	s ɑ̃ s i b i l i z ɑ̃
senso	s ɑ̃ s o
sepulveda	s ə p y l v ə d a
sev	s ɛ v
severn	s ə v ɛ ʁ n
sexuées	s ɛ k s ɥ e
shasta	ʃ a s t a
shearer	ʃ i ʁ e
sibylles	s i b i j
sicario	s i k a ʁ j o
siesta	s j ɛ s t a
sifflés	s i f l e
sigillée	s i ʒ i j e
skittles	s k i t l
sliman	s l i m ɑ̃
smell	s m ɛ l
snd	ɛ s ɛ n d e
socialism	s ɔ s j a l i s m
sodomise	s ɔ d ɔ m i z
soissonnais	s w a s ɔ n ɛ
sophistique	s ɔ f i s t i k
souillent	s u j
sourcilleux	s u ʁ s i j ø
spéculum	s p e k y l ɔ m
stb	ɛ s t e b e
stilton	s t i l t ɔ̃
struve	s t ʁ y v
styrène	s t i ʁ ɛ n
stérilisées	s t e ʁ i l i z e
subito	s y b i t o
submersibles	s y b m ɛ ʁ s i b l
subtropicales	s y p t ʁ ɔ p i k a l
succinique	s y k s i n i k
suppo	s y p o
surgira	s y ʁ ʒ i ʁ a
surpayés	s y ʁ p ɛ j e
sva	s v a
swagger	s w a ɡ e
synthétisées	s ɛ̃ t e t i z e
sécrétées	s e k ʁ e t e
sérendipité	s e ʁ ɑ̃ d i p i t e
séré	s e ʁ e
tamiser	t a m i z e
taxidermie	t a k s i d ɛ ʁ m i
techcrunch	t ɛ k k ʁ œ̃ ʃ
temporellement	t ɑ̃ p ɔ ʁ ɛ l m ɑ̃
terrent	t ɛ ʁ
thelle	t ɛ l
thion	t j ɔ̃
tini	t i n i
tois	t w a
toluca	t ɔ l y k a
topsy	t ɔ p s i
traian	t ʁ ɛ j ɑ̃
trampolines	t ʁ ɑ̃ p ɔ l i n
travestit	t ʁ a v ɛ s t i
treilles	t ʁ ɛ j
trix	t ʁ i k s
tvb	t e v e b e
typographes	t i p ɔ ɡ ʁ a f
typologique	t i p ɔ l ɔ ʒ i k
tyrrhénienne	t i ʁ e n j ɛ n
téléscope	t e l e s k ɔ p
tô	t o
uchida	y ʃ i d a
unl	œ̃ l
uranie	y ʁ a n i
uru	y ʁ y
usually	y z ɥ a l i
vall	v a l
vapor	v a p ɔ ʁ
vast	v a s t
vdi	v d i
veinards	v ɛ n a ʁ
verglaçante	v ɛ ʁ ɡ l a s ɑ̃ t
veyne	v ɛ n
vfl	v e ɛ f ɛ l
viera	v j ɛ ʁ a
villehardouin	v i l a ʁ d w ɛ̃
villemain	v i l m ɛ̃
vinifié	v i n i f j e
vlaminck	v l a m ɛ̃ k
vult	v y l t
vénal	v e n a l
vénérienne	v e n e ʁ j ɛ n
walnut	w a l n y
walras	w a l ʁ a
weldon	w ɛ l d ɔ̃
wendigo	w ɛ n d i ɡ o
wissant	w i s ɑ̃
worse	w ɔ ʁ s
yala	j a l a
zabel	z a b ɛ l
zoné	z o n e
zélandaises	z e l ɑ̃ d ɛ z
éclampsie	e k l ɑ̃ p s i
éclipsent	e k l i p s
écoeurement	e k œ ʁ m ɑ̃
écrier	e k ʁ i j e
édifia	e d i f j a
égrener	e ɡ ʁ ə n e
élancera	e l ɑ̃ s ə ʁ a
énervées	e n ɛ ʁ v e
étagée	e t a ʒ e
évoquerait	e v ɔ k ə ʁ ɛ
abattaient	a b a t ɛ
accomplissons	a k ɔ̃ p l i s ɔ̃
ack	a k
adorées	a d ɔ ʁ e
adventiste	a d v ɑ̃ t i s t
afficheurs	a f i ʃ œ ʁ
affleurant	a f l œ ʁ ɑ̃
airtel	ɛ ʁ t ɛ l
alamos	a l a m o
allaités	a l ɛ t e
alpa	a l p a
alv	a l v
amalfitano	a m a l f i t a n o
amerigo	a m e ʁ i ɡ o
analgésie	a n a l ʒ e z i
andalouses	ɑ̃ d a l u z
angouleme	ɑ̃ ɡ u l m
angéline	ɑ̃ ʒ e l i n
anthropomorphe	ɑ̃ t ʁ ɔ p ɔ m ɔ ʁ f
anticoncurrentielles	ɑ̃ t i k ɔ̃ k y ʁ ɑ̃ s j ɛ l
anv	ɑ̃ v
aphone	a f ɔ n
appontage	a p ɔ̃ t a ʒ
arakan	a ʁ a k ɑ̃
ardéchoise	a ʁ d e ʃ w a z
argonauts	a ʁ ɡ ɔ n o
arguent	a ʁ ɡ
aristotélicien	a ʁ i s t ɔ t e l i s j ɛ̃
arréte	a ʁ e t
arteta	a ʁ t ə t a
arénas	a ʁ e n a
aspremont	a s p ʁ ə m ɔ̃
assermentée	a s ɛ ʁ m ɑ̃ t e
atangana	a t ɑ̃ ɡ a n a
atlantica	a t l ɑ̃ t i k a
atrophié	a t ʁ ɔ f j e
aubonne	o b ɔ n
auction	o k s j ɔ̃
audencia	o d ɑ̃ s j a
auditionnée	o d i s j ɔ n e
augmentèrent	o ɡ m ɑ̃ t ɛ ʁ
authentifiée	o t ɑ̃ t i f j e
autodiscipline	o t ɔ d i s i p l i n
autodrome	o t ɔ d ʁ ɔ m
autogérée	o t ɔ ʒ e ʁ e
avèrera	a v ɛ ʁ ə ʁ a
awacs	a w a k
aïeuls	a j œ l
babos	b a b o
backyard	b a k j a ʁ
baha	b a a
bahari	b a a ʁ i
bakel	b a k ɛ l
balrog	b a l ʁ ɔ ɡ
banzai	b ɑ̃ z e
baragouine	b a ʁ a ɡ w i n
barbados	b a ʁ b a d o
bardeau	b a ʁ d o
barty	b a ʁ t i
baseline	b a z l i n
basmati	b a s m a t i
batifoler	b a t i f ɔ l e
bcd	b e s e d e
bdl	b e d e ɛ l
beastie	b i s t i
beatle	b i t l
belém	b ə l e m
benard	b ə n a ʁ
bettman	b ɛ t m ɑ̃
bidoche	b i d ɔ ʃ
bimbos	b ɛ̃ b o
blaguais	b l a ɡ ɛ
blanchissant	b l ɑ̃ ʃ i s ɑ̃
blanchissement	b l ɑ̃ ʃ i s m ɑ̃
blanchon	b l ɑ̃ ʃ ɔ̃
blasphémateur	b l a s f e m a t œ ʁ
blondy	b l ɔ̃ d i
bolzano	b ɔ l z a n o
bonimenteur	b ɔ n i m ɑ̃ t œ ʁ
bonnardel	b ɔ n a ʁ d ɛ l
bormann	b ɔ ʁ m a n
bota	b ɔ t a
bote	b ɔ t
botrytis	b ɔ t ʁ i t i
bouchra	b u ʃ ʁ a
bouilles	b u j
boulange	b u l ɑ̃ ʒ
brabham	b ʁ a b a m
bridger	b ʁ i d ʒ e
brookfield	b ʁ u k f i l d
broom	b ʁ u m
brot	b ʁ o
broutent	b ʁ u t
brubaker	b ʁ y b a k e
brucellose	b ʁ y s ɛ l o z
bublé	b y b l e
bâille	b a j
bâtirent	b a t i ʁ
béatifié	b e a t i f j e
bégaudeau	b e ɡ o d o
cabrioles	k a b ʁ i j ɔ l
cacahouètes	k a k a w ɛ t
cachetons	k a ʃ t ɔ̃
caillasser	k a j a s e
calmet	k a l m ɛ
calor	k a l ɔ ʁ
cameo	k a m e o
cani	k a n i
canmore	k ɑ̃ m ɔ ʁ
capeb	k a p ɛ b
captivée	k a p t i v e
carcopino	k a ʁ k ɔ p i n o
carra	k a ʁ a
carriéristes	k a ʁ j e ʁ i s t
castafiore	k a s t a f j ɔ ʁ
castoriadis	k a s t ɔ ʁ j a d i
catalyst	k a t a l i s t
catholicité	k a t ɔ l i s i t e
catilina	k a t i l i n a
cattolica	k a t ɔ l i k a
centquatre	s ɑ̃ k a t ʁ
centralisatrice	s ɑ̃ t ʁ a l i z a t ʁ i s
centrum	s ɑ̃ t ʁ ɔ m
cgct	s e ʒ e s e t e
chattanooga	ʃ a t a n u ɡ a
checkpoints	ʃ ɛ k p w ɛ̃
chika	ʃ i k a
chomeur	ʃ ɔ m œ ʁ
choura	ʃ u ʁ a
christianophobie	k ʁ i s t j a n ɔ f ɔ b i
circular	s i ʁ k y l a ʁ
cisailles	s i z a j
clairsemées	k l ɛ ʁ s ə m e
clastres	k l a s t ʁ
clubic	k l y b i k
cochabamba	k ɔ ʃ a b ɑ̃ b a
cockney	k ɔ k n ɛ
collégiaux	k ɔ l e ʒ j o
comparera	k ɔ̃ p a ʁ ə ʁ a
compléte	k ɔ̃ p l e t
comune	k ɔ m y n
confi	k ɔ̃ f i
confidential	k ɔ̃ f i d ɑ̃ s j a l
consequent	k ɔ̃ s ə k
consultons	k ɔ̃ s y l t ɔ̃
contributif	k ɔ̃ t ʁ i b y t i f
copieurs	k ɔ p j œ ʁ
copule	k ɔ p y l
cotonnière	k ɔ t ɔ n j ɛ ʁ
coughlin	k u ɡ l ɛ̃
coume	k u m
cred	k ʁ ɛ d
cristiana	k ʁ i s t j a n a
cronin	k ʁ ɔ n ɛ̃
cryptos	k ʁ i p t o
crépitent	k ʁ e p i t
créquy	k ʁ e k i
crétinisme	k ʁ e t i n i s m
cumulonimbus	k y m y l ɔ n ɛ̃ b y
cupra	k y p ʁ a
cyclomoteurs	s i k l ɔ m ɔ t œ ʁ
cytologie	s i t ɔ l ɔ ʒ i
cèpe	s ɛ p
célie	s e l i
dandys	d ɑ̃ d i
datagueule	d a t a ɡ œ l
delais	d ə l ɛ
delebarre	d ə l b a ʁ
delmar	d ɛ l m a ʁ
demarrer	d ə m a ʁ e
dems	d ɛ m
denonce	d ə n ɔ̃ s
dermo	d ɛ ʁ m o
descombes	d ɛ s k ɔ̃ b
dessay	d e s ɛ
destinant	d ɛ s t i n ɑ̃
dewaere	d ə w ɛ ʁ
différées	d i f e ʁ e
diplomés	d i p l ɔ m e
directionnels	d i ʁ ɛ k s j ɔ n ɛ l
distancié	d i s t ɑ̃ s j e
divisons	d i v i z ɔ̃
dobrev	d ɔ b ʁ ɛ v
documentent	d ɔ k y m ɑ̃ t
doma	d ɔ m a
dosées	d o z e
dpp	d e p e p e
draveurs	d ʁ a v œ ʁ
ductile	d y k t i l
dulong	d y l ɔ̃
duns	d œ̃
dupeyron	d y p ɛ ʁ ɔ̃
dural	d y ʁ a l
déboite	d e b w a t
décelés	d e s ə l e
décryptée	d e k ʁ i p t e
défence	d e f ɑ̃ s
départementalisation	d e p a ʁ t ə m ɑ̃ t a l i z a s j ɔ̃
dépopulation	d e p ɔ p y l a s j ɔ̃
dépoussiérage	d e p u s j e ʁ a ʒ
déprogrammé	d e p ʁ ɔ ɡ ʁ a m e
déresponsabilisation	d e ʁ ɛ s p ɔ̃ s a b i l i z a s j ɔ̃
déstructuration	d e s t ʁ y k t y ʁ a s j ɔ̃
déséquilibrées	d e z e k i l i b ʁ e
déterministes	d e t ɛ ʁ m i n i s t
effrité	e f ʁ i t e
elsass	ɛ l s a s
elst	ɛ l s t
embase	ɑ̃ b a z
embauchera	ɑ̃ b o ʃ ə ʁ a
embauchées	ɑ̃ b o ʃ e
embedded	ɑ̃ b ɛ d ɛ d
empoisonnant	ɑ̃ p w a z ɔ n ɑ̃
enbridge	ɑ̃ b ʁ i d ʒ
encyclopédistes	ɑ̃ s i k l ɔ p e d i s t
endettent	ɑ̃ d ɛ t
enfilée	ɑ̃ f i l e
engler	ɑ̃ ɡ l e
enrhumer	ɑ̃ ʁ y m e
ensablement	ɑ̃ s a b l ə m ɑ̃
ensorceler	ɑ̃ s ɔ ʁ s ə l e
entonnoirs	ɑ̃ t ɔ n w a ʁ
entraîneraient	ɑ̃ t ʁ ɛ n ə ʁ ɛ
entrelacent	ɑ̃ t ʁ ə l a s
entérinant	ɑ̃ t e ʁ i n ɑ̃
envoleront	ɑ̃ v ɔ l ə ʁ ɔ̃
ero	e ʁ o
eruption	e ʁ y p s j ɔ̃
escrimeurs	ɛ s k ʁ i m œ ʁ
etonnamment	e t ɔ n a m ɑ̃
eucaryotes	ø k a ʁ j ɔ t
evolve	ə v ɔ l v
exploserait	ɛ k s p l o z ə ʁ ɛ
exérèse	ɛ ɡ z e ʁ ɛ z
faenza	f ɑ̃ z a
fag	f a ɡ
fakoly	f a k ɔ l i
fangio	f ɑ̃ ʒ j o
farel	f a ʁ ɛ l
faucilles	f o s i j
fbf	ɛ f b e ɛ f
feeder	f i d e
fellowes	f ɛ l ɔ w
ferdinando	f ɛ ʁ d i n ɑ̃ d o
ferreri	f ɛ ʁ ʁ i
figent	f i ʒ
filtrez	f i l t ʁ e
financerait	f i n ɑ̃ s ə ʁ ɛ
fisch	f i ʃ
fiske	f i s k
flare	f l a ʁ
fomente	f ɔ m ɑ̃ t
foundations	f u n d a s j ɔ̃
foutisme	f u t i s m
fpga	ɛ f p e ɡ a
fractionnaire	f ʁ a k s j ɔ n ɛ ʁ
franchissements	f ʁ ɑ̃ ʃ i s m ɑ̃
frenchman	f ʁ ɑ̃ ʃ m ɑ̃
fucker	f y k e
galvani	ɡ a l v a n i
galvez	ɡ a l v e
gardel	ɡ a ʁ d ɛ l
garennes	ɡ a ʁ ɛ n
gaspésienne	ɡ a s p e z j ɛ n
gemalto	ʒ ə m a l t o
gessner	ʒ ɛ s n e
geyer	ʒ ɛ j e
giacinto	ʒ j a s ɛ̃ t o
gladbach	ɡ l a d b a ʃ
glutathion	ɡ l y t a t j ɔ̃
gnosticisme	ɲ ɔ s t i s i s m
goddess	ɡ ɔ d ɛ s
gom	ɡ ɔ m
goody	ɡ u d i
goure	ɡ u ʁ
gouvernorats	ɡ u v ɛ ʁ n ɔ ʁ a
gozo	ɡ o z o
gruner	ɡ ʁ y n e
guerche	ɡ ɛ ʁ ʃ
gueulante	ɡ œ l ɑ̃ t
guinot	ɡ i n o
gée	ʒ e
habbo	a b o
halloran	a l ɔ ʁ ɑ̃
hamer	a m e
hammad	a m a d
hammett	a m ɛ t
harlequins	a ʁ l ə k ɛ̃
harms	a ʁ m
harz	a ʁ z
helléniques	ɛ l e n i k
henne	ɛ n
herning	ɛ ʁ n i ŋ
hervey	ɛ ʁ v ɛ
hesiter	e z i t e
historiae	i s t ɔ ʁ j e
historiographiques	i s t ɔ ʁ j ɔ ɡ ʁ a f i k
horlogères	ɔ ʁ l ɔ ʒ ɛ ʁ
huc	y k
humidificateur	y m i d i f i k a t œ ʁ
huée	ɥ e
hygin	i ʒ ɛ̃
hyperthyroïdie	i p ɛ ʁ t i ʁ ɔ i d i
hélicoïdale	e l i k ɔ i d a l
hélix	e l i k s
iger	i ʒ e
implacablement	ɛ̃ p l a k a b l ə m ɑ̃
importa	ɛ̃ p ɔ ʁ t a
imprescriptibles	ɛ̃ p ʁ ɛ s k ʁ i p t i b l
inachèvement	i n a ʃ ɛ v m ɑ̃
incantatoire	ɛ̃ k ɑ̃ t a t w a ʁ
ince	ɛ̃ s
indium	ɛ̃ d j ɔ m
infestations	ɛ̃ f ɛ s t a s j ɔ̃
ingalls	ɛ̃ ɡ a l
inha	i n a
injustifiables	ɛ̃ ʒ y s t i f j a b l
intercalés	ɛ̃ t ɛ ʁ k a l e
interdépartemental	ɛ̃ t ɛ ʁ d e p a ʁ t ə m ɑ̃ t a l
interrogateurs	ɛ̃ t ɛ ʁ ɔ ɡ a t œ ʁ
intimant	ɛ̃ t i m ɑ̃
intoxiquée	ɛ̃ t ɔ k s i k e
introducteur	ɛ̃ t ʁ ɔ d y k t œ ʁ
invalidante	ɛ̃ v a l i d ɑ̃ t
invariante	ɛ̃ v a ʁ j ɑ̃ t
involution	ɛ̃ v ɔ l y s j ɔ̃
inébranlables	i n e b ʁ ɑ̃ l a b l
irisé	i ʁ i z e
irrémédiables	i ʁ e m e d j a b l
isamu	i z a m y
ivano	i v a n o
ivor	i v ɔ ʁ
iza	i z a
ià	j a
jahrhundert	ʒ a ʁ œ̃ d ɛ ʁ
jakubowicz	ʒ a k y b ɔ v i t ʃ
jamar	ʒ a m a ʁ
jeanjean	ʒ ɑ̃ ʒ ɑ̃
jelle	ʒ ɛ l
joanny	ʒ ɔ a n i
junta	ʒ œ̃ t a
kaga	k a ɡ a
kage	k a ʒ
kame	k a m
kamina	k a m i n a
karimov	k a ʁ i m ɔ v
karts	k a ʁ
kashi	k a ʃ i
kayakiste	k a j a k i s t
