اس	ə s
missing	m ɪ s ɪ ŋ
need	n eː d̪
them	t̪ ɛ m
title	t̪ ɪ t̪ l ə
آریائی	ɑː ɾ j ɑː iː
اختيار	ɪ x t̪ ɪ j ɑː ɾ
اق	ə q
الجن	ə l d͡ʒ ə n
الجھاؤ	ə l d͡ʒʱ ɑː oː
الخ	ə l x
انجینیرنگ	ə n d͡ʒ iː n iː ɾ ə ŋ ɡ
اود	uː d̪
اپريل	ə p ɾ iː l
ایچی	iː t͡ʃ iː
بارےمیں	b ɑː ɾ eː m ẽː
باڑے	b ɑː ɽ eː
بدرالدین	b ə d̪ ɾ ɑː l d̪ iː n
برادرز	b ə ɾ ɑː d̪ ə ɾ z
بردہ	b ə ɾ d̪ ɑ
بٹھاتے	b ə ʈʰ ɑː t̪ eː
بٹیر	b ə ʈ iː ɾ
بھار	bʱ ɑː ɾ
بھاولپور	bʱ ɑː ʋ ə l p uː ɾ
بھلایا	bʱ ə l ɑː j ɑː
بھونڈی	bʱ uː n ɖ iː
تاہے	t̪ ɑː ɦ eː
تبرا	t̪ ə b ɾ ɑː
تحریمہ	t̪ ə ɦ ɾ iː m ɑ
تفقہ	t̪ ə f q ɑ
تکان	t̪ ə k ɑː n
تہیں	t̪ ə ɦ ẽː
جتوانے	d͡ʒ ə t̪ ʋ ɑː n eː
جمائے	d͡ʒ ə m ɑː eː
جنونیت	d͡ʒ ə n uː n ɪ j ə t̪
حمدیہ	ɦ ə m d̪ ɪ j ɑ
داہنی	d̪ ɑː ɦ n iː
دجالی	d̪ ə d͡ʒ ɑː l iː
درکنار	d̪ ə ɾ k ə n ɑː ɾ
دھنی	d̪ʱ ə n iː
دیااور	d̪ ə j ɑː ʋ ə ɾ
دیوسائی	d̪ eː ʋ s ɑː iː
رائلٹی	ɾ ɑː ɪ l ʈ iː
رحمانیہ	ɾ ə ɦ m ɑː n ɪ j ɑ
ردا	ɾ ə d̪ d̪ ɑː
ریخت	ɾ eː x t̪
ریڈیائی	ɾ eː ɖ ɪ j ɑː iː
زرینہ	z ə ɾ iː n ɑ
سالٹ	s ɑː l ɪ ʈ
سنجی	s ə n d͡ʒ iː
سندھیا	s ə n d̪ʱ ɪ j ɑː
سونگھنے	s uː ŋ ɡʱ n eː
سوہنا	s oː ɦ n ɑː
شیش	ʃ eː ʃ
صمدانی	s ə m d̪ ɑː n iː
صناعی	s ə n ɑː iː
طائی	t̪ ɑː iː
طالع	t̪ ɑː l eː
ظلہ	z ə l l ɑ
عطاری	ɪ t̪ ɑː ɾ iː
عموم	ə m uː m
فیصدی	f ɛː s d̪ iː
فیلڈر	f ɛː l ɖ ə ɾ
لادینیت	l ɑː d̪ iː n ɪ j ə t̪
لشکری	l ə ʃ k ə ɾ iː
لگوانا	l ə ɡ ʋ ɑː n ɑː
مائدہ	m ɑː ɪ d̪ ɑ
مزی	m ə z iː
معصومانہ	m ə s uː m ɑː n ɑ
منیش	m ə n iː ʃ
مکاؤ	m ə k ɑː oː
میٹرکس	m eː ʈ ə ɾ k ə s
نحوی	n ə ɦ ʋ iː
نسبی	n ə s b iː
نطر	n ə t̪ ə ɾ
ولدیت	ʋ ə l d̪ ɪ j ə t̪
وکیع	ʋ ə k iː
ٹائٹن	ʈ ɑː ɪ ʈ ə n
ٹرانسفارمر	ʈ ɾ ɑː n s f ɑː ɾ m ə ɾ
ٹمن	ʈ ə m ə n
ٹکراتے	ʈ ə k ɾ ɑː t̪ eː
پرداز	p ə ɾ d̪ ɑː z
پرنب	p ə ɾ ə m b
پریشاں	p ə ɾ eː ʃ ɑ̃ː
پھولا	pʰ uː l ɑː
پیپسی	p ɛː p s iː
چلانی	t͡ʃ ə l ɑː n iː
چڑھاتے	t͡ʃ ə ɽʱ ɑː t̪ eː
چھپتی	t͡ʃʰ ə p t̪ iː
ڈراتا	ɖ ə ɾ ɑː t̪ ɑː
ڈھلتے	ɖʱ ə l t̪ eː
ڈھیلی	ɖʱ eː l iː
کرےگی	k ə ɾ eː ɡ iː
کنارا	k ə n ɑː ɾ ɑː
کنڈکٹر	k ə n ɖ ə k ʈ ə ɾ
کوئل	k oː ɪ l
کولیسٹرول	k oː l iː s ʈ ɾ oː l
کیمونسٹ	k ɛː m uː n s ə ʈ
گائی	ɡ ɑː iː
گرانڈ	ɡ ə ɾ ɑː n ɖ
گردانی	ɡ ə ɾ d̪ ɑː n iː
گھسی	ɡʱ ə s iː
گیانا	ɡ ə j ɑː n ɑː
ہرکوئی	ɦ ə ɾ k oː iː
ہمدم	ɦ ə m d̪ ə m
ہوی	ɦ ə ʋ iː
ہٹاتے	ɦ ə ʈ ɑː t̪ eː
یارکشائر	j ɑː ɾ k ɪ ʃ ɑː ɪ ɾ
یوآئی	j uː ɑː iː
ba	b ɑː
del	d ɛ l
find	f ɪ n d̪
press	p ɾ ɛ s
آبزرور	ɑː b z ə ɾ ʋ ə ɾ
ارمانوں	ə ɾ m ɑː n õː
اسفار	ɪ s f ɑː ɾ
اسٹالن	ɪ s ʈ ɑː l ə n
اسکارف	ɪ s k ɑː ɾ ɪ f
الرحيم	ə l ɾ ə ɦ iː m
الفیصل	ə l f iː s ə l
الہلال	ɪ l ɦ ɪ l ɑː l
بجائیں	b ə d͡ʒ ɑː ẽː
بدعتی	b ə d̪ ə t̪ iː
برنارڈ	b ə ɾ n ɑː ɾ ɖ
بچگانہ	b ə t͡ʃ ɡ ɑː n ɑ
بھولتا	bʱ uː l t̪ ɑː
بھونڈے	bʱ uː n ɖ eː
بہک	b ə ɦ ə k
بیاس	b ə j j ɑː s
بیضوی	b eː z ʋ iː
بےنظیر	b eː n z iː ɾ
ترچھی	t̪ ə ɾ t͡ʃʰ iː
تیراہ	t̪ ɛː ɾ ɑː ɦ
جنسیت	d͡ʒ ə n s ɪ j ə t̪
جونیر	d͡ʒ uː n iː ɾ
حبہ	ɦ ə b b ɑ
حرفوں	ɦ ə ɾ f õː
حرفی	ɦ ə ɾ f iː
حیان	ɦ ə j ɑː n
خلقی	x ə l q iː
خلیفۃ	x ə l iː f ə t̪
داسو	d̪ ɑː s oː
دواسازی	d̪ ə ʋ ɑː s ɑː z iː
ديں	d̪ ẽː
دھنیں	d̪ʱ ə n ẽː
دھڑکا	d̪ʱ ə ɽ k ɑː
دیوہیکل	d̪ eː ʋ ɦ eː k ə l
رضاعی	ɾ ə z ɑː iː
رعنائی	ɾ ə n ɑː iː
رنگنے	ɾ ə ŋ ɡ n eː
رکوا	ɾ ə k ʋ ɑː
رہئے	ɾ ə ɦ eː
ریجنٹ	ɾ eː d͡ʒ ə n ʈ
زلمے	z ə l m eː
زوجین	z oː d͡ʒ iː n
سامراجیت	s ɑː m ɾ ɑː d͡ʒ ɪ j ə t̪
سماجوادی	s ə m ɑː d͡ʒ ʋ ɑː d̪ iː
سناؤں	s ə n ɑː õː
سٹروک	s ə ʈ ɾ oː k
سکن	s ə k ə n
سکندرآباد	s ə k ə n d̪ ə ɾ ɑː b ɑː d̪
سگار	s ə ɡ ɑː ɾ
سیری	s iː ɾ iː
سیستان	s iː s t̪ ɑː n
شديد	ʃ ə d̪ iː d̪
شرماتے	ʃ ə ɾ m ɑː t̪ eː
شھر	ʃʰ ə ɾ
صامت	s ɑː m ə t̪
طشت	t̪ ə ʃ t̪
طلا	t̪ ə l ɑː
عترت	ə t̪ ɾ ə t̪
عروس	ə ɾ uː s
علو	ə l oː
عیدیں	ɛː d̪ ẽː
فردوسی	f ə ɾ d̪ uː s iː
فقیری	f ə q iː ɾ iː
فلورنس	f ə l uː ɾ ə n s
فوٹون	f oː ʈ uː n
قرنی	q ə ɾ n iː
لاڈلا	l ɑː ɖ l ɑː
لزبن	l ə z b ə n
لس	l ə s
لڑنی	l ə ɽ n iː
ماریو	m ɑː ɾ ɪ j oː
ماننی	m ɑː n n iː
متعال	m ʊ t̪ ə ɑː l
مجمل	m ə d͡ʒ m ə l
مرچی	m ə ɾ t͡ʃ iː
مستزاد	m ʊ s t̪ ɪ z ɑː d̪
مچائے	m ə t͡ʃ ɑː eː
مہناز	m ə ɦ n ɑː z
مہین	m ə ɦ iː n
میوے	m ɛː ʋ eː
ناس	n ɑː s
ناولز	n ɑː ʋ ə l z
نرسیں	n ə ɾ s ẽː
نظرآتے	n ə z ɾ ɑː t̪ eː
نفسہ	n ə f s ɑ
واہیات	ʋ ɑː ɦ ɪ j ɑː t̪
وعید	ʋ ə iː d̪
وینکٹ	ʋ ɛː ŋ k ə ʈ
ٹریسا	ʈ ə ɾ iː s ɑː
ٹوکا	ʈ oː k ɑː
ٹھا	ʈʰ ɑː
پارسائی	p ɑː ɾ s ɑː iː
پالن	p ɑː l ə n
پرپہنچ	p ə ɾ p ə ɦ ə n t͡ʃ
پرہیزگاری	p ə ɾ ɦ eː z ɡ ɑː ɾ iː
پمپنگ	p ə m p ə ŋ ɡ
پٹخ	p ə ʈ x
پٹنم	p ə ʈ n ə m
پھاڑنے	pʰ ɑː ɽ n eː
پھلکے	pʰ ə l k eː
پہلوانوں	p ə ɦ l ʋ ɑː n õː
پہلووں	p ə ɦ l õː
پہناتے	p ə ɦ n ɑː t̪ eː
پیتی	p ɛː t̪ iː
پیپ	p ɛː p
چارمینار	t͡ʃ ɑː ɾ m iː n ɑː ɾ
چبانے	t͡ʃ ə b ɑː n eː
چرنے	t͡ʃ ə ɾ n eː
چوراہا	t͡ʃ uː ɾ ɑː ɦ ɑː
چٹانی	t͡ʃ ə ʈ ɑː n iː
چپڑاسی	t͡ʃ ə p ɽ ɑː s iː
چھڑایا	t͡ʃʰ ə ɽ ɑː j ɑː
چھیاسی	t͡ʃʰ ɪ j ɑː s iː
ڈسچارج	ɖ ə s t͡ʃ ɑː ɾ ə d͡ʒ
ڈھب	ɖʱ ə b
کابینی	k ɑː b iː n iː
کارو	k ɑː ɾ oː
کاہنہ	k ɑː ɦ n ɑ
کرایے	k ə ɾ ɑː j eː
کردا	k ə ɾ d̪ ɑː
کومے	k oː m eː
کوچی	k oː t͡ʃ iː
کوہن	k oː ɦ ə n
کھارہے	kʰ ɑː ɾ ɦ eː
کیڈر	k eː ɖ ə ɾ
گنہ	ɡ ə n ɑ
گورمانی	ɡ oː ɾ m ɑː n iː
گووند	ɡ oː ʋ ə n d̪
ہدایتکاری	ɦ ə d̪ ɑː j ə t̪ k ɑː ɾ iː
ہفتم	ɦ ə f t̪ ə m
ہوؤں	ɦ uː õː
girl	ɡ ɪ ɾ l
him	h ɪ m
ne	n eː
par	p ɑː ɾ
peer	p eː ɾ
ta	t̪ ɑː
آرکائیو	ɑː ɾ k ɑː ɪ j oː
أكبر	ʔ ə k b ə ɾ
اجڑے	ə d͡ʒ ɽ eː
احتراز	ɪ ɦ t̪ ɪ ɾ ɑː z
استغراق	ɪ s t̪ ɪ ɣ ɾ ɑː q
اطلاعاتی	ɪ t̪ l ɑː ɑː t̪ iː
الرضوان	ə l ɾ ɪ z ʋ ɑː n
امروہوی	ə m ɾ oː ɦ ə ʋ iː
امونیم	ə m uː n iː m
انتہائ	ɪ n t̪ ɪ ɦ ɑː iː
اٹامک	ə ʈ ɑː m ə k
اٹھاؤں	ə ʈʰ ɑː õː
اکسیر	ə k s iː ɾ
اگائی	ə ɡ ɑː iː
ایشا	iː ʃ ɑː
ایشائی	iː ʃ ɑː iː
باجے	b ɑː d͡ʒ eː
بانٹے	b ɑ̃ː ʈ eː
بتاو	b ə t̪ ɑː ʋ
بجنور	b ə d͡ʒ n uː ɾ
بزبان	b ə z b ɑː n
بلاسٹ	b ə l ɑː s ɪ ʈ
بلز	b ə l z
بکل	b ə k ə l
بھرائی	bʱ ə ɾ ɑː iː
بیکا	b eː k ɑː
تاتاریوں	t̪ ɑː t̪ ɑː ɾ ɪ j õː
ترتیبی	t̪ ə ɾ t̪ iː b iː
تزک	t̪ ə z ə k
تسلیاں	t̪ ə s l ɪ j ɑ̃ː
تشہد	t̪ ə ʃ ɦ ə d̪
تعارض	t̪ ɑː ɾ ɪ z
تمازت	t̪ ə m ɑː z ə t̪
تپتے	t̪ ə p t̪ eː
جودھ	d͡ʒ uː d̪ʱ
جھونپڑیوں	d͡ʒʱ õː p ɽ ɪ j õː
خبیب	x ə b iː b
دارین	d̪ ɑː ɾ iː n
دھلے	d̪ʱ ə l eː
دھنوں	d̪ʱ ə n õː
راڈ	ɾ ɑː ɖ
رتہ	ɾ ə t̪ t̪ ɑ
رحجانات	ɾ ə ɦ d͡ʒ ɑː n ɑː t̪
رستوں	ɾ ə s t̪ õː
روسے	ɾ oː s eː
روپیوں	ɾ oː p ɪ j õː
ریکور	ɾ eː k uː ɾ
زا	z ɑː
زوہیب	z oː ɦ eː b
سدھ	s ə d̪ʱ
سدھر	s ə d̪ʱ ə ɾ
سفاکی	s ə f ɑː k iː
سکڑنے	s ə k ə ɽ n eː
شالہ	ʃ ɑː l ɑ
شباہت	ʃ ə b ɑː ɦ ə t̪
شخصوں	ʃ ə x s õː
شیخین	ʃ iː x iː n
صحائف	s ə ɦ ɑː ɪ f
عبدالناصر	ɪ b d̪ ɑː l n ɑː s ə ɾ
عر	ə ɾ
عوارض	ə ʋ ɑː ɾ ɪ z
فرضیت	f ə ɾ z ɪ j ə t̪
قرآنیہ	q ə ɾ ɑː n ɪ j ɑ
كي	k iː
لاشعور	l ɑː ʃ uː ɾ
لاہوریوں	l ɑː ɦ uː ɾ ɪ j õː
لٹانے	l ə ʈ ɑː n eː
مثیل	m ə s iː l
مدہم	m ə d̪ ɦ ə m
مشتہر	m ʊ ʃ t̪ ə ɦ ə ɾ
معاشقہ	m ʊ ɑː ʃ ɪ q ɑ
معاہدات	m ʊ ɑː ɦ ɪ d̪ ɑː t̪
موٹرویز	m oː ʈ ɾ ə ʋ eː z
نائٹریٹ	n ɑː ɪ ʈ ɾ eː ʈ
نشیمن	n ə ʃ iː m ə n
هر	h ə ɾ
ورائٹی	ʋ ə ɾ ɑː ɪ ʈ iː
وسعتوں	ʋ ə s ə t̪ õː
وطنیت	ʋ ə t̪ n ɪ j ə t̪
ویوین	ʋ ɛː ʋ ɛː n
ٹیررازم	ʈ ɛː ɾ ɾ ɑː z ə m
ٹیسلا	ʈ ɛː s l ɑː
ٹیمپل	ʈ ɛː m p ə l
ٹیڈ	ʈ eː ɖ
پاکباز	p ɑː k b ɑː z
پبلیکن	p ə b l eː k ə n
پتھری	p ə t̪ʰ ɾ iː
پربھو	p ə ɾ bʱ oː
پرحملے	p ə ɾ ɦ ə m l eː
پردھان	p ə ɾ d̪ʱ ɑː n
پرموجود	p ə ɾ m oː d͡ʒ uː d̪
پروائی	p ə ɾ ʋ ɑː iː
پوجتے	p oː d͡ʒ t̪ eː
پکسلز	p ə k s ə l z
چسپ	t͡ʃ ə s p
ڈویلپر	ɖ oː j ə l p ə ɾ
ڈگلس	ɖ ə ɡ l ə s
کتنوں	k ə t̪ ə n õː
کریا	k ə ɾ j ɑː
کلاسیں	k ə l ɑː s ẽː
کمیون	k ə m j uː n
کنا	k ə n ɑː
کنزالایمان	k ə n z ɑː l ɑː j m ɑː n
کنڑا	k ə n ɽ ɑː
کوآرڈینیشن	k oː ɑː ɾ ɖ ɛː n eː ʃ ə n
کپواڑہ	k ə p ʋ ɑː ɽ ɑ
کڈ	k ə ɖ
کہئے	k ə ɦ eː
کیشو	k eː ʃ oː
گھمایا	ɡʱ ə m ɑː j ɑː
گھوٹالہ	ɡʱ oː ʈ ɑː l ɑ
ہمام	ɦ ə m ɑː m
یرقان	j ə ɾ q ɑː n
co	k oː
mit	m ɪ t̪
آفسر	ɑː f s ə ɾ
اشراف	ɪ ʃ ɾ ɑː f
اشون	ə ʃ uː n
المومن	ə l m uː m ə n
الکل	ə l k ə l
الیکشنز	ə l iː k ʃ ə n z
اومیگا	uː m eː ɡ ɑː
اپڈیٹس	ə p ɖ eː ʈ ə s
اگلوں	ə ɡ l õː
بادہ	b ɑː d̪ ɑ
بانا	b ɑː n ɑː
بجھی	b ə d͡ʒʱ iː
بحسن	b ə ɦ s ə n
بدفعلی	b ə d̪ f ə l iː
بدھا	b ə d̪ʱ ɑː
بستا	b ə s t̪ ɑː
بسرا	b ə s ɾ ɑː
بنارسی	b ə n ɑː ɾ s iː
بناپر	b ə n ɑː p ə ɾ
بنياد	b ə n j ɑː d̪
بوسن	b uː s ə n
بھالے	bʱ ɑː l eː
بہاوالدین	b ə ɦ ɑː ʋ ɑː l d̪ iː n
بیدل	b eː d̪ ə l
تراشنے	t̪ ə ɾ ɑː ʃ n eː
تشہیری	t̪ ə ʃ ɦ iː ɾ iː
تعبیرات	t̪ ə b iː ɾ ɑː t̪
تغلق	t̪ ə ɣ l ə q
تفاصیل	t̪ ə f ɑː s iː l
تمر	t̪ ə m ə ɾ
جاتےہیں	d͡ʒ ɑː t̪ eː ɦ ẽː
جاوٴ	d͡ʒ ɑː ʋ ɪ ʃ
جمائمہ	d͡ʒ ə m ɑː ɪ m ɑ
جمرود	d͡ʒ ə m ɾ uː d̪
جنتر	d͡ʒ ə n t̪ ə ɾ
جوانمردی	d͡ʒ ə ʋ ɑː n m ə ɾ d̪ iː
جہتیں	d͡ʒ ə ɦ ə t̪ ẽː
حجامت	ɦ ə d͡ʒ ɑː m ə t̪
حلوے	ɦ ə l ʋ eː
حکما	ɦ ə k m ɑː
درخشندہ	d̪ ə ɾ ə x ʃ ə n d̪ ɑ
دنبہ	d̪ ə m b ɑ
دوان	d̪ ə ʋ ɑː n
دیشم	d̪ eː ʃ ə m
دیگیں	d̪ eː ɡ ẽː
رطب	ɾ ə t̪ b
رملہ	ɾ ə m l ɑ
روٹیوں	ɾ oː ʈ ɪ j õː
رکو	ɾ ə k oː
ریپبلیکن	ɾ ɛː p b ə l iː k ə n
ریکارڈر	ɾ eː k ɑː ɾ ɖ ə ɾ
ریکس	ɾ eː k ə s
ریکی	ɾ eː k iː
ریگولیٹر	ɾ eː ɡ oː l eː ʈ ə ɾ
زپ	z ə p
سبو	s ə b uː
سرجانی	s ə ɾ d͡ʒ ɑː n iː
سندیپ	s ə n d̪ iː p
سوئیاں	s uː ɪ j ɑ̃ː
سٹون	s ə ʈ uː n
سٹیزن	s ə ʈ iː z ə n
سکیل	s ə k iː l
سکینڈ	s ə k iː n ɖ
شاقہ	ʃ ɑː q ɑ
شوربہ	ʃ uː ɾ b ɑ
شگون	ʃ ə ɡ uː n
صیغے	s ɛː ɣ eː
طبیہ	t̪ ə b ɪ j ɑ
لائبریرین	l ɑː ɪ b ɾ iː ɾ iː n
لج	l ə d͡ʒ
لق	l ə q
لگوایا	l ə ɡ ʋ ɑː j ɑː
لگڑ	l ə ɡ ə ɽ
لیری	l ɛː ɾ iː
مانسون	m ɑː n s uː n
ماہتاب	m ɑː ɦ ɪ t̪ ɑː b
ماہیا	m ɑː ɦ ɪ j ɑː
مجهے	m ə d͡ʒ h eː
مصمم	m ʊ s m ə m
مضارع	m ʊ z ɑː ɾ eː
ملزمین	m ə l z ə m iː n
ملوک	m ə l uː k
منڈیر	m ə n ɖ iː ɾ
موا	m ə ʋ ɑː
موند	m uː n d̪
میراثی	m iː ɾ ɑː s iː
نانگا	n ɑː ŋ ɡ ɑː
وقال	ʋ ə q ɑː l
ولیوں	ʋ ə l ɪ j õː
پامالیوں	p ɑː m ɑː l ɪ j õː
پاڑہ	p ɑː ɽ ɑ
پاکستانیت	p ɑː k ɪ s t̪ ɑː n ɪ j ə t̪
پتافی	p ə t̪ ɑː f iː
پتلیوں	p ə t̪ l ɪ j õː
پدری	p ə d̪ ɾ iː
پرزوں	p ə ɾ z õː
پکتیا	p ə k t̪ ɪ j ɑː
پیئے	p ɛː eː
چھالے	t͡ʃʰ ɑː l eː
ڈھیری	ɖʱ eː ɾ iː
ڈیوائسز	ɖ ɛː ʋ ɑː ɪ s z
ژی	ʒ iː
کاؤنسل	k ɑː ʊ n s ə l
کادن	k ɑː d̪ ə n
کاساتھ	k ɑː s ɑː t̪ʰ
کثیرا	k ə s iː ɾ ɑː
کرنول	k ə ɾ n ə ʋ ə l
کرچی	k ə ɾ t͡ʃ iː
کلبی	k ə l b iː
کلیجے	k ə l iː d͡ʒ eː
کنج	k ə n d͡ʒ
کنسٹرکشن	k ə n s ʈ ə ɾ k ɪ ʃ ə n
گنوار	ɡ ə n ʋ ɑː ɾ
گوجال	ɡ oː d͡ʒ ɑː l
ہرمن	ɦ ə ɾ m ə n
ہمدان	ɦ ə m d̪ ɑː n
ہمسائیوں	ɦ ə m s ɑː ɪ j õː
ہواتو	ɦ ə ʋ ɑː t̪ oː
ہومر	ɦ uː m ə ɾ
یاراں	j ɑː ɾ ɑ̃ː
یان	j ɑː n
یکن	j ə k ə n
یکون	j ə k uː n
یہان	j ə ɦ ɑː n
آبادکے	ɑː b ɑː d̪ k eː
آشام	ɑː ʃ ɑː m
القول	ə l q uː l
امینی	ə m iː n iː
ایری	iː ɾ iː
ایہام	iː ɦ ɑː m
بجھنے	b ə d͡ʒʱ n eː
برنگ	b ə ɾ ə ŋ ɡ
برکاتی	b ə ɾ k ɑː t̪ iː
بلتی	b ə l t̪ iː
بنات	b ə n ɑː t̪
بورنگ	b uː ɾ ə ŋ ɡ
بوندا	b uː n d̪ ɑː
بڑھاؤ	b ə ɽʱ ɑː oː
بہکاوے	b ə ɦ k ɑː ʋ eː
بیچلر	b eː t͡ʃ l ə ɾ
بیگناہ	b eː ɡ n ɑː ɦ
تنزیل	t̪ ə n z iː l
تہبند	t̪ ə ɦ b ə n d̪
جولین	d͡ʒ uː l iː n
حلوائی	ɦ ə l ʋ ɑː iː
حلول	ɦ ə l uː l
خيال	x ɪ j ɑː l
دارد	d̪ ɑː ɾ ɪ d̪
رائزنگ	ɾ ɑː ɪ z ə ŋ ɡ
رامے	ɾ ɑː m eː
روزگاروں	ɾ oː z ɡ ɑː ɾ õː
ریفارم	ɾ ɛː f ɑː ɾ ə m
رینگی	ɾ ɛː ŋ ɡ iː
سائب	s ɑː ɪ b
سوفیصد	s uː f iː s ə d̪
صفاتی	s ə f ɑː t̪ iː
طغرل	t̪ ə ɣ ɾ ə l
عباسیوں	ɪ b ɑː s ɪ j õː
عراقیوں	ɪ ɾ ɑː q ɪ j õː
فائنڈنگ	f ɑː ɪ n ɖ ə ŋ ɡ
لانچر	l ɑ̃ː t͡ʃ ə ɾ
لسٹیں	l ə s ʈ ẽː
لنگڑے	l ə ŋ ɡ ɽ eː
مائنز	m ɑː ɪ n z
مخمور	m ə x m uː ɾ
مصاحب	m ʊ s ɑː ɦ ɪ b
معاد	m ʊ ɑː d̪
موغادیشو	m oː ɣ ɑː d̪ eː ʃ oː
ورغلا	ʋ ə ɾ ɣ ə l ɑː
ولاس	ʋ ə l ɑː s
پونم	p uː n ə m
پیماؤں	p ɛː m ɑː õː
چٹاگانگ	t͡ʃ ə ʈ ɑː ɡ ɑː ŋ ɡ
چھلے	t͡ʃʰ ə l eː
چیونگم	t͡ʃ ɪ j uː ŋ ɡ ə m
کاویری	k ɑː ʋ eː ɾ iː
کرارا	k ə ɾ ɑː ɾ ɑː
کررہاتھا	k ə ɾ ɾ ɪ ɦ ɑː t̪ʰ ɑː
کمینے	k ə m iː n eː
کوئز	k oː ɪ z
کوخراج	k oː x ɾ ɑː d͡ʒ
کھلوانے	kʰ ə l ʋ ɑː n eː
گنڈاپور	ɡ ə n ɖ ɑː p uː ɾ
گولان	ɡ oː l ɑː n
گولڑہ	ɡ oː l ɽ ɑ
گونا	ɡ oː n ɑː
گھماؤ	ɡʱ ə m ɑː oː
ہائیکو	ɦ ɑː iː k oː
ہاربر	ɦ ɑː ɾ b ə ɾ
ہتھوڑے	ɦ ə t̪ʰ oː ɽ eː
ہرقل	ɦ ə ɾ q ə l
ہشتم	ɦ ɪ ʃ t̪ ə m
ہمی	ɦ ə m iː
ہونےوالی	ɦ oː n eː ʋ ɑː l iː
ہچکیاں	ɦ ə t͡ʃ k ɪ j ɑ̃ː
یدی	j ə d̪ iː
dil	d̪ ɪ l
han	h ɑː n
imf	ɪ m f
kings	k ɪ ŋ s
order	oː ɾ d̪ ə ɾ
photos	f oː t̪ oː s
price	p ɾ iː s
sign	s ɪ ɡ n
view	v iː w
آباو	ɑː b ɑː ʋ
آرسی	ɑː ɾ s iː
آلام	ɑː l ɑː m
آموں	ɑː m õː
آوا	ɑː ʋ ɑː
آید	ɑː j ə d̪
اجلا	ə d͡ʒ l ɑː
اخروی	ə x ɾ ə ʋ iː
ارزاں	ə ɾ z ɑ̃ː
ازراہ	ɪ z ɾ ɑː ɦ
اسوسی	ə s uː s iː
اسکیمیں	ə s k iː m ẽː
اصولا	ə s uː l ɑː
اطلاقات	ɪ t̪ l ɑː q ɑː t̪
اعضائے	ɪ z ɑː eː
افرادکو	ə f ɾ ɑː d̪ ɪ k oː
اقبالیات	ɪ q b ɑː l ɪ j ɑː t̪
البروج	ə l b ə ɾ uː d͡ʒ
الثالث	ɪ l s ɑː l ɪ s
الذمہ	ə l z ə m ɑ
الریاض	ɪ l ɾ ɪ j ɑː z
العلی	ə l ə l iː
انجلی	ə n d͡ʒ ə l iː
اندرابی	ə n d̪ ɪ ɾ ɑː b iː
اهل	ə h l
اٹھاسی	ə ʈʰ ɑː s iː
اپني	ə p n iː
اکھاڑے	ɪ kʰ ɑː ɽ eː
ایجاب	iː d͡ʒ ɑː b
ایجی	iː d͡ʒ iː
ایمرجنگ	iː m ə ɾ d͡ʒ ə ŋ ɡ
بالیاں	b ɑː l ɪ j ɑ̃ː
ببانگ	b ə b ɑː ŋ ɡ
بتلائے	b ə t̪ l ɑː eː
بجی	b ə d͡ʒ iː
بدانتظامی	b ə d̪ ɑː n t̪ ɪ z ɑː m iː
بدبختی	b ə d̪ b ə x t̪ iː
برائٹ	b ə ɾ ɑː ɪ ʈ
بریکر	b ə ɾ iː k ə ɾ
بسائے	b ə s ɑː eː
بستروں	b ə s t̪ ə ɾ õː
بلاؤں	b ə l ɑː õː
بلاوا	b ə l ɑː ʋ ɑː
بلاکر	b ə l ɑː k ə ɾ
بلیدی	b ə l iː d̪ iː
بنائو	b ə n ɑː oː
بناسکتے	b ə n ɑː s k ə t̪ eː
بنتاہے	b ə n t̪ ɑː ɦ eː
بوسی	b uː s iː
بٹور	b ə ʈ uː ɾ
بگاڑنے	b ə ɡ ɑː ɽ n eː
بھاگتی	bʱ ɑː ɡ ə t̪ iː
بھجوائے	bʱ ə d͡ʒ ʋ ɑː eː
بھڑکتی	bʱ ə ɽ k ə t̪ iː
بہبودی	b ə ɦ b uː d̪ iː
بہلا	b ə ɦ l ɑː
بیٹریوں	b eː ʈ ɾ ɪ j õː
بیڈروم	b eː ɖ ɾ uː m
بیڑیاں	b eː ɽ ɪ j ɑ̃ː
بیگانگی	b eː ɡ ɑː ŋ ɡ iː
تائین	t̪ ɑː iː n
تالابوں	t̪ ɑː l ɑː b õː
تراشیوں	t̪ ə ɾ ɑː ʃ ɪ j õː
ترسی	t̪ ə ɾ s iː
ترقیوں	t̪ ə ɾ q ɪ j õː
تشنیع	t̪ ə ʃ n iː
تفاخر	t̪ ə f ɑː x ɪ ɾ
تقر	t̪ ə q ə ɾ
تندہی	t̪ ə n d̪ ə ɦ iː
توانائیاں	t̪ ə ʋ ɑː n ɑː ɪ j ɑ̃ː
تپتی	t̪ ə p t̪ iː
تھمنے	t̪ʰ ə m n eː
تھوپ	t̪ʰ uː p
تھکان	t̪ʰ ə k ɑː n
تیئیس	t̪ ɛː iː s
تیندوے	t̪ ɛː n d̪ ʋ eː
تیں	t̪ ẽː
جاتاتھا	d͡ʒ ɑː t̪ ɑː t̪ʰ ɑː
جاگی	d͡ʒ ɑː ɡ iː
جفت	d͡ʒ ə f t̪
جمن	d͡ʒ ə m ə n
