να	n a
προσωπογραφία	p ɾ o s o p o ɣ ɾ a f i a
ράβδοι	ɾ a v ð i
ράσο	ɾ a s o
ρίβερσ	ɾ i v e ɾ s
ροη	ɾ o i
ρομαντικού	ɾ o m a n d i k u
ρωμη	ɾ o m i
ρώμασ	ɾ o m a s
σάλεμ	s a l e m
σάλοσ	s a l o s
σέρνουν	s e ɾ n u n
σίμονσ	s i m o n s
σαπίλα	s a p i l a
σεβαστόσ	s e v a s t o s
σεμπαστιάν	s e m b a s t ç a n
σερβιτόροι	s e ɾ v i t o ɾ i
σεροτονίνησ	s e ɾ o t o n i n i s
σηκώνουμε	s i k o n u m e
σημαντικη	s i m a n d i c i
σημαντικότερων	s i m a n d i k o t e ɾ o n
σηράγγων	s i ɾ a ŋ ɡ o n
σκηνικού	s c i n i k u
σκηνοθετών	s c i n o θ e t o n
σκο	s k o
σκούφο	s k u f o
σοβαρο	s o v a ɾ o
σοβαρότητασ	s o v a ɾ o t i t a s
σουκ	s u k
σοφούσ	s o f u s
σούλησ	s u l i s
σπάνιασ	s p a ɲ a s
σπατάλεσ	s p a t a l e s
σταγονίδια	s t a ɣ o n i ð ʝ a
στερέωμα	s t e ɾ e o m a
στεφάν	s t e f a n
στοιχειώδουσ	s t i ç i o ð u s
στούαρτ	s t u a ɾ t
στρατώνεσ	s t ɾ a t o n e s
στόπερ	s t o p e ɾ
συγκάτοικοι	s i ŋ ɡ a t i c i
συγκεντρωμένο	s i ŋ ɟ e n d ɾ o m e n o
συγκεντρωτική	s i ŋ ɟ e n d ɾ o t i c i
συγκινήσει	s i ŋ ɟ i n i s i
συμβατά	s i ɱ v a t a
συμπεριληφθούν	s i m b e ɾ i l i f θ u n
συμπληρώστε	s i m b l i ɾ o s t e
συμπρωτεύουσα	s i m b ɾ o t e v u s a
συμφοιτητέσ	s i ɱ f i t i t e s
συνάθροιση	s i n a θ ɾ i s i
συνδέονταν	s i n ð e o n d a n
συνδρομέσ	s i n ð ɾ o m e s
συνειδητοποίησαν	s i n i ð i t o p i i s a n
συνεισφορέσ	s i n i s f o ɾ e s
συνεργούσ	s i n e ɾ ɣ u s
συνιστούσα	s i n i s t u s a
συντηρητικού	s i n d i ɾ i t i k u
συντομότερα	s i n d o m o t e ɾ a
συσσίτιο	s i s i t i o
συστημική	s i s t i m i c i
τήρησησ	t i ɾ i s i s
ταλάντωσησ	t a l a n d o s i s
ταμάρα	t a m a ɾ a
ταπεινοφροσύνη	t a p i n o f ɾ o s i n i
ταρώ	t a ɾ o
τερμα	t e ɾ m a
τεστοστερόνησ	t e s t o s t e ɾ o n i s
τζακάρτα	d͡z a k a ɾ t a
τηλεσκόπια	t i l e s k o p ç a
τοκογλύφων	t o k o ɣ l i f o n
τράγο	t ɾ a ɣ o
τραγουδίστριεσ	t ɾ a ɣ u ð i s t ɾ i e s
τρελαίνεται	t ɾ e l e n e t e
τρελαμένοσ	t ɾ e l a m e n o s
τριαντάφυλλου	t ɾ i a n d a f i l u
τρυπα	t ɾ i p a
τσίμπα	t͡s i m b a
τσεπάκι	t͡s e p a c i
τυλιγμένα	t i l i ɣ m e n a
τυπωμένα	t i p o m e n a
τυφλού	t i f l u
τόλμησεσ	t o l m i s e s
τόσων	t o s o n
υπαρξει	i p a ɾ k s i
υπερισχύει	i p e ɾ i s ç i i
υποβρυχίου	i p o v ɾ i ç i u
υποθέσει	i p o θ e s i
υποκρίνεται	i p o k ɾ i n e t e
υπολογίζετε	i p o l o ʝ i z e t e
υποστηρίζουμε	i p o s t i ɾ i z u m e
υποσχόμαστε	i p o s x o m a s t e
υποχρεούται	i p o x ɾ e u t e
υπόκλιση	i p o k l i s i
υπόλειμμα	i p o l i m a
υπόνοια	i p o n i a
φάμπιο	f a m b i o
φέτασ	f e t a s
φαραντούρη	f a ɾ a n d u ɾ i
φενέρ	f e n e ɾ
φερόμενοσ	f e ɾ o m e n o s
φιλελεύθερεσ	f i l e l e f θ e ɾ e s
φιλελεύθερων	f i l e l e f θ e ɾ o n
φιλοδοξεί	f i l o ð o k s i
φιλοξένησαν	f i l o k s e n i s a n
φιλοξενηθεί	f i l o k s e n i θ i
φονικά	f o n i k a
φραν	f ɾ a n
φρουρό	f ɾ u ɾ o
φτιαξω	f t ç a k s o
φτύνεισ	f t i n i s
φυλακισμένη	f i l a c i z m e n i
φυτώριο	f i t o ɾ i o
φωνητικήσ	f o n i t i c i s
φωτοτυπικό	f o t o t i p i k o
χάιντι	x a i̯ d i
χάου	x a u
χαζούσ	x a z u s
χαιρετισμοί	ç e ɾ e t i z m i
χαλίλ	x a l i l
χαλαρώνεισ	x a l a ɾ o n i s
χαμογελάτε	x a m o ʝ e l a t e
χαρακτηρισμοί	x a ɾ a k t i ɾ i z m i
χεζμπολάχ	ç e z b o l a x
χειμερινέσ	ç i m e ɾ i n e s
χειροτερα	ç i ɾ o t e ɾ a
χλωρίου	x l o ɾ i u
χοακίν	x o a c i n
χολαργό	x o l a ɾ ɣ o
χομπσ	x o m p s
χοντροί	x o n d ɾ i
χορευτή	x o ɾ e f t i
χορωδίεσ	x o ɾ o ð i e s
χρυσάνθη	x ɾ i s a n θ i
χρυσαφικά	x ɾ i s a f i k a
χυλό	ç i l o
χωρίστηκε	x o ɾ i s t i c e
ψήφιζαν	p s i f i z a n
ψυρρή	p s i ɾ i
ψωμιάδησ	p s o m ɲ a ð i s
ωθήσει	o θ i s i
όπερεσ	o p e ɾ e s
όψεωσ	o p s e o s
ἐστι	e s t i
artists	a ɾ t i s t s
bryan	b ɾ i a n
clara	k l a ɾ a
documento	d o k u m e n t o
douglas	d u ɡ l a s
ela	e l a
era	e ɾ a
facts	f a k t͡s
feeling	f i l i ŋ
hotspot	h o t͡s p o t
kart	k a ɾ t
kαλό	k a l o
mixer	m i k s e ɾ
moment	m o m ɛ n t
nelson	n ɛ l s o n
pat	p a t
proton	p ɾ o t o n
ria	ɾ i a
sta	s t a
syria	s i ɾ i a
tracy	t ɾ a s i
tισ	t i s
άμπι	a m b i
άνθρωποί	a n θ ɾ o p i
άρθρωσησ	a ɾ θ ɾ o s i s
άφαντοσ	a f a n d o s
έλινορ	e l i n o ɾ
ένιωσαν	e ɲ o s a n
έντμουντ	e n d m u n d
έσπρωξαν	e s p ɾ o k s a n
έφτανα	e f t a n a
αγνοείτε	a ɣ n o i t e
αγνοούσε	a ɣ n o u s e
αγνότητασ	a ɣ n o t i t a s
αδερφοσ	a ð e ɾ f o s
αδρά	a ð ɾ a
αεραγωγούσ	a e ɾ a ɣ o ɣ u s
αετούσ	a e t u s
αιμάτωμα	e m a t o m a
αιματοσ	e m a t o s
αιτημάτων	e t i m a t o n
αιωρούνται	e o ɾ u n d e
ακτη	a k t i
ακτοφυλακήσ	a k t o f i l a c i s
ακυρώνονται	a c i ɾ o n o n d e
αλα	a l a
αλβανικού	a l v a n i k u
αλεξιπτωτιστέσ	a l e k s i p t o t i s t e s
αλκή	a l c i
αλκιβιάδη	a l c i v i a ð i
αλλαζει	a l a z i
αλλοδαπού	a l o ð a p u
αμινοξύ	a m i n o k s i
αμμώδη	a m o ð i
ανέκτησε	a n e k t i s e
αναγγέλλει	a n a ŋ ɟ e l i
αναδιοργάνωσησ	a n a ð i o ɾ ɣ a n o s i s
ανακάμπτει	a n a k a m p t i
αναλυθεί	a n a l i θ i
αναλύονται	a n a l i o n d e
αναμιχθεί	a n a m i x θ i
αναπαράστασησ	a n a p a ɾ a s t a s i s
αναπνέετε	a n a p n e e t e
ανασύρθηκε	a n a s i ɾ θ i c e
ανατρεπτικό	a n a t ɾ e p t i k o
αναφερει	a n a f e ɾ i
ανετα	a n e t a
ανεύθυνοσ	a n e f θ i n o s
ανθρώπινοι	a n θ ɾ o p i n i
ανοιχτη	a n i x t i
αντάλλαξε	a n d a l a k s e
ανταλλαγών	a n d a l a ɣ o n
αντιδρούσε	a n d i ð ɾ u s e
αντιμετωπίσαμε	a n d i m e t o p i s a m e
αντισταθούμε	a n d i s t a θ u m e
ανωτέρα	a n o t e ɾ a
αξιού	a k s ç u
απάντησησ	a p a n d i s i s
απατούν	a p a t u n
αποβληθεί	a p o v l i θ i
αποδειξεισ	a p o ð i k s i s
αποδοκιμασίεσ	a p o ð o c i m a s i e s
αποδοτικό	a p o ð o t i k o
αποκλιμάκωση	a p o k l i m a k o s i
αποτρέποντασ	a p o t ɾ e p o n d a s
αποτρέπουν	a p o t ɾ e p u n
αποτυχημένοι	a p o t i ç i m e n i
απόσβεση	a p o z v e s i
απόσταγμα	a p o s t a ɣ m a
αραιέσ	a ɾ e e s
αρθρογραφία	a ɾ θ ɾ o ɣ ɾ a f i a
αριστερο	a ɾ i s t e ɾ o
αρκάσ	a ɾ k a s
αρνηθείσ	a ɾ n i θ i s
αρνιά	a ɾ ɲ a
αρχιτεκτονικών	a ɾ ç i t e k t o n i k o n
ασύστολα	a s i s t o l a
αυτοκρατόρων	a f t o k ɾ a t o ɾ o n
αυτόματου	a f t o m a t u
αφαιρούν	a f e ɾ u n
αφαλό	a f a l o
αύξουσα	a f k s u s a
βάδισμα	v a ð i z m a
βάθρου	v a θ ɾ u
βάλτοσ	v a l t o s
βάπτισησ	v a p t i s i s
βίαιων	v i e o n
βίκου	v i k u
βαλουμε	v a l u m e
βαρίδια	v a ɾ i ð ʝ a
βαραίνουν	v a ɾ e n u n
βασανίστηκε	v a s a n i s t i c e
βασιλισσα	v a s i l i s a
βατόμουρο	v a t o m u ɾ o
βδομάδασ	v ð o m a ð a s
βεροίασ	v e ɾ i a s
βιβλικέσ	v i v l i c e s
βιβλιοθηκη	v i v l i o θ i c i
βιολιά	v i o ʎ a
βρέχεται	v ɾ e ç e t e
βρικόλακεσ	v ɾ i k o l a c e s
βροχερή	v ɾ o ç e ɾ i
βυθίζει	v i θ i z i
γέμισμα	ʝ e m i z m a
γαϊδούρια	ɣ a i̯ ð u ɾ ʝ a
γελούσε	ʝ e l u s e
γιαλόσ	ʝ a l o s
γινόσουν	ʝ i n o s u n
γιόρταζαν	ʝ o ɾ t a z a n
γκίλμορ	ɟ i l m o ɾ
γκαντ	ɡ a n d
γκουίντο	ɡ u i d o
γκουαντάναμο	ɡ u a n d a n a m o
γνωμάτευση	ɣ n o m a t e f s i
γνωστη	ɣ n o s t i
γνώστεσ	ɣ n o s t e s
γουάιλντερ	ɣ u a i̯ l d e ɾ
γουάνγκ	ɣ u a ŋ ɡ
γραψει	ɣ ɾ a p s i
γυνή	ʝ i n i
γυρισμένη	ʝ i ɾ i z m e n i
γόνιμο	ɣ o n i m o
δαφνί	ð a f n i
δεδουλευμένα	ð e ð u l e v m e n a
δειξει	ð i k s i
δεκαπενθήμερο	ð e k a p e n θ i m e ɾ o
δημοσιοποίησε	ð i m o s i o p i i s e
διάπραξη	ð i̯ a p ɾ a k s i
διαβεβαιώνει	ð i̯ a v e v e o n i
διακεκριμένων	ð i̯ a c e k ɾ i m e n o n
διαπραγματευόμαστε	ð i̯ a p ɾ a ɣ m a t e v o m a s t e
διατροφολόγοσ	ð i̯ a t ɾ o f o l o ɣ o s
διαφεύγουν	ð i̯ a f e v ɣ u n
διαφημίζουν	ð i̯ a f i m i z u n
διαφοροποίησησ	ð i̯ a f o ɾ o p i i s i s
διαφόρουσ	ð i̯ a f o ɾ u s
διδαχθεί	ð i ð a x θ i
διεφθαρμένοσ	ð i e f θ a ɾ m e n o s
διμοιρίεσ	ð i m i ɾ i e s
δρομολόγηση	ð ɾ o m o l o ʝ i s i
δροσερέσ	ð ɾ o s e ɾ e s
δυσκολεύουν	ð i s k o l e v u n
εβεα	e v e a
εθν	e θ n
ειδοποιεί	i ð o p i i
εικαστικά	i k a s t i k a
εικονίδιο	i k o n i ð i o
εκλογικούσ	e k l o ʝ i k u s
εκνευρισμό	e k n e v ɾ i z m o
εκπλήσσομαι	e k p l i s o m e
εκτελούσαν	e k t e l u s a n
εκτοξεύθηκε	e k t o k s e f θ i c e
ελληνοκυπριακή	e l i n o c i p ɾ i a c i
εμβληματικό	e ɱ v l i m a t i k o
εμπειρικά	e m b i ɾ i k a
ενδεικτικέσ	e n ð i k t i c e s
ενεργοποίησε	e n e ɾ ɣ o p i i s e
ενεργοποιώντασ	e n e ɾ ɣ o p i o n d a s
ενθουσιάζει	e n θ u s ç a z i
ενστικτωδώσ	e n s t i k t o ð o s
ενσωματωμένεσ	e n s o m a t o m e n e s
εντεύθεν	e n d e f θ e n
εντι	e n d i
εντόμου	e n d o m u
εντύπου	e n d i p u
εξέρχεται	e k s e ɾ ç e t e
εξαπλώνονται	e k s a p l o n o n d e
εξετάσετε	e k s e t a s e t e
εξετάστηκε	e k s e t a s t i c e
επαγγελίασ	e p a ŋ ɟ e l i a s
επαναλαμβάνοντασ	e p a n a l a ɱ v a n o n d a s
επιβλέπων	e p i v l e p o n
επικαιροποίηση	e p i c e ɾ o p i i s i
επιλεχθεί	e p i l e x θ i
επιρρεπήσ	e p i ɾ e p i s
επιτάχυνε	e p i t a ç i n e
επιτρέποντάσ	e p i t ɾ e p o n d a s
επιτρεπτό	e p i t ɾ e p t o
επούλωση	e p u l o s i
ερασιτεχνικήσ	e ɾ a s i t e x n i c i s
εργαζομένου	e ɾ ɣ a z o m e n u
εργατικούσ	e ɾ ɣ a t i k u s
ετοιμάζεισ	e t i m a z i s
ευαισθητοποίησησ	e v e s θ i t o p i i s i s
εφοσον	e f o s o n
ζουμερά	z u m e ɾ a
ηγήθηκε	i ʝ i θ i c e
ηλεκτρονικο	i l e k t ɾ o n i k o
ημιτελικούσ	i m i t e l i k u s
θαλάσσιοσ	θ a l a s i o s
θαλήσ	θ a l i s
θανατικήσ	θ a n a t i c i s
θαυμα	θ a v m a
θαυματουργόσ	θ a v m a t u ɾ ɣ o s
θεσησ	θ e s i s
θητείεσ	θ i t i e s
θμιασ	θ m ɲ a s
θολούρα	θ o l u ɾ a
θρέψει	θ ɾ e p s i
θριαμβευτική	θ ɾ i a ɱ v e f t i c i
θυμηθούν	θ i m i θ u n
ιv	i v
ιδιότυπο	i ð i o t i p o
ιθ	i θ
ιουδαίοι	i u ð e i
ισθμό	i s θ m o
ισοπαλίασ	i s o p a l i a s
ιωνάσ	i o n a s
ιωνικό	i o n i k o
κάπριο	k a p ɾ i o
κάρυστο	k a ɾ i s t o
κίτρινου	c i t ɾ i n u
καβούκι	k a v u c i
καινούριουσ	c e n u ɾ ʝ u s
καλοχώρι	k a l o x o ɾ i
καλυψη	k a l i p s i
καμάρασ	k a m a ɾ a s
καμπάνιεσ	k a m b a ɲ e s
καμπίνασ	k a m b i n a s
καρέτα	k a ɾ e t a
καρυκεύματα	k a ɾ i c e v m a t a
καστανιέσ	k a s t a ɲ e s
κατέστρεφε	k a t e s t ɾ e f e
κατακόμβεσ	k a t a k o ɱ v e s
καταπιείσ	k a t a p ç i s
κατασκόπων	k a t a s k o p o n
κατεβαίνοντασ	k a t e v e n o n d a s
κατώτατου	k a t o t a t u
κελιού	c e ʎ u
κεράσει	c e ɾ a s i
κινεζικών	c i n e z i k o n
κινητοποίησησ	c i n i t o p i i s i s
κλασσικού	k l a s i k u
κολλάμε	k o l a m e
κολλήσουμε	k o l i s u m e
κολλημένα	k o l i m e n a
κολπο	k o l p o
κονδύλησ	k o n ð i l i s
κοντονή	k o n d o n i
κοριούσ	k o ɾ ʝ u s
κουάλα	k u a l a
κουίνσι	k u i n s i
κουνηθώ	k u n i θ o
κουράζεται	k u ɾ a z e t e
κουρτ	k u ɾ t
κουστούμια	k u s t u m ɲ a
κρατιδίου	k ɾ a t i ð i u
κρεασ	k ɾ e a s
κριθαράκι	k ɾ i θ a ɾ a c i
κωνσταντίνασ	k o n s t a n d i n a s
κύριόσ	c i ɾ ʝ o s
λέγονταν	l e ɣ o n d a n
λαθρεμπορίου	l a θ ɾ e b o ɾ i u
λαιμο	l e m o
λανθασμένο	l a n θ a z m e n o
λατρέψει	l a t ɾ e p s i
λεβαδέων	l e v a ð e o n
λεπτομερέσ	l e p t o m e ɾ e s
λοβό	l o v o
λογοτέχνησ	l o ɣ o t e x n i s
λογοτεχνικών	l o ɣ o t e x n i k o n
λουντ	l u n d
λωζάννησ	l o z a n i s
μάζεμα	m a z e m a
μάρβιν	m a ɾ v i n
μέθυσα	m e θ i s a
μέντορα	m e n d o ɾ a
μέρντοκ	m e ɾ d o k
μαγειρεμένα	m a ʝ i ɾ e m e n a
μαγειρεμένο	m a ʝ i ɾ e m e n o
μαιρη	m e ɾ i
μαντινάδεσ	m a n d i n a ð e s
μαραγκόσ	m a ɾ a ŋ ɡ o s
μασίφ	m a s i f
μασκα	m a s k a
μαυρίλα	m a v ɾ i l a
μεγαλύτερό	m e ɣ a l i t e ɾ o
μεζέδεσ	m e z e ð e s
μελέτησαν	m e l e t i s a n
μερικουσ	m e ɾ i k u s
μεσογειακέσ	m e s o ʝ i a c e s
μεσοποταμία	m e s o p o t a m i a
μετέδιδε	m e t e ð i ð e
μεταγενέστερεσ	m e t a ʝ e n e s t e ɾ e s
μετακινήθηκαν	m e t a c i n i θ i k a n
μεταμφίεση	m e t a ɱ f i e s i
μεταμόρφωσε	m e t a m o ɾ f o s e
μεταφέρεισ	m e t a f e ɾ i s
μεταφορέασ	m e t a f o ɾ e a s
μεϊμαράκη	m e i̯ m a ɾ a c i
μοντελοποίηση	m o n d e l o p i i s i
μοσούλησ	m o s u l i s
μοσχαράκι	m o s x a ɾ a c i
μπάνι	b a n i
μπέντφορντ	b e n d f o ɾ d
μπίσοπ	b i s o p
μπαινοβγαίνει	b e n o v ʝ e n i
μπαλζάκ	b a l z a k
μπαλιά	b a ʎ a
μπαρόζο	b a ɾ o z o
μπλαν	b l a n
μπορουσαμε	b o ɾ u s a m e
μπρίτζετ	b ɾ i d͡z e t
μπρεντ	b ɾ e n d
μπροκ	b ɾ o k
μπυρα	b i ɾ a
μυκήτων	m i c i t o n
ναρκωτικα	n a ɾ k o t i k a
νεότερων	n e o t e ɾ o n
νικήθηκε	n i c i θ i c e
νικήσω	n i c i s o
νιτρικό	n i t ɾ i k o
νοσηλείασ	n o s i l i a s
νοτίωσ	n o t i o s
ντίβα	d i v a
ντραφτ	d ɾ a f t
νυχτερινού	n i x t e ɾ i n u
ξαναγυρίσει	k s a n a ʝ i ɾ i s i
ξεκαρδιστική	k s e k a ɾ ð i s t i c i
ξερνάει	k s e ɾ n a i
οικογενειακούσ	i k o ʝ e n i a k u s
οικοδομικών	i k o ð o m i k o n
οικοδομών	i k o ð o m o n
ολοκληρώσεισ	o l o k l i ɾ o s i s
ομαδικήσ	o m a ð i c i s
ομαδικών	o m a ð i k o n
ομηρικά	o m i ɾ i k a
ομοϊδεάτεσ	o m o i̯ ð e a t e s
ομώνυμησ	o m o n i m i s
ονειρεύεστε	o n i ɾ e v e s t e
ονειρικό	o n i ɾ i k o
οντάριο	o n d a ɾ i o
ορθογώνια	o ɾ θ o ɣ o ɲ a
ορκίστηκαν	o ɾ c i s t i k a n
ουέστ	u e s t
πάγκαλο	p a ŋ ɡ a l o
πάκο	p a k o
πέλματα	p e l m a t a
παιξει	p e k s i
παράλληλου	p a ɾ a l i l u
παραγωγικούσ	p a ɾ a ɣ o ʝ i k u s
παραπέμπεται	p a ɾ a p e m b e t e
παραπληροφόρησησ	p a ɾ a p l i ɾ o f o ɾ i s i s
παραχωρείται	p a ɾ a x o ɾ i t e
παρενθέσεισ	p a ɾ e n θ e s i s
παρουσιάσθηκε	p a ɾ u s i a s θ i c e
πασχίζει	p a s ç i z i
παυλίνα	p a v l i n a
πειραματίζεται	p i ɾ a m a t i z e t e
πελ	p e l
περιηγητή	p e ɾ i i ʝ i t i
περιθωρίου	p e ɾ i θ o ɾ i u
περιπάτουσ	p e ɾ i p a t u s
περισυλλογήσ	p e ɾ i s i l o ʝ i s
πεφτει	p e f t i
πιθανολογείται	p i θ a n o l o ʝ i t e
πιστωτών	p i s t o t o n
πιτσιρίκα	p i t͡s i ɾ i k a
πλήκτρων	p l i k t ɾ o n
πλη	p l i
πληρέστερη	p l i ɾ e s t e ɾ i
πληροφοριακών	p l i ɾ o f o ɾ i a k o n
ποιητικού	p i i t i k u
ποιοτητασ	p i o t i t a s
πολικέσ	p o l i c e s
πολυτελήσ	p o l i t e l i s
προαναφερθείσα	p ɾ o a n a f e ɾ θ i s a
προβληματισμού	p ɾ o v l i m a t i z m u
προεκλογικό	p ɾ o e k l o ʝ i k o
προπονήτρια	p ɾ o p o n i t ɾ i a
προσδώσει	p ɾ o z ð o s i
προστατευόμενεσ	p ɾ o s t a t e v o m e n e s
προσόντων	p ɾ o s o n d o n
προχωρήσω	p ɾ o x o ɾ i s o
πρωταθλήτριασ	p ɾ o t a θ l i t ɾ i a s
πρωτοτύπου	p ɾ o t o t i p u
πρωτόγονο	p ɾ o t o ɣ o n o
ρισκάρουμε	ɾ i s k a ɾ u m e
ροδου	ɾ o ð u
ρούμπιν	ɾ u b i n
ρώτησεσ	ɾ o t i s e s
σίγκμουντ	s i ŋ ɡ m u n d
σαβάνα	s a v a n a
σαπφώ	s a p f o
σαρωτή	s a ɾ o t i
σελιδεσ	s e l i ð e s
σεσίλ	s e s i l
σημαντικότατο	s i m a n d i k o t a t o
σηματοδοτούν	s i m a t o ð o t u n
σκήτη	s c i t i
σκίμπε	s c i m b e
σκελετοί	s c e l e t i
σκεπτικισμό	s c e p t i c i z m o
σμυρνησ	z m i ɾ n i s
σπέρνει	s p e ɾ n i
στέκονταν	s t e k o n d a n
σταθείτε	s t a θ i t e
σταθμο	s t a θ m o
στεάουα	s t e a u a
στραβή	s t ɾ a v i
στρατάρχησ	s t ɾ a t a ɾ ç i s
συγκοινωνίασ	s i ŋ ɟ i n o n i a s
συλλογικότητα	s i l o ʝ i k o t i t a
συλλυπητήριά	s i l i p i t i ɾ ʝ a
συμπεριφερόμαστε	s i m b e ɾ i f e ɾ o m a s t e
συμπολίτη	s i m b o l i t i
συμπόρευση	s i m b o ɾ e f s i
συνεταιριστική	s i n e t e ɾ i s t i c i
