the	t e
infantino	ĩ f ɐ̃ t͡ʃ i n o
infringe	ĩ f ɾ ĩ ʒ e
injustiçada	ĩ ʒ u s t͡ʃ i s a d a
inquietudes	ĩ k i e t u d e s
insultados	ĩ s u w t a d o s
intense	ĩ t ẽ s e
invadam	ĩ v a d ɐ̃ w̃
inventaria	ĩ v ẽ t a ɾ i a
investigaremos	ĩ v e s t͡ʃ i ɡ a ɾ e m o s
irrecuperável	i ʁ e k u p e ɾ a v e w
isc	i s k e
iseg	i z ɛ ɡ e
ismo	i z m o
itapiranga	i t a p i ɾ ɐ̃ ɡ a
itupeva	i t u p e v a
ivc	i v e s e
iñárritu	i ɲ a ʁ i t u
jacareacanga	ʒ a k a ɾ e a k ɐ̃ ɡ a
jambeiro	ʒ ɐ̃ b e j ɾ o
jangadeiro	ʒ ɐ̃ ɡ a d e j ɾ o
jantado	ʒ ɐ̃ t a d o
jerónimos	ʒ e ɾ ɔ n i m o s
jeu	ʒ e w
joelson	ʒ o e w s õ
jogaremos	ʒ o ɡ a ɾ e m o s
juegos	ʒ u ɛ ɡ o s
kandy	k ɐ̃ d͡ʒ i
karo	k a ɾ o
kayapó	k a j a p ɔ
keitel	k e j t ɛ w
keo	k e o
kimiko	k i m i k o
kodiak	k o d͡ʒ i a k e
kof	k ɔ f
kogut	k o ɡ u t͡ʃ
lacres	l a k ɾ e s
lanes	l ɐ n e s
lascou	l a s k o
lautrec	l a w t ɾ ɛ k
leccionar	l e k s i o n a
lenox	l e n ɔ k s
ligeirinho	l i ʒ e j ɾ i ɲ o
lionsgate	l i õ z ɡ a t e
loga	l ɔ ɡ a
lombares	l õ b a ɾ e s
lucraram	l u k ɾ a ɾ ɐ̃ w̃
lêmures	l e m u ɾ e s
maarten	m a a ɻ t ẽ j̃
magoadas	m a ɡ o a d a s
maloney	m a l o n e j
mamária	m a m a ɾ i a
manaíra	m a n a i ɾ a
manobrando	m a n o b ɾ ɐ̃ d o
maravilho	m a ɾ a v i ʎ o
marcius	m a ɻ s i w s
marika	m a ɾ i k a
marteladas	m a ɻ t e l a d ɐ s
martyrs	m a ɻ t͡ʃ i ɻ s
mase	m a z e
maués	m a w ɛ j s
mencionamos	m ẽ s i o n ɐ m o s
mergulharam	m e ɻ ɡ u ʎ a ɾ ɐ̃ w̃
mesclam	m e s k l ɐ̃ w̃
metacritic	m e t a k ɾ i t͡ʃ i k
mineracao	m i n e ɾ a k a w
miraculosa	m i ɾ a k u l ɔ z a
modelador	m o d e l a d o ɻ
modernizando	m o d e ɻ n i z ɐ̃ d u
mondays	m õ d e j s
monitore	m o n i t o ɾ e
montarem	m õ t a ɾ ẽ j̃
montaña	m õ t a ɲ a
mosqueiro	m o s k e j ɾ o
motrizes	m o t ɾ i z e s
multiplicavam	m u w t͡ʃ i p l i k a v ɐ̃ w̃
mumford	m ũ f ɔ ɻ
musharraf	m u ʃ a ʁ a f
naji	n a ʒ i
naka	n a k a
nanã	n a n ɐ̃
neff	n ɛ f
neurocientistas	n e w ɾ o s i ẽ t͡ʃ i s t a s
niacina	n i a s i n a
nigella	n i ʒ ɛ l a
noticiava	n o t͡ʃ i s i a v a
notifique	n o t͡ʃ i f i k e
nouri	n o w ɾ i
nunez	n u n e j s
obedecê	o b e d e s e
oberyn	o b e ɾ ĩ
odontológicas	o d õ t o l ɔ ʒ i k a s
ofertando	o f e ɻ t ɐ̃ d u
opens	o p ẽ j̃ s
ophir	o f i
opinativo	o p i n a t͡ʃ i v o
organización	o ɻ ɡ a n i z a s i ɔ̃
orgulhos	o ɻ ɡ u ʎ u s
orta	ɔ ɻ t ɐ
osmond	o z m õ
ostia	o s t͡ʃ i a
ottoman	o t o m ɐ̃
ousava	o w z a v a
pablito	p a b l i t o
paiz	p a j s
panamenhos	p a n a m e ɲ o s
pantaleão	p ɐ̃ t a l e ɐ̃ w̃
paracas	p a ɾ a k a s
paraplégica	p a ɾ a p l ɛ ʒ i k a
paraste	p a ɾ a s t e
pater	p a t e
patrimonialista	p a t ɾ i m o n i a l i s t a
patterns	p a t ɛ ɻ n i s
pecos	p ɛ k o s
peirce	p e j ɻ s i
pelicanos	p e l i k ɐ n o s
pelúcias	p e l u s i a s
pentelhos	p ẽ t e ʎ o s
pert	p ɛ ɻ t͡ʃ
perímetros	p e ɾ i m e t ɾ o s
pessimamente	p e s i m a m ẽ t e
phelan	f e l ɐ̃
piau	p i a w
pinter	p ĩ t e
piras	p i ɾ a s
pirineus	p i ɾ i n e w s
pitombo	p i t õ b o
pointe	p o ĩ t e
politécnicos	p o l i t ɛ k i n i k o s
pompeii	p õ p e j i
pontiaguda	p õ t͡ʃ i a ɡ u d a
possívelmente	p o s i v e w m ẽ t e
posteres	p o s t ɛ ɾ e s
postiço	p o s t͡ʃ i s o
prensada	p ɾ ẽ s a d a
presentão	p ɾ e z ẽ t ɐ̃ w̃
pressente	p ɾ e s ẽ t e
prev	p ɾ ɛ v
propalada	p ɾ o p a l a d a
prospere	p ɾ o s p ɛ ɾ e
prostitui	p ɾ o s t͡ʃ i t u j
protegei	p ɾ o t e ʒ e j
própio	p ɾ ɔ p i o
puffy	p u f i
pulem	p u l ẽ j̃
purificados	p u ɾ i f i k a d o s
párocos	p a ɾ o k o s
púbicos	p u b i k o s
quela	k ɛ l a
quimeras	k i m ɛ ɾ a s
quânticas	k w ɐ̃ t͡ʃ i k a s
rabiscada	ʁ a b i s k a d a
raman	ʁ a m ɐ̃
rawlins	ʁ a w l ĩ s
receptação	ʁ e s e p i t a s ɐ̃ w̃
recompensou	ʁ e k õ p ẽ s o
reinventa	ʁ e ĩ v ẽ t a
reiter	ʁ e j t e
relevant	ʁ e l e v ɐ̃
remasterizado	ʁ e m a s t e ɾ i z a d o
remetido	ʁ e m e t͡ʃ i d o
renegou	ʁ e n e ɡ o
renomeada	ʁ e n o m e a d a
renová	ʁ e n o v a
repaginada	ʁ e p a ʒ i n a d a
replace	ʁ e p l a s e
republicou	ʁ e p u b l i k o
resnick	ʁ e z n i k e
ressaltado	ʁ e s a w t a d o
restarem	ʁ e s t a ɾ ẽ j̃
retraída	ʁ e t ɾ a i d a
revalida	ʁ e v a l i d a
ridicula	ʁ i d͡ʒ i k u l a
rilke	ʁ i w k e
rodrick	ʁ o d ɾ i k e
roku	ʁ o k u
rosalia	ʁ o z a l i a
saae	s a a j
sacanagens	s a k a n a ʒ ẽ j̃ s
safaris	s a f a ɾ i s
saltitando	s a w t͡ʃ i t ɐ̃ d o
salton	s a w t õ
sancti	s ɐ̃ k i t͡ʃ i
sanduiches	s ɐ̃ d u j ʃ e s
secá	s e k a
sefaz	s e f a j s
seguires	s e ɡ i ɾ e s
selas	s ɛ l a s
semanários	s e m a n a ɾ i o s
senar	s e n a
sencientes	s ẽ s i ẽ t e s
simonson	s i m õ s õ
sinestro	s i n ɛ s t ɾ o
sirens	s i ɾ ẽ j̃ s
sobressaindo	s o b ɾ e s a ĩ d o
sobreveio	s o b ɾ e v e j o
solteirões	s o w t e j ɾ õ j̃ s
sondando	s õ d ɐ̃ d o
sorrisão	s o ʁ i z ɐ̃ w̃
stéfani	i s t ɛ f a n i
subunidades	s u b u n i d a d e s
sugadores	s u ɡ a d o ɾ e s
supracitada	s u p ɾ a s i t a d a
surpreendia	s u ɻ p ɾ e ẽ d͡ʒ i ɐ
susu	s u z u
tabosa	t a b ɔ z a
tantinho	t ɐ̃ t͡ʃ i ɲ o
tardaram	t a ɻ d a ɾ ɐ̃ w̃
tass	t a s
tecnicista	t e k i n i s i s t a
tenores	t e n ɔ ɾ e s
termómetro	t e ɻ m ɔ m e t ɾ u
terraplenagem	t e ʁ a p l e n a ʒ ẽ j̃
tesoureiros	t e z o w ɾ e j ɾ o s
teutônia	t e w t o n i a
thrillers	t ɾ i l e ɻ s
thu	t u
tima	t͡ʃ i m a
tlatelolco	t l a t e l ɔ w k o
tolueno	t o l u e n o
torcidos	t o ɻ s i d u s
totonho	t o t o ɲ o
traba	t ɾ a b a
traders	t ɾ a d e ɻ s
traiçoeiros	t ɾ a j s o e j ɾ o s
transacional	t ɾ ɐ̃ z a s i o n a w
transfronteiriça	t ɾ ɐ̃ s f ɾ õ t e j ɾ i s a
transpetro	t ɾ ɐ̃ s p ɛ t ɾ o
trials	t ɾ i a w s
unidirecional	u n i d͡ʒ i ɾ e s i o n a w
upe	u p e
ure	u ɾ e
usemos	u z e m o s
vacinadas	v a s i n a d a s
valdirene	v a w d͡ʒ i ɾ e n e
vasculham	v a s k u ʎ ɐ̃ w̃
vdc	v e d e s e
vestuários	v e s t u a ɾ i o s
veteranas	v e t e ɾ ɐ n a s
vidraças	v i d ɾ a s a s
vigiava	v i ʒ i a v a
viras	v i ɾ a s
virgulino	v i ɻ ɡ u l ĩ n u
visitaria	v i z i t a ɾ i a
vislumbrou	v i z l ũ b ɾ o
vitimada	v i t͡ʃ i m a d a
votavam	v o t a v ɐ̃ w̃
waguinho	w a ɡ i ɲ o
wiesel	w i z ɛ w
witten	w i t ẽ j̃
womack	w o m ɛ k e
yael	j a ɛ w
yakult	j a k u w t͡ʃ
yemanjá	j e m ɐ̃ ʒ a
zamasu	z a m a z u
zar	z a
zaza	z a z a
zonza	z õ z a
éric	ɛ ɾ i k
abacates	a b a k a t e s
abaixam	a b a j ʃ ɐ̃ w̃
abduzidos	a b d u z i d o s
acessei	a s e s e j
acontecidos	a k õ t e s i d o s
acreditada	a k ɾ e d͡ʒ i t a d a
acrónimos	a k ɾ ɔ n i m o s
adiei	a d͡ʒ i e j
agrovila	a ɡ ɾ o v i l a
aimar	a j m a
ajudadas	a ʒ u d a d a s
alban	a w b ɐ̃
ales	a l e s
aliviam	a l i v i ɐ̃ w̃
almejavam	a w m e ʒ a v ɐ̃ w̃
almoçado	a w m o s a d o
alu	a l u
amargor	a m a ɻ ɡ o ɻ
ambassador	ɐ̃ b a s a d o ɻ
amenizada	a m e n i z a d a
amooo	a m o o
amplificada	ɐ̃ p l i f i k a d a
angelita	ɐ̃ ʒ e l i t a
anheuser	ɐ ɲ e w z e
antecedendo	ɐ̃ t e s e d ẽ d o
anunciem	a n ũ s i ẽ j̃
aparelhada	a p a ɾ e ʎ a d a
apologize	a p o l o ʒ i z e
aposentação	a p o z ẽ t a s ɐ̃ w̃
apostólicas	a p o s t ɔ l i k a s
apreensivos	a p ɾ e ẽ s i v o s
aproveitarmos	a p ɾ o v e j t a ɻ m u s
aproveitasse	a p ɾ o v e j t a s e
apátridas	a p a t ɾ i d a s
arados	a ɾ a d o s
arcanos	a ɻ k ɐ̃ n u s
armei	a ɻ m e j
aromaterapia	a ɾ o m a t e ɾ a p i a
arque	a ɻ k i
arrebentado	a ʁ e b ẽ t a d o
arrumadinha	a ʁ u m a d͡ʒ i ɲ a
arósio	a ɾ ɔ z i o
assalariada	a s a l a ɾ i a d a
assemelhava	a s e m e ʎ a v a
astrónomo	a s t ɾ ɔ n o m o
astutos	a s t u t o s
ataduras	a t a d u ɾ a s
atribua	a t ɾ i b u a
auras	a w ɾ a s
autoconfiante	a w t o k õ f i ɐ̃ t e
axiais	a k s i a j s
bahama	b a ɐ m a
baldini	b a w d͡ʒ i n i
bangor	b ɐ̃ ɡ o ɻ
basile	b a z i l e
bauza	b a w z a
bayonne	b a j o n e
beek	b i k e
beijaço	b e j ʒ a s o
belgrade	b e w ɡ ɾ a d e
belterra	b e w t ɛ ʁ a
benes	b e n e s
beting	b e t͡ʃ ĩ
bez	b ɛ j s
bilu	b i l u
bms	b e ɛ m e j s
bonder	b õ d e
borradas	b o ʁ a d a s
botinhas	b o t͡ʃ i ɲ a s
brasile	b ɾ a z i l e
bratz	b ɾ a t͡ʃ i s
bravia	b ɾ a v i a
brilhantina	b ɾ i ʎ ɐ̃ t͡ʃ i n a
brings	b ɾ ĩ ɡ i s
bromance	b ɾ o m ɐ̃ s e
budas	b u d a s
bushido	b u ʃ i d o
cadastra	k a d a s t ɾ a
caic	k a j k
calabasas	k a l a b a z a s
californianos	k a l i f o ɻ n i ɐ̃ n u s
camará	k a m a ɾ a
camerata	k a m e ɾ a t a
canalizando	k a n a l i z ɐ̃ d o
capacitando	k a p a s i t ɐ̃ d o
caparaó	k a p a ɾ a ɔ
caramujos	k a ɾ a m u ʒ o s
carbone	k a ɻ b õ n i
cardenas	k a ɻ d ẽ n ɐ s
carismáticas	k a ɾ i z m a t͡ʃ i k a s
caucasianos	k a w k a z i ɐ n o s
celebrarmos	s e l e b ɾ a ɻ m u s
cervi	s e ɻ v i
chalita	ʃ a l i t a
chapters	ʃ a p i t e ɻ s
charlatanismo	ʃ a ɻ l a t a n i z m u
chatham	ʃ a t ɐ̃ w̃
checada	ʃ e k a d a
ciclopes	s i k l ɔ p e s
ciprestes	s i p ɾ ɛ s t e s
classificadores	k l a s i f i k a d o ɾ e s
coalas	k o a l a s
cochise	k o ʃ i z e
coenzima	k o ẽ z i m a
colapsou	k o l a p i s o
comodato	k o m o d a t o
compares	k õ p a ɾ e s
compatible	k õ p a t͡ʃ i b l e
competirão	k õ p e t͡ʃ i ɾ ɐ̃ w̃
compressões	k õ p ɾ e s õ j̃ s
conciliando	k õ s i l i ɐ̃ d o
concluida	k õ k l u j d a
concorrências	k õ k o ʁ ẽ s i a s
condenem	k õ d e n ẽ j̃
confeitos	k õ f e j t o s
confianca	k õ f i ɐ̃ k a
conhecedora	k o ɲ e s e d o ɾ a
conhecereis	k o ɲ e s e ɾ e j s
consertada	k õ s e ɻ t a d ɐ
consolá	k õ s o l a
contentava	k õ t ẽ t a v a
contrariedade	k õ t ɾ a ɾ i e d a d e
controláveis	k õ t ɾ o l a v e j s
convivemos	k õ v i v e m o s
convénio	k õ v ɛ n i o
coordenam	k o o ɻ d ẽ n ɐ̃ w̃
copiá	k o p i a
corneteiro	k o ɻ n e t e j ɾ u
corrigem	k o ʁ i ʒ ẽ j̃
coubesse	k o b ɛ s e
cozinheiras	k o z i ɲ e j ɾ a s
cultivá	k u w t͡ʃ i v a
curuzu	k u ɾ u z u
cântaros	k ɐ̃ t a ɾ o s
danosa	d a n ɔ z a
darlington	d a ɻ l ĩ t õ
dav	d a v e
decanato	d e k a n a t o
deidara	d e j d a ɾ a
delatado	d e l a t a d o
delatou	d e l a t o
demandou	d e m ɐ̃ d o
dennison	d e n i z õ
desbloqueados	d e z b l o k e a d o s
desculpam	d e s k u w p ɐ̃ w̃
desestatização	d e z e s t a t͡ʃ i z a s ɐ̃ w̃
desgastou	d e z ɡ a s t o
desmoronaram	d e z m o ɾ o n a ɾ ɐ̃ w̃
desnorteada	d e z n o ɻ t e a d ɐ
despedaçados	d e s p e d a s a d o s
despenhou	d e s p e ɲ o
despindo	d e s p ĩ d o
desprezaram	d e s p ɾ e z a ɾ ɐ̃ w̃
destacavam	d e s t a k a v ɐ̃ w̃
deteriorada	d e t e ɾ i o ɾ a d a
devasta	d e v a s t a
diminuírem	d͡ʒ i m i n u i ɾ ẽ j̃
dinarte	d͡ʒ i n a ɻ t͡ʃ i
diocesanas	d͡ʒ i o s e z ɐ n a s
dissabores	d͡ʒ i s a b o ɾ e s
dissecado	d͡ʒ i s e k a d o
dobrá	d o b ɾ a
dresser	d ɾ e s e
dummy	d ũ m i
duvidem	d u v i d ẽ j̃
econ	e k õ
ectópica	e k t ɔ p i k a
efusivamente	e f u z i v a m ẽ t e
eibar	e j b a
eine	e j n e
elkins	e w k ĩ s
embalsamado	ĩ b a w s a m a d o
emmerich	ĩ m e ɾ i ʃ
empoderada	ĩ p o d e ɾ a d a
encobertas	ĩ k o b ɛ ɻ t ɐ s
encurtado	ĩ k u ɻ t a d u
endurecida	ĩ d u ɾ e s i d a
engasgada	ĩ ɡ a z ɡ a d a
ensaiam	ĩ s a j ɐ̃ w̃
entire	ĩ t͡ʃ i ɾ e
escamosa	e s k a m ɔ z a
esfolado	e s f o l a d o
esfregaço	e s f ɾ e ɡ a s o
especies	e s p e s i e s
espelhando	e s p e ʎ ɐ̃ d o
espumando	e s p u m ɐ̃ d o
estipulações	e s t͡ʃ i p u l a s õ j̃ s
exaustivos	e z a w s t͡ʃ i v o s
exonerada	e z o n e ɾ a d a
exterminadores	e s t e ɻ m i n a d o ɾ i s
eyshila	e j ʃ i l a
fatiada	f a t͡ʃ i a d a
façais	f a s a j s
fences	f ẽ s e s
ferveu	f e ɻ v e w
ficássemos	f i k a s e m o s
flausino	f l a w z i n o
flertou	f l e ɻ t o
focava	f o k a v a
fonogramas	f o n o ɡ ɾ ɐ m a s
fredo	f ɾ e d o
fresquinhos	f ɾ e s k i ɲ o s
fróes	f ɾ ɔ j s
garbage	ɡ a ɻ b a ʒ i
gems	ʒ ẽ j̃ s
geneticistas	ʒ e n e t͡ʃ i s i s t a s
genjutsu	ʒ ẽ ʒ u t͡ʃ i s u
genoíno	ʒ e n o i n o
ghazal	ɡ a z a w
givens	ʒ i v ẽ j̃ s
gois	ɡ o j s
gordurinha	ɡ o ɻ d u ɾ ĩ ɲ ɐ
gostámos	ɡ o s t a m o s
gratidao	ɡ ɾ a t͡ʃ i d a w
gravem	ɡ ɾ a v ẽ j̃
groucho	ɡ ɾ o ʃ o
guarapiranga	ɡ w a ɾ a p i ɾ ɐ̃ ɡ a
guaritas	ɡ w a ɾ i t a s
guernsey	ɡ e ɻ n s e j
guerrinha	ɡ e ʁ i ɲ a
handel	ɐ̃ d ɛ w
harumi	a ɾ u m i
hawaiian	a w a j i ɐ̃
helping	ɛ w p ĩ
hemodinâmica	e m o d͡ʒ i n ɐ m i k a
hiding	i d͡ʒ ĩ
hiei	j e j
homoparental	o m o p a ɾ ẽ t a w
honro	õ ʁ o
horóscopos	o ɾ ɔ s k o p o s
huntley	ũ t l e j
huntsville	ũ t͡ʃ i z v i l e
igc	i ɡ e s e
ignorancia	i ɡ i n o ɾ ɐ̃ s i a
ilse	i w s e
imolação	i m o l a s ɐ̃ w̃
impermeabilização	ĩ p e ɻ m e a b i l i z a s ɐ̃ w̃
implorado	ĩ p l o ɾ a d o
inara	i n a ɾ a
incapacitante	ĩ k a p a s i t ɐ̃ t e
incompreendida	ĩ k õ p ɾ e ẽ d͡ʒ i d a
incrementado	ĩ k ɾ e m ẽ t a d o
incumbiu	ĩ k ũ b i w
indicadora	ĩ d͡ʒ i k a d o ɾ a
indicá	ĩ d͡ʒ i k a
infiltraram	ĩ f i w t ɾ a ɾ ɐ̃ w̃
infla	ĩ f l a
infâncias	ĩ f ɐ̃ s i a s
iniciações	i n i s i a s õ j̃ s
inline	ĩ l i n e
invalidada	ĩ v a l i d a d a
inválidas	ĩ v a l i d a s
iro	i ɾ o
irônicos	i ɾ o n i k o s
isao	i z a w
isole	i z ɔ l e
jaa	ʒ a a
jajá	ʒ a ʒ a
jonathas	ʒ o n a t a s
jordaniana	ʒ o ɻ d a n i ɐ̃ n ɐ
jundiai	ʒ ũ d͡ʒ i a j
kaufmann	k a w f i m ɐ̃ n
kibe	k i b e
kitana	k i t ɐ n a
kondzilla	k õ d͡ʒ i z i l a
kraven	k ɾ a v ẽ j̃
kubik	k u b i k e
kwanzas	k w ɐ̃ z a s
lageado	l a ʒ e a d o
lagrange	l a ɡ ɾ ɐ̃ ʒ e
lambia	l ɐ̃ b i a
lancia	l ɐ̃ s i a
lavamos	l a v ɐ m o s
legislaturas	l e ʒ i z l a t u ɾ a s
lehmann	l e m ɐ̃ n
lico	l i k o
lidei	l i d e j
ligante	l i ɡ ɐ̃ t e
lippi	l i p i
lipídica	l i p i d͡ʒ i k a
lisandra	l i z ɐ̃ d ɾ a
lisca	l i s k a
lograram	l o ɡ ɾ a ɾ ɐ̃ w̃
lor	l o ɻ
lura	l u ɾ a
lysa	l i z a
lémures	l ɛ m u ɾ e s
maceira	m a s e j ɾ a
machucaria	m a ʃ u k a ɾ i a
maioritária	m a j o ɾ i t a ɾ i a
malan	m a l ɐ̃
maleáveis	m a l e a v e j s
malheiro	m a ʎ e j ɾ o
malhoa	m a ʎ o a
mamadeiras	m a m a d e j ɾ a s
manama	m a n ɐ m a
manicômios	m a n i k o m i o s
marietta	m a ɾ i ɛ t a
mariska	m a ɾ i s k a
mediúnica	m e d͡ʒ i u n i k a
mejores	m e ʒ ɔ ɾ e s
mentalizar	m ẽ t a l i z a
metoo	m e t o o
micheli	m i ʃ e l i
microgramas	m i k ɾ o ɡ ɾ ɐ m a s
micronutrientes	m i k ɾ o n u t ɾ i ẽ t e s
milito	m i l i t o
minimizada	m i n i m i z a d a
minimizado	m i n i m i z a d o
mobilizem	m o b i l i z ẽ j̃
monopoly	m o n o p o l i
mormont	m o ɻ m õ
mosaica	m o z a j k a
motu	m o t u
mudarei	m u d a ɾ e j
muitissimo	m u j t͡ʃ i s i m o
mulatas	m u l a t a s
multiplex	m u w t͡ʃ i p l ɛ k s
nascerão	n a s e ɾ ɐ̃ w̃
nieves	n i ɛ v e s
nigerianas	n i ʒ e ɾ i ɐ n a s
nio	n i u
nucleo	n u k l e o
nísia	n i z i a
obrigadinho	o b ɾ i ɡ a d͡ʒ i ɲ o
obvia	o b i v i a
ofendidas	o f ẽ d͡ʒ i d a s
olhadas	o ʎ a d a s
omari	o m a ɾ i
opioides	o p i ɔ j d e s
oportunamente	o p o ɻ t u n a m ẽ t͡ʃ i
opressões	o p ɾ e s õ j̃ s
ornelas	o ɻ n ɛ l ɐ s
ottoni	o t o n i
ouattara	o w a t a ɾ a
ouvíamos	o v i a m o s
paisagistas	p a j z a ʒ i s t a s
paqueras	p a k ɛ ɾ a s
paquitas	p a k i t a s
parce	p a ɻ s i
pareçe	p a ɾ ɛ s e
parido	p a ɾ i d o
parking	p a ɻ k ĩ
patenteou	p a t ẽ t e o
penalizada	p e n a l i z a d a
pens	p ẽ j̃ s
perceberia	p e ɻ s e b e ɾ i ɐ
perdoaram	p e ɻ d o a ɾ ɐ̃ w̃
perin	p e ɾ ĩ
pesquei	p e s k e j
phipps	f i p i s
pigossi	p i ɡ o s i
pinkie	p ĩ k i
piçarras	p i s a ʁ a s
plato	p l a t o
ponciano	p õ s i ɐ n o
ponderando	p õ d e ɾ ɐ̃ d o
pontuador	p õ t u a d o ɻ
pormenorizada	p o ɻ m e n o ɾ i z a d ɐ
porosos	p o ɾ o z o s
poupava	p o p a v a
precises	p ɾ e s i z e s
precursoras	p ɾ e k u ɻ s o ɾ ɐ s
presidiária	p ɾ e z i d͡ʒ i a ɾ i a
prestigiando	p ɾ e s t͡ʃ i ʒ i ɐ̃ d o
presumiu	p ɾ e z u m i w
principezinho	p ɾ ĩ s i p e z i ɲ o
prisao	p ɾ i z a w
priya	p ɾ i j a
procuremos	p ɾ o k u ɾ e m o s
prodigy	p ɾ o d͡ʒ i ʒ i
promissórias	p ɾ o m i s ɔ ɾ i a s
providas	p ɾ o v i d a s
préstimos	p ɾ ɛ s t͡ʃ i m o s
psirico	p i s i ɾ i k o
pularem	p u l a ɾ ẽ j̃
punem	p u n ẽ j̃
puristas	p u ɾ i s t a s
putinho	p u t͡ʃ i ɲ o
páis	p a j s
quimico	k i m i k o
quitutes	k i t u t e s
raba	ʁ a b a
radisson	ʁ a d͡ʒ i s õ
reanimá	ʁ e a n i m a
reaproveitados	ʁ e a p ɾ o v e j t a d o s
reavivamento	ʁ e a v i v a m ẽ t o
rech	ʁ ɛ ʃ
recolherem	ʁ e k o ʎ e ɾ ẽ j̃
recondução	ʁ e k õ d u s ɐ̃ w̃
reconfigurar	ʁ e k õ f i ɡ u ɾ a
recriada	ʁ e k ɾ i a d a
reescreve	ʁ e e s k ɾ ɛ v e
reinterpretação	ʁ e ĩ t e ɻ p ɾ e t a s ɐ̃ w̃
relacionaram	ʁ e l a s i o n a ɾ ɐ̃ w̃
reluta	ʁ e l u t a
remarkable	ʁ e m a ɻ k a b l i
renascida	ʁ e n a s i d a
renega	ʁ e n ɛ ɡ a
repararem	ʁ e p a ɾ a ɾ ẽ j̃
repetirem	ʁ e p e t͡ʃ i ɾ ẽ j̃
representative	ʁ e p ɾ e z ẽ t a t͡ʃ i v e
reprovados	ʁ e p ɾ o v a d o s
reprovei	ʁ e p ɾ o v e j
respondidos	ʁ e s p õ d͡ʒ i d o s
ressurgindo	ʁ e s u ɻ ʒ ĩ d u
restaure	ʁ e s t a w ɾ e
retorcido	ʁ e t o ɻ s i d u
reunisse	ʁ e w n i s e
reutilizada	ʁ e w t͡ʃ i l i z a d a
revejam	ʁ e v e ʒ ɐ̃ w̃
reviveram	ʁ e v i v e ɾ ɐ̃ w̃
rigoletto	ʁ i ɡ o l ɛ t o
riki	ʁ i k i
riodejaneiro	ʁ i o d e ʒ a n e j ɾ o
risadinhas	ʁ i z a d͡ʒ i ɲ a s
rodaram	ʁ o d a ɾ ɐ̃ w̃
rolinha	ʁ o l i ɲ a
rolla	ʁ ɔ l a
rolândia	ʁ o l ɐ̃ d͡ʒ i a
rona	ʁ o n a
rosnando	ʁ o z n ɐ̃ d o
rossa	ʁ ɔ s a
roz	ʁ ɔ j s
rutledge	ʁ u t l ɛ d͡ʒ e
saboreia	s a b o ɾ ɛ j a
salamander	s a l a m ɐ̃ d e
sangues	s ɐ̃ ɡ e s
sapopemba	s a p o p ẽ b a
satin	s a t͡ʃ ĩ
sausalito	s a w z a l i t o
schimidt	ʃ i m i d͡ʒ i t͡ʃ
schirmer	ʃ i ɻ m e
seagate	s e a ɡ a t e
secarem	s e k a ɾ ẽ j̃
seduzidos	s e d u z i d o s
segmentados	s e ɡ i m ẽ t a d o s
seuss	s e w s
sheron	ʃ e ɾ õ
siamesas	s i a m e z a s
sidarta	s i d a ɻ t ɐ
sidrolândia	s i d ɾ o l ɐ̃ d͡ʒ i a
simbolizado	s ĩ b o l i z a d o
simbolizou	s ĩ b o l i z o
smashing	i z m ɛ ʃ ĩ
sobreposições	s o b ɾ e p o z i s õ j̃ s
somin	s o m ĩ
spec	i s p ɛ k
spengler	i s p ẽ ɡ l e
stamper	i s t ɐ̃ p e
stefanini	i s t e f a n i n i
stevia	i s t e v i a
strix	i s t ɾ i k s
strode	i s t ɾ ɔ d e
subornados	s u b o ɻ n a d u s
subornou	s u b o ɻ n o
substituirão	s u b i s t͡ʃ i t u i ɾ ɐ̃ w̃
sucessório	s u s e s ɔ ɾ i o
surtado	s u ɻ t a d u
sylvain	s i w v a ĩ
taiko	t a j k o
tajiques	t a ʒ i k e s
talkie	t a w k i
també	t ɐ̃ b ɛ
tancos	t ɐ̃ k o s
temidas	t e m i d a s
tensei	t ẽ s e j
teodósio	t e o d ɔ z i o
thanatos	t a n a t o s
torrentes	t o ʁ ẽ t e s
totta	t ɔ t a
transformassem	t ɾ ɐ̃ s f o ɻ m a s ẽ j̃
transmitiam	t ɾ ɐ̃ z m i t͡ʃ i ɐ̃ w̃
transmitimos	t ɾ ɐ̃ z m i t͡ʃ i m o s
trituração	t ɾ i t u ɾ a s ɐ̃ w̃
trix	t ɾ i k s
trufado	t ɾ u f a d o
tugas	t u ɡ a s
turne	t u ɻ n i
tuto	t u t o
ultraleve	u w t ɾ a l ɛ v e
ultrapassará	u w t ɾ a p a s a ɾ a
unificou	u n i f i k o
uzbeques	u z b ɛ k e s
vadão	v a d ɐ̃ w̃
valenti	v a l ẽ t͡ʃ i
vico	v i k o
vigilia	v i ʒ i l i a
viravam	v i ɾ a v ɐ̃ w̃
viris	v i ɾ i s
visualizam	v i z u a l i z ɐ̃ w̃
vitimado	v i t͡ʃ i m a d o
volcano	v o w k ɐ n o
vomitava	v o m i t a v a
vovós	v o v ɔ j s
walla	w a l a
woodsen	w u d͡ʒ i z ẽ j̃
yesung	j e z ũ
yondu	j õ d u
zahra	z a ɾ a
zaira	z a j ɾ a
ziad	z i a d͡ʒ
zueira	z u e j ɾ a
éderson	ɛ d e ɻ s õ
aai	a a j
