να	n a
ασταμάτητη	a s t a m a t i t i
αστυνομικο	a s t i n o m i k o
αυτοέλεγχο	a f t o e l e ŋ x o
αχώριστοι	a x o ɾ i s t i
αϋπνίεσ	a i p n i e s
βαθμο	v a θ m o
βασίλι	v a s i l i
βγαλε	v ɣ a l e
βελγικό	v e l ʝ i k o
βερναρδάκησ	v e ɾ n a ɾ ð a c i s
βλασφημία	v l a s f i m i a
βοτάνων	v o t a n o n
βούλεσ	v u l e s
βούλιαξε	v u ʎ a k s e
βρηκαμε	v ɾ i k a m e
βρισκόμασταν	v ɾ i s k o m a s t a n
βύρωνασ	v i ɾ o n a s
γεματο	ʝ e m a t o
γενναιόδωροσ	ʝ e n e o ð o ɾ o s
γενσ	ʝ e n s
γκρί	ɡ ɾ i
γκόμενόσ	ɡ o m e n o s
γλίτωσαν	ɣ l i t o s a n
γονεων	ɣ o n e o n
γουέν	ɣ u e n
γουστάρουμε	ɣ u s t a ɾ u m e
γραμμαρίων	ɣ ɾ a m a ɾ i o n
γραφόμενα	ɣ ɾ a f o m e n a
δάφνεσ	ð a f n e s
δίνε	ð i n e
δασικά	ð a s i k a
δαχτυλιδιού	ð a x t i l i ð ʝ u
δευτερεύουσεσ	ð e f t e ɾ e v u s e s
δημοσιεύσεων	ð i m o s i e f s e o n
διαβεβαίωση	ð i̯ a v e v e o s i
διαδήλωσησ	ð i̯ a ð i l o s i s
διαδίδουν	ð i̯ a ð i ð u n
διακόπτουν	ð i̯ a k o p t u n
διανέμει	ð i̯ a n e m i
διατροφικό	ð i̯ a t ɾ o f i k o
διετίασ	ð i e t i a s
διευκρινήσεισ	ð i e f k ɾ i n i s i s
δικαιολογήσουν	ð i c e o l o ʝ i s u n
διμερή	ð i m e ɾ i
διοικούν	ð i i k u n
διπλωμάτων	ð i p l o m a t o n
διωγμούσ	ð i o ɣ m u s
δούν	ð u n
δυσαρεστημένοι	ð i s a ɾ e s t i m e n i
δωρίσει	ð o ɾ i s i
εβγαλα	e v ɣ a l a
εδαφικέσ	e ð a f i c e s
εθίμων	e θ i m o n
ειδοποίησαν	i ð o p i i s a n
ειρηνικήσ	i ɾ i n i c i s
εισαστε	i s a s t e
εκα	e k a
εκπαιδευσησ	e k p e ð e f s i s
εκτεθειμένοι	e k t e θ i m e n i
εκτεθούν	e k t e θ u n
ελαφρύτερο	e l a f ɾ i t e ɾ o
ελεονώρασ	e l e o n o ɾ a s
εμιράτων	e m i ɾ a t o n
εμπιστευόταν	e m b i s t e v o t a n
ενεργοποιήστε	e n e ɾ ɣ o p i i s t e
ενεργώντασ	e n e ɾ ɣ o n d a s
ενωθούμε	e n o θ u m e
εξαντλήθηκαν	e k s a n d l i θ i k a n
εξαρθρώθηκε	e k s a ɾ θ ɾ o θ i c e
επακόλουθα	e p a k o l u θ a
επανέλθουμε	e p a n e l θ u m e
επαρκέσ	e p a ɾ c e s
επιδεικτικά	e p i ð i k t i k a
επιεικήσ	e p i i c i s
επικ	e p i k
επισημάνω	e p i s i m a n o
επιτυχημένουσ	e p i t i ç i m e n u s
εποπτεύει	e p o p t e v i
εργάσιμεσ	e ɾ ɣ a s i m e s
ερεύνησε	e ɾ e v n i s e
ερωτασ	e ɾ o t a s
ετοιμα	e t i m a
ετούτη	e t u t i
ευκαρπία	e f k a ɾ p i a
ευρήματά	e v ɾ i m a t a
εφαγα	e f a ɣ a
εφαγε	e f a ʝ e
ζεστη	z e s t i
ζιβάγκο	z i v a ŋ ɡ o
ζώησ	z o i s
ηλεκτρονικα	i l e k t ɾ o n i k a
ηλιου	i ʎ u
ηχεί	i ç i
θάλαμοι	θ a l a m i
θέ	θ e
θέλημά	θ e l i m a
θαύμαζε	θ a v m a z e
θείουσ	θ i u s
θειοσ	θ i o s
θνητόσ	θ n i t o s
ιεροκήρυκασ	i e ɾ o c i ɾ i k a s
ισοδύναμη	i s o ð i n a m i
ισότιμα	i s o t i m a
κάρσον	k a ɾ s o n
καβαλα	k a v a l a
καθημερινών	k a θ i m e ɾ i n o n
καθισμένοσ	k a θ i z m e n o s
καθυστέρησαν	k a θ i s t e ɾ i s a n
κακοποιούσ	k a k o p i u s
καλογερόπουλοσ	k a l o ʝ e ɾ o p u l o s
καμένων	k a m e n o n
καμίνη	k a m i n i
κανάκησ	k a n a c i s
κανάτα	k a n a t a
καπιταλιστέσ	k a p i t a l i s t e s
κατακτητήσ	k a t a k t i t i s
καταλάθοσ	k a t a l a θ o s
κατανοούν	k a t a n o u n
καταπολεμήσει	k a t a p o l e m i s i
κατασκευάζοντασ	k a t a s c e v a z o n d a s
κατεβάζουμε	k a t e v a z u m e
κατευθύνθηκαν	k a t e f θ i n θ i k a n
κατεχάκη	k a t e x a c i
κατορθώματά	k a t o ɾ θ o m a t a
καυτόσ	k a f t o s
κεντήματα	c e n d i m a t a
κεραμεικόσ	c e ɾ a m i k o s
κεσ	c e s
κεφαλογιάννησ	c e f a l o ʝ a n i s
κλάψε	k l a p s e
κλέβετε	k l e v e t e
κλασικούσ	k l a s i k u s
κλασσικών	k l a s i k o n
κοινοβουλευτικών	c i n o v u l e f t i k o n
κοντεύουμε	k o n d e v u m e
κορίνα	k o ɾ i n a
κοραή	k o ɾ a i
κορόνα	k o ɾ o n a
κουβάδεσ	k u v a ð e s
κουβεντα	k u v e n d a
κουκούτσια	k u k u t͡s ç a
κουπονιού	k u p o ɲ u
κριτών	k ɾ i t o n
κρόου	k ɾ o u
κυβερνησησ	c i v e ɾ n i s i s
κυπριακόσ	c i p ɾ i a k o s
κυτταρικό	c i t a ɾ i k o
κωφών	k o f o n
κότασ	k o t a s
λάκτισμα	l a k t i z m a
λάππα	l a p a
λάχανα	l a x a n a
λαμια	l a m ɲ a
λαογραφίασ	l a o ɣ ɾ a f i a s
λαχταριστό	l a x t a ɾ i s t o
λουλουδια	l u l u ð ʝ a
λσ	l s
λυκόφωτοσ	l i k o f o t o s
μάαστριχτ	m a a s t ɾ i x t
μάλα	m a l a
μάραθο	m a ɾ a θ o
μέθησ	m e θ i s
μέντασ	m e n d a s
μαεστρία	m a e s t ɾ i a
μακρύτερο	m a k ɾ i t e ɾ o
μαλακόσ	m a l a k o s
μαλδίβεσ	m a l ð i v e s
μεθώνησ	m e θ o n i s
μεινετε	m i n e t e
μειωμένου	m i o m e n u
μελομακάρονα	m e l o m a k a ɾ o n a
μεταβάλλει	m e t a v a l i
μεταβλητόσ	m e t a v l i t o s
μηχανοκίνητο	m i x a n o c i n i t o
μιλια	m i ʎ a
μισθωτούσ	m i s θ o t u s
μοτοσυκλετών	m o t o s i k l e t o n
μουσαμά	m u s a m a
μπέρτολτ	b e ɾ t o l t
μπαινει	b e n i
μπαταρια	b a t a ɾ ʝ a
μπλοκάκι	b l o k a c i
μπλουζεσ	b l u z e s
νία	n i a
ναζισμόσ	n a z i z m o s
νείλοσ	n i l o s
νεοελληνικού	n e o e l i n i k u
νεολιθική	n e o l i θ i c i
νευριάζει	n e v ɾ i a z i
νευρώνων	n e v ɾ o n o n
νεώτερο	n e o t e ɾ o
νη	n i
νικολαοσ	n i k o l a o s
νομιμοποίησησ	n o m i m o p i i s i s
νομολογία	n o m o l o ʝ i a
ντάνα	d a n a
ντόρισ	d o ɾ i s
νόσων	n o s o n
ξάδερφό	k s a ð e ɾ f o
ξάδερφόσ	k s a ð e ɾ f o s
ξέμεινε	k s e m i n e
ξαπλώνεισ	k s a p l o n i s
ξενώνεσ	k s e n o n e s
ξεπερασμένο	k s e p e ɾ a z m e n o
ξυλάκι	k s i l a c i
ξυπνάτε	k s i p n a t e
ξυπνούσα	k s i p n u s a
οθωμανοί	o θ o m a n i
οινοποιείο	i n o p i i o
ολντ	o l d
ομαλό	o m a l o
ομηρίασ	o m i ɾ i a s
ομόλογό	o m o l o ɣ o
ουσίαν	u s i a n
πά	p a
πάπυρο	p a p i ɾ o
πέσατε	p e s a t e
παγιδευτεί	p a ʝ i ð e f t i
παγώνουν	p a ɣ o n u n
παλαιστίνιοσ	p a l e s t i n i o s
πανεπιστημιακόσ	p a n e p i s t i m i a k o s
παραδέξου	p a ɾ a ð e k s u
παρανομίεσ	p a ɾ a n o m i e s
παρενόχλησησ	p a ɾ e n o x l i s i s
παρεξηγήσει	p a ɾ e k s i ʝ i s i
παρόλη	p a ɾ o l i
πατούλη	p a t u l i
παύουν	p a v u n
πεσμένοσ	p e z m e n o s
πετούσα	p e t u s a
πετρίδη	p e t ɾ i ð i
πλανάται	p l a n a t e
πλησίαζαν	p l i s i a z a n
πολιτισμένο	p o l i t i z m e n o
πορ	p o ɾ
πορίσματα	p o ɾ i z m a t a
πορφυρό	p o ɾ f i ɾ o
ποσοτικήσ	p o s o t i c i s
πούπουλα	p u p u l a
προάγγελοσ	p ɾ o a ŋ ɟ e l o s
προγραμματίζεται	p ɾ o ɣ ɾ a m a t i z e t e
προετοιμασμένη	p ɾ o e t i m a z m e n i
προοδευτικέσ	p ɾ o o ð e f t i c e s
προσβλητική	p ɾ o z v l i t i c i
προσδιορίσουμε	p ɾ o z ð i o ɾ i s u m e
προσκόλληση	p ɾ o s k o l i s i
προσπαθησε	p ɾ o s p a θ i s e
προστατευθεί	p ɾ o s t a t e f θ i
προσφερει	p ɾ o s f e ɾ i
προτεκτοράτο	p ɾ o t e k t o ɾ a t o
πρωτοδικείου	p ɾ o t o ð i c i u
πρόθεσησ	p ɾ o θ e s i s
πτηνό	p t i n o
πυρίτιδασ	p i ɾ i t i ð a s
πυροσβεστήρα	p i ɾ o z v e s t i ɾ a
πόζεσ	p o z e s
ραγίσει	ɾ a ʝ i s i
ρασίντ	ɾ a s i n d
ραφή	ɾ a f i
ρεθυμνο	ɾ e θ i m n o
ρευμα	ɾ e v m a
ριξε	ɾ i k s e
ρουμελιώτησ	ɾ u m e ʎ o t i s
ρυθμιστή	ɾ i θ m i s t i
σέβεστε	s e v e s t e
σαφέστατα	s a f e s t a t a
σηκω	s i k o
σημειωσεισ	s i m i o s i s
σιδηρά	s i ð i ɾ a
σικάγου	s i k a ɣ u
σκαμνί	s k a m n i
σκαρφαλώσει	s k a ɾ f a l o s i
σκελετούσ	s c e l e t u s
σκηνοθετική	s c i n o θ e t i c i
σκοπεύουμε	s k o p e v u m e
σκοπιμότητα	s k o p i m o t i t a
σολωμό	s o l o m o
σοπέν	s o p e n
σουίφτ	s u i f t
στηριζόμενοσ	s t i ɾ i z o m e n o s
στρατοί	s t ɾ a t i
συμβατέσ	s i ɱ v a t e s
συμβουλοσ	s i ɱ v u l o s
συμπαθητικό	s i m b a θ i t i k o
συμφοράσ	s i ɱ f o ɾ a s
συνέθεσε	s i n e θ e s e
συναισθήματοσ	s i n e s θ i m a t o s
συναντηθήκαμε	s i n a n d i θ i k a m e
συναπτά	s i n a p t a
συνειδητοποιήσω	s i n i ð i t o p i i s o
συνεταιρισμούσ	s i n e t e ɾ i z m u s
συνομιλίασ	s i n o m i l i a s
συνομιλεί	s i n o m i l i
συνταξη	s i n d a k s i
σωκράτουσ	s o k ɾ a t u s
σωματικών	s o m a t i k o n
τάισε	t a i s e
τακτοποιήσει	t a k t o p i i s i
ταμ	t a m
τανάγρασ	t a n a ɣ ɾ a s
ταράτσεσ	t a ɾ a t͡s e s
ταραντίνο	t a ɾ a n d i n o
ταυτοποίησησ	t a f t o p i i s i s
ταυτοχρονα	t a f t o x ɾ o n a
τεχνησ	t e x n i s
τεχνοτροπία	t e x n o t ɾ o p i a
τζε	d͡z e
τηγανίτεσ	t i ɣ a n i t e s
τηλεφωνα	t i l e f o n a
τηλεφωνικών	t i l e f o n i k o n
τιράνων	t i ɾ a n o n
τοποσ	t o p o s
τουτο	t u t o
τραβήχτηκαν	t ɾ a v i x t i k a n
τρομακτικόσ	t ɾ o m a k t i k o s
τροχιέσ	t ɾ o ç e s
τρούφα	t ɾ u f a
υα	i a
υγειονομικού	i ʝ i o n o m i k u
υγρόσ	i ɣ ɾ o s
υποθετική	i p o θ e t i c i
υποκίνηση	i p o c i n i s i
υπολογισμών	i p o l o ʝ i z m o n
υπομονετικόσ	i p o m o n e t i k o s
υποστηρίζετε	i p o s t i ɾ i z e t e
υποτιμούν	i p o t i m u n
υποψίασ	i p o p s i a s
φάγανε	f a ɣ a n e
φασαρίεσ	f a s a ɾ i e s
φοβίζουν	f o v i z u n
φορτούνη	f o ɾ t u n i
φρεσκάδασ	f ɾ e s k a ð a s
φτερών	f t e ɾ o n
φυλάξτε	f i l a k s t e
φωκά	f o k a
φωνήεντα	f o n i e n d a
φωτεινότητασ	f o t i n o t i t a s
φωτορεπορτάζ	f o t o ɾ e p o ɾ t a z
χάινριχ	x a i̯ n ɾ i x
χίγκινσ	ç i ŋ ɟ i n s
χαιρόταν	ç e ɾ o t a n
χαλκιδέων	x a l c i ð e o n
χειροτεχνίασ	ç i ɾ o t e x n i a s
χούβερ	x u v e ɾ
χρωματισμό	x ɾ o m a t i z m o
χτέσ	x t e s
χωρίου	x o ɾ i u
χόλαντ	x o l a n d
ψεμματα	p s e m a t a
ψωμι	p s o m i
άνθισε	a n θ i s e
άπλα	a p l a
άτυχοι	a t i ç i
άφραγκοσ	a f ɾ a ŋ ɡ o s
έκπληξή	e k p l i k s i
έλκη	e l c i
έλτον	e l t o n
ένωσαν	e n o s a n
ίδιον	i ð i o n
ίντι	i n d i
ίωση	i o s i
αγγελίδησ	a ŋ ɟ e l i ð i s
αγοράστηκαν	a ɣ o ɾ a s t i k a n
αδικεί	a ð i c i
αδρανήσ	a ð ɾ a n i s
ακατοίκητο	a k a t i c i t o
ακουστικήσ	a k u s t i c i s
ακραίουσ	a k ɾ e u s
αλαφούζου	a l a f u z u
αλεξανδρήσ	a l e k s a n ð ɾ i s
αλλαγησ	a l a ʝ i s
αλλαξα	a l a k s a
αλληγορία	a l i ɣ o ɾ i a
αλμα	a l m a
ανάκρισησ	a n a k ɾ i s i s
ανέπαφο	a n e p a f o
ανέφικτο	a n e f i k t o
αναδημοσίευση	a n a ð i m o s i e f s i
ανακαλύπτοντασ	a n a k a l i p t o n d a s
αναλάβεισ	a n a l a v i s
αναστήλωσησ	a n a s t i l o s i s
ανελκυστήρασ	a n e l c i s t i ɾ a s
αντικειμενικότητα	a n d i c i m e n i k o t i t a
αντικειμενο	a n d i c i m e n o
αντισταθώ	a n d i s t a θ o
αντισυλληπτικά	a n d i s i l i p t i k a
αντράκι	a n d ɾ a c i
αντρέσ	a n d ɾ e s
ανωτάτη	a n o t a t i
ανωτέρασ	a n o t e ɾ a s
ανώδυνο	a n o ð i n o
απέστειλαν	a p e s t i l a n
απανωτέσ	a p a n o t e s
απλούστερη	a p l u s t e ɾ i
αποδεχθούν	a p o ð e x θ u n
αποκάλυπτε	a p o k a l i p t e
αποκλείουν	a p o k l i u n
αποκτάει	a p o k t a i
αποκόλληση	a p o k o l i s i
απονέμει	a p o n e m i
αποσπασματικά	a p o s p a z m a t i k a
αποτρέψουμε	a p o t ɾ e p s u m e
αποτρόπαιο	a p o t ɾ o p e o
απωθεί	a p o θ i
απόκτησή	a p o k t i s i
απόλυτεσ	a p o l i t e s
απόσταξη	a p o s t a k s i
αρτηριών	a ɾ t i ɾ ʝ o n
αρωμα	a ɾ o m a
αστρονομικό	a s t ɾ o n o m i k o
αστυνόμου	a s t i n o m u
αστών	a s t o n
ασύρματοσ	a s i ɾ m a t o s
αυξανόμενησ	a f k s a n o m e n i s
αφγανοί	a f ɣ a n i
αφρικανικήσ	a f ɾ i k a n i c i s
αφόρητα	a f o ɾ i t a
αφύπνισησ	a f i p n i s i s
βάλτερ	v a l t e ɾ
βάρκιζα	v a ɾ c i z a
βέλγοι	v e l ʝ i
βαθμολογικό	v a θ m o l o ʝ i k o
βαθοσ	v a θ o s
βαλτικήσ	v a l t i c i s
βγώ	v ɣ o
βδομαδεσ	v ð o m a ð e s
βιάζουν	v i a z u n
βολταίροσ	v o l t e ɾ o s
βορειοδυτικό	v o ɾ i o ð i t i k o
βουλώσει	v u l o s i
βραβεύτηκαν	v ɾ a v e f t i k a n
βραχίονασ	v ɾ a ç i o n a s
βυσσινί	v i s i n i
γαληνόσ	ɣ a l i n o s
γαλοπούλεσ	ɣ a l o p u l e s
γεωλογική	ʝ e o l o ʝ i c i
γιαννακόπουλο	ʝ a n a k o p u l o
γκρέγκορ	ɡ ɾ e ŋ ɡ o ɾ
γλωσσικών	ɣ l o s i k o n
γουρουνάκια	ɣ u ɾ u n a c a
γρήγορου	ɣ ɾ i ɣ o ɾ u
γραμματικήσ	ɣ ɾ a m a t i c i s
δέρνουν	ð e ɾ n u n
δέσ	ð e s
δέσω	ð e s o
δίδυμων	ð i ð i m o n
δίκαιεσ	ð i c e e s
δίοδοσ	ð i o ð o s
δίου	ð i u
δείπνα	ð i p n a
δεινόσαυροι	ð i n o s a v ɾ i
δημητρη	ð i m i t ɾ i
διάδοχό	ð i̯ a ð o x o
διαβαζω	ð i̯ a v a z o
διαβασε	ð i̯ a v a s e
διαδέχθηκε	ð i̯ a ð e x θ i c e
διαδικτυακού	ð i̯ a ð i k t i a k u
διαζύγιό	ð i̯ a z i ʝ o
διακεκριμένο	ð i̯ a c e k ɾ i m e n o
διακριτή	ð i̯ a k ɾ i t i
διεγερτικό	ð i e ʝ e ɾ t i k o
διεκδικητέσ	ð i e k ð i c i t e s
δικαίωσε	ð i c e o s e
δικαιούχοσ	ð i c e u x o s
δικαστούν	ð i k a s t u n
δισκόφρενα	ð i s k o f ɾ e n a
διψήφιο	ð i p s i f i o
δολοφονικό	ð o l o f o n i k o
δολοφονούν	ð o l o f o n u n
δυναμικότητα	ð i n a m i k o t i t a
δυσκολεύεσαι	ð i s k o l e v e s e
δυσλειτουργίασ	ð i s l i t u ɾ ʝ i a s
δυτ	ð i t
εγγραφη	e ŋ ɣ r a f i
εγκληματολογίασ	e ŋ ɡ l i m a t o l o ʝ i a s
εγκλωβισμένοσ	e ŋ ɡ l o v i z m e n o s
εδαφοσ	e ð a f o s
ειδικη	i ð i c i
ειδικότητά	i ð i k o t i t a
εικαστικό	i k a s t i k o
ειπωθούν	i p o θ u n
ειρηνοδικείο	i ɾ i n o ð i c i o
εισήχθησαν	i s i x θ i s a n
εκδίωξη	e k ð i o k s i
εκε	e c e
εκκαθαριστικά	e k a θ a ɾ i s t i k a
εκκενώθηκε	e c e n o θ i c e
εκφωνητήσ	e k f o n i t i s
ελαφρό	e l a f ɾ o
ελευθερώσουν	e l e f θ e ɾ o s u n
ενδιαφέρονταν	e n ð i̯ a f e ɾ o n d a n
ενεργοποιούνται	e n e ɾ ɣ o p i u n d e
ενοχλημένοσ	e n o x l i m e n o s
εξάγουν	e k s a ɣ u n
εξαίρετοσ	e k s e ɾ e t o s
εξαντλήθηκε	e k s a n d l i θ i c e
εξειδίκευσησ	e k s i ð i c e f s i s
εξειδικευμένων	e k s i ð i c e v m e n o n
εξεταστικό	e k s e t a s t i k o
εξουδετερώνει	e k s u ð e t e ɾ o n i
επέμεναν	e p e m e n a n
επίδαυροσ	e p i ð a v ɾ o s
επίθετό	e p i θ e t o
επαναστατικών	e p a n a s t a t i k o n
επιθετικότητασ	e p i θ e t i k o t i t a s
επιρρεπείσ	e p i ɾ e p i s
επιτελεί	e p i t e l i
επιτροπησ	e p i t ɾ o p i s
επιφανεια	e p i f a n i a
επώνυμεσ	e p o n i m e s
ερευνάται	e ɾ e v n a t e
εταιρικά	e t e ɾ i k a
ετη	e t i
ευαγγελιστήσ	e v a ŋ ɟ e l i s t i s
ευρωβουλευτών	e v ɾ o v u l e f t o n
ευχάριστοσ	e f x a ɾ i s t o s
εφίδρωση	e f i ð ɾ o s i
εφεδρική	e f e ð ɾ i c i
εφορείασ	e f o ɾ i a s
ζηλιάρα	z i ʎ a ɾ a
ηα	i a
ηγετικά	i ʝ e t i k a
ηθικοί	i θ i c i
ησυχάσω	i s i x a s o
ητανε	i t a n e
ηφαιστειακή	i f e s t i a c i
θεμιστοκλέουσ	θ e m i s t o k l e u s
θεράπευσε	θ e ɾ a p e f s e
θεραπευτέσ	θ e ɾ a p e f t e s
θηλέσ	θ i l e s
θλιβερέσ	θ l i v e ɾ e s
ιατρείου	i a t ɾ i u
ιδιωτικοποιήσεων	i ð i o t i k o p i i s e o n
ιερογλυφικά	i e ɾ o ɣ l i f i k a
ιεροτελεστία	i e ɾ o t e l e s t i a
ικανών	i k a n o n
ισμαήλ	i z m a i l
ισορροπημένο	i s o ɾ o p i m e n o
ιφ	i f
καθετήρα	k a θ e t i ɾ a
καθολικούσ	k a θ o l i k u s
καθορισμένεσ	k a θ o ɾ i z m e n e s
κακλαμάνησ	k a k l a m a n i s
κακοσ	k a k o s
καλπάζει	k a l p a z i
καλωσόρισεσ	k a l o s o ɾ i s e s
καμαρώνει	k a m a ɾ o n i
καρατίων	k a ɾ a t i o n
κασμίρ	k a z m i ɾ
κατέθεσα	k a t e θ e s a
κατανέμεται	k a t a n e m e t e
κατανοητά	k a t a n o i t a
καταργώντασ	k a t a ɾ ɣ o n d a s
κατασκευάστρια	k a t a s c e v a s t ɾ i a
κατευθυνθεί	k a t e f θ i n θ i
κατώτερησ	k a t o t e ɾ i s
κεδ	c e ð
κειμήλιο	c i m i l i o
