af	a f
barndoms	b a r n d ɔ m s
bedrager	b e d r aː ɣ ə r
begribe	b e ɡ r iː b ə
begære	b e ɡ ɛː r ə
bern	b ɛ r n
betragtelig	b e t r a ɡ t ə l i
bevogte	b e v ɔ k t ə
bobo	b oː b o
bortførte	b ɔ r t f œ r t ə
brochurer	b r ɔ s j uː r ə r
bugter	b o k t ə r
christensens	k r e s t ə n s ɛ n s
constantine	k ɔ n s t a n t iː n ə
demokrat	d e m o k r aː t
depoter	d e p oː t ə r
dimitri	d i m i t r iː
domænet	d o m ɛː n ə ð
donnie	d ɔ n i ə
dræne	d r ɛː n ə
duran	d u r aː n
dømmende	d œ m ə n ə
ecstasy	ɛ k s t a s yː
egeskov	eː ɡ ə s k ɔ v
ejby	a j b yː
enterprises	ɛ n t ə r p r iː s ə s
evo	eː v o
fanme	f a n m ə
fasen	f aː s ə n
finansielt	f i n a n s j ɛ lˀ t
fjeldet	f j ɛ l ə ð
forhistorie	f ɔ r h i s t oː r i ə
forkynder	f ɔ r k ø n ə r
formindske	f ɔ r m e n s k ə
fornøjelser	f ɔ r n ø j ə l s ə r
frey	f r æ j
friede	f r iː ð ə
fristelsen	f r e s t ə l s ə n
fromme	f r ɔ m ə
færdselsuheld	f ɛ r s ə l s u h ɛ lˀ
glassene	ɡ l a s ə n ə
goldberg	ɡ ɔ l b ɛ r ɡ
gruber	ɡ r uː b ə r
gymnaster	ɡ y m n a s t ə r
gæstede	ɡ ɛ s t ə ð ə
halal	h a l aː l
hanks	h a n k s
hermansen	h ɛ r m a n s ə n
hjemmefronten	j ɛ m ə f r ɔ n t ə n
hunger	h o n ɡ ə r
hældes	h ɛ l ə s
ilse	i l s ə
ingenmandsland	e n ɡ ə n m a n s l a n d
jernalder	j ɛ r n a l ə r
join	j o iː n
julesange	j uː l ə s a n ɡ ə
kino	k iː n o
klatrede	k l a t r eː ð ə
klitter	k l e t ə r
koks	k ɔ k s
korsfæstet	k ɔ r s f ɛ s t ə ð
kraven	k r aː v ə n
kusiner	k u s iː n ə r
laget	l aː ɣ ə ð
landsdele	l a n s d eː l ə
livsfarligt	l i v s f a r l i t
lovgivende	l ɔ v ɡ iː v ə n ə
lovovertrædelser	l ɔ v ɔ v ə r t r ɛː d ə l s ə r
magda	m a v d a
mangeårig	m a n ɡ ə ɔ r i
mapper	m a p ə r
matros	m a t r oː s
midtby	m i t b yː
modificerede	m o d i f i s eː r ə ð ə
mojo	m o j o
morgana	m ɔ r ɡ aː n a
moské	m o s k eː
musicals	m u s i k a l s
myndigheders	m ø n d i h eː d ə r s
nilen	n iː l ə n
northern	n ɔ r t h ɛ r n
np	ɛ n p eː
odins	o d e n s
omtalen	ɔ m t aː l ə n
ordstyrer	o r s t yː r ə r
overlast	ɔ v ə r l a s t
overlæg	ɔ v ə r l ɛ ɡ
overså	ɔ v ə r s ɔ
patologi	p a t o l o ɡ iː
placebo	p l a s eː b o
plastisk	p l a s t i s k
prada	p r aː d a
preussen	p r ø v s ə n
produceren	p r o d j u s eː r ə n
projekterne	p r o j ɛ k t ə r n ə
puck	p o k
pædofile	p ɛ d o f iː l ə
radioavisen	r a d i o a v iː s ə n
regulært	r ɛ ɡ u l ɛ r t
rett	r ɛ t
rigsdaler	r iː s d aː l ə r
rosso	r ɔ s o
rumfærge	r ɔ m f ɛ r ɣ ə
rumskibet	r ɔ m s k iː b ə ð
sanserne	s a n s ə r n ə
saxon	s a k s ɔ n
sekvensen	s ɛ k v ɛ n s ə n
sengepladser	s ɛ n ɡ ə p l a s ə r
singh	s e n ɡ
skånet	s k ɔː n ə ð
skærpede	s k ɛ r p ə ð ə
slagte	s l a k t ə
snorken	s n ɔ r k ə n
sofus	s o f uː s
solbjerg	s ɔ l b j ɛ r ɣ
spalter	s p a l t ə r
stamtavle	s t a m t a v l ə
straffede	s t r a f ə ð ə
svale	s v aː l ə
svindlere	s v e n l eː r ə
svømmetur	s v œ m ə t uː r
søvnen	s ø v n ə n
tintin	t e n t iː n
tjekkes	t j ɛ k ə s
tool	t oː l
torne	t ɔ r n ə
tvist	t v e s t
tø	t øːˀ
tørken	t œ r k ə n
tørv	t œ r v
udstråler	u d s t r ɔː l ə r
udtræden	u d t r ɛː d ə n
ufarlig	u f a r l i
underskrives	o n ə r s k r iː v ə s
uroen	u r oː ə n
utugt	u t o k t
vaskeægte	v a s k ə ɛ ɡ t ə
vejrudsigten	v a j r u d s e ɡ t ə n
vertikale	v ɛ r t i k aː l ə
vp	v eː p eː
vækkes	v ɛ k ə s
wash	v a s j
weekendavisen	v iː k ə n d a v iː s ə n
wei	v a jˀ
ægteskabelige	ɛ ɡ t ə s k aː b ə l i ə
ærkebiskoppen	ɛ r k ə b i s k ɔ p ə n
østlig	ø s t l i
adelig	aː d ə l i
affyres	a f yː r ə s
aflive	a f l iː v ə
afvikler	a f v e k l ə r
aktionær	a k s j o n ɛː r
alpine	a l p iː n ə
anatomisk	a n a t oː m i s k
anlæggelse	a n l ɛ ɡ ə l s ə
anmelderne	a n m ɛ l ə r n ə
bedømmer	b e d œ m ə r
bendt	b ɛ n t
berusede	b e r uː s ə ð ə
björn	b j œ r n
bollerne	b ɔ l ə r n ə
brass	b r a s
breddegrader	b r ɛ ð ə ɡ r aː d ə r
brister	b r e s t ə r
brutus	b r u t u s
byggeprojekter	b y ɡ ə p r o j ɛ k t ə r
cali	k a l i
californiens	k a l i f ɔ r n j ɛ n s
carey	k a r i
castor	k a s t ɔ r
chihuahua	s j i h u a h u a
christoffersen	k r i s t ɔ f ə r s ə n
chung	s j o n ɡ
compact	k ɔ m p a k t
coral	k o r aː l
depressioner	d e p r ɛ s j oː n ə r
diarre	d i a r ə
dir	d iː r
duffy	d u f i
dumpede	d o m p ə ð ə
dystert	d y s t ə r t
elverum	ɛ l v ə r ɔ m
erich	eː r i ç
erindrer	e r e n d r ə r
erklæres	ɛ r k l ɛː r ə s
fabrikkerne	f a b r e k ə r n ə
female	f e m aː l ə
flick	f l e k
fornægter	f ɔ r n ɛ ɡ t ə r
forstærkere	f ɔ r s t ɛ r k ə r ə
franskmanden	f r a n s k m a n ə n
frelsens	f r ɛ l s ə n s
fremførte	f r ɛ m f œ r t ə
gavl	ɡ a vˀ l
generisk	ɡ e n eː r i s k
genstandene	ɡ ɛ n s t a n ə n ə
gnider	ɡ n iː d ə r
grafiker	ɡ r a f i k ə r
hamle	h a m l ə
hawks	h a w k s
heltene	h ɛ l t ə n ə
herskerinde	h ɛ r s k ə r e n ə
heteroseksuelle	h e t ə r o s ɛ k s u ɛ l ə
hornslet	h ɔ r n s l ɛ t
hut	h u t
hå	h ɔːˀ
hævdes	h ɛ v d ə s
indikationer	e n d i k a ɕ oˀ n ə r
indkaldelse	e n k a l d ə l s ə
inga	e n ɡ a
isbjørn	i s b j œ r n
jacksons	j a k s ɔ n s
jensdatter	j ɛ n s d a t ə r
juelsminde	j uː ə l s m e n ə
kalve	k a l v ə
kaplan	k a p l aː n
kiki	k i k i
knalder	k n a l ə r
korridoren	k ɔ r i d oː r ə n
kubrick	k u b r e k
kvantitative	k v a n t i t a t iː v ə
kødboller	k ø d b ɔ l ə r
køkkener	k ø k ə n ə r
ligestillede	l iː ə s t e l ə ð ə
ligeværdige	l iː ə v ɛ r d i ə
losseplads	l ɔ s ə p l a s
lovsang	l ɔ v s a n ɡ
lure	l uː r ə
læges	l ɛː ɣ ə s
læselyst	l ɛː s ə l ø s t
malte	m a l t ə
maner	m aː n ə r
many	m a n y
manøvrer	m a n ø v r ə r
marcherer	m a r s j eː r ə r
maritim	m a r i t iː m
martine	m a r t iː n ə
mask	m a s k
middelklassen	m i d ə l k l a s ə n
minoritet	m i n o r i t eː t
motorens	m o t o r ɛ n s
musikeren	m u s i k eː r ə n
myterne	m y t ə r n ə
nordlys	n o r l yː s
nyheds	n y h e s
nærede	n ɛː r ə ð ə
opløste	ɔ p l ø s t ə
overhalede	ɔ v ə r h aː l ə ð ə
overvandt	ɔ v ə r v a n t
own	ɔ w n
palæet	p a l ɛː ə ð
pam	p a m
paraden	p a r aː d ə n
patriotisk	p a t r i oː t i s k
pjece	p j ɛː s ə
plug	p l uːˀ
politikeren	p o l i t i k eː r ə n
poter	p o t ə r
propper	p r ɔ p ə r
pådraget	p ɔ d r aː ɣ ə ð
radioaktivitet	r a d i o a k t i v i t eː t
rettelser	r ɛ t ə l s ə r
skaldet	s k a l ə ð
skovl	s k ɔ vˀ l
skrabet	s k r aː b ə ð
sløve	s l øː v ə
splitter	s p l e t ə r
sportslig	s p ɔ r t s l i
steger	s t a j ə r
strejken	s t r a j k ə n
stædige	s t ɛː d i ə
svaner	s v aː n ə r
svig	s v iːˀ
synden	s ø n ə n
tegneserien	t a j n ə s eː r i ə n
tilblivelsen	t e l b l iː v ə l s ə n
tilgiver	t e l ɡ iː v ə r
tipper	t e p ə r
tolerere	t o l ə r eː r ə
udregnes	u d r a j n ə s
urne	u r n ə
user	uː s ə r
vesthimmerlands	v ɛ s t h e m ə r l a n s
vestvolden	v ɛ s t v ɔ l ə n
yngle	ø n ɡ l ə
økser	ø k s ə r
über	yː b ə r
aborter	a b ɔ r t ə r
afsenderen	a f s ɛ n d eː r ə n
annes	a n ə s
ansættes	a n s ɛ t ə s
antikken	a n t e k ə n
antropologi	a n t r o p o l o ɡ iː
arbejderbevægelsens	a r b a j d ə r b e v ɛː ɡ ə l s ɛ n s
astrologi	a s t r o l o ɡ iː
baden	b aː d ə n
ballast	b a l a s t
barak	b a r a k
batista	b a t i s t a
befæstede	b e f ɛ s t ə ð ə
bermuda	b ɛ r m uː d a
bestilles	b e s t e l ə s
blondie	b l ɔ n d i ə
boe	b oː ə
brahe	b r aː h ə
bremserne	b r ɛ m s ə r n ə
brody	b r oː d y
bærrene	b ɛ r ə n ə
cassius	k a s j u s
celsius	s ɛ l s j u s
cuppen	k o p ə n
cute	k uː t ə
cyril	s y r iː l
deaktivere	d e a k t i v eː r ə
department	d e p a r t m ɛ n t
diske	d e s k ə
django	d j a n ɡ o
dåsen	d ɔː s ə n
dælme	d ɛ l m ə
düsseldorf	d y s ə l d ɔ r f
eksportere	ɛ k s p ɔ r t eː r ə
etiketten	e t i k ɛ t ə n
expert	ɛ k s p ɛ r t
fabrikant	f a b r i k a n t
fagene	f aː ɣ ə n ə
farezonen	f a r ə s oː n ə n
fargo	f a r ɡ o
fasten	f a s t ə n
fingerpeg	f e n ɡ ə r p a j
fjenderne	f j ɛ n ə r n ə
formularer	f ɔ r m u l aː r ə r
fornyede	f ɔ r n yː ə ð ə
forstoppelse	f ɔ r s t ɔ p ə l s ə
fortov	f ɔ r t ɔ v
fortræffelig	f ɔ r t r ɛ f ə l i
fragtskib	f r a k t s k iː b
franck	f r a n k
franskbrød	f r a n s k b r øː d
fremmøde	f r ɛ m øː ð ə
fårup	f ɔ r u p
færdiggørelse	f ɛ r d i ɡ øː r ə l s ə
gavle	ɡ a v l ə
gendanne	ɡ ɛ n d a n ə
genvinder	ɡ ɛ n v e n ə r
genvundet	ɡ ɛ n v o n ə ð
geværet	ɡ e v ɛː r ə ð
ginny	ɡ i n i
golfbanen	ɡ ɔ l f b aː n ə n
gynge	ɡ ø n ɡ ə
habil	h a b iː l
halse	h a l s ə
hamrede	h a m r eː ð ə
handsken	h a n s k ə n
havbrug	h a v b r uːˀ
hjemmearbejde	j ɛ m ə a r b a j d ə
honolulu	h o n o l u l u
horne	h ɔ r n ə
hvam	v a m
indgås	e n ɡ ɔː s
ins	e n s
institutionelle	e n s t i t u s j o n ɛ l ə
io	iː o
joaquin	j o a k iː n
kalenderår	k a l ɛ n ə r ɔː r
kalken	k a l k ə n
kapret	k a p r ɛ t
kartoffelmos	k a r t ɔ f ə l m oː s
kløerne	k l øː ə r n ə
konkurrenten	k ɔ n k u r ɛ n t ə n
konservativt	k ɔ n s ɛ r v a t i v t
kontaktlinser	k ɔ n t a k t l e n s ə r
kora	k oː r a
kradser	k r a s ə r
kulturstyrelsen	k u l t u r s t yː r ə l s ə n
kyndig	k ø n d i
kæderne	k ɛː d ə r n ə
kærlighedsliv	k ɛ r l i h eː d s l iː v
landeveje	l a n ə v a j ə
lejes	l a j ə s
lidende	l iː ð ə n ə
lok	l ɔ k
lokaliteten	l o k a l i t eː t ə n
loves	l ɔː v ə s
lænket	l ɛ n k ə ð
løgnen	l ø j n ə n
lønstrup	l œ n s t r u p
mangelvare	m a n ɡ ə l v aː r ə
maple	m a p l ə
margarine	m a r ɡ a r iː n ə
marino	m a r iː n o
maskinens	m a s k i n ɛ n s
medikamenter	m e d i k a m ɛ n t ə r
meningitis	m e n e n ɡ i t i s
monk	m ɔ n k
musikbranchen	m u s e k b r a n s j ə n
nap	n a p
nashville	n a s v e l ə
nominelle	n o m i n ɛ l ə
nærkamp	n ɛ r k a m p
næser	n ɛː s ə r
observer	ɔ b s ɛ r v ə r
opkøbe	ɔ p k øː b ə
opkøber	ɔ p k øː b ə r
opvasken	ɔ p v a s k ə n
overdragelsen	ɔ v ə r d r aː ɣ ə l s ə n
piber	p iː b ə r
platt	p l a t
potten	p ɔ t ə n
prikkede	p r e k ə ð ə
protestantiske	p r o t ə s t a n t i s k ə
provinser	p r o v e n s ə r
psykotiske	s y k oː t i s k ə
qi	k iː
rapporteres	r a p ɔ r t eː r ə s
reaktorer	r e a k t oː r ə r
rosiner	r o s iː n ə r
røgfrit	r ø j f r i t
safran	s a f r aː n
seg	s a jˀ
sharia	s j a r i a
skolevæsen	s k oː l ə v ɛː s ə n
skæbnesvangre	s k ɛː b n ə s v a n ɡ r ə
skælde	s k ɛ l ə
slaven	s l aː v ə n
slebet	s l eː b ə ð
slynge	s l ø n ɡ ə
smuglet	s m uː l ə ð
snuble	s n uː b l ə
stad	s t a ð
syndromet	s ø n d r oː m ə ð
teaterstykke	t e aː t ə r s t ø k ə
tingbjerg	t e n ɡ b j ɛ r ɣ
udleve	u d l eː v ə
udnævnes	u d n ɛ v n ə s
udtømt	u d t œ m t
undertrykker	o n ə r t r ø k ə r
vejkryds	v a j k r y s
videbæk	v iː ð ə b ɛ k
vinkelret	v e n k ə l r ɛ t
virk	v i r k
volder	v ɔ l ə r
væver	v ɛː v ə r
øjekast	ø j ə k a s t
økonomier	ø k o n o m iː ə r
affødt	a f ø t
afskrække	a f s k r ɛ k ə
alvoren	a l v oː r ə n
amin	a m iː n
arbejdsstyrke	a r b a j d s s t y r k ə
arkitekterne	a r k i t ɛ k t ə r n ə
arkivalier	a r k i v a l j ə r
asfalten	a s f a l t ə n
atombomben	a t ɔ m b ɔ m b ə n
audiens	a v d j ɛ n s
ballen	b a l ə n
banditter	b a n d i t ə r
bassiner	b a s iː n ə r
beklagelse	b e k l aː ɣ ə l s ə
beredt	b e r e t
berøvet	b e r øː v ə ð
beskadige	b e s k aː d i ə
beskæres	b e s k ɛː r ə s
blikkenslager	b l e k ə n s l aː ɣ ə r
bluff	b l o f
boa	b oː a
brain	b r a iː n
brast	b r a s t
brink	b r e n k
brom	b r ɔ m
buckley	b o k l i
cats	k a t s
chin	s j iː n
clare	k l aː r ə
concordia	k ɔ n k ɔ r d i a
cour	k uː r
dalum	d a l ɔ m
destroyer	d e s t r ø j ə r
disciplene	d i s i p l eː n ə
dopamin	d o p a m iː n
drastiske	d r a s t i s k ə
dressur	d r ɛ s uː r
duff	d o f
døbe	d øː b ə
egoistiske	e ɡ o i s t i s k ə
ejnar	a j n a r
ernesto	ɛ r n ə s t oː
fanatisk	f a n aː t i s k
fanatiske	f a n aː t i s k ə
farvestrålende	f a r v ə s t r ɔː l ə n ə
feer	f eː ə r
folie	f o l j ə
folkemord	f ɔ l k ə m oː r
formationen	f ɔ r m a ɕ oˀ n ə n
forstille	f ɔ r s t e l ə
forsvarsadvokat	f ɔ r s v a r s a d v o k aː t
frelste	f r ɛ l s t ə
fundamenter	f ɔ n d a m ɛ n t ə r
førerens	f ø r ə r ɛ n s
grams	ɡ r a m s
gryder	ɡ r yː d ə r
gyder	ɡ yː d ə r
hamster	h a m s t ə r
helles	h ɛ l ə s
hems	h ɛ m s
hjallerup	j a l ə r u p
hurup	h u r u p
hvorigennem	v ɔ r i ɡ ɛ n ə m
hypoteser	h y p o t eː s ə r
håndkraft	h ɔ n k r a f t
hævnen	h ɛ v n ə n
højne	h ɔ j n ə
højskoler	h ø j s k oː l ə r
ihærdige	i h ɛ r d i ə
ildkraft	i l k r a f t
importen	e m p ɔ r t ə n
indkommende	e n k ɔ m ə n ə
indlæggelse	e n l ɛ ɡ ə l s ə
indrettes	e n d r ɛ t ə s
kantine	k a n t iː n ə
karoline	k a r o l iː n ə
kendisser	k ɛ n d i s ə r
kevins	k e v e n s
koldinghus	k ɔ l d e n ɡ h uː s
kolera	k o l eː r a
kommunisme	k ɔ m u n i s m ə
korridorer	k ɔ r i d oː r ə r
kræftfremkaldende	k r ɛ f t f r ɛ m k a l ə n ə
kähler	k ɛ l ə r
kørerne	k ø r ə r n ə
lagune	l a ɡ uː n ə
laugesen	l a v ə s ə n
laurids	l a v r i s
lejekontrakt	l a j ə k ɔ n t r a k t
lennox	l ɛ n ɔ k s
levebrød	l ɛː v ə b r øː d
louvre	l uː v r ə
lupus	l u p u s
manifestation	m a n i f ə s t a ɕ oˀ n
manualer	m a n u aː l ə r
medicine	m e d i s iː n ə
minds	m e n s
mir	m iː r
modellens	m o d ə l ɛ n s
mumbai	m o m b a j
mussolini	m u s o l i n iː
myanmar	m y a n m a r
nazismen	n a s i s m ə n
nitro	n i t r oː
nynne	n ø n ə
nævneværdig	n ɛ v n ə v ɛ r d i
nødderne	n ø d ə r n ə
opgørelser	ɔ p ɡ øː r ə l s ə r
opløser	ɔ p l øː s ə r
opstandelsen	ɔ p s t a n ə l s ə n
overfør	ɔ v ə r f øː r
overkanten	ɔ v ə r k a n t ə n
overlades	ɔ v ə r l aː d ə s
patti	p a t i
paw	p a w
pax	p a k s
peach	p iː s
pionerer	p i o n eː r ə r
planeterne	p l a n ə t ɛ r n ə
plukker	p l o k ə r
pole	p oː l ə
politikommissær	p o l i t i k ɔ m i s ɛː r
pork	p ɔ r k
praktiseres	p r a k t i s eː r ə s
product	p r o d o k t
profile	p r o f iː l ə
publicerede	p u b l i s eː r ə ð ə
pusten	p o s t ə n
påskønnelse	p ɔ s k œ n ə l s ə
repræsentationer	r ɛ p r ɛ s ə n t a ɕ oˀ n ə r
resistente	r ɛ s i s t ɛ n t ə
resumé	r ɛ s y m e
russ	r u s
sama	s aː m a
santana	s a n t aː n a
scandlines	s k a n l iː n ə s
sekondløjtnant	s e k ɔ n l ø j t n a n t
sener	s eː n ə r
sheppard	s j ɛ p a r
silk	s e l k
skribenten	s k r i b ɛ n t ə n
skræddersyet	s k r ɛ ð ə r s yː ə ð
skælder	s k ɛ l ə r
smækker	s m ɛ k ə r
snede	s n eː ð ə
snot	s n ɔ t
spande	s p a n ə
stable	s t aː b l ə
stellet	s t ɛ l ə ð
stime	s t a j m ə
sysler	s y s l ə r
sårbart	s ɔ r b a r t
sæden	s ɛː ð ə n
søfart	s ø f a r t
sømmene	s œ m ə n ə
søvne	s ø v n ə
tamme	t a m ə
tarmene	t a r m eː n ə
transaktion	t r a n s a k s j oː n
trolle	t r ɔ l ə
træernes	t r ɛː ə r n ə s
turbulent	t u r b u l ɛ n t
ubrudt	u b r u t
varmes	v a r m ə s
varulve	v a r u l v ə
viii	v iː i
vindruer	v e n d r uː ə r
vitus	v i t u s
vorherre	v ɔ r h ɛ r ə
værner	v ɛ r n ə r
wolfgang	v ɔ l f ɡ a n ɡ
wolves	v ɔ l v ə s
yves	yː v ə s
zimbabwe	s e m b aː b v ə
alexa	a l ɛ k s a
allersidst	a l ə r s i s t
alsace	a l s aː s ə
ams	a m s
anstalten	a n s t a l t ə n
antænde	a n t ɛ n ə
ariana	a r i aː n a
asp	a s p
balboa	b a l b oː a
bedraget	b e d r aː ɣ ə ð
behjælpelig	b e j ɛ l p ə l i
bekende	b e k ɛ n ə
berliner	b ɛ r l iː n ə r
biomasse	b i o m a s ə
blændet	b l ɛ n ə ð
bosættelser	b o s ɛ t ə l s ə r
bow	b ɔ w
brahms	b r a m s
buff	b o f
bås	b ɔː s
bønne	b œ n ə
cable	k aː b l ə
campingpladser	k a m p e n ɡ p l a s ə r
carolyn	k a r o l yː n
carr	k a r
casanova	k a s a n oː v a
checker	s j ɛ k ə r
chico	s j i k o
codan	k o d aː n
cove	k ɔː v ə
craft	k r a f t
croft	k r ɔ f t
dames	d aː m ə s
deporteret	d e p ɔ r t eː r ə t
designeren	d e s i n eː r ə n
destinationen	d ɛ s t i n a ɕ oˀ n ə n
detektiver	d e t ɛ k t iː v ə r
dharma	d h a r m a
discipel	d i s i p ɛ l
dolce	d ɔ l s ə
downey	d ɔ w n i
dræner	d r ɛː n ə r
dusty	d u s t yː
ebola	e b oː l a
eksakt	ɛ k s a k t
elektriciteten	e l ɛ k t r i s i t eː t ə n
energier	eː n ə r ɡ iː ə r
erhvervsfolk	ɛ r v ɛ r v s f ɔ l k
erhvervsuddannelser	ɛ r v ɛ r v s u d a n ə l s ə r
fantaserer	f a n t a s eː r ə r
fastansat	f a s t a n s a t
femme	f ɛ m ə
filskov	f i l s k ɔ v
folkekirke	f ɔ l k ə k i r k ə
forlagt	f ɔ r l a k t
forlovelsen	f ɔ r l ɔ v ə l s ə n
formandskab	f ɔ r m a n s k aː b
forstanden	f ɔ r s t a n ə n
fortræd	f ɔ r t r ɛ d
frøen	f r øːˀ ə n
fyldest	f y l ə s t
fåtal	f ɔ t aː l
gap	ɡ a p
genoptages	ɡ e n ɔ p t aː ɡ ə s
genskaber	ɡ ɛ n s k aː b ə r
harmløse	h a r m l øː s ə
hestehale	h ɛ s t ə h aː l ə
hjemvendt	j ɛ m v ɛ n t
hjælpeløs	j ɛ l p ə l øː s
hours	h uː r s
hvisken	v e s k ə n
hylende	h yː l ə n ə
ibrahim	i b r a h iː m
idestrup	iː d ə s t r u p
idylliske	i d y l i s k ə
indlagte	e n l a ɡ t ə
indtaste	e n t a s t ə
instruerer	e n s t r u eː r ə r
jakobs	j a k ɔ p s
jansen	j a n s ə n
jumbo	j o m b o
kandidatuddannelse	k a n d i d a t u d a n ə l s ə
kansleren	k a n s l eː r ə n
kapper	k a p ə r
kaptajner	k a p t a j n ə r
kartoflerne	k a r t o f l ɛ r n ə
klat	k l a t
koreografi	k o r e o ɡ r a f iː
krydderurter	k r y ð ə r u r t ə r
krænke	k r ɛ n k ə
kuperede	k u p ə r eː ð ə
køller	k ø l ə r
laboratorie	l a b o r a t oː r i ə
lilo	l iː l o
lindø	l e n d ø
lodder	l ɔ d ə r
luret	l u r ɛ t
læreruddannelsen	l ɛː r ə r u d a n ə l s ə n
løberen	l øː b ə r ə n
magdalene	m a v d aː l ə n ə
making	m a k e n ɡ
manga	m a n ɡ a
mellemstor	m ɛ l ə m s t ɔ r
menneskesyn	m ɛ n ə s k ə s yː n
mercia	m ɛ r s j a
merpris	m ɛ r p r iː s
musketerer	m u s k ə t eː r ə r
natklubben	n a t k l o b ə n
nygifte	n y ɡ i f t ə
omdannelsen	ɔ m d a n ə l s ə n
omlagt	ɔ m l a ɡ t
omx	ɔ m k s
onsdagen	ɔ n s d aː ɣ ə n
oplære	ɔ p l ɛː r ə
opstanden	ɔ p s t a n ə n
overdækkede	ɔ v ə r d ɛ k ə ð ə
overhale	ɔ v ə r h aː l ə
paralleller	p a r a l ɛ l ə r
parameter	p a r a m eː t ə r
parrer	p a r ə r
polens	p o l ɛ n s
politimanden	p o l i t i m a n ə n
prikken	p r e k ə n
påføres	p ɔ f øː r ə s
radiostation	r a d i o s t a ɕ oˀ n
rangerer	r a n ɡ eː r ə r
realiteter	r e a l i t eː t ə r
realiteterne	r e a l i t eː t ə r n ə
resistens	r ɛ s i s t ɛ n s
rokker	r ɔ k ə r
rwanda	r v a n d a
sabbatår	s a b a t ɔː r
salver	s a l v ə r
sammenkomster	s a m ə n k ɔ m s t ə r
sareen	s a r eː ə n
sejret	s a j r ə ð
singles	s e n ɡ l ə s
skjules	s k j uː l ə s
skye	s k yː ə
skændtes	s k ɛ n t ə s
smedet	s m eː ð ə ð
smitsomme	s m i t s ɔ m ə
smoke	s m oː k ə
smække	s m ɛ k ə
snigende	s n iː ə n ə
sonne	s ɔ n ə
sour	s uː r
spectre	s p ɛ k t r ə
stores	s t oː r ə s
struben	s t r uː b ə n
stumme	s t o m ə
søjlerne	s ø j l ə r n ə
tankstationer	t a n k s t a ɕ oˀ n ə r
television	t e l e v i s j oː n
toer	t oː ə r
typografi	t y p o ɡ r a f iː
tærter	t ɛ r t ə r
tørres	t œ r ə s
udskejelser	u ð s k a j ə l s ə r
udspillede	u d s p e l ə ð ə
udtænke	u d t ɛ n k ə
uf	u f
ufrivilligt	u f r i v i l i t
uskrevne	u s k r ɛ v n ə
vanedannende	v aː n ə d a n ə n ə
vermund	v ɛ r m o n d
vitser	v i t s ə r
wiley	v iː l i
wings	v e n ɡ s
ånderne	ɔ n ə r n ə
ægtefællen	ɛ ɡ t ə f ɛ l ə n
ærmerne	ɛ r m ə r n ə
øjeblikkelige	ø j ə b l e k ə l i ə
abby	a b i
aborre	a b ɔ r ə
appetitten	a p ə t i t ə n
apr	a p r
arktisk	a r k t i s k
arterne	a r t ɛ r n ə
azkaban	a s k a b aː n
basil	b a s iː l
bestride	b e s t r iː ð ə
betændt	b e t ɛ n t
birte	b i r t ə
boblen	b oː b l ə n
brager	b r aː ɣ ə r
brandts	b r a n t s
brewster	b r ɛ v s t ə r
brilliant	b r i l j a n t
bucks	b o k s
byttehandel	b y t ə h a n ə l
callahan	k a l a h aː n
charlottenborg	s j a r l ɔ t ə n b ɔ r ɡ
chinatown	s j i n a t ɔ w n
cobb	k ɔ b
como	k oː m o
crow	k r ɔ w
diagnostik	d i a ɡ n o s t i k
dialoger	d i a l oː ɡ ə r
dinner	d e n ə r
dyppe	d y p ə
ec	ɛ s
economist	e k o n o m i s t
eksplosivt	ɛ k s p l o s i v t
ekstase	ɛ k s t aː s ə
fabricius	f a b r i s j u s
fabrikkens	f a b r e k ə n s
fastlægges	f a s t l ɛ ɡ ə s
feminin	f e m i n iː n
feministisk	f e m i n i s t i s k
finanserne	f i n a n s ə r n ə
foldes	f ɔ l ə s
forkant	f ɔ r k a n t
forkortelser	f ɔ r k ɔ r t ə l s ə r
fornærme	f ɔ r n ɛ r m ə
forseglede	f ɔ r s a j l eː ð ə
frakker	f r a k ə r
frygtløs	f r ø k t l øː s
frækkert	f r ɛ k ə r t
fuldkomne	f u l k ɔ m n ə
fyldige	f y l d i ə
fængsle	f ɛ n ɡ s l ə
galskaben	ɡ a l s k aː b ə n
ganges	ɡ a n ɡ ə s
garanterede	ɡ a r a n t eː r ə ð ə
generøst	ɡ eː n ə r ø s t
gladys	ɡ l a d yː s
gravplads	ɡ r a v p l a s
grædt	ɡ r ɛ t
guerrero	ɡ ɛ r ə r oː
hannerne	h a n ə r n ə
hein	h a jˀ n
heinz	h a j n s
hejse	h a j s ə
hjerterytme	j ɛ r t ə r ø t m ə
hjorten	j ɔ r t ə n
holdbare	h ɔ l b aː r ə
hunds	h o n s
hvilet	v iː l ə ð
hvoriblandt	v o r i b l a n t
hælen	h ɛː l ə n
illustrerede	i l u s t r eː r ə ð ə
indlægge	e n l ɛ ɡ ə
indlæst	e n l ɛ s t
indvilliger	e n v e l i ə r
irwin	i r v iː n
istedgade	i s t ɛ d ɡ aː d ə
jameson	j aː m ə s oː n
jarlen	j a r l ə n
kalksten	k a l k s t eː n
karismatiske	k a r i s m aː t i s k ə
kasakhstan	k a s a k s t a n
kathryn	k a t r øː n
klodser	k l ɔ s ə r
komikere	k o m i k eː r ə
komite	k o m i t ə
krak	k r a k
