ovat	o ʋ ɑ t
automatic	ɑ u̯ t o m ɑ t i k
avan	ɑ ʋ ɑ n
avausottelussaan	ɑ ʋ ɑ u s o tː e l u sː ɑː n
avoimempia	ɑ ʋ o i̯ m e m p i ɑ
badger	b ɑ d ʒ e r
balettiin	b ɑ l e tː iː n
baptiste	b ɑ p t i s t eˣ
bardot	b ɑ r d o t
belfast	b e l f ɑ s t
bello	b e lː o
beretta	b e r e tː ɑ
bernsteinin	b e r n s t e i̯ n i n
bess	b e sː
bey	b e i̯
biopolttoaineet	b i o p o l tː o ɑ i̯ n eː t
boden	b o d e n
bonon	b o n o n
brahmsin	b r ɑ h m s i n
brittiläiselle	b r i tː i l æ i̯ s e lː eˣ
brunette	b r u n e tː e
brutal	b r u t ɑ l
bussikuskit	b u sː i k u s k i t
capo	k ɑ p o
chapter	t ʃ ɑ p t e r
chong	t ʃ o ŋ
concordia	k o ŋ k o r d i ɑ
dansk	d ɑ n s k
dian	d i ɑ n
diat	d i ɑ t
diktaattoria	d i k t ɑː tː o r i ɑ
diorin	d i o r i n
disinformaatiota	d i s i n f o r m ɑː t i o t ɑ
dolan	d o l ɑ n
dynasty	d y n ɑ s t y
edda	e dː ɑ
edelsivät	e d e l s i ʋ æ t
edistävien	e d i s t æ ʋ i e̯ n
edunvalvojana	e d u n ʋ ɑ l ʋ o j ɑ n ɑ
eduskuntatalossa	e d u s k u n t ɑ t ɑ l o sː ɑ
edustajalta	e d u s t ɑ j ɑ l t ɑ
egyptiläisten	e ɡ y p t i l æ i̯ s t e n
ehdokaslistat	e h d o k ɑ s l i s t ɑ t
ehjäksi	e h j æ k s i
eineksiä	e i̯ n e k s i æˣ
einen	e i̯ n e n
elinkaarta	e l i n k ɑː r t ɑ
elinolojen	e l i n o l o j e n
elinympäristössä	e l i n y m p æ r i s t ø sː æ
elkein	e l k e i̯ n
eläen	e l æ e n
ennenaikaisia	e nː eˣ n ɑ i̯ k ɑ i̯ s i ɑ
epämukavia	e p æ m u k ɑ ʋ i ɑ
epäonnistuin	e p æ o nː i s t u i̯ n
eriarvoistumista	e r i ɑ r ʋ o i̯ s t u m i s t ɑ
eriasteisia	e r i ɑ s t e i̯ s i ɑ
erinin	e r i n i n
eristeen	e r i s t eː n
eristeet	e r i s t eː t
eritreassa	e r i t r e ɑ sː ɑ
erottumaan	e r o tː u m ɑː n
esikuvat	e s i k u ʋ ɑ t
esittäytyi	e s i tː æ y̯ t y i̯
esitykselle	e s i t y k s e lː eˣ
esitykseni	e s i t y k s e n i
estääkö	e s t æː k ø
eturauhassyövän	e t u r ɑ u̯ h ɑ s s y ø̯ ʋ æ n
etuuksiin	e t uː k s iː n
etyjin	e t y j i n
eurokentillä	e u̯ r o k e n t i lː æ
eurosport	e u̯ r o s p o r t
euroviisuista	e u̯ r o ʋ iː s u i̯ s t ɑ
faninsa	f ɑ n i n s ɑ
farmarin	f ɑ r m ɑ r i n
fell	f e lː
fen	f e n
fiktiivisiä	f i k t iː ʋ i s i æ
filatov	f i l ɑ t o ʋ
filmistä	f i l m i s t æˣ
firmoista	f i r m o i̯ s t ɑˣ
folion	f o l i o n
forster	f o r s t e r
fulhamin	f u l h ɑ m i n
further	f u r t h e r
futsalin	f u t s ɑ l i n
fysiologisia	f y s i o l o ɡ i s i ɑ
galakseja	ɡ ɑ l ɑ k s e j ɑ
garri	ɡ ɑ rː i
globaalilla	ɡ l o b ɑː l i lː ɑ
goethe	ɡ o e t h eˣ
gump	ɡ u m p
guten	ɡ u t e n
hagmanin	h ɑ ɡ m ɑ n i n
hahmoni	h ɑ h m o n i
hajutonta	h ɑ j u t o n t ɑ
hakemuksella	h ɑ k eˣ m u k s e lː ɑˣ
hakuprosessin	h ɑ k u p r o s e sː i n
hallinnoiva	h ɑ lː i nː o i̯ ʋ ɑ
hallituskumppanit	h ɑ lː i t u s k u m pː ɑ n i t
hallitusohjelmasta	h ɑ lː i t u s o h j e l m ɑ s t ɑ
haltijalla	h ɑ l t i j ɑ lː ɑ
halvempiin	h ɑ l ʋ e m p iː n
halvoissa	h ɑ l ʋ o i̯ sː ɑ
haminaan	h ɑ m i n ɑː n
hankintalaki	h ɑ ŋ k i n t ɑ l ɑ k i
harakoille	h ɑ r ɑ k o i̯ lː eˣ
harppauksin	h ɑ r pː ɑ u k s i n
harrastukseksi	h ɑ rː ɑ s t u k s e k s i
harvemmassa	h ɑ r ʋ e mː ɑ sː ɑ
haudattavaksi	h ɑ u̯ d ɑ tː ɑ ʋ ɑ k s i
havaitessaan	h ɑ ʋ ɑ i̯ t e sː ɑː n
hedelmällisyyteen	h e d e l m æ lː i s yː t eː n
hehkumaan	h e h k u m ɑː n
heleän	h e l e æ n
hengelliseen	h e ŋː e lː i s eː n
henkivartijat	h e ŋ k i ʋ ɑ r t i j ɑ t
herkkänä	h e r kː æ n æ
herraksi	h e rː ɑ k s i
herrasmiehet	h e rː ɑ s m i e̯ h e t
heräsimme	h e r æ s i mː eˣ
hiihtolomalla	h iː h t o l o m ɑ lː ɑ
himot	h i m o t
hinnoittelee	h i nː o i̯ tː e l eː
hintalappua	h i n t ɑ l ɑ pː u ɑˣ
hittien	h i tː i e n
hoidettavan	h o i̯ d e tː ɑ ʋ ɑ n
hoidettavia	h o i̯ d e tː ɑ ʋ i ɑ
hoikkia	h o i̯ kː i ɑˣ
hopeamitalin	h o p e ɑ m i t ɑ l i n
hopeisia	h o p e i̯ s i ɑ
huhtikuulle	h u h t i k uː lː eˣ
huipussa	h u i̯ p u sː ɑ
hummer	h u mː e r
huoltoasemilla	h u o̯ l t o ɑ s e m i lː ɑ
hurmaavat	h u r m ɑː ʋ ɑ t
huviksi	h u ʋ i k s i
hyppäsimme	h y pː æ s i mː eˣ
hytit	h y t i t
hyvyyteen	h y ʋ yː t eː n
häipynyt	h æ i̯ p y n y t
hälyä	h æ l y æˣ
hännästä	h æ nː æ s t æˣ
häntäpäähän	h æ n t æ p æː h æ n
häpäisee	h æ p æ i̯ s eː
ihmisarvoisen	i h m i s ɑ r ʋ o i̯ s e n
iisalmeen	iː s ɑ l m eː n
ikävöin	i k æ ʋ ø i̯ n
ilmoittaen	i l m o i̯ tː ɑ e n
ilotulitteet	i l o t u l i tː eː t
imagoaan	i m ɑ ɡ o ɑː n
immuunijärjestelmää	i mː uː n i j æ r j e s t e l m æː
innasen	i nː ɑ s e n
inspiroima	i n s p i r o i̯ m ɑ
integroidaan	i n t e ɡ r o i̯ d ɑː n
intialaiseen	i n t i ɑ l ɑ i̯ s eː n
irtautumisen	i r t ɑ u̯ t u m i s e n
isco	i s k o
isointa	i s o i̯ n t ɑ
isoveljeä	i s o ʋ e l j e æ
istuvalle	i s t u ʋ ɑ lː eˣ
itsessäsi	i t s e sː æ s i
itsetuhoisia	i t s e t u h o i̯ s i ɑ
itärajalle	i t æ r ɑ j ɑ lː eˣ
ivanova	i ʋ ɑ n o ʋ ɑ
jalankulkijaa	j ɑ l ɑ n k u l k i j ɑː
jalkapalloklubin	j ɑ l k ɑ p ɑ lː o k l u b i n
jamaikalla	j ɑ m ɑ i̯ k ɑ lː ɑ
jauhoi	j ɑ u̯ h o i̯
javi	j ɑ ʋ i
jeb	j e b
jei	j e i̯
jian	j i ɑ n
johtuvasta	j o h t u ʋ ɑ s t ɑ
joosefin	j oː s e f i n
julkaisupäivänä	j u l k ɑ i̯ s u p æ i̯ ʋ æ n æ
juomansa	j u o̯ m ɑ n s ɑ
juovan	j u o̯ ʋ ɑ n
jälleenmyyjät	j æ lː eː n m yː j æ t
jännittävässä	j æ nː i tː æ ʋ æ sː æ
järjestetyillä	j æ r j e s t eˣ t y i̯ lː æˣ
kaatumassa	k ɑː t u m ɑ sː ɑ
kadotessa	k ɑ d o t e sː ɑ
kahtasataa	k ɑ h t ɑ s ɑ t ɑːˣ
kaipaako	k ɑ i̯ p ɑː k o
kaistojen	k ɑ i̯ s t o j e n
kajander	k ɑ j ɑ n d e r
kakalla	k ɑ k ɑ lː ɑ
kakan	k ɑ k ɑ n
kaksikosta	k ɑ k s i k o s t ɑ
kaltaistesi	k ɑ l t ɑ i̯ s t e s i
kamojen	k ɑ m o j e n
kampanjoissa	k ɑ m p ɑ n j o i̯ sː ɑ
kampiakselin	k ɑ m p i ɑ k s e l i n
kansallispuistot	k ɑ n s ɑ lː i s p u i̯ s t o t
kansanopiston	k ɑ n s ɑ n o p i s t o n
karheaa	k ɑ r h eˣ ɑːˣ
karlskronan	k ɑ r l s k r o n ɑ n
karmivaa	k ɑ r m i ʋ ɑː
kasvattajia	k ɑ s ʋ ɑ tː ɑ j i ɑ
kasvaville	k ɑ s ʋ ɑ ʋ i lː eˣ
kasveissa	k ɑ s ʋ e i̯ sː ɑ
katedraalissa	k ɑ t e d r ɑː l i sː ɑ
kategorioita	k ɑ t e ɡ o r i o i̯ t ɑ
katoaisivat	k ɑ t o ɑ i̯ s i ʋ ɑ t
kaupallisilla	k ɑ u̯ p ɑ lː i s i lː ɑ
kaverusta	k ɑ ʋ e r u s t ɑ
kehitettäessä	k e h i t e tː æ e sː æ
kehittyäkseen	k e h i tː y æ k s eː n
kehärata	k e h æ r ɑ t ɑˣ
kehätien	k e h æ t i e̯ n
keijun	k e i̯ j u n
keiko	k e i̯ k o
keinoina	k e i̯ n o i̯ n ɑ
keitetyn	k e i̯ t eˣ t y n
keksinnöistä	k e k s i nː ø i̯ s t æˣ
kelistä	k e l i s t æˣ
kemiallisista	k e m i ɑ lː i s i s t ɑ
kengille	k e ŋː i lː eˣ
kensington	k e n s i ŋ t o n
kepit	k e p i t
kepposia	k e pː o s i ɑ
kerra	k e rː ɑ
kerroksisen	k e rː o k s i s e n
kert	k e r t
keränneen	k e r æ nː eː n
keräämiseksi	k e r æː m i s e k s i
keskeytynyt	k e s k e y̯ t y n y t
keskiasteen	k e s k i ɑ s t eː n
keskittymiseen	k e s k i tː y m i s eː n
keskittymiskyvyn	k e s k i tː y m i s k y ʋ y n
kielellisen	k i e̯ l e lː i s e n
kiertäisi	k i e̯ r t æ i̯ s i
kiinnität	k iː nː i t æ t
kiinnostuivat	k iː nː o s t u i̯ ʋ ɑ t
kiintyy	k iː n t yː
kiireellisenä	k iː r eː lː i s e n æ
kiiteltiin	k iː t e l t iː n
kilpeläisen	k i l p e l æ i̯ s e n
kimalaiset	k i m ɑ l ɑ i̯ s e t
kinnulan	k i nː u l ɑ n
kirjottanu	k i r j o tː ɑ n u
kirkkonummelle	k i r kː o n u mː e lː eˣ
kisaamassa	k i s ɑː m ɑ sː ɑ
kitkettyä	k i t k e tː y æˣ
koettivat	k o e tː i ʋ ɑ t
koillispuolella	k o i̯ lː i s p u o̯ l e lː ɑˣ
koirassa	k o i̯ r ɑ sː ɑ
kokoisina	k o k o i̯ s i n ɑ
kokonaisveroaste	k o k o n ɑ i̯ s ʋ e r o ɑ s t eˣ
komentoonsa	k o m e n t oː n s ɑ
komerossa	k o m e r o sː ɑ
kommentoimatta	k o mː e n t o i̯ m ɑ tː ɑ
komplikaatiot	k o m p l i k ɑː t i o t
konkreettisista	k o ŋ k r eː tː i s i s t ɑ
konseptina	k o n s e p t i n ɑ
kontolleen	k o n t o lː eː n
konttorit	k o n tː o r i t
koosteen	k oː s t eː n
korkeuseroja	k o r k e u s e r o j ɑ
korkeuserot	k o r k e u s e r o t
korostavan	k o r o s t ɑ ʋ ɑ n
koskettimia	k o s k e tː i m i ɑ
kotikylän	k o t i k y l æ n
koulujärjestelmän	k o u̯ l u j æ r j e s t e l m æ n
kouluruokaa	k o u̯ l u r u o̯ k ɑː
koulutuskeskuksen	k o u̯ l u t u s k e s k u k s e n
ksenia	k s e n i ɑ
kukkaroa	k u kː ɑ r o ɑˣ
kuljetettua	k u l j eˣ t e tː u ɑˣ
kultaisessa	k u l t ɑ i̯ s e sː ɑ
kultaranta	k u l t ɑ r ɑ n t ɑ
kuluttajansuojalain	k u l u tː ɑ j ɑ n s u o̯ j ɑ l ɑ i̯ n
kumminki	k u mː i ŋ k i
kungfu	k u ŋ f u
kunnostamaan	k u nː o s t ɑ m ɑː n
kuntatalouden	k u n t ɑ t ɑ l o u̯ d e n
kuolemantuomiot	k u o̯ l e m ɑ n t u o̯ m i o t
kuolemattomia	k u o̯ l e m ɑ tː o m i ɑ
kuplien	k u p l i e n
kuplivaa	k u p l i ʋ ɑː
kurjan	k u r j ɑ n
kuskilta	k u s k i l t ɑ
kutemaan	k u t eˣ m ɑː n
kuulemisessa	k uː l e m i s e sː ɑ
kuumimmillaan	k uː m i mː i lː ɑː n
kuvasit	k u ʋ ɑ s i t
kyläkaupan	k y l æ k ɑ u̯ p ɑ n
kympistä	k y m p i s t æˣ
kypsyi	k y p s y i̯
kyytien	k yː t i e n
käsitteellä	k æ s i tː eː lː æˣ
käsityöläisiä	k æ s i t y ø̯ l æ i̯ s i æ
käydyistä	k æ y̯ d y i̯ s t æˣ
käykäähän	k æ y̯ k æː h æ n
käytännölliset	k æ y̯ t æ nː ø lː i s e t
köyliön	k ø y̯ l i ø n
laaditut	l ɑː d i t u t
laakkosen	l ɑː kː o s e n
ladattuja	l ɑ d ɑ tː u j ɑ
lahjakasta	l ɑ h j ɑ k ɑ s t ɑ
laidoilta	l ɑ i̯ d o i̯ l t ɑ
laitanko	l ɑ i̯ t ɑ ŋ k o
laitteistojen	l ɑ i̯ tː e i̯ s t o j e n
lampea	l ɑ m p e ɑ
lancelot	l ɑ n s e l o t
lankea	l ɑ ŋ k e ɑ
laskettelemaan	l ɑ s k e tː e l e m ɑː n
lastenkulttuurin	l ɑ s t e n k u l tː uː r i n
laumansa	l ɑ u̯ m ɑ n s ɑ
laurenin	l ɑ u̯ r e n i n
laurentin	l ɑ u̯ r e n t i n
lehtolan	l e h t o l ɑ n
leijan	l e i̯ j ɑ n
leijuva	l e i̯ j u ʋ ɑ
leluihin	l e l u i̯ h i n
lentoemännät	l e n t o e m æ nː æ t
lentomatkan	l e n t o m ɑ t k ɑ n
lentäjille	l e n t æ j i lː eˣ
leonidas	l e o n i d ɑ s
levels	l e ʋ e l s
levittäytyi	l e ʋ i tː æ y̯ t y i̯
levottomuuksiin	l e ʋ o tː o m uː k s iː n
levytyssopimus	l e ʋ y t y s s o p i m u s
liikahti	l iː k ɑ h t i
liikkeille	l iː kː e i̯ lː eˣ
liikkumasta	l iː kː u m ɑ s t ɑ
liikuin	l iː k u i̯ n
liitolta	l iː t o l t ɑ
liitteeseen	l iː tː eː s eː n
lindqvistin	l i n d k ʋ i s t i n
lintuihin	l i n t u i̯ h i n
listaamattomien	l i s t ɑː m ɑ tː o m i e̯ n
loistavaksi	l o i̯ s t ɑ ʋ ɑ k s i
luistimilla	l u i̯ s t i m i lː ɑ
luk	l u k
lukukausimaksujen	l u k u k ɑ u̯ s i m ɑ k s u j e n
lumikin	l u m i k i n
luokatonta	l u o̯ k ɑ t o n t ɑ
luottamuksella	l u o̯ tː ɑ m u k s e lː ɑˣ
lupansa	l u p ɑ n s ɑ
lyhempi	l y h e m p i
lyhytaikaiseen	l y h y t ɑ i̯ k ɑ i̯ s eː n
lyhytelokuvia	l y h y t e l o k u ʋ i ɑ
lämmittelyä	l æ mː i tː e l y æˣ
läppäriin	l æ pː æ r iː n
maagiset	m ɑː ɡ i s e t
maajoukkoja	m ɑː j o u̯ kː o j ɑ
maajoukkuetason	m ɑː j o u̯ kː u eˣ t ɑ s o n
maakaasulla	m ɑː k ɑː s u lː ɑ
maanteitä	m ɑː n t e i̯ t æ
maaottelunsa	m ɑː o tː e l u n s ɑ
madventures	m ɑ d ʋ e n t u r e s
magical	m ɑ ɡ i k ɑ l
mahtavuutta	m ɑ h t ɑ ʋ uː tː ɑ
maistoi	m ɑ i̯ s t o i̯
majakat	m ɑ j ɑ k ɑ t
makuupussin	m ɑ k uː p u sː i n
mandaattia	m ɑ n d ɑː tː i ɑ
mandariinin	m ɑ n d ɑ r iː n i n
manipuloinnin	m ɑ n i p u l o i̯ nː i n
marginaalin	m ɑ r ɡ i n ɑː l i n
markettiin	m ɑ r k e tː iː n
markkinaosuuden	m ɑ r kː i n ɑ o s uː d e n
marssinut	m ɑ r sː i n u t
martinille	m ɑ r t i n i lː eˣ
masai	m ɑ s ɑ i̯
maskuliinisia	m ɑ s k u l iː n i s i ɑ
massiiviseen	m ɑ sː iː ʋ i s eː n
matkallasi	m ɑ t k ɑ lː ɑ s i
matkustaessaan	m ɑ t k u s t ɑ e sː ɑː n
matojen	m ɑ t o j e n
mcgee	m ə ɡ iː
medina	m e d i n ɑ
menestyksestään	m e n e s t y k s e s t æː n
menestystään	m e n e s t y s t æː n
menihän	m e n i h æ n
mep	m e p
merkkisen	m e r kː i s e n
metsikköön	m e t s i kː øː n
metsäkeskuksen	m e t s æ k e s k u k s e n
metsästi	m e t s æ s t iˣ
mielialat	m i e̯ l i ɑ l ɑ t
mielipiteitäni	m i e̯ l i p i t e i̯ t æ n i
mielivaltaisia	m i e̯ l i ʋ ɑ l t ɑ i̯ s i ɑ
mielletty	m i e̯ lː e tː y
mietinnössä	m i e̯ t i nː ø sː æ
mietitte	m i e̯ t i tː eˣ
millaiselta	m i lː ɑ i̯ s e l t ɑ
miltäs	m i l t æ s
ministeriölle	m i n i s t e r i ø lː eˣ
minkälaisiin	m i ŋ k æ l ɑ i̯ s iː n
modernille	m o d e r n i lː eˣ
monikulttuurisessa	m o n i k u l tː uː r i s e sː ɑ
monimuotoisuuteen	m o n i m u o̯ t o i̯ s uː t eː n
moninkertaistuu	m o n i n k e r t ɑ i̯ s t uː
monitorin	m o n i t o r i n
monsters	m o n s t e r s
moottoripyörillä	m oː tː o r i p y ø̯ r i lː æ
morgenstern	m o r ɡ e n s t e r n
mormonit	m o r m o n i t
moulin	m o u̯ l i n
mozartia	m o z ɑ r t i ɑ
muhoksella	m u h o k s e lː ɑˣ
muistanu	m u i̯ s t ɑ n u
muller	m u lː e r
mumbain	m u m b ɑ i̯ n
muodostamiseksi	m u o̯ d o s t ɑ m i s e k s i
muotokuvaa	m u o̯ t o k u ʋ ɑː
mustekalaa	m u s t eˣ k ɑ l ɑː
muusikoksi	m uː s i k o k s i
mäkistä	m æ k i s t æˣ
naisseuraa	n ɑ i̯ s s e u̯ r ɑː
naivi	n ɑ i̯ ʋ i
natolle	n ɑ t o lː eˣ
naurettavaksi	n ɑ u̯ r e tː ɑ ʋ ɑ k s i
neilin	n e i̯ l i n
nemesis	n e m e s i s
nettisivuillamme	n e tː i s i ʋ u i̯ lː ɑ mː eˣ
neuvonnan	n e u̯ ʋ o nː ɑ n
neuvostoliittolaisen	n e u̯ ʋ o s t o l iː tː o l ɑ i̯ s e n
neuvottelijat	n e u̯ ʋ o tː e l i j ɑ t
neves	n e ʋ e s
ninjat	n i n j ɑ t
niskassaan	n i s k ɑ sː ɑː n
nojautuu	n o j ɑ u̯ t uː
nokea	n o k e ɑ
nopat	n o p ɑ t
nopeissa	n o p e i̯ sː ɑ
norjalaishiihtäjä	n o r j ɑ l ɑ i̯ s h iː h t æ j æ
normaalistikin	n o r m ɑː l i s t i k i n
nyansseja	n y ɑ n sː e j ɑ
nykytekniikalla	n y k y t e k n iː k ɑ lː ɑ
nyrkkeilijää	n y r kː e i̯ l i j æː
näihinkin	n æ i̯ h i ŋ k i n
näkyvyyteen	n æ k y ʋ yː t eː n
näköalan	n æ k ø ɑ l ɑ n
näkökentän	n æ k ø k e n t æ n
oaklandin	o ɑ k l ɑ n d i n
objektiivit	o b j e k t iː ʋ i t
odottaakaan	o d o tː ɑː k ɑː n
oem	o e m
ohitettiin	o h i t e tː iː n
ohjaajina	o h j ɑː j i n ɑ
ohjaimissa	o h j ɑ i̯ m i sː ɑ
ohjekirjan	o h j eˣ k i r j ɑ n
ohjelmoidaan	o h j e l m o i̯ d ɑː n
oikaisuvaatimuksen	o i̯ k ɑ i̯ s u ʋ ɑː t i m u k s e n
oikeellisuuden	o i̯ k eː lː i s uː d e n
oikeuskäsittelyn	o i̯ k e u s k æ s i tː e l y n
oliiviöljyllä	o l iː ʋ i ø l j y lː æ
olitkin	o l i t k i n
ollapa	o lː ɑ p ɑ
omastani	o m ɑ s t ɑ n i
omenassa	o m e n ɑ sː ɑ
ominaispiirteet	o m i n ɑ i̯ s p iː r t eː t
omistin	o m i s t i n
ongelmiksi	o ŋː e l m i k s i
operaattorille	o p e r ɑː tː o r i lː eˣ
opetat	o p e t ɑ t
opettelun	o p e tː e l u n
opiskelijalta	o p i s k e l i j ɑ l t ɑ
oppineensa	o pː i n eː n s ɑ
orastavaa	o r ɑ s t ɑ ʋ ɑː
osallistumisestaan	o s ɑ lː i s t u m i s e s t ɑː n
oslosta	o s l o s t ɑ
osuudestaan	o s uː d e s t ɑː n
otahan	o t ɑ h ɑ n
ov	o ʋ
paalulta	p ɑː l u l t ɑ
paalupaikalle	p ɑː l u p ɑ i̯ k ɑ lː eˣ
paasilinnan	p ɑː s i l i nː ɑ n
paenneiden	p ɑ e nː e i̯ d e n
pahoina	p ɑ h o i̯ n ɑ
pahoinpitelyssä	p ɑ h o i̯ n p i t e l y sː æ
painavien	p ɑ i̯ n ɑ ʋ i e̯ n
paketteihin	p ɑ k e tː e i̯ h i n
paksumpia	p ɑ k s u m p i ɑ
paljonhan	p ɑ l j o n h ɑ n
palkastasi	p ɑ l k ɑ s t ɑ s i
palkitsemista	p ɑ l k i t s e m i s t ɑ
palvelimien	p ɑ l ʋ e l i m i e̯ n
palvelinten	p ɑ l ʋ e l i n t e n
palveluntarjoajien	p ɑ l ʋ e l u n t ɑ r j o ɑ j i e n
palvelusetelin	p ɑ l ʋ e l u s e t e l i n
paneutuu	p ɑ n e u̯ t uː
panimoiden	p ɑ n i m o i̯ d e n
panoa	p ɑ n o ɑˣ
panostan	p ɑ n o s t ɑ n
panostuksen	p ɑ n o s t u k s e n
parkkihallin	p ɑ r kː i h ɑ lː i n
partaalta	p ɑ r t ɑː l t ɑ
parvessa	p ɑ r ʋ e sː ɑ
pattinson	p ɑ tː i n s o n
pavlov	p ɑ ʋ l o ʋ
pehmeiksi	p e h m e i̯ k s i
peliittojen	p e l iː tː o j e n
pelimerkit	p e l i m e r k i t
pelkältä	p e l k æ l t æ
pellavaa	p e lː ɑ ʋ ɑː
pelätessään	p e l æ t e sː æː n
pennyä	p e nː y æˣ
perheenjäsentä	p e r h eː n j æ s e n t æ
perkelettä	p e r k eˣ l e tː æ
pertun	p e r t u n
perusmallin	p e r u s m ɑ lː i n
perusteina	p e r u s t e i̯ n ɑ
perustuksen	p e r u s t u k s e n
perustuslakivaliokunnassa	p e r u s t u s l ɑ k i ʋ ɑ l i o k u nː ɑ sː ɑ
peruttava	p e r u tː ɑ ʋ ɑ
peruuttanut	p e r uː tː ɑ n u t
peräsimeen	p e r æ s i m eː n
pettävän	p e tː æ ʋ æ n
pidettäviin	p i d e tː æ ʋ iː n
pienyrityksiä	p i e̯ n y r i t y k s i æ
piilotteli	p iː l o tː e l i
piiloutumaan	p iː l o u̯ t u m ɑː n
piirittävät	p iː r i tː æ ʋ æ t
pikkukaupungista	p i kː u k ɑ u̯ p u ŋː i s t ɑ
pikkukylässä	p i kː u k y l æ sː æ
pikkusiskonsa	p i kː u s i s k o n s ɑ
pilvipalvelut	p i l ʋ i p ɑ l ʋ e l u t
pingviinejä	p i ŋ ʋ iː n eˣ j æ
pintaveden	p i n t ɑ ʋ e d e n
pocahontas	p o k ɑ h o n t ɑ s
pohjoisia	p o h j o i̯ s i ɑ
poikaystävät	p o i̯ k ɑ y s t æ ʋ æ t
poissuljettua	p o i̯ sː u l j e tː u ɑˣ
pojilleen	p o j i lː eː n
poliiseiksi	p o l iː s e i̯ k s i
poliisikaan	p o l iː s i k ɑː n
poliitikosta	p o l iː t i k o s t ɑ
pommittavat	p o mː i tː ɑ ʋ ɑ t
proagria	p r o ɑ ɡ r i ɑ
profit	p r o f i t
pudotessa	p u d o t e sː ɑ
pudotettua	p u d o t e tː u ɑˣ
puheitta	p u h e i̯ tː ɑ
puhuttele	p u h u tː e l eˣ
pullollisen	p u lː o lː i s e n
pumpkin	p u m p k i n
pumppua	p u m pː u ɑˣ
punjab	p u n j ɑ b
purematta	p u r eˣ m ɑ tː ɑ
pyhimysten	p y h i m y s t e n
pysyvässä	p y s y ʋ æ sː æ
päiväkirjassa	p æ i̯ ʋ æ k i r j ɑ sː ɑ
päiväkirjoja	p æ i̯ ʋ æ k i r j o j ɑ
päti	p æ t i
päähinettä	p æː h i n e tː æ
päänahkaa	p æː n ɑ h k ɑːˣ
päässytkään	p æː sː y t k æː n
päätökselle	p æː t ø k s e lː eˣ
päätösottelussa	p æː t ø s o tː e l u sː ɑ
pötyä	p ø t y æˣ
qaidaan	k ɑ i̯ d ɑː n
radikalisoitumisen	r ɑ d i k ɑ l i s o i̯ t u m i s e n
rahamäärää	r ɑ h ɑ m æː r æː
rahoissa	r ɑ h o i̯ sː ɑ
rakennusteollisuuden	r ɑ k e nː u s t e o lː i s uː d e n
rakentaakseen	r ɑ k e n t ɑː k s eː n
rakoa	r ɑ k o ɑˣ
ramses	r ɑ m s e s
randi	r ɑ n d i
rankkarit	r ɑ ŋ kː ɑ r i t
ranskalta	r ɑ n s k ɑ l t ɑ
rantasalmella	r ɑ n t ɑ s ɑ l m e lː ɑˣ
rapistuu	r ɑ p i s t uː
rasitteita	r ɑ s i tː e i̯ t ɑ
ratkaistaisiin	r ɑ t k ɑ i̯ s t ɑ i̯ s iː n
ratkottiin	r ɑ t k o tː iː n
ratsastajia	r ɑ t s ɑ s t ɑ j i ɑ
ratsastivat	r ɑ t s ɑ s t i ʋ ɑ t
rauhoitettua	r ɑ u̯ h o i̯ t e tː u ɑˣ
reikiin	r e i̯ k iː n
rennoksi	r e nː o k s i
richien	r i ʃ i e n
riidoista	r iː d o i̯ s t ɑˣ
riistäytyi	r iː s t æ y̯ t y i̯
riittämätöntä	r iː tː æ m æ t ø n t æ
rikkaissa	r i kː ɑ i̯ sː ɑ
rikkoutumisen	r i kː o u̯ t u m i s e n
rikoksessa	r i k o k s e sː ɑ
rikospaikalta	r i k o s p ɑ i̯ k ɑ l t ɑ
ristiretket	r i s t i r e t k e t
riutan	r i u̯ t ɑ n
rivinsä	r i ʋ i n s æ
robotics	r o b o t i k s
rohjennut	r o h j e nː u t
rohkeutensa	r o h k e u̯ t e n s ɑ
rohmusi	r o h m u s i
rolandin	r o l ɑ n d i n
role	r o l eˣ
romaaneissa	r o m ɑː n e i̯ sː ɑ
romahda	r o m ɑ h d ɑˣ
roomalaista	r oː m ɑ l ɑ i̯ s t ɑˣ
rooster	r oː s t e r
ros	r o s
rumpalia	r u m p ɑ l i ɑ
runoihin	r u n o i̯ h i n
ruoissa	r u o̯ i sː ɑ
rusinoiden	r u s i n o i̯ d e n
räntäsateessa	r æ n t æ s ɑ t eː sː ɑ
saamiselle	s ɑː m i s e lː eˣ
saapuvaksi	s ɑː p u ʋ ɑ k s i
saarakkala	s ɑː r ɑ kː ɑ l ɑ
saarien	s ɑː r i e n
saariselän	s ɑː r i s e l æ n
saarnaavat	s ɑː r n ɑː ʋ ɑ t
saavuttiin	s ɑː ʋ u tː iː n
sairaanhoitopiirit	s ɑ i̯ r ɑː n h o i̯ t o p iː r i t
salamalla	s ɑ l ɑ m ɑ lː ɑ
salamana	s ɑ l ɑ m ɑ n ɑ
salamia	s ɑ l ɑ m i ɑ
salinin	s ɑ l i n i n
salviaa	s ɑ l ʋ i ɑː
sampson	s ɑ m p s o n
sandvik	s ɑ n d ʋ i k
sanoppa	s ɑ n o pː ɑ
sanotko	s ɑ n o t k o
satokauden	s ɑ t o k ɑ u̯ d e n
sattumanvaraisia	s ɑ tː u m ɑ n ʋ ɑ r ɑ i̯ s i ɑ
