bil	b íː l
končata	k ɔ n t͡ʃ áː t a
korelacija	k ɔ r ɛ l àː t͡s i j a
kozice	k ɔ z ìː t͡s ɛ
kočevskih	k ɔ t͡ʃ éː ʋ s k i x
kratni	k r áː t n i
kreativna	k r ɛ a t íː ʋ n a
krhkost	k ə́ r x k ɔ s t
krivce	k r ìː ʋ t͡s ɛ
križarske	k r i ʒ áː r s k ɛ
križarski	k r i ʒ áː r s k i
krmili	k ə r m ìː l i
krmilne	k ə r m íː l n ɛ
kroničnim	k r ɔ n ìː t͡ʃ n i m
kronski	k r óː n s k i
krstom	k ə̀ r s t ɔ m
kuverte	k u ʋ èː r t ɛ
lapajne	l a p áː j n ɛ
laptop	l áː p t ɔ p
laze	l àː z ɛ
lepotnih	l ɛ p óː t n i x
leskovcu	l ɛ s k ɔ́ː ʋ t͡s u
lipič	l ìː p i t͡ʃ
loch	l óː x
loeb	l ɔ̀ː p
loncu	l óː n t͡s u
lukas	l ùː k a s
madžarščine	m a d͡ʒ áː r ʃ t͡ʃ i n ɛ
mamljivo	m a m l j ìː ʋ ɔ
manifesta	m a n i f éː s t a
marali	m a r àː l i
margareta	m a r ɡ a r éː t a
marte	m àː r t ɛ
masažni	m a s áː ʒ n i
medsebojnim	m ɛ t s ɛ b ɔ̀ː j n i m
merchant	m ɛ r x áː n t
merite	m ɛ r ìː t ɛ
metz	m éː t͡s
mikrofoni	m i k r ɔ f óː n i
minerva	m i n éː r ʋ a
miniaturnih	m i n i a t úː r n i x
minimalnim	m i n i m áː l n i m
miroljubno	m i r ɔ l j ùː b n ɔ
mišek	m ìː ʃ ə k
mladoletnike	m l a d ɔ l éː t n i k ɛ
moby	m òː b i
monetarne	m ɔ n ɛ t áː r n ɛ
montaže	m ɔ n t áː ʒ ɛ
moskovskem	m ɔ s k ɔ́ː ʋ s k ɛ m
možakarja	m ɔ ʒ a k áː r j a
mramor	m r àː m ɔ r
nadenj	n àː d ə n
naključen	n a k l j ùː t͡ʃ ə n
nanju	n áː n j u
napalm	n a p áː l m
narodnostnih	n a r ɔ d n óː s t n i x
naroča	n a r óː t͡ʃ a
naslavljanje	n a s l a ʋ l j áː n j ɛ
naveličala	n a ʋ ɛ l i t͡ʃ áː l a
naštetega	n a ʃ t ɛ t éː ɡ a
nedrček	n ɛ d ə́ r t͡ʃ ə k
nehaj	n ɛ x áː j
nehamo	n ɛ x àː m ɔ
nini	n ìː n i
nizi	n ìː z i
ničelne	n i t͡ʃ éː l n ɛ
norčevali	n ɔ r t͡ʃ ɛ ʋ àː l i
obdelala	ɔ b d ɛ l áː l a
obeležili	ɔ b ɛ l ɛ ʒ ìː l i
obudi	ɔ b ùː d i
odjemalci	ɔ d j ɛ m áː l t͡s i
odobritvijo	ɔ d ɔ b r ìː t ʋ i j ɔ
odpadlo	ɔ t p áː d l ɔ
odpravljal	ɔ t p r a ʋ l j áː l
odrasti	ɔ d r àː s t i
odrezani	ɔ d r ɛ z àː n i
odvisnik	ɔ d ʋ íː s n i k
oksidacije	ɔ k s i d àː t͡s i j ɛ
opeva	ɔ p éː ʋ a
opčinah	ɔ p t͡ʃ ìː n a x
orožji	ɔ r óː ʒ j i
osončju	ɔ s óː n t͡ʃ j u
osreči	ɔ s r èː t͡ʃ i
osvobodimo	ɔ s ʋ ɔ b ɔ d ìː m ɔ
pandur	p a n d ùː r
parazit	p a r a z íː t
partij	p àː r t i j
ped	p éː t
pentagon	p ɛ n t a ɡ óː n
petine	p ɛ t ìː n ɛ
pikado	p i k áː d ɔ
pina	p ìː n a
piščancem	p i ʃ t͡ʃ áː n t͡s ɛ m
placebom	p l a t͡s ɛ b óː m
platen	p l àː t ə n
plačilne	p l a t͡ʃ íː l n ɛ
pljuči	p l j ùː t͡ʃ i
pobijanje	p ɔ b i j áː n j ɛ
podaljški	p ɔ d áː l ʃ k i
podgorici	p ɔ d ɡ ɔ r ìː t͡s i
podlog	p ɔ d l óː k
podprite	p ɔ t p r ìː t ɛ
podtalnica	p ɔ t t áː l n i t͡s a
pogajali	p ɔ ɡ a j àː l i
pogostega	p ɔ ɡ ɔ s t éː ɡ a
pokončen	p ɔ k óː n t͡ʃ ə n
pokrovitelji	p ɔ k r ɔ ʋ ìː t ɛ l j i
ponaredki	p ɔ n a r éː t k i
popisuje	p ɔ p i s ùː j ɛ
popra	p óː p r a
poseka	p ɔ s éː k a
poslovite	p ɔ s l ɔ ʋ ìː t ɛ
posočja	p ɔ s óː t͡ʃ j a
potiskajo	p ɔ t i s k áː j ɔ
potone	p ɔ t óː n ɛ
poved	p ɔ ʋ éː t
povečata	p ɔ ʋ ɛ t͡ʃ áː t a
pozicij	p ɔ z ìː t͡s i j
poživil	p ɔ ʒ i ʋ íː l
praha	p r àː x a
prazgodovinsko	p r a z ɡ ɔ d ɔ ʋ íː n s k ɔ
preberejo	p r ɛ b ɛ r ɛ́ː j ɔ
pregrehe	p r ɛ ɡ r èː x ɛ
preiskovali	p r ɛ i s k ɔ ʋ àː l i
preizkušenj	p r ɛ i s k ùː ʃ ə n
prejete	p r ɛ j èː t ɛ
preleti	p r ɛ l èː t i
premikih	p r ɛ m ìː k i x
preprečevali	p r ɛ p r ɛ t͡ʃ ɛ ʋ àː l i
preprodajo	p r ɛ p r ɔ d áː j ɔ
preskočiti	p r ɛ s k òː t͡ʃ i t i
prihranilo	p r i x r a n ìː l ɔ
priključkov	p r i k l j ùː t͡ʃ k ɔ ʋ
priletela	p r i l ɛ t éː l a
prinašamo	p r i n a ʃ áː m ɔ
priselil	p r i s ɛ l íː l
prisvojil	p r i s ʋ ɔ j ìː l
pritiskal	p r i t i s k áː l
pritoži	p r i t óː ʒ i
privatizacije	p r i ʋ a t i z àː t͡s i j ɛ
prodani	p r ɔ d àː n i
promocijska	p r ɔ m ɔ t͡s íː j s k a
promocijskih	p r ɔ m ɔ t͡s íː j s k i x
prospekt	p r ɔ s p éː k t
protislovje	p r ɔ t i s l ɔ́ː ʋ j ɛ
prozorni	p r ɔ z óː r n i
proženje	p r ɔ ʒ éː n j ɛ
prožno	p r óː ʒ n ɔ
prsmi	p ə́ r s m i
publicistka	p u b l i t͡s íː s t k a
ravnijo	r àː ʋ n i j ɔ
ravninskem	r a ʋ n ìː n s k ɛ m
razpoložljivi	r a s p ɔ l ɔ ʒ l j ìː ʋ i
razpotju	r a s p óː t j u
raztezanja	r a s t ɛ z áː n j a
redakciji	r ɛ d àː k t͡s i j i
referenčnega	r ɛ f ɛ r èː n t͡ʃ n ɛ ɡ a
renesančno	r ɛ n ɛ s áː n t͡ʃ n ɔ
rente	r èː n t ɛ
reorganizaciji	r ɛ ɔ r ɡ a n i z àː t͡s i j i
represijo	r ɛ p r ɛ s íː j ɔ
republikah	r ɛ p u b l ìː k a x
rezi	r èː z i
rogatcu	r ɔ ɡ áː t t͡s u
romanska	r ɔ m áː n s k a
roparja	r ɔ p áː r j a
rovinj	r ɔ ʋ ìː n
roškar	r óː ʃ k a r
rušenju	r ùː ʃ ɛ n j u
sadeža	s a d éː ʒ a
salone	s a l óː n ɛ
samara	s a m áː r a
samoobrambe	s a m ɔ ɔ b r áː m b ɛ
samsko	s áː m s k ɔ
samuraji	s a m u r áː j i
sanjate	s a n j àː t ɛ
sanjske	s áː n s k ɛ
satana	s a t áː n a
satire	s a t ìː r ɛ
sebični	s ɛ b ìː t͡ʃ n i
seksualna	s ɛ k s u áː l n a
severovzhod	s ɛ ʋ ɛ r ɔ ʋ z x óː t
sežane	s ɛ ʒ àː n ɛ
shanghai	s x áː n ɡ x a i
sherwood	s x ɛ r w óː t
signalizacije	s i ɡ n a l i z àː t͡s i j ɛ
silent	s i l éː n t
singla	s íː n ɡ l a
situacijam	s i t u a t͡s íː j a m
size	s ìː z ɛ
skakalnic	s k a k áː l n i t͡s
skalnatih	s k a l n àː t i x
skelet	s k ɛ l éː t
skočijo	s k ɔ t͡ʃ íː j ɔ
snowden	s n ɔ́ː ʋ d ə n
sociološko	s ɔ t͡s i ɔ l óː ʃ k ɔ
soočal	s ɔ ɔ t͡ʃ áː l
sorazmerne	s ɔ r a z m éː r n ɛ
spodobna	s p ɔ d óː b n a
spontanega	s p ɔ n t a n éː ɡ a
spoprijateljiti	s p ɔ p r i j a t ɛ l j ìː t i
spoznajmo	s p ɔ z n áː j m ɔ
sprli	s p ə́ r l i
spusta	s p ùː s t a
spustim	s p ùː s t i m
sramote	s r a m óː t ɛ
srečneži	s r èː t͡ʃ n ɛ ʒ i
stoletni	s t ɔ l éː t n i
strožje	s t r óː ʒ j ɛ
svetopisemsko	s ʋ ɛ t ɔ p i s éː m s k ɔ
tab	t áː p
tajnem	t áː j n ə m
teniško	t ɛ n ìː ʃ k ɔ
tl	t ə́ l
tobogan	t ɔ b ɔ ɡ áː n
tomažin	t ɔ m a ʒ íː n
travnate	t r a ʋ n àː t ɛ
tres	t r éː s
treviso	t r ɛ ʋ ìː s ɔ
trgovali	t ə r ɡ ɔ ʋ àː l i
trobec	t r ɔ̀ː b ə t͡s
turbin	t u r b íː n
ubogal	u b ɔ ɡ áː l
umirile	u m i r ìː l ɛ
univerzalnih	u n i ʋ ɛ r z áː l n i x
uporabniške	u p ɔ r àː b n i ʃ k ɛ
upravljavci	u p r a ʋ l j áː ʋ t͡s i
usmerjali	u s m ɛ r j àː l i
usposobili	u s p ɔ s ɔ b ìː l i
uveljavitvijo	u ʋ ɛ l j a ʋ ìː t ʋ i j ɔ
veni	ʋ èː n i
ventila	ʋ ɛ n t ìː l a
vertikalna	ʋ ɛ r t i k áː l n a
veterinarsko	ʋ ɛ t ɛ r i n áː r s k ɔ
veva	ʋ èː ʋ a
visokogorja	ʋ i s ɔ k ɔ ɡ óː r j a
vitalnost	ʋ i t áː l n ɔ s t
vizij	ʋ ìː z i j
vključiš	ʋ k l j ùː t͡ʃ i ʃ
vložka	ʋ l óː ʃ k a
vsakoletnih	ʋ s a k ɔ l éː t n i x
vsemogočnega	ʋ s ɛ m ɔ ɡ óː t͡ʃ n ɛ ɡ a
vzleti	ʋ z l èː t i
vznemirjen	ʋ z n ɛ m íː r j ə n
vzvišen	ʋ z ʋ ìː ʃ ə n
zadenejo	z a d ɛ n ɛ́ː j ɔ
zahtevanih	z a x t ɛ ʋ àː n i x
zahvalni	z a x ʋ áː l n i
zajcu	z áː j t͡s u
zaključujem	z a k l j u t͡ʃ úː j ə m
zaklopke	z a k l óː p k ɛ
zalivov	z a l ìː ʋ ɔ ʋ
zamerim	z a m ɛ r ìː m
zane	z àː n ɛ
zaobiti	z a ɔ b ìː t i
zaračunati	z a r a t͡ʃ ùː n a t i
zareze	z a r èː z ɛ
zasledili	z a s l ɛ d ìː l i
zasledovalci	z a s l ɛ d ɔ ʋ áː l t͡s i
zastavico	z a s t a ʋ ìː t͡s ɔ
zasuli	z a s ùː l i
zažgejo	z a ʒ ɡ ɛ́ː j ɔ
zlomijo	z l ɔ m íː j ɔ
zlorablja	z l ɔ r àː b l j a
zmagale	z m a ɡ àː l ɛ
zur	z ùː r
zven	z ʋ éː n
zvišal	z ʋ i ʃ áː l
čebelarski	t͡ʃ ɛ b ɛ l áː r s k i
černigoj	t͡ʃ ɛ r n i ɡ óː j
četverica	t͡ʃ ɛ t ʋ ɛ r ìː t͡s a
čistilka	t͡ʃ i s t íː l k a
čistimo	t͡ʃ i s t ìː m ɔ
črtica	t͡ʃ ə̀ r t i t͡s a
špinačo	ʃ p i n àː t͡ʃ ɔ
žalna	ʒ áː l n a
žarkih	ʒ àː r k i x
željni	ʒ ɛ̀ː l n i
žepek	ʒ ɛ̀ː p ə k
žganih	ʒ ɡ àː n i x
aidan	a i d áː n
aleksandru	a l ɛ k s áː n d r u
alo	àː l ɔ
alva	áː l ʋ a
amandmaja	a m a n d m áː j a
andersona	a n d ɛ r s óː n a
angažirana	a n ɡ a ʒ i r áː n a
antologijo	a n t ɔ l ɔ ɡ íː j ɔ
argentinskega	a r ɡ ɛ n t íː n s k ɛ ɡ a
argus	a r ɡ úː s
asfalt	a s f áː l t
athena	a t x éː n a
baletna	b a l éː t n a
begunskih	b ɛ ɡ úː n s k i x
beljaka	b ɛ l j àː k a
beljakovinski	b ɛ l j a k ɔ ʋ íː n s k i
besedilnih	b ɛ s ɛ d íː l n i x
bibi	b ìː b i
blatni	b l áː t n i
blatno	b l áː t n ɔ
blender	b l èː n d ə r
bliss	b l íː s
bližnjemu	b l ìː ʒ n j ɛ m u
boleči	b ɔ l èː t͡ʃ i
boliviji	b ɔ l ìː ʋ i j i
bombažne	b ɔ m b áː ʒ n ɛ
bonboni	b ɔ n b óː n i
borovnic	b ɔ r ɔ́ː ʋ n i t͡s
bovca	b ɔ́ː ʋ t͡s a
brazde	b r àː z d ɛ
brezžičnih	b r ɛ z ʒ ìː t͡ʃ n i x
brinje	b r ìː n j ɛ
brutalen	b r u t áː l ə n
burmi	b ùː r m i
butalci	b u t áː l t͡s i
carterjeva	t͡s a r t ɛ r j éː ʋ a
celostni	t͡s ɛ l óː s t n i
civic	t͡s ìː ʋ i t͡s
complex	t͡s ɔ m p l éː k s
dah	d áː x
dedkom	d ɛ̀ː t k ɔ m
degenerativne	d ɛ ɡ ɛ n ɛ r a t íː ʋ n ɛ
dekliščino	d ɛ k l ìː ʃ t͡ʃ i n ɔ
delavno	d ɛ l áː ʋ n ɔ
desnici	d ɛ s n ìː t͡s i
diferenciacije	d i f ɛ r ɛ n t͡s i àː t͡s i j ɛ
dihalni	d i x áː l n i
direkciji	d i r èː k t͡s i j i
dobičke	d ɔ b ìː t͡ʃ k ɛ
dobrot	d ɔ b r óː t
dod	d óː t
dogovorita	d ɔ ɡ ɔ ʋ ɔ r ìː t a
dokazovali	d ɔ k a z ɔ ʋ àː l i
doktrini	d ɔ k t r ìː n i
dominantna	d ɔ m i n áː n t n a
domovanja	d ɔ m ɔ ʋ áː n j a
dosegljivo	d ɔ s ɛ ɡ l j ìː ʋ ɔ
dovoljevala	d ɔ ʋ ɔ l j ɛ ʋ áː l a
drugačnosti	d r u ɡ àː t͡ʃ n ɔ s t i
držale	d ə r ʒ àː l ɛ
duhovniške	d u x ɔ́ː ʋ n i ʃ k ɛ
duhovščina	d u x ɔ́ː ʋ ʃ t͡ʃ i n a
dunajem	d u n áː j ə m
duševnim	d u ʃ éː ʋ n i m
dvignjene	d ʋ ìː ɡ n j ɛ n ɛ
dvigovati	d ʋ i ɡ ɔ ʋ àː t i
dvomimo	d ʋ ɔ m ìː m ɔ
egipčanske	ɛ ɡ i p t͡ʃ áː n s k ɛ
ekonomista	ɛ k ɔ n ɔ m íː s t a
ekspert	ɛ k s p ɛ́ː r t
electronic	ɛ l ɛ t͡s t r óː n i t͡s
emisijo	ɛ m i s íː j ɔ
enid	ɛ n íː t
enigma	ɛ n ìː ɡ m a
enter	ɛ̀ː n t ə r
evakuaciji	ɛ ʋ a k u àː t͡s i j i
faro	f àː r ɔ
finalnih	f i n áː l n i x
finega	f i n éː ɡ a
formate	f ɔ r m àː t ɛ
fortuna	f ɔ r t ùː n a
frankfurta	f r a n k f úː r t a
furlanijo	f u r l àː n i j ɔ
gabrič	ɡ àː b r i t͡ʃ
galon	ɡ a l óː n
gamble	ɡ àː m b l ɛ
gear	ɡ ɛ̀ː r
generalnem	ɡ ɛ n ɛ r áː l n ɛ m
generalnemu	ɡ ɛ n ɛ r áː l n ɛ m u
glikogena	ɡ l i k ɔ ɡ éː n a
goleni	ɡ ɔ l èː n i
gospodarje	ɡ ɔ s p ɔ d áː r j ɛ
gostiteljice	ɡ ɔ s t i t ɛ l j ìː t͡s ɛ
gradbenim	ɡ r a d b ɛ n ìː m
gregorc	ɡ r ɛ ɡ óː r t͡s
gruškovje	ɡ r ùː ʃ k ɔ ʋ j ɛ
gs	ɡ ə́ s
habib	x a b íː p
havani	x a ʋ àː n i
hitlerjeva	x i t l ɛ r j éː ʋ a
hleva	x l èː ʋ a
hod	x óː t
homogena	x ɔ m ɔ ɡ éː n a
homoseksualnosti	x ɔ m ɔ s ɛ k s u áː l n ɔ s t i
hondo	x óː n d ɔ
hostel	x óː s t ə ʋ
hrama	x r àː m a
huh	x úː x
humorno	x u m óː r n ɔ
humus	x u m úː s
huston	x u s t óː n
idejna	i d ɛ́ː j n a
igrane	i ɡ r àː n ɛ
ilustrirala	i l u s t r i r áː l a
infekcij	i n f èː k t͡s i j
instalacije	i n s t a l àː t͡s i j ɛ
integrira	i n t ɛ ɡ r ìː r a
interdisciplinarne	i n t ɛ r d i s t͡s i p l i n áː r n ɛ
inventarja	i n ʋ ɛ n t áː r j a
ipad	i p á t
iskalni	i s k áː l n i
italijana	i t a l i j áː n a
italijane	i t a l i j áː n ɛ
izboljševati	i z b ɔ l ʃ ɛ ʋ àː t i
izdajalce	i z d a j áː l t͡s ɛ
izkoriščala	i s k ɔ r i ʃ t͡ʃ áː l a
iznajdljivost	i z n á j d l j ìː ʋ ɔ s t
izogibaj	i z ɔ ɡ ìː b a j
izolo	i z óː l ɔ
izplula	i s p l ùː l a
izpolnjevanja	i s p ɔ ʋ n j ɛ ʋ áː n j a
izrabil	i z r a b íː l
izrabo	i z r àː b ɔ
izrazne	i z r áː z n ɛ
izražanjem	i z r a ʒ áː n j ɛ m
izvaža	i z ʋ áː ʒ a
izvažajo	i z ʋ a ʒ áː j ɔ
izvirih	i z ʋ ìː r i x
izvrstne	i z ʋ ə́ r s t n ɛ
jackpot	j àː t͡s k p ɔ t
jaša	j áː ʃ a
jelcin	j ɛ l t͡s íː n
jevega	j ɛ ʋ éː ɡ a
jobs	j óː p s
jonathana	j ɔ n a t x áː n a
judinja	j ùː d i n j a
jugozahod	j u ɡ ɔ z a x óː t
kano	k àː n ɔ
kavkaza	k a ʋ k áː z a
kislini	k i s l ìː n i
klani	k l àː n i
klikov	k l ìː k ɔ ʋ
knjigam	k n j ìː ɡ a m
kohezijo	k ɔ x èː z i j ɔ
kolajne	k ɔ l áː j n ɛ
koledarjem	k ɔ l ɛ d áː r j ɛ m
količinsko	k ɔ l i t͡ʃ íː n s k ɔ
kolkov	k ɔ̀ː ʋ k ɔ ʋ
kompleksnem	k ɔ m p l èː k s n ɛ m
komplikacij	k ɔ m p l i k àː t͡s i j
koncesij	k ɔ n t͡s èː s i j
konstantni	k ɔ n s t áː n t n i
konstruktivne	k ɔ n s t r u k t íː ʋ n ɛ
kontaktnih	k ɔ n t áː k t n i x
kontra	k óː n t r a
kontrastu	k ɔ n t r áː s t u
kopirati	k ɔ p ìː r a t i
koral	k ɔ r áː l
koridorja	k ɔ r i d óː r j a
koritnik	k ɔ r íː t n i k
košarkarskega	k ɔ ʃ a r k áː r s k ɛ ɡ a
kreditov	k r ɛ d ìː t ɔ ʋ
krhki	k ə́ r x k i
krita	k r ìː t a
krosu	k r óː s u
krtačo	k ə r t àː t͡ʃ ɔ
kruhek	k r ùː x ə k
krčmo	k ə̀ r t͡ʃ m ɔ
kubansko	k u b áː n s k ɔ
kuhamo	k ùː x a m ɔ
kvadrant	k ʋ a d r áː n t
kvalitativno	k ʋ a l i t a t íː ʋ n ɔ
lako	l àː k ɔ
lasni	l áː s n i
lastniško	l áː s t n i ʃ k ɔ
latinskem	l a t íː n s k ɛ m
leposlovno	l ɛ p ɔ s l ɔ́ː ʋ n ɔ
lepot	l ɛ p óː t
licih	l ìː t͡s i x
lipov	l ìː p ɔ ʋ
lirika	l ìː r i k a
ljubiteljica	l j u b i t ɛ l j ìː t͡s a
logističnih	l ɔ ɡ i s t ìː t͡ʃ n i x
lokalih	l ɔ k àː l i x
lokev	l ɔ̀ː k ə ʋ
luksuzna	l u k s úː z n a
lulu	l ùː l u
lunarni	l u n áː r n i
malek	m àː l ə k
mandatih	m a n d àː t i x
marinčič	m a r ìː n t͡ʃ i t͡ʃ
marsikatera	m a r s i k a t éː r a
materinstva	m a t ɛ r íː n s t ʋ a
mathis	m áː t x i s
maxu	m áː k s u
mačjo	m àː t͡ʃ j ɔ
mediteranski	m ɛ d i t ɛ r áː n s k i
menjavajo	m ɛ n j a ʋ áː j ɔ
mentalna	m ɛ n t áː l n a
merilnik	m ɛ r íː l n i k
metelkovi	m ɛ t ɛ̀ː l k ɔ ʋ i
mešalnik	m ɛ ʃ áː l n i k
minile	m i n ìː l ɛ
minljivost	m i n l j ìː ʋ ɔ s t
mladostna	m l a d óː s t n a
mladostnih	m l a d óː s t n i x
množini	m n ɔ ʒ ìː n i
množičnimi	m n ɔ ʒ ìː t͡ʃ n i m i
monotono	m ɔ n ɔ t óː n ɔ
mornarja	m ɔ r n áː r j a
mucke	m ùː t͡s k ɛ
mučiti	m ùː t͡ʃ i t i
nabavila	n a b a ʋ ìː l a
najdaljšim	n á j d áː l ʃ i m
najmlajšo	n á j m l áː j ʃ ɔ
najprepoznavnejših	n á j p r ɛ p ɔ z n áː ʋ n ɛ j ʃ i x
najstarejšimi	n á j s t a r ɛ́ː j ʃ i m i
nakupovalne	n a k u p ɔ ʋ áː l n ɛ
nalaganja	n a l a ɡ áː n j a
nanašale	n a n a ʃ áː l ɛ
napeljali	n a p ɛ l j àː l i
napotkov	n a p óː t k ɔ ʋ
napovedale	n a p ɔ ʋ ɛ d áː l ɛ
nasprotujoča	n a s p r ɔ t u j óː t͡ʃ a
natečajih	n a t ɛ t͡ʃ áː j i x
native	n a t ìː ʋ ɛ
nazareta	n a z a r éː t a
nemira	n ɛ m ìː r a
nemirna	n ɛ m íː r n a
nepravem	n ɛ p r àː ʋ ə m
nesel	n èː s ə ʋ
neskladnost	n ɛ s k l áː d n ɔ s t
nesprejemljiv	n ɛ s p r ɛ j ɛ m l j ìː ʋ
nesramen	n ɛ s r àː m ə n
nevade	n ɛ ʋ àː d ɛ
nezanesljivi	n ɛ z a n ɛ s l j ìː ʋ i
neškodljiva	n ɛ ʃ k ɔ d l j ìː ʋ a
nji	n j ìː
nogice	n ɔ ɡ ìː t͡s ɛ
notarja	n ɔ t áː r j a
novomeško	n ɔ ʋ ɔ m éː ʃ k ɔ
nožnico	n óː ʒ n i t͡s ɔ
nvo	n ʋ óː
oazo	ɔ àː z ɔ
objektivnega	ɔ b j ɛ k t íː ʋ n ɛ ɡ a
oblikovne	ɔ b l i k ɔ́ː ʋ n ɛ
obogatili	ɔ b ɔ ɡ a t ìː l i
oboževalcem	ɔ b ɔ ʒ ɛ ʋ áː l t͡s ɛ m
obračunal	ɔ b r a t͡ʃ u n áː l
obremenitvijo	ɔ b r ɛ m ɛ n ìː t ʋ i j ɔ
obremenjeval	ɔ b r ɛ m ɛ n j ɛ ʋ áː l
obrnile	ɔ b ə r n ìː l ɛ
obsežnejša	ɔ p s èː ʒ n ɛ j ʃ a
občestva	ɔ p t͡ʃ éː s t ʋ a
obšel	ɔ p ʃ ɛ́ː ʋ
ocvrte	ɔ t͡s ʋ ə́ r t ɛ
oddalji	ɔ d d áː l j i
odklanja	ɔ t k l áː n j a
odklonilno	ɔ t k l ɔ n íː l n ɔ
odkrivali	ɔ t k r i ʋ àː l i
odlagališč	ɔ d l a ɡ a l ìː ʃ t͡ʃ
odletela	ɔ d l ɛ t éː l a
odpela	ɔ t p éː l a
odplake	ɔ t p l àː k ɛ
odpravile	ɔ t p r a ʋ ìː l ɛ
odšteje	ɔ t ʃ t ɛ́ː j ɛ
oklahomi	ɔ k l a x óː m i
okviri	ɔ k ʋ ìː r i
omaha	ɔ m àː x a
opažamo	ɔ p a ʒ áː m ɔ
operacijskim	ɔ p ɛ r a t͡s íː j s k i m
operacijsko	ɔ p ɛ r a t͡s íː j s k ɔ
opravki	ɔ p r áː ʋ k i
ordinacija	ɔ r d i n àː t͡s i j a
orodju	ɔ r óː d j u
osamljenega	ɔ s a m l j ɛ n éː ɡ a
oskrbel	ɔ s k ə̀ r b ə ʋ
osnutki	ɔ s n úː t k i
osojnik	ɔ s óː j n i k
osteoporoze	ɔ s t ɛ ɔ p ɔ r óː z ɛ
ostrina	ɔ s t r ìː n a
ostrine	ɔ s t r ìː n ɛ
otoški	ɔ t óː ʃ k i
otroškim	ɔ t r óː ʃ k i m
ovreči	ɔ ʋ r èː t͡ʃ i
oznanilo	ɔ z n a n ìː l ɔ
očke	óː t͡ʃ k ɛ
oživljanju	ɔ ʒ i ʋ l j áː n j u
padre	p àː d r ɛ
palestinci	p a l ɛ s t íː n t͡s i
parnik	p áː r n i k
peki	p èː k i
penino	p ɛ n ìː n ɔ
percepcije	p ɛ r t͡s èː p t͡s i j ɛ
perla	p ɛ̀ː r l a
pešec	p èː ʃ ə t͡s
pikov	p ìː k ɔ ʋ
pisa	p ìː s a
pisalno	p i s áː l n ɔ
pivovarni	p i ʋ ɔ ʋ áː r n i
plastiki	p l àː s t i k i
plezalce	p l ɛ z áː l t͡s ɛ
pločevink	p l ɔ t͡ʃ ɛ ʋ íː n k
pobudi	p ɔ b ùː d i
pocket	p ɔ t͡s k éː t
podaljšanim	p ɔ d a l ʃ áː n i m
podamo	p ɔ d àː m ɔ
podeliti	p ɔ d èː l i t i
podložnik	p ɔ d l óː ʒ n i k
podravje	p ɔ d r áː ʋ j ɛ
podstavka	p ɔ t s t áː ʋ k a
podvige	p ɔ d ʋ ìː ɡ ɛ
podvigi	p ɔ d ʋ ìː ɡ i
poet	p ɔ̀ː ɛ t
poganjali	p ɔ ɡ a n j àː l i
pogine	p ɔ ɡ ìː n ɛ
pogoltne	p ɔ ɡ ɔ́ː ʋ t n ɛ
pohodne	p ɔ x óː d n ɛ
poljakov	p ɔ l j àː k ɔ ʋ
poljubnih	p ɔ l j ùː b n i x
polčasa	p ɔ ʋ t͡ʃ áː s a
pomankljivosti	p ɔ m a n k l j ìː ʋ ɔ s t i
poplačati	p ɔ p l a t͡ʃ àː t i
popotovanju	p ɔ p ɔ t ɔ ʋ áː n j u
poročevalca	p ɔ r ɔ t͡ʃ ɛ ʋ áː l t͡s a
portlandu	p ɔ r t l áː n d u
portoroža	p ɔ r t ɔ r óː ʒ a
porušenega	p ɔ r u ʃ ɛ n éː ɡ a
porušijo	p ɔ r ùː ʃ i j ɔ
poseči	p ɔ s èː t͡ʃ i
posnemali	p ɔ s n ɛ m àː l i
pospeševalnik	p ɔ s p ɛ ʃ ɛ ʋ áː l n i k
posrednih	p ɔ s r èː d n i x
postanka	p ɔ s t áː n k a
posvetno	p ɔ s ʋ éː t n ɔ
potihoma	p ɔ t i x óː m a
povečanem	p ɔ ʋ ɛ t͡ʃ áː n ə m
povzročitve	p ɔ ʋ z r ɔ t͡ʃ íː t ʋ ɛ
pozival	p ɔ z i ʋ áː l
požira	p ɔ ʒ ìː r a
praktik	p r àː k t i k
predanostjo	p r ɛ d a n óː s t j ɔ
predavati	p r ɛ d àː ʋ a t i
predvidevati	p r ɛ d ʋ i d ɛ ʋ àː t i
prehlada	p r ɛ x l áː d a
prekopa	p r ɛ k óː p a
prekrški	p r ɛ k ə́ r ʃ k i
prepada	p r ɛ p áː d a
preprečitve	p r ɛ p r ɛ t͡ʃ íː t ʋ ɛ
preprosteje	p r ɛ p r ɔ s t ɛ́ː j ɛ
prepustnosti	p r ɛ p ùː s t n ɔ s t i
preroki	p r ɛ r óː k i
presenetljivih	p r ɛ s ɛ n ɛ t l j ìː ʋ i x
preskusov	p r ɛ s k úː s ɔ ʋ
presledkov	p r ɛ s l éː t k ɔ ʋ
prevaral	p r ɛ ʋ a r áː l
preventivna	p r ɛ ʋ ɛ n t íː ʋ n a
prevoznika	p r ɛ ʋ óː z n i k a
prezir	p r ɛ z ìː r
prešteli	p r ɛ ʃ t èː l i
prežet	p r ɛ ʒ éː t
prežeta	p r ɛ ʒ éː t a
pridelovalci	p r i d ɛ l ɔ ʋ áː l t͡s i
pridigati	p r i d ìː ɡ a t i
pridobljenimi	p r i d ɔ b l j ɛ n ìː m i
