seg	s æ ɪ̯
viks	ʋ ɪ k s
vár	ʋ ɑː r
vå	ʋ oː
waterfall	v ɑː t ə r f ɑ l
wilks	v ɪ l k s
zetterlund	s ɛ tː ə ɾ l ʉ n
årsbudsjett	oː ɾ s b ʉ d ʃ ɛ t
öland	øː l ɑ n
aarskog	ɑː ʁ s k uː ɡ
adamstuen	a d a m s t ʉː n̩
aer	ɑː ə r
agm	a ɡ m
akks	a k s
alves	ɑ l ʋ ə s
ametyst	a m ɛ t ʏ s t
aspirasjon	a s p ɪ r a ʃ uː n
avfalls	ɑː ʋ f ɑ l s
avhenting	ɑː ʋ h ɛ n t ɪ ŋ
avhjelp	ɑː ʋ j ɛ l p
avledes	ɑː ʋ l eː d ə s
bachelorgrader	b ɑ ʃ ə l ɔ r ɡ r ɑː d ə r
baklyktene	b ɑː k l ʏ k t ə n ə
ballsalen	b a l s ɑː l n̩
banedrift	b ɑː n ə d r ɪ f t
befrukter	b ə f r ʉ k t ə r
bellows	b ɛ l ɔ ʊ s
bendixen	b ɛ n d ɪ k s n̩
benådningen	b ə n oː d n ɪ ŋ n̩
berede	b ɛ r eː d ə
bifalle	b ɪ f ɑ lː ə
billiard	b ɪ l j ɑː r
bisk	b ɪ s k
blodigere	b l uː d ɪ ɡ eː r ə
bokhvete	b uː k ʋ eː t ə
bombekaster	b ʊ m b ə k a s t ə r
bombetokt	b ʊ m b ə t ɔ k t
booste	b uː s t ə
borrer	b ɔ rː ə r
bote	b uː t ə
bresjnev	b r ɛ ʃ n eː v
bron	b r uː n
brorskapets	b r u ʂ k a p eː t s
brystbenet	b r ʏ s t b eː n ə
budal	b ʉ d ɑː l
buljo	b ʉ l j ʊ
bygutt	b y ɡ ʉ t
bå	b oː
børsting	b œ ʂ t ɪ ŋ
circular	s ɪ r k ʉ l ɑː r
cleef	k l iː f
corman	k ɔ r m ɑː n
coughlin	k uː l iː n
cta	k t ɑː
cto	k t uː
damms	d a m s
demre	d ɛ m r ə
diktatorene	d ɪ k t ɑː t ʊ r ə n ə
dink	d ɪ ŋ k
distraherte	d ɪ s t r a h eː ʁ t ə
domprost	d ʊ m p r ɔ s t
dristigste	d r ɪ s t ɪ ɡ s t ə
drømmeprinsen	d r œ mː ə p r ɪ n s n̩
duce	d ʉː s
duppe	d ʉ pː ə
dyppes	d ʏ pː ə s
eilat	æ ɪ l ɑː t
ekomloven	e k u m l oː ʋ n̩
elms	ɛ l m s
elna	ɛ l n ɑ
enstad	ɛ n s t ɑː
ententemaktene	ɛ n t ɛ n t ə m a k t ə n ə
erobrerne	e ɾ uː b r æ ɳ ə
evs	ɛ ʋ s
fagerlia	f ɑː ɡ ə ɾ l j ɑ
fakse	f a k s ə
faktagrunnlaget	f a k t a ɡ r ʉ n l ɑː ɡ ə
familiehunder	f a m iː l j ə h ʉ n d ə r
fangeleirene	f a ŋ ə l æ ɪ r ə n ə
fangeleirer	f a ŋ ə l æ ɪ r ə r
fangstene	f a ŋ s t ə n ə
fergekaia	f æ r ɡ ə k ɑ ɪ a
festdager	f ɛ s t d ɑː ɡ ə r
finkel	f ɪ ŋ k ə l
fiskebrygga	f ɪ s k ə b r ʏ ɡː a
fla	f l ɑː
flaa	f l ɑː
flasket	f l a s k ə
fløystad	f l œ ʏ s t ɑː
fondue	f ʊ n d ʉː ə
forband	f ɔ r b ɑ n
forbord	f ɔ r b uː r
forgangen	f ɔ r ɡ ɑ ŋ n̩
forgård	f ɔ r ɡ oː r
forkurset	f ɔ r k ʉ ʂ ə
formerte	f ɔ r m eː ʁ t ə
forvaltnings	f ɔ r ʋ ɑ l t n ɪ ŋ s
fotoalbumet	f u t u ɑː l b ʉː m ə
fotoboks	f u t u b u k s
frambrakt	f r a m b r a k t
friplass	f r iː p l a s
frukthager	f r ʉ k t h ɑː ɡ ə r
fylkingen	f ʏ l k ɪ ŋ n̩
fyllingsgraden	f ʏ lː ɪ ŋ s ɡ r ɑː d n̩
fyltes	f ʏ l t ə s
gavebrev	ɡ ɑː ʋ ə b r eː v
gisele	j iː s ə l ə
glattisen	ɡ l ɑ tː ɪ s n̩
gravfeltet	ɡ r ɑː ʋ f ɛ l t ə
greenland	ɡ r eː n l ɑ n
grensekontroller	ɡ r ɛ n s ə k ʊ n t r ɔ lː ə r
gresser	ɡ r ɛ sː ə r
grydeland	ɡ r yː d ə l ɑ n
gryningen	ɡ r yː n ɪ ŋ n̩
gugge	² ɡ ʉ ɡː ə
gulgrønn	ɡ ʉː l ɡ r œ n
guttetur	ɡ ʉ tː ə t ʉː r
guttevenner	ɡ ʉ tː ə ʋ ɛ nː ə r
gytingen	j yː t ɪ ŋ n̩
haar	h ɑː r
halskjedet	h a l ʃ eː d ə
hengebro	h ɛ ŋ ə b r uː
himmelbjerget	h ɪ mː ə l b j æ r ɡ ə
hine	h iː n ə
hjemmeboende	j ɛ mː ə b uː ə n d ə
hjemmekino	j ɛ mː ə k iː n ʊ
holdere	h ɔ l d ə r ə
hospitality	h ʊ s p ɪ t a l ɪ t yː
hummingbird	h ʉ mː ɪ ŋ b iː r
hunndalen	h ʉ n d ɑː l n̩
hurtigrute	h ʉ ʈ ɪ ɡ r ʉː t ə
hustufter	h ʉː s t ʉ f t ə r
hyrt	h ʏ ʈ
håndslag	h ɔ n s l ɑː ɡ
hønen	h øː n n̩
ider	iː d ə r
immer	ɪ mː ə r
indikeres	ɪ n d ɪ k eː r ə s
induserte	ɪ n d ʉ s eː ʁ t ə
injeksjonene	ɪ n j ə k ʃ uː n ə n ə
inlegget	ɪ n l ɛ ɡː ə
istider	ɪ s t iː d ə r
jamret	j a m r ə
jekket	j ɛ kː ə
jentegruppe	j ɛ n t ə ɡ r ʉ pː ə
jessup	j ɛ sː ʉ p
johnstone	j uː n s t uː n ə
jota	j uː t a
jure	j ʉː r ə
jól	j uː l
kaada	k ɑː d ɑ
kaasen	k ɑː s n̩
kakser	k a k s ə r
kalif	k a l iː f
kanna	k a nː a
kattemynte	k a tː ə m ʏ n t ə
kibbutz	ç ɪ bː ʉ t s
kirkeklokken	ç ɪ r k ə k l ɔ kː n̩
kita	ç iː t ɑ
knyt	k n yː t
koka	k uː k a
konst	k ɔ n s t
krasjen	k r ɑ ʃː n̩
kratere	k r ɑ t eː r ə
kre	k r eː
kreds	k r ɛ d s
kremere	k r ɛ m ə r ə
krykke	² k r ʏ kː ə
kundekontroll	k ʉ n d ə k ʊ n t r ɔ l
kundestøtten	k ʉ n d ə s t œ tː n̩
kupéen	k ʉ p eː n̩
kvinnefrigjøringen	k ʋ ɪ nː ə f r ɪ j øː r ɪ ŋ n̩
kvinnelag	k ʋ ɪ nː ə l ɑː ɡ
kvinnerollen	k ʋ ɪ nː ə r ɔ lː n̩
landskyld	l ɑ n ʃ ʏ l
langaard	l ɑ ŋ ɑː r
lastingen	l ɑ s t ɪ ŋ n̩
lavnivå	l ɑ ʋ n ɪ ʋ oː
lehre	l eː r ə
lettbåten	l ɛ t b oː t n̩
levon	l eː ʋ ɔ n
likkledet	l i k l eː d ə
liljene	l ɪ l j ə n ə
linhave	l iː n h ɑː ʋ ə
logue	l uː ɡ ə
lommelegen	l ɔ mː ə l eː ɡ n̩
lysbue	l yː s b ʉː ə
læreplass	l æː r ə p l a s
løpeturer	l øː p ə t ʉː r ə r
mahone	m a h uː n ə
majoritetens	m a ʃ ʊ r ɪ t eː t ɛ n s
massakrerer	m a s a k r eː r ə r
matematikklærer	m a t e m a t i k l æː r e r
matsopp	m aː t s ɔ p
mattene	m a tː ə n ə
maurtuer	m æ ʉ ɾ t ʉː ə r
mclean	m ə k l iː n
mekk	m ɛ kː
mellingen	m ɛ lː ɪ ŋ n̩
menno	m ɛ nː ʊ
metalband	m ə t ɑː l b ɑ n
minnelunden	m ɪ nː ə l ʉ n d n̩
mips	m ɪ p s
mistroisk	m ɪ s t r uː ɪ s k
montini	m u n t iː n ɪ
mops	m ɔ p s
motormann	m u t u r m a n
motstrider	m uː t s t r iː d ə r
musikkpris	m ʉ s i k p r iː s
myelin	m yː ə l iː n
nasjonaliserte	n a ʃ ʊ n a l ɪ s eː ʁ t ə
neden	n eː d n̩
nervebaner	n æ r ʋ ə b ɑː n ə r
nesser	n ɛ sː ə r
neutron	n æ ʉ t r uː n
nipler	n iː p l ə r
normering	n ɔ r m eː r ɪ ŋ
nuova	n ʉ oː ʋ a
oddernes	ɔ dː ə ɳ ə s
oppsetningene	ɔ p s ɛ t n ɪ ŋ ə n ə
oppsummerende	ɔ p s ʉ m ə r ə n d ə
panamakanalen	p a n a m a k a n ɑː l n̩
parasoller	p a r a s ɔ lː ə r
patina	p a t iː n a
pickens	p ɪ kː ə n s
piff	p ɪ f
pki	p ç iː
pleiadene	p l æ ɪ ɑː d ə n ə
potro	p u t r u
prendergast	p r ɛ n d ə r ɡ a s t
prepper	p r ɛ pː ə r
prokrastinering	p r ʊ k r a s t ɪ n eː r ɪ ŋ
provider	p r ʊ ʋ iː d ə r
provokasjonen	p r ʊ ʋ ʊ k a ʃ uː n n̩
pugging	p û ɡː ɪ ŋ
pønsker	p ø n s k ə r
qvale	k ʋ ɑː l ə
ramsund	r a m s ʉ n
raring	r ɑː r ɪ ŋ
rasestandard	r ɑː s ə s t a n d ɑː r
rata	r ɑː t ɑ
renslige	r ɛ n s l ɪ ə
rikingene	r iː k ɪ ŋ ə n ə
risdal	r iː s d ɑː l
rosenlund	r uː s n̩ l ʉ n
rydningen	r yː d n ɪ ŋ n̩
røn	r øː n
sagmugg	s ɑː ɡ m ʉ ɡ
saligheten	s ɑː l ɪ h eː t n̩
samleside	s a m l ə s iː d ə
samlingens	s a m l ɪ ŋ ɛ n s
sammensmeltning	s a mː ə n s m ɛ l t n ɪ ŋ
sarons	s a r uː n s
sendebudene	s ɛ n d ə b ʉː d ə n ə
sentimentalt	s ɛ n t ɪ m ɛ n t ɑː l t
serra	s ɛ rː a
settefiskanlegg	s ɛ tː ə f ɪ s k a n l ɛ ɡ
singsaker	s ɪ ŋ s ɑː k ə r
skaara	s k ɑː r ɑ
skad	s k ɑː
skjeldal	ʃ ɛ l d ɑː l
skjerven	ʃ æ r ʋ n̩
skjøgen	² ʃ øː ɡ n̩
skrante	s k r ɑ n t ə
skrogene	s k r uː ɡ ə n ə
skrumpe	s k r u m p ə
skyltes	ʃ ʏ l t ə s
smittefaren	s m ɪ tː ə f ɑː r n̩
smittevernloven	s m ɪ tː ə ʋ æ ɳ l oː ʋ n̩
sokkelesten	s ɔ kː ə l ɛ s t n̩
spenninga	s p ɛ nː ɪ ŋ a
spåkone	s p oː k u n ə
stekingen	s t eː k ɪ ŋ n̩
stend	s t ɛ n
storsveen	s t u ʂ ʋ eː n̩
strukturalisme	s t r ʉ k t ʉ r a l ɪ s m ə
stryknin	s t r y k n iː n
strømningen	s t r œ m n ɪ ŋ n̩
större	² s t œ rː ə
sukkertoppen	s ʉ kː ə ʁ t ɔ pː n̩
sultkatastrofer	s ʉ l t k a t a s t r uː f ə r
supposed	s ʉ p uː s ə
svartmaling	s ʋ ɑ ʁ t m ɑː l ɪ ŋ
svarva	s ʋ ɑ r ʋ ɑ
svingning	s ʋ ɪ ŋ n ɪ ŋ
svipptur	s ʋ ɪ p t ʉː r
svitsj	s ʋ ɪ t ʃ
sylskarp	s yː l s k a r p
syrefast	s yː r ə f a s t
syrin	s yː r iː n
syykt	s yː k t
sølvplass	s øː l p l a s
søyer	s œ ʏ̯ ə r
tables	t ɑː b l ə s
tablå	t ɑː b l oː
takts	t a k t s
taleb	t ɑː l ə b
talemålet	t ɑː l ə m oː l ə
talevansker	t ɑː l ə ʋ ɑː n s k ə r
tanksene	t æ n k s ə n ə
teaterhøgskole	t ɛ ɑː t ə r h øː ɡ s k uː l ə
teds	t ɛ d s
tegnerne	t æ ɪ̯ n æ ɳ ə
teig	t æ ɪ̯
tenninga	t ɛ nː ɪ ŋ a
tes	t eː s
thüringen	t yː r ɪ ŋ n̩
tidels	t iː d ə l s
tilbudte	t ɪ l b ʉ t ə
tippoldefaren	t ɪ pː ɔ l d ə f ɑː r n̩
tired	t iː r ə
tistler	t ɪ s t l ə r
toot	t uː t
trehusene	t r e h ʉː s ə n ə
tris	t ɾ iː s
tst	t s t
tukt	t ʉ k t
tvangsbruk	t ʋ ɑ ŋ s b r ʉː k
tørrhet	t œ r h eː t
ulåste	ʉː l ɔ s t ə
undp	ʉ n p
utbygges	ʉː t b ʏ ɡ ə s
utleira	ʉː t l æ ɪ r a
utstråle	ʉː t s t r oː l ə
veldi	ʋ ɛ l d ɪ
vileplume	ʋ iː l ə p l ʉː m ə
vogntogene	ʋ ɔ ŋ n t uː ɡ ə n ə
yrkesgruppene	ʏ r k ə s ɡ r ʉ pː ə n ə
zoomet	s uː m ə
över	øː ʋ ə r
aak	ɑː k
abydos	a b yː d ɔ s
aft	a f t
agassi	a ɡ a sː ɪ
aldr	ɑ l d ə r
altafjorden	ɑ l t ɑ f j uː r n̩
alternerende	ɑ l t æ ɳ eː r ə n d ə
anonymiseres	a n ʊ n ʏ m ɪ s eː r ə s
auksjonshus	æ ʉ k ʃ uː n s h ʉː s
aureus	æ ʉ r æ ʉ s
avkjølende	ɑː ʋ ç øː l ə n d ə
avsett	ɑː ʋ s ɛ t
avskrekker	ɑː ʋ s k r ɛ kː ə r
avslør	ɑː ʋ ʃ l øː r
bamsene	b a m s ə n ə
barlind	b ɑː ɭ ɪ n
barnelek	b ɑː ɳ ə l eː k
batseba	b a t s eː b a
befrier	b ə f r iː ə r
beh	b eː
belong	b ə l ɔ ŋ
bestrebet	b ə s t r eː b ə
besvar	b ɛ s ʋ ɑː r
birkeli	b ɪ r k ə l iː
bisnode	b ɪ s n uː d ə
blusse	b l ʉ sː ə
bojer	b uː j ə r
boligkjøpere	b uː l ɪ ç øː p ə r ə
brasilia	b r a s iː l j a
bredo	b r eː d u
bremsekraft	b r ɛ m s ə k r a f t
bretten	b r ɛ tː n̩
brigid	b r iː ɡ i
bringsværd	b r ɪ ŋ s v æː r
brødskivene	b r øː ʃ iː ʋ ə n ə
busting	b ʉ s t ɪ ŋ
byggmestere	b ʏ ɡ m ɛ s t ə r ə
cams	k æ m s
carstensen	k a ʁ s t ɛ n s n̩
cathleen	k a t l eː n̩
chairman	t͡ʃ ɛ r m ɑː n
cisterner	s ɪ s t æ ɳ ə r
deerfield	d eː ə r f iː l
dekksgutt	d ɛ k s ɡ ʉ t
delegaten	d e l e ɡ ɑː t n̩
dente	d ɛ n t ə
dey	d æ ɪ̯
distributed	d ɪ s t r ɪ b ʉː t ə
dossier	d ɔ s ɪ ə r
dramatiseringen	d r a m a t ɪ s eː r ɪ ŋ n̩
drikkevaner	d r ɪ kː ə ʋ ɑː n ə r
drømmeaktig	d r œ mː ə a k t ɪ
dulce	d ʉ l s
dull	d ʉ l
dunhill	d ʉː n h ɪ l
dusjhodet	d ʉ ʃ h uː d ə
eberhard	eː b ə r h ɑː r
efs	ɛ f s
ekstremitetene	ɛ k s t r ɛ m ɪ t eː t ə n ə
elke	² ɛ l k ə
emneknagg	ɛ m n ə k n a ɡ
endevendt	ɛ n d ə ʋ ɛ n t
ening	eː n ɪ ŋ
etterforskningslederen	ɛ tː ə r f ɔ ʂ k n ɪ ŋ s l eː d ə r n̩
excess	ɛ k s ɛ s
fektet	f ɛ k t ə
feltsykehuset	f ɛ l t s yː k ə h ʉː s ə
firebird	f iː r ə b iː r
fjærmygg	f j æː r m ʏ ɡ
flack	f l a k
flokkens	f l ɔ kː ə n s
flyfrakt	f l yː f r a k t
folketroen	f ɔ l k ə t r uː n̩
footer	f uː t ə r
forholdsregel	f ɔ r h ɔ l s r eː ɡ ə l
forvalting	f ɔ r ʋ ɑ l t ɪ ŋ
fotobutikk	f u t u b ʉ t i k
fpus	f p ʉː s
fremsynte	f r ɛ m s yː n t ə
frutti	f r ʉ tː ɪ
fyrstikkeske	f ʏ ʂ t ɪ kː ə s k ə
gaul	ɡ æ ʉ̯ l
gideons	j iː d ə uː n s
gila	j iː l a
gildt	j ɪ l t
ginn	j ɪ nː
gjengmiljøet	j ɛ ŋ m ɪ l j øː ə
gjettum	j ɛ tː ʉ m
glaser	ɡ l ɑː s ə r
goldin	ɡ ɔ l d iː n
goodall	ɡ uː d a l
gradestokken	ɡ r ɑː d ə s t ɔ kː n̩
gravely	ɡ r ɑː ʋ l yː
grenseforsvar	ɡ r ɛ n s ə f ɔ ʂ ʋ ɑː r
grisungen	ɡ r iː s ʊ ŋ n̩
gråere	ɡ r oː ə r ə
grønnegata	ɡ r œ nː ə ɡ ɑː t a
gullplater	ɡ ʉ l p l ɑː t ə r
habe	h ɑː b ə
halvfullt	h a l f ʉ l t
hamill	h ɑ m ɪ l
harselere	h a ʁ s ə l eː r ə
haukene	h æ ʉ k ə n ə
helningen	h ɛ l n ɪ ŋ n̩
helper	h ɛ l p ə r
helseforsikringer	h ɛ l s ə f ɔ ʂ ɪ k r ɪ ŋ ə r
hesjedal	h ɛ ʃː ə d ɑː l
higet	h iː ɡ ə
hispaniola	h ɪ s p a n ɪ uː l a
hodelus	h uː d ə l ʉː s
hoffs	h ɔ f s
homenet	h uː m ə n ə
hoppes	h ɔ pː ə s
hundorp	h ʉ n d ɔ r p
hyggen	h ʏ ɡː n̩
høgtun	h ø ɡ t ʉː n
imøte	ɪ m øː t ə
inderlighet	ɪ n d ə ɾ l ɪ h eː t
injiserte	ɪ n j ɪ s eː ʁ t ə
inndele	ɪ n d ə l ə
innhent	ɪ nː h ɛ n t
innlogget	ɪ nː l ɔ ɡː ə
instruksjons	ɪ n s t r ʉ k ʃ uː n s
ismer	ɪ s m ə r
janukovitsj	j a n ʉ k u ʋ i t ʃ
jawa	j ɑː ʋ ɑ
karantenen	k a r a n t ə n n̩
karret	k a rː ə
katanga	k a t a ŋ a
kjøttsaus	ç œ t s æ ʉ s
knollen	k n ɔ lː n̩
knulles	k n ʉ lː ə s
kokeplate	k uː k ə p l ɑː t ə
kolb	k ɔ l b
kongsvingerbanen	k ɔ ŋ s ʋ ɪ ŋ ə r b ɑː n n̩
krogen	k r uː ɡ n̩
krypskyting	k r yː p ʃ yː t ɪ ŋ
krøsus	k r øː s ʉ s
kunsthandel	k ʉ n s t h a n d ə l
kunsthistorisk	k ʉ n s t ɪ s t uː r ɪ s k
kunstmiljøet	k ʉ n s t m ɪ l j øː ə
køge	² k øː ɡ ə
ladete	l ɑː d ə t ə
langa	l ɑ ŋ ɑ
langrenns	l ɑ ŋ r ɛ n s
lauv	l æ ʉ̯ ʋ
lavtrykkene	l ɑː ʋ t r ʏ kː ə n ə
leben	l eː b n̩
lederes	l eː d ə r ə s
leirområdet	l æ ɪ r ɔ m r oː d ə
lekebutikken	l eː k ə b ʉ t ɪ kː n̩
ley	l æ ɪ̯
lignin	l i ŋ n iː n
linds	l ɪ n s
ljom	j uː m
llosa	l uː s a
losser	l ɔ sː ə r
luftstrømmene	l ʉ f t s t r œ mː ə n ə
lviv	l ʋ iː ʋ
lysestaken	l yː s ə s t ɑː k n̩
løstsittende	l œ s t s ɪ tː ə n d ə
madi	m ɑː d ɪ
magnemite	m a ŋ n ə m iː t ə
mangedobles	m a ŋ ə d uː b l ə s
matkroken	m aː t k r uː k n̩
mcfadden	m ə k f a dː n̩
mensch	m ɛ n ʃ
mexicanere	m ɛ k s ɪ k ɑː n ə r ə
minchin	m ɪ n t͡ʃ iː n
ministerens	m ɪ n ɪ s t ə r ɛ n s
motkandidaten	m uː t k a n d ɪ d ɑː t n̩
motorkraften	m u t u r k r a f t n̩
musepekeren	m ʉː s ə p eː k ə r n̩
mån	m oː n
måpe	m oː p ə
møbelproduksjon	m øː b l̩ p r u d ʉ k ʃ uː n
nagell	n ɑː ɡ ɛ l
nara	n ɑː r ɑ
neves	n eː ʋ ə s
ninjas	n ɪ n j ɑ s
ninth	n ɪ n t
nippon	n ɪ pː ɔ n
oddsenligaen	ɔ d s ə n l ɪ ɡ ɑː n̩
oddstips	u d s t i p s
oljebrønner	ɔ l j ə b r œ nː ə r
olssons	uː l s uː n s
omradet	ɔ m r ɑː d ə
omsluttende	ɔ m s l ʉ tː ə n d ə
omstillinger	ɔ m s t ɪ lː ɪ ŋ ə r
oslogjengen	uː s l uː j ɛ ŋ n̩
paganini	p a ɡ a n iː n ɪ
parabolantenner	p a r a b ʊ l a n t ɛ nː ə r
parcel	p a r s eː l
parodiske	p a r uː d ɪ s k ə
parque	p a r k
pasjonsfrukt	p a ʃ uː n s f r ʉ k t
piu	p iː ʉ
plinius	p l iː n ɪ ʉ s
plusse	p l ʉ sː ə
pna	p n ɑː
polynesisk	p ʊ l ʏ n eː s ɪ s k
prestisjeprosjekt	p r ɛ s t ɪ ʃː ə p r ʊ ʃ ɛ k t
prinsdal	p r ɪ n s d ɑː l
problematisering	p r ʊ b l ə m a t ɪ s eː r ɪ ŋ
pulsene	p ʉ l s ə n ə
purity	p ʉ r ɪ t yː
rampene	r a m p ə n ə
raviner	r a ʋ iː n ə r
rekruttlaget	r ə k r ʉ t l ɑː ɡ ə
renholdere	r eː n h ɔ l d ə r ə
restoration	r ɛ s t ʊ r a ɧ uː n
rettsforfølge	r ɛ t s f ɔ r f œ l ɡ ə
revens	r ɛ ʋ ɛ n s
ribbeinet	r ɪ bː ə ɪ n ə
rundetider	r ʉ n d ə t iː d ə r
rusbrus	r ʉː s b r ʉː s
råtass	r oː t a s
røker	r øː k ə r
rømlingene	r œ m l ɪ ŋ ə n ə
røy	r œ ʏ̯
sabres	s ɑː b r ə s
samsaya	s a m s a j a
sanning	s a nː ɪ ŋ
sarp	s ɑ r p
scud	s k ʉː
serna	s æː ɳ a
setrene	s ɛ t r ə n ə
sextus	s ɛ k s t ʉː s
sibbern	s ɪ bː ə ɳ
skapplass	s k a p l a s
skattes	s k a tː ə s
skorter	s k u ʈ ə r
skui	s k ʉː ɪ
slossing	ʂ l ɔ sː ɪ ŋ
sluttbrukere	ʂ l ʉ t b r ʉː k ə r ə
sminka	s m ɪ ŋ k ɑ
solstorm	s uː l s t ɔ r m
spaser	s p ɑː s ə r
speiderleder	s p æ ɪ d ə ɾ l eː d ə r
spets	s p ɛ t s
spicer	s p iː s ə r
spoken	s p uː k n̩
springbrettet	s p r ɪ ŋ b r ɛ tː ə
stagg	s t a ɡ
standar	s t a n d a r
startliste	s t a ʁ t l ɪ s t ə
stemmerettsalder	s t ɛ mː ə r ɛ t s a l d ə r
stilarten	s t ɪ l ɑː ʁ t n̩
stormyra	s t u r m yː r a
studenthus	s t ʉː d ɛ n t h ʉː s
studenthuset	s t ʉː d ɛ n t h ʉː s ə
studenthybler	s t ʉː d ɛ n t h yː b l ə r
styringsrett	s t yː r ɪ ŋ s r ɛ t
støler	s t øː l ə r
superskurker	s ʉː p ə ʁ s k ʉ r k ə r
svaier	s ʋ ɑ ɪ̯ ə r
svenson	s ʋ ɛ n s uː n
svindyre	s ʋ ɪ n d yː r ə
svinghjul	s ʋ ɪ ŋ j ʉː l
synkope	s yː n k uː p ə
såvisst	s oː ʋ ɪ s t
sì	s iː
tangerine	t a ŋ ə r iː n ə
tarn	t ɑː ɳ
tettbebyggelse	t ɛ t b ə b ʏ ɡ ə l s ə
thani	t ɑː n ɪ
tikrit	t i k r iː t
tilbørlig	t ɪ l b øː ɾ l ɪ
tilkjenne	t ɪ l ç ɛ nː ə
tilsynsfører	t ɪ l s yː n s f øː r ə r
tiltrengte	t ɪ l t r ɛ ŋ t ə
tio	t iː u
tobarnsfar	t uː b ɑː ɳ s f ɑː r
traci	t r ɑː s ɪ
tula	t ʉː l ɑ
tunnell	t ʉ n ɛ l
tunnels	t ʉ n ə l s
turneene	t ʉː ɳ eː ə n ə
tystere	t ʏ s t ə r ə
ufri	ʉ f ɾ iː
ullstoff	ʉ l s t ɔ f
ulvund	ʉ l ʋ ʉ n
undergitt	ʉ n d ə r ɡ ɪ t
urnene	ʉː ɳ ə n ə
utskriving	ʉː t s k r iː ʋ ɪ ŋ
vepsebolet	ʋ ɛ p s ə b uː l ə
vesterbro	ʋ ɛ s t ə r b r uː
vestibyle	ʋ ɛ s t ɪ b yː l ə
vignale	ʋ ɪ ŋ n ɑː l ə
vinteridretter	ʋ ɪ n t ə r ɪ d r ɛ tː ə r
virgo	ʋ ɪ r ɡ ɔ
visten	ʋ ɪ s t n̩
yasin	j a s iː n
yrkesskoler	ʏ r k ə s k uː l ə r
abberline	a bː ə ɾ l iː n ə
abortsaken	a b ɔ ʁ t s ɑː k n̩
academia	a k a d eː m ɪ a
akebakke	ɑː k ə b a kː ə
aksjonsgruppen	a k ʃ uː n s ɡ r ʉ pː n̩
aldus	ɑ l d ʉː s
almuen	ɑ l m ʉː n̩
ansikte	ɑ n s ɪ k t ə
aprile	ɑ p r iː l ə
aramis	a r a m iː s
augustana	æ ʉ ɡ ʉ s t ɑː n a
aunt	æ ʉ̯ n t
avdukes	ɑː ʋ d ʉː k ə s
avstemt	ɑː ʋ s t ɛ m t
avtaleteksten	ɑː ʋ t ɑː l ə t ɛ k s t n̩
bahama	b ɑ h ɑː m ɑ
bajonetten	b a ʃ ʊ n ɛ tː n̩
barium	b ɑː r ɪ ʉ m
bedragerske	b ə d r ɑː ɡ ə ʁ s k ə
bedriftskunder	b ə d r ɪ f t s k ʉ n d ə r
bedugget	b ə d ʉ ɡː ə
beltespenne	b ɛ l t ə s p ɛ nː ə
benelux	b ɛ n ə l ʉ k s
benteke	b ɛ n t eː k ə
bering	b eː r ɪ ŋ
bev	b eː ʋ
bilbane	b ɪ l b ɑː n ə
bjarnason	b j ɑː ɳ ɑ s uː n
bjørnsund	b j øː ɳ s ʉ n
bjørstad	b j œ ʂ t ɑː
boker	b uː k ə r
bolker	b ɔ l k ə r
bombegruppe	b ʊ m b ə ɡ r ʉ pː ə
brenningene	b r ɛ nː ɪ ŋ ə n ə
broforbindelse	b r uː f ɔ r b ɪ n d ə l s ə
bugner	b ʉ ŋ n ə r
busstasjoner	b ʉ s t a ʃ uː n ə r
bystyremøte	b ʏ s t yː r ə m øː t ə
bålplasser	b oː l p l a sː ə r
bårdshaug	b oː ɾ s h æ ʉ ɡ
båthuset	b oː t h ʉː s ə
chim	t͡ʃ iː m
cic	s iː k
crop	k r uː p
devo	d eː ʋ ɔ
dimitris	d ɪ m ɪ t r iː s
dimples	d ɪ m p l ə s
dobbeltklikk	d ɔ bː ə l t k l i k
doene	d uː ə n ə
dopingbruk	d uː p ɪ ŋ b r ʉː k
dramatisere	d r a m a t ɪ s eː r ə
drittet	d r ɪ tː ə
dryer	d r yː ə r
dubstep	d ʉ b s t eː p
dugde	d ʉ ɡ d ə
dygd	d ʏ ɡ d
ebbestad	ɛ bː ə s t ɑː
eiketreet	æ ɪ k ə t r eː ə
einebær	æ ɪ n ə b æː r
eksplosjonsfare	ɛ k s p l ʊ ʃ uː n s f ɑː r ə
ekstravakter	ɛ k s t r a ʋ a k t ə r
ekstremitet	ɛ k s t r ɛ m ɪ t eː t
emden	ɛ m d n̩
endogene	ɛ n d uː ɡ ə n ə
ensenada	ɛ n s ə n ɑː d a
esch	eː ʃ
except	ɛ k s ɛ p t
fabius	f ɑː b ɪ ʉ s
fabrikant	f a b r ɪ k a n t
faktabaserte	f a k t a b a s eː ʁ t ə
fastest	f a s t ɛ s t
fastsettelsen	f a s t s ɛ tː ə l s n̩
fattede	f a tː ə d ə
feiringa	f æ ɪ r ɪ ŋ a
femdoblet	f ɛ m d ɔ b l ə
ferdigpakket	f æ ɖ ɪ p a kː ə
ferrata	f ɛ r ɑː t a
filled	f ɪ lː ə
fiskestenger	f ɪ s k ə s t ɛ ŋ ə r
flercellede	f l æ r s ɛ lː ə d ə
flyenes	f l yː ə n ə s
flyskroget	f l y s k r uː ɡ ə
