ها	h ɒː
سومش	s uː m e̞ ʃ
سينمايي	s iː n æ m ɒː j iː
سیسیل	s iː s iː l
شارلاتان	ʃ ɒː ɾ e̞ l ɒː t ɒː n
شری	ʃ o ɾ iː
شریفه	ʃ o ɾ iː f e̞
شعبون	ʃ o ʔ b uː n
صلب	s æ l æ b
عاصی	ɒː s iː
عجولانه	æ d͡ʒ uː l ɒː n e̞
عزرائیل	æ z ɾ ɒː ʔ iː l
علاف	æ l ɒː f
عنف	æ n æ f
عکسای	æ k s ɒː j
عیاری	æ j ɒː ɾ iː
فردید	f æ ɾ d iː d
فرقي	f æ ɾ ɢ iː
فروشگاهی	f o ɾ uː ʃ g ɒː h iː
قبلن	ɢ æ b l æ n
قدبلند	ɢ æ d b e̞ l æ n d
قصاید	ɢ æ s ɒː j æ d
قلندر	ɢ æ l æ n d æ ɾ
كاركنان	k ɒː ɾ k æ n ɒː n
لابراتوار	l ɒː b o ɾ ɒː t v ɒː ɾ
ماورا	m ɒː v æ ɾ ɒː
ماک	m ɒː k
ماکائو	m ɒː k ɒː ʔ o
متغیره	m æ t æ ɢ iː ɾ e̞
محبوبی	m æ h b uː b iː
محمودآباد	m æ h m uː d ɒː b ɒː d
مسول	m æ s uː l
منازعات	m æ n ɒː z e̞ ʔ ɒː t
موسي	m uː s iː
موشکهای	m uː ʃ e̞ k e̞ iː
میذاشتم	m iː z ɒː ʃ t æ m
میچ	m iː t͡ʃ
ناس	n ɒː s
نانا	n ɒː n ɒː
نانومتر	n ɒː n æ v æ m t æ ɾ
ندوشن	n æ d uː ʃ æ n
نسوان	n æ s æ v ɒː n
نعیم	n æ ʔ iː m
نفتي	n æ f t iː
نقصان	n æ ɢ s ɒː n
نمازجمعه	n æ m ɒː z d͡ʒ æ m e̞ ʔ e̞
هشیار	h e̞ ʃ j ɒː ɾ
همم	h æ m æ m
همگرا	h æ m g e̞ ɾ ɒː
هنره	h æ n ɾ e̞
هچ	h e̞ t͡ʃ
والس	v ɒː l e̞ s
وگر	v e̞ g æ ɾ
يوتيوب	j o t j o b
پاستوریزه	p ɒː s t uː ɾ iː z e̞
پالاس	p ɒː l ɒː s
پاکان	p ɒː k ɒː n
پرستیژ	p æ ɾ æ s t iː ʒ
پژوهان	p æ ʒ uː h ɒː n
پیشنهادت	p iː ʃ e̞ n æ h ɒː d æ t
پیل	p e̞ j l
پیکرش	p iː k e̞ ɾ e̞ ʃ
چالشهای	t͡ʃ ɒː l e̞ ʃ e̞ iː
چر	t͡ʃ æ ɾ
چندمین	t͡ʃ æ n d æ m iː n
چهارسال	t͡ʃ æ h ɒː ɾ s ɒː l
چوسان	t͡ʃ uː s ɒː n
چیزش	t͡ʃ iː z e̞ ʃ
چیش	t͡ʃ iː ʃ
کردنشین	k æ ɾ d æ n e̞ ʃ iː n
کلیپی	k e̞ l iː p iː
گایا	g ɒː j ɒː
گرن	g e̞ ɾ æ n
گوشته	g uː ʃ t e̞
گوگول	g uː g uː l
یگانگی	j e̞ g ɒː n g iː
block	b l ɔ k
david	d a v iː d
di	d iː
ni	n iː
school	ʃ uː l
six	s iː k s
sound	s a ʊ n d
آئینه	ɒː ʔ iː n e̞
آبریزش	ɒː b e̞ ɾ iː z e̞ ʃ
آبسه	ɒː b e̞ s e̞
آرزویی	ɒː ɾ z uː j iː
آغوشت	ɒː ɢ uː ʃ t
ابجی	æ b d͡ʒ iː
الات	ɒː l ɒː t
اونورتر	o n æ v æ ɾ t æ ɾ
بابکان	b ɒː b e̞ k ɒː n
بارونه	b ɒː ɾ uː n e̞
باشو	b ɒː ʃ o
بافر	b ɒː f æ ɾ
باهمیم	b ɒː h æ m iː m
ببرش	b e̞ b e̞ ɾ e̞ ʃ
بخنده	b e̞ x æ n d e̞
بدزده	b e̞ d o z d e̞
براورده	b æ ɾ ɒː v æ ɾ d e̞
برمي	b e̞ ɾ æ m iː
برگیرنده	b æ ɾ g iː ɾ æ n d e̞
بفرمایین	b e̞ f æ ɾ m ɒː j iː n
بلعیدن	b æ l ʔ iː d æ n
بنویسه	b e̞ n e̞ v iː s e̞
بیایین	b iː j ɒː j iː n
تحریکات	t æ h ɾ iː k ɒː t
تخمام	t æ x m ɒː m
تقليد	t æ ɢ l iː d
تكه	t æ k e̞
تلنگر	t æ l æ n g æ ɾ
توییتی	t uː j iː t iː
جانشين	d͡ʒ ɒː n e̞ ʃ iː n
جس	d͡ʒ o s
حدي	h æ d iː
حقوقت	h o ɢ uː ɢ æ t
حواستو	h æ v ɒː s t o
خامی	x ɒː m iː
خانمه	x ɒː n æ m e̞
خانۀ	x ɒː n e̞
خداییش	x æ d ɒː j iː ʃ
خرسند	x æ ɾ s æ n d
خواید	x ɒː j æ d
دانان	d ɒː n ɒː n
دخترام	d æ x t æ ɾ ɒː m
دزدا	d o z d ɒː
دستمان	d æ s t æ m ɒː n
دستپاچه	d æ s t æ p ɒː t͡ʃ e̞
دلبسته	d æ l b æ s t e̞
دوبلور	d uː b e̞ l uː ɾ
دورانت	d uː ɾ ɒː n æ t
دوستامو	d uː s t ɒː m o
دوقلوهای	d uː ɢ æ l uː h iː
دونستید	d uː n e̞ s t iː d
دیروقت	d iː ɾ uː ɢ æ t
راث	ɾ ɒː s
راندا	ɾ ɒː n d ɒː
رفتارشون	ɾ o f t ɒː ɾ e̞ ʃ o n
رفتارم	ɾ o f t ɒː ɾ æ m
ریسکی	ɾ iː s k iː
زنانگی	z æ n ɒː n g iː
زندی	z æ n d iː
زنگوله	z æ n g uː l e̞
سالومه	s ɒː l uː m e̞
سربازم	s æ ɾ b ɒː z æ m
سرگروه	s æ ɾ g e̞ ɾ æ v e̞
سوزونده	s uː z uː n d e̞
سوگیری	s uː g iː ɾ iː
شلوارت	ʃ o l v ɒː ɾ æ t
شناسائی	ʃ e̞ n ɒː s ɒː ʔ iː
شناسانه	ʃ e̞ n ɒː s ɒː n e̞
شنيده	ʃ e̞ n iː d e̞
شوریده	ʃ uː ɾ iː d e̞
شومینه	ʃ uː m iː n e̞
طفلان	t æ f l ɒː n
عصبانیم	æ s b ɒː n iː m
عناوين	æ n ɒː v iː n
عیادت	æ j ɒː d æ t
عینیت	iː n iː t
غارهای	ɢ ɒː ɾ e̞ iː
غشاء	ɢ e̞ ʃ ɒː ʔ
فارل	f ɒː ɾ e̞ l
فرزندت	f æ ɾ z æ n d æ t
فروردين	f o ɾ v æ ɾ d iː n
فروپاشي	f o ɾ uː p ɒː ʃ iː
فوقش	f uː ɢ e̞ ʃ
فکرکردم	f e̞ k æ ɾ k æ ɾ d æ m
قباد	ɢ æ b ɒː d
قراردارد	ɢ æ ɾ ɒː ɾ d ɒː ɾ æ d
قلبا	ɢ æ l b ɒː
لبش	l æ b e̞ ʃ
لردگان	l æ ɾ d e̞ g ɒː n
لیریک	l iː ɾ iː k
مارینا	m ɒː ɾ iː n ɒː
متفاوتند	m æ t æ f ɒː v æ t æ n d
متیل	m æ t iː l
مجازاتی	m æ d͡ʒ ɒː z ɒː t iː
مجرده	m æ d͡ʒ o ɾ d e̞
محبوبش	m æ h b uː b e̞ ʃ
محرومان	m æ h o ɾ uː m ɒː n
مدارات	m æ d ɒː ɾ ɒː t
مسئولیتش	m æ s ʔ uː l iː t e̞ ʃ
معاملاتی	m æ ʔ ɒː m æ l ɒː t iː
معقولی	m æ ʔ ɢ uː l iː
مقتل	m æ ɢ t æ l
ملال	m æ l ɒː l
ملو	m æ l uː
موزیلا	m uː z iː l ɒː
مياره	m æ j ɒː ɾ e̞
ميكني	m iː k æ n iː
مکر	m æ k æ ɾ
مکنده	m æ k æ n d e̞
میسازن	m iː s ɒː z æ n
میشناسن	m iː ʃ e̞ n ɒː s æ n
نابجا	n ɒː b e̞ d͡ʒ ɒː
نانومتری	n ɒː n æ v æ m t æ ɾ iː
ناهنجار	n ɒː h æ n d͡ʒ ɒː ɾ
ندامت	n æ d ɒː m æ t
نرمه	n æ ɾ æ m e̞
نزدیکم	n æ z æ d iː k æ m
نورافکن	n æ v æ ɾ ɒː f k æ n
نکوداشت	n æ k uː d ɒː ʃ t
هارلم	h ɒː ɾ l æ m
هاها	h ɒː h ɒː
همگي	h æ m g iː
هولت	h uː l æ t
هولوگرام	h uː l uː g e̞ ɾ ɒː m
واليبال	v ɒː l iː b ɒː l
واگنر	v ɒː g o n æ ɾ
ورنون	v æ ɾ n æ v æ n
وفاق	v æ f ɒː ɢ
ونگ	v æ n g
وهر	v æ h ɾ
وکیلم	v æ k iː l æ m
يخچال	j æ x t͡ʃ ɒː l
پستش	p æ s t e̞ ʃ
پستهای	p æ s t e̞ iː
پسرام	p æ s o ɾ ɒː m
پنداشته	p e̞ n d ɒː ʃ t e̞
پودری	p uː d æ ɾ iː
پژوه	p æ ʒ uː h
پگی	p æ g iː
چرخنده	t͡ʃ æ ɾ x æ n d e̞
چشایی	t͡ʃ e̞ ʃ ɒː j iː
چمبرز	t͡ʃ æ m b æ ɾ z
کارولینای	k ɒː ɾ uː l iː n ɒː j
کاریو	k ɒː ɾ j o
کریستی	k æ ɾ iː s t iː
کشیک	k e̞ ʃ iː k
کفی	k o f iː
گذروند	g o z æ ɾ æ v æ n d
گروت	g e̞ ɾ æ v æ t
گشنگی	g o ʃ æ n g iː
گفتيم	g o f t iː m
گندمی	g æ n d æ m iː
گهگاه	g o h g ɒː h
گوست	g uː s t
گیرا	g iː ɾ ɒː
mix	m iː k s
speed	s p iː d
آغوشم	ɒː ɢ uː ʃ æ m
آلوچه	ɒː l uː t͡ʃ e̞
آنگ	ɒː n g
إلی	ʔ iː l iː
اسپور	æ s p uː ɾ
اماره	æ m ɒː ɾ e̞
انزو	æ n z uː
اوحدی	o h d iː
اووو	o v o
بارانداز	b ɒː ɾ ɒː n d ɒː z
بخونین	b e̞ x o n iː n
بسپارد	b e̞ s e̞ p ɒː ɾ æ d
بفرماييد	b e̞ f æ ɾ m ɒː j iː d
بیزنس	b iː j ɒː z n æ s
تابلوئه	t ɒː b e̞ l uː ʔ e̞
تابنده	t ɒː b æ n d e̞
تراشیده	t æ ɾ ɒː ʃ iː d e̞
تریم	t æ ɾ iː m
تعریق	t æ ʔ ɾ iː ɢ
تفریط	t æ f ɾ iː t
تفریق	t æ f ɾ iː ɢ
تلنت	t æ l æ n t
تمتع	t æ m t e̞ ʔ
تنگدستی	t æ n g o d æ s t iː
تکریت	t e̞ k æ ɾ iː t
جاد	d͡ʒ ɒː d
جدولی	d͡ʒ o d uː l iː
جزایی	d͡ʒ o z ɒː j iː
جوشش	d͡ʒ uː ʃ e̞ ʃ
حجتی	h æ d͡ʒ t iː
حور	h o ɾ
خريداري	x æ ɾ iː d ɒː ɾ iː
خرگوشی	x æ ɾ g uː ʃ iː
خلفا	x æ l f ɒː
خنکی	x æ n k iː
خودکامه	x o d k ɒː m e̞
خوست	x o s t
خوني	x o n iː
داداچ	d ɒː d ɒː t͡ʃ
داعیه	d ɒː ʔ iː j e̞
درازتر	d æ ɾ ɒː z t æ ɾ
دستفروش	d æ s t æ f ɾ uː ʃ
دوستشان	d uː s t e̞ ʃ ɒː n
دیجیاتو	d iː d͡ʒ j ɒː t o
دیدارش	d iː d ɒː ɾ e̞ ʃ
دیش	d iː ʃ
دیمن	d iː m æ n
دیگرانی	d iː g e̞ ɾ ɒː n iː
راف	ɾ ɒː f
رحلت	ɾ æ h l æ t
رفتارهاي	ɾ o f t ɒː ɾ e̞ iː
رموز	ɾ æ m uː z
ریکا	ɾ iː k ɒː
ستمگران	s e̞ t æ m g e̞ ɾ ɒː n
ستونهای	s o t uː n æ h iː
سربازانی	s æ ɾ b ɒː z ɒː n iː
سوتفاهم	s uː t æ f ɒː h æ m
سوما	s uː m ɒː
شاخصی	ʃ ɒː x s iː
شرابی	ʃ o ɾ ɒː b iː
شعائر	ʃ e̞ ʔ ɒː ʔ e̞ ɾ
شفاخانه	ʃ o f ɒː x ɒː n e̞
شکلش	ʃ e̞ k e̞ l e̞ ʃ
طاعت	t ɒː ʔ æ t
ظهره	z æ h ɾ e̞
عباسپور	æ b ɒː s p uː ɾ
عبده	æ b d e̞
عنایتی	æ n ɒː j æ t iː
عواقبی	æ v ɒː ɢ æ b iː
عوالم	æ v ɒː l æ m
غافلگیری	ɢ ɒː f æ l g iː ɾ iː
غفور	ɢ o f uː ɾ
غلتک	ɢ æ l t e̞ k
غلطا	ɢ æ l t ɒː
فوریتی	f uː ɾ iː t iː
قرین	ɢ æ ɾ iː n
قشنگت	ɢ e̞ ʃ æ n g æ t
قوسی	ɢ uː s iː
قوچانی	ɢ uː t͡ʃ ɒː n iː
كاهش	k ɒː h e̞ ʃ
كوچيك	k uː t͡ʃ iː k
لباساتو	l æ b ɒː s ɒː t o
لحاف	l æ h ɒː f
لنج	l æ n d͡ʒ
لیموترش	l iː m uː t o ɾ ʃ
مجبورشون	m æ d͡ʒ b uː ɾ e̞ ʃ o n
مجوزی	m æ d͡ʒ uː z iː
محزون	m æ h z uː n
محصولاتش	m æ h s uː l ɒː t e̞ ʃ
مخروبه	m æ x o ɾ uː b e̞
ملانیا	m æ l ɒː n j ɒː
مورب	m o ɾ b
ميانگين	m æ j ɒː n g iː n
میکروفن	m iː k o ɾ uː f æ n
نصیبم	n æ s iː b æ m
نمازگزاران	n æ m ɒː z g o z ɒː ɾ ɒː n
نيازي	n æ j ɒː z iː
هركس	h æ ɾ k æ s
هروی	h æ ɾ æ v iː
همديگر	h æ m d iː g æ ɾ
هنرها	h æ n ɾ æ h ɒː
هوار	h æ v ɒː ɾ
هولدینگ	h uː l æ d iː n æ g
والدینی	v ɒː l æ d iː n iː
وایسین	v ɒː j e̞ s iː n
ولتر	v æ l t æ ɾ
پراز	p æ ɾ ɒː z
پرکاربردترین	p æ ɾ k ɒː ɾ b æ ɾ d e̞ t æ ɾ iː n
پیشنهادهایی	p iː ʃ e̞ n æ h ɒː d e̞ iː
پینوکیو	p e̞ j n uː k j o
چهارباغ	t͡ʃ æ h ɒː ɾ b ɒː ɢ
چهارساله	t͡ʃ æ h ɒː ɾ s ɒː l e̞
چول	t͡ʃ uː l
کارتم	k ɒː ɾ t æ m
کارداشیان	k ɒː ɾ d ɒː ʃ j ɒː n
کاغذهای	k ɒː ɢ z e̞ iː
کانا	k ɒː n ɒː
کانگورو	k ɒː n g uː ɾ o
کراش	k æ ɾ ɒː ʃ
کرتیس	k æ ɾ t iː s
کرخه	k æ ɾ x e̞
کرکی	k æ ɾ k iː
کشورشون	k e̞ ʃ uː ɾ e̞ ʃ o n
گلاس	g o l ɒː s
گلین	g o l iː n
گواهي	g o v ɒː h iː
گیس	g iː s
یال	j ɒː l
یتیمان	j e̞ t iː m ɒː n
aa	ɑː
isi	iː s iː
son	s o n
آرچر	ɒː ɾ t͡ʃ æ ɾ
آلوین	ɒː l uː j æ n
أن	ʔ æ n
ارمان	æ ɾ m ɒː n
اوناس	o n ɒː s
اونان	o n ɒː n
اینستا	iː n e̞ s t ɒː
باردیگر	b ɒː ɾ d iː g æ ɾ
بارکد	b ɒː ɾ k æ d
باسم	b ɒː s æ m
بالاس	b ɒː l ɒː s
برقه	b e̞ ɾ æ ɢ e̞
بریج	b e̞ ɾ iː d͡ʒ
بلاست	b e̞ l ɒː s t
بلامانع	b e̞ l ɒː m ɒː n e̞ ʔ
بگوييد	b e̞ g uː j iː d
ترسا	t æ ɾ s ɒː
تریک	t æ ɾ iː k
تزویر	t æ z v iː ɾ
تقریر	t æ ɢ ɾ iː ɾ
تنظيمات	t æ n z iː m ɒː t
تهییج	t æ h j iː d͡ʒ
تولدی	t uː l æ d iː
تکاندهنده	t e̞ k ɒː n d æ h æ n d e̞
ثالثا	s ɒː l e̞ s ɒː
جفا	d͡ʒ o f ɒː
جند	d͡ʒ æ n d
جیمیل	d͡ʒ iː m iː l
حاليكه	h ɒː l iː k e̞
حرا	h æ ɾ ɒː
حشری	h e̞ ʃ o ɾ iː
حلوای	h æ l æ v ɒː j
خالم	x ɒː l æ m
خاموشش	x ɒː m uː ʃ e̞ ʃ
خانمم	x ɒː n æ m æ m
خدادادی	x æ d ɒː d ɒː d iː
خنجری	x æ n d͡ʒ æ ɾ iː
دستورکار	d æ s t uː ɾ k ɒː ɾ
دولا	d uː l ɒː
دینامیت	d iː n ɒː m iː t
رمبو	ɾ æ m b uː
روبروست	ɾ uː b e̞ ɾ æ v æ s t
ريخت	ɾ iː x t
زایش	z ɒː j e̞ ʃ
سادست	s ɒː d æ s t
سرتاسری	s æ ɾ t ɒː s o ɾ iː
سنگدل	s æ n g o d æ l
سوته	s uː t e̞
سيزده	s iː z æ d e̞
شمخانی	ʃ o m x ɒː n iː
شمشاد	ʃ o m ʃ ɒː d
شمشیری	ʃ o m ʃ iː ɾ iː
شیون	ʃ e̞ j o n
عاقلی	ɒː ɢ æ l iː
عامدانه	ɒː m æ d ɒː n e̞
عليرغم	æ l iː ɾ æ ɢ æ m
عموزاده	æ m uː z ɒː d e̞
فاتحان	f ɒː t e̞ h ɒː n
فرانس	f æ ɾ ɒː n e̞ s
فرنگیس	f æ ɾ n æ g iː s
فرودست	f o ɾ uː d æ s t
فریبنده	f æ ɾ iː b æ n d e̞
فك	f æ k
فلذا	f æ l z ɒː
لنس	l æ n s
مارون	m ɒː ɾ uː n
مالتی	m ɒː l t iː
مالون	m ɒː l uː n
مانوس	m ɒː n uː s
متشخص	m æ t e̞ ʃ x æ s
مجبورند	m æ d͡ʒ b uː ɾ æ n d
مجمل	m æ d͡ʒ m æ l
مدعا	m æ d æ ʔ ɒː
مزایایی	m æ z ɒː j ɒː j iː
منتظریم	m æ n t æ z æ ɾ iː m
موسم	m uː s æ m
ميتونم	m iː t uː n æ m
میشنوه	m iː ʃ e̞ n æ v e̞
میشینه	m iː ʃ iː n e̞
میعانات	m iː ʔ ɒː n ɒː t
میلک	m iː l e̞ k
مینویسه	m iː n e̞ v iː s e̞
ناخون	n ɒː x o n
ناروا	n ɒː ɾ æ v ɒː
نامزدان	n ɒː m æ z d ɒː n
نزديكي	n æ z o d iː k iː
نساخته	n æ s ɒː x t e̞
نشکسته	n æ ʃ e̞ k æ s t e̞
نمازهای	n æ m ɒː z e̞ iː
نمیاری	n e̞ m iː ɒː ɾ iː
نواحي	n æ v ɒː h iː
نيت	n e̞ j t
نیافتنی	n æ j ɒː f t æ n iː
هاشه	h ɒː ʃ e̞
ورزیده	v æ ɾ z iː d e̞
پختگی	p o x t æ g iː
پش	p o ʃ
پورسانت	p uː ɾ e̞ s ɒː n æ t
پیروانی	p iː ɾ æ v ɒː n iː
چاقال	t͡ʃ ɒː ɢ ɒː l
چربي	t͡ʃ æ ɾ b iː
چرخان	t͡ʃ æ ɾ x ɒː n
چسباندن	t͡ʃ æ s b ɒː n d æ n
چیزارو	t͡ʃ iː z ɒː ɾ o
کاب	k ɒː b
کارآمدتر	k ɒː ɾ ɒː m æ d t æ ɾ
کارآیی	k ɒː ɾ ɒː j iː
کارتریج	k ɒː ɾ t æ ɾ iː d͡ʒ
کاف	k ɒː f
کته	k e̞ t e̞
کراسوس	k æ ɾ ɒː s uː s
کليک	k e̞ l iː k
کوتاهتر	k uː t ɒː h t æ ɾ
کودتایی	k uː d t ɒː j iː
کودکستان	k uː d e̞ k æ s t ɒː n
کوهه	k uː h e̞
گازش	g ɒː z e̞ ʃ
گاستون	g ɒː s t uː n
گرانقیمت	g e̞ ɾ ɒː n æ ɢ iː m æ t
گوگ	g uː g
یائسگی	j ɒː ʔ e̞ s g iː
april	a p ɾ iː l
beyond	b e̞ j ɔ n d
bi	b iː
check	t͡ʃ ɛ k
im	iː m
screen	s k ɾ iː n
آبو	ɒː b uː
آتیلا	ɒː t iː l ɒː
آذرشهر	ɒː z e̞ ɾ e̞ ʃ e̞ ɾ
آرايش	ɒː ɾ ɒː j e̞ ʃ
آرتروز	ɒː ɾ t æ ɾ uː z
آستون	ɒː s t uː n
آوه	ɒː v e̞
اسپید	ɒː s p iː d
اونقد	o n æ ɢ æ d
ایرن	iː ɾ æ n
اینورتر	iː n æ v æ ɾ t æ ɾ
بازیا	b ɒː z j ɒː
بانیان	b ɒː n j ɒː n
بكنم	b e̞ k æ n æ m
بهلول	b e̞ h e̞ l uː l
بواسیر	b e̞ v ɒː s iː ɾ
بگفته	b e̞ g o f t e̞
بگويد	b e̞ g uː j æ d
تاثیرگذارترین	t ɒː s iː ɾ g o z ɒː ɾ t æ ɾ iː n
تالارهای	t ɒː l ɒː ɾ e̞ iː
تردمیل	t æ ɾ d æ m iː l
توئیتی	t uː ʔ iː t iː
تونستند	t uː n e̞ s t æ n d
تیشه	t iː ʃ e̞
جريمه	d͡ʒ o ɾ iː m e̞
جونا	d͡ʒ uː n ɒː
جونمو	d͡ʒ uː n æ m uː
جي	d͡ʒ iː
جیل	d͡ʒ iː l
حجامت	h e̞ d͡ʒ ɒː m æ t
حمیده	h æ m iː d e̞
خاویار	x ɒː v j ɒː ɾ
خلدون	x æ l d uː n
خيره	x e̞ j ɾ e̞
دارايي	d ɒː ɾ ɒː j iː
دانلد	d ɒː n æ l æ d
داو	d ɒː v
درختکاری	d æ ɾ x t e̞ k ɒː ɾ iː
درساعت	d æ ɾ s ɒː ʔ æ t
درصدي	d æ ɾ s æ d iː
درياچه	d æ ɾ j ɒː t͡ʃ e̞
دلگیر	d æ l g iː ɾ
دیمین	d iː m iː n
رابطمون	ɾ ɒː b e̞ t æ m uː n
رادیاتور	ɾ ɒː d j ɒː t uː ɾ
رالی	ɾ ɒː l iː
ریچاردز	ɾ iː t͡ʃ ɒː ɾ d o z
زندگان	z æ n d e̞ g ɒː n
سانتوس	s ɒː n t uː s
سايز	s ɒː j e̞ z
سای	s ɒː j
سترگ	s e̞ t æ ɾ g
سته	s e̞ t e̞
ستیزه	s e̞ t iː z e̞
سربازانش	s æ ɾ b ɒː z ɒː n e̞ ʃ
سمفونیک	s æ m f uː n iː k
سوادی	s æ v ɒː d iː
سوراخه	s uː ɾ ɒː x e̞
سوري	s uː ɾ iː
سوزناک	s uː z n ɒː k
سولماز	s uː l æ m ɒː z
سوهو	s uː h o
سیلویا	s iː l uː j ɒː
شناورهای	ʃ e̞ n ɒː v æ ɾ e̞ iː
صدمین	s æ d æ m iː n
عاید	ɒː j æ d
عایدی	ɒː j æ d iː
عباسیان	æ b ɒː s j ɒː n
علیشاه	æ l iː ʃ ɒː h
فراواني	f æ ɾ ɒː v ɒː n iː
فقير	f æ ɢ iː ɾ
فقیهی	f æ ɢ iː h iː
فيلتر	f iː l t æ ɾ
فیروزی	f iː ɾ uː z iː
قبا	ɢ æ b ɒː
قوماندان	ɢ uː m ɒː n d ɒː n
لنت	l æ n t
ليلا	l iː l ɒː
لیمویی	l iː m uː j iː
لیگا	l iː g ɒː
مارتینز	m ɒː ɾ t iː n z
ماموریتی	m ɒː m uː ɾ iː t iː
مانتوی	m ɒː n t æ v iː
مايل	m ɒː j e̞ l
متابولیک	m æ t ɒː b uː l iː k
مداوای	m æ d ɒː v ɒː j
مسلمه	m æ s æ l m e̞
معلمه	m æ ʔ l æ m e̞
معیری	m æ ʔ iː ɾ iː
منتخبی	m æ n t æ x æ b iː
مهجور	m æ h d͡ʒ uː ɾ
مواج	m æ v ɒː d͡ʒ
موتورش	m uː t uː ɾ e̞ ʃ
میبینین	m iː b iː n iː n
میخره	m iː x æ ɾ e̞
میکائیل	m iː k ɒː ʔ iː l
ناراحتي	n ɒː ɾ ɒː h t iː
نازلی	n ɒː z æ l iː
نامردی	n ɒː m o ɾ d iː
نباتات	n æ b ɒː t ɒː t
نباشيد	n æ b ɒː ʃ iː d
نجمه	n æ d͡ʒ æ m e̞
نخواهيم	n æ x ɒː h iː m
نخونده	n æ x æ n d e̞
نراقی	n æ ɾ ɒː ɢ iː
نرسيده	n æ ɾ æ s iː d e̞
نزنن	n æ z æ n æ n
نهائی	n æ h ɒː ʔ iː
هاربر	h ɒː ɾ b æ ɾ
هامان	h ɒː m ɒː n
همایونی	h æ m ɒː j o n iː
هيچي	h iː t͡ʃ iː
والش	v ɒː l e̞ ʃ
وایسادم	v ɒː j e̞ s ɒː d æ m
وبلوچستان	v æ b e̞ l uː t͡ʃ æ s t ɒː n
وجدانم	v æ d͡ʒ d ɒː n æ m
وسایر	v æ s ɒː j æ ɾ
ولرم	v æ l æ ɾ æ m
ولوله	v æ l uː l e̞
ويروس	v iː ɾ uː s
پاکروان	p ɒː k e̞ ɾ æ v ɒː n
پردیسان	p æ ɾ d iː s ɒː n
پروفايل	p æ ɾ uː f ɒː j æ l
پنجاب	p e̞ n d͡ʒ ɒː b
پکتیا	p o k t j ɒː
پیمودن	p e̞ j m uː d æ n
چقدرم	t͡ʃ æ ɢ d æ ɾ æ m
کاشانه	k ɒː ʃ ɒː n e̞
کاشتن	k ɒː ʃ t æ n
کتکش	k e̞ t e̞ k e̞ ʃ
کوتاهش	k uː t ɒː h e̞ ʃ
کوچکم	k uː t͡ʃ e̞ k æ m
گرانشی	g e̞ ɾ ɒː n e̞ ʃ iː
گلنار	g o l n ɒː ɾ
arm	a ɾ m
deep	d iː p
keep	k iː p
ma	m a
آبدارچی	ɒː b e̞ d ɒː ɾ t͡ʃ iː
آبل	ɒː b e̞ l
آتا	ɒː t ɒː
آدیداس	ɒː d iː d ɒː s
آرامبخش	ɒː ɾ ɒː m b æ x ʃ
آزمونی	ɒː z m uː n iː
آلرژیک	ɒː l æ ɾ ʒ iː k
آنروز	ɒː n æ ɾ uː z
آگست	ɒː g o s t
ابجو	æ b d͡ʒ uː
اتومبيل	æ t uː m b iː l
ارثیه	æ ɾ s iː j e̞
افساد	æ f s ɒː d
الغرافه	a l ɢ o ɾ ɒː f e̞
اودین	o d iː n
ايرانی	iː ɾ ɒː n iː
ایشالا	iː ʃ ɒː l ɒː
باباشون	b ɒː b ɒː ʃ o n
بازجویان	b ɒː z d͡ʒ uː j ɒː n
بازداشته	b ɒː z d ɒː ʃ t e̞
بازيکنان	b ɒː z iː k o n ɒː n
باستاني	b ɒː s t ɒː n iː
بخارست	b e̞ x ɒː ɾ e̞ s t
بدبو	b e̞ d o b uː
بلندت	b e̞ l æ n d æ t
بچگانه	b e̞ t͡ʃ e̞ g ɒː n e̞
بگردین	b e̞ g æ ɾ d iː n
تاتار	t ɒː t ɒː ɾ
ترافيك	t æ ɾ ɒː f iː k
تفاضل	t æ f ɒː z e̞ l
تمامش	t æ m ɒː m e̞ ʃ
توبیخ	t uː b iː x
تکميل	t e̞ k m iː l
ثبتی	s æ b t iː
جوزجان	d͡ʒ uː z d͡ʒ ɒː n
جویس	d͡ʒ æ v iː s
حالام	h ɒː l ɒː m
حرفهاش	h æ ɾ f e̞ h ɒː ʃ
حمیدیان	h æ m iː d j ɒː n
خاشاک	x ɒː ʃ ɒː k
خرمالو	x æ ɾ m ɒː l o
خوشبین	x o ʃ b iː n
خوکی	x o k iː
دادوستد	d ɒː d uː s t æ d
داعی	d ɒː ʔ iː
داوطلبین	d ɒː v æ t æ l æ b iː n
درجریان	d æ ɾ d͡ʒ æ ɾ j ɒː n
دردست	d æ ɾ d æ s t
دريايي	d æ ɾ j ɒː j iː
دندونام	d æ n d uː n ɒː m
دهاتی	d æ h ɒː t iː
دومینو	d uː m iː n o
ديجيتال	d iː d͡ʒ iː t ɒː l
دژی	d æ ʒ iː
دیتاسنتر	d iː t ɒː s æ n t æ ɾ
دیقه	d iː ɢ e̞
ذوقی	z uː ɢ iː
راجا	ɾ ɒː d͡ʒ ɒː
راستي	ɾ ɒː s t iː
رسوبی	ɾ e̞ s uː b iː
زنبیل	z o n b iː l
سراشیبی	s o ɾ ɒː ʃ iː b iː
سقیفه	s æ ɢ iː f e̞
سهمش	s æ h m e̞ ʃ
سوای	s æ v ɒː j
سویس	s uː j e̞ s
