the	t eː
hoofdpijnen	ɦ oː f t p ɛ i̯ n ə
hoofdprogramma	ɦ oː f t p r oː ɣ r ɑ m aː
hoornen	ɦ oː r n ə
houde	ɦ ɑ u̯ d ə
houtgestookte	ɦ ɑ u̯ t x ə s t oː k t ə
hsk	ɦ aː ɛ s k aː
hubers	ɦ y b ə r s
hulpstoffen	ɦ ʏ l p s t ɔ f ə
humbert	ɦ ʏ m b ə r t
huw	ɦ y u̯
huwelijksvoltrekking	ɦ y u̯ ə l ə k s f ɔ l t r ɛ k ɪ ŋ
iconografie	i k oː n oː ɣ r aː f i
ijshockeyteam	ɛ i̯ s ɦ ɔ k i t iː m
imiteerde	i m i t eː r d ə
imola	i m oː l aː
impliceerde	ɪ m p l i s eː r d ə
indrukwekkendste	ɪ n d r ʏ k ʋ ɛ k ə n t s t ə
inelkaar	i n ə l k aː r
ingestaan	ɪ n ɣ ə s t aː n
innova	ɪ n oː v aː
introkken	ɪ n t r ɔ k ə
inventariseert	ɪ n v ɛ n t aː r i z eː r t
investeringsprogramma	ɪ n v ɛ s t ə r ɪ ŋ s p r oː ɣ r ɑ m aː
inzoomt	ɪ n z oː m t
ionica	i oː n i k aː
isolaat	i z oː l aː t
issam	ɪ s ɑ m
iste	ɪ s t ə
iwema	i ʋ eː m aː
jeugdinrichting	j øː x d ɪ n r ɪ x t ɪ ŋ
jomo	j oː m oː
jongerenwerkers	j ɔ ŋ ə r ə n ʋ ɛ r k ə r s
jorik	j oː r ɪ k
kaartte	k aː r t ə
kademuren	k aː d ə m yː r ə
kapwoning	k ɑ p ʋ oː n ɪ ŋ
karenina	k aː r eː n i n aː
karloff	k ɑ r l ɔ f
karolingische	k aː r oː l ɪ ŋ i s ə
kaspers	k ɑ s p ə r s
kati	k aː t i
kelderde	k ɛ l d ə r d ə
kellen	k ɛ l ə
kema	k eː m aː
kerkhofs	k ɛ r k ɦ ɔ f s
kernboodschap	k ɛ r n b oː t s x ɑ p
kesel	k eː s ə l
kester	k ɛ s t ə r
kijkrichting	k ɛ i̯ k r ɪ x t ɪ ŋ
kinderboekenschrijfster	k ɪ n d ə r b u k ə n s x r ɛ i̯ f s t ə r
kingsman	k ɪ ŋ s m ɑ n
klachtbehandeling	k l ɑ x t b ə ɦ ɑ n d ə l ɪ ŋ
kleedden	k l eː d ə
kleurencombinaties	k l øː r ə k ɔ m b i n aː s i s
kleuteronderwijs	k l øː t ə r ɔ n d ə r ʋ ɛ i̯ s
kleyn	k l ɛ i̯ n
klinger	k l ɪ ŋ ə r
klusbedrijf	k l ʏ s b ə d r ɛ i̯ f
knort	k n ɔ r t
koersel	k u r s ə l
koerswinst	k u r s ʋ ɪ n s t
koffeman	k ɔ f ə m ɑ n
kokkels	k ɔ k ə l s
konin	k oː n ɪ n
koningsstraat	k oː n ɪ ŋ s t r aː t
kooltjes	k oː l t j ə s
korenaar	k oː r ə n aː r
kringlopen	k r ɪ ŋ l oː p ə
kriss	k r ɪ s
kruidtuin	k r œ y̯ t œ y̯ n
kruisdood	k r œ y̯ s d oː t
kuba	k y b aː
lagrange	l ɑ x r ɑ ŋ ə
lambo	l ɑ m b oː
langwerkende	l ɑ ŋ ʋ ɛ r k ə n d ə
lareb	l aː r ɛ p
leefbaarder	l eː f b aː r d ə r
leeswerk	l eː s ʋ ɛ r k
leidenaren	l ɛ i̯ d ə n aː r ə
lemmings	l ɛ m ɪ ŋ s
lenore	l eː n oː r ə
lessing	l ɛ s ɪ ŋ
leverdatum	l eː v ə r d aː t ʏ m
libertarisme	l i b ə r t aː r ɪ s m ə
lichtvoetige	l ɪ x t f u t ə ɣ ə
liedbundel	l i t b ʏ n d ə l
lieffie	l i f i
lijfstraffen	l ɛ i̯ f s t r ɑ f ə
longhorn	l ɔ ŋ ɦ ɔ r n
loopwedstrijd	l oː p ʋ ɛ t s t r ɛ i̯ t
losplaats	l ɔ s p l aː t s
louwers	l ɑ u̯ ə r s
loyd	l ɔ i̯ t
lozingen	l oː z ɪ ŋ ə
luberon	l y b ə r ɔ n
lucerna	l y s ɛ r n aː
luchtiger	l ʏ x t ə ɣ ə r
luchtlandingstroepen	l ʏ x t l ɑ n d ɪ ŋ s t r u p ə
lycklama	l ɪ k l aː m aː
maalbeek	m aː l b eː k
maandstonden	m aː n t s t ɔ n d ə
maddison	m ɑ d i z ɔ n
maggio	m ɑ ɣ i oː
makkelie	m ɑ k ə l i
manchu	m ɑ n ʃ y
manifesten	m aː n i f ɛ s t ə
mannequins	m ɑ n ə k ʋ ɪ n s
mashhad	m ɑ ʃ ɦ ɑ t
maspalomas	m ɑ s p aː l oː m ɑ s
materies	m aː t ə r i s
mechelaars	m ɛ x ə l aː r s
mediatraining	m eː d i aː t r eː n ɪ ŋ
medien	m eː d i n
meekomt	m eː k ɔ m t
meeluistert	m eː l œ y̯ s t ə r t
meerjaren	m eː r j aː r ə
meervaart	m eː r v aː r t
meervallen	m eː r v ɑ l ə
meestgebruikte	m eː s t x ə b r œ y̯ k t ə
meevechten	m eː v ɛ x t ə
melkmarkt	m ɛ l k m ɑ r k t
menne	m ɛ n ə
mensenrechtenadvocaat	m ɛ n s ə n r ɛ x t ə n ɑ t f oː k aː t
messy	m ɛ s i
middenlaan	m ɪ d ə l aː n
milj	m ɪ l j
millions	m ɪ l j ɔ n s
ministerspost	m i n ɪ s t ə r s p ɔ s t
minpuntje	m ɪ n p ʏ n t j ə
misrekening	m ɪ s r eː k ə n ɪ ŋ
miz	m ɪ z
mkba	ɛ m k aː b aː
modeweek	m oː d ə ʋ eː k
moersleutel	m u r s l øː t ə l
moestuintjes	m u s t œ y̯ n t j ə s
moja	m oː j aː
moke	m oː k ə
mommers	m ɔ m ə r s
mondego	m ɔ n d eː ɣ oː
montalcino	m ɔ n t ɑ l s i n oː
mopperkont	m ɔ p ə r k ɔ n t
mutt	m ʏ t
naaktzwemmen	n aː k t s ʋ ɛ m ə
naas	n aː s
narcolepsie	n ɑ r k oː l ɛ p s i
natiestaten	n aː s i s t aː t ə
natriumchloride	n aː t r i ʏ m x l oː r i d ə
nauwelijk	n ɑ u̯ ə l ə k
neigde	n ɛ i̯ x d ə
nelsons	n ɛ l s ɔ n s
nierproblemen	n iː r p r oː b l eː m ə
nieuwsbladen	n i u̯ s b l aː d ə
nieuwsorganisaties	n i u̯ s ɔ r ɣ aː n i z aː s i s
nikolay	n i k oː l eː
notitieboekjes	n oː t i s i b u k j ə s
notte	n ɔ t ə
nse	ɛ n s ə
oats	oː t s
offense	ɔ f ɛ n s ə
olcay	ɔ l k eː
oldskool	ɔ l t s k oː l
omhelsd	ɔ m ɦ ɛ l s t
omsingelden	ɔ m s ɪ ŋ ə l d ə
onbebouwd	ɔ n b ə b ɑ u̯ t
onbeschrijflijk	ɔ n b ə s x r ɛ i̯ f l ə k
onderandere	ɔ n d ə r ɑ n d ə r ə
ondersoorten	ɔ n d ə r s oː r t ə
onderwijskundig	ɔ n d ə r ʋ ɛ i̯ s k ʏ n d ə x
onderwijsprogramma	ɔ n d ə r ʋ ɛ i̯ s p r oː ɣ r ɑ m aː
onderwijsveld	ɔ n d ə r ʋ ɛ i̯ s v ɛ l t
onderzoeksafdeling	ɔ n d ə r z u k s ɑ f d eː l ɪ ŋ
ondoorzichtige	ɔ n d oː r z ɪ x t ə ɣ ə
ongeladen	ɔ ŋ ɣ ə l aː d ə
onsympathieke	ɔ n s ɪ m p aː t i k ə
ontembare	ɔ n t ɛ m b aː r ə
ontplooit	ɔ n t p l oː i̯ t
ontstekingsreactie	ɔ n t s t eː k ɪ ŋ s r eː ɑ k s i
ontwikkelingsbank	ɔ n t ʋ ɪ k ə l ɪ ŋ s b ɑ ŋ k
oooo	oː oː
oorlogssituatie	oː r l ɔ x s i t y aː s i
oosterblokker	oː s t ə r b l ɔ k ə r
opbrouck	ɔ b r u k
openblijven	oː p ə b l ɛ i̯ v ə
opendeed	oː p ə d eː t
opens	oː p ə n s
opkopers	ɔ p k oː p ə r s
oppasser	ɔ p ɑ s ə r
opzoekwerk	ɔ p z u k ʋ ɛ r k
organon	ɔ r ɣ aː n ɔ n
oudejaars	ɑ u̯ d ə j aː r s
overdosering	oː v ə r d oː z eː r ɪ ŋ
overhaalt	oː v ə r ɦ aː l t
overstaptijd	oː v ə r s t ɑ p t ɛ i̯ t
oya	oː j aː
pangea	p ɑ ŋ ə aː
papierbak	p aː p iː r b ɑ k
pappas	p ɑ p ɑ s
parnell	p ɑ r n ɛ l
partijraad	p ɑ r t ɛ i̯ r aː t
pasternak	p ɑ s t ə r n ɑ k
patrizia	p aː t r i z i aː
pdb	p eː d eː b eː
pellegrino	p ɛ l ə ɣ r i n oː
pelletkachels	p ɛ l ə t k ɑ x ə l s
permeke	p ɛ r m eː k ə
petar	p eː t ɑ r
pickwick	p ɪ k ʋ ɪ k
pieptoon	p i p t oː n
pijpslet	p ɛ i̯ p s l ɛ t
pikkedonker	p ɪ k ə d ɔ ŋ k ə r
pili	p i l i
pineda	p i n eː d aː
plakwerk	p l ɑ k ʋ ɛ r k
plantten	p l ɑ n t ə
plex	p l ɛ k s
pluimveebedrijf	p l œ y̯ m v eː b ə d r ɛ i̯ f
pmi	p eː ɛ m i
polet	p oː l ɛ t
politiekorpsen	p oː l i s i k ɔ r p s ə
ponce	p ɔ n s
ponies	p oː n i s
portefeuillehouder	p ɔ r t ə f œ y̯ ə ɦ ɑ u̯ d ə r
portobello	p ɔ r t oː b ɛ l oː
pottery	p ɔ t ə r i
prikkende	p r ɪ k ə n d ə
princessehof	p r ɪ n s ɛ s ə ɦ ɔ f
pristina	p r ɪ s t i n aː
productieteam	p r oː d ʏ k s i t iː m
productontwikkeling	p r oː d ʏ k t ɔ n t ʋ ɪ k ə l ɪ ŋ
profitorganisaties	p r oː f i t ɔ r ɣ aː n i z aː s i s
programmatische	p r oː ɣ r ɑ m aː t i s ə
proliferatie	p r oː l i f eː r aː s i
prototypen	p r oː t oː t i p ə
provisies	p r oː v i z i s
proximity	p r ɔ k s i m i t i
publieksprijzen	p y b l i k s p r ɛ i̯ z ə
puente	p y ɛ n t ə
pölten	p œ l t ə
raarder	r aː r d ə r
radeloze	r aː d ə l oː z ə
raketsysteem	r aː k ɛ t s i s t eː m
redes	r eː d ə s
reesink	r eː s ɪ ŋ k
reinigingsproducten	r ɛ i̯ n ə ɣ ɪ ŋ s p r oː d ʏ k t ə
reisbeperkingen	r ɛ i̯ s b ə p ɛ r k ɪ ŋ ə
reisproduct	r ɛ i̯ s p r oː d ʏ k t
rekeninghouders	r eː k ə n ɪ ŋ ɦ ɑ u̯ d ə r s
rekenles	r eː k ə l ɛ s
reliant	r eː l i ɑ n t
rendering	r ɛ n d ə r ɪ ŋ
rentetarief	r ɛ n t ə t aː r i f
restwaarde	r ɛ s t ʋ aː r d ə
riaa	r i aː
ribéry	r i b eː r i
richels	r ɪ x ə l s
riina	r iː n aː
rijomstandigheden	r ɛ i̯ ɔ m s t ɑ n d ə x ɦ eː d ə
robotstofzuiger	r oː b ɔ t s t ɔ f s œ y̯ ɣ ə r
rotsvaste	r ɔ t s f ɑ s t ə
rouwdienst	r ɑ u̯ d i n s t
ruist	r œ y̯ s t
rummen	r ʏ m ə
rummenigge	r ʏ m ə n ɪ ɣ ə
runder	r ʏ n d ə r
rupes	r y p ɛ s
rupsje	r ʏ p ʃ ə
rémi	r eː m i
röhm	r øː m
saharisch	s aː ɦ aː r i s
salama	s aː l aː m aː
saline	s aː l i n ə
salomons	s aː l oː m ɔ n s
samengeperste	s aː m ə n ɣ ə p ɛ r s t ə
sateliet	s aː t ə l i t
schaafsma	s x aː f s m aː
schakelmateriaal	s x aː k ə l m aː t eː r i aː l
scheepers	s x eː p ə r s
scheire	s x ɛ i̯ r ə
schell	s x ɛ l
schiervelde	s x iː r v ɛ l d ə
schouwburgen	s x ɑ u̯ b ʏ r ɣ ə
schraapt	s x r aː p t
schriftje	s x r ɪ f t j ə
schär	s x ɛː r
seizoenkaart	s ɛ i̯ z u n k aː r t
selectiewedstrijd	s ə l ɛ k s i ʋ ɛ t s t r ɛ i̯ t
servants	s ɛ r v ɑ n t s
several	s eː v ə r ɑ l
shandy	ʃ ɑ n d i
shantykoor	ʃ ɑ n t i k oː r
shatner	ʃ ɑ t n ə r
shaver	ʃ aː v ə r
sherwin	ʃ ɛ r ʋ ɪ n
shinigami	ʃ i n i ɣ aː m i
shure	ʃ yː r ə
sips	s ɪ p s
skeeter	s k eː t ə r
skyler	s k i l ə r
slopershamer	s l oː p ə r s ɦ aː m ə r
smurfit	s m ʏ r f ɪ t
sneeuwhoogte	s n eː u̯ ɦ oː x t ə
sneeuwschoenen	s n eː u̯ s x u n ə
snorscooter	s n ɔ r s k oː t ə r
sodawater	s oː d aː ʋ aː t ə r
sodexo	s oː d ɛ k s oː
soesjes	s u ʃ ə s
sopranos	s oː p r aː n ɔ s
speekselklieren	s p eː k s ə l k l iː r ə
speksteen	s p ɛ k s t eː n
spelersmakelaar	s p eː l ə r s m aː k ə l aː r
speur	s p øː r
spiraaltje	s p i r aː l t j ə
sportprestaties	s p ɔ r t p r ɛ s t aː s i s
spotted	s p ɔ t ə t
spud	s p ʏ t
stadswallen	s t ɑ t s ʋ ɑ l ə
startkabels	s t ɑ r t k aː b ə l s
stedentrips	s t eː d ə n t r ɪ p s
steensoorten	s t eː n s oː r t ə
stele	s t eː l ə
stillman	s t ɪ l m ɑ n
stoutmoedige	s t ɑ u̯ t m u d ə ɣ ə
straftijd	s t r ɑ f t ɛ i̯ t
strobalen	s t r oː b aː l ə
studentenleider	s t y d ɛ n t ə l ɛ i̯ d ə r
stuurkolom	s t yː r k oː l ɔ m
suikerwater	s œ y̯ k ə r ʋ aː t ə r
switzerland	s ʋ ɪ t s ə r l ɑ n t
süddeutsche	s ʏ d øː t s ə
tafeltennisser	t aː f ə l t ɛ n ɪ s ə r
tamayo	t aː m aː j oː
tangerine	t ɑ ŋ ə r i n ə
tasmaanse	t ɑ s m aː n s ə
tbi	t eː b i
teentje	t eː n t j ə
tegaan	t ə ɣ aː n
tekstbureau	t ɛ k s t b y r oː
telescopische	t eː l ə s k oː p i s ə
temples	t ɛ m p l ɛ s
thalassa	t aː l ɑ s aː
theïsme	t eː ɪ s m ə
thiem	t i m
théoden	t eː oː d ə
tiana	t i aː n aː
tijdklok	t ɛ i̯ t k l ɔ k
tingting	t ɪ ŋ t ɪ ŋ
tiroolse	t i r oː l s ə
toewijzingen	t u ʋ ɛ i̯ z ɪ ŋ ə
tolvrij	t ɔ l v r ɛ i̯
tonino	t oː n i n oː
topfunctie	t ɔ p f ʏ ŋ k s i
topscorers	t ɔ p s k oː r ə r s
trabajadores	t r aː b aː j aː d oː r ɛ s
traceerbaarheid	t r aː s eː r b aː r ɦ ɛ i̯ t
tracering	t r aː s eː r ɪ ŋ
trainerswissel	t r eː n ə r s ʋ ɪ s ə l
tramontana	t r aː m ɔ n t aː n aː
transformeer	t r ɑ n s f ɔ r m eː r
trekvaart	t r ɛ k f aː r t
trg	t ɛ r ɣ eː
trikes	t r i k ə s
trippe	t r ɪ p ə
trojka	t r ɔ i̯ k aː
tutje	t ʏ t j ə
twaalfhonderd	t ʋ aː l f ɦ ɔ n d ə r t
uelsen	y ɛ l s ə
uffizi	ʏ f i z i
uiteengeslagen	œ y̯ t eː n ɣ ə s l aː ɣ ə
uiteengevallen	œ y̯ t eː n ɣ ə v ɑ l ə
uitgangsspanning	œ y̯ t x ɑ ŋ s p ɑ n ɪ ŋ
uitgerangeerde	œ y̯ t x ə r ɑ ŋ eː r d ə
uitgerekende	œ y̯ t x ə r eː k ə n d ə
uitgeweest	œ y̯ t x ə ʋ eː s t
uitreikt	œ y̯ t r ɛ i̯ k t
uitvaartverzorging	œ y̯ t f aː r t f ə r z ɔ r ɣ ɪ ŋ
unum	y n ʏ m
uriah	y r i aː
urkers	ʏ r k ə r s
urquhart	ʏ r k ʋ ɑ r t
vaatziekte	v aː t s i k t ə
vachten	v ɑ x t ə
vakmannen	v ɑ k m ɑ n ə
veelgelezen	v eː l ɣ ə l eː z ə
veiligheidskundige	v ɛ i̯ l ə x ɦ ɛ i̯ t s k ʏ n d ə ɣ ə
vena	v eː n aː
veneta	v eː n eː t aː
venti	v ɛ n t i
vercors	v ə r k ɔ r s
verdamper	v ə r d ɑ m p ə r
vereenvoudigt	v ə r eː n v ɑ u̯ d ə x t
verfilmde	v ə r f ɪ l m d ə
vergiftigingen	v ə r ɣ ɪ f t ə ɣ ɪ ŋ ə
vergund	v ə r ɣ ʏ n t
verhongerd	v ə r ɦ ɔ ŋ ə r t
verjaardagscadeautje	v ə r j aː r d ɑ x s k aː d oː t j ə
vermengde	v ə r m ɛ ŋ d ə
verpacht	v ə r p ɑ x t
verruimde	v ə r r œ y̯ m d ə
versch	v ɛ r s
verstijven	v ə r s t ɛ i̯ v ə
verstomd	v ə r s t ɔ m t
verwerkten	v ə r ʋ ɛ r k t ə
verzengende	v ə r z ɛ ŋ ə n d ə
verzinkt	v ə r z ɪ ŋ k t
vesalius	v eː z aː l i ʏ s
vgs	v eː ɣ eː ɛ s
vijftiental	v ɛ i̯ f t i n t ɑ l
vijfvoudige	v ɛ i̯ f f ɑ u̯ d ə ɣ ə
vinkeveense	v ɪ ŋ k ə v eː n s ə
vitaya	v i t aː j aː
vlakt	v l ɑ k t
vlietstra	v l i t s t r aː
voeders	v u d ə r s
voornoemd	v oː r n u m t
voorsmaakje	v oː r s m aː k j ə
voortplantingsorganen	v oː r t p l ɑ n t ɪ ŋ s ɔ r ɣ aː n ə
voortrekkers	v oː r t r ɛ k ə r s
voortrekkersrol	v oː r t r ɛ k ə r s r ɔ l
vorkje	v ɔ r k j ə
vorpommern	v ɔ r p ɔ m ə r n
vredesmissies	v r eː d ə s m ɪ s i s
vri	v r i
vsnu	v eː ɛ s n y
waaren	ʋ aː r ə
wabash	ʋ aː b ɑ ʃ
walkietalkie	ʋ ɑ l k i t ɑ l k i
wandlampen	ʋ ɑ n t l ɑ m p ə
warmtewet	ʋ ɑ r m t ə ʋ ɛ t
waterpompen	ʋ aː t ə r p ɔ m p ə
waterpret	ʋ aː t ə r p r ɛ t
waterstroom	ʋ aː t ə r s t r oː m
watters	ʋ ɑ t ə r s
waxinelichtje	ʋ ɑ k s i n ə l ɪ x t j ə
weerklonk	ʋ eː r k l ɔ ŋ k
wegnam	ʋ ɛ x n ɑ m
weigeringen	ʋ ɛ i̯ ɣ ə r ɪ ŋ ə
welkomstcomité	ʋ ɛ l k ɔ m s t k oː m i t eː
welving	ʋ ɛ l v ɪ ŋ
wensenlijstje	ʋ ɛ n s ə l ɛ i̯ s t j ə
werkeloze	ʋ ɛ r k ə l oː z ə
werklast	ʋ ɛ r k l ɑ s t
westermarkt	ʋ ɛ s t ə r m ɑ r k t
westertoren	ʋ ɛ s t ə r t oː r ə
whipple	ʋ ɪ p ə l
wijkgemeente	ʋ ɛ i̯ k x ə m eː n t ə
wilberforce	ʋ ɪ l b ə r f ɔ r s ə
wilford	ʋ ɪ l f ɔ r t
willig	ʋ ɪ l ə x
woenselse	ʋ u n s ɛ l s ə
woningzoekende	ʋ oː n ɪ ŋ z u k ə n d ə
wormhole	ʋ ɔ r m ɦ oː l ə
xin	k s ɪ n
yeon	j eː ɔ n
zadeldaken	z aː d ə l d aː k ə
zakencentrum	z aː k ə n s ɛ n t r ʏ m
zanussi	z aː n ʏ s i
zegeltjes	z eː ɣ ə l t j ə s
zest	z ɛ s t
ziengs	z i ŋ s
zonnebloempitten	z ɔ n ə b l u m p ɪ t ə
zonnehoed	z ɔ n ə ɦ u t
zoutmijnen	z ɑ u̯ t m ɛ i̯ n ə
zugspitze	z ʏ x s p ɪ t s ə
zuiverend	z œ y̯ v ə r ə n t
zwakbegaafde	z ʋ ɑ k b ə ɣ aː f d ə
zweetklieren	z ʋ eː t k l iː r ə
aanzuigende	aː n z œ y̯ ɣ ə n d ə
abop	aː b ɔ p
achterlijken	ɑ x t ə r l ə k ə
achterstelling	ɑ x t ə r s t ɛ l ɪ ŋ
achterwegen	ɑ x t ə r ʋ eː ɣ ə
adresse	aː d r ɛ s ə
adreswijziging	aː d r ɛ s ʋ ɛ i̯ z ə ɣ ɪ ŋ
afgerukt	ɑ f x ə r ʏ k t
afgezogen	ɑ f x ə z oː ɣ ə
afkick	ɑ f k ɪ k
afslanking	ɑ f s l ɑ ŋ k ɪ ŋ
aftandse	ɑ f t ɑ n t s ə
airwolf	ɛː r ʋ ɔ l f
akka	ɑ k aː
akkie	ɑ k i
alavés	aː l aː v eː s
albanie	ɑ l b aː n i
alcoholbeleid	ɑ l k oː ɦ ɔ l b ə l ɛ i̯ t
allium	ɑ l i ʏ m
alvares	ɑ l v aː r ɛ s
amazonas	aː m aː z oː n ɑ s
amazonica	aː m aː z oː n i k aː
amerigo	aː m eː r i ɣ oː
amtrak	ɑ m t r ɑ k
analytica	aː n aː l i t i k aː
angers	ɑ ŋ ə r s
angstiger	ɑ ŋ s t ə ɣ ə r
anheuser	ɑ n ɦ øː z ə r
antibes	ɑ n t i b ɛ s
ants	ɑ n t s
anzio	ɑ n z i oː
appjes	ɑ p j ə s
apprecieert	ɑ p r eː s i eː r t
appt	ɑ p t
aquatische	aː k ʋ aː t i s ə
arbeidskorting	ɑ r b ɛ i̯ t s k ɔ r t ɪ ŋ
arbeidsverhoudingen	ɑ r b ɛ i̯ t s f ə r ɦ ɑ u̯ d ɪ ŋ ə
archiefonderzoek	ɑ r x i f ɔ n d ə r z u k
arents	aː r ɛ n t s
aryan	aː r i ɑ n
ashworth	ɑ ʃ ʋ ɔ r t
attacks	ɑ t ɑ k s
auer	ɑ u̯ ə r
autoverhuurbedrijf	oː t oː v ə r ɦ yː r b ə d r ɛ i̯ f
bacillus	b aː s i j ʏ s
balin	b aː l ɪ n
bandcamp	b ɑ n t k ɑ m p
bangma	b ɑ ŋ m aː
banshees	b ɑ n s ɦ eː s
bashers	b ɑ ʃ ə r s
batiste	b aː t ɪ s t ə
bebossing	b ə b ɔ s ɪ ŋ
beels	b eː l s
beervelde	b eː r v ɛ l d ə
begrenzer	b ə ɣ r ɛ n z ə r
begrenzingen	b ə ɣ r ɛ n z ɪ ŋ ə
belli	b ɛ l i
bemmelen	b ɛ m ə l ə
beraadslaging	b ə r aː t s l aː ɣ ɪ ŋ
bereidwillig	b ə r ɛ i̯ t ʋ ɪ l ə x
bergwand	b ɛ r x ʋ ɑ n t
berijd	b ə r ɛ i̯ t
bernanke	b ɛ r n ɑ ŋ k ə
beroepsziekte	b ə r u p s i k t ə
besch	b ɛ s
bessems	b ɛ s ə m s
bestijgt	b ə s t ɛ i̯ x t
bevlekte	b ə v l ɛ k t ə
bewegelijk	b ə ʋ eː ɣ ə l ə k
bezettingsgraad	b ə z ɛ t ɪ ŋ s x r aː t
biercultuur	b iː r k ʏ l t yː r
binnenhaalde	b ɪ n ə n ɦ aː l d ə
birkenstock	b ɪ r k ə n s t ɔ k
blinker	b l ɪ ŋ k ə r
bloemwerk	b l u m ʋ ɛ r k
blusmiddelen	b l ʏ s m ɪ d ə l ə
bnb	b eː ɛ n b eː
boekdrukker	b u k d r ʏ k ə r
boen	b u n
boerenoorlog	b u r ə n oː r l ɔ x
boerenwetering	b u r ə n ʋ eː t ə r ɪ ŋ
bolan	b oː l ɑ n
bolat	b oː l ɑ t
boli	b oː l i
boodschappenbriefje	b oː t s x ɑ p ə b r i f j ə
bork	b ɔ r k
bossut	b ɔ s ʏ t
bouwstop	b ɑ u̯ s t ɔ p
boyhood	b ɔ i̯ ɦ oː t
bpo	b eː p eː oː
breslau	b r ɛ s l ɑ u̯
brijs	b r ɛ i̯ s
broersen	b r u r s ə
brooddoos	b r oː d oː s
brought	b r ɑ u̯ x t
bruidssuite	b r œ y̯ t s œ y̯ t ə
buikspek	b œ y̯ k s p ɛ k
buitencategorie	b œ y̯ t ə k aː t ə ɣ oː r i
buitenlijn	b œ y̯ t ə l ɛ i̯ n
bullitt	b ʏ l ɪ t
bundeltje	b ʏ n d ə l t j ə
bungie	b ʏ ŋ i
burgerkleding	b ʏ r ɣ ə r k l eː d ɪ ŋ
busmaatschappij	b ʏ s m aː t s x ɑ p ɛ i̯
buzzfeed	b ʏ z f eː t
bvl	b eː v eː ɛ l
calabria	k aː l aː b r i aː
calla	k ɑ l aː
campania	k ɑ m p aː n i aː
cebit	s eː b ɪ t
centrumplan	s ɛ n t r ʏ m p l ɑ n
chatfunctie	ʃ ɑ t f ʏ ŋ k s i
chatroulette	ʃ aː t r u l ɛ t ə
cicaden	s i k aː d ə
clijsters	k l ɛ i̯ s t ə r s
closure	k l oː z yː r ə
clues	k l y s
colorful	k oː l ɔ r f ʏ l
colum	k oː l ʏ m
communicaties	k ɔ m y n i k aː s i s
compliant	k ɔ m p l i ɑ n t
conjuring	k ɔ n j yː r ɪ ŋ
connecten	k ɔ n ɛ k t ə
connecting	k ɔ n ɛ k t ɪ ŋ
contactenlijst	k ɔ n t ɑ k t ə l ɛ i̯ s t
contracting	k ɔ n t r ɑ k t ɪ ŋ
coralie	k oː r aː l i
corne	k ɔ r n ə
coven	k oː v ə
craving	k r aː v ɪ ŋ
creeper	k r eː p ə r
croon	k r oː n
damse	d ɑ m s ə
danner	d ɑ n ə r
darlington	d ɑ r l ɪ ŋ t ɔ n
darussalam	d aː r ʏ s aː l ɑ m
deepwater	d eː p ʋ aː t ə r
denkfouten	d ɛ ŋ k f ɑ u̯ t ə
destem	d ɛ s t ə m
detta	d ɛ t aː
deviant	d eː v i ɑ n t
dierenopvang	d iː r ə n ɔ p f ɑ ŋ
dingenen	d ɪ ŋ ə n ə
dionysos	d i oː n i z ɔ s
dirkx	d ɪ r k s
dives	d i v ɛ s
doelpubliek	d u l p y b l i k
doncaster	d ɔ ŋ k ɑ s t ə r
doorbranden	d oː r b r ɑ n d ə
doorstromers	d oː r s t r oː m ə r s
doorway	d oː r ʋ eː
doritos	d oː r i t ɔ s
dorpskrant	d ɔ r p s k r ɑ n t
dottie	d ɔ t i
dragelijker	d r aː ɣ ə l ə k ə r
dressuurpaarden	d r ɛ s yː r p aː r d ə
driewielers	d r i ʋ i l ə r s
driftbuien	d r ɪ f t b œ y̯ ə
drinkgedrag	d r ɪ ŋ k x ə d r ɑ x
drooggevallen	d r oː x ə v ɑ l ə
drugsgerelateerde	d r ʏ x s x ə r eː l aː t eː r d ə
drugsverslaafd	d r ʏ x s f ə r s l aː f t
druivenras	d r œ y̯ v ə n r ɑ s
drukknop	d r ʏ k n ɔ p
dsr	d eː ɛ s ɛ r
dufresne	d ʏ f r ɛ s n ə
duidend	d œ y̯ d ə n t
dunga	d ʏ ŋ ɡ aː
dunlap	d ʏ n l ɑ p
duurtraining	d yː r t r eː n ɪ ŋ
dwf	d eː ʋ eː ɛ f
dyscalculie	d ɪ s k ɑ l k y l i
eemskanaal	eː m s k aː n aː l
einmal	ɛ i̯ n m ɑ l
elisabet	eː l i z aː b ɛ t
elmont	ɛ l m ɔ n t
embedden	ɛ m b ɛ d ə
empatisch	ɛ m p aː t i s
endings	ɛ n d ɪ ŋ s
enfants	ɛ n f ɑ n t s
epp	ɛ p
eredoctor	eː r ə d ɔ k t ɔ r
erkers	ɛ r k ə r s
esme	ɛ s m ə
etaleert	eː t aː l eː r t
eval	eː v ɑ l
evernote	eː v ə r n oː t ə
explain	ɛ k s p l eː n
extramurale	ɛ k s t r aː m y r aː l ə
factors	f ɑ k t ɔ r s
familiealbum	f aː m i l i ɑ l b ʏ m
fanpagina	f ɑ n p aː ɣ i n aː
farrah	f ɑ r aː
fattah	f ɑ t aː
fca	ɛ f s eː aː
festen	f ɛ s t ə
fiamma	f i ɑ m aː
fietsdag	f i t s d ɑ x
