að	aː ð
norðvesturs	n ɔ r ð v ɛ s t ʏ r̥ s
nuddar	n ʏ tː a r
nuevo	n ʏ ɛː v ɔ
num	n ʏː m
nyrstu	n ɪ r̥ s t ʏ
nytsamlegt	n ɪː t s a m l ɛ x t
nágrannalönd	n a uː k r a nː a l œ n t
námsbækur	n a u m s p a iː k ʏ r
námsframboð	n a u m s f r a m p ɔː ð
námskeiðinu	n a u m s c e iː ð ɪ n ʏ
námslán	n a u m s t l a uː n
námsárunum	n a u m s a uː r ʏ n ʏ m
námunum	n a uː m ʏː n ʏ m
náttúrustofu	n a u h t uː r ʏ s t ɔː v ʏ
nærbuxum	n a i r p ʏ x s ʏ m
næringarríkum	n a iː r i ŋ k a r r iː k ʏ m
nærst	n a i r̥ s t
næstsíðustu	n a i s t s iː ð ʏ s t ʏ
nöktum	n œ x t ʏ m
nýjabæ	n iː j a p a iː
nýlegur	n iː l ɛː ɣ ʏ r
nýlendum	n iː l ɛ n t ʏ m
nýlistasafnsins	n iː l ɪ s t a s a p n s ɪ n s
nýrna	n i r t n a
ofaukið	ɔː v ø yː c ɪ ð
ofbeldisfull	ɔ v p ɛ l t ɪ s f ʏ t l
ofgnótt	ɔ v k n o u h t
orkugjafar	ɔ r̥ k ʏ c aː v a r
orkulindum	ɔ r̥ k ʏ l ɪ n t ʏ m
orkumála	ɔ r̥ k ʏ m a uː l a
orkuþörf	ɔ r̥ k ʏ θ œ r v
otis	ɔː t ɪ s
padre	pʰ aː t r ɛː
pair	pʰ a iː r
parent	pʰ aː r ɛ n̥ t
paso	pʰ aː s ɔ
paulu	pʰ ø yː l ʏ
peningamál	pʰ ɛː n i ŋ k a m a uː l
peningi	pʰ ɛː n i ɲ c ɪ
pep	pʰ ɛː p
peretti	pʰ ɛː r ɛ h t ɪ
persónusköpun	pʰ ɛ r̥ s o uː n ʏ s k œː p ʏ n
pia	pʰ ɪː j a
pillu	pʰ ɪ t l ʏ
pillunni	pʰ ɪ t l ʏ nː ɪ
plasma	pʰ l a s m a
plasts	pʰ l a s t s
platínu	pʰ l aː tʰ iː n ʏ
platón	pʰ l aː tʰ o uː n
pol	pʰ ɔː l
porti	pʰ ɔ r̥ t ɪ
postulíni	pʰ ɔ s t ʏ l iː n ɪ
prjónum	pʰ r j o uː n ʏ m
prímtölur	pʰ r i m tʰ œː l ʏ r
punktarnir	pʰ u ŋ̊ k tʰ a r t n ɪ r
pálmatré	pʰ a u l m a tʰ r j ɛː
pítsu	pʰ i h t s ʏ
pólskum	pʰ o u l s k ʏ m
púðri	pʰ u ð r ɪ
quad	kʰ v aː t
rafvæðingu	r a v v a iː ð i ŋ k ʏ
rakar	r aː k a r
rammleik	r a mː l e iː k
rannsóknarstofnunar	r a nː s o u h k n a r s t ɔ p n ʏ n a r
raspberry	r a s p p ɛ rː ɪ
rate	r aː t ɛ
raunveruleikans	r ø y n v ɛː r ʏ l e iː k a n s
reap	r ɛ aː p
refsiaðgerðir	r ɛ f s ɪ a ð c ɛ r ð ɪ r
regin	r e iː j ɪ n
reglugerðar	r ɛ k l ʏ c ɛ r ð a r
reiðist	r e iː ð ɪ s t
reyndin	r e i n t ɪ n
riffla	r ɪ fː l a
ritstýra	r ɪː t s t iː r a
robby	r ɔ pː ɪ
roddy	r ɔ tː ɪ
rokkstjarna	r ɔ h k s t j a r t n a
rottan	r ɔ h t a n
rsí	r̥ s iː
ráðhúsi	r a uː ð h uː s ɪ
ræddar	r a i tː a r
rændur	r a i n t ʏ r
ræningjana	r a iː n i ɲ c aː n a
ræsti	r a i s t ɪ
ræstur	r a i s t ʏ r
ræðustól	r a iː ð ʏ s t o uː l
réttarkerfið	r j ɛ h t a r cʰ ɛ r v ɪː ð
ríkisendurskoðanda	r iː c ɪ s ɛ n t ʏ r s k ɔː ð a n t a
ríkisskattstjóri	r iː c ɪ s s k a h t s t j o uː r ɪ
römmum	r œ mː ʏ m
rörin	r œː r ɪ n
röðuðu	r œː ð ʏ ð ʏ
rússarnir	r u sː a r t n ɪ r
rúðu	r uː ð ʏ
rýmri	r i m r ɪ
sade	s aː t ɛ
safnstjóri	s a p n s t j o uː r ɪ
samanlögðum	s aː m a n l œ ɣ ð ʏ m
samara	s aː m a r a
samdráttar	s a m t r a u h t a r
samferðamenn	s a m f ɛ r ð a m ɛ nː
samhljóm	s a m l̥ j o uː m
samlanda	s a m l a n t a
samræmda	s a m r a i m t a
samræmdar	s a m r a i m t a r
samtvinnuð	s a m̥ t v ɪ nː ʏ ð
samverkandi	s a m v ɛ r̥ k a n t ɪ
samveru	s a m v ɛː r ʏ
samúels	s aː m u ɛ l s
samþykkur	s a m θ ɪ h k ʏ r
sannfæring	s a nː f a iː r i ŋ k
saturday	s aː t ʏ r t a iː
score	s k ɔː r ɛ
scully	s k ʏ t l ɪ
seki	s ɛː c ɪ
seljanda	s ɛ l j a n t a
senum	s ɛː n ʏ m
serra	s ɛ rː a
seville	s ɛː v ɪ t l ɛ
seytlar	s e i h t l a r
simpsons	s ɪ m̥ p s ɔ n s
sims	s ɪ m s
sitr	s ɪː t r
sitthvort	s ɪ h t kʰ v ɔ r̥ t
siðferðilegu	s ɪ ð f ɛ r ð ɪ l ɛː ɣ ʏ
sjávarbotni	s j a uː v a r p ɔ h t n ɪ
sjóleiðina	s j o uː l e iː ð ɪ n a
sjónar	s j o uː n a r
sjónræna	s j o u n r a iː n a
sjónrænt	s j o u n r a i n̥ t
sjónvarpsefnis	s j o u n v a r̥ p s ɛ p n ɪ s
sjónvarpsþátta	s j o u n v a r̥ p s θ a u h t a
sjóvar	s j o uː v a r
sjúkdómsgreiningu	s j uː k t o u m s k r e iː n i ŋ k ʏ
sjúklingana	s j uː k l i ŋ k aː n a
sjúkraliða	s j uː k r a l ɪː ð a
sjúkraliðar	s j uː k r a l ɪː ð a r
sjúkraþjálfarar	s j uː k r a θ j a u l v aː r a r
skafta	s k a f t a
skapaðar	s k aː p a ð a r
skapaðir	s k aː p a ð ɪ r
skattleggja	s k a h t l ɛ cː a
skeeter	s c ɛː t ɛ r
skeiðið	s c e iː ð ɪ ð
skelfingar	s c ɛ l v i ŋ k a r
skelfur	s c ɛ l v ʏ r
skeljum	s c ɛ l j ʏ m
skerðingar	s c ɛ r ð i ŋ k a r
skeð	s c ɛː ð
skildar	s c ɪ l t a r
skildust	s c ɪ l t ʏ s t
skilgreiningunni	s c ɪ l k r e iː n i ŋ k ʏ nː ɪ
skilt	s c ɪ l̥ t
skipulegum	s c ɪː p ʏ l ɛː ɣ ʏ m
skjalsins	s c a l s ɪ n s
skjákort	s c a uː kʰ ɔ r̥ t
skjálftavirkni	s c a u l̥ t a v ɪ r̥ k n ɪ
skoda	s k ɔː t a
skolar	s k ɔː l a r
skondin	s k ɔ n t ɪ n
skordýraeitur	s k ɔ r t iː r a e iː t ʏ r
skrautið	s k r ø yː t ɪ ð
skreytingum	s k r e iː t i ŋ k ʏ m
skriðið	s k r ɪː ð ɪ ð
skrúða	s k r uː ð a
skyndilegt	s c ɪ n t ɪ l ɛ x t
skífu	s c iː v ʏ
skúrir	s k uː r ɪ r
skýrslutöku	s c i r̥ s t l ʏ tʰ œː k ʏ
sleppið	s t l ɛ h p ɪ ð
slöngum	s t l ø y ŋ k ʏ m
smalað	s m aː l a ð
smeykur	s m e iː k ʏ r
smyril	s m ɪː r ɪ l
smápeningum	s m a uː pʰ ɛː n i ŋ k ʏ m
smáskífa	s m a uː s c iː v a
smæðar	s m a iː ð a r
smíðina	s m iː ð ɪ n a
snefilefni	s t n ɛː v ɪ l ɛ p n ɪ
snöru	s t n œː r ʏ
sonarson	s ɔː n a r s ɔː n
sonju	s ɔ n j ʏ
sonoma	s ɔː n ɔː m a
sox	s ɔ k s
spaghetti	s p aː ɣ h ɛ h t ɪ
sparnaði	s p a r t n aː ð ɪ
spelt	s p ɛ l̥ t
spjöldum	s p j œ l t ʏ m
springi	s p r i ɲ c ɪ
spurningamerki	s p ʏ r t n i ŋ k a m ɛ r̥ c ɪ
starfsmanni	s t a r v s m a nː ɪ
starfsmennirnir	s t a r v s m ɛ nː ɪ r t n ɪ r
staðhæft	s t aː ð h a i f t
staðráðnir	s t a ð r a u ð n ɪ r
stebba	s t ɛ pː a
stefnubreyting	s t ɛ p n ʏ p r e iː t i ŋ k
stefnumótandi	s t ɛ p n ʏ m o uː t a n t ɪ
steikjandi	s t e iː c a n t ɪ
steinari	s t e iː n a r ɪ
steinberg	s t e i n p ɛ r k
steinefna	s t e iː n ɛ p n a
stenberg	s t ɛ n p ɛ r k
steypir	s t e iː p ɪ r
stilltir	s t ɪ l̥ t ɪ r
stjórnarflokkarnir	s t j o u r t n a r f l ɔ h k a r t n ɪ r
stjórnarformann	s t j o u r t n a r f ɔ r m a nː
stjórnarhátta	s t j o u r t n a r h a u h t a
stjórnarmanna	s t j o u r t n a r m a nː a
stjórnarsáttmála	s t j o u r t n a r s a u h t m a uː l a
stjórnartíðinda	s t j o u r t n a r tʰ iː ð ɪ n t a
stjórnartíðindi	s t j o u r t n a r tʰ iː ð ɪ n t ɪ
stjórnmálaskoðana	s t j o u r t n m a uː l a s k ɔː ð a n a
stofunnar	s t ɔː v ʏ nː a r
stríddi	s t r i tː ɪ
stuðningurinn	s t ʏ ð n i ŋ k ʏ r ɪ nː
styddu	s t ɪ tː ʏ
stykkjum	s t ɪ h c ʏ m
styrkjanna	s t ɪ r̥ c a nː a
stílum	s t iː l ʏ m
stólpa	s t o u l̥ p a
stórvelda	s t o u r v ɛ l t a
stökkar	s t œ h k a r
stöðvarnar	s t œ ð v a r t n a r
sundlaugum	s ʏ n t l ø yː ɣ ʏ m
sunny	s ʏ nː ɪ
superman	s ʏː p ɛ r m aː n
sure	s ʏː r ɛ
svani	s v aː n ɪ
svans	s v a n s
svansins	s v a n s ɪ n s
svartskeggur	s v a r̥ t s c ɛ kː ʏ r
sveitarstjórnarráðherra	s v e iː t a r s t j o u r t n a r r a uː ð h ɛ rː a
sviðsetningu	s v ɪ ð s ɛ h t n i ŋ k ʏ
svínin	s v iː n ɪ n
sykursjúkra	s ɪː k ʏ r s j uː k r a
syn	s ɪː n
sáningu	s a uː n i ŋ k ʏ
sáttamiðlun	s a u h t a m ɪ ð l ʏ n
sáði	s a uː ð ɪ
sæmdar	s a i m t a r
særðir	s a i r ð ɪ r
sætri	s a iː t r ɪ
sævars	s a iː v a r̥ s
sérdeild	s j ɛ r t e i l t
sérhönnuð	s j ɛː r h œ nː ʏ ð
síldveiða	s i l t v e iː ð a
símalínu	s iː m a l iː n ʏ
sítrónu	s iː tʰ r o uː n ʏ
sítrónur	s iː tʰ r o uː n ʏ r
síðna	s i ð n a
síðurnar	s iː ð ʏ r t n a r
sóknarprests	s o u h k n a r pʰ r ɛ s t s
sólborg	s o u l p ɔ r k
sómasamlega	s o uː m a s a m l ɛː ɣ a
söfnunar	s œ p n ʏ n a r
súlum	s uː l ʏ m
súðavíkur	s uː ð a v iː k ʏ r
sýningarskrá	s iː n i ŋ k a r s k r a uː
sýður	s iː ð ʏ r
takkanum	tʰ a h k a n ʏ m
takki	tʰ a h c ɪ
talsmanni	tʰ a l s m a nː ɪ
tanner	tʰ a nː ɛ r
taugakerfinu	tʰ ø yː ɣ a cʰ ɛ r v ɪː n ʏ
tekíla	tʰ ɛː c iː l a
thorne	tʰ ɔ r t n ɛ
tilboða	tʰ ɪ l p ɔː ð a
tilbrigðum	tʰ ɪ l p r ɪ ɣ ð ʏ m
tilburði	tʰ ɪ l p ʏ r ð ɪ
tilgreindar	tʰ ɪ l k r e i n t a r
tiltrú	tʰ ɪ l̥ t r uː
tilverknað	tʰ ɪ l v ɛ r̥ k n a ð
tino	tʰ ɪː n ɔ
tips	tʰ ɪ p s
togað	tʰ ɔː ɣ a ð
toms	tʰ ɔ m s
torkil	tʰ ɔ r̥ c ɪ l
torre	tʰ ɔ rː ɛ
triple	tʰ r ɪ h p l ɛ
trjárækt	tʰ r j a uː r a i x t
tromsö	tʰ r ɔ m s œː
tryggingafélög	tʰ r ɪ cː i ŋ k a f j ɛː l œː ɣ
tróðu	tʰ r o uː ð ʏ
trúarskoðanir	tʰ r uː a r s k ɔː ð a n ɪ r
tum	tʰ ʏː m
tungumálin	tʰ u ŋ k ʏ m a uː l ɪ n
tvífara	tʰ v iː v aː r a
tvímælis	tʰ v iː m a iː l ɪ s
tyrkneskra	tʰ ɪ r̥ k n ɛ s k r a
tækniskólans	tʰ a i h k n ɪ s k o uː l a n s
tækniskólanum	tʰ a i h k n ɪ s k o uː l a n ʏ m
tældi	tʰ a i l t ɪ
tékknesku	tʰ j ɛ h k n ɛ s k ʏ
tínir	tʰ iː n ɪ r
tíðnin	tʰ i ð n ɪ n
tómum	tʰ o uː m ʏ m
tónleikahaldi	tʰ o u n l e iː k a h a l t ɪ
tónlistardeild	tʰ o u n l ɪ s t a r t e i l t
tónlistarflutning	tʰ o u n l ɪ s t a r f l ʏ h t n i ŋ k
tónlistarfólki	tʰ o u n l ɪ s t a r f o u l̥ c ɪ
tónskóla	tʰ o u n s k o uː l a
töfralæknir	tʰ œ v r a l a i h k n ɪ r
tölustöfum	tʰ œː l ʏ s t œː v ʏ m
tölvukerfum	tʰ œ l v ʏ cʰ ɛ r v ʏ m
tölvunarfræðideild	tʰ œ l v ʏ n a r f r a iː ð ɪ t e i l t
túnin	tʰ uː n ɪ n
týnist	tʰ iː n ɪ s t
týpa	tʰ iː p a
umboðsaðili	ʏ m p ɔ ð s aː ð ɪ l ɪ
umbrella	ʏ m p r ɛ t l a
umdæmisstjóri	ʏ m t a iː m ɪ s s t j o uː r ɪ
umfangsmeiri	ʏ m f a u ŋ k s m e iː r ɪ
umsagna	ʏ m s a k n a
umsókninni	ʏ m s o u h k n ɪ nː ɪ
umsögnin	ʏ m s œ k n ɪ n
undarlegar	ʏ n t a r l ɛː ɣ a r
unglingurinn	u ŋ k l i ŋ k ʏ r ɪ nː
uppfylling	ʏ h p f ɪ t l i ŋ k
uppiskroppa	ʏ h p ɪ s k r ɔ h p a
upplýsingaskilti	ʏ h p l iː s i ŋ k a s c ɪ l̥ t ɪ
upplýsingaveita	ʏ h p l iː s i ŋ k a v e iː t a
upplýsingu	ʏ h p l iː s i ŋ k ʏ
vaktin	v a x t ɪ n
valhallar	v aː l h a t l a r
valka	v a l̥ k a
valle	v a t l ɛ
vandamálunum	v a n t a m a uː l ʏ n ʏ m
vandræðin	v a n t r a iː ð ɪ n
vantrúar	v a n̥ t r uː a r
varaformann	v aː r a f ɔ r m a nː
varfærni	v a r f a i r t n ɪ
varhluta	v a r l̥ ʏː t a
vaxnir	v a k s t n ɪ r
vefútgáfu	v ɛː v u t k a uː v ʏ
veglegan	v ɛ ɣ l ɛː ɣ a n
veitingahúsa	v e iː t i ŋ k a h uː s a
veitingasölu	v e iː t i ŋ k a s œː l ʏ
veki	v ɛː c ɪ
velvilja	v ɛ l v ɪ l j a
vere	v ɛː r ɛ
verkalýðsfélagi	v ɛ r̥ k a l i ð s f j ɛː l aː j ɪ
verkfræðistofa	v ɛ r̥ k f r a iː ð ɪ s t ɔː v a
verklegar	v ɛ r̥ k l ɛː ɣ a r
verkmenntaskóla	v ɛ r̥ k m ɛ n̥ t a s k o uː l a
verknað	v ɛ r̥ k n a ð
verkstjóra	v ɛ r̥ k s t j o uː r a
verona	v ɛː r ɔː n a
verðbréfaviðskipta	v ɛ r ð p r j ɛː v a v ɪ ð s c ɪ f t a
verðlagning	v ɛ r ð l a k n i ŋ k
verðlaunað	v ɛ r ð l ø yː n a ð
veðrinu	v ɛ ð r ɪː n ʏ
veðsetja	v ɛ ð s ɛː t j a
veðurspár	v ɛː ð ʏ r s p a uː r
veðurstöð	v ɛː ð ʏ r s t œː ð
vilhjálmsdóttur	v ɪ l ç a u l m s t o u h t ʏ r
villibráð	v ɪ t l ɪ p r a uː ð
vinalega	v ɪː n a l ɛː ɣ a
vinnustaðir	v ɪ nː ʏ s t aː ð ɪ r
vinnustaður	v ɪ nː ʏ s t aː ð ʏ r
vistar	v ɪ s t a r
vistaður	v ɪ s t aː ð ʏ r
vistin	v ɪ s t ɪ n
vitra	v ɪː t r a
viv	v ɪː v
viviane	v ɪː v ɪ aː n ɛ
viðamikið	v ɪː ð a m ɪː c ɪ ð
viðaukanum	v ɪː ð ø yː k a n ʏ m
viðburðaríkt	v ɪ ð p ʏ r ð a r i x t
viðbótin	v ɪ ð p o uː t ɪ n
viðgang	v ɪ ð k a u ŋ k
viðmiði	v ɪ ð m ɪː ð ɪ
viðræðnanna	v ɪ ð r a i ð n a nː a
viðskiptabankanna	v ɪ ð s c ɪ f t a p a u ŋ̊ kʰ a nː a
viðskiptaráðsins	v ɪ ð s c ɪ f t a r a u ð s ɪ n s
viðskiptavild	v ɪ ð s c ɪ f t a v ɪ l t
viðstaddra	v ɪ ð s t a tː r a
viðstöddu	v ɪ ð s t œ tː ʏ
vorrar	v ɔ rː a r
voðaverk	v ɔː ð a v ɛ r̥ k
víet	v iː j ɛː t
vígið	v iː j ɪ ð
víglundur	v i ɣ l ʏ n t ʏ r
vígðir	v i ɣ ð ɪ r
víkkar	v i h k a r
vísindamanni	v iː s ɪ n t a m a nː ɪ
vítis	v iː t ɪ s
völvan	v œ l v a n
vörunni	v œː r ʏ nː ɪ
wifi	v ɪː v ɪ
wilsons	v ɪ l s ɔ n s
wir	v ɪː r
wittenberg	v ɪ h t ɛ n p ɛ r k
yell	j ɛ t l
yfirfærslu	ɪː v ɪ r f a i r̥ s t l ʏ
yfirlækni	ɪː v ɪ r l a i h k n ɪ
yfirlýsta	ɪː v ɪ r l i s t a
ylfa	ɪ l v a
yori	j ɔː r ɪ
áa	a uː a
áfangastöðum	a uː f a u ŋ k a s t œː ð ʏ m
áhafna	a uː h a p n a
áhalda	a uː h a l t a
áherslumál	a uː h ɛ r̥ s t l ʏ m a uː l
áhlaupi	a uː l̥ ø yː p ɪ
áhrifamátt	a uː r̥ ɪː v a m a u h t
áhugafólk	a uː h ʏː ɣ a f o u l̥ k
áhugaverðra	a uː h ʏː ɣ a v ɛ r ð r a
ákveðni	a uː kʰ v ɛ ð n ɪ
álfi	a u l v ɪ
álframleiðslu	a u l v r a m l e i ð s t l ʏ
áralanga	a uː r a l a u ŋ k a
áreiðanleg	a uː r e iː ð a n l ɛː ɣ
árstíðirnar	a u r̥ s t iː ð ɪ r t n a r
áræðni	a uː r a i ð n ɪ
áróðurs	a uː r o uː ð ʏ r̥ s
ástæðunum	a uː s t a iː ð ʏ n ʏ m
átjánda	a uː t j a u n t a
áætlaðar	a uː a i h t l aː ð a r
áætlunarferðir	a uː a i h t l ʏ n a r f ɛ r ð ɪ r
ævintýralegt	a iː v ɪ n tʰ iː r a l ɛ x t
æviskeið	a iː v ɪ s c e iː ð
æðakölkun	a iː ð a kʰ œ l̥ k ʏ n
íbúðarhúsa	iː p uː ð a r h uː s a
íbúðarhúss	iː p uː ð a r h u sː
ísberg	iː s p ɛ r k
íþróttasal	iː θ r o u h t a s aː l
óbirt	o uː p ɪ r̥ t
óhag	o uː h aː ɣ
óheppileg	o uː h ɛ h p ɪ l ɛː ɣ
óhugnanlegt	o uː h ʏ k n a n l ɛ x t
óháðan	o uː h a uː ð a n
óháðu	o uː h a uː ð ʏ
óljósa	o u l j o uː s a
ólokið	o uː l ɔː c ɪ ð
ólsen	o u l s ɛ n
óláfs	o uː l a u f s
óláni	o uː l a uː n ɪ
ólögmætt	o uː l œ ɣ m a i h t
ónæmiskerfinu	o uː n a iː m ɪ s c ɛ r v ɪː n ʏ
óorði	o uː ɔ r ð ɪ
óskarinn	o u s k a r ɪ nː
óski	o u s c ɪ
óskipta	o uː s c ɪ f t a
óttans	o u h t a n s
ótæmandi	o uː tʰ a iː m a n t ɪ
óumdeild	o uː ʏ m t e i l t
óvenjulegu	o uː v ɛ n j ʏ l ɛː ɣ ʏ
óvæntum	o uː v a i n̥ t ʏ m
óánægð	o uː a uː n a i ɣ ð
óæskilegar	o uː a i s c ɪ l ɛː ɣ a r
óæskilegt	o uː a i s c ɪ l ɛ x t
óæskilegum	o uː a i s c ɪ l ɛː ɣ ʏ m
óðfluga	o u ð f l ʏː ɣ a
óþol	o uː θ ɔː l
óþrjótandi	o uː θ r j o uː t a n t ɪ
öfugu	œː v ʏː ɣ ʏ
öndverðri	œ n t v ɛ r ð r ɪ
örskömmum	œ r̥ s k œ mː ʏ m
örvhentur	œ r v h ɛ n̥ t ʏ r
össuri	œ sː ʏ r ɪ
úrbótum	u r p o uː t ʏ m
úrskurðarvald	u r̥ s k ʏ r ð a r v a l t
úrsúlu	u r̥ s uː l ʏ
útbrotum	uː t p r ɔː t ʏ m
útbyrðis	uː t p ɪ r ð ɪ s
útgerðin	uː t c ɛ r ð ɪ n
útgöngubann	uː t k ø y ŋ k ʏ p a nː
útibúi	uː t ɪ p uː ɪ
útibúum	uː t ɪ p uː ʏ m
útihátíð	uː t ɪ h a uː tʰ iː ð
útsaum	uː t s ø yː m
útsjónarsemi	uː t s j o uː n a r s ɛː m ɪ
úða	uː ð a
ýjað	iː j a ð
þeytt	θ e i h t
þingeyjarsveitar	θ i ŋ c e iː j a r s v e iː t a r
þingheimur	θ i ŋ k h e iː m ʏ r
þinglýst	θ i ŋ k l i s t
þingsköp	θ i ŋ k s k œː p
þjónustunni	θ j o uː n ʏ s t ʏ nː ɪ
þjóðfélögum	θ j o u ð f j ɛː l œː ɣ ʏ m
þjóðlöndum	θ j o u ð l œ n t ʏ m
þolendur	θ ɔː l ɛ n t ʏ r
þorkatli	θ ɔ r̥ k a h t l ɪ
þrautseigju	θ r ø yː t s e iː j ʏ
þrautum	θ r ø yː t ʏ m
þroskahjálpar	θ r ɔ s k a ç a u l̥ p a r
þroskist	θ r ɔ s c ɪ s t
þráhyggja	θ r a uː h ɪ cː a
þróunina	θ r o uː ʏ n ɪː n a
þröskuld	θ r œ s k ʏ l t
þungmálma	θ u ŋ k m a u l m a
þvagsýrugigt	θ v a x s iː r ʏ c ɪ x t
þvegið	θ v e iː j ɪ ð
þverár	θ v ɛː r a uː r
þveröfugt	θ v ɛː r œ f ʏ x t
þvinguð	θ v i ŋ k ʏ ð
þyngdinni	θ i ŋ t ɪ nː ɪ
þátttakan	θ a u h t tʰ aː k a n
þægilegan	θ a iː j ɪ l ɛː ɣ a n
þéna	θ j ɛː n a
þéttara	θ j ɛ h t a r a
adult	aː t ʏ l̥ t
afbrigða	a v p r ɪ ɣ ð a
afleysingum	a v l e iː s i ŋ k ʏ m
aflíðandi	a v l iː ð a n t ɪ
along	aː l o u ŋ k
atvinnusvæði	aː t v ɪ nː ʏ s v a iː ð ɪ
augsburg	ø y x s p ʏ r k
avant	aː v a n̥ t
baksíðu	p aː k s iː ð ʏ
bandalög	p a n t a l œː ɣ
barnalegt	p a r t n a l ɛ x t
bergrún	p ɛ r k r uː n
bikarkeppninnar	p ɪː k a r cʰ ɛ h p n ɪ nː a r
bolt	p ɔ l̥ t
boss	p ɔ sː
ceres	s ɛː r ɛː s
complex	kʰ ɔ m̥ p l ɛ k s
dauft	t ø y f t
djakarta	t j aː kʰ a r̥ t a
dreams	t r ɛː a m s
eddi	ɛ tː ɪ
eftirlætis	ɛ f t ɪ r l a iː t ɪ s
eineggja	e iː n ɛ cː a
einfaldra	e i n f a l t r a
eltum	ɛ l̥ t ʏ m
emmy	ɛ mː ɪ
engidal	e i ɲ c ɪ t aː l
erfi	ɛ r v ɪ
evrópuráðinu	ɛ v r o uː p ʏ r a uː ð ɪ n ʏ
eyvind	e iː v ɪ n t
eyðilagst	e iː ð ɪ l a x s t
fegrun	f ɛ ɣ r ʏ n
feluleik	f ɛː l ʏ l e iː k
ferðasaga	f ɛ r ð a s aː ɣ a
filmuna	f ɪ l m ʏː n a
fljúgi	f l j uː j ɪ
forfeðrum	f ɔ r f ɛ ð r ʏ m
frumlegur	f r ʏ m l ɛː ɣ ʏ r
fríverslun	f r iː v ɛ r̥ s t l ʏ n
frúnni	f r u t n ɪ
fyrirlestrana	f ɪː r ɪ r l ɛ s t r aː n a
færis	f a iː r ɪ s
földum	f œ l t ʏ m
getnað	c ɛ h t n a ð
hamingjusama	h aː m i ɲ c ʏ s aː m a
heilmiklu	h e i l m ɪ h k l ʏ
heimavöll	h e iː m a v œ t l
heimsþekkt	h e i m s θ ɛ x t
hitaveitur	h ɪː t a v e iː t ʏ r
hreppum	r̥ ɛ h p ʏ m
hristu	r̥ ɪ s t ʏ
hruna	r̥ ʏː n a
hugleik	h ʏ ɣ l e iː k
hugrekkis	h ʏ ɣ r ɛ h c ɪ s
háskólunum	h a uː s k o uː l ʏ n ʏ m
háttvirtur	h a u h t v ɪ r̥ t ʏ r
hávetur	h a uː v ɛː t ʏ r
héldist	ç ɛ l t ɪ s t
höfundanna	h œː v ʏ n t a nː a
hörmulegum	h œ r m ʏ l ɛː ɣ ʏ m
ingólfshöfða	i ŋ k o u l v s h œ v ð a
innleiddur	ɪ nː l e i tː ʏ r
iðngreinar	ɪ ð n k r e iː n a r
joint	j ɔ i n̥ t
jonna	j ɔ nː a
kanadíski	kʰ aː n a t i s c ɪ
kanntu	kʰ a n̥ t ʏ
karlamagnúsi	kʰ a r t l a m a k n uː s ɪ
kettirnir	cʰ ɛ h t ɪ r t n ɪ r
kjánalega	cʰ a uː n a l ɛː ɣ a
klassískrar	kʰ l a sː i s k r aː r
krækti	kʰ r a i x t ɪ
kvennalistans	kʰ v ɛ nː a l ɪ s t a n s
kveðjustund	kʰ v ɛ ð j ʏ s t ʏ n t
kynbætur	cʰ ɪ n p a iː t ʏ r
kynhegðun	cʰ ɪː n h ɛ ɣ ð ʏ n
kætir	cʰ a iː t ɪ r
kólumbía	kʰ o uː l ʏ m p iː j a
könnuna	kʰ œ nː ʏ n a
kúrdar	kʰ u r t a r
laglínu	l a ɣ l iː n ʏ
lambastöðum	l a m p a s t œː ð ʏ m
landmælingum	l a n t m a iː l i ŋ k ʏ m
landupplýsingar	l a n t ʏ h p l iː s i ŋ k a r
laugavegurinn	l ø yː ɣ a v ɛː ɣ ʏ r ɪ nː
leiknu	l e i h k n ʏ
leturgerð	l ɛː t ʏ r c ɛ r ð
leyfin	l e iː v ɪ n
leðju	l ɛ ð j ʏ
listaskóla	l ɪ s t a s k o uː l a
listasöfn	l ɪ s t a s œ p n
litarefnum	l ɪː t a r ɛ p n ʏ m
lofthita	l ɔ f t h ɪː t a
loftin	l ɔ f t ɪ n
lugano	l ʏː ɣ a n ɔ
löngumýri	l ø y ŋ k ʏ m iː r ɪ
mannamál	m a nː a m a uː l
mannréttindadómstól	m a nː r j ɛ h t ɪ n t a t o u m s t o uː l
markan	m a r̥ k a n
menntamenn	m ɛ n̥ t a m ɛ nː
mestir	m ɛ s t ɪ r
miklubrautar	m ɪ h k l ʏ p r ø yː t a r
minutes	m ɪː n ʏ tʰ ɛː s
miðflokkinn	m ɪ ð f l ɔ h c ɪ n
miðflokknum	m ɪ ð f l ɔ h k n ʏ m
month	m ɔ n̥ t
myndskreytingum	m ɪ n t s k r e iː t i ŋ k ʏ m
mósaík	m o uː s a iː k
mótfallnir	m o uː t f a t l n ɪ r
múrar	m uː r a r
niðarósi	n ɪː ð a r o uː s ɪ
niðurrifi	n ɪː ð ʏ r r ɪː v ɪ
náttföt	n a u h t f œː t
pad	pʰ aː t
penguin	pʰ e i ŋ k v ɪː n
pirrar	pʰ ɪ rː a r
rammur	r a mː ʏ r
raunum	r ø yː n ʏ m
reveal	r ɛː v ɛ aː l
risotto	r ɪː s ɔ h t ɔ
rithöfundasamband	r ɪː t h œː v ʏ n t a s a m p a n t
ritstjórum	r ɪː t s t j o uː r ʏ m
ræðumanna	r a iː ð ʏ m a nː a
