finns	f ɪ n s
jokrar	²j 'uː k r a r
jätteskoj	²j 'ɛ t ɛ s k ɔ j
kamaxel	k a m 'a k s ɛ l
kami	k a m 'iː
klåfingriga	²k l 'oː f ɪ ŋ r ɪ ɡ a
kondensation	k ɔ n d ɛ n s a ɧ 'uː n
korsfästes	²k 'ɔ ɕ f ɛ s t ɛ s
kroppslängd	²k r 'ɔ p s l ɛ ŋ d
kunskapsmässigt	²k 'ɵ n s k ɑː p s m ɛ s ɪ k t
könsuppdelade	²ɕ 'øː n s ɵ p d eː l a d ɛ
lagbygget	²l 'ɑː ɡ b ʏ ɡ ɛ t
lynchning	²l 'ʏ n ɧ n ɪ ŋ
läskedrycker	²l 'ɛ s k ɛ d r ʏ k ɛ r
majskorn	²m 'a j s k uː n
mandelmanns	²m 'a n d ɛ l m a n s
maskinellt	m a ɧ ɪ n 'ɛ l t
mittens	m ɪ t 'ɛ n s
mobilens	m ʊ b ɪ l 'ɛ n s
monumenten	m ʊ n ɵ m 'ɛ n t ɛ n
myggmedel	²m 'ʏ ɡ m eː d ɛ l
mördandet	²m 'øː d a n d ɛ t
nemi	n ɛ m 'iː
obebott	²'uː b ɛ b ɔ t
obehörigt	²'uː b ɛ h øː r ɪ k t
obrukbart	²'uː b r ʉː k b ɑː t
olösliga	²'uː l øː s l ɪ ɡ a
omdöpt	²'ɔ m d œ p t
omräkning	²'ɔ m r ɛː k n ɪ ŋ
opraktiska	²'uː p r a k t ɪ s k a
otympligt	²'uː t ʏ m p l ɪ k t
outgrundliga	²'uː ʉː t ɡ r ɵ n d l ɪ ɡ a
pansarbrytande	²p 'a n s a r b r yː t a n d ɛ
papperspåsar	²p 'a p ɛ ɕ p oː s a r
patentverket	²p a t 'ɛ n t v a r k ɛ t
persnäs	p a ɕ n 'ɛː s
personregister	²p a ɕ 'uː n r ɛ j ɪ s t ɛ r
pfalz	p f a l s
pointer	p ʊ 'ɪ n t ɛ r
preems	p r ɛ 'ɛ m s
produced	p r ʊ d ɵ s 'eː d
proprietär	p r ʊ p r ɪ ɛ t 'ɛː r
prydnadsföremål	²p r 'yː d n a d s f øː r ɛ m oː l
pustervik	²p 'ɵ s t ɛ r v iː k
påfågeln	²p 'oː f oː ɡ ɛ l n
påskyndas	²p 'oː ɧ ʏ n d a s
regeringsfrågan	²r ɛ j 'eː r ɪ ŋ s f r oː ɡ a n
rufsigt	²r 'ɵ f s ɪ k t
råhet	²r 'oː h eː t
sagovärld	²s 'ɑː ɡ ʊ v ɛː d
sammansvärjningen	²s 'a m a n s v a r j n ɪ ŋ ɛ n
samstämmighet	²s 'a m s t ɛ m ɪ ɡ h eː t
sangen	²s 'a ŋ ɛ n
segersta	²s 'eː ɡ ɛ ɕ t a
semesterveckan	²s ɛ m 'ɛ s t ɛ r v ɛ k a n
sexakten	²s 'ɛ k s a k t ɛ n
sjukskriver	²ɧ 'ʉː k s k r iː v ɛ r
sjötorp	²ɧ 'øː t ɔ r p
skapelseberättelsen	²s k 'ɑː p ɛ l s ɛ b ɛ r ɛ t ɛ l s ɛ n
skivsläpp	²ɧ 'iː v s l ɛ p
skoltidning	²s k 'uː l t iː d n ɪ ŋ
skrea	²s k r 'eː a
skruvdragare	²s k r 'ʉː v d r ɑː ɡ a r ɛ
skuggning	²s k 'ɵ ɡ n ɪ ŋ
smurfar	²s m 'ɵ r f a r
småjobb	²s m 'oː j ɔ b
snobbar	²s n 'ɔ b a r
snötäckt	²s n 'øː t ɛ k t
springan	²s p r 'ɪ ŋ a n
stadshusets	²s t 'a t s h ʉː s ɛ t s
stamgäster	²s t 'a m j ɛ s t ɛ r
stålbalkar	²s t 'oː l b a l k a r
suddade	²s 'ɵ d a d ɛ
suicidal	s ɵ ɪ s ɪ d 'ɑː l
sundén	s ɵ n d 'eː n
svensdotter	²s v 'ɛ n s d ɔ t ɛ r
säkerhetsnivån	²s 'ɛː k ɛ r h eː t s n ɪ v oː n
tematik	t ɛ m a t 'iː k
temptation	t ɛ m p t a ɧ 'uː n
tidsåldrar	²t 'iː d s ɔ l d r a r
tilden	²t 'ɪ l d ɛ n
tillförseln	²t 'ɪ l f œ ɕ ɛ l n
tilläggen	²t 'ɪ l ɛ ɡ ɛ n
tjabba	²ɕ 'a b a
tobi	t ʊ b 'iː
tonande	²t 'uː n a n d ɛ
traditionens	t r a d ɪ ɧ ʊ n 'ɛ n s
trish	t r ɪ ɧ
tuffe	²t 'ɵ f ɛ
tvillingtornen	²t v 'ɪ l ɪ ŋ t uː n ɛ n
tvångsmässiga	²t v 'ɔ ŋ s m ɛ s ɪ ɡ a
tyne	²t 'yː n ɛ
tyngdlöshet	²t 'ʏ ŋ d l øː s h eː t
tävlingshästar	²t 'ɛː v l ɪ ŋ s h ɛ s t a r
uppgångar	²'ɵ p ɡ ɔ ŋ a r
upphopp	²'ɵ p h ɔ p
uppsidan	²'ɵ p s iː d a n
upptäcktsresa	²'ɵ p t ɛ k t s r eː s a
urholkad	²'ʉː r h ɔ l k a d
urladdad	²'ʉː l a d a d
utestående	²'ʉː t ɛ s t oː ɛ n d ɛ
utkomststöd	²'ʉː t k ɔ m s t s t øː d
utlämningsavtal	²'ʉː t l ɛ m n ɪ ŋ s ɑː v t ɑː l
utpekande	²'ʉː t p eː k a n d ɛ
utprovning	²'ʉː t p r uː v n ɪ ŋ
valarbetare	²v 'ɑː l a r b eː t a r ɛ
vattnat	²v 'a t n a t
vinkelslip	²v 'ɪ ŋ k ɛ l s l iː p
vissefjärda	²v 'ɪ s ɛ f j ɛː d a
välbalanserad	²v 'ɛː l b a l a n s eː r a d
välgörenhetsarbete	²v 'ɛː l j øː r ɛ n h eː t s a r b eː t ɛ
västerlånggatan	²v 'ɛ s t ɛ l ɔ ŋ ɡ ɑː t a n
västkustbanan	²v 'ɛ s t k ɵ s t b ɑː n a n
växtnäring	²v 'ɛ k s t n ɛː r ɪ ŋ
våglängden	²v 'oː ɡ l ɛ ŋ d ɛ n
äl	ɛː l
ändringsförslag	²'ɛ n d r ɪ ŋ s f œ ɕ l ɑː ɡ
återser	²'oː t ɛ ɕ eː r
öststater	²'œ s t s t ɑː t ɛ r
akrobatiska	a k r ʊ b 'ɑː t ɪ s k a
alldagligt	²'a l d ɑː ɡ l ɪ k t
allierar	a l ɪ 'eː r a r
amat	a m 'ɑː t
anförtrott	²'a n f œ t r ɔ t
arrested	a r ɛ s t 'eː d
avhysning	²'ɑː v h yː s n ɪ ŋ
avskedandet	²'ɑː v ɧ eː d a n d ɛ t
badtunna	²b 'ɑː d t ɵ n a
bakhuvud	²b 'ɑː k h ʉː v ɵ d
bantningspiller	²b 'a n t n ɪ ŋ s p ɪ l ɛ r
bekante	b ɛ k 'a n t ɛ
bildlärare	²b 'ɪ l d l ɛː r a r ɛ
biroller	b ɪ r 'ɔ l ɛ r
blodsugande	²b l 'uː d s ʉː ɡ a n d ɛ
borrhål	²b 'ɔ r h oː l
bors	b ɔ ɕ
brandenburger	²b r 'a n d ɛ n b ɵ r j ɛ r
bråkdelen	²b r 'oː k d eː l ɛ n
bröndby	²b r 'œ n d b yː
bund	b ɵ n d
clements	k l ɛ m 'ɛ n t s
dansgrupp	²d 'a n s ɡ r ɵ p
datoriserad	d a t ʊ r ɪ s 'eː r a d
diagnostiserades	d ɪ a ɡ n ɔ s t ɪ s 'eː r a d ɛ s
dirigering	d ɪ r ɪ ɧ 'eː r ɪ ŋ
djupvik	²j 'ʉː p v iː k
drömmål	²d r 'œ m oː l
dubben	²d 'ɵ b ɛ n
dysfunktionellt	d ʏ s f ɵ ŋ k ɧ ʊ n 'ɛ l t
eddard	²'ɛ d a d
edited	ɛ d ɪ t 'eː d
ertappats	²'eː t a p a t s
fettvävnad	²f 'ɛ t v ɛː v n a d
flygandes	²f l 'yː ɡ a n d ɛ s
flygpost	²f l 'yː ɡ p ɔ s t
fogelberg	²f 'uː ɡ ɛ l b a r j
fogg	f ɔ ɡ
forskargruppen	²f 'ɔ ɕ k a r ɡ r ɵ p ɛ n
framdrivning	²f r 'a m d r iː v n ɪ ŋ
framkallad	²f r 'a m k a l a d
fräsiga	²f r 'ɛː s ɪ ɡ a
fullkomlighet	²f 'ɵ l k ɔ m l ɪ ɡ h eː t
födelsestad	²f 'øː d ɛ l s ɛ s t ɑː d
förebygg	²f 'øː r ɛ b ʏ ɡ
försjunken	f œ r ɧ 'ɵ ŋ k ɛ n
försonande	f œ ɕ 'uː n a n d ɛ
försummas	f œ ɕ 'ɵ m a s
förtroligt	f œ t r 'uː l ɪ k t
förtrollningen	f œ t r 'ɔ l n ɪ ŋ ɛ n
gillen	²j 'ɪ l ɛ n
glasbruket	²ɡ l 'ɑː s b r ʉː k ɛ t
gråmulen	²ɡ r 'oː m ʉː l ɛ n
gule	²ɡ 'ʉː l ɛ
gästhus	²j 'ɛ s t h ʉː s
hackspetten	²h 'a k s p ɛ t ɛ n
hammock	²h 'a m ɔ k
hastighetsmätaren	²h 'a s t ɪ ɡ h eː t s m ɛː t a r ɛ n
hemlandets	²h 'ɛ m l a n d ɛ t s
hjärnhalva	²j 'ɛː n h a l v a
homs	h ɔ m s
horisonter	h ʊ r ɪ s 'ɔ n t ɛ r
huvudfrågor	²h 'ʉː v ɵ d f r oː ɡ ʊ r
hårborste	²h 'oː r b ɔ ɕ t ɛ
högvakt	²h 'øː ɡ v a k t
idrottshallar	²'iː d r ɔ t s h a l a r
idrottskvinna	²'iː d r ɔ t s k v ɪ n a
infångade	²'ɪ n f ɔ ŋ a d ɛ
innebärande	²'ɪ n ɛ b ɛː r a n d ɛ
internera	ɪ n t ɛ n 'eː r a
invånares	²'ɪ n v oː n a r ɛ s
jamma	²j 'a m a
jollar	²j 'ɔ l a r
jordbruksminister	²j 'uː d b r ʉː k s m ɪ n ɪ s t ɛ r
juholts	²j 'ʉː h ɔ l t s
juligt	²j 'ʉː l ɪ k t
kapitalvinster	²k a p ɪ t 'ɑː l v ɪ n s t ɛ r
kats	k a t s
kinkiga	²ɕ 'ɪ ŋ k ɪ ɡ a
kistorna	²ɕ 'ɪ s t uː n a
klintehamn	²k l 'ɪ n t ɛ h a m n
klubbstuga	²k l 'ɵ b s t ʉː ɡ a
koalitioner	k ʊ a l ɪ ɧ 'uː n ɛ r
konstanter	k ɔ n s t 'a n t ɛ r
koordinat	k ʊ ɔ d ɪ n 'ɑː t
koppartråd	²k 'ɔ p a t r oː d
korsen	²k 'ɔ ɕ ɛ n
korthårig	²k 'ɔ t h oː r ɪ ɡ
krigshjälte	²k r 'ɪ k s j ɛ l t ɛ
kroppsbehåring	²k r 'ɔ p s b ɛ h oː r ɪ ŋ
kroppsspråket	²k r 'ɔ p s p r oː k ɛ t
kullberg	²k 'ɵ l b a r j
kvant	k v a n t
kvällstidningen	²k v 'ɛ l s t iː d n ɪ ŋ ɛ n
kårfullmäktige	²k 'oː r f ɵ l m ɛ k t ɪ ɡ ɛ
liera	l ɪ 'eː r a
liftaren	²l 'ɪ f t a r ɛ n
lilltån	²l 'ɪ l t oː n
lindstrand	²l 'ɪ n d s t r a n d
luktande	²l 'ɵ k t a n d ɛ
luktfri	²l 'ɵ k t f r iː
läkarvetenskapen	²l 'ɛː k a r v eː t ɛ n s k ɑː p ɛ n
läkemedels	²l 'ɛː k ɛ m eː d ɛ l s
läkemedelsföretagen	²l 'ɛː k ɛ m eː d ɛ l s f øː r ɛ t ɑː ɡ ɛ n
marat	m a r 'ɑː t
matkulturen	²m 'ɑː t k ɵ l t ʉː r ɛ n
matterhorn	²m 'a t ɛ r h uː n
medicineras	m ɛ d ɪ s ɪ n 'eː r a s
medivir	m ɛ d ɪ v 'iː r
medlemsblad	²m 'eː d l ɛ m s b l ɑː d
melee	m ɛ l 'eː ɛ
mellanhanden	²m 'ɛ l a n h a n d ɛ n
meri	m ɛ r 'iː
meteorologisk	m ɛ t ɛ ʊ r ʊ l 'oː ɡ ɪ s k
mindfullness	²m 'ɪ n d f ɵ l n ɛ s
minneslund	²m 'ɪ n ɛ s l ɵ n d
måttstocken	²m 'ɔ t s t ɔ k ɛ n
nannskog	²n 'a n s k uː ɡ
nast	n a s t
nattade	²n 'a t a d ɛ
nattarbete	²n 'a t a r b eː t ɛ
neff	n ɛ f
notte	²n 'ɔ t ɛ
olidliga	²'uː l iː d l ɪ ɡ a
omnämnanden	²'ɔ m n ɛ m n a n d ɛ n
omnämnas	²'ɔ m n ɛ m n a s
omslagspapper	²'ɔ m s l ɑː ɡ s p a p ɛ r
ordväxling	²'uː d v ɛ k s l ɪ ŋ
oriktigt	²'uː r ɪ k t ɪ k t
orubbligt	²'uː r ɵ b l ɪ k t
otra	²'uː t r a
papperstidning	²p 'a p ɛ ɕ t iː d n ɪ ŋ
paramilitär	p a r a m ɪ l ɪ t 'ɛː r
perm	p a r m
plågan	²p l 'oː ɡ a n
pojknamn	²p 'ɔ j k n a m n
pokaler	p ʊ k 'ɑː l ɛ r
polisonger	p ʊ l ɪ s 'ɔ ŋ ɛ r
postfack	²p 'ɔ s t f a k
prenumererade	p r ɛ n ɵ m ɛ r 'eː r a d ɛ
prospektet	p r ʊ s p ɛ k t 'eː t
provkörning	²p r 'uː v ɕ øː n ɪ ŋ
provrummet	²p r 'uː v r ɵ m ɛ t
provsmakar	²p r 'uː v s m ɑː k a r
publicistiska	p ɵ b l ɪ s 'ɪ s t ɪ s k a
påfåglar	²p 'oː f oː ɡ l a r
ricks	r ɪ k s
ringade	²r 'ɪ ŋ a d ɛ
ripoff	r ɪ p 'ɔ f
rollin	r ɔ l 'iː n
rosiga	²r 'uː s ɪ ɡ a
rostigt	²r 'ɔ s t ɪ k t
ruinerade	r ɵ ɪ n 'eː r a d ɛ
rörda	²r 'øː d a
samboavtal	²s 'a m b uː ɑː v t ɑː l
sammanslagningar	²s 'a m a n s l ɑː ɡ n ɪ ŋ a r
sanningshalt	²s 'a n ɪ ŋ s h a l t
seanser	s ɛ 'a n s ɛ r
sexualupplysning	²s ɛ k s ɵ 'ɑː l ɵ p l yː s n ɪ ŋ
shoppare	²ɧ 'ɔ p a r ɛ
sicklaön	²s 'ɪ k l a øː n
siffrigt	²s 'ɪ f r ɪ k t
sinnliga	²s 'ɪ n l ɪ ɡ a
sjöstjärnor	²ɧ 'øː ɧ ɛː n ʊ r
skenbara	²ɧ 'eː n b ɑː r a
skolbesök	²s k 'uː l b ɛ s øː k
skolåren	²s k 'uː l oː r ɛ n
skottade	²s k 'ɔ t a d ɛ
skunken	²s k 'ɵ ŋ k ɛ n
slutord	²s l 'ʉː t uː d
snårigt	²s n 'oː r ɪ k t
sopgubbe	²s 'uː p ɡ ɵ b ɛ
soppar	²s 'ɔ p a r
spionerat	s p ɪ ʊ n ɛ r 'ɑː t
sportigare	²s p 'ɔ t ɪ ɡ a r ɛ
stamkund	²s t 'a m k ɵ n d
stekheta	²s t 'eː k h eː t a
stiftets	²s t 'ɪ f t ɛ t s
storfilmer	²s t 'uː r f ɪ l m ɛ r
stormvind	²s t 'ɔ r m v ɪ n d
straffrättsligt	²s t r 'a f r ɛ t s l ɪ k t
styvsyster	²s t 'yː v s ʏ s t ɛ r
ställets	²s t 'ɛ l ɛ t s
stötfångaren	²s t 'øː t f ɔ ŋ a r ɛ n
surfning	²s 'ɵ r f n ɪ ŋ
säkerhetsfråga	²s 'ɛː k ɛ r h eː t s f r oː ɡ a
sällström	²s 'ɛ l s t r œ m
tegelbacken	²t 'eː ɡ ɛ l b a k ɛ n
tillplattad	²t 'ɪ l p l a t a d
tillstand	²t 'ɪ l s t a n d
tjattrande	²ɕ 'a t r a n d ɛ
träsnitt	²t r 'ɛː s n ɪ t
tuggummit	²t 'ɵ ɡ ɵ m ɪ t
tullavgift	²t 'ɵ l ɑː v j ɪ f t
tvåtiden	²t v 'oː t iː d ɛ n
tygbit	²t 'yː ɡ b iː t
törnar	²t 'øː n a r
uppbyggandet	²'ɵ p b ʏ ɡ a n d ɛ t
uppdykande	²'ɵ p d yː k a n d ɛ
uppenbarades	²'ɵ p ɛ n b ɑː r a d ɛ s
uppföljningar	²'ɵ p f œ l j n ɪ ŋ a r
upphovsmannens	²'ɵ p h uː v s m a n ɛ n s
uppsvällda	²'ɵ p s v ɛ l d a
utbildningstiden	²'ʉː t b ɪ l d n ɪ ŋ s t iː d ɛ n
utestängd	²'ʉː t ɛ s t ɛ ŋ d
utfallen	²'ʉː t f a l ɛ n
utförsäkrad	²'ʉː t f œ ɕ ɛː k r a d
utsöndringen	²'ʉː t s œ n d r ɪ ŋ ɛ n
uttömda	²'ʉː t œ m d a
valfångare	²v 'ɑː l f ɔ ŋ a r ɛ
vapenägande	²v 'ɑː p ɛ n ɛː ɡ a n d ɛ
vesta	²v 'ɛ s t a
vigg	v ɪ ɡ
vildväxande	²v 'ɪ l d v ɛ k s a n d ɛ
vissling	²v 'ɪ s l ɪ ŋ
väckta	²v 'ɛ k t a
vägbana	²v 'ɛː ɡ b ɑː n a
vänstervåldet	²v 'ɛ n s t ɛ r v ɔ l d ɛ t
väntelistan	²v 'ɛ n t ɛ l ɪ s t a n
värnlösa	²v 'ɛː n l øː s ɛ r
vårvärmen	²v 'oː r v a r m ɛ n
westlake	²v 'ɛ s t l ɑː k ɛ
whopper	v 'ɔ p ɛ r
wicks	v ɪ k s
äst	ɛ s t
ömmade	²'œ m a d ɛ
österman	²'œ s t ɛ r m a n
överbefolkade	²'øː v ɛ r b ɛ f ɔ l k a d ɛ
övnings	²'øː v n ɪ ŋ s
adal	a d 'ɑː l
adriano	a d r ɪ 'ɑː n ʊ
amiri	a m ɪ r 'iː
antändning	²'a n t ɛ n d n ɪ ŋ
applicerad	a p l ɪ s 'eː r a d
arbetandes	²'a r b eː t a n d ɛ s
arbetsminne	²'a r b eː t s m ɪ n ɛ
asi	a s 'iː
astrolog	a s t r ʊ l 'oː ɡ
avfarter	²'ɑː v f ɑː t ɛ r
avrundning	²'ɑː v r ɵ n d n ɪ ŋ
avskedande	²'ɑː v ɧ eː d a n d ɛ
avskedsbrev	²'ɑː v ɧ eː d s b r eː v
avskogning	²'ɑː v s k uː ɡ n ɪ ŋ
avvecklats	²'ɑː v ɛ k l a t s
barden	²b 'ɑː d ɛ n
bebyggt	b ɛ b 'ʏ ɡ t
bekommer	b ɛ k 'ɔ m ɛ r
betalningsskyldig	²b ɛ t 'ɑː l n ɪ ŋ s ɧ ʏ l d ɪ ɡ
brassa	²b r 'a s a
bredbyn	²b r 'eː d b yː n
brohuvud	²b r 'uː h ʉː v ɵ d
brottstycken	²b r 'ɔ t s t ʏ k ɛ n
bullens	b ɵ l 'ɛ n s
cassino	k a s 'iː n ʊ
caster	k 'a s t ɛ r
chockades	ɧ ɔ k 'ɑː d ɛ s
chum	ɕ ɵ m
civilsamhällesfrågor	²s ɪ v 'iː l s a m h ɛ l ɛ s f r oː ɡ ʊ r
demolition	d ɛ m ʊ l ɪ ɧ 'uː n
dramatisering	d r a m a t ɪ s 'eː r ɪ ŋ
duktigaste	²d 'ɵ k t ɪ ɡ a s t ɛ
dundrade	²d 'ɵ n d r a d ɛ
dvi	d v iː
dödbok	²d 'øː d b uː k
emiliano	ɛ m ɪ l ɪ 'ɑː n ʊ
enfaldigt	²'eː n f a l d ɪ k t
enkelresa	²'ɛ ŋ k ɛ l r eː s a
evolutionens	ɛ v ʊ l ɵ ɧ ʊ n 'ɛ n s
except	ɛ k s 'ɛ p t
extraknäcker	²'ɛ k s t r a k n ɛ k ɛ r
faktabok	²f 'a k t a b uː k
fisknät	²f 'ɪ s k n ɛː t
flackande	²f l 'a k a n d ɛ
flinka	²f l 'ɪ ŋ k a
framryckningen	²f r 'a m r ʏ k n ɪ ŋ ɛ n
fritänkande	²f r 'iː t ɛ ŋ k a n d ɛ
fruktkorg	²f r 'ɵ k t k ɔ r j
fråntagits	²f r 'oː n t ɑː ɡ ɪ t s
föreläggandet	²f 'øː r ɛ l ɛ ɡ a n d ɛ t
förläggs	f œ l 'ɛ ɡ s
förseglas	f œ ɕ 'eː ɡ l ɑː s
förståndiga	f œ ɕ t 'ɔ n d ɪ ɡ a
försättas	f œ ɕ 'ɛ t a s
förverkligandet	f œ r v 'ɛ r k l ɪ ɡ a n d ɛ t
gardenia	ɡ a d 'eː n ɪ a
grundavdrag	²ɡ r 'ɵ n d ɑː v d r ɑː ɡ
gråblå	²ɡ r 'oː b l oː
gulgrön	²ɡ 'ʉː l ɡ r øː n
gån	ɡ oː n
gånga	²ɡ 'ɔ ŋ a
götar	²j 'øː t a r
handläggningstiden	²h 'a n d l ɛ ɡ n ɪ ŋ s t iː d ɛ n
hassen	²h 'a s ɛ n
husnummer	²h 'ʉː s n ɵ m ɛ r
häpnade	²h 'ɛː p n a d ɛ
hårfäste	²h 'oː r f ɛ s t ɛ
hårsäckar	²h 'oː ɕ ɛ k a r
ibb	ɪ b
illasinnade	²'ɪ l a s ɪ n a d ɛ
indikeras	ɪ n d ɪ k 'eː r a s
inflygningen	²'ɪ n f l yː ɡ n ɪ ŋ ɛ n
ingifta	²'ɪ n j ɪ f t a
institutionaliserad	ɪ n s t ɪ t ɵ ɧ ʊ n a l ɪ s 'eː r a d
inställde	²'ɪ n s t ɛ l d ɛ
intygande	²'ɪ n t yː ɡ a n d ɛ
jidder	j 'ɪ d ɛ r
jultomtens	²j 'ʉː l t ɔ m t ɛ n s
järnvägsvagnar	²j 'ɛː n v ɛː ɡ s v a ŋ n a r
jätteintresserad	²j 'ɛ t ɛ ɪ n t r ɛ s eː r a d
kaffebröd	²k 'a f ɛ b r øː d
karnevaler	k a n ɛ v 'ɑː l ɛ r
kleve	²k l 'eː v ɛ
kludd	k l ɵ d
knaprigt	²k n 'ɑː p r ɪ k t
kompenserad	k ɔ m p ɛ n s 'eː r a d
komprimerade	k ɔ m p r ɪ m 'eː r a d ɛ
krigshandling	²k r 'ɪ k s h a n d l ɪ ŋ
krille	²k r 'ɪ l ɛ
kvoterad	k v ʊ t 'eː r a d
köksknivar	²ɕ 'øː k s k n iː v a r
köpebrev	²ɕ 'øː p ɛ b r eː v
lansar	²l 'a n s a r
lateral	l a t ɛ r 'ɑː l
lidberg	²l 'iː d b a r j
ljussättningen	²j 'ʉː s ɛ t n ɪ ŋ ɛ n
luftrören	²l 'ɵ f t r øː r ɛ n
läkarhjälp	²l 'ɛː k a r j ɛ l p
långedrag	²l 'ɔ ŋ ɛ d r ɑː ɡ
majskolv	²m 'a j s k ɔ l v
malle	²m 'a l ɛ
manicker	m a n 'ɪ k ɛ r
manifesto	m a n ɪ f 'ɛ s t ʊ
mariann	m a r ɪ 'a n
marinerad	m a r ɪ n 'eː r a d
marma	²m 'a r m a
matningen	²m 'ɑː t n ɪ ŋ ɛ n
medgörliga	²m 'eː d j øː l ɪ ɡ a
messing	²m 'ɛ s ɪ ŋ
moderkaka	²m 'uː d ɛ r k ɑː k a
molkom	²m 'uː l k ɔ m
motdrag	²m 'uː t d r ɑː ɡ
myndighetsperson	²m 'ʏ n d ɪ ɡ h eː t s p a ɕ uː n
nedsläckt	²n 'eː d s l ɛ k t
neutraliseras	n ɛ ɵ t r a l ɪ s 'eː r a s
novi	n ʊ v 'iː
nödsignal	²n 'øː d s ɪ ŋ n ɑː l
obrutna	²'uː b r ʉː t n a
odugligt	²'uː d ʉː ɡ l ɪ k t
orenhet	²'uː r ɛ n h eː t
otillgänglighet	²'uː t ɪ l j ɛ ŋ l ɪ ɡ h eː t
paps	p a p s
passas	²p 'a s a s
pelikanen	p ɛ l ɪ k 'ɑː n ɛ n
polyper	p ʊ l 'yː p ɛ r
positions	p ʊ s ɪ ɧ 'uː n s
postnumret	²p 'ɔ s t n ɵ m r eː t
publiciteten	p ɵ b l ɪ s ɪ t 'eː t ɛ n
pura	²p 'ʉː r a
rabat	r a b 'ɑː t
radius	r 'ɑː d ɪ ɵ s
rascal	r a s k 'ɑː l
returneras	r ɛ t ɵ n 'eː r a s
rocking	²r 'ɔ k ɪ ŋ
rol	r uː l
ronge	²r 'ɔ ŋ ɛ
rox	r ɔ k s
röjs	r œ j s
sadister	s a d 'ɪ s t ɛ r
safirer	s a f 'iː r ɛ r
salladsbar	²s 'a l a d s b ɑː r
saltzman	²s 'a l t s m a n
sammankallande	²s 'a m a n k a l a n d ɛ
segal	s ɛ ɡ 'ɑː l
sexualisera	s ɛ k s ɵ a l ɪ s 'eː r a
sjuklingar	²ɧ 'ʉː k l ɪ ŋ a r
skivsamling	²ɧ 'iː v s a m l ɪ ŋ
skolundervisning	²s k 'uː l ɵ n d ɛ r v iː s n ɪ ŋ
smittor	²s m 'ɪ t ʊ r
snörvlande	²s n 'œ r v l a n d ɛ
spöklik	²s p 'øː k l iː k
spöklikt	²s p 'øː k l ɪ k t
stability	s t a b ɪ l ɪ t 'yː
stimulerad	s t ɪ m ɵ l 'eː r a d
studieskuld	²s t 'ʉː d j ɛ s k ɵ l d
stämmorna	²s t 'ɛ m uː n a
sunet	s ɵ n 'eː t
susi	s ɵ s 'iː
svartklädd	²s v 'a t k l ɛ d
särskrivningar	²s 'ɛː ɕ k r iː v n ɪ ŋ a r
såras	²s 'oː r a s
tidan	²t 'iː d a n
tillfrisknandet	²t 'ɪ l f r ɪ s k n a n d ɛ t
topper	t 'ɔ p ɛ r
tovar	²t 'uː v a r
trafikstockning	²t r a f 'iː k s t ɔ k n ɪ ŋ
tronarvingen	²t r 'uː n a r v ɪ ŋ ɛ n
trötte	²t r 'œ t ɛ
tvivlande	²t v 'iː v l a n d ɛ
tygeln	²t 'yː ɡ ɛ l n
tävligen	²t 'ɛː v l ɪ ɡ ɛ n
ullström	²'ɵ l s t r œ m
undanröjer	²'ɵ n d a n r œ j ɛ r
underbetyg	²'ɵ n d ɛ r b ɛ t yː ɡ
uppassad	²'ɵ p a s a d
upphävandet	²'ɵ p h ɛː v a n d ɛ t
uppoffringen	²'ɵ p ɔ f r ɪ ŋ ɛ n
upptäcktsresanden	²'ɵ p t ɛ k t s r eː s a n d ɛ n
utanpåliggande	²'ʉː t a n p oː l ɪ ɡ a n d ɛ
uthuset	²'ʉː t h ʉː s ɛ t
utmålade	²'ʉː t m oː l a d ɛ
utposter	²'ʉː t p ɔ s t ɛ r
utskrivning	²'ʉː t s k r iː v n ɪ ŋ
utställt	²'ʉː t s t ɛ l t
uttrycksmedel	²'ʉː t r ʏ k s m eː d ɛ l
vallhund	²v 'a l h ɵ n d
varmvattenberedare	²v 'a r m v a t ɛ n b ɛ r eː d a r ɛ
vattenflöde	²v 'a t ɛ n f l øː d ɛ
vattenångan	²v 'a t ɛ n ɔ ŋ a n
vaxade	²v 'a k s a d ɛ
velande	²v 'eː l a n d ɛ
vilddjuret	²v 'ɪ l d j ʉː r ɛ t
väghållning	²v 'ɛː ɡ h ɔ l n ɪ ŋ
wennström	²v 'ɛ n s t r œ m
äktenskaplig	²'ɛ k t ɛ n s k ɑː p l ɪ ɡ
åp	oː p
återbörda	²'oː t ɛ r b øː d a
ögrupp	²'øː ɡ r ɵ p
östsidan	²'œ s t s iː d a n
överlapp	²'øː v ɛ l a p
övermäktiga	²'øː v ɛ r m ɛ k t ɪ ɡ a
agon	a ɡ 'uː n
amuletter	a m ɵ l 'ɛ t ɛ r
anand	²'a n a n d
anspelade	²'a n s p eː l a d ɛ
anspråket	²'a n s p r oː k ɛ t
arbetstagarens	²'a r b eː t s t ɑː ɡ a r ɛ n s
arters	a t 'ɛ ɕ
avbytarbänken	²'ɑː v b yː t a r b ɛ ŋ k ɛ n
avhöll	²'ɑː v h œ l
avkomlingar	²'ɑː v k ɔ m l ɪ ŋ a r
avrundad	²'ɑː v r ɵ n d a d
babu	b a b 'ʉː
bandat	b a n d 'ɑː t
barilla	b a r 'ɪ l a
basement	b a s ɛ m 'ɛ n t
björks	b j œ r k s
