to	t ɔ
pôdohospodárstvo	p u̯ ɔ d ɔ ɦ ɔ s p ɔ d aː r s t v ɔ
púchovskej	p uː x ɔ v s k e j
púzdro	p uː z d r ɔ
púštna	p uː ʃ t n a
radené	r a ɟ e n eː
rastové	r a s t ɔ v eː
rca	r̩ t͡s a
reagana	r e a ɡ a n a
reakčnej	r e a k t͡ʃ ɲ e j
regiment	r e ɡ i m e n t
regis	r e ɡ i s
rehoľa	r e ɦ ɔ ʎ a
reklamou	r e k l a m ɔ v
rekonštrukčných	r e k ɔ n ʃ t r u k t͡ʃ n iː x
remišová	r e m i ʃ ɔ v aː
reprezentačnom	r e p r e z e n t a t͡ʃ n ɔ m
reprezentované	r e p r e z e n t ɔ v a n eː
repríza	r e p r iː z a
revolúcií	r e v ɔ l uː t͡s i iː
rezbár	r e z b aː r
režírovať	r e ʒ iː r ɔ v a c
riedko	r ɪ̯ e t k ɔ
ritz	r i t͡s
rival	r i v a l
robotmi	r ɔ b ɔ t m i
rokfort	r ɔ k f ɔ r t
romano	r ɔ m a n ɔ
ropnej	r ɔ p ɲ e j
ropný	r ɔ p n iː
rozdeľovať	r ɔ z ɟ e ʎ ɔ v a c
rozjímanie	r ɔ z j iː m a ɲ ɪ̯ e
rozložení	r ɔ z l ɔ ʒ e ɲ iː
rozložený	r ɔ z l ɔ ʒ e n iː
rozoznávame	r ɔ z ɔ z n aː v a m e
rozpočtov	r ɔ s p ɔ t͡ʃ t ɔ v
rozprávkových	r ɔ s p r aː v k ɔ v iː x
rozvedená	r ɔ z v e ɟ e n aː
rozširoval	r ɔ s ʃ i r ɔ v a l
rumunských	r u m u n s k iː x
ruženka	r u ʒ e n k a
rámov	r aː m ɔ v
samicu	s a m i t͡s u
samovražedný	s a m ɔ v r a ʒ e d n iː
sample	s a m p ʎ e
sands	s a n t͡s
sapphire	s a p ɦ i r e
sebecké	s e b e t͡s k eː
seine	s e i ɲ e
sekréciu	s e k r eː t͡s i u
selce	s e l t͡s e
serial	s e r ɪ̯ a l
siahať	s ɪ̯ a ɦ a c
sice	s i t͡s e
signalizuje	s i ɡ n a l i z u j e
silence	s i ʎ e n t͡s e
silk	s i l k
skafandri	s k a f a n d r i
skladoch	s k l a d ɔ x
skladovať	s k l a d ɔ v a c
skočili	s k ɔ t͡ʃ i ʎ i
skutočnostiach	s k u t ɔ t͡ʃ n ɔ s c ɪ̯ a x
skúmame	s k uː m a m e
slezinu	s ʎ e z i n u
slovanským	s l ɔ v a n s k iː m
sly	s l i
slín	s ʎ iː n
smrekové	s m r e k ɔ v eː
snaženie	s n a ʒ e ɲ ɪ̯ e
snehovou	s ɲ e ɦ ɔ v ɔ v
snowy	s n ɔ v i
snúbenec	s n uː b e ɲ e t͡s
sofistikované	s ɔ f i s t i k ɔ v a n eː
soros	s ɔ r ɔ s
soza	s ɔ z a
soška	s ɔ ʃ k a
spark	s p a r k
spectrum	s p e t͡s t r u m
spiritus	s p i r i t u s
splodil	s p l ɔ ɟ i l
spochybnil	s p ɔ x i b ɲ i l
spolupracovalo	s p ɔ l u p r a t͡s ɔ v a l ɔ
spolupracovníka	s p ɔ l u p r a t͡s ɔ v ɲ iː k a
spolupracujúcich	s p ɔ l u p r a t͡s u j uː t͡s i x
spontánna	s p ɔ n t aː nː a
spočívajúci	s p ɔ t͡ʃ iː v a j uː t͡s i
spravodliví	s p r a v ɔ d ʎ i v iː
sprostredkuje	s p r ɔ s t r e t k u j e
sprístupňovanie	s p r iː s t u p ɲ ɔ v a ɲ ɪ̯ e
spáchanie	s p aː x a ɲ ɪ̯ e
stagnácia	s t a ɡ n aː t͡s i a
stagnácie	s t a ɡ n aː t͡s i̯ ɛ
staneš	s t a ɲ e ʃ
stanné	s t a nː eː
starobylý	s t a r ɔ b i l iː
starožitností	s t a r ɔ ʒ i t n ɔ s c iː
staviam	s t a v ɪ̯ a m
steps	s c e p s
stiahlo	s c ɪ̯ a ɦ l ɔ
stihneme	s c i ɦ ɲ e m e
stojíš	s t ɔ j iː ʃ
strategickom	s t r a c e ɡ i t͡s k ɔ m
stredozeme	s t r e d ɔ z e m e
striedavého	s t r ɪ̯ e d a v eː ɦ ɔ
strix	s t r i k s
strojársky	s t r ɔ j aː r s k i
strážov	s t r aː ʒ ɔ v
stuttgarte	s t u d ɡ a r c e
stávkové	s t aː v k ɔ v eː
stíhaní	s c iː ɦ a ɲ iː
stúpal	s t uː p a l
sudoku	s u d ɔ k u
sundance	s u n d a n t͡s e
sure	s u r e
suverénny	s u v e r eː n n i
svetlosť	s v e t l ɔ s c
svetoví	s v e t ɔ v iː
sviatkoch	s v ɪ̯ a t k ɔ x
syntetizovať	s i n c e c i z ɔ v a c
syrové	s i r ɔ v eː
sódy	s ɔː d i
sólistov	s ɔː ʎ i s t ɔ v
súdnictve	s uː d ɲ i t͡s t v e
súhrnná	s uː ɦ r̩ nː aː
súča	s uː t͡ʃ a
súťaženie	s uː c a ʒ e ɲ ɪ̯ e
sľúbené	s ʎ uː b e n eː
tatranskou	t a t r a n s k ɔ v
tenkým	c e n k iː m
tenšie	c e n ʃ ɪ̯ e
thomasovi	d ɔ m a s ɔ v i
tier	c ɪ̯ e r
tisu	c i s u
trajektom	t r a j e k t ɔ m
transakciu	t r a n s a k t͡s i̯ u
travertín	t r a v e r c iː n
trojrozmerný	t r ɔ j r ɔ z m e r n iː
trénovaní	t r eː n ɔ v a ɲ iː
tunajšia	t u n a j ʃ ɪ̯ a
tuneloch	t u ɲ e l ɔ x
turbína	t u r b iː n a
ták	t aː k
tímových	c iː m ɔ v iː x
ucelenú	u t͡s e ʎ e n uː
udelí	u ɟ e ʎ iː
udržateľnosť	u d r̩ ʒ a c e ʎ n ɔ s c
ukrajinskú	u k r a j i n s k uː
ukážkami	u k aː ʃ k a m i
ukážkový	u k aː ʃ k ɔ v iː
ulity	u ʎ i t i
umožňujúcu	u m ɔ ʒ ɲ u j uː t͡s u
umyla	u m i l a
umývačku	u m iː v a t͡ʃ k u
unicode	u ɲ i t͡s ɔ ɟ e
uniformu	u ɲ i f ɔ r m u
upiekla	u p ɪ̯ e k l a
uplatňoval	u p l a t ɲ ɔ v a l
upravenou	u p r a v e n ɔ v
upravte	u p r a v c e
upírom	u p iː r ɔ m
usilovala	u s i l ɔ v a l a
usúdila	u s uː ɟ i l a
uvarené	u v a r e n eː
uzavretou	u z a v r e t ɔ v
uznaných	u z n a n iː x
uľahčili	u ʎ a x t͡ʃ i ʎ i
uľahčilo	u ʎ a x t͡ʃ i l ɔ
užívaj	u ʒ iː v a j
užívané	u ʒ iː v a n eː
varín	v a r iː n
vaš	v a ʃ
vediet	v e ɟ ɪ̯ e t
veliť	v e ʎ i c
veriteľom	v e r i c e ʎ ɔ m
veselšie	v e s e l ʃ ɪ̯ e
veľmajster	v e ʎ m a j s c e r
vhodnosť	v ɦ ɔ d n ɔ s c
videohier	v i ɟ e ɔ ɦ ɪ̯ e r
vikomt	v i k ɔ m t
viktorom	v i k t ɔ r ɔ m
vniesol	v ɲ ɪ̯ e s ɔ l
vniknúť	v ɲ i k n uː c
vodku	v ɔ t k u
vodohospodársky	v ɔ d ɔ ɦ ɔ s p ɔ d aː r s k i
vozom	v ɔ z ɔ m
voňal	v ɔ ɲ a l
vraždili	v r a ʒ ɟ i ʎ i
vreciach	v r e t͡s ɪ̯ a x
vrecúška	v r e t͡s uː ʃ k a
vtáčích	f t aː t͡ʃ iː x
vydržte	v i d r̩ ʃ c e
vyhadzuje	v i ɦ a d͡z u j e
vyhadzujú	v i ɦ a d͡z u j uː
vyhovovali	v i ɦ ɔ v ɔ v a ʎ i
vyhľadala	v i ɦ ʎ a d a l a
vymenovali	v i m e n ɔ v a ʎ i
vymýšľajú	v i m iː ʃ ʎ a j uː
vyobrazením	v i ɔ b r a z e ɲ iː m
vypísanie	v i p iː s a ɲ ɪ̯ e
vyrovnávacej	v i r ɔ v n aː v a t͡s e j
vysadený	v i s a ɟ e n iː
vysokoškolskej	v i s ɔ k ɔ ʃ k ɔ l s k e j
vystavaný	v i s t a v a n iː
vysušiť	v i s u ʃ i c
vysvetľujem	v i s v e t ʎ u j e m
vyzdobený	v i z d ɔ b e n iː
vyznačujúce	v i z n a t͡ʃ u j uː t͡s e
vyžiada	v i ʒ ɪ̯ a d a
vyžiadať	v i ʒ ɪ̯ a d a c
vánku	v aː n k u
výbežok	v iː b e ʒ ɔ k
východoslovenský	v iː x ɔ d ɔ s l ɔ v e n s k iː
výkonnostné	v iː k ɔ nː ɔ s t n eː
výnimočnou	v iː ɲ i m ɔ t͡ʃ n ɔ v
výpadkom	v iː p a t k ɔ m
výplňou	v iː p l̩ ɲ ɔ v
výpočtový	v iː p ɔ t͡ʃ t ɔ v iː
výpravách	v iː p r a v aː x
výročnú	v iː r ɔ t͡ʃ n uː
výročný	v iː r ɔ t͡ʃ n iː
výsadok	v iː s a d ɔ k
walton	v a l t ɔ n
wicked	v i t͡s k e t
wiener	v ɪ̯ e ɲ e r
zabalená	z a b a ʎ e n aː
zabudneme	z a b u d ɲ e m e
zabudnutých	z a b u d n u t iː x
zachovajte	z a x ɔ v a j c e
zachytia	z a x i c ɪ̯ a
zacieliť	z a t͡s ɪ̯ e ʎ i c
zadar	z a d a r
zadržiavať	z a d r̩ ʒ ɪ̯ a v a c
zahrňujú	z a ɦ r̩ ɲ u j uː
zajatec	z a j a c e t͡s
zakrivenia	z a k r i v e ɲ ɪ̯ a
zakryje	z a k r i j e
zamysleli	z a m i s ʎ e ʎ i
zapli	z a p ʎ i
zaregistrované	z a r e ɡ i s t r ɔ v a n eː
zastavanej	z a s t a v a ɲ e j
zastavaného	z a s t a v a n eː ɦ ɔ
zastavením	z a s t a v e ɲ iː m
zatlačte	z a t l a t͡ʃ c e
zavolanie	z a v ɔ l a ɲ ɪ̯ e
zavádzania	z a v aː d͡z a ɲ ɪ̯ a
začiatočníka	z a t͡ʃ ɪ̯ a t ɔ t͡ʃ ɲ iː k a
začínajúcim	z a t͡ʃ iː n a j uː t͡s i m
zbavení	z b a v e ɲ iː
zdatný	z d a t n iː
zdvorilo	z d v ɔ r i l ɔ
zemská	z e m s k aː
zhadzovať	z ɦ a d͡z ɔ v a c
zhluky	z ɦ l u k i
zisťujeme	z i s c u j e m e
zjednodušená	z j e d n ɔ d u ʃ e n aː
značením	z n a t͡ʃ e ɲ iː m
zodpovedajúceho	z ɔ t p ɔ v e d a j uː t͡s e ɦ ɔ
zoran	z ɔ r a n
zosadiť	z ɔ s a ɟ i c
zosobášili	z ɔ s ɔ b aː ʃ i ʎ i
zostupuje	z ɔ s t u p u j e
zostával	z ɔ s t aː v a l
zostávala	z ɔ s t aː v a l a
zraní	z r a ɲ iː
zrútenia	z r uː c e ɲ ɪ̯ a
zur	z u r
zverejnenia	z v e r e j ɲ e ɲ ɪ̯ a
zvádzanie	z v aː d͡z a ɲ ɪ̯ e
záblesku	z aː b ʎ e s k u
záhradnícka	z aː ɦ r a d ɲ iː t͡s k a
zákerná	z aː k e r n aː
zákerný	z aː k e r n iː
zákopoch	z aː k ɔ p ɔ x
zámere	z aː m e r e
zásobe	z aː s ɔ b e
zátarasy	z aː t a r a s i
zátišia	z aː c i ʃ ɪ̯ a
získavame	z iː s k a v a m e
zónami	z ɔː n a m i
ázijského	aː z i j s k eː ɦ ɔ
údere	uː ɟ e r e
úsekmi	uː s e k m i
účesy	uː t͡ʃ e s i
činitele	t͡ʃ i ɲ i c e ʎ e
čistenia	t͡ʃ i s c e ɲ ɪ̯ a
členený	t͡ʃ ʎ e ɲ e n iː
člnu	t͡ʃ l̩ n u
črevných	t͡ʃ r e v n iː x
čsn	t͡ʃ s n̩
čáka	t͡ʃ aː k a
číre	t͡ʃ iː r e
čľr	t͡ʃ ʎ r̩
ďalekých	ɟ a ʎ e k iː x
ľahkosťou	ʎ a x k ɔ s c ɔ v
ľubovoľných	ʎ u b ɔ v ɔ ʎ n iː x
ľupči	ʎ u p t͡ʃ i
šest	ʃ e s t
šetrenie	ʃ e t r e ɲ ɪ̯ e
šiestou	ʃ ɪ̯ e s t ɔ v
škandálov	ʃ k a n d aː l ɔ v
špice	ʃ p i t͡s e
špičiek	ʃ p i t͡ʃ ɪ̯ e k
štafete	ʃ t a f e c e
štastia	ʃ t a s c ɪ̯ a
švajčiari	ʃ v a j t͡ʃ ɪ̯ a r i
žalostne	ʒ a l ɔ s t ɲ e
žalára	ʒ a l aː r a
železobetónové	ʒ e ʎ e z ɔ b e t ɔː n ɔ v eː
ženevskom	ʒ e ɲ e v s k ɔ m
ženú	ʒ e n uː
žilovej	ʒ i l ɔ v e j
adoptovali	a d ɔ p t ɔ v a ʎ i
aerodynamické	a e r ɔ d i n a m i t͡s k eː
ago	a ɡ ɔ
aid	a i t
ain	a i n
akvizície	a k v i z iː t͡s ɪ̯ e
alem	a ʎ e m
alert	a ʎ e r t
aligátor	a ʎ i ɡ aː t ɔ r
alta	a l t a
andres	a n d r e s
angie	a n ɡ ɪ̯ e
angličanom	a n ɡ ʎ i t͡ʃ a n ɔ m
aparátom	a p a r aː t ɔ m
ark	a r k
artérie	a r t eː r i e
asfaltový	a s f a l t ɔ v iː
astronomický	a s t r ɔ n ɔ m i t͡s k iː
atrium	a t r ɪ j ʊ m
automatizovaný	a u t ɔ m a t i z ɔ v a n iː
autorskými	a u t ɔ r s k iː m i
bahne	b a ɦ ɲ e
banditov	b a n ɟ i t ɔ v
batožine	b a t ɔ ʒ i ɲ e
bavím	b a v iː m
bebe	b e b e
behy	b e ɦ i
bek	b e k
belianske	b e ʎ ɪ̯ a n s k e
bello	b e lː ɔ
bezmocní	b e z m ɔ t͡s ɲ iː
bezplatnú	b e s p l a t n uː
bezproblémový	b e s p r ɔ b l eː m ɔ v iː
bieber	b ɪ̯ e b e r
binárny	b i n aː r n i
blast	b l a s t
blatnica	b l a t ɲ i t͡s a
blaženosť	b l a ʒ e n ɔ s c
blížila	b ʎ iː ʒ i l a
bombardovaní	b ɔ m b a r d ɔ v a ɲ iː
bradavice	b r a d a v i t͡s e
bram	b r a m
branch	b r a n x
brigádneho	b r i ɡ aː d ɲ e ɦ ɔ
brzdí	b r̩ z ɟ iː
bts	p t͡s
buckingham	b u t͡s k i n ɡ ɦ a m
buková	b u k ɔ v aː
búrkami	b uː r k a m i
být	b iː t
camden	t͡s a m ɟ e n
cameronová	t͡s a m e r ɔ n ɔ v aː
canadian	t͡s a n a d i̯ a n
celoslovenské	t͡s e l ɔ s l ɔ v e n s k eː
certifikovaná	t͡s e r t i f i k ɔ v a n aː
cestičky	t͡s e s c i t͡ʃ k i
cestopis	t͡s e s t ɔ p i s
chodidla	x ɔ ɟ i d l a
chr	x r̩
chun	x u n
chválim	x v aː ʎ i m
cieľovým	t͡s ɪ̯ e ʎ ɔ v iː m
cis	t͡s i s
clary	t͡s l a r i
csu	t͡s s u
cukrovka	t͡s u k r ɔ v k a
darovacej	d a r ɔ v a t͡s e j
daňami	d a ɲ a m i
dažďovej	d a ʒ ɟ ɔ v e j
defekty	ɟ e f e k t i
delený	ɟ e ʎ e n iː
delphine	ɟ e l f i ɲ e
demokratickým	ɟ e m ɔ k r a c i t͡s k iː m
denníkoch	ɟ e n ɲ iː k ɔ x
deviatu	ɟ e v ɪ̯ a t u
devízové	ɟ e v iː z ɔ v eː
diagnóze	d i a ɡ n ɔː z e
diagnózou	d i a ɡ n ɔː z ɔ v
dlážke	d l aː ʃ k e
dlážku	d l aː ʃ k u
dlžný	d l̩ ʒ n iː
dms	d m̩ s
dnešku	d ɲ e ʃ k u
dny	d n i
dodržiavajú	d ɔ d r̩ ʒ ɪ̯ a v a j uː
dohodne	d ɔ ɦ ɔ d ɲ e
dohovorov	d ɔ ɦ ɔ v ɔ r ɔ v
domorodých	d ɔ m ɔ r ɔ d iː x
dopamínu	d ɔ p a m iː n u
doručená	d ɔ r u t͡ʃ e n aː
dostačujúce	d ɔ s t a t͡ʃ u j uː t͡s e
dostupnými	d ɔ s t u p n iː m i
dove	d ɔ v e
dozerať	d ɔ z e r a c
dozrieva	d ɔ z r ɪ̯ e v a
držaná	d r̩ ʒ a n aː
duelov	d u e l ɔ v
dunbar	d u n b a r
dôverujte	d u̯ ɔ v e r u j c e
dúbravky	d uː b r a v k i
dúhovky	d uː ɦ ɔ v k i
elektromotory	e l e k t r ɔ m ɔ t ɔ r i
emócii	e m ɔː t͡s i i
epidémii	e p i d eː m i i
erekcie	e r e k t͡s ɪ̯ e
erste	e r s c e
etikety	e c i k e t i
etnického	e t ɲ i t͡s k eː ɦ ɔ
euromincí	e u r ɔ m i n t͡s iː
europoslancov	e u r ɔ p ɔ s l a n t͡s ɔ v
excelentnosti	e k s t͡s e ʎ e n t n ɔ s c i
falošnou	f a l ɔ ʃ n ɔ v
faraónov	f a r a ɔː n ɔ v
fascinovaný	f a s t͡s i n ɔ v a n iː
faxom	f a k s ɔ m
fašizmom	f a ʃ i z m ɔ m
ferry	f e rː i
figeľ	f i ɡ e ʎ
figurujú	f i ɡ u r u j uː
figy	f i ɡ i
figúr	f i ɡ uː r
fiktívnej	f i k c iː v ɲ e j
fitka	f i t k a
forms	f ɔ r m s
fotení	f ɔ c e ɲ iː
francúzskemu	f r a n t͡s uː s k e m u
fucking	f u t͡s k i n k
funkcionára	f u n k t͡s i ɔ n aː r a
gets	ɡ e t͡s
gitaristov	ɡ i t a r i s t ɔ v
gramu	ɡ r a m u
grendel	ɡ r e n ɟ e l
grál	ɡ r aː l
guadalupe	ɡ u a d a l u p e
halových	ɦ a l ɔ v iː x
halušky	ɦ a l u ʃ k i
hamiltona	ɦ a m i l t ɔ n a
hanušovce	ɦ a n u ʃ ɔ v t͡s e
hardvérom	ɦ a r d v eː r ɔ m
hathaway	ɦ a d ɦ a v a j
hazz	ɦ a sː
higher	ɦ i ɡ ɦ e r
hlasovala	ɦ l a s ɔ v a l a
hlásila	ɦ l aː s i l a
hnedou	ɦ ɲ e d ɔ v
hobart	ɦ ɔ b a r t
hodonín	ɦ ɔ d ɔ ɲ iː n
honosné	ɦ ɔ n ɔ s n eː
hornádom	ɦ ɔ r n aː d ɔ m
hostiteľov	ɦ ɔ s c i c e ʎ ɔ v
hrabe	ɦ r a b e
hradište	ɦ r a ɟ i ʃ c e
hrozbami	ɦ r ɔ z b a m i
hrozného	ɦ r ɔ z n eː ɦ ɔ
hráš	ɦ r aː ʃ
hygiene	ɦ i ɡ ɪ̯ e ɲ e
hygienu	ɦ i ɡ ɪ̯ e n u
hypo	ɦ i p ɔ
idúceho	i d uː t͡s e ɦ ɔ
incidentom	i n t͡s i d e n t ɔ m
indovia	i n d ɔ v ɪ̯ a
infikovaný	i n f i k ɔ v a n iː
iniciovali	i ɲ i t͡s i ɔ v a ʎ i
integrita	i n t e ɡ r i t a
integrovanou	i n t e ɡ r ɔ v a n ɔ v
interpretované	i n t e r p r e t ɔ v a n eː
intervenciu	i n t e r v e n t͡s i̯ u
inštalovaným	i n ʃ t a l ɔ v a n iː m
isp	i s p
jachty	j a x t i
jamal	j a m a l
jastrabie	j a s t r a b ɪ̯ e
jazierok	j a z ɪ̯ e r ɔ k
jd	j t
jednoznačnú	j e d n ɔ z n a t͡ʃ n uː
jewel	j e v e l
ježišov	j e ʒ i ʃ ɔ v
johana	j ɔ ɦ a n a
kaktusov	k a k t u s ɔ v
kamenica	k a m e ɲ i t͡s a
kamoškami	k a m ɔ ʃ k a m i
karpatské	k a r p a t͡s k eː
kaštieľov	k a ʃ c ɪ̯ e ʎ ɔ v
každoročná	k a ʒ d ɔ r ɔ t͡ʃ n aː
kelu	k e l u
kimono	k i m ɔ n ɔ
kobercom	k ɔ b e r t͡s ɔ m
kompletným	k ɔ m p ʎ e t n iː m
kompozitný	k ɔ m p ɔ z i t n iː
konaných	k ɔ n a n iː x
koncentrovanej	k ɔ n t͡s e n t r ɔ v a ɲ e j
koncovkou	k ɔ n t͡s ɔ v k ɔ v
konkurencieschopnosť	k ɔ n k u r e n t͡s ɪ̯ e s x ɔ p n ɔ s c
kontextoch	k ɔ n t e k s t ɔ x
koníčkom	k ɔ ɲ iː t͡ʃ k ɔ m
končiaci	k ɔ n t͡ʃ ɪ̯ a t͡s i
konštatujem	k ɔ n ʃ t a t u j e m
kopnúť	k ɔ p n uː c
krasové	k r a s ɔ v eː
krbu	k r̩ b u
kristíny	k r i s c iː n i
krka	k r̩ k a
krutým	k r u t iː m
kryštalickej	k r i ʃ t a ʎ i t͡s k e j
krátkosti	k r aː t k ɔ s c i
krčmu	k r̩ t͡ʃ m u
která	k c e r aː
kulturista	k u l t u r i s t a
kvitnúce	k v i t n uː t͡s e
kvitnúcich	k v i t n uː t͡s i x
kvitnúť	k v i t n uː c
kysucká	k i s u t͡s k aː
kyvadlo	k i v a d l ɔ
káblová	k aː b l ɔ v aː
kávičku	k aː v i t͡ʃ k u
lacnejších	l a t͡s ɲ e j ʃ iː x
lacným	l a t͡s n iː m
laik	l a i k
launch	l a u n x
lekárskom	ʎ e k aː r s k ɔ m
lens	ʎ e n s
levočskej	ʎ e v ɔ t͡ʃ s k e j
lexington	ʎ e k s i n k t ɔ n
liezli	ʎ ɪ̯ e z ʎ i
loren	l ɔ r e n
luck	l u t͡s k
lukáčová	l u k aː t͡ʃ ɔ v aː
légii	l eː ɡ i i
lícne	ʎ iː t͡s ɲ e
madony	m a d ɔ n i
magazínov	m a ɡ a z iː n ɔ v
majiteľkou	m a j i c e ʎ k ɔ v
majstrovským	m a j s t r ɔ v s k iː m
manu	m a n u
marianka	m a r ɪ̯ a n k a
marky	m a r k i
marxa	m a r k s a
maskách	m a s k aː x
matrixu	m a t r i k s u
mattom	m a tː ɔ m
mauzóleum	m a u z ɔː l e u m
maximálnych	m a k s i m aː l n i x
mačičku	m a t͡ʃ i t͡ʃ k u
maľovala	m a ʎ ɔ v a l a
maš	m a ʃ
melie	m e ʎ ɪ̯ e
memento	m e m e n t ɔ
menštruačné	m e n ʃ t r u a t͡ʃ n eː
menštruačného	m e n ʃ t r u a t͡ʃ n eː ɦ ɔ
merali	m e r a ʎ i
mes	m e s
metán	m e t aː n
michelin	m i x e ʎ i n
miestenky	m ɪ̯ e s c e n k i
mikrofónom	m i k r ɔ f ɔː n ɔ m
milovaným	m i l ɔ v a n iː m
milujúce	m i l u j uː t͡s e
miniem	m i ɲ ɪ̯ e m
mládenca	m l aː ɟ e n t͡s a
množenie	m n ɔ ʒ e ɲ ɪ̯ e
modlime	m ɔ d ʎ i m e
modlitbami	m ɔ d ʎ i d b a m i
momentálny	m ɔ m e n t aː l n i
montany	m ɔ n t a n i
mosadze	m ɔ s a d͡z e
moslimské	m ɔ s ʎ i m s k eː
motivuje	m ɔ c i v u j e
motogp	m ɔ t ɔ k p
motorkou	m ɔ t ɔ r k ɔ v
mramorové	m r a m ɔ r ɔ v eː
mravnej	m r a v ɲ e j
mun	m u n
mučený	m u t͡ʃ e n iː
májová	m aː j ɔ v aː
mínu	m iː n u
módov	m ɔː d ɔ v
nachádzajúcu	n a x aː d͡z a j uː t͡s u
nadnárodných	n a d n aː r ɔ d n iː x
naftových	n a f t ɔ v iː x
nahraný	n a ɦ r a n iː
najbežnejším	n a j b e ʒ ɲ e j ʃ iː m
najdrahších	n a j d r a x ʃ iː x
najintenzívnejšie	n a j i n c e n z iː v ɲ e j ʃ ɪ̯ e
najmladšou	n a j m l a t͡ʃː ɔ v
najobľúbenejšou	n a j ɔ b ʎ uː b e ɲ e j ʃ ɔ v
nakrúcali	n a k r uː t͡s a ʎ i
naladení	n a l a ɟ e ɲ iː
naladiť	n a l a ɟ i c
namietal	n a m ɪ̯ e t a l
namáhanie	n a m aː ɦ a ɲ ɪ̯ e
napoludnie	n a p ɔ l u d ɲ ɪ̯ e
napreduje	n a p r e d u j e
nastavím	n a s t a v iː m
nastavíme	n a s t a v iː m e
nazvanom	n a z v a n ɔ m
nebraske	ɲ e b r a s k e
nechalo	ɲ e x a l ɔ
nechával	ɲ e x aː v a l
nedostavil	ɲ e d ɔ s t a v i l
nedotkne	ɲ e d ɔ t k ɲ e
neetické	ɲ e e c i t͡s k eː
neisto	ɲ e i s t ɔ
nekončia	ɲ e k ɔ n t͡ʃ ɪ̯ a
nemšovej	ɲ e m ʃ ɔ v e j
nepijem	ɲ e p i j e m
nepohodlných	ɲ e p ɔ ɦ ɔ d l̩ n iː x
nepovolené	ɲ e p ɔ v ɔ ʎ e n eː
neprekonateľný	ɲ e p r e k ɔ n a c e ʎ n iː
nepresadil	ɲ e p r e s a ɟ i l
nepriateľskom	ɲ e p r ɪ̯ a c e ʎ s k ɔ m
neprinieslo	ɲ e p r i ɲ ɪ̯ e s l ɔ
neprítomný	ɲ e p r iː t ɔ m n iː
nesedelo	ɲ e s e ɟ e l ɔ
nesený	ɲ e s e n iː
neskúšajte	ɲ e s k uː ʃ a j c e
nesmelo	ɲ e s m e l ɔ
nesmierny	ɲ e s m ɪ̯ e r n i
nestihnem	ɲ e s c i ɦ ɲ e m
nesúci	ɲ e s uː t͡s i
netere	ɲ e c e r e
netradičný	ɲ e t r a ɟ i t͡ʃ n iː
netýkajú	ɲ e t iː k a j uː
neukáže	ɲ e u k aː ʒ e
neverejné	ɲ e v e r e j n eː
nevyhol	ɲ e v i ɦ ɔ l
nevymyslel	ɲ e v i m i s ʎ e l
nevyzerala	ɲ e v i z e r a l a
nevzdávajte	ɲ e v z d aː v a j c e
nezahŕňajú	ɲ e z a ɦ r̩ː ɲ a j uː
nezažili	ɲ e z a ʒ i ʎ i
neziskovú	ɲ e z i s k ɔ v uː
nezmestí	ɲ e z m e s c iː
nezmyslom	ɲ e z m i s l ɔ m
nečakajú	ɲ e t͡ʃ a k a j uː
nichols	ɲ i x ɔ l s
nominálna	n ɔ m i n aː l n a
norm	n ɔ r m
nosorožca	n ɔ s ɔ r ɔ ʃ t͡s a
nosu	n ɔ s u
nudne	n u d ɲ e
nájazdom	n aː j a z d ɔ m
nájomníci	n aː j ɔ m ɲ iː t͡s i
nákladový	n aː k l a d ɔ v iː
námornú	n aː m ɔ r n uː
náplni	n aː p l̩ ɲ i
násilná	n aː s i l n aː
nílu	ɲ iː l u
obehom	ɔ b e ɦ ɔ m
objavím	ɔ b j a v iː m
objednáte	ɔ b j e d n aː c e
objíma	ɔ b j iː m a
objímka	ɔ b j iː m k a
obliekali	ɔ b ʎ ɪ̯ e k a ʎ i
oblúkové	ɔ b l uː k ɔ v eː
obmedzujúce	ɔ b m e d͡z u j uː t͡s e
obnos	ɔ b n ɔ s
obopína	ɔ b ɔ p iː n a
obri	ɔ b r i
obstarávania	ɔ p s t a r aː v a ɲ ɪ̯ a
obytnou	ɔ b i t n ɔ v
obžalobu	ɔ b ʒ a l ɔ b u
obžalovaní	ɔ b ʒ a l ɔ v a ɲ iː
ochrnutie	ɔ x r̩ n u c ɪ̯ e
odbornosť	ɔ d b ɔ r n ɔ s c
odchov	ɔ t x ɔ v
odlíšené	ɔ d ʎ iː ʃ e n eː
odmlke	ɔ d m l̩ k e
odohrávala	ɔ d ɔ ɦ r aː v a l a
odpis	ɔ t p i s
odviezla	ɔ d v ɪ̯ e z l a
ohlasuje	ɔ ɦ l a s u j e
ohromený	ɔ ɦ r ɔ m e n iː
ohrozil	ɔ ɦ r ɔ z i l
okradnúť	ɔ k r a d n uː c
oliverom	ɔ ʎ i v e r ɔ m
olson	ɔ l s ɔ n
omrvinky	ɔ m r̩ v i n k i
oop	ɔ ɔ p
opakovalo	ɔ p a k ɔ v a l ɔ
opec	ɔ p e t͡s
opusteného	ɔ p u s c e n eː ɦ ɔ
oravice	ɔ r a v i t͡s e
oravských	ɔ r a v s k iː x
orbit	ɔ r b i t
orientovaní	ɔ r ɪ̯ e n t ɔ v a ɲ iː
