אבל	a v a l
בלוגיקה	b l u ɡ i k a
בליני	b a l i n i
במיסוי	b e m i s u j
בנותיהן	b e n u t j a n
בנתיבים	b e n t i v i m
בעיכול	b e i χ u l
ברואנדה	b ʁ o a n d a
בריחים	b ʁ i χ i m
ברכיב	b a ʁ k i v
בתאגידים	b i t a ɡ i d i m
גונח	ɡ o n a χ
גיבונס	ɡ i b o n e s
גרוטסקי	ɡ ʁ u t s k i
גרוניס	ɡ ʁ o n i s
גרישה	ɡ ʁ i ʃ a
דאיתא	d a i t a
דארעא	d a ʁ a
דואני	d o a n i
דילוגים	d i l u ɡ i m
דיסקוס	d i s k o s
דליי	d a l a j
דסי	d a s i
דרקוני	d a ʁ k o n i
האידיאות	h e i d i u t
האימתני	h e i m t a n i
האישון	h e i ʃ o n
האריסטוקרטיה	h e ʁ i s t o k ʁ a t j a
הבזויה	h i v z u j a
הבסת	h i v s e t
הבריאותיות	h i b ʁ i u t j u t
הגבירות	h i ɡ b i ʁ u t
הגיה	h i ɡ j a
הדביקות	h i d b i k u t
הדוקות	h i d u k u t
ההתפלה	h e h i t p e l a
הוך	h o χ
החשיפות	h e χ ʃ i f u t
היומין	h i j u m i n
הירכתיים	h i ʁ k a t a j i m
הלבבית	h i l b e v i t
הלחים	h i l χ i m
הלצה	h i l t͡s a
המביש	h i m b i ʃ
המהמר	h i m a m e ʁ
המזהירה	h i m z a h i ʁ a
המזיקות	h i m z i k u t
המחזק	h i m χ a z e k
המיים	h i m j a m
המסובכים	h i m s o v e χ i m
המצדיקה	h i m t͡s d i k a
המריצה	h i m ʁ i t͡s a
הנביטה	h i n b i t a
הנפל	h i n p e l
הסיגרים	h i s i ɡ ʁ i m
הסיפורי	h i s i p o ʁ i
הספרון	h i s p a ʁ o n
הסקטורים	h i s k t o ʁ i m
העקיצה	e e k i t͡s a
הצדפות	h i t͡s d e f u t
הצלבים	h i t͡s l a v i m
הצלי	h i t͡s l i
הצמות	h i t͡s m u t
הצמידה	h i t͡s m i d a
הצמיח	h i t͡s m i a χ
הצרוף	h i t͡s ʁ u f
הקידומת	h i k i d u m e t
הראם	h a ʁ a m
הרצופות	h i ʁ t͡s o f u t
השזורים	h i ʃ z o ʁ i m
השימושית	h i ʃ i m u ʃ i t
השיעמום	h i ʃ i a m u m
התאורטי	h i t o ʁ t i
התארכות	h i t a ʁ χ u t
התבלטה	h i t b a l t a
התבליט	h i t b a l i t
התוקפת	h i t u k e f e t
התמליל	h i t m a l i l
התנע	h i t n a
התערבותם	h i t a ʁ b u t e m
התרחשותה	h i t ʁ a χ ʃ u t a
ודואר	v a d u a ʁ
והבטחות	v e h i b t a χ u t
והולכי	v e h o l e χ i
והורתה	v e h o ʁ t a
והטיף	v e h a t i f
והעליון	v e e l j o n
וויבר	v i b e ʁ
ויז	v i z
ויישאר	v i ʃ a ʁ
ויתקון	v i t k o n
וכינון	v e χ i n o n
ומורידים	v e m u ʁ i d i m
ומחלקה	v i m χ a l a k a
ומעיינות	v i m a j a n u t
ומעשיהם	v i m a ʃ j a m
ומפריעים	v i m p ʁ i i m
ומרצ	v i m ʁ e t͡s
ומשחקת	v i m ʃ a χ e k e t
ומשכיל	v i m ʃ k i l
ונושמת	v e n o ʃ e m e t
ונעו	v a n a u
ועזריה	v a a z a ʁ j a
ורדיגר	v a ʁ d i ɡ e ʁ
ושטרות	v i ʃ t a ʁ u t
זיכרונותיה	z i k ʁ o n u t j a
זיסר	z i s e ʁ
חבירה	χ a v i ʁ a
חוויאר	χ a v i a ʁ
חומקת	χ o m e k e t
חוקתיים	χ o k t a j i m
חזאל	χ a z a e l
חפשית	χ a f ʃ i t
חקיקתו	χ a k i k t o
חר	χ a ʁ
חשדנית	χ a ʃ d a n i t
טבא	t a v a
טוקו	t o k o
טרוריסטי	t ʁ o ʁ i s t i
טרילוגיה	t ʁ i l u ɡ j a
יוגשו	j o ɡ ʃ u
ייכלל	j i χ l e l
ייעור	j i u ʁ
ירביץ	j a ʁ b i t͡s
יתעלם	j i t a l e m
יתעקש	j i t a k e ʃ
כזוכה	k a z u χ a
כילה	k i l a
כמר	k a m a ʁ
כקדוש	k a k d u ʃ
כרועה	k ʁ u a
כשבין	k a ʃ b i n
כשהופיע	k a ʃ h o f i a
כשמן	k a ʃ m a n
לאפייה	l e e f i j a
לדלי	l a d l i
להבחן	l e h a v χ a n
להודעת	l e h u d a a t
להחייאת	l e h a j a t
להיסטריה	l e h i s t a ʁ j a
להלין	l a h a l i n
להקציב	l e h a k t͡s i v
להתבשם	l e h i t b e ʃ e m
להתלות	l e h i t l u t
להתעמל	l e h i t a m e l
להתערער	l e h i t a ʁ a ʁ
לזמרים	l i z m a ʁ i m
לטרמינל	l i t ʁ a m i n e l
ליוחנן	l i j u χ n a n
ליורשים	l i j u ʁ ʃ i m
ליפטון	l i p t o n
לכספת	l i χ s e f e t
לכפרי	l i χ p a ʁ i
למרחץ	l i m ʁ a χ e t͡s
לסה	l a s a
לציווי	l i t͡s i v i
לרגיעה	l a ʁ ɡ i a
מגפן	m a ɡ f a n
מהדין	m a h a d i n
מוהלים	m o h e l i m
מוילנה	m o j l a n a
מופרדת	m o f ʁ e d e t
מזריק	m i z ʁ i k
מחלבה	m a χ l a v a
מילדיה	m i l a d j a
מילוני	m i l o n i
מימושו	m i m u ʃ u
מיניאטורות	m i n j a t u ʁ u t
מיניאטורי	m i n j a t u ʁ i
מינימליות	m i n i m a l j u t
מכיסאו	m e χ i s a u
מכניסות	m a χ n i s u t
מלאכית	m a l a χ i t
מלגלות	m a l ɡ a l u t
מלהיבים	m a l h i v i m
ממרי	m a m ʁ i
מסג	m a s a ɡ
מעינות	m e i n u t
מעמי	m a a m i
מרביצה	m a ʁ b i t͡s a
מרקיז	m a ʁ k i z
משוחררי	m e ʃ u χ ʁ a ʁ i
משמיץ	m i ʃ m i t͡s
מתאבנים	m i t a b a n i m
מתגרים	m i t ɡ a ʁ i m
מתלמיד	m i t l a m i d
נזיקית	n i z i k i t
נטשתי	n i t ʃ a t i
ניגוב	n i ɡ u v
ניגוח	n i ɡ u a χ
ניש	n i ʃ
נמלך	n i m l a χ
נמרה	n i m ʁ a
נסבול	n i s b u l
נסחט	n i s χ a t
נקברים	n i k b a ʁ i m
סוהו	s o h u
סופ	s o f
סימפטי	s i m p a t i
סירקיס	s i ʁ k i s
סמסונוב	s a m s o n o v
סמסטרים	s a m a s t a ʁ i m
סמפסון	s a m p a s o n
סרדיניה	s a ʁ d i n j a
עטי	a t i
עיבודו	i b u d u
עילגת	i l e ɡ e t
עליונותה	a l j o n u t a
עמיעד	a m i a d
עמרני	a m ʁ a n i
עצמאותן	a t͡s m a u t a n
ףא	p a
פגישותיו	p ɡ i ʃ u t j u
פוזן	p o z a n
פולטי	p o l t i
פחדנית	p a χ d a n i t
פיקוס	p i k o s
פרקין	p a ʁ k i n
פרר	p a ʁ a ʁ
פתיה	p a t j a
צולעת	t͡s o l a a t
צורבים	t͡s o ʁ b i m
ציטטות	t͡s i t a t u t
ציציות	t͡s i t͡s j u t
ציתות	t͡s i t u t
צלבני	t͡s a l b a n i
קובלט	k o v l a t
קנדים	k a n d i m
קצ	k a t͡s
קריאתם	k ʁ i a t e m
קרלוטה	k a ʁ l u t a
קתוליות	k a t u l j u t
רגשני	ʁ a ɡ ʃ a n i
רוויי	ʁ a v a j
רטורי	ʁ a t u ʁ i
ריבקין	ʁ i b k i n
ריפר	ʁ i p e ʁ
רנא	ʁ a n a
רפתות	ʁ a f t u t
שאזל	ʃ e a z e l
שארבעת	ʃ e a ʁ b a a t
שבגינו	ʃ a v ɡ i n u
שבדיקת	ʃ a v d i k e t
שבניה	ʃ a v a n j a
שהמסורת	ʃ e h i m s o ʁ e t
שהרגישה	ʃ a a ʁ ɡ i ʃ a
שהתבצעה	ʃ e h i t b a t͡s a a
שהתגשם	ʃ e h i t ɡ e ʃ e m
שוקדת	ʃ o k e d e t
שחווית	ʃ a χ v i t
שחיכתה	ʃ χ i χ t a
שלגייה	ʃ a l ɡ i j a
שמחמת	ʃ i m χ e m e t
שמסתיר	ʃ i m s t i ʁ
שנבראו	ʃ i n b ʁ a u
שנוטל	ʃ n u t e l
שניזוקו	ʃ n i z o k o
שנפסקו	ʃ i n p a s k o
שקופית	ʃ k o f i t
ששיקר	ʃ ʃ i k e ʁ
שתדלנות	ʃ i t d a l a n u t
תבצעו	t a v t͡s a u
תותב	t o t e v
תזרוק	t i z ʁ u k
תזרע	t i z ʁ a
תחא	t a χ a
תיאולוגיה	t i u l o ɡ j a
תלתא	t a l t a
תנתן	t a n t a n
תשתפר	t i ʃ t a p e ʁ
תתבע	t i t b a
fa	f a
inside	i n s i d e
miss	m i s
pack	p a k
parts	p a r t s
wait	w a i t
אבון	a v o n
אבוקה	a v u k a
אבקנים	a v k a n i m
אגאתה	a ɡ a t a
אגרו	a ɡ ʁ u
אודים	o d i m
אווניו	a v a n j u
אוקטביוס	o k t a v j o s
אורטיז	o ʁ t i z
אורנוס	o ʁ n o s
אזלת	a z a l a t
אטעה	a t a
איחודה	i χ u d a
איטון	i t o n
איף	e f
אכזרים	a χ z a ʁ i m
אלאניס	a l a n i s
אלווירה	a l v i ʁ a
אלמר	a l m a ʁ
אלקיכם	a l k i χ e m
אנין	a n i n
אסבול	a s b u l
אסטריקס	a s t ʁ i k s
אפויים	a f u j i m
אפלטונית	a f l a t o n i t
ארוטיקה	a ʁ u t i k a
אריסים	a ʁ i s i m
ארמגדון	a ʁ m a ɡ d o n
אשכנזיים	a ʃ χ a n z a j i m
באחרונים	b e a χ ʁ o n i m
באלגוריתם	b e e l ɡ o ʁ i t e m
בביקורי	b e v i k o ʁ i
בהדי	b e h a d i
בהיסוס	b e h i s o s
בהעלמת	b e e l e m e t
בהתקיים	b e h i t k a j i m
בחילול	b e χ i l u l
בחל	b a χ a l
בחרדת	b a χ ʁ e d e t
ביומנה	b i j u m a n a
ביוסף	b i j u s e f
בישובי	b i ʃ u v i
בלאד	b a l a d
במיסיסיפי	b e m i s i s i f i
במיצר	b e m i t͡s e ʁ
במיקרופון	b e m i k ʁ o f o n
בנדיקטוס	b e n d i k t o s
בנעליו	b e n a a l j u
בענייניהם	b a a n j a n j a m
ברזומה	b a ʁ z u m a
ברזנט	b a ʁ z a n t
בריאנה	b ʁ i a n a
ברכיהם	b a ʁ a χ j a m
בשיוויון	b e ʃ i v j o n
בשלוה	b i ʃ l u a
בתמיהה	b i t m i h a
גונחת	ɡ o n a χ a t
גלגוליה	ɡ a l ɡ u l j a
גליסון	ɡ l i s o n
גניחות	ɡ n i χ u t
גער	ɡ a a ʁ
גתות	ɡ a t u t
דוניה	d o n j a
דורא	d o ʁ a
דידקטית	d i d e k t i t
דיזי	d i z i
דיכאוני	d i χ a o n i
דיקינסון	d i k i n s o n
דמשיחא	d i m ʃ i χ a
דקורטיבי	d k o ʁ t i v i
דרכתי	d a ʁ a χ t i
האגירה	h e e ɡ i ʁ a
האינרציה	h e i n ʁ a t͡s j a
הבלוף	h i v l u f
הבנקאיים	h i b n e k a j i m
הבערת	h i v a ʁ e t
הגידו	h i ɡ i d u
הגרגירים	h i ɡ ʁ e ɡ i ʁ i m
הגרניט	h i ɡ ʁ a n i t
הגשומה	h i ɡ ʃ u m a
הדפסתי	h i d p e s t i
ההדרה	h e h a d a ʁ a
ההשוואות	h e h i ʃ v a u t
הובנו	h o v a n u
הווינאי	h a v i n a j
הונפקו	h o n p a k o
הושיטה	h o ʃ i t a
הטמאה	h i t m a
הידנית	h i d a n i t
היסוסים	h i s u s i m
הירץ	h i ʁ e t͡s
הכותר	h i χ u t e ʁ
המאוס	h i m o s
המזויינים	h i m z u j a n i m
המחולות	h i m χ u l u t
המחזרים	h i m χ a z a ʁ i m
המחיש	h i m χ i ʃ
הממחיש	h i m m a χ i ʃ
המפריע	h i m p ʁ i a
המקדמות	h i m k a d e m u t
המתחלפות	h i m t a χ l e f u t
הנא	h a n a
הנבטית	h i n b a t i t
הסותר	h i s u t e ʁ
הסטטיסטיקות	h i s t a t i s t i k u t
הסמנים	h i s m a n i m
העגלון	e e ɡ l o n
העיתים	h e i t i m
העכורים	e e χ o ʁ i m
הפגומים	h i f ɡ o m i m
הפינית	h i f i n i t
הפצירה	h i f t͡s i ʁ a
הצוהר	h i t͡s v a ʁ
הצטרפנו	h i t͡s t a ʁ p a n u
הצפי	h i t͡s p i
הקומץ	h i k u m e t͡s
הקושיא	h i k u ʃ i
הרעילים	h i ʁ i l i m
השדרים	h i ʃ d a ʁ i m
השחפים	h i ʃ χ a f i m
השכורה	h i ʃ k o ʁ a
השכירה	h i ʃ k i ʁ a
השמאי	h i ʃ m a j
ובידיו	v e v i d j u
והאימה	v e h i m a
והושם	v e h o ʃ e m
והידועים	v e h i d u i m
והינה	v e h i n a
והסתלק	v e h i s t a l e k
והשמים	v e h i ʃ m i m
והשקפות	v e h i ʃ k a f u t
וורדן	v a ʁ d a n
וחליל	v a χ l i l
וחסידי	v a χ s i d i
ויבינו	v i b i n u
וידאג	v i d a ɡ
וילקוקס	v i l k o k s
ויקינג	v i k i ŋ ɡ
ומזמן	v i m z a m e n
ומכריח	v i m k ʁ i a χ
ונוגה	v e n u ɡ a
ונורית	v e n o ʁ i t
ועקבי	v e a k a v i
ורדף	v a ʁ d e f
ורציף	v a ʁ t͡s i f
ושואפים	v e ʃ u a f i m
זדה	z a d a
זיה	z i j a
זיך	z e χ
זים	z i m
זכ	z a χ
חבשוש	χ a v ʃ u ʃ
חיטוט	χ i t u t
חלאס	χ a l a s
חלקלקה	χ a l a k l a k a
חסרונם	χ a s ʁ o n a m
חקי	χ a k i
חרוטה	χ a ʁ u t a
חריקה	χ a ʁ i k a
חשיפתם	χ a ʃ i f t e m
טוסו	t o s o
טופול	t o f u l
טורא	t o ʁ a
טיה	t i j a
טרדות	t a ʁ d u t
טרופות	t ʁ o f u t
יגרם	j a ɡ ʁ a m
יונדב	j o n d e v
יושי	j o ʃ i
יחטוף	j a χ t u f
יעצבן	j a a t͡s b a n
יצק	j a t͡s a k
יקדיש	j a k d i ʃ
כגבול	k a ɡ v u l
כהר	k a h a ʁ
כונני	k o n a n i
כורם	k o ʁ e m
כחסיד	k a χ s i d
כישוריה	k i ʃ u ʁ j a
כלבם	k a l b a m
כמצע	k a m t͡s a
כצל	k a t͡s a l
כשראש	k a ʃ ʁ a ʃ
לבדיחות	l i v d i χ u t
לבהירות	l i v h i ʁ u t
לבצרה	l i v t͡s a ʁ a
לגדרה	l i ɡ d a ʁ a
לגדרות	l i ɡ d a ʁ u t
לגמד	l i ɡ m e d
לדחותה	l i d χ u t a
להיחלש	l e h i χ l e ʃ
להשתהות	l e h i ʃ t a h u t
להתחמש	l e h i t χ a m e ʃ
לובו	l o v o
לוויקיפדיה	l a v i k i p e d j a
לוחשים	l o χ ʃ i m
לועגת	l o a ɡ e t
לזוועות	l i z v a u t
לזכרונות	l i z k a ʁ o n u t
לזקק	l i z k e k
לחלקיקים	l a χ l a k i k i m
לחצנו	l a χ t͡s a n u
לחרן	l a χ ʁ a n
לטעינה	l i t i n a
ליזר	l i z e ʁ
ליפסטיק	l i p s t i k
לכוונות	l i χ v a n u t
ללחן	l a l χ a n
לערוצים	l e a ʁ u t͡s i m
לצעירה	l i t͡s i ʁ a
לקערה	l i k a ʁ a
לשחקים	l i ʃ χ a k i m
לשטוח	l i ʃ t u a χ
לתאוריה	l i t o ʁ j a
לתגלית	l i t ɡ a l i t
לתנין	l i t n i n
םהל	m a h a l
מההגנה	m e h a ɡ a n a
מההצעה	m e h a t͡s a a
מהחטיבה	m e a χ t i v a
מהנהן	m a a n a n
מוחלשות	m o χ l a ʃ u t
מוטולה	m o t u l a
מונקאטש	m o n k a t e ʃ
מחסר	m a χ s a ʁ
מילדותה	m i l d u t a
מיצינו	m i t͡s i n u
מיקלה	m i k l a
מכיבוש	m e χ i b u ʃ
מלווי	m a l v i
מלעיל	m a l i l
מלקוח	m a l k u a χ
ממזרות	m a m z a ʁ u t
ממטוסי	m a m t u s i
ממטרה	m a m t a ʁ a
ממסילת	m a m s i l e t
ממרים	m a m ʁ i m
מנשות	m a n ʃ u t
מסיימות	m a s j a m u t
מרכזיותה	m a ʁ k a z j u t a
משגיחה	m i ʃ ɡ i χ a
משהיו	m i ʃ h a j u
משקיעי	m i ʃ k i a j
מתפנים	m i t p a n i m
נבאדה	n i v a d a
נהה	n a h a
נחשולים	n a χ ʃ u l i m
נטפלים	n i t p a l i m
ניט	n i t
נכנסתם	n i χ n e s t e m
נמרי	n i m ʁ i
נסללו	n i s l a l u
סגדו	s a ɡ d u
סדרנים	s a d ʁ a n i m
סוביניון	s o v i n j o n
סולידי	s u l i d i
סחטה	s a χ t a
סטואי	s t u i
סימפונית	s i m p o n i t
סירחון	s i ʁ χ o n
סקיפר	s k i p e ʁ
עברך	a v ʁ a χ
עודפות	o d e f u t
עירב	i ʁ e v
עירנית	i ʁ a n i t
עיתונו	i t o n u
עמהן	a m a n
עפרי	a f ʁ i
ערלות	a ʁ l u t
פבר	p a v a ʁ
פוסעת	p o s a a t
פורשי	p o ʁ ʃ i
פילגשים	p i l ɡ e ʃ i m
פיתום	p i t u m
פנימיה	p n i m j a
פרצנו	p a ʁ t͡s a n u
צאנו	t͡s a a n u
צייס	t͡s a j a s
קדמות	k a d a m u t
קהאן	k a h a n
קולוניזציה	k o l o n i z a t͡s j a
קומונות	k o m o n u t
קונוויי	k o n v a j
קטיעה	k t i a
קטרה	k a t a ʁ a
קיאו	k i u
קיב	k i v
קייטנות	k a j a t a n u t
קילוואט	k i l v a t
קפסולת	k a f s u l a t
קרשי	k a ʁ ʃ i
ראביט	ʁ e e v i t
ראשל	ʁ e ʃ e l
רבית	ʁ a v i t
רגר	ʁ a ɡ a ʁ
רוחבית	ʁ o χ a v i t
ריבוד	ʁ i b u d
ריקנים	ʁ i k a n i m
רעלה	ʁ a a l a
רקובות	ʁ a k o v u t
שבמוח	ʃ a v m u a χ
שבעין	ʃ a v i n
שבפניו	ʃ a v p a n j u
שבקנדה	ʃ a v k a n d a
שגרות	ʃ a ɡ ʁ u t
שהאח	ʃ a h a a χ
שהבטן	ʃ a h a v t a n
שהבמאי	ʃ a h a v m a j
שהמזון	ʃ a h a m z o n
שופמן	ʃ o f m a n
שיערוך	ʃ i a ʁ u χ
שישלוט	ʃ i ʃ l u t
שישנים	ʃ i ʃ a n i m
שיתקנו	ʃ i t k a n u
שמוצאת	ʃ m u t͡s a t
שמעוררים	ʃ i m o ʁ a ʁ i m
שניהלתי	ʃ n i h e l t i
שניזוק	ʃ n i z o k
שניתק	ʃ n i t e k
שנקנתה	ʃ i n k e n t a
שנשאלה	ʃ i n ʃ a l a
ששוגר	ʃ e ʃ u ɡ e ʁ
שתוקן	ʃ a t u k a n
תב	t a v
תסדרי	t a s d a ʁ i
תפחית	t a f χ i t
תצהירים	t a t͡s h i ʁ i m
תציעי	t a t͡s i a j
bill	b i l
diamond	d i a m o n d
dt	d e t e
espn	e s p e n
india	i n d i a
ix	i k s
md	m e d
motor	m o t o r
someone	s o m e o n e
wiki	w i k i
zion	z i o n
אדווה	a d v a
אוגי	o ɡ i
אחינועם	a χ i n u a m
אלבין	a l b i n
אלזס	a l z a s
אמאל	a m a l
אנוח	a n u a χ
אנטוליה	a n t u l j a
אנמי	a n a m i
אנציקלופדיות	a n t͡s i k l o p e d j u t
אסטלה	a s t a l a
אפואל	a f u e l
אקסטזה	a k s t a z a
ארמוני	a ʁ m o n i
אשבר	a ʃ b a ʁ
באיזורי	b e i z u ʁ i
בגלאי	b a ɡ l a j
בהבלטה	b e h a v l a t a
בהמת	b e h e m e t
בהתחלות	b e h i t χ a l u t
בחגיגיות	b a χ ɡ i ɡ j u t
בחטיפת	b a χ t i f e t
בחכירה	b a χ k i ʁ a
בטיחותית	b e t i χ u t i t
בירוקרטית	b i ʁ u k a ʁ t i t
בלוחמים	b l u χ m i m
בלימודיהם	b l i m u d j a m
בלשונה	b a l ʃ o n a
בנרטיב	b e n e ʁ t i v
בסלעי	b a s l a i
בעישון	b e i ʃ o n
בפונקציות	b e f o n k a t͡s j u t
בפיצול	b e f i t͡s u l
בצילה	b e t͡s i l a
ברודווי	b ʁ o d v i
בשברי	b i ʃ b a ʁ i
בשברים	b i ʃ b a ʁ i m
בשמנים	b i ʃ m a n i m
גולשות	ɡ o l ʃ u t
גום	ɡ o m
גוסטאב	ɡ o s t a v
גילח	ɡ i l a χ
גריסון	ɡ ʁ i s o n
דברן	d a v ʁ a n
דודינה	d o d i n a
דולאר	d o l a ʁ
דוקרן	d o k ʁ a n
דושאן	d o ʃ a n
דידס	d i d e s
דילר	d i l e ʁ
דכי	d e χ i
דליכא	d l i χ a
דראושה	d a ʁ o ʃ a
דשנה	d i ʃ n a
האדומי	h e e d u m i
האוויריות	h e e v i ʁ j u t
האופטימי	h e o f t i m i
האיכותיים	h e i χ u t a j i m
האינטראקציות	h e i n t ʁ a k t͡s j u t
האלמונית	h e e l m o n i t
האפיה	h e e f j a
הארכיאולוגים	h e a ʁ k i u l o ɡ i m
הבלוגים	h i v l u ɡ i m
הבלות	h i v l u t
הגחון	h i ɡ χ o n
הגתה	h i ɡ t a
הובלנו	h o v l a n u
הומל	h o m e l
הורטי	h o ʁ t i
הזינו	h i z i n u
הזיקוקים	h i z i k o k i m
הטיבטית	h i t i b t i t
הטיטאניק	h i t i t a n i k
היסט	h i s t
היציג	h i t͡s i ɡ
היצרני	h i t͡s ʁ a n i
המהלומה	h i m a l u m a
המחבט	h i m χ a v e t
המחבלת	h i m χ a v e l e t
המכנית	h i m k a n i t
המסתוריות	h i m s t o ʁ j u t
המפגין	h i m p a ɡ i n
הנהן	h i n a n
הניסיוני	h i n i s j o n i
הנמכת	h i n m e χ e t
הנראטיב	h i n ʁ a t i v
הסביבות	h i s b i v u t
הסביל	h i s b i l
הסטירה	h i s t i ʁ a
הסירופ	h i s i ʁ u f
הסתמן	h i s t a m e n
העירוי	h e i ʁ u j
הפיתויים	h i f i t u j i m
הפצרות	h i f t͡s a ʁ u t
הצברים	h i t͡s b a ʁ i m
הצומות	h i t͡s u m u t
הקולטנים	h i k o l t a n i m
הקליל	h i k l i l
הקמעונאי	h i k m o n a j
הקרינו	h i k ʁ i n u
הרחה	h a ʁ χ a
הריו	h a ʁ j u
השטחית	h i ʃ t a χ i t
השילוני	h i ʃ i l o n i
השכיבה	h i ʃ k i v a
השלמתה	h i ʃ l e m t a
השמטות	h i ʃ m a t u t
השעשוע	h i ʃ a ʃ u a
השקרי	h i ʃ k a ʁ i
השראתה	h i ʃ ʁ a t a
השרוכים	h i ʃ ʁ u χ i m
התדהמה	h i t d a h e m a
התועלות	h i t u a l u t
התעוררי	h i t o ʁ a ʁ i
התקינים	h i t k i n i m
ואירוח	v e i ʁ u a χ
ואשכנזים	v a ʃ χ a n z i m
ודים	v a d i m
והבדיקה	v e h a v d i k a
והודעה	v e h o d a a
והורי	v e h o ʁ i
והעין	v e h i n
והצפיפות	v e h i t͡s p i f u t
ווינטר	v i n t e ʁ
וונקה	v a n a k a
וזקנה	v i z k a n a
וזקני	v i z k a n i
וזרות	v i z ʁ u t
וחסרים	v a χ s a ʁ i m
וידיה	v i d j a
ויועצת	v i j u a t͡s e t
וייב	v a j a v
ויעילים	v i i l i m
וישעיהו	v i ʃ a j a h u
ולחטוף	v a l a χ t u f
ומזעזע	v i m z a z a
ומענקים	v i m a n k i m
ומקרא	v i m k a ʁ a
ומרצים	v i m ʁ a t͡s i m
ומתוח	v i m t u a χ
ומתמקדת	v i m t a m k e d e t
וניקי	v e n i k i
וסוכנים	v e s u χ a n i m
ורכילות	v a ʁ k i l u t
ורצינית	v a ʁ t͡s i n i t
ושכנותיה	v i ʃ χ a n u t j a
ושרית	v i ʃ ʁ i t
ותארים	v i t a ʁ i m
זהותן	z a h u t a n
זועמות	z o a m u t
זיקות	z i k u t
זמזם	z i m z e m
חבלן	χ a v l a n
חדק	χ a d a k
חוויתם	χ a v i t e m
חוצת	χ o t͡s e t
חורבותיה	χ o ʁ b u t j a
חזאי	χ a z a j
חילל	χ i l e l
חימה	χ i m a
חיקוק	χ i k o k
חלודים	χ a l u d i m
חנקה	χ a n a k a
חסויה	χ a s u j a
חפור	χ a f u ʁ
חקרנו	χ a k ʁ a n u
חרמוני	χ a ʁ m o n i
טיפחה	t i p χ a
טיקה	t i k a
טפה	t a f a
יגלם	j a ɡ l a m
יוא	j o
יושנת	j o ʃ e n e t
יחזקו	j a χ z a k o
יחשוד	j a χ ʃ u d
יידוי	j i d u j
יישפך	j i ʃ p e χ
ייתקל	j i t k e l
ינהיג	j a n h i ɡ
יצטמצם	j i t͡s t a m t͡s e m
יצעדו	j a t͡s a d u
ישימה	j e ʃ i m a
יתאר	j i t a ʁ
יתחרט	j i t χ a ʁ e t
ךא	χ a
כביום	k a v j u m
כבשנו	k a v ʃ a n u
כורסאות	k o ʁ s a u t
כיבושו	k i b u ʃ u
כיעיל	k i i l
כמדי	k a m a d i
