deus	d ew s
covalentes	k o v ɐ l ẽ t ʃ i s
crayon	k ɾ ɐj õ
critiques	k ɾ i t ʃ i k i s
cruce	k ɾ u s i
crux	k ɾ u k s
crô	k ɾ o
cuiabana	k uj ɐ b ɐ̃ n ɐ
cuidas	k uj d ɐ s
cultivaram	k u w t ʃ i v ɐ ɾ ɐ̃w̃
cuma	k ũ m ɐ
cumpridores	k ũ p ɾ i d o ɾ i s
cumprirmos	k ũ p ɾ i ʁ m u s
cunhadinha	k ũ ɲ ɐ d ʒ ĩ ɲ ɐ
curandeirismo	k u ɾ ɐ̃ d ej ɾ i z m u
cámara	k ɐ m ɐ ɾ ɐ
câm	k ɐ̃w̃
dales	d ɐ l i s
darkest	d ɐ ɹ k e s t ʃ
daruma	d ɐ ɾ ũ m ɐ
darwinista	d ɐ ɹ w ĩ n i s t ɐ
dct	d ʒ k t ʃ
ddu	d ʒ d u
debitar	d e b i t ɐ ɹ
decom	d e k õ
decrescendo	d e k ɾ e s ẽ d u
deed	d e e d ʒ
deeper	d e e p e ɹ
deftones	d e f t õ n i s
demandava	d e m ɐ̃ d ɐ v ɐ
demetria	d e m e t ɾ i ɐ
dende	d ẽ d ʒ i
depleção	d e p l e s ɐ̃w̃
desabe	d e z ɐ b i
descansará	d e s k ɐ̃ s ɐ ɾ ɐ
descuidos	d e s k uj d u s
desentupidor	d e z ẽ t u p i d o ɹ
desenvolverão	d e z ẽ v ow v e ɾ ɐ̃w̃
desinteressados	d e z ĩ t e ɾ e s ɐ d u s
desmanchado	d e z m ɐ̃ ʃ ɐ d u
despedaçando	d e s p e d ɐ s ɐ̃ d u
despertasse	d e s p e ɹ t ɐ s i
desprendem	d e s p ɾ ẽ d ẽj̃
destaquem	d e s t ɐ k ẽj̃
destronado	d e s t ɾ o n ɐ d u
desvaneceu	d e z v ɐ n e s ew
desviamos	d e z v i ɐ̃ m u s
desviará	d e z v i ɐ ɾ ɐ
deterão	d e t e ɾ ɐ̃w̃
devotou	d e v o t ow
dhamma	d ɐ̃ m ɐ
dignidades	d ʒ i ɡ n i d ɐ d ʒ i s
dispersá	d ʒ i s p e ɹ s ɐ
disponibilizava	d ʒ i s p o n i b i l i z ɐ v ɐ
distanciava	d ʒ i s t ɐ̃ s i ɐ v ɐ
dogville	d o ɡ v iw l i
dominei	d o m ĩ n ej
doron	d o ɾ õ
dpo	d ʒ p u
dreamweaver	d ɾ e ɐ̃w̃ e ɐ v e ɹ
díade	d i ɐ d ʒ i
eastwick	e ɐ s t ʃ w i k k
eclodido	e k l o d ʒ i d u
eduquei	e d u k ej
ehehehe	e e e i
elected	e l e k t e d ʒ
eletrizantes	e l e t ɾ i z ɐ̃ t ʃ i s
elian	e l i ɐ̃
elisão	e l i z ɐ̃w̃
embater	ẽ b ɐ t e ɹ
embaçadas	ẽ b ɐ s ɐ d ɐ s
embaúba	ẽ b ɐ u b ɐ
emea	e m e ɐ
emidio	e m i d ʒ i u
empalador	ẽ p ɐ l ɐ d o ɹ
empoli	ẽ p o l i
encostaram	ẽ k o s t ɐ ɾ ɐ̃w̃
encrenqueira	ẽ k ɾ ẽ k ej ɾ ɐ
endereçou	ẽ d e ɾ e s ow
endovascular	ẽ d o v ɐ s k u l ɐ ɹ
enfraqueça	ẽ f ɾ ɐ k e s ɐ
ensinaste	ẽ s ĩ n ɐ s t ʃ i
envenenamentos	ẽ v e n e n ɐ m ẽ t u s
enéias	e n ɛj ɐ s
equi	e k j
erá	e ɾ ɐ
escadinhas	e s k ɐ d ʒ ĩ ɲ ɐ s
escalares	e s k ɐ l ɐ ɾ i s
escolheremos	e s k o ʎ e ɾ ẽ m u s
esconderia	e s k õ d e ɾ i ɐ
escoteiras	e s k o t ej ɾ ɐ s
esculturais	e s k u w t u ɾ ɐj s
esnobes	e z n o b i s
espalhamos	e s p ɐ ʎ ɐ̃ m u s
espetro	e s p e t ɾ u
esplanade	e s p l ɐ n ɐ d ʒ i
esposinha	e s p o z ĩ ɲ ɐ
esquento	e s k ẽ t u
estirada	e s t ʃ i ɾ ɐ d ɐ
estrangeirismos	e s t ɾ ɐ̃ ʒ ej ɾ i z m u s
etiquetados	e t ʃ i k e t ɐ d u s
etnocentrismo	e t ʃ n o s ẽ t ɾ i z m u
etérico	e t ɛ ɾ i k u
eucariontes	ew k ɐ ɾ i õ t ʃ i s
eurozona	ew ɾ o z õ n ɐ
evaporando	e v ɐ p o ɾ ɐ̃ d u
everwood	e v e ɹ w o o d ʒ
evitação	e v i t ɐ s ɐ̃w̃
excecionais	e s s e s i o n ɐj s
excerpts	e s s e ɹ p t ʃ s
expansor	e s p ɐ̃ s o ɹ
expirando	e s p i ɾ ɐ̃ d u
explodidos	e s p l o d ʒ i d u s
extraordinario	e s t ɾ ɐw ʁ d ʒ ĩ n ɐ ɾ i u
fabián	f ɐ b i ɐ n
fadistas	f ɐ d ʒ i s t ɐ s
fallet	f ɐw l e t ʃ
faroe	f ɐ ɾ o i
fdd	f d ʒ d ʒ
feinstein	f e ĩ s t e ĩ
feitiçarias	f ej t ʃ i s ɐ ɾ i ɐ s
felação	f e l ɐ s ɐ̃w̃
feminização	f e m ĩ n i z ɐ s ɐ̃w̃
fenn	f ẽ n
ferrinho	f e ʁ ĩ ɲ u
fiche	f i ʃ i
firestorm	f i ɾ e s t o ʁ m
flavonóides	f l ɐ v o n ɔj d ʒ i s
flirt	f l i ɹ t ʃ
flona	f l õ n ɐ
floquinho	f l o k ĩ ɲ u
flows	f l ow s
fodedor	f o d e d o ɹ
footstats	f o o t ʃ s t ɐ t ʃ s
forjas	f o ʁ ʒ ɐ s
formed	f o ʁ m e d ʒ
fortalecerem	f o ɹ t ɐ l e s e ɾ ẽj̃
fotões	f o t õj̃ s
foundry	f ow n d ɹ i
foça	f o s ɐ
fragância	f ɾ ɐ ɡ ɐ̃ s i ɐ
framingham	f ɾ ɐ m ĩ ɡ ɐ̃w̃
francais	f ɾ ɐ̃ k ɐj s
francimar	f ɾ ɐ̃ s ĩ m ɐ ɹ
franny	f ɾ ɐ̃ n i
fredericks	f ɾ e d e ɾ i k k s
frufru	f ɾ u f ɾ u
fungi	f ũ ʒ i
fy	f i
galerie	ɡ ɐ l e ɾ i
gamado	ɡ ɐ m ɐ d u
ganadaria	ɡ ɐ n ɐ d ɐ ɾ i ɐ
ganzas	ɡ ɐ̃ z ɐ s
gasly	ɡ ɐ s w i
gather	ɡ ɐ t e ɹ
geass	ʒ e ɐ s
geithner	ʒ ej t n e ɹ
gemeas	ʒ e m e ɐ s
genciana	ʒ ẽ s i ɐ̃ n ɐ
germanotta	ʒ e ʁ m ɐ n o t ʃ t ɐ
gianluigi	ʒ i ɐ̃ l uj ʒ i
ginja	ʒ ĩ ʒ ɐ
ginsburg	ʒ ĩ z b u ʁ ɡ
girabola	ʒ i ɾ ɐ b o l ɐ
girei	ʒ i ɾ ej
giroscópios	ʒ i ɾ o s k ɔ p i u s
glicólise	ɡ l i k ɔ l i z i
gopal	ɡ o p ɐw
gopher	ɡ o f e ɹ
gordie	ɡ o ʁ d ʒ i
gordofobia	ɡ o ʁ d o f o b i ɐ
gostarão	ɡ o s t ɐ ɾ ɐ̃w̃
granulados	ɡ ɾ ɐ n u l ɐ d u s
grapefruit	ɡ ɾ ɐ p e f ɾ uj t ʃ
grc	ɡ ɹ k
grelinho	ɡ ɾ e l ĩ ɲ u
groupe	ɡ ɾ ow p i
grudentas	ɡ ɾ u d ẽ t ɐ s
grudentos	ɡ ɾ u d ẽ t u s
guaxindiba	ɡ w ɐ ʃ ĩ d ʒ i b ɐ
habemus	ɐ b e m uj s
halter	ɐw t e ɹ
harrigan	ɐ ʁ i ɡ ɐ̃
hawker	ɐw k e ɹ
haymarket	ɐ i m ɐ ɹ k e t ʃ
hazen	ɐ z ẽ
hearted	e ɐ ɹ t e d ʒ
heda	e d ɐ
helion	e l i õ
henshin	ẽ ʃ ĩ
herc	e ɹ k
herméticas	e ʁ m ɛ t ʃ i k ɐ s
herrero	e ʁ e ɾ u
heterónimos	e t e ɾ ɔ n ĩ m u s
hidromineral	i d ɾ o m ĩ n e ɾ ɐw
hillsboro	iw w z b o ɾ u
hinckley	ĩ k k l e i
hipercolesterolemia	i p e ɹ k o l e s t e ɾ o l e m i ɐ
hipoplasia	i p o p l ɐ z i ɐ
hiroki	i ɾ o k i
hisham	i ʃ ɐ̃w̃
historiográfico	i s t o ɾ i o ɡ ɾ ɐ f i k u
holla	ɔ w l ɐ
housing	ow z ĩ ɡ
hyuuga	j u w ɡ ɐ
iarley	i ɐ ɹ l e i
icebreaker	i s e b ɾ e ɐ k e ɹ
icónico	i k ɔ n i k u
iguale	i ɡ w ɐ l i
imessage	ĩ m e s ɐ ʒ i
impensado	ĩ p ẽ s ɐ d u
impertinência	ĩ p e ɹ t ʃ ĩ n ẽ s i ɐ
imposible	ĩ p o z i b l i
impossibilidades	ĩ p o s i b i l i d ɐ d ʒ i s
impregnados	ĩ p ɾ e ɡ n ɐ d u s
impulsionará	ĩ p u w s i o n ɐ ɾ ɐ
incognita	ĩ k o ɡ n i t ɐ
incriminação	ĩ k ɾ ĩ m ĩ n ɐ s ɐ̃w̃
incrustadas	ĩ k ɾ u s t ɐ d ɐ s
indignações	ĩ d ʒ i ɡ n ɐ s õj̃ s
indumentárias	ĩ d ũ m ẽ t ɐ ɾ i ɐ s
infarte	ĩ f ɐ ɹ t ʃ i
infundido	ĩ f ũ d ʒ i d u
inocular	ĩ n o k u l ɐ ɹ
inoperável	ĩ n o p e ɾ ɐ v ew
intercambista	ĩ t e ɹ k ɐ̃ b i s t ɐ
intermitentemente	ĩ t e ʁ m i t ẽ t e m ẽ t ʃ i
interplanetárias	ĩ t e ɹ p l ɐ n e t ɐ ɾ i ɐ s
interscope	ĩ t e ɹ s k o p i
intrusivo	ĩ t ɾ u z i v u
inversas	ĩ v e ɹ s ɐ s
irony	i ɾ õ i
irracionalmente	i ʁ ɐ s i o n ɐw m ẽ t ʃ i
irradiava	i ʁ ɐ d ʒ i ɐ v ɐ
istvan	i s t ʃ v ɐ̃
itacuruçá	i t ɐ k u ɾ u s ɐ
itzá	i t ʃ z ɐ
içamento	i s ɐ m ẽ t u
jads	ʒ ɐ d ʒ s
jantas	ʒ ɐ̃ t ɐ s
jarrod	ʒ ɐ ʁ o d ʒ
jeet	ʒ e e t ʃ
jisoo	ʒ i z o u
johana	ʒ o ɐ̃ n ɐ
julgarão	ʒ u w ɡ ɐ ɾ ɐ̃w̃
jã	ʒ ɐ̃
kak	k ɐ k
karas	k ɐ ɾ ɐ s
kats	k ɐ t ʃ s
kellner	k ew w n e ɹ
kenta	k ẽ t ɐ
kian	k i ɐ̃
kida	k i d ɐ
kirov	k i ɾ o v
kirstie	k i ɹ s t ʃ i
kiu	k iw
klay	k l ɐ i
konan	k o n ɐ̃
kreutz	k ɾ ew t ʃ s
labão	l ɐ b ɐ̃w̃
laicos	l ɐj k u s
lambeth	l ɐ̃ b e t ʃ
lancar	l ɐ̃ k ɐ ɹ
lanier	l ɐ n i e ɹ
laor	l ɐw ɹ
laparotomia	l ɐ p ɐ ɾ o t o m i ɐ
larval	l ɐ ʁ v ɐw
lecitina	l e s i t ʃ ĩ n ɐ
legalizando	l e ɡ ɐ l i z ɐ̃ d u
legendou	l e ʒ ẽ d ow
leta	l e t ɐ
libertarismo	l i b e ɹ t ɐ ɾ i z m u
libolo	l i b o l u
lindissimo	l ĩ d ʒ i s ĩ m u
linguistica	l ĩ ɡ j s t ʃ i k ɐ
llorona	w l o ɾ õ n ɐ
longue	l õ ɡ i
lorenza	l o ɾ ẽ z ɐ
lucan	l u k ɐ̃
lustra	l u s t ɾ ɐ
maat	m ɐ ɐ t ʃ
macrorregião	m ɐ k ɾ o ʁ e ʒ i ɐ̃w̃
madressilva	m ɐ d ɾ e s iw v ɐ
magicians	m ɐ ʒ i s i ɐ̃ s
maginot	m ɐ ʒ ĩ n o t ʃ
magnano	m ɐ ɡ n ɐ̃ n u
magnon	m ɐ ɡ n õ
maidstone	m ɐj d ʒ s t õ n i
makhmalbaf	m ɐ k m ɐw b ɐ f
maldisposto	m ɐw d ʒ i s p o s t u
maltrate	m ɐw t ɾ ɐ t ʃ i
malú	m ɐ l u
manes	m ɐ̃ n i s
manipuladoras	m ɐ n i p u l ɐ d o ɾ ɐ s
manzotti	m ɐ̃ z o t ʃ t ʃ i
marimbondos	m ɐ ɾ ĩ b õ d u s
marmeleiro	m ɐ ʁ m e l ej ɾ u
marolinha	m ɐ ɾ o l ĩ ɲ ɐ
martos	m ɐ ɹ t u s
mascaram	m ɐ s k ɐ ɾ ɐ̃w̃
mascaramento	m ɐ s k ɐ ɾ ɐ m ẽ t u
matsunaga	m ɐ t ʃ s ũ n ɐ ɡ ɐ
mattheis	m ɐ t ʃ t ej s
maturo	m ɐ t u ɾ u
mayla	m ɐ i l ɐ
mazer	m ɐ z e ɹ
maçantes	m ɐ s ɐ̃ t ʃ i s
mcbeal	m k b e ɐw
mdr	m d ɹ
mechanical	m e ʃ ɐ n i k ɐw
menosprezou	m e n o s p ɾ e z ow
mensura	m ẽ s u ɾ ɐ
merdoso	m e ʁ d o z u
messines	m e s ĩ n i s
metallic	m e t ɐw l i k
metralhar	m e t ɾ ɐ ʎ ɐ ɹ
minibus	m ĩ n i b uj s
mirc	m i ɹ k
mna	m n ɐ
modeladora	m o d e l ɐ d o ɾ ɐ
modulado	m o d u l ɐ d u
modularidade	m o d u l ɐ ɾ i d ɐ d ʒ i
moleskine	m o l e s k ĩ n i
monero	m o n e ɾ u
morcegão	m o ɹ s e ɡ ɐ̃w̃
mose	m o z i
mostraste	m o s t ɾ ɐ s t ʃ i
movimentarem	m o v ĩ m ẽ t ɐ ɾ ẽj̃
msmo	m z m u
muleke	m u l e k i
mycoplasma	m i k o p l ɐ z m ɐ
mía	m i ɐ
múrcia	m u ɹ s i ɐ
nagumo	n ɐ ɡ ũ m u
narigão	n ɐ ɾ i ɡ ɐ̃w̃
nauseante	n ɐw z e ɐ̃ t ʃ i
nca	n k ɐ
neilson	n ej w s õ
neodímio	n e o d i m i u
neris	n e ɾ i j s
neuman	n e ũ m ɐ̃
neverwinter	n e v e ɹ w ĩ t e ɹ
newhouse	n ew ow z i
niceia	n i s ej ɐ
nicklas	n i k k l ɐ s
nicko	n i k k u
nif	n i f
nihil	n i iw
niten	n i t ẽ
nitti	n i t ʃ t ʃ i
noivou	n oj v ow
northampton	n o ɹ t ɐ̃ p t õ
núria	n u ɾ i ɐ
objectivamente	o b ʒ e k t ʃ i v ɐ m ẽ t ʃ i
odiadas	o d ʒ i ɐ d ɐ s
oieee	oj e e i
omura	o m u ɾ ɐ
ordená	o ʁ d e n ɐ
ortopédicas	o ɹ t o p ɛ d ʒ i k ɐ s
osa	ɔ z ɐ
otoniel	o t o n i ɛw
otp	o t ʃ p
outa	ow t ɐ
paiçandu	p ɐj s ɐ̃ d u
pakhtunkhwa	p ɐ k t ũ k w ɐ
paladin	p ɐ l ɐ d ʒ ĩ
palpebral	p ɐw p e b ɾ ɐw
palumbo	p ɐ l ũ b u
paniagua	p ɐ n i ɐ ɡ w ɐ
paramétrica	p ɐ ɾ ɐ m ɛ t ɾ i k ɐ
paranormalidade	p ɐ ɾ ɐ n o ʁ m ɐ l i d ɐ d ʒ i
partirei	p ɐ ɹ t ʃ i ɾ ej
partícipe	p ɐ ɹ t ʃ i s i p i
patris	p ɐ t ɾ i j s
paws	p ɐw s
pbx	p b k s
pdd	p d ʒ d ʒ
pecan	p e k ɐ̃
pedalinhos	p e d ɐ l ĩ ɲ u s
pegariam	p e ɡ ɐ ɾ i ɐ̃w̃
pendão	p ẽ d ɐ̃w̃
penguins	p ẽ ɡ ĩ s
perdao	p e ʁ d ɐw
perguntes	p e ʁ ɡ ũ t ʃ i s
perse	p e ɹ s i
persuasivos	p e ɹ s u ɐ z i v u s
petal	p e t ɐw
petéquias	p e t ɛ k j ɐ s
pfv	p f v
pillay	p iw l ɐ i
pilosa	p i l ɔ z ɐ
pima	p ĩ m ɐ
pingou	p ĩ ɡ ow
piorada	p i o ɾ ɐ d ɐ
pirilampos	p i ɾ i l ɐ̃ p u s
piscadinha	p i s k ɐ d ʒ ĩ ɲ ɐ
pks	p k s
plasmáticos	p l ɐ z m ɐ t ʃ i k u s
pneumáticas	p n e ũ m ɐ t ʃ i k ɐ s
pnp	p n p
pobrezinhos	p o b ɾ e z ĩ ɲ u s
poliméricos	p o l ĩ m ɛ ɾ i k u s
portelinha	p o ɹ t e l ĩ ɲ ɐ
possum	p o s ũ
prae	p ɾ ɐj
praieira	p ɾ ɐj ej ɾ ɐ
prelazia	p ɾ e l ɐ z i ɐ
prestas	p ɾ e s t ɐ s
previlégio	p ɾ e v i l ɛ ʒ i u
primes	p ɾ ĩ m i s
principiou	p ɾ ĩ s i p i ow
privé	p ɾ i v ɛ
prl	p ɹ w
profissionalizado	p ɾ o f i s i o n ɐ l i z ɐ d u
prosciutto	p ɾ o s iw t ʃ t u
prosseguirmos	p ɾ o s e ɡ j ʁ m u s
protease	p ɾ o t e ɐ z i
puxará	p u ʃ ɐ ɾ ɐ
pyke	p i k i
quao	k w ɐw
quaraí	k w ɐ ɾ ɐ i
quilty	k j w t ʃ i
rado	ʁ ɐ d u
ramy	ʁ ɐ̃ i
raposos	ʁ ɐ p o z u s
rasengan	ʁ ɐ z ẽ ɡ ɐ̃
ratna	ʁ ɐ t ʃ n ɐ
recolho	ʁ e k o ʎ u
recompensam	ʁ e k õ p ẽ s ɐ̃w̃
redirecionados	ʁ e d ʒ i ɾ e s i o n ɐ d u s
redutase	ʁ e d u t ɐ z i
redux	ʁ e d u k s
regato	ʁ e ɡ ɐ t u
regozijando	ʁ e ɡ o z i ʒ ɐ̃ d u
regressem	ʁ e ɡ ɾ e s ẽj̃
regulations	ʁ e ɡ u l ɐ t ʃ i õ s
reisado	ʁ ej z ɐ d u
remodelou	ʁ e m o d e l ow
renascidos	ʁ e n ɐ s i d u s
renascimentos	ʁ e n ɐ s ĩ m ẽ t u s
renhido	ʁ e ɲ i d u
replicas	ʁ e p l i k ɐ s
repositor	ʁ e p o z i t o ɹ
rerum	ʁ e ɾ ũ
reso	ʁ e z u
restricted	ʁ e s t ɾ i k t e d ʒ
reverenciam	ʁ e v e ɾ ẽ s i ɐ̃w̃
revivo	ʁ e v i v u
riquinha	ʁ i k ĩ ɲ ɐ
riven	ʁ i v ẽ
rocking	ʁ o k k ĩ ɡ
rosey	ʁ o z e i
rotacionar	ʁ o t ɐ s i o n ɐ ɹ
saban	s ɐ b ɐ̃
sacadura	s ɐ k ɐ d u ɾ ɐ
sacré	s ɐ k ɾ ɛ
saldão	s ɐw d ɐ̃w̃
salivando	s ɐ l i v ɐ̃ d u
salo	s ɐ l u
saltério	s ɐw t ɛ ɾ i u
salvaguardados	s ɐw v ɐ ɡ w ɐ ʁ d ɐ d u s
salviano	s ɐw v i ɐ̃ n u
sambou	s ɐ̃ b ow
sandusky	s ɐ̃ d u s k i
sangrado	s ɐ̃ ɡ ɾ ɐ d u
sarará	s ɐ ɾ ɐ ɾ ɐ
satisfará	s ɐ t ʃ i s f ɐ ɾ ɐ
saíde	s ɐ i d ʒ i
scam	s k ɐ̃w̃
schroder	s ʃ ɾ o d e ɹ
schön	s ʃ õ
scocco	s k o k k u
scriptura	s k ɾ i p t u ɾ ɐ
secretar	s e k ɾ e t ɐ ɹ
sedans	s e d ɐ̃ s
seigokan	s ej ɡ o k ɐ̃
seletores	s e l e t o ɾ i s
semob	s e m o b
sensitivas	s ẽ s i t ʃ i v ɐ s
sepang	s e p ɐ̃ ɡ
sepe	s e p i
sequenciar	s e k ẽ s i ɐ ɹ
sev	s e v
sfs	s f s
shakers	ʃ ɐ k e ɹ s
shoop	ʃ o o p
shuster	ʃ u s t e ɹ
siliconada	s i l i k o n ɐ d ɐ
simbologias	s ĩ b o l o ʒ i ɐ s
sinalize	s ĩ n ɐ l i z i
sinner	s ĩ n e ɹ
sirigueijo	s i ɾ i ɡ ej ʒ u
sirio	s i ɾ i u
sisos	s i z u s
skirt	s k i ɹ t ʃ
snowboarding	s n ow b o ɐ ʁ d ʒ ĩ ɡ
sokolov	s o k o l o v
solicitadores	s o l i s i t ɐ d o ɾ i s
spinoff	s p ĩ n o f f
stace	s t ɐ s i
stallion	s t ɐw l i õ
stiff	s t ʃ i f f
stn	s t ʃ n
straub	s t ɾ ɐw b
subjectivo	s u b ʒ e k t ʃ i v u
submergiu	s u b m e ʁ ʒ iw
subprefeito	s u b p ɾ e f ej t u
sucederia	s u s e d e ɾ i ɐ
sug	s u ɡ
sugestao	s u ʒ e s t ɐw
superb	s u p e ʁ b
suprarrenal	s u p ɾ ɐ ʁ e n ɐw
surgi	s u ʁ ʒ i
svend	s v ẽ d ʒ
swindon	s w ĩ d õ
swords	s w o ʁ d ʒ s
tabeliães	t ɐ b e l i ɐ̃j̃ s
tablier	t ɐ b l i e ɹ
tachinhas	t ɐ ʃ ĩ ɲ ɐ s
talassemia	t ɐ l ɐ s e m i ɐ
tapei	t ɐ p ej
taquarituba	t ɐ k w ɐ ɾ i t u b ɐ
tare	t ɐ ɾ i
tatar	t ɐ t ɐ ɹ
tatyana	t ɐ t ʃ j ɐ̃ n ɐ
taur	t ɐw ɹ
teixeirinha	t ej ʃ ej ɾ ĩ ɲ ɐ
telecomando	t e l e k o m ɐ̃ d u
temporomandibular	t ẽ p o ɾ o m ɐ̃ d ʒ i b u l ɐ ɹ
teodato	t e o d ɐ t u
termoplástico	t e ʁ m o p l ɐ s t ʃ i k u
thayná	t ɐ i n ɐ
tiroxina	t ʃ i ɾ o k s ĩ n ɐ
titubear	t ʃ i t u b e ɐ ɹ
tomy	t õ i
topshop	t o p ʃ o p
torreira	t o ʁ ej ɾ ɐ
torrinha	t o ʁ ĩ ɲ ɐ
tostadas	t o s t ɐ d ɐ s
townsville	t ow n z v iw l i
tozer	t o z e ɹ
traduzirem	t ɾ ɐ d u z i ɾ ẽj̃
tramo	t ɾ ɐ̃ m u
transfronteiriços	t ɾ ɐ̃ s f ɾ õ t ej ɾ i s u s
transladado	t ɾ ɐ̃ s l ɐ d ɐ d u
trasgo	t ɾ ɐ z ɡ u
trasladação	t ɾ ɐ s l ɐ d ɐ s ɐ̃w̃
trespassado	t ɾ e s p ɐ s ɐ d u
tricíclicos	t ɾ i s i k l i k u s
trondheim	t ɾ õ d e ĩ
troponina	t ɾ o p o n ĩ n ɐ
tubino	t u b ĩ n u
tuscaloosa	t u s k ɐ l o ɔ z ɐ
twee	t ʃ w e i
térreas	t ɛ ʁ e ɐ s
tétis	t ɛ t ʃ i s
ufrpe	u f ɹ p i
uhr	u ɹ
unic	ũ n i k
unifap	ũ n i f ɐ p
unifei	ũ n i f ej
uninove	ũ n ĩ n o v i
utad	u t ɐ d ʒ
vagavam	v ɐ ɡ ɐ v ɐ̃w̃
valfenda	v ɐw f ẽ d ɐ
vanderley	v ɐ̃ d e ɹ l e i
vario	v ɐ ɾ i u
varney	v ɐ ʁ n e i
varrem	v ɐ ʁ ẽj̃
venosas	v e n ɔ z ɐ s
verificasse	v e ɾ i f i k ɐ s i
vey	v e i
viaquatro	v i ɐ k w ɐ t ɾ u
vibrei	v i b ɾ ej
victoire	v i k t oj ɾ i
victorio	v i k t o ɾ i u
videochamada	v i d e o ʃ ɐ m ɐ d ɐ
viewers	v i ew e ɹ s
viktoria	v i k t o ɾ i ɐ
vincos	v ĩ k u s
vinguei	v ĩ ɡ ej
vinício	v ĩ n i s i u
viscosos	v i s k o z u s
visitarmos	v i z i t ɐ ʁ m u s
visualizem	v i z u ɐ l i z ẽj̃
vitrúvio	v i t ɾ u v i u
vocacionados	v o k ɐ s i o n ɐ d u s
vocaloid	v o k ɐ l oj d ʒ
voltímetro	v ow t ʃ i m e t ɾ u
vêzes	v e z i s
vórtex	v ɔ ɹ t e k s
watari	w ɐ t ɐ ɾ i
wea	w e ɐ
weezer	w e e z e ɹ
weslley	w e s w l e i
whis	w i j s
wicks	w i k k s
wigan	w i ɡ ɐ̃
wilfredo	w iw f ɾ e d u
willer	w iw l e ɹ
wilstermann	w iw s t e ʁ m ɐ̃ n
wnba	w n b ɐ
wondering	w õ d e ɾ ĩ ɡ
woohoo	w o o o u
wps	w p s
yami	j ɐ m i
yasin	j ɐ z ĩ
yellen	j ew l ẽ
yeol	j e ɔ w
zainab	z ɐ ĩ n ɐ b
zala	z ɐ l ɐ
zambujal	z ɐ̃ b u ʒ ɐw
zanotti	z ɐ n o t ʃ t ʃ i
zeferina	z e f e ɾ ĩ n ɐ
zelote	z e l o t ʃ i
zenga	z ẽ ɡ ɐ
zeni	z e n i
zippy	z i p p i
zorin	z o ɾ ĩ
zp	z p
zukerman	z u k e ʁ m ɐ̃
zuse	z u z i
zwei	z w ej
zóio	z ɔj u
ânodo	ɐ̃ n o d u
érick	ɛ ɾ i k k
órteses	ɔ ɹ t e z i s
aal	ɐ ɐw
abagnale	ɐ b ɐ ɡ n ɐ l i
abasteça	ɐ b ɐ s t e s ɐ
abdiquei	ɐ b d ʒ i k ej
abençoá	ɐ b ẽ s o ɐ
abramovay	ɐ b ɾ ɐ m o v ɐ i
abrevia	ɐ b ɾ e v i ɐ
absorvia	ɐ b s o ʁ v i ɐ
abstendo	ɐ b s t ẽ d u
abstenha	ɐ b s t ẽ ɲ ɐ
abçs	ɐ b s
academicos	ɐ k ɐ d e m i k u s
acceptance	ɐ k s e p t ɐ̃ s i
acinzentados	ɐ s ĩ z ẽ t ɐ d u s
acom	ɐ k õ
aconcágua	ɐ k õ k ɐ ɡ w ɐ
acrobáticos	ɐ k ɾ o b ɐ t ʃ i k u s
además	ɐ d e m ɐ s
adicionaria	ɐ d ʒ i s i o n ɐ ɾ i ɐ
admitirmos	ɐ d ʒ m i t ʃ i ʁ m u s
adoeceram	ɐ d o e s e ɾ ɐ̃w̃
adorocinema	ɐ d o ɾ o s ĩ n ẽ m ɐ
adorámos	ɐ d o ɾ ɐ m u s
adquiria	ɐ d ʒ k j ɾ i ɐ
adryan	ɐ d ɹ j ɐ̃
afetas	ɐ f e t ɐ s
afm	ɐ f m
afr	ɐ f ɹ
agachados	ɐ ɡ ɐ ʃ ɐ d u s
agarradinhos	ɐ ɡ ɐ ʁ ɐ d ʒ ĩ ɲ u s
aguaí	ɐ ɡ w ɐ i
aguentariam	ɐ ɡ ẽ t ɐ ɾ i ɐ̃w̃
aish	ɐj ʃ
akari	ɐ k ɐ ɾ i
alb	ɐw b
alentejanas	ɐ l ẽ t e ʒ ɐ̃ n ɐ s
alertadas	ɐ l e ɹ t ɐ d ɐ s
algéria	ɐw ʒ ɛ ɾ i ɐ
aliso	ɐ l i z u
alistando	ɐ l i s t ɐ̃ d u
alpacas	ɐw p ɐ k ɐ s
alternâncias	ɐw t e ʁ n ɐ̃ s i ɐ s
alucina	ɐ l u s ĩ n ɐ
alírio	ɐ l i ɾ i u
ameiiii	ɐ m ej i i i
amenizam	ɐ m e n i z ɐ̃w̃
amiibo	ɐ m i i b u
amjad	ɐ̃ ʒ ɐ d ʒ
amplio	ɐ̃ p l i u
anaeróbios	ɐ n ɐj ɾ ɔ b i u s
andry	ɐ̃ d ɹ i
anfotericina	ɐ̃ f o t e ɾ i s ĩ n ɐ
angers	ɐ̃ ʒ e ɹ s
angostura	ɐ̃ ɡ o s t u ɾ ɐ
annelise	ɐ̃ n e l i z i
annunzio	ɐ̃ n ũ z i u
antecedencia	ɐ̃ t e s e d ẽ s i ɐ
antidoto	ɐ̃ t ʃ i d o t u
antimicrobiana	ɐ̃ t ʃ ĩ m i k ɾ o b i ɐ̃ n ɐ
antirrábica	ɐ̃ t ʃ i ʁ ɐ b i k ɐ
