अ	ɐ
लालस	l̪ ɑː l̪ ɐ s̪ ɐ
लाला	l ɑː l ɑː
लालाट	l ɑː l ɑː ʈ ɐ
लास	l ɑː s ɐ
लिक्षा	l̪ i k ʂ ɑː
लिख	l i kʰ ɐ́
लिखति	l i kʰ ɐ́ t i
लिखते	l i kʰ ɐ́ t ɐ j
लिखित	l i kʰ í t ɐ
लिखितवत्	l i kʰ i t ɐ ʋ ɐ t
लिखितव्य	l̪ i kʰ i t̪ ɐ ʋ j ɐ
लिखे	l i kʰ ɐ́ j
लिख्	l i kʰ
लिख्यात्	l i kʰ j ɑː t
लिङ्ग	l i ŋ ɡ ɐ
लिङ्गन	l i ŋ ɡ ɐ n ɐ
लिङ्गम्	l i ŋ ɡ ɐ m
लिङ्गाग्र	l i ŋ ɡ ɑː ɡ ɾ ɐ
लिपि	l i p i
लिप्	l i p
लिप्त	l i p t ɐ́
लिप्ता	l̪ i p t̪ ɑː
लिम्पति	l i m p ɐ́ t i
लिलेह	l i l ɐ j ɦ ɐ
लिहति	l i ɦ ɐ́ t i
लिह्	l i ɦ
लिह्यात्	l i ɦ j ɑː t
ली	l iː
लीढ	l iː ɖʱ ɐ́
लीढे	l iː ɖʱ ɐ j
लीन	l iː n ɐ́
लीयते	l íː j ɐ t ɐ j
लीला	l iː l ɑː
लुञ्चति	l̪ u ɲ t͡ɕ ɐ t̪ i
लुञ्च्	l u ɲ t͡ɕ
लुट्	l u ʈ
लुठति	l̪ u ʈʰ ɐ t̪ i
लुठ्	l̪ u ʈʰ
लुड्	l̪ u ɖ
लुण्टति	l ú ɳ ʈ ɐ t i
लुण्ट्	l u ɳ ʈ
लुनाति	l u n ɑ́ː t i
लुप्	l u p
लुप्त	l u p t ɐ
लुप्यते	l u p j ɐ́ t ɐ j
लुब्ध	l u b dʱ ɐ
लुब्धक	l u b dʱ ɐ k ɐ
लुभ्यति	l ú bʱ j ɐ t i
लुम्पति	l u m p ɐ t i
लुम्बति	l u m b ɐ t i
लुम्बिनी	l u m b i n iː
लू	l uː
लूता	l uː t ɑ́ː
लेख	l ɐ j kʰ ɐ
लेखक	l ɐ j kʰ ɐ k ɐ
लेखन	l ɐ j kʰ ɐ n ɐ
लेखनी	l̪ eː kʰ ɐ n̪ iː
लेखा	l ɐ j kʰ ɑː
लेढा	l ɐ j ɖʱ ɑː
लेढि	l ɐ́ j ɖʱ i
लेण्ड	l ɐ j ɳ ɖ ɐ
लेप	l ɐ j p ɐ
लेपयति	l ɐ j p ɐ́ j ɐ t i
लैङ्ग	l ɑː j ŋ ɡ ɐ
लैङ्गिक	l ɑː j ŋ ɡ i k ɐ
लोक	l ɐ w k ɐ́
लोक्	l ɐ w k
लोचन	l̪ oː t͡ɕ ɐ n̪ ɐ
लोच्	l ɐ w t͡ɕ
लोठ	l ɐ w ʈʰ ɐ
लोठयति	l̪ oː ʈʰ ɐ j ɐ t̪ i
लोडति	l̪ oː ɖ ɐ t̪ i
लोडयति	l̪ oː ɖ ɐ j ɐ t̪ i
लोध्र	l̪ oː d̪ʱ ɾ ɐ
लोप	l ɐ́ w p ɐ
लोपाक	l ɐ w p ɑː k ɐ
लोपाश	l ɐ w p ɑː ɕ ɐ́
लोप्त्र	l ɐ w p t ɾ ɐ
लोभ	l ɐ w bʱ ɐ
लोभयति	l ɐ w bʱ ɐ́ j ɐ t i
लोभिन्	l ɐ w bʱ i n
लोम	l ɐ w m ɐ
लोमटक	l̪ oː m ɐ ʈ ɐ k ɐ
लोमन्	l ɐ w m ɐ n
लोमहर्षण	l ɐ w m ɐ ɦ ɐ ɾ ʂ ɐ́ ɳ ɐ
लोल	l̪ oː l̪ ɐ
लोला	l̪ oː l̪ ɑː
लोली	l̪ oː l̪ iː
लोह	l ɐ w ɦ ɐ́
लोहित	l ɐ́ w ɦ i t ɐ
लौक्य	l̪ ɑ w k j ɐ
लौल्य	l ɑː w l j ɐ
व	ʋ ɐ
वंश	ʋ ɐ̃ ɕ ɐ
वंशी	ʋ ɐ̃ ɕ iː
वंशीधर	ʋ ɐ̃ ɕ iː dʱ ɐ ɾ ɐ
वः	ʋ ɐ h
वकार	ʋ ɐ k ɑː ɾ ɐ
वक्तवे	ʋ ɐ k t ɐ ʋ ɐ j
वक्तव्य	ʋ ɐ k t ɐ ʋ í j ɐ
वक्ति	ʋ ɐ k t̪ i
वक्तृ	ʋ ɐ k t ŕ̩
वक्तोस्	ʋ ɐ k t̪ oː s̪
वक्त्र	ʋ ɐ k t ɾ ɐ
वक्त्रभेदी	ʋ ɐ k t̪ ɾ ɐ bʱ eː d̪ iː
वक्त्व	ʋ ɐ k t̪ ʋ ɐ
वक्र	ʋ ɐ k ɾ ɐ
वक्रगामिन्	ʋ ɐ k ɾ ɐ ɡ ɑː m i n
वक्षति	ʋ ɐ k ʂ ɐ t̪ i
वक्षस्	ʋ ɐ k ʂ ɐ s̪
वक्ष्	ʋ ɐ k ʂ
वक्ष्यति	ʋ ɐ k ʂ j ɐ t̪ i
वग्नु	ʋ ɐ ɡ n ú
वङ्क	ʋ ɐ ŋ k ɐ
वङ्कु	ʋ ɐ ŋ k u
वङ्क्य	ʋ ɐ ŋ k j ɐ
वङ्ग	ʋ ɐ ŋ ɡ ɐ
वङ्गति	ʋ ɐ ŋ ɡ ɐ t i
वङ्गन	ʋ ɐ ŋ ɡ ɐ n ɐ
वङ्गालदेश	ʋ ɐ ŋ ɡ ɑː l̪ ɐ d̪ eː ɕ ɐ
वचर	ʋ ɐ t͡ɕ ɐ ɾ ɐ
वचस्	ʋ ɐ t͡ɕ ɐ s̪
वचा	ʋ ɐ t͡ɕ ɑː
वच्	ʋ ɐ t͡ɕ
वच्यते	ʋ ɐ t͡ɕ j ɐ t̪ eː
वज्	ʋ ɐ d͡ʑ
वज्र	ʋ ɐ d͡ʑ ɾ ɐ
वज्रयान	ʋ ɐ d͡ʑ ɾ ɐ j ɑː n̪ ɐ
वज्रलेप	ʋ ɐ d͡ʑ ɾ ɐ l̪ eː p ɐ
वज्रहस्त	ʋ ɐ d͡ʑ ɾ ɐ ɦ ɐ s̪ t̪ ɐ
वज्राङ्गबलिन्	ʋ ɐ d͡ʑ ɾ ɑː ŋ ɡ ɐ b ɐ l̪ i n̪
वञ्चति	ʋ ɐ ɲ t͡ɕ ɐ t̪ i
वञ्चन	ʋ ɐ ɲ t͡ɕ ɐ n ɐ
वञ्चना	ʋ ɐ ɲ t͡ɕ ɐ n ɑː
वञ्च्	ʋ ɐ ɲ t͡ɕ
वञ्जुल	ʋ ɐ ɲ d͡ʑ u l ɐ
वट	ʋ ɐ ʈ ɐ
वटवृक्ष	ʋ ɐ ʈ ɐ ʋ r̩ k ʂ ɐ
वट्	ʋ ɐ ʈ
वड्र	ʋ ɐ ɖ ɾ ɐ
वणिज्	ʋ ɐ ɳ i d͡ʑ
वणिज्य	ʋ ɐ ɳ i d͡ʑ j ɐ
वणिज्या	ʋ ɐ ɳ i d͡ʑ j ɑː
वण्	ʋ ɐ ɳ
वण्टति	ʋ ɐ ɳ ʈ ɐ t̪ i
वण्ट्	ʋ ɐ ɳ ʈ
वत्स	ʋ ɐ t s ɐ́
वत्सतर	ʋ ɐ t s ɐ t ɐ ɾ ɐ́
वत्सर	ʋ ɐ t s ɐ ɾ ɐ
वत्सल	ʋ ɐ t s ɐ́ l ɐ
वत्स्यति	ʋ ɐ t s j ɐ́ t i
वद	ʋ ɐ d ɐ
वदति	ʋ ɐ d̪ ɐ t̪ i
वदन	ʋ ɐ d̪ ɐ n̪ ɐ
वद्	ʋ ɐ d
वध	ʋ ɐ dʱ ɐ́
वधू	ʋ ɐ dʱ úː
वध्	ʋ ɐ dʱ
वध्या	ʋ ɐ d̪ʱ j ɑː
वध्रि	ʋ ɐ d̪ʱ ɾ i
वन	ʋ ɐ n̪ ɐ
वनस्	ʋ ɐ n̪ ɐ s̪
वनस्पति	ʋ ɐ n̪ ɐ s̪ p ɐ t̪ i
वनिता	ʋ ɐ n̪ i t̪ ɑː
वनोति	ʋ ɐ n ɐ́ w t i
वन्	ʋ ɐ n
वन्दताम्	ʋ ɐ n d ɐ t ɑː m
वन्दिन्	ʋ ɐ n d i n
वन्दे	ʋ ɐ n̪ d̪ eː
वन्द्	ʋ ɐ n d
वन्धुर	ʋ ɐ n dʱ ú ɾ ɐ
वन्ध्य	ʋ ɐ n dʱ j ɐ
वपति	ʋ ɐ p ɐ t̪ i
वपा	ʋ ɐ p ɑː
वपुष	ʋ ɐ p u ʂ ɐ
वपुष्टम	ʋ ɐ p u ʂ ʈ ɐ m ɐ
वपुष्टर	ʋ ɐ p u ʂ ʈ ɐ ɾ ɐ
वपुष्य	ʋ ɐ p u ʂ j ɐ
वपुष्या	ʋ ɐ p u ʂ j ɑː
वपुस्	ʋ ɐ p u s̪
वप्	ʋ ɐ p
वप्तृ	ʋ ɐ p t ŕ̩
वप्र	ʋ ɐ p ɾ ɐ
वप्रा	ʋ ɐ p ɾ ɑː
वमति	ʋ ɐ m ɐ t̪ i
वमन	ʋ ɐ m ɐ n ɐ
वम्	ʋ ɐ m
वम्र	ʋ ɐ m ɾ ɐ
वयःसंधि	ʋ ɐ j ɐ h s ɐ n dʱ i
वयति	ʋ ɐ j ɐ t̪ i
वयन	ʋ ɐ j ɐ n̪ ɐ
वयम्	ʋ ɐ j ɐ m
वयस्	ʋ ɐ j ɐ s̪
वयुन	ʋ ɐ j u n̪ ɐ
वयोवृद्ध	ʋ ɐ j oː ʋ r̩ d̪ d̪ʱ ɐ
वयोऽधिक	ʋ ɐ j oː d̪ʱ i k ɐ
वर	ʋ ɐ ɾ ɐ
वरयात्रा	ʋ ɐ ɾ ɐ j ɑː t ɾ ɑː
वरस्	ʋ ɐ ɾ ɐ s̪
वराह	ʋ ɐ ɾ ɑː ɦ ɐ
वरिष्ठ	ʋ ɐ ɾ i ʂ ʈʰ ɐ
वरीयस्	ʋ ɐ ɾ iː j ɐ s̪
वरुण	ʋ ɐ ɾ u ɳ ɐ
वरेण्य	ʋ ɐ ɾ eː ɳ j ɐ
वर्	ʋ ɐ ɾ
वर्ग	ʋ ɐ ɾ ɡ ɐ
वर्चस्	ʋ ɐ ɾ t͡ɕ ɐ s̪
वर्चस्वत्	ʋ ɐ ɾ t͡ɕ ɐ s̪ ʋ ɐ t̪
वर्चस्विन्	ʋ ɐ ɾ t͡ɕ ɐ s ʋ í n
वर्चोदा	ʋ ɐ ɾ t͡ɕ oː d̪ ɑː
वर्चोधा	ʋ ɐ ɾ t͡ɕ oː d̪ʱ ɑː
वर्ज्य	ʋ ɐ ɾ d͡ʑ j ɐ
वर्ण	ʋ ɐ ɾ ɳ ɐ
वर्णन	ʋ ɐ ɾ ɳ ɐ n ɐ
वर्णयति	ʋ ɐ ɾ ɳ ɐ j ɐ t i
वर्त	ʋ ɐ ɾ t̪ ɐ
वर्तति	ʋ ɐ ɾ t̪ ɐ t̪ i
वर्तते	ʋ ɐ ɾ t̪ ɐ t̪ eː
वर्तन	ʋ ɐ ɾ t ɐ n ɐ
वर्तनी	ʋ ɐ ɾ t ɐ n iː
वर्तमान	ʋ ɐ ɾ t ɐ m ɑː n ɐ́
वर्तयति	ʋ ɐ ɾ t ɐ́ j ɐ t i
वर्तिका	ʋ ɐ ɾ t i k ɑː
वर्तिन्	ʋ ɐ ɾ t i n
वर्तिस्	ʋ ɐ ɾ t í s
वर्ती	ʋ ɐ ɾ t iː
वर्त्	ʋ ɐ ɾ t
वर्त्मन्	ʋ ɐ ɾ t̪ m ɐ n̪
वर्त्स्य	ʋ ɐ ɾ t̪ s̪ j ɐ
वर्त्स्यति	ʋ ɐ ɾ t s j ɐ́ t i
वर्धति	ʋ ɐ ɾ d̪ʱ ɐ t̪ i
वर्धते	ʋ ɐ ɾ d̪ʱ ɐ t̪ eː
वर्धन	ʋ ɐ ɾ d̪ʱ ɐ n̪ ɐ
वर्धयति	ʋ ɐ ɾ dʱ ɐ́ j ɐ t i
वर्धापयति	ʋ ɐ ɾ dʱ ɑː p ɐ j ɐ t i
वर्पस्	ʋ ɐ ɾ p ɐ s̪
वर्मन्	ʋ ɐ ɾ m ɐ n̪
वर्वट	ʋ ɐ ɾ ʋ ɐ ʈ ɐ
वर्ष	ʋ ɐ ɾ ʂ ɐ
वर्षति	ʋ ɐ ɾ ʂ ɐ t̪ i
वर्षा	ʋ ɐ ɾ ʂ ɑː
वर्षाकाल	ʋ ɐ ɾ ʂ ɑː k ɑː l̪ ɐ
वर्षाहू	ʋ ɐ ɾ ʂ ɑː ɦ uː
वल	ʋ ɐ l ɐ
वलति	ʋ ɐ l ɐ t i
वलते	ʋ ɐ l ɐ t ɐ j
वलय	ʋ ɐ l ɐ j ɐ
वलि	ʋ ɐ l i
वली	ʋ ɐ l̪ iː
वल्	ʋ ɐ l
वल्क	ʋ ɐ l k ɐ́
वल्कल	ʋ ɐ l k ɐ l ɐ
वल्गु	ʋ ɐ l ɡ ú
वल्मीक	ʋ ɐ l m iː k ɐ
वल्लभ	ʋ ɐ l l ɐ bʱ ɐ
वल्ली	ʋ ɐ l l iː
ववर्त	ʋ ɐ ʋ ɐ ɾ t̪ ɐ
ववर्ध	ʋ ɐ ʋ ɐ ɾ d̪ʱ ɐ
वश	ʋ ɐ ɕ ɐ
वशगा	ʋ ɐ ɕ ɐ ɡ ɑː
वशत्व	ʋ ɐ ɕ ɐ t ʋ ɐ
वशात्व	ʋ ɐ ɕ ɑː t ʋ ɐ
वश्	ʋ ɐ ɕ
वश्य	ʋ ɐ ɕ j ɐ
वषट्	ʋ ɐ ʂ ɐ ʈ
वष्टि	ʋ ɐ ʂ ʈ i
वसति	ʋ ɐ s ɐ t í
वसन	ʋ ɐ s̪ ɐ n̪ ɐ
वसन्त	ʋ ɐ s ɐ n t ɐ́
वसन्तर्तु	ʋ ɐ s̪ ɐ n̪ t̪ ɐ ɾ t̪ u
वसा	ʋ ɐ s ɑ́ː
वसिष्ठ	ʋ ɐ s̪ i ʂ ʈʰ ɐ
वसु	ʋ ɐ s̪ u
वसुदेव	ʋ ɐ s̪ u d̪ eː ʋ ɐ
वसुधा	ʋ ɐ s̪ u d̪ʱ ɑː
वसुधैव	ʋ ɐ s u dʱ ɑː j ʋ ɐ
वसुश्रवस्	ʋ ɐ s̪ u ɕ ɾ ɐ ʋ ɐ s̪
वस्	ʋ ɐ s
वस्ति	ʋ ɐ s t í
वस्तु	ʋ ɐ s t u
वस्ते	ʋ ɐ s̪ t̪ eː
वस्त्र	ʋ ɐ s̪ t̪ ɾ ɐ
वस्न	ʋ ɐ s n ɐ́
वस्न्य	ʋ ɐ s̪ n̪ j ɐ
वस्मन्	ʋ ɐ s̪ m ɐ n̪
वस्यस्	ʋ ɐ s̪ j ɐ s̪
वहति	ʋ ɐ ɦ ɐ t̪ i
वहित्र	ʋ ɐ ɦ i t ɾ ɐ
वह्	ʋ ɐ ɦ
वह्नि	ʋ ɐ ɦ n i
वह्य	ʋ ɐ ɦ j ɐ
वा	ʋ ɑː
वाक्	ʋ ɑː k
वाक्छल	ʋ ɑː k t͡ɕʰ ɐ l̪ ɐ
वाक्पटु	ʋ ɑː k p ɐ ʈ u
वाक्पटुत्व	ʋ ɑː k p ɐ ʈ u t ʋ ɐ
वाक्य	ʋ ɑː k j ɐ
वाघत्	ʋ ɑː ɡʱ ɐ t̪
वाङ्	ʋ ɑː ŋ
वाङ्मय	ʋ ɑː ŋ m ɐ j ɐ
वाचन	ʋ ɑː t͡ɕ ɐ n ɐ
वाचम्	ʋ ɑː t͡ɕ ɐ m
वाच्	ʋ ɑː t͡ɕ
वाज	ʋ ɑː d͡ʑ ɐ
वाजपेय	ʋ ɑː d͡ʑ ɐ p eː j ɐ
वाजपेयिन्	ʋ ɑː d͡ʑ ɐ p eː j i n̪
वाजिन्	ʋ ɑː d͡ʑ i n̪
वाञ्छ्	ʋ ɑː ɲ t͡ɕʰ
वाट	ʋ ɑː ʈ ɐ
वाटर	ʋ ɑː ʈ ɐ ɾ ɐ
वाटिका	ʋ ɑː ʈ i k ɑː
वाण	ʋ ɑː ɳ ɐ
वाणि	ʋ ɑː ɳ i
वाणिज	ʋ ɑː ɳ i d͡ʑ ɐ
वाणिज्य	ʋ ɑː ɳ i d͡ʑ j ɐ
वाणी	ʋ ɑː ɳ iː
वात	ʋ ɐ́ ɐ t ɐ
वाताद	ʋ ɑː t ɑː d ɐ
वातापि	ʋ ɑː t ɑ́ː p i
वाताम	ʋ ɑː t ɑː m ɐ
वातायन	ʋ ɑː t ɑː j ɐ n ɐ
वातावरण	ʋ ɑː t̪ ɑː ʋ ɐ ɾ ɐ ɳ ɐ
वाति	ʋ ɑː t̪ i
वातिङ्गण	ʋ ɑː t̪ i ŋ ɡ ɐ ɳ ɐ
वातुल	ʋ ɑː t̪ u l̪ ɐ
वात्सल्य	ʋ ɑː t s ɐ l j ɐ
वाद	ʋ ɑː d ɐ
वादक	ʋ ɑː d̪ ɐ k ɐ
वादिन्	ʋ ɑː d i n
वादी	ʋ ɑː d iː
वाद्य	ʋ ɑː d̪ j ɐ
वान	ʋ ɑː n ɐ́
वानर	ʋ ɑː n ɐ ɾ ɐ
वापयति	ʋ ɑː p ɐ j ɐ t i
वापी	ʋ ɑː p iː
वाम	ʋ ɑː m ɐ
वामन	ʋ ɑː m ɐ n ɐ́
वाम्	ʋ ɑː m
वायु	ʋ ɑː j u
वायुमण्डल	ʋ ɑː j u m ɐ ɳ ɖ ɐ l ɐ
वायो	ʋ ɑː j oː
वार	ʋ ɑː ɾ ɐ
वारक	ʋ ɑː ɾ ɐ k ɐ
वारकिन्	ʋ ɑː ɾ ɐ k i n
वारबुषा	ʋ ɑː ɾ ɐ b u ʂ ɑː
वारा	ʋ ɑː ɾ ɑː
वाराणसी	ʋ ɑː ɾ ɑː ɳ ɐ s̪ iː
वाराह	ʋ ɑː ɾ ɑː ɦ ɐ
वारि	ʋ ɑː ɾ i
वार्	ʋ ɐ́ ɐ ɾ
वार्त्ता	ʋ ɑː ɾ t t ɑː
वार्द	ʋ ɑː ɾ d ɐ
वार्दल	ʋ ɑː ɾ d̪ ɐ l̪ ɐ
वार्षिक	ʋ ɑː ɾ ʂ i k ɐ
वार्ष्णेय	ʋ ɑː ɾ ʂ ɳ eː j ɐ
वाल	ʋ ɑː l̪ ɐ
वाला	ʋ ɑː l ɑː
वालुका	ʋ ɑː l u k ɑː
वालुकेश्वर	ʋ ɑː l̪ u k eː ɕ ʋ ɐ ɾ ɐ
वाले	ʋ ɑː l ɐ j
वाल्मीक	ʋ ɑː l m iː k ɐ
वाल्मीकि	ʋ ɑː l m iː k i
वाव	ʋ ɑː ʋ ɐ
वाशी	ʋ ɑː ɕ iː
वाश्	ʋ ɑː ɕ
वाश्यते	ʋ ɑː ɕ j ɐ t̪ eː
वाष्प	ʋ ɑː ʂ p ɐ
वास	ʋ ɑː s ɐ
वासयते	ʋ ɑː s ɐ́ j ɐ t ɐ j
वासर	ʋ ɑː s ɐ ɾ ɐ
वासस्	ʋ ɑː s ɐ́ s
वासुदेव	ʋ ɑː s̪ u d̪ eː ʋ ɐ
वास्तव	ʋ ɑː s t ɐ ʋ ɐ
वास्तविक	ʋ ɑː s t ɐ ʋ i k ɐ
वास्तु	ʋ ɑː s̪ t̪ u
वाह	ʋ ɑː ɦ ɐ
वाहन	ʋ ɑː ɦ ɐ n̪ ɐ
वाहनम्	ʋ ɑː ɦ ɐ n ɐ m
वाहयति	ʋ ɑː ɦ ɐ j ɐ t̪ i
वि	ʋ i
विंश	ʋ ĩ ɕ ɐ
विंशति	ʋ i m ɕ ɐ t í
विकट	ʋ i k ɐ ʈ ɐ
विकर्षति	ʋ i k ɐ ɾ ʂ ɐ t i
विकल्प	ʋ i k ɐ l p ɐ
विकार	ʋ i k ɑː ɾ ɐ
विकास	ʋ i k ɑː s ɐ
विकृत	ʋ i k r̩ t̪ ɐ
विकृति	ʋ i k r̩ t̪ i
विक्रम	ʋ i k ɾ ɐ m ɐ
विक्रमशिला	ʋ i k ɾ ɐ m ɐ ɕ i l̪ ɑː
विक्रमादित्य	ʋ i k ɾ ɐ m ɑː d̪ i t̪ j ɐ
विक्रेतृ	ʋ i k ɾ eː t̪ r̩
विक्षाम	ʋ i k ʂ ɑː m ɐ
विग्रह	ʋ i ɡ ɾ ɐ ɦ ɐ
विचक्षण	ʋ i t͡ɕ ɐ k ʂ ɐ ɳ ɐ
विचय	ʋ i t͡ɕ ɐ j ɐ
विचर	ʋ i t͡ɕ ɐ ɾ ɐ
विचर्	ʋ i t͡ɕ ɐ ɾ
विचार	ʋ i t͡ɕ ɑː ɾ ɐ
विचित्र	ʋ i t͡ɕ i t ɾ ɐ
विचित्रवीर्य	ʋ i t͡ɕ i t̪ ɾ ɐ ʋ iː ɾ j ɐ
विचेष्टति	ʋ i t͡ɕ eː ʂ ʈ ɐ t̪ i
विच्	ʋ i t͡ɕ
विच्छित्ति	ʋ i t̪ t͡ɕʰ i t̪ t̪ i
विच्छिन्न	ʋ i t̪ t͡ɕʰ i n̪ n̪ ɐ
विच्छेद	ʋ i t t͡ɕʰ ɐ j d ɐ
विजते	ʋ i d͡ʑ ɐ t̪ eː
विजय	ʋ i d͡ʑ ɐ j ɐ
विजयादशमी	ʋ i d͡ʑ ɐ j ɑː d̪ ɐ ɕ ɐ m iː
विज्	ʋ i d͡ʑ
विज्ञान	ʋ i d͡ʑ ɲ ɑː n̪ ɐ
विट्	ʋ i ʈ
विडाल	ʋ i ɖ ɑː l̪ ɐ
वितरण	ʋ i t ɐ ɾ ɐ ɳ ɐ
वितरम्	ʋ i t ɐ ɾ ɐ́ m
वितस्ता	ʋ i t ɐ́ s t ɑː
वितस्ति	ʋ i t̪ ɐ s̪ t̪ i
वित्त	ʋ i t t ɐ́
विदधाति	ʋ i d ɐ dʱ ɑː t i
विदा	ʋ i d ɑː
विदाह	ʋ i d ɑː ɦ ɐ
विदाहक	ʋ i d ɑː ɦ ɐ k ɐ
विदूषक	ʋ i d uː ʂ ɐ k ɐ
विदेघ	ʋ i d ɐ j ɡʱ ɐ́
विदेह	ʋ i d ɐ j ɦ ɐ́
विद्	ʋ i d
विद्यते	ʋ i d j ɐ́ t ɐ j
विद्यमान	ʋ i d j ɐ m ɑː n ɐ
विद्या	ʋ i d j ɑ́ː
विद्याचण	ʋ i d̪ j ɑː t͡ɕ ɐ ɳ ɐ
विद्यादेवी	ʋ i d j ɑː d ɐ j ʋ iː
विद्याधरी	ʋ i d j ɑː dʱ ɐ ɾ iː
विद्यापति	ʋ i d̪ j ɑː p ɐ t̪ i
विद्यार्थिनी	ʋ i d j ɑː ɾ tʰ i n iː
विद्यार्थिन्	ʋ i d j ɑː ɾ tʰ i n
विद्यालय	ʋ i d j ɑː l ɐ j ɐ
विद्युत्	ʋ i d j ú t
विद्युल्लता	ʋ i d j u l l ɐ t ɑː
विद्वांस्	ʋ i d ʋ ɑ̃́ː s
विद्वान्	ʋ i d ʋ ɑː n
विध	ʋ i dʱ ɐ
विधवा	ʋ i dʱ ɐ́ ʋ ɑː
विधा	ʋ i dʱ ɑː
विधाता	ʋ i dʱ ɑː t ɑ́ː
विधातृ	ʋ i dʱ ɑː t ŕ̩
विधान	ʋ i dʱ ɑː n ɐ
विधि	ʋ i dʱ i
विध्	ʋ i dʱ
विनक्ति	ʋ i n ɐ́ k t i
विनति	ʋ i n ɐ t i
विनय	ʋ i n ɐ j ɐ́
विना	ʋ i n̪ ɑː
विनायक	ʋ i n ɑː j ɐ k ɐ
विनाश	ʋ i n ɑː ɕ ɐ́
विनिमय	ʋ i n i m ɐ j ɐ
विनीत	ʋ i n iː t ɐ
विन्ते	ʋ i n t ɐ j
विन्त्ते	ʋ i n t t ɐ j
विन्दति	ʋ i n d ɐ́ t i
विन्द्	ʋ i n d
विन्यास	ʋ i n j ɑː s ɐ
विपक्ष	ʋ i p ɐ k ʂ ɐ
विपरिवर्तन	ʋ i p ɐ ɾ i ʋ ɐ ɾ t ɐ n ɐ
विपरीत	ʋ i p ɐ ɾ iː t ɐ
विपाशा	ʋ i p ɑː ɕ ɑː
विपाश्	ʋ i p ɑː ɕ
विपुल	ʋ i p u l ɐ
विप्	ʋ i p
विप्र	ʋ i p ɾ ɐ
विफल	ʋ i pʰ ɐ l ɐ
विबोध	ʋ i b oː d̪ʱ ɐ
विभक्ति	ʋ i bʱ ɐ k t í
विभक्तृ	ʋ i bʱ ɐ k t ŕ̩
विभजन	ʋ i bʱ ɐ d͡ʑ ɐ n ɐ
विभाग	ʋ i bʱ ɑː ɡ ɐ
विभाजन	ʋ i bʱ ɑː d͡ʑ ɐ n ɐ
विभूति	ʋ i bʱ uː t̪ i
विमाता	ʋ i m ɑː t ɑː
विमातृ	ʋ i m ɑː t r̩
विमान	ʋ i m ɑː n̪ ɐ
विमुक्ति	ʋ i m u k t i
वियाति	ʋ i j ɑː t i
वियुत	ʋ i j u t̪ ɐ
विराज्	ʋ i ɾ ɑː d͡ʑ
विराट	ʋ i ɾ ɑː ʈ ɐ
विराट्	ʋ i ɾ ɑː ʈ
विराम	ʋ i ɾ ɑː m ɐ
विराल	ʋ i ɾ ɑː l̪ ɐ
विरुद्ध	ʋ i ɾ u d dʱ ɐ
विरोचन	ʋ i ɾ oː t͡ɕ ɐ n̪ ɐ
विरोधालंकार	ʋ i ɾ oː d̪ʱ ɑː l̪ ɐ ŋ k ɑː ɾ ɐ
विलक्षण	ʋ i l ɐ k ʂ ɐ ɳ ɐ
विलम्ब	ʋ i l̪ ɐ m b ɐ
विलापयति	ʋ i l ɑː p ɐ j ɐ t i
विलीयते	ʋ i l iː j ɐ t ɐ j
विवक्षति	ʋ i ʋ ɐ k ʂ ɐ t i
विवक्षा	ʋ i ʋ ɐ k ʂ ɑː
विवर	ʋ i ʋ ɐ ɾ ɐ
विवरण	ʋ i ʋ ɐ ɾ ɐ ɳ ɐ
विवर्तन	ʋ i ʋ ɐ ɾ t ɐ n ɐ
विवर्धते	ʋ i ʋ ɐ ɾ dʱ ɐ t ɐ j
विवर्धयति	ʋ i ʋ ɐ ɾ dʱ ɐ j ɐ t i
विवस्वत्	ʋ i ʋ ɐ s ʋ ɐ t
विवाद	ʋ i ʋ ɑː d ɐ
विवादास्पद	ʋ i ʋ ɑː d̪ ɑː s̪ p ɐ d̪ ɐ
विवाह	ʋ i ʋ ɑː ɦ ɐ
विवाहित	ʋ i ʋ ɑː ɦ i t ɐ
विविक्षति	ʋ i ʋ i k ʂ ɐ t i
विविध	ʋ i ʋ i dʱ ɐ
विवृ	ʋ i ʋ r̩
विवृद्धि	ʋ i ʋ r̩ d dʱ i
विवेक	ʋ i ʋ eː k ɐ
विवेद	ʋ i ʋ eː d̪ ɐ
विवेश	ʋ i ʋ eː ɕ ɐ
विवेष्टि	ʋ i ʋ eː ʂ ʈ i
विशति	ʋ i ɕ ɐ t̪ i
विशाखा	ʋ i ɕ ɑː kʰ ɑː
विशाल	ʋ i ɕ ɑː l ɐ́
विशिख	ʋ i ɕ i kʰ ɐ
विशिष्	ʋ i ɕ i ʂ
विशेष	ʋ i ɕ eː ʂ ɐ
विशेषज्ञ	ʋ i ɕ eː ʂ ɐ d͡ʑ ɲ ɐ
विशेषण	ʋ i ɕ eː ʂ ɐ ɳ ɐ
विश्	ʋ i ɕ
विश्पति	ʋ i ɕ p ɐ t̪ i
विश्पत्नी	ʋ i ɕ p ɐ t̪ n̪ iː
विश्रमते	ʋ i ɕ ɾ ɐ m ɐ t ɐ j
विश्व	ʋ i ɕ ʋ ɐ
विश्वंकर	ʋ i ɕ ʋ ɐ ŋ k ɐ ɾ ɐ
विश्वकर्मन्	ʋ i ɕ ʋ ɐ k ɐ ɾ m ɐ n
