ͷ	t͡s
ἄσαρκος	a s a r k o s
ἄσαρον	a s a r o n
ἄσβεστοι	a z b e s t y
ἄσβεστον	a z b e s t o n
ἄσβεστος	a z b e s t o s
ἄσβολος	a z b o l o s
ἄση	a s e̝
ἄσημον	a s e̝ m o n
ἄσημος	a s e̝ m o s
ἄσιβα	a s i b a
ἄσιλλα	a s i l a
ἄσιος	a s i o s
ἄσις	a s i s
ἄσιτος	a s i t o s
ἄσκαρος	a s k a r o s
ἄσκεπτος	a s c e p t o s
ἄσκημα	a s c i m a
ἄσκησι	a s c i s i
ἄσκησιν	a s c i s i n
ἄσκησις	a s c i s i s
ἄσκιος	a s c i o s
ἄσκλον	a s k l o n
ἄσκοπος	a s k o p o s
ἄσκρα	a s k r a
ἄσκυρον	a s c i r o n
ἄσμενοι	a z m e n i
ἄσμενος	a z m e n o s
ἄσπαλος	a s p a l o s
ἄσπενδος	a s p e n d o s
ἄσπετα	a s p e t a
ἄσπετον	a s p e t o n
ἄσπετος	a s p e t o s
ἄσπληνον	a s p l e̝ n o n
ἄσπονδον	a s p o n d o n
ἄσπονδος	a s p o n d o s
ἄσπρις	a s p r i s
ἄσπρον	a s p r o n
ἄσπρος	a s p r o s
ἄσσος	a s o s
ἄσσωρος	a s o r o s
ἄστακος	a s t a k o s
ἄστατος	a s t a t o s
ἄσταχυς	a s t a kʰ y s
ἄστε'	a s t e
ἄστεα	a s t e a
ἄστεγος	a s t e ɡ o s
ἄστει	a s t i
ἄστεος	a s t e o s
ἄστερ	a s t e r
ἄστεσι	a s t e s i
ἄστεσιν	a s t e s i n
ἄστεων	a s t e o n
ἄστεως	a s t e o s
ἄστη	a s t e̝
ἄστρα	a s t r a
ἄστρασι	a s t r a s i
ἄστρασιν	a s t r a s i n
ἄστρον	a s t r o n
ἄστρων	a s t r o n
ἄστυ	a s t i
ἄστυδ'	a s t i ð
ἄστυδε	a s t i ð e
ἄστυρα	a s t i r a
ἄστυρον	a s t i r o n
ἄσυλον	a s i l o n
ἄσυλος	a s i l o s
ἄσυχις	a s i ç i s
ἄσφαλτος	a s f a l t o s
ἄσχειον	a s k l o n
ἄσχημος	a s kʰ e̝ m o s
ἄσχολος	a s kʰ o l o s
ἄσχυ	a s kʰ y
ἄσωτον	a s o t o n
ἄσωτος	a s o t o s
ἄτακτος	a t a k t o s
ἄτερ	a t e r
ἄτεχνα	a t e kʰ n a
ἄτεχνοι	a t e kʰ n y
ἄτεχνον	a t e kʰ n o n
ἄτεχνος	a t e kʰ n o s
ἄτη	a t e̝
ἄτην	a t e̝ n
ἄτης	a t e̝ s
ἄτλαντες	a t l a n d e s
ἄτλας	a t l a s
ἄτμητον	a t m e̝ t o n
ἄτμητος	a t m e̝ t o s
ἄτολμος	a t o l m o s
ἄτονος	a t o n o s
ἄτοπα	a t o p a
ἄτοπε	a t o p e
ἄτοποι	a t o p i
ἄτοπον	a t o p o n
ἄτοπος	a t o p o s
ἄτοσσα	a t o s a
ἄτρακτος	a t r a k t o s
ἄτρεπτος	a t r e p t o s
ἄτροπος	a t r o p o s
ἄττα	a t a
ἄττυς	a t i s
ἄτυς	a t i s
ἄφαρ	a f a r
ἄφαρκτος	a f a r k t o s
ἄφαρος	a f a r o s
ἄφενος	a f e n o s
ἄφες	a f e s
ἄφεσις	a f e s i s
ἄφθα	a f θ a
ἄφθαρτος	a f θ a r t o s
ἄφθιτον	a f θ i t o n
ἄφθιτος	a f θ i t o s
ἄφθογγος	a f θ o ŋ ɡ o s
ἄφθονος	a f θ o n o s
ἄφιξις	a f i k s i s
ἄφλαστον	a f l a s t o n
ἄφνω	a f n o
ἄφοβος	a f o v o s
ἄφρακτα	a f r a k t a
ἄφρακτε	a f r a k t e
ἄφρακτοι	a f r a k t i
ἄφρακτον	a f r a k t o n
ἄφρακτος	a f r a k t o s
ἄφραστος	a f r a s t o s
ἄφρισσα	a f r i s a
ἄφρονα	a f r o n a
ἄφρονι	a f r o n i
ἄφρων	a f r o n
ἄφυλλος	a f i l o s
ἄφυτις	a f i t i s
ἄφωνος	a f o n o s
ἄχεα	a kʰ e a
ἄχεε	a kʰ e e
ἄχει	a kʰ i
ἄχεος	a kʰ e o s
ἄχερδος	a kʰ e r d o s
ἄχεσι	a kʰ e s i
ἄχεσιν	a kʰ e s i n
ἄχεσσι	a kʰ e s s i
ἄχεσσιν	a kʰ e s s i n
ἄχευς	a kʰ e ʍ s
ἄχεϊ	a kʰ e i
ἄχη	a kʰ e̝
ἄχθομαι	a kʰ tʰ o m ɛ
ἄχθος	a kʰ tʰ o s
ἄχμα	a kʰ m a
ἄχνη	a kʰ n e̝
ἄχνυμαι	a kʰ n y m ɛ
ἄχνυται	a kʰ n y t ɛ
ἄχολλα	a kʰ o l l a
ἄχορος	a kʰ o r o s
ἄχος	a kʰ o s
ἄχους	a kʰ u s
ἄχραντος	a kʰ r a n t o s
ἄχρηστος	a kʰ r e̝ s t o s
ἄχρι	a kʰ r i
ἄχρυσος	a kʰ r y s o s
ἄχυρον	a kʰ y r o n
ἄχωρ	a kʰ o r
ἄψ	a p s
ἄψογος	a p s o ɡ o s
ἄψορος	a p s o r o s
ἄψορρον	a p s o r o n
ἄψορρος	a p s o r o s
ἄω	a o
ἄωτον	a o t o n
ἄϊδα	a i d a
ἄϊδης	a i d e̝ s
ἄϊδι	a i d i
ἄϊδος	a i d o s
ἄϊδόσδε	a i d o z d e
ἄϊκα	a i k a
ἄϊκας	a i k a s
ἄϊκε	a i c e
ἄϊκες	a i c e s
ἄϊκι	a i c i
ἄϊκος	a i k o s
ἄϊξ	a i k s
ἄϊξι	a i k s i
ἄϊξιν	a i k s i n
ἄϋλος	a i l o s
ἄϋπνα	a i p n a
ἄϋπνε	a i p n e
ἄϋπνοι	a i p n i
ἄϋπνον	a i p n o n
ἄϋπνος	a i p n o s
ἄϋσε	a i s e
ἄϋσεν	a i s e n
ἅ	a
ἅβελ	a b e l
ἅβρα	a b r a
ἅγια	a ɡ i a
ἅγιαι	a ɡ i ɛ
ἅγιε	a ɡ i e
ἅγιοι	a ɡ i y
ἅγιον	a ɡ i o n
ἅγιος	a ɡ i o s
ἅγνων	a ɡ n o n
ἅδην	a d e̝ n
ἅδος	a d o s
ἅζομαι	a z o m e
ἅθωρ	a tʰ o r
ἅλα	a l a
ἅλαδ'	a l a d
ἅλαδε	a l a d e
ἅλαισα	a l e s a
ἅλας	a l a s
ἅλασι	a l a s i
ἅλασιν	a l a s i n
ἅλατα	a l a t a
ἅλατε	a l a t e
ἅλατι	a l a t i
ἅλατος	a l a t o s
ἅλε	a l e
ἅλες	a l e s
ἅλεσι	a l e s i
ἅλεσιν	a l e s i n
ἅλεσσι	a l e s i
ἅλεσσιν	a l e s i n
ἅλεται	a l e t e
ἅληται	a l e̝ t ɛ
ἅλινος	a l i n o s
ἅλιον	a l i o n
ἅλιος	a l i o s
ἅλις	a l i s
ἅλλομαι	a l l o m e
ἅλμα	a l m a
ἅλμενον	a l m e n o n
ἅλμενος	a l m e n o s
ἅλμη	a l m e̝
ἅλς	a l s
ἅλυος	a l i o s
ἅλυς	a l i s
ἅλυσις	a l i s i s
ἅλως	a l o s
ἅλωσιν	a l o s i n
ἅλωσις	a l o s i s
ἅμ'	a m
ἅμα	a m a
ἅμαξα	a m a k s a
ἅμαρτε	a m a r t e
ἅμιλλα	a m i l a
ἅμμα	a m a
ἅνδρες	a n d r e s
ἅπαν	a p a n
ἅπαντα	a p a n d a
ἅπαντας	a p a n d a s
ἅπαντες	a p a n d e s
ἅπαντι	a p a n d i
ἅπαντος	a p a n d o s
ἅπαξ	a p a k s
ἅπας	a p a s
ἅπασα	a p a s a
ἅπασαι	a p a s e
ἅπασαν	a p a s a n
ἅπασι	a p a s i
ἅπασιν	a p a s i n
ἅπερ	a p e r
ἅπτε	a p t e
ἅπτειν	a p t i n
ἅπτονται	a p t o n d e
ἅπτω	a p t o
ἅρμα	a r m a
ἅρμασι	a r m a s i
ἅρμασιν	a r m a s i n
ἅρματ'	a r m a t
ἅρματα	a r m a t a
ἅρματε	a r m a t e
ἅρματι	a r m a t i
ἅρματος	a r m a t o s
ἅρπα	a r p a
ἅρπαγα	a r p a ɡ a
ἅρπαγας	a r p a ɡ a s
ἅρπαγε	a r p a ɡ e
ἅρπαγες	a r p a ɡ e s
ἅρπαγι	a r p a ɡ i
ἅρπαγμα	a r p a ɡ m a
ἅρπαγος	a r p a ɡ o s
ἅρπαξ	a r p a k s
ἅρπαξι	a r p a k s i
ἅρπαξιν	a r p a k s i n
ἅρπη	a r p e̝
ἅρπυια	a r p i a
ἅς	a s
ἅσσ'	a s
ἅσσα	a s a
ἅστινας	a s t i n a s
ἅτε	a t e
ἅτινα	a t i n a
ἅττα	a t a
ἅψασθαι	a p s a s tʰ ɛ
ἅψος	a p s e o s
ἅων	a o n
ἆ	a
ἆγιν	a ɡ i n
ἆγις	a ɡ i s
ἆθλα	a tʰ l a
ἆθλε	a tʰ l e
ἆθλοι	a tʰ l y
ἆθλον	a tʰ l o n
ἆθλος	a tʰ l o s
ἆκις	a c i s
ἆκον	a k o n
ἆλσο	a l s o
ἆλτο	a l t o
ἆνερ	a n e r
ἆρ'	a r
ἆρα	a r a
ἆρον	a r o n
ἆσαι	a s e
ἆσθμα	a s tʰ m a
ἆσσον	a s o n
ἆτος	a t o s
ἇνδρες	a n d r e s
ἐΐσας	e i s a s
ἐΐση	e i s e̝
ἐΐσην	e i s e̝ n
ἐΐσης	e i s e̝ s
ἐΐσῃ	e i s e̝
ἐΐσῃς	e i s e̝ s
ἐάγη	e a ɡ e̝
ἐάν	e a n
ἐάουσιν	e a u s i n
ἐάσαντες	e a s a n d e s
ἐάσας	e a s a s
ἐάσει	e a s i
ἐάσετε	e a s e t e
ἐάσθω	e a s o n
ἐάσομεν	e a s o m e n
ἐάσω	e a s o
ἐάω	e a o
ἐέδνοισι	e e d n y s i
ἐέδνοισιν	e e d n y s i n
ἐέλδεται	e e l d e t ɛ
ἐέργει	e e r ɡ i
ἐέργω	e e r ɡ o
ἐΰ	e i
ἐΰθρονον	e i θ r o n o n
ἐΰθρονος	e i θ r o n o s
ἐΰξοον	e i k s o o n
ἐΰξοος	e i k s o o s
ἐΰς	e i s
ἐΰσσελμος	e i s e l m o s
ἐΰτροχον	e i t r o x o n
ἐΰτροχος	e i t r o x o s
ἐαρινός	e a r i n o s
ἐβάλοντο	e b a l o n t o
ἐβάτην	e b a t e̝ n
ἐβένινος	e b e n i n o s
ἐβήσετο	e b e̝ s e t o
ἐβήτην	e b e̝ t e̝ n
ἐβαίνομεν	e b ǎ i̯ n o m e n
ἐβασίλευσε	e b a s i l e ʍ s e
ἐβεβήκει	e b e b e̝ k i
ἐβενῖτις	e b e n i t i s
ἐβλήθην	e b l e̝ tʰ e̝ n
ἐβλαπτόμην	e b l a p t o m e̝ n
ἐβοήθει	e b o e̝ tʰ i
ἐβοήθησαν	e b o e̝ tʰ e̝ s a n
ἐβοήθουν	e b o e̝ tʰ u n
ἐβοηθήσατε	e b o e̝ tʰ e̝ s a t e
ἐβοσκήθην	e b o s k e̝ tʰ e̝ n
ἐβουλέσθην	e b u l e s tʰ e̝ n
ἐβουλήθη	e b u l e̝ tʰ e̝
ἐβουλήθημεν	e b u l e̝ tʰ e̝ m e n
ἐβουλήθην	e b u l e̝ tʰ e̝ n
ἐβουλήθησαν	e b u l e̝ tʰ e̝ s a n
ἐβουλήθητε	e b u l e̝ tʰ e̝ t e
ἐβουλεύοντο	e b u l e w o n t o
ἐβουλόμεθα	e b u l o m e tʰ a
ἐβουλόμην	e b u l o m e̝ n
ἐβούλεσθε	e b u l e s tʰ e
ἐβούλετο	e b u l e t o
ἐβούλοντο	e b u l o n t o
ἐβούλου	e b u l u
ἐβόρακον	e b o r a k o n
ἐγέλασσε	e ɡ e l a s s e
ἐγένεσθε	e ɡ e n e s tʰ e
ἐγένεσθον	ɡ i ɡ n e t ɛ
ἐγένετο	e ɡ e n e t o
ἐγέννησε	e ɡ e n n e̝ s e
ἐγένοντο	e ɡ e n o n t o
ἐγένου	ɡ i ɡ n e t ɛ
ἐγέρθητε	e ɡ e r tʰ e̝ t e
ἐγέρθητι	e ɡ e r tʰ e̝ t i
ἐγέρθητον	e ɡ e r tʰ e̝ t o n
ἐγέρρομεν	e ɡ e r r o m e n
ἐγίγνεσθε	ɡ i ɡ n e t ɛ
ἐγίγνεσθον	ɡ i ɡ n e t ɛ
ἐγίγνετο	e ɡ i ɡ n e t o
ἐγίγνοντο	e ɡ i ɡ n o n t o
ἐγίγνου	ɡ i ɡ n e t ɛ
ἐγγίγνομαι	e ŋ ɡ i ɡ n o m ɛ
ἐγγίζω	e ŋ ɡ i z o
ἐγγενικός	e ŋ ɡ e n i k o s
ἐγγιγνόμεναι	e ŋ ɡ i ɡ n o m e n ɛ
ἐγγιγνόμενος	e ŋ ɡ i ɡ n o m e n o s
ἐγγράφομαι	e ŋ ɡ r a f o m e
ἐγγράφω	e ŋ ɡ r a f o
ἐγγυαλίζω	e ŋ ɡ y a l i z o
ἐγγυθήκη	e ŋ ɡ y tʰ e̝ k e̝
ἐγγόνη	e ŋ ɡ o n e̝
ἐγγύη	e ŋ ɡ y e̝
ἐγγύθεν	e ŋ ɡ y tʰ e n
ἐγγύθι	e ŋ ɡ y tʰ i
ἐγγύς	e ŋ ɡ y s
ἐγγύτατα	e ŋ ɡ y t a t a
ἐγγύϊον	e ŋ ɡ y i o n
ἐγείνατο	e ɡ i n a t o
ἐγείραι	e ɡ i r ɛ
ἐγείραιεν	e ɡ i r ɛ e n
ἐγείραιμεν	e ɡ i r ɛ m e n
ἐγείραιμι	e ɡ i r ɛ m i
ἐγείραιντο	e ɡ i r ɛ n t o
ἐγείραιο	e ɡ i r ɛ o
ἐγείραις	e ɡ i r ɛ s
ἐγείραισθε	e ɡ i r ɛ s tʰ e
ἐγείραισθον	e ɡ i r ɛ s tʰ o n
ἐγείραιτε	e ɡ i r ɛ t e
ἐγείραιτο	e ɡ i r ɛ t o
ἐγείραιτον	e ɡ i r ɛ t o n
ἐγείρασθαι	e ɡ i r a s tʰ ɛ
ἐγείρασθε	e ɡ i r a s tʰ e
ἐγείρασθον	e ɡ i r a s tʰ o n
ἐγείρατε	e ɡ i r a t e
ἐγείρατον	e ɡ i r a t o n
ἐγείρει	e ɡ i r i
ἐγείρειαν	e ɡ i r i a n
ἐγείρειας	e ɡ i r i a s
ἐγείρειε	e ɡ i r i e
ἐγείρειν	e ɡ i r i n
ἐγείρεις	e ɡ i r i s
ἐγείρεσθαι	e ɡ i r e s tʰ ɛ
ἐγείρεσθε	e ɡ i r e s tʰ e
ἐγείρεσθον	e ɡ i r e s tʰ o n
ἐγείρεται	e ɡ i r e t ɛ
ἐγείρετε	e ɡ i r e t e
ἐγείρετον	e ɡ i r e t o n
ἐγείρησθε	e ɡ i r e̝ s tʰ e
ἐγείρησθον	e ɡ i r e̝ s tʰ o n
ἐγείρηται	e ɡ i r e̝ t ɛ
ἐγείρητε	e ɡ i r e̝ t e
ἐγείρητον	e ɡ i r e̝ t o n
ἐγείροι	e ɡ i r y
ἐγείροιεν	e ɡ i r y e n
ἐγείροιμεν	e ɡ i r y m e n
ἐγείροιμι	e ɡ i r y m i
ἐγείροιντο	e ɡ i r y n t o
ἐγείροιο	e ɡ i r y o
ἐγείροις	e ɡ i r y s
ἐγείροισθε	e ɡ i r y s tʰ e
ἐγείροισθον	e ɡ i r y s tʰ o n
ἐγείροιτε	e ɡ i r y t e
ἐγείροιτο	e ɡ i r y t o
ἐγείροιτον	e ɡ i r y t o n
ἐγείρομαι	e ɡ i r o m ɛ
ἐγείρομεν	e ɡ i r o m e n
ἐγείρονται	e ɡ i r o n t ɛ
ἐγείρου	e ɡ i r u
ἐγείρουσι	e ɡ i r u s i
ἐγείρουσιν	e ɡ i r u s i n
ἐγείρω	e ɡ i r o
ἐγείρωμαι	e ɡ i r o m ɛ
ἐγείρωμεν	e ɡ i r o m e n
ἐγείρωνται	e ɡ i r o n t ɛ
ἐγείρωσι	e ɡ i r o s i
ἐγείρῃ	e ɡ i r e̝
ἐγείρῃς	e ɡ i r e̝ s
ἐγειράντων	e ɡ eː r á n t ɔː n
ἐγειράσθω	e ɡ eː r á s tʰ ɔː
ἐγειράσθων	e ɡ eː r á s tʰ ɔː n
ἐγειράτω	e ɡ eː r á t ɔː
ἐγειράτων	e ɡ eː r á t ɔː n
ἐγειρέσθω	e ɡ eː r é s tʰ ɔː
ἐγειρέσθων	e ɡ eː r é s tʰ ɔː n
ἐγειρέτω	e ɡ eː r é t ɔː
ἐγειρέτων	e ɡ eː r é t ɔː n
ἐγειραίμεθα	e ɡ eː r ǎ i̯ m e tʰ a
ἐγειραίμην	e ɡ eː r ǎ i̯ m ɛː n
ἐγειραίσθην	e ɡ eː r ǎ i̯ s tʰ ɛː n
ἐγειραίτην	e ɡ eː r ǎ i̯ t ɛː n
ἐγειροίμεθα	e ɡ eː r ǒ i̯ m e tʰ a
ἐγειροίμην	e ɡ eː r ǒ i̯ m ɛː n
ἐγειροίσθην	e ɡ eː r ǒ i̯ s tʰ ɛː n
ἐγειροίτην	e ɡ eː r ǒ i̯ t ɛː n
ἐγειρόμεθα	e ɡ eː r ó m e tʰ a
ἐγειρόντων	e ɡ eː r ó n t ɔː n
ἐγειρώμεθα	e ɡ eː r ɔ̌ː m e tʰ a
ἐγενέσθην	ɡ i ɡ n e t ɛ
ἐγενήθη	ɡ i ɡ n e t ɛ
ἐγενήθημεν	ɡ i ɡ n e t ɛ
ἐγενήθην	e ɡ e n e̝ tʰ e̝ n
ἐγενήθης	ɡ i ɡ n e t ɛ
ἐγενήθησαν	e ɡ e n e̝ tʰ e̝ s a n
ἐγενήθητε	ɡ i ɡ n e t ɛ
ἐγενήθητον	ɡ i ɡ n e t ɛ
ἐγενηθήτην	ɡ i ɡ n e t ɛ
ἐγεννήθη	e ɡ e n n e̝ tʰ e̝
ἐγεννήθημεν	e ɡ e n n e̝ tʰ e̝ m e n
ἐγεννήθην	e ɡ e n n e̝ tʰ e̝ n
ἐγεννήθης	e ɡ e n n e̝ tʰ e̝ s
ἐγενόμεθα	ɡ i ɡ n e t ɛ
ἐγενόμην	e ɡ e n o m e̝ n
ἐγερθέντων	e ɡ e r tʰ e n t o n
ἐγερθήτω	e ɡ e r tʰ e̝ t o
ἐγερθήτων	e ɡ e r tʰ e̝ t o n
ἐγερθείη	e ɡ e r tʰ i e̝
ἐγερθείημεν	e ɡ e r tʰ i e̝ m e n
ἐγερθείην	e ɡ e r tʰ i e̝ n
ἐγερθείης	e ɡ e r tʰ i e̝ s
ἐγερθείησαν	e ɡ e r tʰ i e̝ s a n
ἐγερθείητε	e ɡ e r tʰ i e̝ t e
ἐγερθείητον	e ɡ e r tʰ i e̝ t o n
ἐγερθείτην	e ɡ e r tʰ i t e̝ n
ἐγερθειήτην	e ɡ e r tʰ eː ɛ̌ː t ɛː n
ἐγερθεῖεν	e ɡ e r tʰ i e n
ἐγερθεῖμεν	e ɡ e r tʰ i m e n
ἐγερθεῖτε	e ɡ e r tʰ i t e
ἐγερθεῖτον	e ɡ e r tʰ i t o n
ἐγερθῆναι	e ɡ e r tʰ e̝ n ɛ
ἐγερθῆτε	e ɡ e r tʰ e̝ t e
ἐγερθῆτον	e ɡ e r tʰ e̝ t o n
ἐγερθῇ	e ɡ e r tʰ e̝
ἐγερθῇς	e ɡ e r tʰ e̝ s
ἐγερθῶ	e ɡ e r tʰ o
ἐγερθῶμεν	e ɡ e r tʰ o m e n
ἐγερθῶσι	e ɡ e r tʰ o s i
ἐγερτέον	e ɡ e r t e o n
ἐγεῖραι	e ɡ i r ɛ
ἐγιγνέσθην	ɡ i ɡ n e t ɛ
ἐγιγνόμεθα	ɡ i ɡ n e t ɛ
ἐγιγνόμην	ɡ i ɡ n e t ɛ
ἐγκέλαδος	e ŋ k e l a d o s
ἐγκέφαλος	e ŋ k e pʰ a l o s
ἐγκαίνια	e ŋ k ǎ i̯ n i a
ἐγκαθίστημι	e ŋ k a tʰ i s t e̝ m i
ἐγκαθιδρύομαι	e ŋ k a tʰ i d r y o m ɛ
ἐγκαλέω	e ŋ k a l e o
ἐγκαταμίγνυμι	e ŋ k a t a m i ɡ n y m i
ἐγκαταστήσας	e ŋ k a t a s t e̝ s a s
ἐγκατοικέω	e ŋ k a t o i̯ k é ɔː
ἐγκείσονται	e ŋ k i s o n t ɛ
ἐγκεντρίς	e ŋ k e n t r i s
ἐγκεφάλου	e ŋ k e pʰ a l u
ἐγκλήμασι	e ŋ k l e̝ m a s i
ἐγκλήμασιν	e ŋ k l e̝ m a s i n
ἐγκλήματα	e ŋ k l e̝ m a t a
ἐγκλίσει	e ŋ k l i s i
ἐγκλίσεις	e ŋ k l i s i s
ἐγκλίσεσι	e ŋ k l i s e s i
ἐγκλίσεσιν	e ŋ k l i s e s i n
ἐγκλίσεων	e ŋ k l i s e o n
ἐγκλίσεως	e ŋ k l i s e o s
ἐγκλείομαι	e ŋ k l i o m ɛ
ἐγκλημάτων	e ŋ k l e̝ m a t o n
ἐγκληματικός	e ŋ k l e̝ m a t i k o s
ἐγκλισέοιν	e ŋ k l i s e y n
ἐγκλιτικός	e ŋ k l i t i k o s
ἐγκοίλια	e ŋ k y l i a
ἐγκράτεια	e ŋ k r a t i a
ἐγκρίς	e ŋ k r i s
ἐγκρασίχολος	e ŋ k r a s i kʰ o l o s
ἐγκρατές	e ŋ k r a t e s
ἐγκρατέσι	e ŋ k r a t e s i
ἐγκρατέσιν	e ŋ k r a t e s i n
ἐγκρατής	e ŋ k r a t e̝ s
ἐγκρατεύομαι	e ŋ k r a t e w o m ɛ
ἐγκρατεῖ	e ŋ k r a t i
ἐγκρατεῖς	e ŋ k r a t i s
ἐγκρατοῦς	e ŋ k r a t u s
ἐγκρατῆ	e ŋ k r a t e̝
ἐγκρατῶν	e ŋ k r a t o n
ἐγκρατῶς	e ŋ k r a t o s
ἐγκρυφίας	e ŋ k r y pʰ i a s
ἐγκρύπτω	e ŋ k r y p t o
ἐγκυκλίοιν	e ŋ k y k l i y n
ἐγκυκλίοις	e ŋ k y k l i y s
ἐγκυκλίου	e ŋ k y k l i u
ἐγκυκλίους	e ŋ k y k l i u s
ἐγκυκλίω	e ŋ k y k l i o
ἐγκυκλίων	e ŋ k y k l i o n
ἐγκυκλίῳ	e ŋ k y k l i o
ἐγκυκλιωτάτα	e ŋ k y k l i o t a t a
ἐγκυκλιωτάταιν	e ŋ k y k l i o t a t ɛ n
ἐγκυκλιωτάταις	e ŋ k y k l i o t a t ɛ s
ἐγκυκλιωτάτας	e ŋ k y k l i o t a t a s
ἐγκυκλιωτάτη	e ŋ k y k l i o t a t e̝
ἐγκυκλιωτάτην	e ŋ k y k l i o t a t e̝ n
ἐγκυκλιωτάτης	e ŋ k y k l i o t a t e̝ s
ἐγκυκλιωτάτοιν	e ŋ k y k l i o t a t y n
ἐγκυκλιωτάτοις	e ŋ k y k l i o t a t y s
ἐγκυκλιωτάτου	e ŋ k y k l i o t a t u
ἐγκυκλιωτάτους	e ŋ k y k l i o t a t u s
ἐγκυκλιωτάτω	e ŋ k y k l i o t a t o
ἐγκυκλιωτάτων	e ŋ k y k l i o t a t o n
ἐγκυκλιωτάτῃ	e ŋ k y k l i o t a t e̝
ἐγκυκλιωτάτῳ	e ŋ k y k l i o t a t o
ἐγκυκλιωτέρα	e ŋ k y k l i o t e r a
ἐγκυκλιωτέραιν	e ŋ k y k l i o t e r ɛ n
ἐγκυκλιωτέραις	e ŋ k y k l i o t e r ɛ s
ἐγκυκλιωτέραν	e ŋ k y k l i o t e r a n
ἐγκυκλιωτέρας	e ŋ k y k l i o t e r a s
ἐγκυκλιωτέροιν	e ŋ k y k l i o t e r y n
ἐγκυκλιωτέροις	e ŋ k y k l i o t e r y s
ἐγκυκλιωτέρου	e ŋ k y k l i o t e r u
ἐγκυκλιωτέρους	e ŋ k y k l i o t e r u s
ἐγκυκλιωτέρω	e ŋ k y k l i o t e r o
ἐγκυκλιωτέρων	e ŋ k y k l i o t e r o n
ἐγκυκλιωτέρᾳ	e ŋ k y k l i o t e r a
ἐγκυκλιωτέρῳ	e ŋ k y k l i o t e r o
ἐγκυκλιώτατα	e ŋ k y k l i o t a t a
ἐγκυκλιώταται	e ŋ k y k l i o t a t ɛ
ἐγκυκλιώτατε	e ŋ k y k l i o t a t e
ἐγκυκλιώτατοι	e ŋ k y k l i o t a t y
ἐγκυκλιώτατον	e ŋ k y k l i o t a t o n
ἐγκυκλιώτατος	e ŋ k y k l i o t a t o s
ἐγκυκλιώτερα	e ŋ k y k l i o t e r a
ἐγκυκλιώτεραι	e ŋ k y k l i o t e r ɛ
ἐγκυκλιώτερε	e ŋ k y k l i o t e r e
ἐγκυκλιώτεροι	e ŋ k y k l i o t e r y
ἐγκυκλιώτερον	e ŋ k y k l i o t e r o n
ἐγκυκλιώτερος	e ŋ k y k l i o t e r o s
ἐγκόμβωμα	e ŋ k o m b o m a
ἐγκύκλια	e ŋ k y k l i a
ἐγκύκλιε	e ŋ k y k l i e
ἐγκύκλιοι	e ŋ k y k l i y
ἐγκύκλιον	e ŋ k y k l i o n
ἐγκύκλιος	e ŋ k y k l i o s
ἐγκώμιον	e ŋ k o m i o n
ἐγνατία	e ɡ n a t i a
ἐγνωκέναι	e ɡ n o k e n ɛ
ἐγρήγοροι	e ɡ r e̝ ɡ o r y
ἐγρήγορος	e ɡ r e̝ ɡ o r o s
ἐγρήγορσις	e ɡ r e̝ ɡ o r s i s
ἐγρεκύδοιμος	e ɡ r e k y d y m o s
ἐγρεμάχης	e ɡ r e m a kʰ e̝ s
ἐγρηγόρσεως	e ɡ r e̝ ɡ o r s e o s
ἐγυμνώθησαν	e ɡ y m n o tʰ e̝ s a n
ἐγχέλυος	e ŋ kʰ e l y o s
ἐγχέω	e ŋ kʰ e o
ἐγχείη	e ŋ kʰ i e̝
ἐγχείρησις	e ŋ kʰ i r e̝ s i s
ἐγχείῃ	e ŋ kʰ i e̝
ἐγχείῃσι	e ŋ kʰ i e̝ s i
ἐγχείῃσιν	e ŋ kʰ i e̝ s i n
ἐγχειρέω	e ŋ kʰ eː r é ɔː
ἐγχειρίδιον	e ŋ kʰ eː r í d i o n
ἐγχειρεῖν	e ŋ kʰ eː r êː n
ἐγχρίω	e ŋ kʰ r i o
ἐγχώριος	e ŋ kʰ o r i o s
ἐγώ	e ɡ o
ἐγών	e ɡ o n
ἐγᾦδα	e ɡ o d a
ἐγᾦμαι	e ɡ o m ɛ
ἐδάην	e d a e̝ n
ἐδάμασσε	e d a m a s s e
ἐδάμασσεν	e d a m a s s e n
ἐδάμνα	e d a m n a
ἐδάφη	e d a pʰ e̝
ἐδέησα	e d e e̝ s a
ἐδέησεν	e d e e̝ s e n
ἐδέξαντο	e d e k s a n t o
ἐδέξατο	e d e k s a t o
ἐδέοντο	e d e o n t o
ἐδέχεσθε	e d e kʰ e s tʰ e
ἐδέχετο	e d e kʰ e t o
ἐδέχοντο	e d e kʰ o n t o
ἐδέχου	e d e kʰ u
ἐδήλου	e d e̝ l u
ἐδήλουν	e d e̝ l u n
ἐδήλους	e d e̝ l u s
ἐδήσατο	e d e̝ s a t o
ἐδεήθη	e d e e̝ tʰ e̝
ἐδεήθημεν	e d e e̝ tʰ e̝ m e n
ἐδεήθην	e d e e̝ tʰ e̝ n
ἐδεήθης	e d e e̝ tʰ e̝ s
ἐδεήθησαν	e d e e̝ tʰ e̝ s a n
ἐδεήθητε	e d e e̝ tʰ e̝ t e
ἐδείξαμεν	e d i k s a m e n
ἐδείσατε	e d i s a t e
ἐδεξάμεθα	e d e k s a m e tʰ a
