на	n a
москалькова	m ɔ s k a lʲ k ɔ v a
назарук	n a z a r u k
наземна	n a z ɛ m n a
напору	n a p ɔ r u
позабирали	p ɔ z a b i r a l i
покрито	p ɔ k r i t ɔ
помили	p ɔ m i l i
попарно	p ɔ p a r n o
поход	p ɔ x ɔ d
пригрозили	p r i ɡ r ɔ z i l i
прикус	p r i k u s
примикають	p r i m i k a j u tʲ
припасами	p r i p a s a m i
пробка	p r ɔ b k a
продажами	p r ɔ d a ʒ a m i
промзони	p r ɔ m z ɔ n i
прообраз	p r oː b r a z
пропонованих	p r ɔ p ɔ n ɔ v a n i x
рiзнi	r i z n i
радомишль	r a d ɔ m i ɕ lʲ
рамкою	r a m k ɔ j u
рифу	r i f u
родинним	r ɔ d i n n i m
розірвана	r ɔ z i r v a n a
сарани	s a r a n i
синапси	s i n a p s i
сонора	s ɔ n ɔ r a
твен	t ʋ ɛ n
трап	t r a p
хапають	x a p a j u tʲ
хроніку	x r ɔ n i k u
amx	ɑ m x
dab	d ɑː b
disease	d ɪ s ɛ ɑː s ɛ
docs	d o k s
drag	d ɾ ɑː ɡ
drake	d ɾ ɑː k ɛ
element	ɛ l ɛ m ɛ n t
giant	ɡ i ɑ n t
served	s ɛ ɾ v ɛ d
абрахама	a b r a x a m a
ама	a m a
ати	a tʰ i
базарах	b a z a r a x
газете	ɡ a z ɛ tʲ ɛ
гальмами	ɡ a ɮʲ m a m i
грива	ɡ r i v a
грижі	ɡ r i ʒ i
гризун	ɡ r i z u n
гроз	ɡ r ɔ z
денною	d ɛ n n ɔ j u
дроби	d r ɔ b i
ділитись	d i l i t i s ɪ
діловому	d i l ɔ v ɔ m u
женеться	ʒ ɛ n ɛ t ɪ s j ɑ
жим	ʒ i m
захистимо	z a x i s tʲ i m ɔ
ином	i n ɔ m
кама	k a m a
канонам	k a n ɔ n a m
карабах	k a r a b a x
кофта	k ɔ f t a
коха	k ɔ x a
лапка	ɮ a p k a
масивами	m a s i v a m i
маслини	m a s l i n i
маше	m a ɕ ɛ
морская	m ɔ r s k a j a
напросто	n a p r ɔ s t ɔ
незаможних	n ɛ z a m ɔ ʑ n i x
орали	ɔ r a l i
пасхальна	p a s x a ɮʲ n a
паху	p a x u
поглядам	p ɔ ɡ ɮʲ a d a m
погодинно	p ɔ ɡ ɔ d i n n o
пориву	p ɔ r i v u
пригадаймо	p r i ɣ a d ɛː m ɔ
примха	p r i m x a
прокоп	p r ɔ k ɔ p
роздягання	r ɔ z dʲ a ɣ a n nʲ a
сестро	s ɛ s t r ɔ
смислів	s m i s l i v
тона	t ɔ n a
фанами	f a n a m i
фарук	f a r u k
фотографу	f ɔ t ɔ ɡ r a f u
хибним	x i b n i m
храмами	x r a m a m i
drink	d ɾ ɪ ŋ k
erp	ɛ ɾ p
ie	i e
jest	ʒ ɛ s t
liga	l iː ɡ ɑː
panorama	p ɑ n ɔ ɾ ɑː m ɑ
psi	p s iː
silent	s ɪ l ɛ n t
survival	s ʊ ɾ v ɪ v ɑː l
ultimate	ʊ l t ɪ m ɑː t ɛ
vulcan	v ʊ l d͡ʒ ɑː n
арабську	a r a b sʲ k u
барси	b a r s i
бескид	b ɛ s k i d
боковими	b ɔ k ɔ v i m i
габон	ɡ a b ɔ n
годна	ɡ ɔ d n a
гоф	ɡ ɔ f
графах	ɡ r a f a x
дальньому	d a lʲ nʲ ɔ m u
донни	d ɔ n n i
дори	d ɔ r i
дідок	d i d ɔ k
еш	j ɛ ɕ
жердини	ʒ ɛ r d i n i
заганяють	z a ɣ a nʲ a j u tʲ
залито	z a l i t ɔ
засада	z a s a d a
заховано	z a x ɔ v a n o
зачати	z a t͡ɕ a tʲ i
звезд	z ʋ ɛ z d
згориш	z ɡ ɔ r i ɕ
казкаря	k a z k a rʲ a
канава	k a n a v a
каркасом	k a r k a s ɔ m
кож	k ɔ ʒ
мазепою	m a z ɛ p ɔ j u
мани	m a n i
мист	m i s t
миф	m i f
мокрою	m ɔ k r ɔ j u
нап	n a p
напрямних	n a p rʲ a m n i x
насипу	n a s i p u
нашем	n a ɕ ɛ m
низів	n i z i v
ниркових	n i r k ɔ v i x
пальмами	p a ɮʲ m a m i
пейс	p ɛ j s
питания	p i t a n i j a
питомою	p i t ɔ m ɔ j u
пожежною	p ɔ ʒ ɛ ʑ n ɔ j u
позачергово	p ɔ z a t͡ɕʰ ɛ r ɡ ɔ v ɔ
поправкою	p ɔ p r a w k ɔ j u
прибыль	p r i b i lʲ
прихожанами	p r i x ɔ ʑ a n a m i
прокляв	p r ɔ k lʲ a v
прописка	p r ɔ p i s k a
пупок	p u p ɔ k
підопічних	p i d ɔ p i t͡ɕ n i x
романових	r ɔ m a n ɔ v i x
ромба	r ɔ m b a
роном	r ɔ n ɔ m
сая	s a j a
скандалі	s k a n d a l i
спал	s p a ɮ
хомич	x ɔ m i t͡ʃ
хорта	x ɔ r t a
шістку	ʃ i s t k u
babe	b ɑː b ɛ
disabled	d ɪ s ɑː b l ɛ d
dp	d eː p eː
flags	f l ɑ ɡ s
scrum	ʃ ɾ ʊ m
tear	t ɛ ɑː ɾ
амон	a m ɔ n
баязида	b a j a z i d a
бинт	b i n t
боргову	b ɔ r ɡ ɔ v u
гоблін	ɡ ɔ b l i n
гордим	ɡ ɔ r d i m
грифи	ɡ r i f i
джемом	d͡ʒ ɛ m ɔ m
дискових	d i s k ɔ v i x
долинському	d ɔ l i n s ɪ k ɔ m u
донних	d ɔ n n i x
діркою	d i r k ɔ j u
забаву	z a b a v u
заливали	z a ɮ i v a l i
запросить	z a p r ɔ s i tʲ
здібним	z d i b n i m
зимово	z i m ɔ v ɔ
кармазіна	k a r m a z i n a
китом	k i t ɔ m
кобза	k ɔ b z a
командну	k ɔ m a n d n ʊ
красивому	k r a s i v ɔ m u
мармурова	m a r m ʊ r ɔ v a
маф	m a f
меха	m ɛ x ɑ
набирала	n a b i r a ɮ a
навс	n a w s
награды	n a ɡ r a d i
насосами	n a s ɔ s a m i
нию	n i j u
нра	n r a
обери	ɔ b ɛ r i
падишах	p a d i ɕ a x
пашею	p a ɕ ɛ j u
помию	p ɔ m i j u
помірну	p ɔ m i r n u
понд	p ɔ n d
поправками	p ɔ p r a w k a m i
проц	p r ɔ t͡sʰ
раднаркому	r a d n a r k ɔ m u
розмивання	r ɔ z m i v a n nʲ a
ромою	r ɔ m ɔ j u
роц	r ɔ t͡sʰ
саган	s a ɣ a n
сапку	s a p k u
старая	s t a r a j a
стаціонару	s t a t͡sʰ j ɔ n a r u
тромбоз	t r ɔ m b ɔ z
троном	t r ɔ n ɔ m
фазани	f a z a n i
формана	f ɔ r m a n a
францу	f r a n t͡sʰ u
фридрих	f r i d r i x
фронта	f r ɔ n t a
цехом	t͡sʰ ɛ x ɔ m
цик	t͡sʰ i k
щиток	ɕ i t ɔ k
яскравому	j a s k r a v ɔ m u
apart	ɑ p ɑ ɾ t
erasmus	ɛ ɾ ɑː s m ʊ s
steps	s t ɛ p s
tam	t ɑː m
trio	t ɾ i o
барнса	b a r n s a
бонсай	b ɔ n s ɛː
брод	b r ɔ d
бітами	b i t a m i
галину	ɡ a ɮ i n u
горища	ɡ ɔ r i ɕ t͡ɕ a
горобини	ɡ ɔ r ɔ b i n i
гортань	ɡ ɔ r t a nʲ
грозить	ɡ r ɔ z i tʲ
джордано	d͡ʒ ɔ r d a n o
дозою	d ɔ z ɔ j u
домов	d ɔ m ɔ v
епізодично	j ɛ p i z ɔ d i t͡ʃ n o
жеру	ʒ ɛ r u
зазор	z a z ɔ r
зрадникам	z r a d n i k a m
зібрану	z i b r a n u
избранное	i z b r a n n ɔ j ɛ
какашку	k a k a ɕ k u
катедра	k a tʲ ɛ d r a
киевской	k i j ɛ v s k ɔ j
космо	k ɔ s m ɔ
крамар	k r a m a r
лимит	l i m i t
марних	m a r n i x
мирова	m i r ɔ v a
мозолів	m ɔ z ɔ l i v
монарху	m ɔ n a r x u
мігрант	m i ɡ r a n t
міною	m i n ɔ j u
нивою	n i v ɔ j u
обробили	ɔ b r ɔ b i l i
орхан	ɔ r x a n
паразитом	p a r a z i t ɔ m
пеппер	p ɛ p p ɛ r
пеппі	p ɛ p p i
радом	r a d ɔ m
сез	s ɛ z
сосну	s ɔ s n ʊ
трус	t r ʊ s
фоми	f ɔ m i
фізикою	f i z i k ɔ j u
халва	x a ɮ v a
хапати	x a p a tʲ i
хибними	x i b n i m i
щoб	ɕ oː b
cas	d͡ʒ ɑː s
cast	d͡ʒ ɑ s t
cave	d͡ʒ ɑː v ɛ
ces	d͡ʒ ɛ s
estate	ɛ s t ɑː t ɛ
fan	f ɑ n
genesis	ɡ ɛ n ɛ s ɪ s
mis	m ɪ s
otis	o t i s
pace	p ɑː d͡ʒ ɛ
task	t ɑ s k
vga	v ɡ ɑː
бант	b a n t
барбару	b a r b a r u
бн	b ə n
гербор	ɡ ɛ r b ɔ r
грат	ɡ r a t
гродно	ɡ r ɔ d n o
дамой	d a m ɔ j
доказову	d ɔ k a z ɔ v u
дур	d ʊ r
замов	z a m ɔ v
зональних	z ɔ n a lʲ n i x
кадрова	k a d r ɔ v a
камп	k a m p
канаву	k a n a v u
карпова	k a r p ɔ v a
колискову	k ɔ l i s k ɔ v u
корку	k ɔ r k u
косих	k ɔ s i x
красное	k r a s n ɔ j ɛ
крум	k r ʊ m
магара	m a ɣ a r a
майн	m ɛː n
манту	m a n t u
марсом	m a r s ɔ m
мартіну	m a r tʰ i n u
мают	m a j u t
моргун	m ɔ r ɡ ʊ n
наборами	n a b ɔ r a m i
намазати	n a m a z a tʲ i
нация	n a t͡sʰ i j a
наявним	n a j a v n i m
паж	p a ʒ
паламар	p a ɮ a m a r
панахиду	p a n a x i d u
паю	p a j u
покарать	p ɔ k a r a tʲ
привода	p r i v ɔ d a
приліт	p r i l i t
продажам	p r ɔ d a ʒ a m
підгот	p i d ɡ ɔ t
радгосп	r a d ɡ ɔ s p
различных	r a z ɮ i t͡ɕʰ n i x
родинними	r ɔ d i n n i m i
самопізнання	s a m ɔ p i z n a n nʲ a
саморобних	s a m ɔ r ɔ b n i x
сбивать	s b i v a tʲ
сосисок	s ɔ s i s ɔ k
сосок	s ɔ s ɔ k
сохо	s ɔ x ɔ
стодоли	s t ɔ d ɔ l i
таллінн	t a ɮː i n
токсикоз	t ɔ k s i k ɔ z
фондовому	f ɔ n d ɔ v ɔ m u
хабарника	x a b a r n i k a
хронічну	x r ɔ n i t͡ʃ n u
янцзи	j a n t͡sʰ z i
begun	b ɛ ɡ ʊ n
darkness	d ɑː ɾ k n ɛ s
eff	ɛ f
fill	f ɪ l
pol	p o l
presence	p ɾ ɛ s ɛ n d͡ʒ ɛ
smoke	s m oː k ɛ
sn	s n
snap	s n ɑː p
алмазами	a ɮ m a z a m i
аргус	a r ɡ ʊ s
басараб	b a s a r a b
болісним	b ɔ l i s n i m
бібер	b i b ɛ r
білозір	b i l ɔ z i r
долинами	d ɔ l i n a m i
домінантою	d ɔ m i n a n t ɔ j u
доносить	d ɔ n ɔ s i tʲ
дорна	d ɔ r n a
дохлая	d ɔ x ɮ a j a
захватом	z a x v a t ɔ m
здана	z d a n a
зимку	z i m k u
йордану	j ɔ r d a n u
казаков	k a z a k ɔ v
капрала	k a p r a ɮ a
каспер	k a s pʲ ɛ r
клопів	k l ɔ p i v
костопіль	k ɔ s t ɔ p i lʲ
крота	k r ɔ t a
липова	l i p ɔ v a
мазати	m a z a tʲ i
мармуром	m a r m ʊ r ɔ m
мару	m a r u
машинально	m a ɕ i n a lʲ n o
мозоль	m ɔ z ɔ lʲ
назара	n a z a r a
натяками	n a tʲ a k a m i
нафтову	n a f t ɔ v u
ножиць	n ɔ ʑ i t͡sʲ
номінована	n ɔ m i n ɔ v a n a
отранто	ɔ t r a n t ɔ
покликаних	p ɔ k l i k a n i x
покликано	p ɔ k l i k a n o
поминальних	p ɔ m i n a lʲ n i x
поппінс	p ɔ p p i n s
призами	p r i z a m i
пробивали	p r ɔ b i v a l i
проміжну	p r ɔ m i ʒ n u
підробок	p i d r ɔ b ɔ k
підсобних	p i d s ɔ b n i x
пішого	p i ʃ ɔ ɡ ɔ
рискою	r i s k ɔ j u
розрізання	r ɔ z r i z a n nʲ a
сидора	s i d ɔ r a
смітом	s m i t ɔ m
снес	s n ɛ s
соли	s ɔ l i
соха	s ɔ x a
срану	s r a n u
старух	s t a r ʊ x
фотографую	f ɔ t ɔ ɡ r a f u j u
фіскальних	f i s k a lʲ n i x
хартію	x a r tʰ i j u
хая	x a j a
хіппі	x i p p i
яно	j a n o
яша	j a ɕ a
clever	d͡ʒ l ɛ v ɛ ɾ
emirates	ɛ m ɪ ɾ ɑː t ɛ s
femme	f ɛ m m ɛ
fiesta	f i ɛ s t ɑː
herald	h ɛ ɾ ɑː l d
latest	l ɑː t ɛ s t
ore	oː ɾ ɛ
oss	o s
pesa	p ɛ s ɑː
saab	s ɑː b
sabre	s ɑː b ɾ ɛ
sell	s ɛ l
senior	s ɛ n i oː ɾ
sum	s ʊ m
trident	t ɾ ɪ d ɛ n t
анд	a n d
базікають	b a z i k a j u tʲ
бани	b a n i
басу	b a s u
бичко	b i t͡ʃ k ɔ
божка	b ɔ ʒ k a
браяна	b r a j a n a
гансом	ɡ a n s ɔ m
гел	ɡ ɛ l
горы	ɡ ɔ r i
дамб	d a m b
данько	d a nʲ k ɔ
джазі	d͡ʒ a z i
джино	d͡ʒ i n o
джині	d͡ʒ i n i
джонсом	d͡ʒ ɔ n s ɔ m
димова	d i m ɔ v a
доски	d ɔ s k i
епік	j ɛ p i k
жирну	ʒ i r n u
завис	z a vʲ i s
загар	z a ɣ a r
зет	z ɛ t
знаковою	z n a k ɔ v ɔ j u
зоны	z ɔ n i
индия	i n d i j a
карою	k a r ɔ j u
кашкет	k a ɕ kʲ ɛ t
кліматична	k l i m a tʲ i t͡ʃ n a
левона	l ɛ v ɔ n a
листових	l i s t ɔ v i x
меди	m ɛ d i
монт	m ɔ n t
напалмом	n a p a ɮ m ɔ m
немцы	n ɛ m t͡sʰ i
обробіток	ɔ b r ɔ b i t ɔ k
оформить	ɔ f ɔ r m i tʲ
писком	p i s k ɔ m
пишною	p i ɕ n ɔ j u
подихом	p ɔ d i x ɔ m
подолян	p ɔ d ɔ l j a n
постави	p ɔ s t a vʲ i
пригодою	p r i ɡ ɔ d ɔ j u
прикордонним	p r i k ɔ r d ɔ n n i m
пристава	p r i s t a v a
прозою	p r ɔ z ɔ j u
пропискою	p r ɔ p i s k ɔ j u
профиль	p r ɔ f i lʲ
пташко	p t a ɕ k ɔ
пхають	p x a j u tʲ
пізнім	p i z n i m
пім	p i m
розвалом	r ɔ z v a l ɔ m
ромб	r ɔ m b
самоти	s a m ɔ tʲ i
тас	t a s
трамваями	t r a m v a j a m i
фавор	f a v ɔ r
хасан	x a s a n
хорс	x ɔ r s
шашку	ɕ a ɕ k u
ширша	ɕ i r ɕ a
яги	j a ɡ i
якима	j a k i m a
bone	b oː n ɛ
cases	d͡ʒ ɑː s ɛ s
dry	d ɾ iː
nest	n ɛ s t
pb	p eː b eː
piano	p i ɑː n o
purple	p ʊ ɾ p l ɛ
stern	s t ɛ ɾ n
taken	t ɑː k ɛ n
usp	ʊ s p
val	v ɑ l
yep	j ɛ p
азкабану	a z k a b a n u
анонсовано	a n ɔ n s ɔ v a n o
арфа	a r f a
ац	a t͡sʰ
бабками	b a p k a m i
базікало	b a z i k a l o
бездомним	b ɛ z d ɔ m n i m
безе	b ɛ z ɛ
безневинних	b ɛ z n ɛ v i n n i x
богинею	b ɔ ɡ i n ɛ j u
ганн	ɡ a n
гоголів	ɡ ɔ ɡ ɔ l i v
джиро	d͡ʒ i r oː
дизелів	d i z ɛ l i v
жен	ʒ ɛ n
живая	ʒ i v a j a
залишком	z a l i ɕ k ɔ m
запада	z a p a d a
запасна	z a p a s n a
коню	k ɔ n j u
кохан	k ɔ x a n
маас	m aː s
моп	m ɔ p
міхи	m i x i
міхуром	m i x ʊ r ɔ m
наф	n a f
обходилися	ɔ b x ɔ d i l i s j a
опришко	ɔ p r i ɕ k ɔ
орлів	ɔ r l i v
особ	ɔ s ɔ b
отриманою	ɔ t r i m a n ɔ j u
падма	p a d m a
парканами	p a r k a n a m i
пнпу	p ə n p u
прикрасах	p r i k r a s a x
примітку	p r i m i t k u
прискорить	p r i s k ɔ r i tʲ
промаху	p r ɔ m a x u
піхотна	p i x ɔ t n a
разные	r a z n i j ɛ
раною	r a n ɔ j u
розіграшів	r ɔ z i ɡ r a ɕ i v
самокат	s a m ɔ k a t
санду	s a n d u
севен	s ɛ v ɛ n
стримано	s t r i m a n o
трансу	t r a n s u
тропи	t r ɔ p i
ферб	f ɛ r b
формальними	f ɔ r m a lʲ n i m i
ханти	x a n tʰ i
хармс	x a r m s
христофор	x r i s t ɔ f ɔ r
циркових	t͡sʰ i r k ɔ v i x
цифровой	t͡sʰ i f r ɔ v ɔ j
чайною	t͡ɕ ɛː n ɔ j u
чаном	t͡ɕ a n ɔ m
ярка	j a r k a
aac	ɑː d͡ʒ
csi	d͡ʒ s iː
disk	d ɪ s k
ef	ɛ f
hurt	h ʊ ɾ t
levels	l ɛ v ɛ l s
mag	m ɑː ɡ
midi	m iː d i
nemo	n ɛ m oː
observer	o b s ɛ ɾ v ɛ ɾ
ultras	ʊ l t ɾ ɑː s
абрамова	a b r a m ɔ v a
аконіт	a k ɔ n i t
амбер	a m bʲ ɛ r
арройо	a r r ɔ j oː
аю	a j u
барвах	b a r v a x
брам	b r a m
бронею	b r ɔ n ɛ j u
газовою	ɡ a z ɔ v ɔ j u
гарбор	ɡ a r b ɔ r
горват	ɡ ɔ r v a t
града	ɡ r a d a
гумус	ɡ ʊ m ʊ s
дамам	d a m a m
джекпот	d͡ʒ ɛ k p ɔ t
диканька	d i k a nʲ k a
дорама	d ɔ r a m a
еб	j ɛ b
жирова	ʒ i r ɔ v a
жорна	ʒ ɔ r n a
загреб	z a ɡ rʲ ɛ b
заманюють	z a m a nʲ u j u tʲ
замахом	z a m a x ɔ m
замерзнуть	z a mʲ ɛ r z n ʊ tʲ
захара	z a x a r a
зносили	z n ɔ s i l i
кліфф	k l i f f
кобили	k ɔ b i l i
корзина	k ɔ r z i n a
корні	k ɔ r n i
мандарина	m a n d a r i n a
мировая	m i r ɔ v a j a
митниками	m i t n i k a m i
мікрон	m i k r ɔ n
надсилаю	n a d s i ɮ a j u
нападником	n a p a d n i k ɔ m
одіозних	ɔ d j ɔ z n i x
озимі	ɔ z i m i
окс	ɔ k s
ооп	oː p
оправа	ɔ p r a v a
осики	ɔ s i k i
палацово	p a ɮ a t͡sʰ ɔ v ɔ
парадигму	p a r a d i ɡ m u
пашко	p a ɕ k ɔ
пишем	p i ɕ ɛ m
платіжна	p ɮ a tʲ i ʒ n a
позначаючи	p ɔ z n a t͡ɕ a j u t͡ɕʰ i
помри	p ɔ m r i
пригодами	p r i ɡ ɔ d a m i
приправами	p r i p r a v a m i
пірнають	p i r n a j u tʲ
разова	r a z ɔ v a
рафала	r a f a ɮ a
самкою	s a m k ɔ j u
смарагд	s m a r a ɡ d
фриз	f r i z
хопу	x ɔ p u
ць	t͡sʰ
шур	ʃ ʊ r
aiesec	ɑ j ɛ s ɛ d͡ʒ
alternate	ɑ l t ɛ ɾ n ɑː t ɛ
basf	b ɑ s f
became	b ɛ d͡ʒ ɑː m ɛ
helen	h ɛ l ɛ n
marks	m ɑ ɾ k s
polski	p o l s k i
адоніса	a d ɔ n i s a
азарту	a z a r̥ tʰ u
апф	a p f
бакай	b a k ɛː
боко	b ɔ k o
гани	ɡ a n i
гонта	ɡ ɔ n t a
дате	d a tʲ ɛ
денс	d ɛ n s
депп	d ɛ p p
дочко	d ɔ t͡ʃ k ɔ
дірою	d i r ɔ j u
едіп	j ɛ d i p
збитком	z b i t k ɔ m
збитому	z b i t ɔ m u
знания	z n a n i j a
казакова	k a z a k ɔ v a
камара	k a m a r a
кандидатська	k a n d i d a t sʲ k a
компосту	k ɔ m p ɔ s t u
кондо	k ɔ n d ɔ
копитних	k ɔ p i t n i x
кривавою	k r i v a v ɔ j u
крихка	k r i x k a
лесею	l ɛ s ɛ j u
лимар	l i m ɑ r
маслу	m a s ɮ u
масон	m a s ɔ n
мастил	m a s tʲ i l
меле	m ɛ lʲ ɛ
миси	m i s i
мідними	m i d n i m i
надлишковий	n a d ɮ i ɕ k ɔ v iː
нда	n d a
ника	n i k a
описания	ɔ p i s a n i j a
опыта	ɔ p i t a
прибігла	p r i b i ɡ l a
прикривали	p r i k r i v a l i
піратом	p i r a t ɔ m
равель	r a vʲ ɛ lʲ
ранці	r a n t͡sʰ
розою	r ɔ z ɔ j u
розраду	r ɔ z r a d u
сип	s i p
содом	s ɔ d ɔ m
строгому	s t r ɔ ɡ ɔ m u
табелі	t a bʲ ɛ lʲ i
томсон	t ɔ m s ɔ n
тривог	t r i v ɔ ɡ
фотона	f ɔ t ɔ n a
ход	x ɔ d
хорт	x ɔ r t
цею	t͡sʰ ɛ j u
шток	ʃ t ɔ k
ben	b ɛ n
cook	d͡ʒ uː k
cum	d͡ʒ ʊ m
dal	d ɑː l
jade	ʒ ɑː d ɛ
sam	s ɑː m
sana	s ɑː n ɑ
silence	s ɪ l ɛ n d͡ʒ ɛ
toys	t o j s
ампір	a m pʰ i r
ашраф	a ɕ r a f
базаром	b a z a r ɔ m
барб	b a r b
башня	b a ɕ nʲ a
бегу	b ɛ ɡ u
берил	b ɛ r i l
ганяв	ɡ a nʲ a v
гасом	ɡ a s ɔ m
гомон	ɡ ɔ m ɔ n
грани	ɡ r a n i
даф	d a f
дротами	d r ɔ t a m i
женихи	ʒ ɛ n i x i
жур	ʒ ʊ r
залишкова	z a l i ɕ k ɔ v a
запалила	z a p a ɮ i ɮ a
запашна	z a p a ɕ n a
запорозький	z a p ɔ r ɔ z ɪ k iː
заслугами	z a s ɮ ʊ ɣ a m i
знадвору	z n a d v ɔ r u
зор	z ɔ r
италия	i t a l i j a
йонів	j ɔ n i v
казкову	k a z k ɔ v u
каравану	k a r a v a n u
каркаси	k a r k a s i
касим	k a s i m
кассіно	k a s i n o
кин	k i n
козі	k ɔ z i
коші	k ɔ ʃ i
крис	k r i s
лазить	l a z i tʲ
мiстi	m i s t i
мамонт	m a m ɔ n t
мифы	m i f i
морозами	m ɔ r ɔ z a m i
мостових	m ɔ s t ɔ v i x
мітли	m i t l i
набраний	n a b r a n iː
носика	n ɔ s i k a
обен	ɔ b ɛ n
оливу	ɔ l i v u
пабу	p a b u
пандора	p a n d ɔ r a
парадним	p a r a d n i m
писк	p i s k
пишним	p i ɕ n i m
попову	p ɔ p ɔ v u
припиню	p r i p i n j u
пропажу	p r ɔ p a ʒ u
проходах	p r ɔ x ɔ d a x
рафа	r a f a
рогова	r ɔ ɡ ɔ v a
розносить	r ɔ z n ɔ s i tʲ
сарафани	s a r a f a n i
сит	s i t
сте	s tʲ ɛ
стравах	s t r a v a x
страниц	s t r a n i t͡sʰ
трохим	t r ɔ x i m
фарах	f a r a x
шрамом	ʃ r a m ɔ m
шух	ʃ ʊ x
avc	ɑː v d͡ʒ
cultural	d͡ʒ ʊ l t ʊ ɾ ɑː l
nk	ŋ k
vito	v i t o
агрессия	a ɡ rʲ ɛ s s i j a
азар	a z a r
амара	a m a r a
анаконда	a n a k ɔ n d a
афганських	a f ɡ a n sʲ kʲ i x
базисних	b a z i s n i x
барби	b a r b i
батькова	b a tʲ k ɔ v a
бойс	b ɔ j s
бона	b ɔ n a
брижі	b r i ʒ i
