на	n a
кончину	k ɔ n t͡ɕ i n u
крат	k r a t
кредиторам	k rʲ ɛ d i t ɔ r a m
кровеносные	k r ɔ ʋ ɛ n o s n i j ɛ
крота	k r ɔ t a
кроха	k r ɔ x a
круза	k r u z a
крупье	k r u p ɪ j ɛ
куни	k u nʲ i
куру	k u r u
латинское	l a tʲ i n s k ɔ j ɛ
логос	l ɔ ɡ ɔ s
локальное	l ɔ k a lʲ n ɔ j ɛ
лузер	l u z ɛ r
манифесте	m a n i fʲ ɛ s tʲ ɛ
маньяки	m a nʲ j a kʲ
маразм	m a r a z m
медведю	m ɛ d ʋ ɛ d j u
метрополь	m ɛ t r ɔ p ɔ lʲ ɪ
механикой	m ɛ x a n i k ɔ j
мику	m i k u
могильный	m ɔ ɡ i ɮʲ n i j
мокром	m ɔ k r ɔ m
мохаммад	m ɔ x a m m a d
мукам	m u k a m
мутная	m u t n a j a
наказ	n a k a z
намекаю	n a mʲ ɵ k a j u
нанесением	n a nʲ ɛ s ɛ n i j ɛ m
натяжкой	n a tʲ a ʒ k ɔ j
незнакомы	n ɛ z n a k ɔ m i
непредсказуем	n ɛ p rʲ ɛ d s k a z u j ɛ m
непредсказуемо	n ɛ p rʲ ɛ d s k a z u j ɛ m ɔ
нефте	n ɛ f tʲ ɛ
никодим	n i k ɔ d i m
ниццу	n i t͡sʰ u
обаянием	ɔ b a j a n i j ɛ m
обещаем	ɔ b ɛ ɕ t͡ɕ a j ɛ m
обладающим	ɔ b l a d a j u ɕ t͡ɕ i m
облику	ɔ b l i k u
обоймы	ɔ b ɔ j m i
обычаях	ɔ b i t͡ɕ a j a x
онни	ɔ n n i
ослаблять	ɔ s l a b ɮʲ a tʲ
отвергнуто	ɔ t ʋ ɛ r ɡ n u t ɔ
очагом	ɔ t͡ɕ a ɡ ɔ m
оэз	o e z
павлодар	p a w ɮ ɔ d a r
пазл	p a z ə l
пашет	p a ɕ ɛ t
питал	p i t a l
плоскостях	p l ɔ s k ɔ s tʲ a x
пмс	p a m s
подбросить	p ɔ d b r ɔ s i tʲ
подлинную	p ɔ d l i n n u j u
поднести	p ɔ d nʲ ɛ s tʲ i
подоле	p ɔ d ɔ lʲ ɛ
познанию	p ɔ z n a n i j u
порядочная	p ɔ rʲ a d ɔ t͡ɕ n a j a
порядочно	p ɔ rʲ a d ɔ t͡ɕ n o
потрогал	p ɔ t r ɔ ɡ a l
похолодания	p ɔ x ɔ l ɔ d a n i j a
приглашу	p r i ɡ l a ɕ u
продуманной	p r ɔ d u m a n n ɔ j
прок	p r ɔ k
промежутка	p r ɔ mʲ ɛ ʑ u t k a
простоять	p r ɔ s t ɔ j a tʲ
протестных	p r ɔ tʲ ɛ s t n i x
протянула	p r ɔ tʲ a n u l a
проходных	p r ɔ x ɔ d n i x
пудра	p u d r a
пук	p u k
пущены	p u ɕ t͡ɕ ɛ n i
разительно	r a z i tʲ ɛ lʲ ɪ n o
разработают	r a z r a b ɔ tʰ a j u t
рангом	r a ŋ ɡ ɔ m
расслоения	r a s s l ɔ j ɛ n i j a
режиссура	rʲ ɛ ʑ i s s u r a
рисуя	r i s u j a
ронда	r ɔ n d a
рэб	r e b
самарских	s a m a r s kʲ i x
сбыту	s b i t u
свининой	s ʋ i n i n ɔ j
сводку	s ʋ ɔ d k u
сдохли	s d ɔ x ɮ i
сенегал	s ɛ n ɛ ɡ a l
сессией	s ɛ s s i j ɛ j
складской	s k l a d s k ɔ j
склероза	s k lʲ ɛ r ɔ z a
скучна	s k u t͡ɕ n a
словесные	s l ɔ ʋ ɛ s n i j ɛ
соболя	s ɔ b ɔ lʲ a
сопла	s ɔ p l a
сото	s ɔ t ɔ
станках	s t a ŋ k a x
старз	s t a r z
стирку	s tʲ i r k u
столп	s t ɔ l p
сумах	s u m ə x
съёмку	s j ɔ m k u
тань	t a nʲ
топаз	t ɔ p a z
топтать	t ɔ p t a tʲ
торфяной	t ɔ r fʲ a n ɔ j
уберу	u bʲ ɛ r u
угас	u ɣ a s
украдено	u k r a dʲ ɛ n o
украсит	u k r a s i t
улуса	u ɮ u s a
умрём	u m rʲ ɔ m
усугубляет	u s u ɡ u b ɮʲ a j ɛ t
фанатизм	f a n a tʲ i z m
фермерского	f ɛ r m ɛ r s k ɔ ɡ ɔ
фра	f r a
фран	f r a n
хоппер	x ɔ p pʲ ɛ r
чепуху	t͡ɕ ɛ p u x u
чернокожие	t͡ɕ ɛ r n ɔ k ɔ ʑ i j ɛ
чищу	t͡ɕ i ɕ u
чьему	t͡ɕ j ɛ m u
шапочке	ɕ a p ɔ t͡ɕ kʲ ɛ
эммой	e m m ɔ j
южане	j u ʑ a nʲ ɛ
юте	j u tʲ ɛ
якуба	j a k u b a
base	b a s e
bitch	b i t͡ʃ
bosch	b o ʃ
chip	t͡ʃ i p
close	k l o s e
compact	k o m p a k t
custom	k u s t o m
enemy	e n e m i
fis	f i s
myself	m i s e l f
nine	n i n e
phantom	f a n t o m
pistols	p i s t o l s
plan	p l a n
resort	r e s o r t
used	u s e d
wish	w i ʃ
адресованы	a d rʲ ɛ s ɔ ʋ a n i
алмазные	a ɮ m a z n i j ɛ
алых	a ɮ i x
андрее	a n d rʲ ɛ j ɛ
апа	a p a
арматурой	a r m a tʰ u r ɔ j
армянское	a r mʲ a n s k ɔ j ɛ
атомным	a tʰ ɔ m n i m
аю	a j u
бабам	b a b a m
бада	b a d a
башнефть	b a ɕ nʲ ɛ f tʲ
безопасна	b ɛ z ɔ p a s n a
безрассудно	b ɛ z r a s s u d n o
белаз	b ɛ l a z
берд	b ɛ r d
бодрым	b ɔ d r i m
броди	b r ɔ d i
бугор	b u ɡ ɔ r
варю	ʋ a rʲ u
верка	ʋ ɛ r k ɑ
вирусу	ʋ i r u s u
водам	ʋ ɔ d a m
волновали	ʋ ɔ l n ɔ ʋ a l i
воскресная	ʋ ɔ s k rʲ ɛ s n a j a
вскрыла	ʋ s k r i ɮ a
выемку	ʋ i j ɛ m k u
выкурить	ʋ i k u r i tʲ
газпроме	ɡ a z p r ɔ mʲ ɛ
генсеком	ɡ ɛ n s ɛ k ɔ m
гиббонс	ɡ i b b ɔ n s
гиены	ɡ i j ɛ n i
гласным	ɡ l a s n i m
гоголю	ɡ ɔ ɡ ɔ lʲ u
горбун	ɡ ɔ r b u n
горна	ɡ ɔ r n a
городках	ɡ ɔ r ɔ d k a x
грунтом	ɡ r u n t ɔ m
далась	d a ɮ a sʲ
дейенерис	d ɛ j ɛ n ɛ r i s
декрете	d ɛ k rʲ ɛ tʲ ɛ
дерзкое	d ɛ r z k ɔ j ɛ
джу	d͡ʒ u
диску	d i s k u
добил	d ɔ b i l
егерь	j ɛ ɡ ɛ r ɪ
ефимовой	j ɛ f i m ɔ ʋ ɔ j
загрязнению	z a ɡ rʲ a z nʲ ɛ n i j u
заполнению	z a p ɔ l nʲ ɛ n i j u
зн	z ə n
зрению	z rʲ ɛ n i j u
избе	j z bʲ ɛ
именным	i m ɛ n n i m
исходим	j i s x ɔ d i m
канарских	k a n a r s kʲ i x
капрала	k a p r a ɮ a
капсул	k a p s u l
караганды	k a r a ɣ a n d i
килограммы	k i ɮ ɔ ɡ r a m m i
кипрской	k i p r s k ɔ j
кислых	k i s l i x
кладёт	k l a dʲ ɔ t
колыма	k ɔ l i m a
красноярские	k r a s n ɔ j a r s kʲ i j ɛ
крестная	k rʲ ɛ s t n a j a
крошкой	k r ɔ ɕ k ɔ j
крылу	k r i ɮ u
крымскими	k r i m s k i m i
крюка	k rʲ u k a
кус	k u s
кучкой	k u t͡ɕ k ɔ j
кучмы	k u t͡ɕ m i
лено	l ɛ n o
лондонские	l ɔ n d ɔ n s k i j ɛ
лофт	l ɔ f t
мандела	m a n dʲ ɛ l a
мелком	m ɛ l k ɔ m
микола	m i k ɔ l a
минутам	m i n u t a m
модную	m ɔ d n u j u
мозер	m ɔ z ɛ r
мосул	m ɔ s u l
наденьте	n a dʲ ɛ nʲ tʲ ɛ
низа	n i z a
новенькой	n ɔ ʋ ɛ n ɪ k ɔ j
обложить	ɔ b l ɔ ʑ i tʲ
обоснованием	ɔ b ɔ s n ɔ ʋ a n i j ɛ m
обузой	ɔ b u z ɔ j
огромны	ɔ ɡ r ɔ m n i
оказано	ɔ k a z a n o
оклахомы	ɔ k l a x ɔ m i
опухолью	ɔ p u x ɔ lʲ j u
освобожденные	ɔ s ʋ ɔ b ɔ ʑ d͡ʑ ɛ n n i j ɛ
осям	ɔ s j a m
отброшены	ɔ t b r ɔ ɕ e n i
отвалите	ɔ t ʋ a l i tʲ ɛ
отвечающим	ɔ t ʋʲ ɛ t͡ɕ a j u ɕ t͡ɕ i m
очерке	ɔ t͡ɕ ɛ r kʲ ɛ
пандора	p a n d ɔ r a
парфюм	p a r fʲ u m
пашей	p a ɕ ɛ j
печет	p ɛ t͡ɕ ɛ t
пико	p i k o
племенем	p l ɛ m ɛ n ɛ m
победных	p ɔ b ɛ d n i x
повернулись	p ɔ ʋ ɛ r n u l i s ɪ
погнал	p ɔ ɡ n a l
подало	p ɔ d a l o
подаренные	p ɔ d a rʲ ɛ n n i j ɛ
подводное	p ɔ d ʋ ɔ d n o j ɛ
подлог	p ɔ d l ɔ ɡ
поедания	p ɔ j ɛ d a n i j a
полемике	p ɔ lʲ ɛ m i kʲ ɛ
помогающих	p ɔ m ɔ ɡ a j u ɕ t͡ɕ i x
послана	p ɔ s l a n a
поспал	p ɔ s p a l
посудой	p ɔ s u d ɔ j
потребляемой	p ɔ t rʲ ɛ b lʲ a j ɛ m ɔ j
потусить	p ɔ t u s i tʲ
почете	p ɔ t͡ɕ ɛ tʲ ɛ
поющий	p ɔ j u ɕ t͡ɕ i j
предстанут	p rʲ ɛ d s t a n u t
прил	p r i l
приманка	p r i m a ŋ k a
проблемная	p r ɔ b lʲ ɛ m n a j a
пролететь	p r ɔ lʲ ɛ tʲ ɛ tʲ ɪ
просчитать	p r ɔ s t͡ɕ i t a tʲ
путаю	p u t a j u
пфо	p f ɔ
размять	r a z mʲ a tʲ
разобравшись	r a z ɔ b r a w̜ ɕ i sʲ
разыскали	r a z i s k a l i
рафа	r a f a
риза	r i z a
роком	r ɔ k ɔ m
роскошным	r ɔ s k ɔ ɕ n i m
россини	r ɔ s i n i
рубашках	r u b a ɕ k a x
рукописные	r u k ɔ p i s n i j ɛ
рыбин	r i b i n
рыдания	r i d a n i j a
рэм	r e m
саморазвития	s a m ɔ r a z vʲ i tʲ i j a
секретность	s ɛ k rʲ ɛ t n o s tʲ
секу	s ɛ k u
сервисные	s ɛ r ʋ i s n i j ɛ
сервисный	s ɛ r ʋ i s n i j
сервису	s ɛ r ʋ i s u
сит	s i t
сиянием	s i j a n i j ɛ m
смеши	s mʲ ɛ ɕ i
снабдил	s n a b dʲ i l
соберись	s ɔ b ɛ r i s ɪ
соединит	s ɔ j ɛ d i n i t
статуей	s t a tʰ u j ɛ j
стонать	s t ɔ n a tʲ
строе	s t r ɔ j ɛ
сура	s u r a
тарифные	t a r i f n i j ɛ
толстое	t ɔ l s t ɔ j ɛ
точит	t ɔ t͡ɕ i t
трапеза	t r a pʲ ɛ z a
треснул	t rʲ ɛ s n u l
трет	t rʲ ɛ t
троп	t r ɔ p
укрыть	u k r i tʲ
уложения	u l ɔ ʑ ɛ n i j a
уно	u n o
упущение	u p u ɕ t͡ɕ ɛ n i j ɛ
урокам	u r ɔ k a m
услышь	u s l i ɕ
ути	u tʲ i
фолс	f ɔ l s
фонарем	f ɔ n a rʲ ɛ m
франки	f r a ŋ kʲ
фронтам	f r ɔ n t a m
фур	f u r
хохол	x ɔ x ɔ l
черпать	t͡ɕ ɛ r p a tʲ
честолюбие	t͡ɕ ɛ s t ɔ lʲ u b i j ɛ
шишку	ɕ i ɕ k u
эллады	e ɮː a d i
carbon	k a r b o n
comic	k o m i k
delphi	d e l f i
gi	ɡ i
legal	l e ɡ a l
masters	m a s t e r s
rambler	r a m b l e r
wine	w i n e
zeit	z e i t
азбуку	a z b u k u
амбер	a m bʲ ɛ r
арендных	a rʲ ɛ n d n i x
аэ	a e
балку	b a ɮ k u
безобразно	b ɛ z ɔ b r a z n o
безработными	b ɛ z r a b ɔ t n i m i
биллу	b i ɮ ɮ u
блюдам	b ɮʲ u d a m
бордюр	b ɔ r d j u r
брендами	b rʲ ɛ n d a m i
бронте	b r ɔ n tʲ ɛ
версту	ʋ ɛ r s t u
весовая	ʋ ɛ s ɔ ʋ a j a
вечерах	ʋ ɛ t͡ɕ ɛ r ɑ x
взрывают	ʋ z r i ʋ a j u t
видными	ʋ i d n i m i
виши	ʋ i ɕ i
внушение	ʋ n u ɕ ɛ n i j ɛ
возвращаем	ʋ ɔ z ʋ r a ɕ t͡ɕ a j ɛ m
воздать	ʋ ɔ z d a tʲ
возражают	ʋ ɔ z r a ʑ a j u t
ворону	ʋ ɔ r o n u
враждебным	ʋ r a ʑ d͡ʑ ɛ b n i m
вступят	ʋ s t u pʲ a t
выигрыши	ʋ i j i ɡ r i ɕ i
гил	ɡ i l
грохотом	ɡ r ɔ x ɔ t ɔ m
гряда	ɡ rʲ a d a
даня	d a nʲ a
двинуть	d ʋ i n u tʲ
двоюродные	d ʋ ɔ j u r ɔ d n i j ɛ
делению	d ɛ l ɛ n i j u
деликатес	d ɛ l i k ɑ tʲ ɛ s
делюсь	d ɛ l j u s ɪ
дисконт	d i s k ɔ n t
довоенных	d ɔ ʋ ɔ j ɛ n n i x
донны	d ɔ n n i
доходные	d ɔ x ɔ d n i j ɛ
дрофа	d r ɔ f a
дубинин	d u b i n i n
едь	j ɛ d ɪ
заданы	z a d a n i
задорно	z a d ɔ r n o
заменитель	z a mʲ ɛ n i tʲ ɛ lʲ ɪ
замести	z a mʲ ɛ s tʲ i
запускаю	z a p u s k a j u
заработком	z a r a b ɔ tʰ k ɔ m
застрять	z a s tʲ rʲ a tʲ
зор	z ɔ r
зрелая	z rʲ ɛ l a j a
идёте	i d j ɔ tʲ ɛ
изысканной	i z i s k a n n ɔ j
исходная	i s x ɔ d n a j a
калугу	k a ɮ u ɣ u
киз	k i z
колючие	k ɔ lʲ u t͡ɕ i j ɛ
композитных	k ɔ m p ɔ z i t n i x
кореш	k ɔ rʲ ɛ ɕ
краснодарская	k r a s n ɔ d a r s k a j a
кремы	k rʲ ɛ m i
крид	k r i d
круть	k r u tʲ
крючке	k rʲ u t͡ɕ kʲ ɛ
лапок	l a p ɔ k
ласку	l a s k u
лбами	ɮ b a mʲ
лотус	l ɔ t u s
манифестом	m a n i fʲ ɛ s t ɔ m
матрасы	m a tʰ r a s i
мерседесе	m ɛ r s ɛ d ɛ s ɛ
мещерский	m ɛ ɕ t͡ɕ ɛ r s k i j
моб	m ɔ b
молина	m ɔ l i n a
монополией	m ɔ n ɔ p ɔ l i j ɛ j
морозной	m ɔ r ɔ z n ɔ j
мхом	m x ɔ m
набираем	n a b i r a j ɛ m
наделать	n a dʲ ɛ l a tʲ
налёт	n a ɮʲ ɔ t
наркоманией	n a r k ɔ m a n i j ɛ j
недопущение	n ɛ d ɔ p u ɕ t͡ɕ ɛ n i j ɛ
незнакомому	n ɛ z n a k ɔ m ɔ m u
неру	n ɛ r u
несложные	n ɛ s l ɔ ʑ n i j ɛ
нимб	n i m b
нод	n ɔ d
обладаем	ɔ b l a d a j ɛ m
обратим	ɔ b r a tʲ i m
обрядах	ɔ b rʲ a d a x
одинокое	ɔ d i n o k ɔ j ɛ
однородных	ɔ d n ɔ r ɔ d n i x
оох	oː x
опросить	ɔ p r ɔ s i tʲ
опустите	ɔ p u s tʲ i tʲ ɛ
ора	ɔ r a
осели	ɔ s ɛ l i
ослабил	ɔ s l a b i l
особенными	ɔ s ɔ b ɛ n n i m i
осу	ɔ s u
осуждении	ɔ s u ʑ d͡ʑ ɛ n i j i
отвергнута	ɔ t ʋ ɛ r ɡ n u t a
отвечающая	ɔ t ʋʲ ɛ t͡ɕ a j u ɕ t͡ɕ a j a
откопал	ɔ t k ɔ p a l
очерка	ɔ t͡ɕ ɛ r k a
панки	p a ŋ kʲ
пасхальных	p a s x a ɮʲ n i x
паштет	p a ɕ tʲ ɛ t
пиру	p i r u
планируемой	p l a n i r u j ɛ m ɔ j
плут	p l u t
поверье	p ɔ ʋ ɛ r ɪ j ɛ
погибели	p ɔ ɡ i b ɛ l i
погодин	p ɔ ɡ ɔ d i n
погост	p ɔ ɡ ɔ s t
подарите	p ɔ d a r i tʲ ɛ
подаю	p ɔ d a j u
подсчитано	p ɔ d s t͡ɕ i t a n o
подъездные	p ɔ d ʊ j ɛ z d n i j ɛ
поедание	p ɔ j ɛ d a n i j ɛ
поедают	p ɔ j ɛ d a j u t
полетать	p ɔ lʲ ɛ t a tʲ
помойка	p ɔ m ɔ j k a
помола	p ɔ m ɔ l a
портера	p ɔ r tʲ ɛ r a
посвящал	p ɔ s ʋʲ a ɕ t͡ɕ a l
посещающих	p ɔ s ɛ ɕ t͡ɕ a j u ɕ t͡ɕ i x
посмели	p ɔ s mʲ ɛ l i
потопить	p ɔ t ɔ p i tʲ
потрясти	p ɔ t rʲ a s tʲ i
прада	p r a d a
предзаказ	p rʲ ɛ d͡z a k a z
председательствует	p rʲ ɛ d s ɛ d a tʲ ɛ l ɪ s t ʋ u j ɛ t
предстают	p rʲ ɛ d s t a j u t
прибегал	p r i b ɛ ɡ a l
присланные	p r i s l a n n i j ɛ
приходы	p r i x ɔ d i
продажная	p r ɔ d a ʑ n a j a
продашь	p r ɔ d a ɕ
промокла	p r ɔ m ɔ k l a
пропускаем	p r ɔ p u s k a j ɛ m
пропускания	p r ɔ p u s k a n i j a
пропуском	p r ɔ p u s k ɔ m
простим	p r ɔ s tʲ i m
протестами	p r ɔ tʲ ɛ s t a mʲ i
птичьи	p tʲ i t͡ɕ ɪ j
пустыре	p u s t i rʲ ɛ
пятерке	pʲ a tʲ ɛ r kʲ ɛ
размаху	r a z m a x u
разнородных	r a z n ɔ r ɔ d n i x
раскрылась	r a s k r i ɮ a sʲ
растерзание	r a s tʲ ɛ r z a n i j ɛ
рисованием	r i s ɔ ʋ a n i j ɛ m
риту	r i t u
рожденная	r ɔ ʑ d͡ʑ ɛ n n a j a
рошаль	r ɔ ɕ a lʲ
саманты	s a m a n tʰ i
самосуд	s a m ɔ s u d
сап	s a p
сборником	s b ɔ r n i k ɔ m
свастики	s ʋ a s tʲ i kʲ i
сверкают	s ʋ ɛ r k ɑ j u t
сводке	s ʋ ɔ d kʲ ɛ
серийная	s ɛ r i j n a j a
серу	s ɛ r u
сидра	s i d r a
сии	s i j
сира	s i r a
снискал	s n i s k a l
совершенны	s ɔ ʋ ɛ r ɕ ɛ n n i
совокупной	s ɔ ʋ ɔ k u p n ɔ j
согрешил	s ɔ ɡ rʲ ɛ ɕ i l
соединению	s ɔ j ɛ d i n ɛ n i j u
созидания	s ɔ z i d a n i j a
сою	s ɔ j u
стендап	s tʲ ɛ n d a p
танцующие	t a n t͡sʰ u j u ɕ t͡ɕ i j ɛ
татарским	tʰ a tʰ a r s kʲ i m
тензор	tʲ ɛ n z ɔ r
тоске	t ɔ s kʲ ɛ
убирала	u b i r a ɮ a
удвоение	u d ʋ ɔ j ɛ n i j ɛ
умелым	u mʲ ɛ l i m
упрочить	u p r ɔ t͡ɕ i tʲ
фобос	f ɔ b ɔ s
фора	f ɔ r a
франшизу	f r a n ɕ i z u
хазар	x a z a r
хору	x ɔ r u
хоффмана	x ɔ f m a n a
чаки	t͡ɕ a kʲ
шеин	ɕ ɛ j i n
шоколадная	ɕ ɔ k ɔ l a d n a j a
энвер	e n ʋ ɛ r
эстонском	e s t ɔ n s k ɔ m
этнограф	e t n ɔ ɡ r a f
юру	j u r u
якоба	j a k ɔ b a
concordia	k o n k o r d i a
daft	d a f t
davidson	d a v i d s o n
dolce	d o l t͡ʃ e
dota	d o t a
dual	d u a l
kino	k i n o
lock	l o k
mir	m i r
mono	m o n o
nord	n o r d
okay	o k a j
ops	o p s
phillips	f i l i p s
photoshop	f o t o ʃ o p
pioneer	p i o n e e r
quo	k w o
rift	r i f t
safe	s a f e
slim	s l i m
tim	t i m
until	u n t i l
адское	a d s k ɔ j ɛ
аза	a z a
азимут	a z i m u t
алабамы	a ɮ a b a m i
аналогичному	a n a ɮ ɔ ɡ i t͡ɕʰ n o m u
апу	a p u
асбест	a s bʲ ɛ s t
ассорти	a s s ɔ r tʲ i
бару	b a r u
баскет	b a s kʲ ɛ t
башкирская	b a ɕ kʲ i r s k a j a
безалкогольные	b ɛ z a ɮ k ɔ ɡ ɔ lʲ n i j ɛ
бездарно	b ɛ z d a r n o
бемоль	b ɛ m ɔ lʲ ɪ
бойне	b ɔ j nʲ ɛ
бона	b ɔ n a
бронной	b r ɔ n n ɔ j
брюнет	b rʲ u nʲ ɛ t
брюшную	b rʲ u ɕ n u j u
быте	b i tʲ ɛ
ведал	ʋ ɛ d a l
везла	ʋ ɛ z l ɑ
вельможи	ʋ ɛ l ɪ m ɔ ʑ i
венцом	ʋ ɛ n t͡sʰ ɔ m
вернера	ʋ ɛ r n ɛ r ɑ
висело	ʋ i s ɛ l o
возомнил	ʋ ɔ z ɔ m n i l
вопр	ʋ ɔ p r
вручено	ʋ r u t͡ɕ ɛ n o
выборгской	ʋ i b ɔ r k s k ɔ j
выдумкой	ʋ i d u m k ɔ j
выкопали	ʋ i k ɔ p a l i
выложите	ʋ i l ɔ ʑ i tʲ ɛ
вымогали	ʋ i m ɔ ɡ a l i
выследить	ʋ i s lʲ ɛ d i tʲ
выходку	ʋ i x ɔ d k u
габаритные	ɡ a b a r i tʰ n i j ɛ
гашиш	ɡ a ɕ i ɕ
гнида	ɡ n i d a
гнилая	ɡ n i l a j a
годика	ɡ ɔ d i k a
гоночная	ɡ ɔ n ɔ t͡ɕ n a j a
горюче	ɡ ɔ rʲ u t͡ɕʲ ɛ
грудные	ɡ r u d n i j ɛ
гуго	ɡ u ɡ
гудка	ɡ u d k a
гуль	ɡ u lʲ
делающие	d ɛ l a j u ɕ t͡ɕ i j ɛ
дербент	d ɛ r b ɛ n t
дионисия	d i ɔ n i s i j a
доверяя	d ɔ ʋ ɛ r j a j a
дога	d ɔ ɡ a
доэрти	d o e r tʲ i
дрим	d r i m
дьюк	d j u k
ебаные	j ɛ b a n i j ɛ
египетском	j ɛ ɡ i pʲ ɛ t s k ɔ m
еженедельной	j ɛ ʑ ɛ n ɛ d ɛ l ɪ n ɔ j
задачка	z a d a t͡ɕʰ k a
заморских	z a m ɔ r s kʲ i x
замятин	z a mʲ a tʲ i n
затылку	z a tʰ i ɮ k u
зубчатые	z u p t͡ɕ a tʲ i j ɛ
индусы	i n d u s i
исходящий	j i s x ɔ dʲ a ɕ t͡ɕ i j
иу	j u
кoгда	k o ɡ d a
каи	k a j
каннском	k a n s k ɔ m
катись	k a tʲ i sʲ
катятся	k a tʲ a tʲ sʲ a
киру	k i r u
кладем	k l a dʲ ɛ m
комментариям	k ɔ m mʲ ɛ n t a r i j a m
коноплянка	k ɔ n ɔ p lʲ a ŋ k a
короба	k ɔ r ɔ b a
корфу	k ɔ r f u
космосу	k ɔ s m ɔ s u
коэна	k o e n a
крадёт	k r a dʲ ɔ t
красна	k r a s n a
кратком	k r a tʰ k ɔ m
куп	k u p
куполе	k u p ɔ lʲ ɛ
кусают	k u s a j u t
кэм	k e m
ламберта	l a m bʲ ɛ r tʰ a
ликует	l i k u j ɛ t
лихой	l i x ɔ j
лобода	l ɔ b ɔ d a
лорел	l ɔ rʲ ɛ l
лосей	l ɔ s ɛ j
мары	m a r i
материей	m a tʲ ɛ r i j ɛ j
мауро	m a u r o
мауса	m a u s a
миранды	m i r a n d i
могучая	m ɔ ɡ u t͡ɕ a j a
мусы	m u s i
наглядным	n a ɡ ɮʲ a d n i m
накоплению	n a k ɔ p lʲ ɛ n i j u
напасти	n a p a s tʲ i
напрасной	n a p r a s n ɔ j
неет	n ɛ j ɛ t
неизгладимое	n ɛ j z ɡ l a d i m ɔ j ɛ
непобедим	n ɛ p ɔ b ɛ d i m
нехотя	n ɛ x ɔ tʲ a
ния	n i j a
ною	n ɔ j u
нск	n s k
обладания	ɔ b l a d a n i j a
образная	ɔ b r a z n a j a
оптическое	ɔ p tʲ i t͡ɕ ɛ s k ɔ j ɛ
ордой	ɔ r d ɔ j
орешь	ɔ rʲ ɛ ɕ ɪ
орошение	ɔ r ɔ ɕ ɛ n i j ɛ
осина	ɔ s i n a
ослы	ɔ s l i
отвлечение	ɔ t ʋ lʲ ɛ t͡ɕ ɛ n i j ɛ
откопали	ɔ t k ɔ p a l i
офису	ɔ f i s u
папаши	p a p a ɕ i
паха	p a x a
перм	p ɛ r m
побоюсь	p ɔ b ɔ j u s ɪ
погибшая	p ɔ ɡ i b ɕ a j a
поддельными	p ɔ d dʲ ɛ l ɪ n i m i
подмостках	p ɔ d m ɔ s t k a x
позарез	p ɔ z a rʲ ɛ z
поздними	p ɔ z d n i m i
поищи	p ɔ j i ɕ t͡ɕ i
поколениях	p ɔ k ɔ lʲ ɛ n i j a x
покупках	p ɔ k u p k a x
пополудни	p ɔ p ɔ l u d n i
пригодным	p r i ɡ ɔ d n i m
приемным	p r i j ɛ m n i m
продумал	p r ɔ d u m a l
проем	p r ɔ j ɛ m
проиграна	p r ɔ j i ɡ r a n a
произведенный	p r ɔ j i z ʋ ɛ d ɛ n n i j
промежуточными	p r ɔ mʲ ɛ ʑ u t ɔ t͡ɕʰ n i m i
прописка	p r ɔ p i s k a
протекать	p r ɔ tʲ ɛ k a tʲ
протестам	p r ɔ tʲ ɛ s t a m
протесте	p r ɔ tʲ ɛ s tʲ ɛ
